|6.6.6
Archiving\03_Data\eqfrac/QFM_m1/TAY13/TAY13_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1567.69        2500.00        99.4627                 NaN  0.476218       0.610557E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.20        2500.00        99.4316                 NaN  0.504444       0.639709E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        2500.00        99.0593                 NaN  0.832453       0.108250                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.23        2500.00        99.8209                 NaN  0.159131       0.200068E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00        99.4453                 NaN  0.494115       0.605616E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.26        2500.00        99.4493                 NaN  0.489922       0.607594E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.77        2500.00        99.4552                 NaN  0.483415       0.614014E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.28        2500.00        99.4609                 NaN  0.480343       0.587321E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        2500.00        99.4625                 NaN  0.479811       0.577203E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00        99.4673                 NaN  0.475505       0.572135E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.83        2500.00        99.4701                 NaN  0.476458       0.534900E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.34        2500.00        99.4752                 NaN  0.469717       0.551226E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.85        2500.00        99.4814                 NaN  0.464250       0.543693E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.37        2500.00        99.4799                 NaN  0.464980       0.551388E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        2500.00        99.4934                 NaN  0.454167       0.524345E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        2500.00        99.4935                 NaN  0.454157       0.523020E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        2500.00        99.4963                 NaN  0.452624       0.510998E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.42        2500.00        99.9931                 NaN  0.692217E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.94        2500.00        99.0119                 NaN  0.883068       0.105029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.45        2500.00        99.5104                 NaN  0.441350       0.482884E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.96        2500.00        99.5115                 NaN  0.440250       0.482038E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.48        2500.00        99.5137                 NaN  0.438921       0.473998E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        2500.00        99.5176                 NaN  0.436148       0.462188E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.51        2500.00        99.5222                 NaN  0.432355       0.454033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.02        2500.00        99.5247                 NaN  0.430497       0.448232E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.53        2500.00        99.5271                 NaN  0.428394       0.444768E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.05        2500.00        99.5310                 NaN  0.426197       0.428048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.56        2500.00        99.4252                 NaN  0.525460       0.493003E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        2500.00        99.6449                 NaN  0.322721       0.324001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.59        2500.00        99.5415                 NaN  0.417213       0.413349E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        2500.00        99.0641                 NaN  0.854505       0.813504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.62        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        2500.00        99.5789                 NaN  0.385530       0.355953E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.65        2500.00        99.5517                 NaN  0.410112       0.382123E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.16        2500.00        99.5563                 NaN  0.406809       0.369100E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.67        2500.00        99.5592                 NaN  0.404246       0.365624E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        2500.00        99.5608                 NaN  0.402915       0.363044E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.70        2500.00        99.5645                 NaN  0.400472       0.350602E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.22        2500.00        99.5675                 NaN  0.398094       0.343803E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.73        2500.00        99.5289                 NaN  0.434676       0.364501E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        2500.00        99.6115                 NaN  0.359582       0.289177E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.76        2500.00        99.5755                 NaN  0.392258       0.322379E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.27        2500.00        99.5772                 NaN  0.391450       0.313335E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.78        2500.00        99.5406                 NaN  0.424886       0.344643E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.30        2500.00        99.6220                 NaN  0.351125       0.268992E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.81        2500.00        99.5840                 NaN  0.387263       0.286907E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.33        2500.00        99.5864                 NaN  0.385937       0.276334E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.84        2500.00        99.5882                 NaN  0.385102       0.267288E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.35        2500.00        99.5911                 NaN  0.382201       0.267021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.87        2500.00        99.5935                 NaN  0.381215       0.253049E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.38        2500.00        99.5941                 NaN  0.381341       0.245617E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.90        2500.00        99.5979                 NaN  0.378238       0.239051E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        2500.00        99.7531                 NaN  0.234847       0.120029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.92        2500.00        99.4446                 NaN  0.523880       0.314851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.44        2500.00        99.6024                 NaN  0.376490       0.210871E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.95        2500.00        99.6038                 NaN  0.376459       0.197404E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.47        2500.00        99.6084                 NaN  0.371361       0.201947E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.98        2500.00        99.6090                 NaN  0.371826       0.192144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.49        2500.00        99.6116                 NaN  0.368649       0.197967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.01        2500.00        99.6124                 NaN  0.370559       0.170334E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.52        2500.00        99.6631                 NaN  0.543076E-001  0.721061E-002            NaN  0.275382                 NaN            NaN            NaN            NaN            NaN
  1477.03        2500.00        99.9583                 NaN  0.546441E-002            NaN            NaN  0.362516E-001            NaN            NaN            NaN            NaN            NaN
  1475.55        2500.00        98.8487                 NaN            NaN            NaN            NaN   1.15131                 NaN            NaN            NaN            NaN            NaN
  1474.06        2500.00        99.4731                 NaN            NaN            NaN            NaN  0.526882                 NaN            NaN            NaN            NaN            NaN
  1472.58        2500.00        99.4697                 NaN            NaN  0.909146E-006            NaN  0.530268                 NaN            NaN            NaN            NaN            NaN
  1471.09        2500.00        99.5937                 NaN  0.208864                 NaN            NaN  0.197411                 NaN            NaN            NaN            NaN            NaN
  1469.60        2500.00        99.0805                 NaN            NaN            NaN            NaN  0.361995       0.557491                 NaN            NaN            NaN            NaN
  1468.12        2500.00        99.2239                 NaN            NaN            NaN            NaN  0.278985       0.497105                 NaN            NaN            NaN            NaN
  1466.63        2500.00        99.2294                 NaN            NaN            NaN            NaN  0.493916       0.276703                 NaN            NaN            NaN            NaN
  1465.15        2500.00        99.2351                 NaN            NaN            NaN            NaN  0.490099       0.274753                 NaN            NaN            NaN            NaN
  1463.66        2500.00        99.2414                 NaN            NaN            NaN            NaN  0.272712       0.485853                 NaN            NaN            NaN            NaN
  1462.17        2500.00        98.7862                 NaN            NaN            NaN            NaN  0.427032       0.786768                 NaN            NaN            NaN            NaN
  1460.69        2500.00        99.8915                 NaN            NaN            NaN            NaN  0.695464E-001  0.389304E-001            NaN            NaN            NaN            NaN
  1459.20        2500.00        99.0905                 NaN            NaN  0.332702E-001            NaN  0.275752       0.600463                 NaN            NaN            NaN            NaN
  1457.72        2500.00        99.2674                 NaN            NaN  0.352672E-001            NaN  0.488021       0.209352                 NaN            NaN            NaN            NaN
  1456.23        2500.00        99.0792                 NaN            NaN  0.446483E-001            NaN  0.264856       0.611304                 NaN            NaN            NaN            NaN
  1454.74        2500.00        99.4841                 NaN            NaN  0.222338E-001            NaN  0.152657       0.341048                 NaN            NaN            NaN            NaN
  1453.26        2500.00        99.2872                 NaN            NaN  0.321942E-001            NaN  0.473850       0.206733                 NaN            NaN            NaN            NaN
  1451.77        2500.00        99.2921                 NaN            NaN  0.311218E-001            NaN  0.470059       0.206762                 NaN            NaN            NaN            NaN
  1450.29        2500.00        99.2969                 NaN            NaN  0.301300E-001            NaN  0.205843       0.467079                 NaN            NaN            NaN            NaN
  1448.80        2500.00        99.3205                 NaN            NaN  0.287786E-001            NaN  0.198799       0.451963                 NaN            NaN            NaN            NaN
  1447.31        2500.00        99.2891                 NaN            NaN  0.290204E-001            NaN  0.210864       0.471058                 NaN            NaN            NaN            NaN
  1445.83        2500.00        99.3122                 NaN            NaN  0.274529E-001            NaN  0.204740       0.455574                 NaN            NaN            NaN            NaN
  1444.34        2500.00        99.3164                 NaN            NaN  0.264848E-001            NaN  0.452069       0.205050                 NaN            NaN            NaN            NaN
  1442.85        2500.00        99.3902                 NaN            NaN  0.285290E-001            NaN  0.175979       0.405305                 NaN            NaN            NaN            NaN
  1441.37        2500.00        99.2557                 NaN            NaN  0.221462E-001            NaN  0.489336       0.232784                 NaN            NaN            NaN            NaN
  1439.88        2500.00        99.3295                 NaN            NaN  0.240566E-001            NaN  0.203717       0.442751                 NaN            NaN            NaN            NaN
  1438.40        2500.00        99.3947                 NaN  0.112871E-002  0.943046E-001            NaN  0.509855                 NaN            NaN            NaN            NaN            NaN
  1436.91        2500.00        99.3746                 NaN            NaN  0.185743E-001            NaN  0.266552       0.340271                 NaN            NaN            NaN            NaN
  1435.42        2500.00        99.2548                 NaN            NaN  0.534270E-005            NaN  0.479093       0.266139                 NaN            NaN            NaN            NaN
  1433.94        2500.00        99.3411                 NaN            NaN  0.201564E-005            NaN  0.235098       0.423773                 NaN            NaN            NaN            NaN
  1432.45        2500.00        99.3461                 NaN            NaN  0.322611E-002            NaN  0.227959       0.422732                 NaN            NaN            NaN            NaN
  1430.97        2500.00        99.3515                 NaN            NaN  0.985127E-002            NaN  0.215913       0.422708                 NaN            NaN            NaN            NaN
  1429.48        2500.00        99.3580                 NaN            NaN  0.183628E-001            NaN  0.422972       0.200621                 NaN            NaN            NaN            NaN
  1427.99        2500.00        99.3618                 NaN            NaN  0.178322E-001            NaN  0.420193       0.200152                 NaN            NaN            NaN            NaN
  1426.51        2500.00        99.3646                 NaN            NaN  0.170906E-001            NaN  0.199489       0.418816                 NaN            NaN            NaN            NaN
  1425.02        2500.00        99.3696                 NaN            NaN  0.159772E-001            NaN  0.414333       0.200053                 NaN            NaN            NaN            NaN
  1423.54        2500.00        99.3715                 NaN            NaN  0.159813E-001            NaN  0.413100       0.199394                 NaN            NaN            NaN            NaN
  1422.05        2500.00        98.8683                 NaN            NaN  0.105549                 NaN  0.440009       0.295823       0.290337                 NaN            NaN            NaN
  1420.56        2500.00        98.4309                 NaN            NaN  0.187703                 NaN  0.459082       0.375299       0.546982                 NaN            NaN            NaN
  1419.08        2500.00        98.4626                 NaN            NaN  0.185687                 NaN  0.452066       0.364422       0.535238                 NaN            NaN            NaN
  1417.59        2500.00        98.4841                 NaN            NaN  0.185531                 NaN  0.446898       0.355078       0.528427                 NaN            NaN            NaN
  1416.11        2500.00        98.5092                 NaN            NaN  0.184598                 NaN  0.440369       0.345792       0.520075                 NaN            NaN            NaN
  1414.62        2500.00        98.5338                 NaN            NaN  0.183905                 NaN  0.434542       0.335855       0.511906                 NaN            NaN            NaN
  1413.13        2500.00        98.5589                 NaN            NaN  0.182544                 NaN  0.427136       0.328051       0.503360                 NaN            NaN            NaN
  1411.65        2500.00        98.5765                 NaN            NaN  0.183373                 NaN  0.424026       0.318167       0.497974                 NaN            NaN            NaN
  1410.16        2500.00        98.6103                 NaN            NaN  0.179406                 NaN  0.413766       0.310977       0.485560                 NaN            NaN            NaN
  1408.67        2500.00        98.6261                 NaN            NaN  0.180313                 NaN  0.410518       0.302227       0.480832                 NaN            NaN            NaN
  1407.19        2500.00        98.6486                 NaN            NaN  0.179215                 NaN  0.404452       0.294474       0.473231                 NaN            NaN            NaN
  1405.70        2500.00        98.6693                 NaN            NaN  0.178554                 NaN  0.399372       0.286454       0.466312                 NaN            NaN            NaN
  1404.22        2500.00        98.7873                 NaN            NaN  0.276105                 NaN  0.489339                 NaN  0.447214                 NaN            NaN            NaN
  1402.73        2500.00        98.8023                 NaN            NaN  0.271883                 NaN  0.484607                 NaN  0.441256                 NaN            NaN            NaN
  1401.24        2500.00        98.8250                 NaN            NaN  0.264890                 NaN  0.477008                 NaN  0.433062                 NaN            NaN            NaN
  1399.76        2500.00        98.4455                 NaN            NaN            NaN            NaN  0.905268       0.146073       0.503160                 NaN            NaN            NaN
  1398.27        2500.00        98.7837                 NaN            NaN  0.578701E-001            NaN  0.333652       0.420711       0.404042                 NaN            NaN            NaN
  1396.79        2500.00        98.7856                 NaN            NaN  0.173926                 NaN  0.369742       0.243931       0.426794                 NaN            NaN            NaN
  1395.30        2500.00        98.8023                 NaN            NaN  0.174096                 NaN  0.364102       0.237617       0.421837                 NaN            NaN            NaN
  1393.81        2500.00        98.8236                 NaN            NaN  0.171572                 NaN  0.231614       0.359608       0.413602                 NaN            NaN            NaN
  1392.33        2500.00        98.8371                 NaN            NaN  0.171756                 NaN  0.225616       0.356326       0.409243                 NaN            NaN            NaN
  1390.84        2500.00        98.0056                 NaN            NaN  0.298110                 NaN  0.608360       0.386302       0.701645                 NaN            NaN            NaN
  1389.36        2500.00        99.7222                 NaN            NaN  0.453723E-001            NaN  0.866789E-001  0.479103E-001  0.978026E-001            NaN            NaN            NaN
  1387.87        2500.00        98.8887                 NaN            NaN  0.168102                 NaN  0.342862       0.209185       0.391153                 NaN            NaN            NaN
  1386.38        2500.00        98.9020                 NaN            NaN  0.168764                 NaN  0.202298       0.339920       0.387058                 NaN            NaN            NaN
  1384.90        2500.00        98.9167                 NaN            NaN  0.168355                 NaN  0.336327       0.196507       0.382072                 NaN            NaN            NaN
  1383.41        2500.00        98.9331                 NaN            NaN  0.166941                 NaN  0.331536       0.192162       0.376268                 NaN            NaN            NaN
  1381.93        2500.00        98.9468                 NaN            NaN  0.166461                 NaN  0.328490       0.186610       0.371675                 NaN            NaN            NaN
  1380.44        2500.00        98.9609                 NaN            NaN  0.165552                 NaN  0.325023       0.181932       0.366632                 NaN            NaN            NaN
  1378.95        2500.00        98.9745                 NaN            NaN  0.164761                 NaN  0.177543       0.321204       0.361982                 NaN            NaN            NaN
  1377.47        2500.00        98.9883                 NaN            NaN  0.164249                 NaN  0.172257       0.318005       0.357163                 NaN            NaN            NaN
  1375.98        2500.00        99.0017                 NaN            NaN  0.163277                 NaN  0.168028       0.314423       0.352552                 NaN            NaN            NaN
  1374.49        2500.00        99.0142                 NaN            NaN  0.162769                 NaN  0.311357       0.163383       0.348254                 NaN            NaN            NaN
  1373.01        2500.00        99.0288                 NaN            NaN  0.161412                 NaN  0.159231       0.307533       0.343036                 NaN            NaN            NaN
  1371.52        2500.00        99.0404                 NaN            NaN  0.160806                 NaN  0.304564       0.155177       0.339062                 NaN            NaN            NaN
  1370.04        2500.00        99.0531                 NaN            NaN  0.146909                 NaN  0.171965       0.296094       0.331953                 NaN            NaN            NaN
  1368.55        2500.00        99.0642                 NaN            NaN  0.172347                 NaN  0.126468       0.303697       0.333270                 NaN            NaN            NaN
  1367.06        2500.00        99.0767                 NaN            NaN  0.158233                 NaN  0.295100       0.143631       0.326294                 NaN            NaN            NaN
  1365.58        2500.00        99.0880                 NaN            NaN  0.157847                 NaN  0.139124       0.292516       0.322517                 NaN            NaN            NaN
  1364.09        2500.00        99.0993                 NaN            NaN  0.156067                 NaN  0.137399       0.289076       0.318143                 NaN            NaN            NaN
  1362.61        2500.00        99.1109                 NaN            NaN  0.155268                 NaN  0.286266       0.133438       0.314102                 NaN            NaN            NaN
  1361.12        2500.00        99.1217                 NaN            NaN  0.154415                 NaN  0.283379       0.130202       0.310303                 NaN            NaN            NaN
  1359.63        2500.00        99.1314                 NaN            NaN  0.154153                 NaN  0.280867       0.126576       0.307007                 NaN            NaN            NaN
  1358.15        2500.00        99.1434                 NaN            NaN  0.151908                 NaN  0.277272       0.125037       0.302377                 NaN            NaN            NaN
  1356.66        2500.00        99.1535                 NaN            NaN  0.151614                 NaN  0.120971       0.274886       0.299008                 NaN            NaN            NaN
  1355.18        2500.00        99.1631                 NaN            NaN  0.150331                 NaN  0.118732       0.272428       0.295404                 NaN            NaN            NaN
  1353.69        2500.00        99.1730                 NaN            NaN  0.149316                 NaN  0.269785       0.116018       0.291832                 NaN            NaN            NaN
  1352.20        2500.00        99.1828                 NaN            NaN  0.148391                 NaN  0.113018       0.267423       0.288415                 NaN            NaN            NaN
  1350.72        2500.00        99.1931                 NaN            NaN  0.147002                 NaN  0.110893       0.264498       0.284554                 NaN            NaN            NaN
  1349.23        2500.00        99.2020                 NaN            NaN  0.146087                 NaN  0.261845       0.108684       0.281406                 NaN            NaN            NaN
  1347.75        2500.00        99.2111                 NaN            NaN  0.144809                 NaN  0.259215       0.106787       0.278043                 NaN            NaN            NaN
  1346.26        2500.00        99.2205                 NaN            NaN  0.143629                 NaN  0.256594       0.104687       0.274573                 NaN            NaN            NaN
  1344.77        2500.00        99.2244                 NaN            NaN  0.142894                 NaN  0.253738       0.105248       0.273740                 NaN            NaN            NaN
  1343.29        2500.00        99.2417                 NaN            NaN  0.140727                 NaN  0.991403E-001  0.251911       0.266546                 NaN            NaN            NaN
  1341.80        2500.00        99.2473                 NaN            NaN  0.139604                 NaN  0.991209E-001  0.249428       0.264533                 NaN            NaN            NaN
  1340.31        2500.00        99.2552                 NaN            NaN  0.138805                 NaN  0.970166E-001  0.247180       0.261846                 NaN            NaN            NaN
  1338.83        2500.00        99.2631                 NaN            NaN  0.137089                 NaN  0.244798       0.962642E-001  0.258785                 NaN            NaN            NaN
  1337.34        2500.00        99.2708                 NaN            NaN  0.135799                 NaN  0.950995E-001  0.242429       0.255840                 NaN            NaN            NaN
  1335.86        2500.00        99.2793                 NaN            NaN  0.134342                 NaN  0.239703       0.939468E-001  0.252676                 NaN            NaN            NaN
  1334.37        2500.00        99.2865                 NaN            NaN  0.133459                 NaN  0.923398E-001  0.237517       0.250174                 NaN            NaN            NaN
  1332.88        2500.00        99.2952                 NaN            NaN  0.131359                 NaN  0.918093E-001  0.235001       0.246626                 NaN            NaN            NaN
  1331.40        2500.00        99.3020                 NaN            NaN  0.130588                 NaN  0.903914E-001  0.232807       0.244262                 NaN            NaN            NaN
  1329.91        2500.00        99.3097                 NaN            NaN  0.129057                 NaN  0.889742E-001  0.231088       0.241197                 NaN            NaN            NaN
  1328.43        2500.00        99.3169                 NaN            NaN  0.126416                 NaN  0.908163E-001  0.227588       0.238306                 NaN            NaN            NaN
  1326.94        2500.00        99.3241                 NaN            NaN  0.125647                 NaN  0.226027       0.885411E-001  0.235685                 NaN            NaN            NaN
  1325.45        2500.00        99.3313                 NaN            NaN  0.123997                 NaN  0.223774       0.880219E-001  0.232931                 NaN            NaN            NaN
  1323.97        2500.00        99.3383                 NaN            NaN  0.122501                 NaN  0.221601       0.873543E-001  0.230271                 NaN            NaN            NaN
  1322.48        2500.00        99.3451                 NaN            NaN  0.120915                 NaN  0.871062E-001  0.219207       0.227688                 NaN            NaN            NaN
  1321.00        2500.00        99.3515                 NaN            NaN  0.118940                 NaN  0.216958       0.875266E-001  0.225115                 NaN            NaN            NaN
  1319.51        2500.00        99.3583                 NaN            NaN  0.117783                 NaN  0.214771       0.865832E-001  0.222562                 NaN            NaN            NaN
  1318.02        2500.00        99.3653                 NaN            NaN  0.116554                 NaN  0.861590E-001  0.211837       0.220126                 NaN            NaN            NaN
  1316.54        2500.00        99.3705                 NaN            NaN  0.114228                 NaN  0.867072E-001  0.210967       0.217622                 NaN            NaN            NaN
  1315.05        2500.00        99.3773                 NaN            NaN  0.112032                 NaN  0.208000       0.877681E-001  0.214920                 NaN            NaN            NaN
  1313.57        2500.00        99.3829                 NaN            NaN  0.110722                 NaN  0.874039E-001  0.206078       0.212872                 NaN            NaN            NaN
  1312.08        2500.00        99.3893                 NaN            NaN  0.108839                 NaN  0.878978E-001  0.203643       0.210279                 NaN            NaN            NaN
  1310.59        2500.00        99.3950                 NaN            NaN  0.107085                 NaN  0.201236       0.885927E-001  0.208114                 NaN            NaN            NaN
  1309.11        2500.00        99.4009                 NaN            NaN  0.109214                 NaN  0.895697E-001  0.189510       0.210792                 NaN            NaN            NaN
  1307.62        2500.00        99.4093                 NaN            NaN  0.100627                 NaN  0.205263       0.865798E-001  0.198183                 NaN            NaN            NaN
  1306.13        2500.00        99.4120                 NaN            NaN  0.101608                 NaN  0.194821       0.902363E-001  0.201291                 NaN            NaN            NaN
  1304.65        2500.00        86.0900                 NaN            NaN   1.13588                 NaN   1.68762       0.431217        1.88291        8.77241                 NaN            NaN
  1303.16        2500.00        86.8881                 NaN            NaN   1.07556                 NaN   1.63172       0.377934        1.78311        8.24354                 NaN            NaN
  1301.68        2500.00        87.8325                 NaN            NaN   1.00442                 NaN   1.55490       0.323471        1.66447        7.62023                 NaN            NaN
  1300.19        2500.00        88.6432                 NaN            NaN  0.941906                 NaN  0.277631        1.49035        1.56237        7.08451                 NaN            NaN
  1298.70        2500.00        89.3581                 NaN            NaN  0.886804                 NaN  0.235212        1.43459        1.47199        6.61334                 NaN            NaN
  1297.22        2500.00        89.9881                 NaN            NaN  0.837928                 NaN   1.38603       0.197535        1.39211        6.19827                 NaN            NaN
  1295.73        2500.00        90.5393                 NaN            NaN  0.792856                 NaN   1.34475       0.167748        1.32213        5.83323                 NaN            NaN
  1294.25        2500.00        91.0286                 NaN            NaN  0.752596                 NaN   1.31031       0.139098        1.25999        5.50939                 NaN            NaN
  1292.76        2500.00        91.4833                 NaN            NaN  0.716564                 NaN   1.27982       0.107711        1.20194        5.21068                 NaN            NaN
  1291.27        2500.00        82.1150                 NaN            NaN  0.719111       0.704875        3.09718       0.704550E-001   2.39270        10.9007                 NaN            NaN
  1289.79        2500.00        80.3073                 NaN            NaN  0.589646       0.894486        3.41335       0.222697        2.61346        11.9591                 NaN            NaN
  1288.30        2500.00        82.4381                 NaN            NaN  0.482715       0.784355        2.98181       0.342525        2.33426        10.6362                 NaN            NaN
  1286.82        2500.00        84.0061                 NaN            NaN  0.398192       0.701304        2.64688       0.457203        2.12854        9.66176                 NaN            NaN
  1285.33        2500.00        83.2105                 NaN            NaN  0.345519       0.715141       0.906821        2.47791        2.24668        10.0975                 NaN            NaN
  1283.84        2500.00        88.0069                 NaN            NaN  0.379441       0.504467        2.24049                 NaN   1.60756        7.26119                 NaN            NaN
  1282.36        2500.00        86.7185                 NaN            NaN  0.178567E-001  0.546406        1.55212        1.52225        1.75151        7.89138                 NaN            NaN
  1280.87        2500.00        86.9188                 NaN            NaN            NaN  0.540660        1.42340        1.55661        1.72229        7.83828                 NaN            NaN
  1279.38        2500.00        87.7028                 NaN            NaN  0.367601       0.479947       0.326542        2.02337        1.64898        7.45073                 NaN            NaN
  1277.90        2500.00        84.0375                 NaN            NaN            NaN  0.642753        1.97421        1.64950        2.11709        9.57898                 NaN            NaN
  1276.41        2500.00        86.0407                 NaN            NaN  0.718892       0.485013        2.28330                 NaN   1.88800        8.58404                 NaN            NaN
  1274.93        2500.00        87.0799                 NaN            NaN            NaN  0.619526       0.470858        2.06551        1.65094        8.11326                 NaN            NaN
  1273.44        2500.00        90.9934                 NaN            NaN  0.666926E-005  0.244329        1.78669       0.744035        1.27421        4.95732                 NaN            NaN
