|6.6.6
Archiving\03_Data\eqfrac/QFM_m1/TAY13/TAY13_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1488.92        2500.00        99.3520                 NaN  0.609866       0.381842E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.44        2500.00        99.5360                 NaN  0.438455       0.255821E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.95        2500.00        99.5375                 NaN  0.438507       0.239698E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.47        2500.00        99.5426                 NaN  0.432828       0.245319E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.98        2500.00        99.5431                 NaN  0.433506       0.233526E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.49        2500.00        99.5460                 NaN  0.429905       0.240696E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.01        2500.00        99.5470                 NaN  0.432281       0.207218E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.52        2500.00        99.6081                 NaN  0.633925E-001  0.878047E-002            NaN  0.319722                 NaN            NaN            NaN            NaN            NaN
  1477.03        2500.00        99.9515                 NaN  0.638574E-002            NaN            NaN  0.421205E-001            NaN            NaN            NaN            NaN            NaN
  1475.55        2500.00        98.6638                 NaN            NaN            NaN            NaN   1.33620                 NaN            NaN            NaN            NaN            NaN
  1474.06        2500.00        99.3878                 NaN            NaN            NaN            NaN  0.612227                 NaN            NaN            NaN            NaN            NaN
  1472.58        2500.00        99.3835                 NaN            NaN  0.110919E-005            NaN  0.616463                 NaN            NaN            NaN            NaN            NaN
  1471.09        2500.00        99.5279                 NaN  0.244222                 NaN            NaN  0.227922                 NaN            NaN            NaN            NaN            NaN
  1469.60        2500.00        98.9338                 NaN            NaN            NaN            NaN  0.417809       0.648409                 NaN            NaN            NaN            NaN
  1468.12        2500.00        99.1012                 NaN            NaN            NaN            NaN  0.324698       0.574088                 NaN            NaN            NaN            NaN
  1466.63        2500.00        99.1071                 NaN            NaN            NaN            NaN  0.570672       0.322231                 NaN            NaN            NaN            NaN
  1465.15        2500.00        99.1133                 NaN            NaN            NaN            NaN  0.566543       0.320148                 NaN            NaN            NaN            NaN
  1463.66        2500.00        99.1202                 NaN            NaN            NaN            NaN  0.317943       0.561868                 NaN            NaN            NaN            NaN
  1462.17        2500.00        98.5917                 NaN            NaN            NaN            NaN  0.498197       0.910150                 NaN            NaN            NaN            NaN
  1460.69        2500.00        99.8739                 NaN            NaN            NaN            NaN  0.805926E-001  0.454938E-001            NaN            NaN            NaN            NaN
  1459.20        2500.00        98.9419                 NaN            NaN  0.408578E-001            NaN  0.322001       0.695286                 NaN            NaN            NaN            NaN
  1457.72        2500.00        99.1463                 NaN            NaN  0.433801E-001            NaN  0.565587       0.244721                 NaN            NaN            NaN            NaN
  1456.23        2500.00        98.9271                 NaN            NaN  0.549029E-001            NaN  0.309693       0.708301                 NaN            NaN            NaN            NaN
  1454.74        2500.00        99.3981                 NaN            NaN  0.273892E-001            NaN  0.178707       0.395759                 NaN            NaN            NaN            NaN
  1453.26        2500.00        99.1682                 NaN            NaN  0.396923E-001            NaN  0.549952       0.242116                 NaN            NaN            NaN            NaN
  1451.77        2500.00        99.1734                 NaN            NaN  0.384014E-001            NaN  0.545851       0.242314                 NaN            NaN            NaN            NaN
  1450.29        2500.00        99.1787                 NaN            NaN  0.372064E-001            NaN  0.241355       0.542703                 NaN            NaN            NaN            NaN
  1448.80        2500.00        99.2057                 NaN            NaN  0.355751E-001            NaN  0.233271       0.525479                 NaN            NaN            NaN            NaN
  1447.31        2500.00        99.1687                 NaN            NaN  0.358996E-001            NaN  0.247575       0.547837                 NaN            NaN            NaN            NaN
  1445.83        2500.00        99.1953                 NaN            NaN  0.339961E-001            NaN  0.240532       0.530125                 NaN            NaN            NaN            NaN
  1444.34        2500.00        99.1997                 NaN            NaN  0.328253E-001            NaN  0.526383       0.241082                 NaN            NaN            NaN            NaN
  1442.85        2500.00        99.2854                 NaN            NaN  0.353806E-001            NaN  0.207008       0.472195                 NaN            NaN            NaN            NaN
  1441.37        2500.00        99.1281                 NaN            NaN  0.274972E-001            NaN  0.570360       0.274031                 NaN            NaN            NaN            NaN
  1439.88        2500.00        99.2137                 NaN            NaN  0.299017E-001            NaN  0.239991       0.516384                 NaN            NaN            NaN            NaN
  1438.40        2500.00        99.2862                 NaN  0.133844E-002  0.117326                 NaN  0.595090                 NaN            NaN            NaN            NaN            NaN
  1436.91        2500.00        99.2649                 NaN            NaN  0.231328E-001            NaN  0.314549       0.397407                 NaN            NaN            NaN            NaN
  1435.42        2500.00        99.1262                 NaN            NaN  0.666106E-005            NaN  0.559666       0.314144                 NaN            NaN            NaN            NaN
  1433.94        2500.00        99.2269                 NaN            NaN  0.251602E-005            NaN  0.277733       0.495352                 NaN            NaN            NaN            NaN
  1432.45        2500.00        99.2321                 NaN            NaN  0.402859E-002            NaN  0.269479       0.494430                 NaN            NaN            NaN            NaN
  1430.97        2500.00        99.2376                 NaN            NaN  0.123134E-001            NaN  0.255404       0.494730                 NaN            NaN            NaN            NaN
  1429.48        2500.00        99.2443                 NaN            NaN  0.229662E-001            NaN  0.495281       0.237473                 NaN            NaN            NaN            NaN
  1427.99        2500.00        99.2483                 NaN            NaN  0.223317E-001            NaN  0.492278       0.237072                 NaN            NaN            NaN            NaN
  1426.51        2500.00        99.2511                 NaN            NaN  0.214236E-001            NaN  0.236471       0.490980                 NaN            NaN            NaN            NaN
  1425.02        2500.00        99.2566                 NaN            NaN  0.200453E-001            NaN  0.486026       0.237313                 NaN            NaN            NaN            NaN
  1423.54        2500.00        99.2584                 NaN            NaN  0.200717E-001            NaN  0.484852       0.236688                 NaN            NaN            NaN            NaN
  1422.05        2500.00        98.7183                 NaN            NaN  0.132710                 NaN  0.516622       0.351339       0.281021                 NaN            NaN            NaN
  1420.56        2500.00        98.2489                 NaN            NaN  0.236219                 NaN  0.539328       0.446017       0.529554                 NaN            NaN            NaN
  1419.08        2500.00        98.2818                 NaN            NaN  0.234304                 NaN  0.531701       0.433710       0.518489                 NaN            NaN            NaN
  1417.59        2500.00        98.3040                 NaN            NaN  0.234531                 NaN  0.526180       0.423115       0.512195                 NaN            NaN            NaN
  1416.11        2500.00        98.3302                 NaN            NaN  0.233828                 NaN  0.519017       0.412533       0.504405                 NaN            NaN            NaN
  1414.62        2500.00        98.3560                 NaN            NaN  0.233375                 NaN  0.512680       0.401151       0.496787                 NaN            NaN            NaN
  1413.13        2500.00        98.3823                 NaN            NaN  0.232078                 NaN  0.504504       0.392301       0.488798                 NaN            NaN            NaN
  1411.65        2500.00        98.4003                 NaN            NaN  0.233604                 NaN  0.501320       0.380954       0.483871                 NaN            NaN            NaN
  1410.16        2500.00        98.4363                 NaN            NaN  0.229031                 NaN  0.489720       0.372804       0.472115                 NaN            NaN            NaN
  1408.67        2500.00        98.4524                 NaN            NaN  0.230636                 NaN  0.486412       0.362766       0.467817                 NaN            NaN            NaN
  1407.19        2500.00        98.4760                 NaN            NaN  0.229673                 NaN  0.479699       0.353900       0.460723                 NaN            NaN            NaN
  1405.70        2500.00        98.4976                 NaN            NaN  0.229280                 NaN  0.474197       0.344674       0.454288                 NaN            NaN            NaN
  1404.22        2500.00        98.6268                 NaN            NaN  0.355330                 NaN  0.581833                 NaN  0.436043                 NaN            NaN            NaN
  1402.73        2500.00        98.6420                 NaN            NaN  0.350557                 NaN  0.576941                 NaN  0.430545                 NaN            NaN            NaN
  1401.24        2500.00        98.6661                 NaN            NaN  0.342324                 NaN  0.568744                 NaN  0.422860                 NaN            NaN            NaN
  1399.76        2500.00        98.2400                 NaN            NaN            NaN            NaN   1.09443       0.174159       0.491407                 NaN            NaN            NaN
  1398.27        2500.00        98.6222                 NaN            NaN  0.750548E-001            NaN  0.398375       0.509414       0.394994                 NaN            NaN            NaN
  1396.79        2500.00        98.6188                 NaN            NaN  0.226022                 NaN  0.441929       0.295706       0.417505                 NaN            NaN            NaN
  1395.30        2500.00        98.6364                 NaN            NaN  0.226669                 NaN  0.435620       0.288411       0.412948                 NaN            NaN            NaN
  1393.81        2500.00        98.6587                 NaN            NaN  0.223849                 NaN  0.281482       0.430748       0.405178                 NaN            NaN            NaN
  1392.33        2500.00        98.6724                 NaN            NaN  0.224564                 NaN  0.274561       0.427318       0.401195                 NaN            NaN            NaN
  1390.84        2500.00        97.7204                 NaN            NaN  0.390758                 NaN  0.730124       0.470797       0.687896                 NaN            NaN            NaN
  1389.36        2500.00        99.6815                 NaN            NaN  0.596165E-001            NaN  0.104278       0.584938E-001  0.961407E-001            NaN            NaN            NaN
  1387.87        2500.00        98.7265                 NaN            NaN  0.221092                 NaN  0.412578       0.255540       0.384313                 NaN            NaN            NaN
  1386.38        2500.00        98.7401                 NaN            NaN  0.222420                 NaN  0.247440       0.409488       0.380572                 NaN            NaN            NaN
  1384.90        2500.00        98.7555                 NaN            NaN  0.222317                 NaN  0.405606       0.240647       0.375952                 NaN            NaN            NaN
  1383.41        2500.00        98.7727                 NaN            NaN  0.220869                 NaN  0.400300       0.235639       0.370522                 NaN            NaN            NaN
  1381.93        2500.00        98.7868                 NaN            NaN  0.220676                 NaN  0.397080       0.229118       0.366277                 NaN            NaN            NaN
  1380.44        2500.00        98.8015                 NaN            NaN  0.219917                 NaN  0.393358       0.223676       0.361584                 NaN            NaN            NaN
  1378.95        2500.00        98.8156                 NaN            NaN  0.219335                 NaN  0.218566       0.389192       0.357274                 NaN            NaN            NaN
  1377.47        2500.00        98.8301                 NaN            NaN  0.219066                 NaN  0.212322       0.385749       0.352791                 NaN            NaN            NaN
  1375.98        2500.00        98.8441                 NaN            NaN  0.218222                 NaN  0.207372       0.381842       0.348510                 NaN            NaN            NaN
  1374.49        2500.00        98.8571                 NaN            NaN  0.217940                 NaN  0.378551       0.201892       0.344531                 NaN            NaN            NaN
  1373.01        2500.00        98.8724                 NaN            NaN  0.216564                 NaN  0.197020       0.374349       0.339638                 NaN            NaN            NaN
  1371.52        2500.00        98.8844                 NaN            NaN  0.216189                 NaN  0.371181       0.192257       0.335969                 NaN            NaN            NaN
  1370.04        2500.00        98.8983                 NaN            NaN  0.197877                 NaN  0.213320       0.361284       0.329184                 NaN            NaN            NaN
  1368.55        2500.00        98.9085                 NaN            NaN  0.232625                 NaN  0.157089       0.370996       0.330757                 NaN            NaN            NaN
  1367.06        2500.00        98.9224                 NaN            NaN  0.213990                 NaN  0.360907       0.178637       0.324098                 NaN            NaN            NaN
  1365.58        2500.00        98.9341                 NaN            NaN  0.213882                 NaN  0.173255       0.358192       0.320605                 NaN            NaN            NaN
  1364.09        2500.00        98.9458                 NaN            NaN  0.211922                 NaN  0.171346       0.354409       0.316515                 NaN            NaN            NaN
  1362.61        2500.00        98.9581                 NaN            NaN  0.211232                 NaN  0.351347       0.166617       0.312750                 NaN            NaN            NaN
  1361.12        2500.00        98.9693                 NaN            NaN  0.210494                 NaN  0.348221       0.162776       0.309221                 NaN            NaN            NaN
  1359.63        2500.00        98.9792                 NaN            NaN  0.210583                 NaN  0.345592       0.158472       0.306188                 NaN            NaN            NaN
  1358.15        2500.00        98.9921                 NaN            NaN  0.207876                 NaN  0.341526       0.156722       0.301821                 NaN            NaN            NaN
  1356.66        2500.00        99.0026                 NaN            NaN  0.207874                 NaN  0.151822       0.338994       0.298706                 NaN            NaN            NaN
  1355.18        2500.00        99.0125                 NaN            NaN  0.206542                 NaN  0.149218       0.336390       0.295350                 NaN            NaN            NaN
  1353.69        2500.00        99.0229                 NaN            NaN  0.205558                 NaN  0.333515       0.145991       0.292023                 NaN            NaN            NaN
  1352.20        2500.00        99.0331                 NaN            NaN  0.204644                 NaN  0.142390       0.331013       0.288846                 NaN            NaN            NaN
  1350.72        2500.00        99.0440                 NaN            NaN  0.203152                 NaN  0.139898       0.327752       0.285219                 NaN            NaN            NaN
  1349.23        2500.00        99.0533                 NaN            NaN  0.202287                 NaN  0.324846       0.137283       0.282301                 NaN            NaN            NaN
  1347.75        2500.00        99.0629                 NaN            NaN  0.200923                 NaN  0.321977       0.135062       0.279163                 NaN            NaN            NaN
  1346.26        2500.00        99.0728                 NaN            NaN  0.199645                 NaN  0.319100       0.132577       0.275912                 NaN            NaN            NaN
  1344.77        2500.00        99.0761                 NaN            NaN  0.199105                 NaN  0.316034       0.133434       0.275307                 NaN            NaN            NaN
  1343.29        2500.00        99.0954                 NaN            NaN  0.196391                 NaN  0.125882       0.314003       0.268303                 NaN            NaN            NaN
  1341.80        2500.00        99.1010                 NaN            NaN  0.195157                 NaN  0.126007       0.311300       0.266501                 NaN            NaN            NaN
  1340.31        2500.00        99.1092                 NaN            NaN  0.194411                 NaN  0.123487       0.308861       0.264019                 NaN            NaN            NaN
  1338.83        2500.00        99.1175                 NaN            NaN  0.192389                 NaN  0.306263       0.122686       0.261155                 NaN            NaN            NaN
  1337.34        2500.00        99.1256                 NaN            NaN  0.190976                 NaN  0.121368       0.303681       0.258403                 NaN            NaN            NaN
  1335.86        2500.00        99.1347                 NaN            NaN  0.189263                 NaN  0.300600       0.120037       0.255427                 NaN            NaN            NaN
  1334.37        2500.00        99.1421                 NaN            NaN  0.188371                 NaN  0.118151       0.298261       0.253114                 NaN            NaN            NaN
  1332.88        2500.00        99.1515                 NaN            NaN  0.185742                 NaN  0.117600       0.295387       0.249739                 NaN            NaN            NaN
  1331.40        2500.00        99.1585                 NaN            NaN  0.185056                 NaN  0.115928       0.292981       0.247556                 NaN            NaN            NaN
  1329.91        2500.00        99.1667                 NaN            NaN  0.183214                 NaN  0.114232       0.291154       0.244661                 NaN            NaN            NaN
  1328.43        2500.00        99.1744                 NaN            NaN  0.179782                 NaN  0.116771       0.287130       0.241936                 NaN            NaN            NaN
  1326.94        2500.00        99.1820                 NaN            NaN  0.178997                 NaN  0.285510       0.113983       0.239480                 NaN            NaN            NaN
  1325.45        2500.00        99.1897                 NaN            NaN  0.176977                 NaN  0.282996       0.113454       0.236885                 NaN            NaN            NaN
  1323.97        2500.00        99.1972                 NaN            NaN  0.175163                 NaN  0.280544       0.112737       0.234380                 NaN            NaN            NaN
  1322.48        2500.00        99.2044                 NaN            NaN  0.173197                 NaN  0.112551       0.277865       0.231950                 NaN            NaN            NaN
  1321.00        2500.00        99.2112                 NaN            NaN  0.170699                 NaN  0.275349       0.113237       0.229526                 NaN            NaN            NaN
  1319.51        2500.00        99.2185                 NaN            NaN  0.169339                 NaN  0.272880       0.112147       0.227117                 NaN            NaN            NaN
  1318.02        2500.00        99.2262                 NaN            NaN  0.167859                 NaN  0.111711       0.269402       0.224824                 NaN            NaN            NaN
  1316.54        2500.00        99.2314                 NaN            NaN  0.164851                 NaN  0.112583       0.268678       0.222455                 NaN            NaN            NaN
  1315.05        2500.00        99.2388                 NaN            NaN  0.161953                 NaN  0.265226       0.114099       0.219881                 NaN            NaN            NaN
  1313.57        2500.00        99.2449                 NaN            NaN  0.160322                 NaN  0.113751       0.263103       0.217972                 NaN            NaN            NaN
  1312.08        2500.00        99.2518                 NaN            NaN  0.157890                 NaN  0.114536       0.260270       0.215501                 NaN            NaN            NaN
  1310.59        2500.00        99.2578                 NaN            NaN  0.155626                 NaN  0.257507       0.115585       0.213463                 NaN            NaN            NaN
  1309.11        2500.00        99.2651                 NaN            NaN  0.158827                 NaN  0.117022       0.242681       0.216396                 NaN            NaN            NaN
  1307.62        2500.00        99.2732                 NaN            NaN  0.146736                 NaN  0.263249       0.113213       0.203621                 NaN            NaN            NaN
  1306.13        2500.00        99.2763                 NaN            NaN  0.148439                 NaN  0.250158       0.118135       0.206989                 NaN            NaN            NaN
  1304.65        2500.00        85.3890                 NaN            NaN   1.65375                 NaN   2.15305       0.561008        1.92029        8.32294                 NaN            NaN
  1303.16        2500.00        86.2227                 NaN            NaN   1.57170                 NaN   2.08325       0.492061        1.81679        7.81347                 NaN            NaN
  1301.68        2500.00        87.2081                 NaN            NaN   1.47281                 NaN   1.98660       0.421458        1.69453        7.21650                 NaN            NaN
  1300.19        2500.00        88.0546                 NaN            NaN   1.38545                 NaN  0.361938        1.90547        1.58928        6.70326                 NaN            NaN
  1298.70        2500.00        88.8019                 NaN            NaN   1.30802                 NaN  0.306769        1.83526        1.49609        6.25192                 NaN            NaN
  1297.22        2500.00        89.4611                 NaN            NaN   1.23918                 NaN   1.77395       0.257685        1.41373        5.85433                 NaN            NaN
  1295.73        2500.00        90.0376                 NaN            NaN   1.17549                 NaN   1.72190       0.218860        1.34153        5.50461                 NaN            NaN
  1294.25        2500.00        90.5498                 NaN            NaN   1.11832                 NaN   1.67856       0.181495        1.27740        5.19438                 NaN            NaN
  1292.76        2500.00        91.0266                 NaN            NaN   1.06694                 NaN   1.63994       0.140516        1.21756        4.90844                 NaN            NaN
  1291.27        2500.00        81.0983                 NaN            NaN   1.06601        1.20227        3.94340       0.913097E-001   2.40630        10.1924                 NaN            NaN
  1289.79        2500.00        79.1712                 NaN            NaN  0.875713        1.52556        4.34480       0.288511        2.62575        11.1685                 NaN            NaN
  1288.30        2500.00        81.3840                 NaN            NaN  0.720372        1.34180        3.80594       0.444947        2.35046        9.95253                 NaN            NaN
  1286.82        2500.00        83.0155                 NaN            NaN  0.596979        1.20295        3.38686       0.595311        2.14735        9.05506                 NaN            NaN
  1285.33        2500.00        82.1642                 NaN            NaN  0.520305        1.22893        1.18104        3.17443        2.26717        9.46394                 NaN            NaN
  1283.84        2500.00        87.2020                 NaN            NaN  0.579183       0.871594        2.88493                 NaN   1.62947        6.83288                 NaN            NaN
  1282.36        2500.00        85.8413                 NaN            NaN  0.270710E-001  0.943525        1.99832        1.99300        1.77504        7.42171                 NaN            NaN
  1280.87        2500.00        86.0699                 NaN            NaN            NaN  0.934852        1.86537        2.00720        1.74718        7.37552                 NaN            NaN
  1279.38        2500.00        86.8713                 NaN            NaN  0.561274       0.831954       0.428719        2.61350        1.67528        7.01802                 NaN            NaN
  1277.90        2500.00        83.0272                 NaN            NaN            NaN   1.11283        2.58525        2.12565        2.14775        9.00133                 NaN            NaN
  1276.41        2500.00        85.0926                 NaN            NaN   1.10515       0.844660        2.95039                 NaN   1.92094        8.08628                 NaN            NaN
  1274.93        2500.00        86.2708                 NaN            NaN            NaN   1.07832       0.621973        2.68558        1.68427        7.65901                 NaN            NaN
  1273.44        2500.00        90.2381                 NaN            NaN  0.103684E-004  0.427474        2.37147       0.971150        1.30327        4.68856                 NaN            NaN
  1271.95        2500.00        85.2396                 NaN            NaN  0.268281E-003  0.743518       0.576631        3.39505        1.70397        8.34092                 NaN            NaN
