|6.6.6
Archiving\03_Data\eqLP/QFM_m0.5/KHA22/KHA22_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       O(HP)          O(HP)          mang           Sp(TH)         pxmn           Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  1637.82        500.000        55.8066        42.9356                 NaN            NaN  0.694985       0.562822                 NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        500.000        55.4316        43.3041                 NaN            NaN  0.701402       0.562956                 NaN            NaN            NaN            NaN            NaN            NaN
  1631.41        500.000        55.0565        43.6726                 NaN            NaN  0.707822       0.563089                 NaN            NaN            NaN            NaN            NaN            NaN
  1628.21        500.000        54.6813        44.0412                 NaN            NaN  0.714243       0.563222                 NaN            NaN            NaN            NaN            NaN            NaN
  1625.00        500.000        54.3061        44.4099                 NaN            NaN  0.720666       0.563353                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.79        500.000        53.9307        44.7787                 NaN            NaN  0.727091       0.563483                 NaN            NaN            NaN            NaN            NaN            NaN
  1618.59        500.000        53.5553        45.1475                 NaN            NaN  0.733518       0.563612                 NaN            NaN            NaN            NaN            NaN            NaN
  1615.38        500.000        53.1799        45.5165                 NaN            NaN  0.739946       0.563740                 NaN            NaN            NaN            NaN            NaN            NaN
  1612.18        500.000        52.8272        45.8627                 NaN            NaN  0.746207       0.563859                 NaN            NaN            NaN            NaN            NaN            NaN
  1608.97        500.000        52.4745        46.2090                 NaN            NaN  0.752470       0.563978                 NaN            NaN            NaN            NaN            NaN            NaN
  1605.77        500.000        52.1218        46.5554                 NaN            NaN  0.758734       0.564095                 NaN            NaN            NaN            NaN            NaN            NaN
  1602.56        500.000        51.7690        46.9018                 NaN            NaN  0.764999       0.564212                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.36        500.000        51.4278        47.2366                 NaN            NaN  0.771246       0.564324                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.15        500.000        51.0866        47.5715                 NaN            NaN  0.777494       0.564435                 NaN            NaN            NaN            NaN            NaN            NaN
  1592.95        500.000        50.7518        47.9002                 NaN            NaN  0.783411       0.564542                 NaN            NaN            NaN            NaN            NaN            NaN
  1589.74        500.000        50.3719        48.2061                 NaN            NaN  0.788954       0.564690       0.683778E-001            NaN            NaN            NaN            NaN            NaN
  1586.54        500.000        49.5136        48.2556                 NaN            NaN  0.783850       0.565279       0.881704                 NaN            NaN            NaN            NaN            NaN
  1583.33        500.000        48.6536        48.3051                 NaN            NaN  0.778735       0.565868        1.69670                 NaN            NaN            NaN            NaN            NaN
  1580.13        500.000        47.7919        48.3547                 NaN            NaN  0.773608       0.566458        2.51337                 NaN            NaN            NaN            NaN            NaN
  1576.92        500.000        46.9285        48.4043                 NaN            NaN  0.768469       0.567048        3.33172                 NaN            NaN            NaN            NaN            NaN
  1573.72        500.000        46.0634        48.4539                 NaN            NaN  0.763319       0.567638        4.15175                 NaN            NaN            NaN            NaN            NaN
  1570.51        500.000        45.1965        48.5036                 NaN            NaN  0.758158       0.568230        4.97346                 NaN            NaN            NaN            NaN            NaN
  1567.31        500.000        44.3280        48.5533                 NaN            NaN  0.752985       0.568821        5.79685                 NaN            NaN            NaN            NaN            NaN
  1564.10        500.000        43.4578        48.6031                 NaN            NaN  0.747801       0.569413        6.62192                 NaN            NaN            NaN            NaN            NaN
  1560.90        500.000        42.7824        48.6313                 NaN            NaN  0.742220       0.569887        7.27413                 NaN            NaN            NaN            NaN            NaN
  1557.69        500.000        42.1060        48.6596                 NaN            NaN  0.736629       0.570361        7.92740                 NaN            NaN            NaN            NaN            NaN
  1554.49        500.000        41.4286        48.6878                 NaN            NaN  0.731028       0.570836        8.58172                 NaN            NaN            NaN            NaN            NaN
  1551.28        500.000        40.7501        48.7160                 NaN            NaN  0.725418       0.571311        9.23711                 NaN            NaN            NaN            NaN            NaN
  1548.08        500.000        40.0706        48.7443                 NaN            NaN  0.719798       0.571786        9.89356                 NaN            NaN            NaN            NaN            NaN
  1544.87        500.000        39.3900        48.7725                 NaN            NaN  0.714168       0.572261        10.5511                 NaN            NaN            NaN            NaN            NaN
  1541.67        500.000        38.7083        48.8008                 NaN            NaN  0.708529       0.572736        11.2097                 NaN            NaN            NaN            NaN            NaN
  1538.46        500.000        38.0256        48.8290                 NaN            NaN  0.702879       0.573212        11.8693                 NaN            NaN            NaN            NaN            NaN
  1535.26        500.000        37.4706        48.8442                 NaN            NaN  0.696733       0.573610        12.4148                 NaN            NaN            NaN            NaN            NaN
  1532.05        500.000        36.9149        48.8594                 NaN            NaN  0.690578       0.574009        12.9611                 NaN            NaN            NaN            NaN            NaN
  1528.85        500.000        36.3585        48.8746                 NaN            NaN  0.684414       0.574408        13.5081                 NaN            NaN            NaN            NaN            NaN
  1525.64        500.000        35.8014        48.8898                 NaN            NaN  0.678242       0.574807        14.0558                 NaN            NaN            NaN            NaN            NaN
  1522.44        500.000        35.2436        48.9049                 NaN            NaN  0.672060       0.575206        14.6042                 NaN            NaN            NaN            NaN            NaN
  1519.23        500.000        34.6850        48.9201                 NaN            NaN  0.665870       0.575605        15.1534                 NaN            NaN            NaN            NaN            NaN
  1516.03        500.000        34.1257        48.9352                 NaN            NaN  0.659671       0.576004        15.7034                 NaN            NaN            NaN            NaN            NaN
  1512.82        500.000        33.5658        48.9504                 NaN            NaN  0.653464       0.576404        16.2540                 NaN            NaN            NaN            NaN            NaN
  1509.62        500.000        33.0902        48.9587                 NaN            NaN  0.646479       0.576752        16.7279                 NaN            NaN            NaN            NaN            NaN
  1506.41        500.000        32.6140        48.9670                 NaN            NaN  0.639485       0.577101        17.2024                 NaN            NaN            NaN            NaN            NaN
  1503.21        500.000        32.1374        48.9753                 NaN            NaN  0.632483       0.577449        17.6774                 NaN            NaN            NaN            NaN            NaN
  1500.00        500.000        31.6602        48.9835                 NaN            NaN  0.625472       0.577798        18.1530                 NaN            NaN            NaN            NaN            NaN
  1496.79        500.000        31.1825        48.9918                 NaN            NaN  0.618453       0.578147        18.6291                 NaN            NaN            NaN            NaN            NaN
  1493.59        500.000        30.7043        49.0000                 NaN            NaN  0.611425       0.578496        19.1057                 NaN            NaN            NaN            NaN            NaN
  1490.38        500.000        30.2256        49.0083                 NaN            NaN  0.604389       0.578845        19.5829                 NaN            NaN            NaN            NaN            NaN
  1487.18        500.000        29.7463        49.0165                 NaN            NaN  0.597344       0.579194        20.0607                 NaN            NaN            NaN            NaN            NaN
  1483.97        500.000        29.3244        49.0221                 NaN            NaN  0.589396       0.579508        20.4845                 NaN            NaN            NaN            NaN            NaN
  1480.77        500.000        28.9022        49.0277                 NaN            NaN  0.581440       0.579822        20.9089                 NaN            NaN            NaN            NaN            NaN
  1477.56        500.000        28.4795        49.0333                 NaN            NaN  0.573475       0.580137        21.3336                 NaN            NaN            NaN            NaN            NaN
  1474.36        500.000        28.0564        49.0389                 NaN            NaN  0.565501       0.580451        21.7588                 NaN            NaN            NaN            NaN            NaN
  1471.15        500.000        27.6329        49.0445                 NaN            NaN  0.557519       0.580766        22.1844                 NaN            NaN            NaN            NaN            NaN
  1467.95        500.000        27.2089        49.0501                 NaN            NaN  0.549528       0.581080        22.6104                 NaN            NaN            NaN            NaN            NaN
  1464.74        500.000        26.7846        49.0556                 NaN            NaN  0.541529       0.581395        23.0368                 NaN            NaN            NaN            NaN            NaN
  1461.54        500.000        26.3599        49.0611                 NaN            NaN  0.533521       0.581709        23.4637                 NaN            NaN            NaN            NaN            NaN
  1458.33        500.000        25.9643        49.0670                 NaN            NaN  0.524787       0.582007        23.8619                 NaN            NaN            NaN            NaN            NaN
  1455.13        500.000        25.5683        49.0729                 NaN            NaN  0.516043       0.582304        24.2605                 NaN            NaN            NaN            NaN            NaN
  1451.92        500.000        25.1720        49.0788                 NaN            NaN  0.507291       0.582601        24.6594                 NaN            NaN            NaN            NaN            NaN
  1448.72        500.000        24.7753        49.0846                 NaN            NaN  0.498530       0.582898        25.0587                 NaN            NaN            NaN            NaN            NaN
  1445.51        500.000        24.3951        49.0917                 NaN            NaN  0.489525       0.583184        25.4404                 NaN            NaN            NaN            NaN            NaN
  1442.31        500.000        23.8263        49.1119                 NaN            NaN  0.488980       0.583638        25.6497       0.339475                 NaN            NaN            NaN            NaN
  1439.10        500.000        23.2744        49.1291                 NaN            NaN  0.489852       0.584082        25.8381       0.684578                 NaN            NaN            NaN            NaN
  1435.90        500.000        22.7217        49.1462                 NaN            NaN  0.490726       0.584525        26.0267        1.03020                 NaN            NaN            NaN            NaN
  1432.69        500.000        22.2626        49.1530                 NaN            NaN  0.494429       0.584905        26.1780        1.32707                 NaN            NaN            NaN            NaN
  1429.49        500.000        21.8031        49.1597                 NaN            NaN  0.498138       0.585285        26.3295        1.62433                 NaN            NaN            NaN            NaN
  1426.28        500.000        21.3430        49.1664                 NaN            NaN  0.501853       0.585664        26.4812        1.92196                 NaN            NaN            NaN            NaN
  1423.08        500.000        20.8823        49.1730                 NaN            NaN  0.505574       0.586044        26.6331        2.21997                 NaN            NaN            NaN            NaN
  1419.87        500.000        20.4212        49.1796                 NaN            NaN  0.509300       0.586423        26.7851        2.51836                 NaN            NaN            NaN            NaN
  1416.67        500.000        19.9595        49.1862                 NaN            NaN  0.513032       0.586802        26.9374        2.81712                 NaN            NaN            NaN            NaN
  1413.46        500.000        19.4973        49.1928                 NaN            NaN  0.516769       0.587182        27.0898        3.11626                 NaN            NaN            NaN            NaN
  1410.26        500.000        19.0345        49.1993                 NaN            NaN  0.520513       0.587561        27.2424        3.41578                 NaN            NaN            NaN            NaN
  1407.05        500.000        18.6563        49.1948                 NaN            NaN  0.527451       0.587883        27.3650        3.66865                 NaN            NaN            NaN            NaN
  1403.85        500.000        18.2777        49.1902                 NaN            NaN  0.534399       0.588205        27.4877        3.92180                 NaN            NaN            NaN            NaN
  1400.64        500.000        17.8988        49.1856                 NaN            NaN  0.541354       0.588527        27.6105        4.17521                 NaN            NaN            NaN            NaN
  1397.44        500.000        17.5195        49.1809                 NaN            NaN  0.548318       0.588849        27.7335        4.42890                 NaN            NaN            NaN            NaN
  1394.23        500.000        17.1273        49.1953                 NaN            NaN  0.553687       0.589137        27.8380        4.64599                 NaN  0.505541E-001            NaN            NaN
  1391.03        500.000        16.5961        49.2428                 NaN            NaN  0.560972       0.589424        27.7201       0.259490        4.81093       0.220190                 NaN            NaN
  1387.82        500.000        16.5956        49.2430                 NaN            NaN  0.560990       0.589435        27.7204       0.259493        4.81096       0.220204                 NaN            NaN
  1384.62        500.000        15.6075        49.3230                 NaN            NaN  0.578607       0.589959        27.3828        5.09910       0.878109       0.540848                 NaN            NaN
  1381.41        500.000        15.6071        49.3232                 NaN            NaN  0.578625       0.589969        27.3830        5.09913       0.878119       0.540884                 NaN            NaN
  1378.21        500.000        15.6066        49.3233                 NaN            NaN  0.578644       0.589979        27.3832        5.09916       0.878129       0.540919                 NaN            NaN
  1375.00        500.000        15.6061        49.3235                 NaN            NaN  0.578662       0.589989        27.3834        5.09919       0.878139       0.540955                 NaN            NaN
  1371.79        500.000        15.6057        49.3236                 NaN            NaN  0.578680       0.589999        27.3836        5.09922       0.878149       0.540991                 NaN            NaN
  1368.59        500.000        15.6052        49.3238                 NaN            NaN  0.578698       0.590009        27.3839        5.09925       0.878159       0.541026                 NaN            NaN
  1365.38        500.000        15.6047        49.3240                 NaN            NaN  0.578716       0.590019        27.3841        5.09928       0.878169       0.541062                 NaN            NaN
  1362.18        500.000        15.6042        49.3241                 NaN            NaN  0.578734       0.590029        27.3843        5.09931       0.878179       0.541098                 NaN            NaN
  1358.97        500.000        12.6377        49.5555                 NaN            NaN  0.638505       0.591583        26.3024        5.92351        2.78243        1.56845                 NaN            NaN
  1355.77        500.000        12.6374        49.5555                 NaN            NaN  0.638524       0.591592        26.3025        5.92352        2.78245        1.56854                 NaN            NaN
  1352.56        500.000        12.6371        49.5555                 NaN            NaN  0.638542       0.591600        26.3026        5.92354        2.78248        1.56864                 NaN            NaN
  1349.36        500.000        12.6367        49.5555                 NaN            NaN  0.638560       0.591608        26.3028        5.92356        2.78250        1.56874                 NaN            NaN
  1346.15        500.000        12.6364        49.5555                 NaN            NaN  0.638578       0.591616        26.3029        5.92358        2.78253        1.56884                 NaN            NaN
  1342.95        500.000        12.6361        49.5555                 NaN            NaN  0.638596       0.591625        26.3030        5.92360        2.78255        1.56894                 NaN            NaN
  1339.74        500.000        12.6358        49.5556                 NaN            NaN  0.638614       0.591633        26.3032        5.92361        2.78258        1.56904                 NaN            NaN
  1336.54        500.000        12.6355        49.5556                 NaN            NaN  0.638632       0.591641        26.3033        5.92363        2.78260        1.56914                 NaN            NaN
  1333.33        500.000        10.6154        49.6989                 NaN            NaN  0.686812       0.592719        25.5291        4.10572        6.42553        2.34576                 NaN            NaN
  1330.13        500.000        10.6152        49.6988                 NaN            NaN  0.686830       0.592726        25.5292        4.10575        6.42554        2.34590                 NaN            NaN
