|6.6.6
Archiving\03_Data\eqLP/QFM_m0.5/KHA22/KHA22_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       O(HP)          O(HP)          mang           Sp(TH)         pxmn           Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  1878.21        500.000        92.1333        7.17786                 NaN            NaN  0.167744E-001  0.672083                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        91.4984        7.79383                 NaN            NaN  0.356509E-001  0.672088                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        90.8636        8.40981                 NaN            NaN  0.545278E-001  0.672094                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        90.2308        9.02480                 NaN            NaN  0.723475E-001  0.672100                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        89.5979        9.63980                 NaN            NaN  0.901676E-001  0.672106                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        88.9651        10.2548                 NaN            NaN  0.107988       0.672113                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        88.3322        10.8698                 NaN            NaN  0.125809       0.672119                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        87.6994        11.4849                 NaN            NaN  0.143630       0.672125                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        87.0665        12.0999                 NaN            NaN  0.161451       0.672131                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        86.4336        12.7150                 NaN            NaN  0.179273       0.672137                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        85.8007        13.3301                 NaN            NaN  0.197095       0.672144                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        85.1900        13.9243                 NaN            NaN  0.213456       0.672151                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        84.5794        14.5186                 NaN            NaN  0.229818       0.672158                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        83.9687        15.1129                 NaN            NaN  0.246179       0.672165                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        83.3581        15.7072                 NaN            NaN  0.262542       0.672172                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        82.7474        16.3016                 NaN            NaN  0.278904       0.672179                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        82.1367        16.8959                 NaN            NaN  0.295267       0.672186                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        81.5259        17.4902                 NaN            NaN  0.311630       0.672193                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        80.9152        18.0846                 NaN            NaN  0.327994       0.672200                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        80.3356        18.6491                 NaN            NaN  0.343085       0.672208                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        79.7560        19.2136                 NaN            NaN  0.358177       0.672215                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        79.1764        19.7782                 NaN            NaN  0.373269       0.672223                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        78.5967        20.3427                 NaN            NaN  0.388362       0.672230                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        78.0171        20.9073                 NaN            NaN  0.403454       0.672238                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        77.4374        21.4718                 NaN            NaN  0.418548       0.672245                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        76.8577        22.0364                 NaN            NaN  0.433641       0.672253                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        76.2780        22.6010                 NaN            NaN  0.448735       0.672260                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        75.7217        23.1434                 NaN            NaN  0.462581       0.672268                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        75.1655        23.6858                 NaN            NaN  0.476427       0.672276                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        74.6092        24.2283                 NaN            NaN  0.490273       0.672284                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        74.0529        24.7707                 NaN            NaN  0.504120       0.672292                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        73.4966        25.3132                 NaN            NaN  0.517967       0.672300                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        72.9403        25.8556                 NaN            NaN  0.531814       0.672308                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        72.3839        26.3981                 NaN            NaN  0.545662       0.672317                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        71.8276        26.9406                 NaN            NaN  0.559510       0.672325                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        71.2956        27.4598                 NaN            NaN  0.572340       0.672333                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        70.7635        27.9790                 NaN            NaN  0.585170       0.672341                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        70.2315        28.4982                 NaN            NaN  0.598001       0.672349                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        69.6994        29.0174                 NaN            NaN  0.610832       0.672358                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        69.1674        29.5366                 NaN            NaN  0.623663       0.672366                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        68.6353        30.0559                 NaN            NaN  0.636494       0.672374                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        68.1032        30.5751                 NaN            NaN  0.649326       0.672383                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        67.5711        31.0944                 NaN            NaN  0.662158       0.672391                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        67.0606        31.5930                 NaN            NaN  0.674021       0.672399                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        66.5501        32.0916                 NaN            NaN  0.685883       0.672408                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        66.0397        32.5902                 NaN            NaN  0.697746       0.672416                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        65.5292        33.0888                 NaN            NaN  0.709609       0.672425                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        65.0187        33.5874                 NaN            NaN  0.721473       0.672433                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        64.5081        34.0861                 NaN            NaN  0.733337       0.672442                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        63.9976        34.5847                 NaN            NaN  0.745201       0.672450                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        63.4871        35.0834                 NaN            NaN  0.757065       0.672459                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        62.9993        35.5602                 NaN            NaN  0.768069       0.672467                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        62.5115        36.0369                 NaN            NaN  0.779073       0.672476                 NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        62.0237        36.5137                 NaN            NaN  0.790077       0.672484                 NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        61.5359        36.9905                 NaN            NaN  0.801081       0.672492                 NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        61.0481        37.4673                 NaN            NaN  0.812086       0.672501                 NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        60.5603        37.9441                 NaN            NaN  0.823091       0.672509                 NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        60.0724        38.4210                 NaN            NaN  0.834096       0.672518                 NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        500.000        59.5846        38.8978                 NaN            NaN  0.845102       0.672526                 NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        500.000        59.1215        39.3506                 NaN            NaN  0.855361       0.672535                 NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        500.000        58.6584        39.8034                 NaN            NaN  0.865620       0.672543                 NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        500.000        58.1953        40.2562                 NaN            NaN  0.875879       0.672551                 NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        500.000        57.7323        40.7090                 NaN            NaN  0.886138       0.672559                 NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        500.000        57.2691        41.1619                 NaN            NaN  0.896398       0.672568                 NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        500.000        56.8060        41.6147                 NaN            NaN  0.906658       0.672576                 NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        500.000        56.3429        42.0676                 NaN            NaN  0.916918       0.672584                 NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        55.8798        42.5205                 NaN            NaN  0.927179       0.672593                 NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        500.000        55.4444        42.9462                 NaN            NaN  0.936806       0.672601                 NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        500.000        55.0090        43.3719                 NaN            NaN  0.946434       0.672609                 NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        500.000        54.5737        43.7977                 NaN            NaN  0.956061       0.672616                 NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        500.000        54.1383        44.2234                 NaN            NaN  0.965689       0.672624                 NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        500.000        53.7029        44.6492                 NaN            NaN  0.975317       0.672632                 NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        500.000        53.2675        45.0750                 NaN            NaN  0.984945       0.672640                 NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        500.000        52.8320        45.5007                 NaN            NaN  0.994574       0.672648                 NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        500.000        52.3966        45.9265                 NaN            NaN   1.00420       0.672656                 NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        500.000        51.9919        46.3222                 NaN            NaN   1.01325       0.672664                 NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        500.000        51.5871        46.7179                 NaN            NaN   1.02229       0.672671                 NaN            NaN            NaN            NaN            NaN            NaN
  1631.41        500.000        51.1824        47.1136                 NaN            NaN   1.03133       0.672679                 NaN            NaN            NaN            NaN            NaN            NaN
  1628.21        500.000        50.7776        47.5093                 NaN            NaN   1.04038       0.672686                 NaN            NaN            NaN            NaN            NaN            NaN
  1625.00        500.000        50.3729        47.9050                 NaN            NaN   1.04942       0.672694                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.79        500.000        49.9681        48.3008                 NaN            NaN   1.05847       0.672701                 NaN            NaN            NaN            NaN            NaN            NaN
  1618.59        500.000        49.5633        48.6965                 NaN            NaN   1.06751       0.672709                 NaN            NaN            NaN            NaN            NaN            NaN
  1615.38        500.000        49.1585        49.0922                 NaN            NaN   1.07656       0.672716                 NaN            NaN            NaN            NaN            NaN            NaN
  1612.18        500.000        48.7784        49.4636                 NaN            NaN   1.08530       0.672723                 NaN            NaN            NaN            NaN            NaN            NaN
  1608.97        500.000        48.3982        49.8350                 NaN            NaN   1.09403       0.672730                 NaN            NaN            NaN            NaN            NaN            NaN
  1605.77        500.000        48.0181        50.2064                 NaN            NaN   1.10277       0.672738                 NaN            NaN            NaN            NaN            NaN            NaN
  1602.56        500.000        47.6379        50.5778                 NaN            NaN   1.11151       0.672745                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.36        500.000        47.2703        50.9368                 NaN            NaN   1.12019       0.672752                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.15        500.000        46.9026        51.2958                 NaN            NaN   1.12887       0.672758                 NaN            NaN            NaN            NaN            NaN            NaN
  1592.95        500.000        46.5420        51.6481                 NaN            NaN   1.13714       0.672765                 NaN            NaN            NaN            NaN            NaN            NaN
  1589.74        500.000        46.1383        51.9720                 NaN            NaN   1.14461       0.672772       0.723035E-001            NaN            NaN            NaN            NaN            NaN
  1586.54        500.000        45.2800        51.9795                 NaN            NaN   1.13555       0.672779       0.932154                 NaN            NaN            NaN            NaN            NaN
  1583.33        500.000        44.4217        51.9870                 NaN            NaN   1.12650       0.672786        1.79202                 NaN            NaN            NaN            NaN            NaN
  1580.13        500.000        43.5634        51.9945                 NaN            NaN   1.11744       0.672794        2.65191                 NaN            NaN            NaN            NaN            NaN
  1576.92        500.000        42.7050        52.0020                 NaN            NaN   1.10839       0.672801        3.51181                 NaN            NaN            NaN            NaN            NaN
  1573.72        500.000        41.8467        52.0095                 NaN            NaN   1.09933       0.672808        4.37174                 NaN            NaN            NaN            NaN            NaN
  1570.51        500.000        40.9883        52.0169                 NaN            NaN   1.09028       0.672815        5.23168                 NaN            NaN            NaN            NaN            NaN
  1567.31        500.000        40.1299        52.0244                 NaN            NaN   1.08122       0.672822        6.09164                 NaN            NaN            NaN            NaN            NaN
  1564.10        500.000        39.2715        52.0319                 NaN            NaN   1.07217       0.672829        6.95162                 NaN            NaN            NaN            NaN            NaN
  1560.90        500.000        38.6069        52.0261                 NaN            NaN   1.06279       0.672835        7.63135                 NaN            NaN            NaN            NaN            NaN
  1557.69        500.000        37.9423        52.0204                 NaN            NaN   1.05341       0.672840        8.31109                 NaN            NaN            NaN            NaN            NaN
  1554.49        500.000        37.2777        52.0146                 NaN            NaN   1.04403       0.672846        8.99084                 NaN            NaN            NaN            NaN            NaN
  1551.28        500.000        36.6130        52.0089                 NaN            NaN   1.03465       0.672851        9.67060                 NaN            NaN            NaN            NaN            NaN
  1548.08        500.000        35.9484        52.0031                 NaN            NaN   1.02527       0.672857        10.3504                 NaN            NaN            NaN            NaN            NaN
  1544.87        500.000        35.2837        51.9974                 NaN            NaN   1.01589       0.672862        11.0302                 NaN            NaN            NaN            NaN            NaN
  1541.67        500.000        34.6191        51.9916                 NaN            NaN   1.00651       0.672868        11.7100                 NaN            NaN            NaN            NaN            NaN
  1538.46        500.000        33.9544        51.9858                 NaN            NaN  0.997132       0.672873        12.3898                 NaN            NaN            NaN            NaN            NaN
  1535.26        500.000        33.4155        51.9725                 NaN            NaN  0.987207       0.672877        12.9520                 NaN            NaN            NaN            NaN            NaN
  1532.05        500.000        32.8765        51.9591                 NaN            NaN  0.977282       0.672881        13.5142                 NaN            NaN            NaN            NaN            NaN
  1528.85        500.000        32.3376        51.9457                 NaN            NaN  0.967357       0.672886        14.0764                 NaN            NaN            NaN            NaN            NaN
  1525.64        500.000        31.7987        51.9324                 NaN            NaN  0.957431       0.672890        14.6387                 NaN            NaN            NaN            NaN            NaN
  1522.44        500.000        31.2597        51.9190                 NaN            NaN  0.947506       0.672894        15.2009                 NaN            NaN            NaN            NaN            NaN
  1519.23        500.000        30.7208        51.9056                 NaN            NaN  0.937580       0.672898        15.7632                 NaN            NaN            NaN            NaN            NaN
  1516.03        500.000        30.1818        51.8922                 NaN            NaN  0.927655       0.672903        16.3254                 NaN            NaN            NaN            NaN            NaN
  1512.82        500.000        29.6428        51.8789                 NaN            NaN  0.917729       0.672907        16.8877                 NaN            NaN            NaN            NaN            NaN
  1509.62        500.000        29.1864        51.8622                 NaN            NaN  0.906825       0.672910        17.3716                 NaN            NaN            NaN            NaN            NaN
  1506.41        500.000        28.7300        51.8456                 NaN            NaN  0.895920       0.672913        17.8556                 NaN            NaN            NaN            NaN            NaN
  1503.21        500.000        28.2736        51.8289                 NaN            NaN  0.885016       0.672917        18.3395                 NaN            NaN            NaN            NaN            NaN
  1500.00        500.000        27.8172        51.8123                 NaN            NaN  0.874112       0.672920        18.8235                 NaN            NaN            NaN            NaN            NaN
  1496.79        500.000        27.3608        51.7956                 NaN            NaN  0.863207       0.672923        19.3075                 NaN            NaN            NaN            NaN            NaN
  1493.59        500.000        26.9044        51.7790                 NaN            NaN  0.852302       0.672926        19.7914                 NaN            NaN            NaN            NaN            NaN
  1490.38        500.000        26.4480        51.7623                 NaN            NaN  0.841398       0.672930        20.2754                 NaN            NaN            NaN            NaN            NaN
  1487.18        500.000        25.9915        51.7457                 NaN            NaN  0.830493       0.672933        20.7594                 NaN            NaN            NaN            NaN            NaN
  1483.97        500.000        25.5910        51.7289                 NaN            NaN  0.818416       0.672935        21.1888                 NaN            NaN            NaN            NaN            NaN
  1480.77        500.000        25.1904        51.7121                 NaN            NaN  0.806340       0.672938        21.6182                 NaN            NaN            NaN            NaN            NaN
  1477.56        500.000        24.7898        51.6953                 NaN            NaN  0.794263       0.672940        22.0477                 NaN            NaN            NaN            NaN            NaN
  1474.36        500.000        24.3892        51.6785                 NaN            NaN  0.782186       0.672943        22.4771                 NaN            NaN            NaN            NaN            NaN
  1471.15        500.000        23.9887        51.6617                 NaN            NaN  0.770109       0.672945        22.9066                 NaN            NaN            NaN            NaN            NaN
  1467.95        500.000        23.5881        51.6449                 NaN            NaN  0.758032       0.672948        23.3360                 NaN            NaN            NaN            NaN            NaN
  1464.74        500.000        23.1875        51.6281                 NaN            NaN  0.745955       0.672950        23.7655                 NaN            NaN            NaN            NaN            NaN
  1461.54        500.000        22.7869        51.6113                 NaN            NaN  0.733878       0.672952        24.1949                 NaN            NaN            NaN            NaN            NaN
  1458.33        500.000        22.4145        51.5961                 NaN            NaN  0.720845       0.672954        24.5956                 NaN            NaN            NaN            NaN            NaN
  1455.13        500.000        22.0421        51.5808                 NaN            NaN  0.707811       0.672956        24.9963                 NaN            NaN            NaN            NaN            NaN
  1451.92        500.000        21.6698        51.5656                 NaN            NaN  0.694778       0.672958        25.3969                 NaN            NaN            NaN            NaN            NaN
  1448.72        500.000        21.2974        51.5503                 NaN            NaN  0.681744       0.672960        25.7976                 NaN            NaN            NaN            NaN            NaN
  1445.51        500.000        20.9410        51.5372                 NaN            NaN  0.668492       0.672961        26.1804                 NaN            NaN            NaN            NaN            NaN
  1442.31        500.000        20.4088        51.5259                 NaN            NaN  0.666116       0.672964        26.3804       0.345782                 NaN            NaN            NaN            NaN
  1439.10        500.000        19.8934        51.5116                 NaN            NaN  0.665694       0.672966        26.5594       0.696883                 NaN            NaN            NaN            NaN
  1435.90        500.000        19.3779        51.4974                 NaN            NaN  0.665272       0.672969        26.7384        1.04799                 NaN            NaN            NaN            NaN
  1432.69        500.000        18.9510        51.4770                 NaN            NaN  0.668791       0.672970        26.8809        1.34937                 NaN            NaN            NaN            NaN
  1429.49        500.000        18.5240        51.4565                 NaN            NaN  0.672311       0.672972        27.0234        1.65076                 NaN            NaN            NaN            NaN
  1426.28        500.000        18.0970        51.4361                 NaN            NaN  0.675831       0.672974        27.1659        1.95215                 NaN            NaN            NaN            NaN
  1423.08        500.000        17.6700        51.4157                 NaN            NaN  0.679350       0.672975        27.3084        2.25355                 NaN            NaN            NaN            NaN
  1419.87        500.000        17.2431        51.3952                 NaN            NaN  0.682870       0.672977        27.4509        2.55494                 NaN            NaN            NaN            NaN
  1416.67        500.000        16.8161        51.3748                 NaN            NaN  0.686390       0.672979        27.5934        2.85634                 NaN            NaN            NaN            NaN
  1413.46        500.000        16.3891        51.3543                 NaN            NaN  0.689909       0.672980        27.7359        3.15773                 NaN            NaN            NaN            NaN
  1410.26        500.000        15.9621        51.3339                 NaN            NaN  0.693429       0.672982        27.8784        3.45913                 NaN            NaN            NaN            NaN
  1407.05        500.000        15.6145        51.3056                 NaN            NaN  0.701250       0.672983        27.9922        3.71344                 NaN            NaN            NaN            NaN
  1403.85        500.000        15.2669        51.2773                 NaN            NaN  0.709070       0.672984        28.1060        3.96775                 NaN            NaN            NaN            NaN
  1400.64        500.000        14.9194        51.2490                 NaN            NaN  0.716890       0.672986        28.2197        4.22206                 NaN            NaN            NaN            NaN
  1397.44        500.000        14.5718        51.2207                 NaN            NaN  0.724711       0.672987        28.3335        4.47637                 NaN            NaN            NaN            NaN
  1394.23        500.000        14.2147        51.2158                 NaN            NaN  0.730822       0.672989        28.4291        4.69359                 NaN  0.429603E-001            NaN            NaN
  1391.03        500.000        13.7359        51.2472                 NaN            NaN  0.740108       0.672994        28.2967       0.262418        4.85772       0.187016                 NaN            NaN
  1387.82        500.000        13.7359        51.2472                 NaN            NaN  0.740108       0.672994        28.2967       0.262418        4.85772       0.187016                 NaN            NaN
  1384.62        500.000        12.8474        51.2967                 NaN            NaN  0.762746       0.673005        27.9306        5.14361       0.887049       0.458909                 NaN            NaN
  1381.41        500.000        12.8474        51.2967                 NaN            NaN  0.762746       0.673005        27.9306        5.14361       0.887049       0.458909                 NaN            NaN
  1378.21        500.000        12.8474        51.2967                 NaN            NaN  0.762746       0.673005        27.9306        5.14361       0.887049       0.458909                 NaN            NaN
  1375.00        500.000        12.8474        51.2967                 NaN            NaN  0.762746       0.673005        27.9306        5.14361       0.887049       0.458909                 NaN            NaN
  1371.79        500.000        12.8474        51.2967                 NaN            NaN  0.762746       0.673005        27.9306        5.14361       0.887049       0.458909                 NaN            NaN
  1368.59        500.000        12.8474        51.2967                 NaN            NaN  0.762746       0.673005        27.9306        5.14361       0.887049       0.458909                 NaN            NaN
  1365.38        500.000        12.8474        51.2967                 NaN            NaN  0.762746       0.673005        27.9306        5.14361       0.887049       0.458909                 NaN            NaN
  1362.18        500.000        12.8474        51.2967                 NaN            NaN  0.762746       0.673005        27.9306        5.14361       0.887049       0.458909                 NaN            NaN
  1358.97        500.000        10.2049        51.4352                 NaN            NaN  0.839388       0.673036        26.7637        5.95668        2.80038        1.32671                 NaN            NaN
  1355.77        500.000        10.2049        51.4352                 NaN            NaN  0.839388       0.673036        26.7637        5.95668        2.80038        1.32671                 NaN            NaN
  1352.56        500.000        10.2049        51.4352                 NaN            NaN  0.839388       0.673036        26.7637        5.95668        2.80038        1.32671                 NaN            NaN
  1349.36        500.000        10.2049        51.4352                 NaN            NaN  0.839388       0.673036        26.7637        5.95668        2.80038        1.32671                 NaN            NaN
  1346.15        500.000        10.2049        51.4352                 NaN            NaN  0.839388       0.673036        26.7637        5.95668        2.80038        1.32671                 NaN            NaN
  1342.95        500.000        10.2049        51.4352                 NaN            NaN  0.839388       0.673036        26.7637        5.95668        2.80038        1.32671                 NaN            NaN
  1339.74        500.000        10.2049        51.4352                 NaN            NaN  0.839388       0.673036        26.7637        5.95668        2.80038        1.32671                 NaN            NaN
  1336.54        500.000        10.2049        51.4352                 NaN            NaN  0.839388       0.673036        26.7637        5.95668        2.80038        1.32671                 NaN            NaN
  1333.33        500.000        8.43731        51.5093                 NaN            NaN  0.900838       0.673057        25.9327        4.11975        6.44736        1.97971                 NaN            NaN
  1330.13        500.000        8.43731        51.5093                 NaN            NaN  0.900838       0.673057        25.9327        4.11975        6.44736        1.97971                 NaN            NaN
  1326.92        500.000        8.43731        51.5093                 NaN            NaN  0.900838       0.673057        25.9327        4.11975        6.44736        1.97971                 NaN            NaN
