|6.6.6
Archiving\03_Data\frac/QFM_m0.5/Y98/Y98_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       pxmn           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1969.92        2500.00        99.0138       0.962555       0.236258E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        2500.00        99.0138       0.962554       0.236257E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        2500.00        99.0138       0.962552       0.236257E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        2500.00        99.0138       0.962551       0.236256E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        2500.00        99.0138       0.962549       0.236256E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        2500.00        99.0138       0.962547       0.236256E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        2500.00        99.0138       0.962545       0.236255E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        2500.00        99.0138       0.962544       0.236255E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        2500.00        99.0138       0.962542       0.236254E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00        99.0138       0.962540       0.236254E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        99.0138       0.962538       0.236253E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        99.0138       0.962537       0.236253E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        99.0138       0.962535       0.236252E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        99.0138       0.962533       0.236252E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        99.0138       0.962531       0.236252E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        99.0138       0.962529       0.236251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        99.0138       0.962527       0.236251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        99.0138       0.962526       0.236250E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        99.0139       0.962524       0.236250E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        99.0139       0.962522       0.236249E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        99.0139       0.962520       0.236249E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        99.0139       0.962518       0.236248E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        99.0139       0.962516       0.236248E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        99.0139       0.962514       0.236247E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        99.0139       0.962512       0.236247E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        99.0139       0.962510       0.236246E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        99.0139       0.962508       0.236246E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        99.0139       0.962506       0.236245E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.0139       0.962504       0.236245E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.0139       0.962501       0.236244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.0139       0.962499       0.236244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.0139       0.962497       0.236243E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.0139       0.962495       0.236243E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.0139       0.962493       0.236242E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.0139       0.962491       0.236242E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.0139       0.962488       0.236241E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.0139       0.962486       0.236241E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.0139       0.962484       0.236240E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.0139       0.962482       0.236239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.0139       0.962479       0.236239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.0139       0.962477       0.236238E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.0139       0.962475       0.236238E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.0139       0.962472       0.236237E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.0139       0.962470       0.236237E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.0139       0.962467       0.236236E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.0139       0.962465       0.236235E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.0139       0.962463       0.236235E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.0139       0.962460       0.236234E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.0139       0.962458       0.236234E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.0139       0.962455       0.236233E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.0139       0.962453       0.236232E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.0139       0.962450       0.236232E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.0139       0.962448       0.236231E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.0139       0.962445       0.236230E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.0139       0.962442       0.236230E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.0139       0.962440       0.236229E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.0139       0.962437       0.236228E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.0139       0.962434       0.236228E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.0139       0.962432       0.236227E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.0139       0.962429       0.236226E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.0140       0.962426       0.236226E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        98.8972       0.962364                 NaN  0.140390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.9932                 NaN            NaN            NaN  0.682897E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.9847                 NaN            NaN            NaN  0.152755E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.9848                 NaN            NaN            NaN  0.151607E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.9849                 NaN            NaN            NaN  0.150610E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.9851                 NaN            NaN            NaN  0.149157E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.9852                 NaN            NaN            NaN  0.148054E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.9853                 NaN            NaN            NaN  0.147011E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.9854                 NaN            NaN            NaN  0.145656E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.9855                 NaN            NaN            NaN  0.144621E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.9857                 NaN            NaN            NaN  0.143410E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.9857                 NaN            NaN            NaN  0.143321E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.9860                 NaN            NaN            NaN  0.140260E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.9860                 NaN            NaN            NaN  0.139990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.9861                 NaN            NaN            NaN  0.138951E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.9862                 NaN            NaN            NaN  0.137851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.9864                 NaN            NaN            NaN  0.136397E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.9864                 NaN            NaN            NaN  0.135810E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.9866                 NaN            NaN            NaN  0.134226E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.9867                 NaN            NaN            NaN  0.133279E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.9867                 NaN            NaN            NaN  0.132893E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.9869                 NaN            NaN            NaN  0.130637E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.9870                 NaN            NaN            NaN  0.130030E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.9871                 NaN            NaN            NaN  0.129233E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.9871                 NaN            NaN            NaN  0.128611E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.9874                 NaN            NaN            NaN  0.126419E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.9875                 NaN            NaN            NaN  0.125427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.9875                 NaN            NaN            NaN  0.124697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.9876                 NaN            NaN            NaN  0.123603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.9877                 NaN            NaN            NaN  0.122618E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.9870                 NaN            NaN            NaN  0.129743E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        99.8526                 NaN            NaN  0.136094       0.112688E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        99.3391                 NaN            NaN  0.648594       0.122581E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        99.3394                 NaN            NaN  0.648352       0.122131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        99.3396                 NaN            NaN  0.648232       0.121808E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        99.3402                 NaN            NaN  0.647675       0.121555E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        99.1469                 NaN            NaN  0.577621       0.843274E-002  0.267050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.3300                 NaN            NaN  0.220325                 NaN   1.44972                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.3425                 NaN            NaN  0.216396                 NaN   1.44113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.3644                 NaN            NaN  0.212374                 NaN   1.42318                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.3958                 NaN            NaN  0.206077                 NaN   1.39810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.4220                 NaN            NaN  0.202967                 NaN   1.37500                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.4404                 NaN            NaN  0.198471                 NaN   1.36113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.4728                 NaN            NaN  0.194417                 NaN   1.33274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.4899                 NaN            NaN  0.189067                 NaN   1.32102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.5165                 NaN            NaN  0.186816                 NaN   1.29669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.5356                 NaN            NaN  0.181726                 NaN   1.28263                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.5563                 NaN            NaN  0.179470                 NaN   1.26423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.5760                 NaN            NaN  0.178858                 NaN   1.24514                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.6052                 NaN            NaN  0.172694                 NaN   1.22213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.6097                 NaN            NaN  0.168502                 NaN   1.22179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.6480                 NaN            NaN  0.164192                 NaN   1.18784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.6523                 NaN            NaN  0.159993                 NaN   1.18768                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.6815                 NaN            NaN  0.158009                 NaN   1.16044                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.6917                 NaN            NaN  0.153501                 NaN   1.15483                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.7121                 NaN            NaN  0.150801                 NaN   1.13714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.7275                 NaN            NaN  0.147082                 NaN   1.12547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.7460                 NaN            NaN  0.145226                 NaN   1.10879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.7601                 NaN            NaN  0.140528                 NaN   1.09936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        98.7731                 NaN            NaN  0.141311                 NaN   1.08562                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.7944                 NaN            NaN  0.135174                 NaN   1.07042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        98.8060                 NaN            NaN  0.130975                 NaN   1.06305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.8188                 NaN            NaN  0.127540                 NaN   1.05363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        98.8353                 NaN            NaN  0.127794                 NaN   1.03689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        98.8470                 NaN            NaN  0.121914                 NaN   1.03107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        98.8601                 NaN            NaN  0.120304                 NaN   1.01956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        98.7339                 NaN            NaN  0.133342                 NaN   1.13280                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.0255                 NaN            NaN  0.994672E-001            NaN  0.875070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        98.8970                 NaN            NaN  0.109907                 NaN  0.993131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        98.9008                 NaN            NaN  0.107638                 NaN  0.991551                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        98.9263                 NaN            NaN  0.103585                 NaN  0.970097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        98.9298                 NaN            NaN  0.101640                 NaN  0.968557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        98.9388                 NaN            NaN  0.105528                 NaN  0.955628                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        98.9568                 NaN            NaN  0.945492E-001            NaN  0.948651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        98.9599                 NaN            NaN  0.915562E-001            NaN  0.948524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        98.9699                 NaN            NaN  0.891450E-001            NaN  0.940955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        98.9731                 NaN            NaN  0.843499E-001            NaN  0.942535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        98.9900                 NaN            NaN  0.829165E-001            NaN  0.927113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        98.9971                 NaN            NaN  0.829577E-001            NaN  0.919914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        99.0036                 NaN            NaN  0.769957E-001            NaN  0.919415                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        2500.00        99.0121                 NaN            NaN  0.763463E-001            NaN  0.911572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        2500.00        99.0178                 NaN            NaN  0.711021E-001            NaN  0.911144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        2500.00        99.0265                 NaN            NaN  0.709731E-001            NaN  0.902492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        2500.00        99.0324                 NaN            NaN  0.673198E-001            NaN  0.900237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        2500.00        98.7573                 NaN            NaN  0.315188E-002            NaN            NaN   1.23951                 NaN            NaN            NaN            NaN            NaN            NaN
