|6.6.6
Archiving\03_Data\fracLP/QFM_m4.75/GRV/GRV_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       pxmn           iron           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1937.34        500.000        99.2025                 NaN  0.679325       0.118165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        99.1907                 NaN  0.679461       0.129798                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        99.1790                 NaN  0.679595       0.141371                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.1673                 NaN  0.679730       0.152926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.1557                 NaN  0.679864       0.164436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.1441                 NaN  0.679999       0.175917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.1325                 NaN  0.680132       0.187377                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.1209                 NaN  0.680266       0.198786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.1094                 NaN  0.680399       0.210152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.0980                 NaN  0.680533       0.221508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.0865                 NaN  0.680665       0.232807                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.0751                 NaN  0.680798       0.244082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.0622                 NaN  0.680941       0.256908                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.0604                 NaN  0.681008       0.258583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.0411                 NaN  0.681194       0.277686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.0298                 NaN  0.681326       0.288835                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.0186                 NaN  0.681457       0.299915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.0373                 NaN  0.681386       0.281296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        98.9963                 NaN  0.681719       0.322007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        98.9851                 NaN  0.681849       0.333008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        98.9741                 NaN  0.681979       0.343959                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        98.9630                 NaN  0.682109       0.354878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        98.9520                 NaN  0.682239       0.365773                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        98.9410                 NaN  0.682368       0.376631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        98.9301                 NaN  0.682498       0.387445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        98.9191                 NaN  0.682626       0.398230                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        98.9083                 NaN  0.682755       0.408988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        98.8888                 NaN  0.682942       0.428252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        98.8866                 NaN  0.683012       0.430378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        98.8758                 NaN  0.683140       0.441034                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        98.8651                 NaN  0.683267       0.451641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        98.8544                 NaN  0.683395       0.462237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        98.8437                 NaN  0.683522       0.472763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        98.8331                 NaN  0.683649       0.483280                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        98.8225                 NaN  0.683776       0.493753                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        98.8119                 NaN  0.683902       0.504188                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        98.8014                 NaN  0.684028       0.514594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        98.7909                 NaN  0.684154       0.524974                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        98.7804                 NaN  0.684280       0.535306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        98.7678                 NaN  0.684420       0.547795                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        98.7607                 NaN  0.684523       0.554821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        98.7492                 NaN  0.684655       0.566110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        98.7389                 NaN  0.684780       0.576311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        98.7286                 NaN  0.684904       0.586478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        98.7183                 NaN  0.685029       0.596635                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        98.7081                 NaN  0.685152       0.606708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        98.6979                 NaN  0.685276       0.616776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        98.6878                 NaN  0.685400       0.626809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        98.6776                 NaN  0.685523       0.636831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        98.6676                 NaN  0.685646       0.646751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        98.6576                 NaN  0.685768       0.656679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        98.6475                 NaN  0.685891       0.666573                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        98.6376                 NaN  0.686013       0.676436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        98.6276                 NaN  0.686135       0.686256                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        98.6177                 NaN  0.686257       0.696062                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        98.6078                 NaN  0.686378       0.705811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        98.5980                 NaN  0.686500       0.715549                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        98.5882                 NaN  0.686621       0.725225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        98.5784                 NaN  0.686742       0.734883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        98.5680                 NaN  0.686863       0.744434       0.676109E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        98.5515                 NaN  0.686995       0.753196       0.827969E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        98.5411                 NaN  0.687180       0.761788       0.994205E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        98.5323                 NaN  0.687377       0.770389       0.990941E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        98.5205                 NaN  0.687586       0.780416       0.115217E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        98.5167                 NaN  0.687781       0.787510       0.805505E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        98.5239                 NaN  0.687894       0.787915       0.330453E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        98.5212                 NaN  0.687963       0.789325       0.155781E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        98.4720                 NaN  0.688231       0.812811       0.270070E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        98.4806                 NaN  0.688543       0.821386       0.948941E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        98.4721                 NaN  0.688735       0.829784       0.941881E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        98.4636                 NaN  0.688926       0.838161       0.935257E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        98.4551                 NaN  0.689116       0.846513       0.928196E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        98.4466                 NaN  0.689306       0.854836       0.922157E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        98.4381                 NaN  0.689495       0.863168       0.924849E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        97.8747                 NaN  0.689757       0.850145       0.100864E-001  0.575357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.3708                 NaN            NaN            NaN  0.102348E-001  0.618972                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.4374                 NaN            NaN            NaN  0.905358E-002  0.553512                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.3980                 NaN            NaN            NaN  0.961431E-002  0.592341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.3928                 NaN            NaN            NaN  0.962283E-002  0.597534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.3905                 NaN            NaN            NaN  0.957167E-002  0.599929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.3860                 NaN            NaN            NaN  0.957223E-002  0.604430                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.3810                 NaN            NaN            NaN  0.957039E-002  0.609408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.3775                 NaN            NaN            NaN  0.954276E-002  0.612933                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.3729                 NaN            NaN            NaN  0.954779E-002  0.617571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.3696                 NaN            NaN            NaN  0.951031E-002  0.620875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.3628                 NaN            NaN            NaN  0.952791E-002  0.627622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.3607                 NaN            NaN            NaN  0.949797E-002  0.629774                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3564                 NaN            NaN            NaN  0.948721E-002  0.634111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.3842                 NaN            NaN            NaN  0.900260E-002  0.606791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3152                 NaN            NaN            NaN  0.993980E-002  0.674814                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3433                 NaN            NaN            NaN  0.947045E-002  0.647181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.3399                 NaN            NaN            NaN  0.943747E-002  0.650643                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3305                 NaN            NaN            NaN  0.949395E-002  0.660043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.3361                 NaN            NaN            NaN  0.934954E-002  0.654595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.3271                 NaN            NaN            NaN  0.942485E-002  0.663502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        98.8979                 NaN            NaN            NaN  0.152981E-001   1.08676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.7624                 NaN            NaN            NaN  0.327798E-002  0.234296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.9068                 NaN            NaN            NaN  0.130033E-002  0.919111E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        98.7015                 NaN            NaN            NaN  0.177531E-001   1.28079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3196                 NaN            NaN            NaN  0.922228E-002  0.671132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.2693                 NaN            NaN            NaN  0.999257E-002  0.720745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.3414                 NaN            NaN            NaN  0.874388E-002  0.649873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.3023                 NaN            NaN            NaN  0.933393E-002  0.688336                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.2994                 NaN            NaN            NaN  0.932593E-002  0.691300                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.3066                 NaN            NaN            NaN  0.920509E-002  0.684227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.2825                 NaN            NaN            NaN  0.947736E-002  0.708006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.2924                 NaN            NaN            NaN  0.929927E-002  0.698329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.2899                 NaN            NaN            NaN  0.930707E-002  0.700773                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.2888                 NaN            NaN            NaN  0.928947E-002  0.701909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.2882                 NaN            NaN            NaN  0.927033E-002  0.702522                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.2863                 NaN            NaN            NaN  0.927509E-002  0.704463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.2849                 NaN            NaN            NaN  0.927009E-002  0.705820                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.2860                 NaN            NaN            NaN  0.924140E-002  0.704717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.2833                 NaN            NaN            NaN  0.926495E-002  0.707440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.2847                 NaN            NaN            NaN  0.924205E-002  0.706043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.2858                 NaN            NaN            NaN  0.921251E-002  0.704986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.2550                 NaN            NaN            NaN  0.963564E-002  0.735324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.3156                 NaN            NaN            NaN  0.882032E-002  0.675530                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.2870                 NaN            NaN            NaN  0.918740E-002  0.703787                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.2906                 NaN            NaN            NaN  0.915226E-002  0.700296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        98.1761                 NaN            NaN            NaN  0.565080E-002  0.178792        1.63947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        98.0175                 NaN            NaN            NaN  0.354739E-002            NaN   1.97898                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        97.9672                 NaN            NaN            NaN  0.350996E-002            NaN   2.02933                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        98.0009                 NaN            NaN            NaN  0.322714E-002            NaN   1.99586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        98.0343                 NaN            NaN            NaN  0.317299E-002  0.107131E-001   1.95178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        98.0697                 NaN            NaN            NaN  0.286040E-002            NaN   1.92746                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        98.1036                 NaN            NaN            NaN  0.263009E-002            NaN   1.89372                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        98.1411                 NaN            NaN            NaN  0.246877E-002            NaN   1.85647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        98.1683                 NaN            NaN            NaN  0.230200E-002            NaN   1.82936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        98.1943                 NaN            NaN            NaN  0.206686E-002            NaN   1.80367                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        98.2304                 NaN            NaN            NaN  0.191495E-002            NaN   1.76769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.2560                 NaN            NaN            NaN  0.178570E-002            NaN   1.74221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.2845                 NaN            NaN            NaN  0.151467E-002            NaN   1.71395                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.3099                 NaN            NaN            NaN  0.131948E-002            NaN   1.68881                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.3358                 NaN            NaN            NaN  0.120635E-002            NaN   1.66300                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.3584                 NaN            NaN            NaN  0.102576E-002            NaN   1.64053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.3887                 NaN            NaN            NaN  0.848377E-003            NaN   1.61042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.4087                 NaN            NaN            NaN  0.675777E-003            NaN   1.59058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.4312                 NaN            NaN            NaN  0.506319E-003            NaN   1.56831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.4555                 NaN            NaN            NaN  0.348728E-003            NaN   1.54412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.4756                 NaN            NaN            NaN  0.145945E-003            NaN   1.52423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.4968                 NaN            NaN            NaN  0.580927E-003            NaN   1.50263                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.5226                 NaN            NaN            NaN  0.271282E-002            NaN   1.47469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.5390                 NaN            NaN            NaN  0.363404E-003            NaN   1.46063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.5593                 NaN            NaN            NaN  0.120804E-002            NaN   1.43944                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.5741                 NaN            NaN            NaN            NaN            NaN   1.42592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.5952                 NaN            NaN            NaN  0.489550E-004            NaN   1.40472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.6092                 NaN            NaN            NaN            NaN            NaN   1.39080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.6269                 NaN            NaN            NaN            NaN            NaN   1.37314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.6431                 NaN            NaN            NaN            NaN            NaN   1.35686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.6581                 NaN            NaN            NaN            NaN            NaN   1.34189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.6724                 NaN            NaN            NaN            NaN            NaN   1.32763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.6864                 NaN            NaN            NaN            NaN            NaN   1.31362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.6990                 NaN            NaN            NaN            NaN            NaN   1.30096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.7118                 NaN            NaN            NaN            NaN            NaN   1.28819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.7182                 NaN            NaN            NaN            NaN            NaN   1.28181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.7478                 NaN            NaN            NaN            NaN            NaN   1.25216                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.7417                 NaN            NaN            NaN            NaN            NaN   1.25831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.7571                 NaN            NaN            NaN            NaN            NaN   1.24291                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.3964                 NaN            NaN            NaN            NaN            NaN  0.373295E-001   1.56629                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.3074                 NaN            NaN            NaN            NaN            NaN            NaN   1.69256                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.1360                 NaN            NaN            NaN  0.792777E-002            NaN            NaN   1.82008       0.359920E-001            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        97.1177                 NaN            NaN            NaN  0.125496E-001            NaN            NaN   2.03472       0.834989                 NaN            NaN            NaN            NaN            NaN
