|6.6.6
Archiving\03_Data\eqLP/QFM_m3.75/Y98/Y98_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       melt(TH)       pxmn           Ni             Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  1923.08        500.000        99.2173                 NaN  0.774376       0.831759E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.2172                 NaN  0.774451       0.831766E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.2172                 NaN  0.774526       0.831772E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.2171                 NaN  0.774601       0.831779E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.2170                 NaN  0.774676       0.831786E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.2169                 NaN  0.774751       0.831793E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.2169                 NaN  0.774827       0.831801E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.2168                 NaN  0.774902       0.831808E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.2167                 NaN  0.774977       0.831816E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.2166                 NaN  0.775053       0.831824E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        99.2166                 NaN  0.775128       0.831832E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        99.2165                 NaN  0.775204       0.831840E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        99.2164                 NaN  0.775279       0.831848E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        99.2163                 NaN  0.775355       0.831857E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        99.2163                 NaN  0.775431       0.831866E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        99.2162                 NaN  0.775506       0.831874E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        99.2161                 NaN  0.775582       0.831884E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        99.2160                 NaN  0.775658       0.831893E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        99.2159                 NaN  0.775734       0.831902E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        99.2159                 NaN  0.775810       0.831912E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        99.2158                 NaN  0.775886       0.831922E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        99.2157                 NaN  0.775962       0.831932E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        99.2156                 NaN  0.776038       0.831942E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        99.2156                 NaN  0.776114       0.831952E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        99.2155                 NaN  0.776191       0.831963E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        99.2154                 NaN  0.776267       0.831974E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        99.2153                 NaN  0.776344       0.831984E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        99.2153                 NaN  0.776420       0.831996E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        99.2152                 NaN  0.776497       0.832007E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        99.2151                 NaN  0.776573       0.832018E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        99.2150                 NaN  0.776650       0.832030E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        99.2150                 NaN  0.776727       0.832041E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        99.2149                 NaN  0.776803       0.832053E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        99.2148                 NaN  0.776880       0.832065E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        99.2147                 NaN  0.776957       0.832078E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        99.2146                 NaN  0.777034       0.832090E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        99.2146                 NaN  0.777111       0.832103E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        99.2145                 NaN  0.777188       0.832116E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        99.2144                 NaN  0.777265       0.832129E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        99.2143                 NaN  0.777342       0.832142E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        99.2143                 NaN  0.777420       0.832155E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        99.2142                 NaN  0.777497       0.832168E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        99.2141                 NaN  0.777574       0.832182E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        99.2140                 NaN  0.777652       0.832196E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        99.2139                 NaN  0.777729       0.832210E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        99.2139                 NaN  0.777807       0.832224E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        99.2138                 NaN  0.777884       0.832238E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        99.2137                 NaN  0.777962       0.832253E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        99.2136                 NaN  0.778040       0.832267E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        99.2136                 NaN  0.778117       0.832282E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        99.2135                 NaN  0.778195       0.832297E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        99.2134                 NaN  0.778273       0.832312E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        99.2133                 NaN  0.778351       0.832327E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        99.2132                 NaN  0.778429       0.832343E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        99.2132                 NaN  0.778507       0.832358E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        99.2131                 NaN  0.778585       0.832374E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        99.2130                 NaN  0.778663       0.832390E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        99.2129                 NaN  0.778741       0.832406E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        99.2129                 NaN  0.778820       0.832422E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        99.2128                 NaN  0.778898       0.832439E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        99.2127                 NaN  0.778976       0.832455E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        99.2126                 NaN  0.779055       0.832472E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        99.2125                 NaN  0.779133       0.832489E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        99.2125                 NaN  0.779212       0.832506E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        99.2124                 NaN  0.779291       0.832523E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        99.2123                 NaN  0.779369       0.832540E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        99.2122                 NaN  0.779448       0.832558E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        99.2121                 NaN  0.779527       0.832575E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        99.2121                 NaN  0.779605       0.832593E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        99.2120                 NaN  0.779684       0.832611E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        99.2119                 NaN  0.779763       0.832629E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        99.2118                 NaN  0.779842       0.832647E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        500.000        99.2118                 NaN  0.779921       0.832666E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        500.000        99.2117                 NaN  0.780000       0.832684E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        500.000        99.2109                 NaN  0.780080       0.832704E-002  0.656987E-003            NaN            NaN            NaN            NaN            NaN
  1682.69        500.000        99.2109                 NaN  0.780155       0.832718E-002  0.657057E-003            NaN            NaN            NaN            NaN            NaN
  1679.49        500.000        99.0231       0.174078       0.780196       0.832697E-002  0.143426E-001            NaN            NaN            NaN            NaN            NaN
  1676.28        500.000        99.0230       0.174076       0.780271       0.832711E-002  0.143441E-001            NaN            NaN            NaN            NaN            NaN
  1673.08        500.000        99.0229       0.174075       0.780346       0.832725E-002  0.143456E-001            NaN            NaN            NaN            NaN            NaN
  1669.87        500.000        99.0228       0.174074       0.780420       0.832740E-002  0.143472E-001            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.1425                 NaN  0.780664       0.832935E-002  0.684815E-001            NaN            NaN            NaN            NaN            NaN
  1663.46        500.000        99.1312                 NaN  0.780761       0.832974E-002  0.797437E-001            NaN            NaN            NaN            NaN            NaN
  1660.26        500.000        99.1198                 NaN  0.780859       0.833012E-002  0.910089E-001            NaN            NaN            NaN            NaN            NaN
  1657.05        500.000        99.1084                 NaN  0.780956       0.833051E-002  0.102277                 NaN            NaN            NaN            NaN            NaN
  1653.85        500.000        99.0971                 NaN  0.781053       0.833090E-002  0.113549                 NaN            NaN            NaN            NaN            NaN
  1650.64        500.000        99.0858                 NaN  0.781150       0.833129E-002  0.124731                 NaN            NaN            NaN            NaN            NaN
  1647.44        500.000        98.3393                 NaN  0.781490       0.713368E-002  0.136402       0.735688                 NaN            NaN            NaN            NaN
  1644.23        500.000        97.5720                 NaN  0.781834       0.588979E-002  0.148137        1.49213                 NaN            NaN            NaN            NaN
  1641.03        500.000        96.8041                 NaN  0.782175       0.464499E-002  0.159882        2.24921                 NaN            NaN            NaN            NaN
  1637.82        500.000        96.0490                 NaN  0.782511       0.340059E-002  0.171378        2.99370                 NaN            NaN            NaN            NaN
  1634.62        500.000        95.2933                 NaN  0.782843       0.215531E-002  0.182884        3.73879                 NaN            NaN            NaN            NaN
  1631.41        500.000        94.5496                 NaN  0.783168       0.923782E-003  0.194325        4.47196                 NaN            NaN            NaN            NaN
  1628.21        500.000        93.8369                 NaN  0.783484                 NaN  0.205383        5.17423                 NaN            NaN            NaN            NaN
  1625.00        500.000        93.1848                 NaN  0.783781                 NaN  0.216250        5.81517                 NaN            NaN            NaN            NaN
  1621.79        500.000        92.5323                 NaN  0.784076                 NaN  0.227125        6.45655                 NaN            NaN            NaN            NaN
  1618.59        500.000        91.8793                 NaN  0.784368                 NaN  0.238007        7.09837                 NaN            NaN            NaN            NaN
  1615.38        500.000        91.2258                 NaN  0.784657                 NaN  0.248897        7.74062                 NaN            NaN            NaN            NaN
  1612.18        500.000        90.5857                 NaN  0.784942                 NaN  0.259248        8.37012                 NaN            NaN            NaN            NaN
  1608.97        500.000        89.9451                 NaN  0.785225                 NaN  0.269606        9.00003                 NaN            NaN            NaN            NaN
  1605.77        500.000        89.3042                 NaN  0.785504                 NaN  0.279971        9.63035                 NaN            NaN            NaN            NaN
  1602.56        500.000        88.6628                 NaN  0.785782                 NaN  0.290343        10.2611                 NaN            NaN            NaN            NaN
  1599.36        500.000        88.0211                 NaN  0.786056                 NaN  0.300721        10.8921                 NaN            NaN            NaN            NaN
  1596.15        500.000        87.3789                 NaN  0.786328                 NaN  0.311105        11.5236                 NaN            NaN            NaN            NaN
  1592.95        500.000        86.7364                 NaN  0.786597                 NaN  0.321496        12.1555                 NaN            NaN            NaN            NaN
  1589.74        500.000        86.0936                 NaN  0.786863                 NaN  0.331892        12.7877                 NaN            NaN            NaN            NaN
  1586.54        500.000        85.4945                 NaN  0.787116                 NaN  0.341598        13.3768                 NaN            NaN            NaN            NaN
  1583.33        500.000        84.8952                 NaN  0.787366                 NaN  0.351309        13.9661                 NaN            NaN            NaN            NaN
  1580.13        500.000        84.2955                 NaN  0.787614                 NaN  0.361025        14.5558                 NaN            NaN            NaN            NaN
  1576.92        500.000        83.6956                 NaN  0.787859                 NaN  0.370746        15.1458                 NaN            NaN            NaN            NaN
  1573.72        500.000        82.8781                 NaN  0.788425                 NaN  0.375011        15.5600       0.398393                 NaN            NaN            NaN
  1570.51        500.000        81.4269                 NaN  0.789878                 NaN  0.364576        15.5496        1.86906                 NaN            NaN            NaN
  1567.31        500.000        80.0372                 NaN  0.791276                 NaN  0.353690        15.5340        3.28385                 NaN            NaN            NaN
  1564.10        500.000        78.6427                 NaN  0.792677                 NaN  0.342764        15.5182        4.70361                 NaN            NaN            NaN
  1560.90        500.000        77.4167                 NaN  0.793936                 NaN  0.330205        15.4895        5.96958                 NaN            NaN            NaN
  1557.69        500.000        76.1869                 NaN  0.795197                 NaN  0.317606        15.4607        7.23951                 NaN            NaN            NaN
  1554.49        500.000        74.9533                 NaN  0.796460                 NaN  0.304966        15.4318        8.51343                 NaN            NaN            NaN
  1551.28        500.000        73.7159                 NaN  0.797726                 NaN  0.292284        15.4028        9.79134                 NaN            NaN            NaN
  1548.08        500.000        72.4746                 NaN  0.798995                 NaN  0.279562        15.3736        11.0733                 NaN            NaN            NaN
  1544.87        500.000        71.2294                 NaN  0.800266                 NaN  0.266798        15.3444        12.3592                 NaN            NaN            NaN
  1541.67        500.000        69.9803                 NaN  0.801540                 NaN  0.253993        15.3150        13.6492                 NaN            NaN            NaN
  1538.46        500.000        68.7274                 NaN  0.802816                 NaN  0.241147        15.2854        14.9432                 NaN            NaN            NaN
  1535.26        500.000        67.6710                 NaN  0.803926                 NaN  0.225230        15.2460        16.0538                 NaN            NaN            NaN
  1532.05        500.000        66.6118                 NaN  0.805039                 NaN  0.209269        15.2065        17.1674                 NaN            NaN            NaN
  1528.85        500.000        65.5498                 NaN  0.806154                 NaN  0.193263        15.1668        18.2840                 NaN            NaN            NaN
  1525.64        500.000        64.4849                 NaN  0.807270                 NaN  0.177212        15.1270        19.4037                 NaN            NaN            NaN
  1522.44        500.000        63.4171                 NaN  0.808389                 NaN  0.161116        15.0870        20.5264                 NaN            NaN            NaN
  1519.23        500.000        62.3464                 NaN  0.809509                 NaN  0.144975        15.0470        21.6521                 NaN            NaN            NaN
  1516.03        500.000        61.2729                 NaN  0.810631                 NaN  0.128789        15.0068        22.7809                 NaN            NaN            NaN
  1512.82        500.000        60.1965                 NaN  0.811755                 NaN  0.112557        14.9664        23.9127                 NaN            NaN            NaN
  1509.62        500.000        59.2132                 NaN  0.812801                 NaN  0.929852E-001   14.9274        24.9535                 NaN            NaN            NaN
  1506.41        500.000        58.2275                 NaN  0.813849                 NaN  0.733626E-001   14.8883        25.9969                 NaN            NaN            NaN
  1503.21        500.000        57.2394                 NaN  0.814898                 NaN  0.536888E-001   14.8491        27.0430                 NaN            NaN            NaN
  1500.00        500.000        56.2488                 NaN  0.815949                 NaN  0.339637E-001   14.8097        28.0916                 NaN            NaN            NaN
  1496.79        500.000        55.2974                 NaN  0.816964                 NaN  0.126645E-001   14.7720        29.1010                 NaN            NaN            NaN
  1493.59        500.000        54.3781                 NaN  0.817939                 NaN            NaN   14.7507        30.0533                 NaN            NaN            NaN
  1490.38        500.000        53.5256                 NaN  0.818843                 NaN            NaN   14.7387        30.9169                 NaN            NaN            NaN
  1487.18        500.000        52.6712                 NaN  0.819748                 NaN            NaN   14.7266        31.7824                 NaN            NaN            NaN
  1483.97        500.000        51.8437                 NaN  0.820622                 NaN            NaN   14.7213        32.6143                 NaN            NaN            NaN
  1480.77        500.000        51.0146                 NaN  0.821498                 NaN            NaN   14.7160        33.4479                 NaN            NaN            NaN
  1477.56        500.000        50.0513                 NaN  0.822521                 NaN            NaN   14.6788        33.9015       0.545882                 NaN            NaN
  1474.36        500.000        48.6460                 NaN  0.824019                 NaN            NaN   14.5398        33.1369        2.85322                 NaN            NaN
  1471.15        500.000        46.9881                 NaN  0.825828                 NaN            NaN   14.4377        32.4288        4.80078       0.518784                 NaN
  1467.95        500.000        45.1681                 NaN  0.827845                 NaN            NaN   14.3700        31.8703        6.19137        1.57238                 NaN
  1464.74        500.000        45.1665                 NaN  0.827881                 NaN            NaN   14.3704        31.8712        6.19156        1.57242                 NaN
  1461.54        500.000        41.7104                 NaN  0.831710                 NaN            NaN   14.2316        30.9344        3.62341        8.66853                 NaN
  1458.33        500.000        41.7088                 NaN  0.831743                 NaN            NaN   14.2320        30.9352        3.62350        8.66878                 NaN
  1455.13        500.000        38.5144                 NaN  0.835315                 NaN            NaN   14.0978        30.2365        5.58112        10.7348                 NaN
  1451.92        500.000        37.0053                 NaN  0.837035                 NaN            NaN   14.0307        29.9905        11.6031        6.53346                 NaN
  1448.72        500.000        35.5446                 NaN  0.838706                 NaN  0.113638E-001   13.9572        29.6115        7.45687        12.5797                 NaN
  1445.51        500.000        35.5432                 NaN  0.838736                 NaN  0.113644E-001   13.9575        29.6121        7.45702        12.5801                 NaN
  1442.31        500.000        32.7624                 NaN  0.841921                 NaN  0.467786E-001   13.8015        28.8783        14.4165        9.25265                 NaN
  1439.10        500.000        31.4540                 NaN  0.843451                 NaN  0.631832E-001   13.7221        28.6344        10.1184        15.1645                 NaN
  1435.90        500.000        28.9552                 NaN  0.845614                 NaN  0.884696E-001   13.7716        28.0667        16.6249        11.0605       0.587020     
  1432.69        500.000        28.9540                 NaN  0.845639                 NaN  0.884738E-001   13.7719        28.0672        16.6252        11.0606       0.587066     
  1429.49        500.000        28.9527                 NaN  0.845664                 NaN  0.884779E-001   13.7721        28.0676        16.6255        11.0608       0.587112     
  1426.28        500.000        28.9515                 NaN  0.845689                 NaN  0.884820E-001   13.7723        28.0681        16.6258        11.0610       0.587157     
  1423.08        500.000        28.9502                 NaN  0.845713                 NaN  0.884862E-001   13.7726        28.0685        16.6261        11.0611       0.587203     
  1419.87        500.000        28.9490                 NaN  0.845738                 NaN  0.884903E-001   13.7728        28.0690        16.6264        11.0613       0.587249     
  1416.67        500.000        28.9477                 NaN  0.845763                 NaN  0.884944E-001   13.7730        28.0695        16.6267        11.0615       0.587294     
  1413.46        500.000        28.9465                 NaN  0.845787                 NaN  0.884985E-001   13.7733        28.0699        16.6271        11.0617       0.587340     
  1410.26        500.000        13.3166                 NaN  0.857651                 NaN  0.241598        14.4451        24.1410        26.0984        15.1323        5.76733     
  1407.05        500.000        13.3160                 NaN  0.857664                 NaN  0.241606        14.4452        24.1410        26.0985        15.1323        5.76769     
  1403.85        500.000        13.3154                 NaN  0.857676                 NaN  0.241613        14.4452        24.1411        26.0986        15.1323        5.76806     
  1400.64        500.000        13.3149                 NaN  0.857688                 NaN  0.241621        14.4452        24.1411        26.0987        15.1323        5.76842     
  1397.44        500.000        13.3143                 NaN  0.857701                 NaN  0.241629        14.4453        24.1412        26.0988        15.1324        5.76879     
  1394.23        500.000        13.3137                 NaN  0.857713                 NaN  0.241636        14.4453        24.1412        26.0989        15.1324        5.76915     
  1391.03        500.000        13.3131                 NaN  0.857725                 NaN  0.241644        14.4454        24.1412        26.0990        15.1324        5.76951     
  1387.82        500.000        13.3125                 NaN  0.857737                 NaN  0.241652        14.4454        24.1413        26.0991        15.1324        5.76988     
  1384.62        500.000        7.07813                 NaN  0.862534                 NaN  0.306470        14.6477        22.8144        16.3369        29.6887        8.26519     
  1381.41        500.000        7.07787                 NaN  0.862541                 NaN  0.306478        14.6476        22.8143        16.3368        29.6887        8.26567     
  1378.21        500.000        7.07761                 NaN  0.862549                 NaN  0.306486        14.6476        22.8142        16.3367        29.6887        8.26615     
  1375.00        500.000        7.07735                 NaN  0.862556                 NaN  0.306494        14.6476        22.8142        16.3366        29.6886        8.26662     
  1371.79        500.000        7.07709                 NaN  0.862563                 NaN  0.306502        14.6475        22.8141        16.3366        29.6886        8.26710     
  1368.59        500.000        7.07682                 NaN  0.862571                 NaN  0.306510        14.6475        22.8140        16.3365        29.6885        8.26757     
  1365.38        500.000        7.07656                 NaN  0.862578                 NaN  0.306518        14.6475        22.8139        16.3364        29.6885        8.26805     
  1362.18        500.000        7.07630                 NaN  0.862585                 NaN  0.306526        14.6474        22.8138        16.3363        29.6885        8.26852     
  1358.97        500.000        3.53416                 NaN  0.865411                 NaN  0.341704        14.6970        22.3268        16.7213        31.5379        9.97568     
  1355.77        500.000        3.53406                 NaN  0.865416                 NaN  0.341712        14.6969        22.3267        16.7212        31.5378        9.97622     
  1352.56        500.000        3.53395                 NaN  0.865421                 NaN  0.341720        14.6968        22.3265        16.7211        31.5377        9.97677     
  1349.36        500.000        3.53385                 NaN  0.865425                 NaN  0.341728        14.6967        22.3264        16.7210        31.5376        9.97732     
  1346.15        500.000        3.53374                 NaN  0.865430                 NaN  0.341736        14.6966        22.3263        16.7209        31.5375        9.97786     
  1342.95        500.000        3.53364                 NaN  0.865435                 NaN  0.341744        14.6966        22.3261        16.7208        31.5373        9.97840     
  1339.74        500.000        3.53353                 NaN  0.865440                 NaN  0.341752        14.6965        22.3260        16.7206        31.5372        9.97895     
  1336.54        500.000        3.53342                 NaN  0.865444                 NaN  0.341759        14.6964        22.3259        16.7205        31.5371        9.97949     
  1333.33        500.000        1.07245                 NaN  0.867537                 NaN  0.361084        14.6720        22.2430        32.6550        16.7906        11.3383     
  1330.13        500.000        1.07242                 NaN  0.867540                 NaN  0.361092        14.6719        22.2429        32.6549        16.7904        11.3389     
  1326.92        500.000        1.07240                 NaN  0.867544                 NaN  0.361099        14.6718        22.2427        32.6547        16.7903        11.3395     
  1323.72        500.000        1.07237                 NaN  0.867547                 NaN  0.361107        14.6717        22.2425        32.6545        16.7902        11.3401     
  1320.51        500.000       0.642934E-001            NaN  0.868464                 NaN  0.366395        14.6402        22.2986        16.7679        33.0603        11.9338     
  1317.31        500.000                 NaN            NaN  0.868515                 NaN  0.364482        14.6442        22.4800        16.8212        32.8388        11.9828     
  1314.10        500.000                 NaN            NaN  0.868499                 NaN  0.360510        14.6559        22.7270        16.8807        32.5077        11.9997     
  1310.90        500.000                 NaN            NaN  0.868502                 NaN  0.360517        14.6558        22.7268        16.8805        32.5075        12.0003     
  1307.69        500.000                 NaN            NaN  0.868465                 NaN  0.354902        14.6765        23.1785        31.9027        16.9853        12.0336     
  1304.49        500.000                 NaN            NaN  0.868467                 NaN  0.354910        14.6764        23.1784        31.9025        16.9851        12.0343     
  1301.28        500.000                 NaN            NaN  0.868470                 NaN  0.354917        14.6763        23.1782        31.9023        16.9850        12.0349     
  1298.08        500.000                 NaN            NaN  0.868472                 NaN  0.354924        14.6761        23.1780        31.9021        16.9848        12.0355     
  1294.87        500.000                 NaN            NaN  0.868475                 NaN  0.354931        14.6760        23.1778        31.9019        16.9847        12.0361     
  1291.67        500.000                 NaN            NaN  0.868477                 NaN  0.354938        14.6759        23.1776        31.9018        16.9845        12.0368     
  1288.46        500.000                 NaN            NaN  0.868479                 NaN  0.354945        14.6758        23.1774        31.9016        16.9844        12.0374     
  1285.26        500.000                 NaN            NaN  0.868481                 NaN  0.354953        14.6757        23.1773        31.9014        16.9842        12.0380     
  1282.05        500.000                 NaN            NaN  0.868344                 NaN  0.337116        14.7502        24.8653        17.3476        29.6706        12.1607     
  1278.85        500.000                 NaN            NaN  0.868346                 NaN  0.337122        14.7501        24.8652        17.3475        29.6704        12.1614     
  1275.64        500.000                 NaN            NaN  0.868348                 NaN  0.337129        14.7500        24.8650        17.3473        29.6703        12.1620     
  1272.44        500.000                 NaN            NaN  0.868350                 NaN  0.337136        14.7499        24.8648        17.3472        29.6701        12.1626     
  1269.23        500.000                 NaN            NaN  0.868352                 NaN  0.337142        14.7497        24.8646        17.3470        29.6700        12.1632     
  1266.03        500.000                 NaN            NaN  0.868354                 NaN  0.337149        14.7496        24.8644        17.3468        29.6698        12.1639     
  1262.82        500.000                 NaN            NaN  0.868356                 NaN  0.337156        14.7495        24.8642        17.3467        29.6696        12.1645     
  1259.62        500.000                 NaN            NaN  0.868358                 NaN  0.337162        14.7494        24.8640        17.3465        29.6695        12.1651     
  1256.41        500.000                 NaN            NaN  0.868231                 NaN  0.327477        14.8134        26.3445        17.6041        27.7601        12.2822     
