|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.25/Y98/Y98_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          an             ilm            San(TH)        q             
  1322.80        500.000        99.1908       0.355314                 NaN  0.145084       0.265208       0.436286E-001            NaN            NaN
  1321.67        500.000        99.2004       0.349671                 NaN  0.144558       0.262377       0.429942E-001            NaN            NaN
  1320.53        500.000        99.2096       0.345578                 NaN  0.143235       0.259344       0.422919E-001            NaN            NaN
  1319.40        500.000        99.2179       0.342556                 NaN  0.141373       0.256522       0.416191E-001            NaN            NaN
  1318.27        500.000        99.2267       0.337759                 NaN  0.140665       0.253823       0.410158E-001            NaN            NaN
  1317.14        500.000        99.2354       0.334682                 NaN  0.138764       0.250795       0.403251E-001            NaN            NaN
  1316.00        500.000        99.2445       0.330387                 NaN  0.137420       0.247952       0.396980E-001            NaN            NaN
  1314.87        500.000        99.2528       0.326458                 NaN  0.136388       0.245259       0.390881E-001            NaN            NaN
  1313.74        500.000        99.2614       0.322083                 NaN  0.135475       0.242543       0.385141E-001            NaN            NaN
  1312.61        500.000        99.2699       0.319492                 NaN  0.133088       0.239668       0.378666E-001            NaN            NaN
  1311.47        500.000        99.2771       0.315612                 NaN  0.132510       0.237393       0.373767E-001            NaN            NaN
  1310.34        500.000        99.2870       0.311052                 NaN  0.131168       0.234104       0.366731E-001            NaN            NaN
  1309.21        500.000        99.2942       0.307606                 NaN  0.130119       0.231913       0.361811E-001            NaN            NaN
  1308.08        500.000        99.3021       0.304708                 NaN  0.128455       0.229109       0.356065E-001            NaN            NaN
  1306.94        500.000        99.3098       0.301335                 NaN  0.127110       0.226634       0.350832E-001            NaN            NaN
  1305.81        500.000        99.3177       0.297513                 NaN  0.126059       0.224139       0.345609E-001            NaN            NaN
  1304.68        500.000        99.3248       0.294988                 NaN  0.124507       0.221694       0.340154E-001            NaN            NaN
  1303.55        500.000        99.3323       0.291455                 NaN  0.123474       0.219289       0.335051E-001            NaN            NaN
  1302.41        500.000        99.3396       0.288654                 NaN  0.121970       0.216791       0.329848E-001            NaN            NaN
  1301.28        500.000        99.3465       0.285405                 NaN  0.120984       0.214583       0.325267E-001            NaN            NaN
  1300.15        500.000        99.3521       0.284145                 NaN  0.118830       0.212849       0.320970E-001            NaN            NaN
  1299.01        500.000        99.3616       0.280196                 NaN  0.117699       0.209070       0.313919E-001            NaN            NaN
  1297.88        500.000        99.3677       0.277310                 NaN  0.116512       0.207446       0.310551E-001            NaN            NaN
  1296.75        500.000        99.3752       0.273209                 NaN  0.115937       0.205103       0.305592E-001            NaN            NaN
  1295.62        500.000        99.3815       0.271189                 NaN  0.114341       0.202817       0.301275E-001            NaN            NaN
  1294.48        500.000        99.3881       0.268559                 NaN  0.112946       0.200696       0.296729E-001            NaN            NaN
  1293.35        500.000        99.3951       0.265321                 NaN  0.111958       0.198432       0.292130E-001            NaN            NaN
  1292.22        500.000        99.4017       0.262829                 NaN  0.110446       0.196223       0.287821E-001            NaN            NaN
  1291.09        500.000        99.4081       0.260147                 NaN  0.109327       0.194067       0.283501E-001            NaN            NaN
  1289.95        500.000        99.4141       0.257813                 NaN  0.108091       0.192039       0.279272E-001            NaN            NaN
  1288.82        500.000        99.4209       0.254926                 NaN  0.106844       0.189847       0.274986E-001            NaN            NaN
  1287.69        500.000        99.4270       0.252674                 NaN  0.105502       0.187768       0.270937E-001            NaN            NaN
  1286.56        500.000        99.4329       0.250199                 NaN  0.104423       0.185773       0.267035E-001            NaN            NaN
  1285.42        500.000        99.4387       0.247218                 NaN  0.103737       0.184039       0.263041E-001            NaN            NaN
  1284.29        500.000        99.4454       0.245634                 NaN  0.101601       0.181486       0.258902E-001            NaN            NaN
  1283.16        500.000        99.4513       0.243330                 NaN  0.100377       0.179527       0.254868E-001            NaN            NaN
  1282.03        500.000        99.4566       0.240649                 NaN  0.997174E-001  0.177858       0.251323E-001            NaN            NaN
  1280.89        500.000        99.4629       0.238505                 NaN  0.981425E-001  0.175680       0.247382E-001            NaN            NaN
  1279.76        500.000        99.4679       0.236690                 NaN  0.968493E-001  0.174133       0.244233E-001            NaN            NaN
  1278.63        500.000        99.4752       0.233770                 NaN  0.955966E-001  0.171509       0.239489E-001            NaN            NaN
  1277.49        500.000        99.4801       0.231795                 NaN  0.944960E-001  0.169983       0.236588E-001            NaN            NaN
  1276.36        500.000        99.4855       0.229493                 NaN  0.935479E-001  0.168143       0.232839E-001            NaN            NaN
  1275.23        500.000        99.4910       0.227296                 NaN  0.924110E-001  0.166332       0.229458E-001            NaN            NaN
  1274.10        500.000        99.4965       0.225024                 NaN  0.913281E-001  0.164516       0.225996E-001            NaN            NaN
  1272.96        500.000        99.5017       0.222930                 NaN  0.902956E-001  0.162837       0.222653E-001            NaN            NaN
  1271.83        500.000        97.7336       0.493438                 NaN  0.187602       0.372222       0.611922E-001   1.15190                 NaN
  1270.70        500.000        91.6351        1.43567                 NaN  0.516168        1.09417       0.193889        5.12503                 NaN
  1269.57        500.000        92.3580        1.32574                 NaN  0.470895        1.00491       0.176111        4.66435                 NaN
  1268.43        500.000        92.9923        1.22774                 NaN  0.429897       0.926120       0.160705        4.26324                 NaN
  1267.30        500.000        93.5331        1.14382                 NaN  0.394530       0.858549       0.147598        3.92236                 NaN
  1266.17        500.000        93.9915        1.07205                 NaN  0.365072       0.801168       0.136480        3.63376                 NaN
  1265.04        500.000        94.3992        1.00896                 NaN  0.337326       0.749668       0.126611        3.37825                 NaN
  1263.90        500.000        94.7513       0.952444                 NaN  0.314876       0.705188       0.118121        3.15812                 NaN
  1262.77        500.000        95.0648       0.902818                 NaN  0.293869       0.665310       0.110529        2.96272                 NaN
  1261.64        500.000        95.3441       0.856720                 NaN  0.276413       0.629714       0.103815        2.78921                 NaN
  1260.51        500.000        95.5940       0.816623                 NaN  0.259605       0.597568       0.977488E-001   2.63441                 NaN
  1259.37        500.000        95.8174       0.779846                 NaN  0.245327       0.568891       0.923161E-001   2.49621                 NaN
  1258.24        500.000        96.0217       0.746166                 NaN  0.231993       0.542298       0.873649E-001   2.37046                 NaN
  1257.11        500.000        96.2076       0.713930                 NaN  0.220900       0.518212       0.829023E-001   2.25648                 NaN
  1255.97        500.000        96.3801       0.686950                 NaN  0.208002       0.495443       0.786351E-001   2.15091                 NaN
  1254.84        500.000        96.5373       0.660425                 NaN  0.197734       0.474739       0.747869E-001   2.05504                 NaN
  1253.71        500.000        96.6796       0.635632                 NaN  0.189070       0.455889       0.713034E-001   1.96852                 NaN
  1252.58        500.000        96.8254       0.613778                 NaN  0.176372       0.435710       0.678913E-001   1.88090                 NaN
  1251.44        500.000        96.9341       0.567225                 NaN  0.177086       0.422654       0.663341E-001   1.83264                 NaN
  1250.31        500.000        97.0298       0.588608                 NaN  0.173234       0.409147       0.615368E-001   1.73771                 NaN
  1249.18        500.000        97.1618       0.552141                 NaN  0.158603       0.391082       0.594245E-001   1.67695                 NaN
  1248.05        500.000        97.2685       0.533398                 NaN  0.150704       0.376509       0.568101E-001   1.61410                 NaN
  1246.91        500.000        97.3660       0.515810                 NaN  0.143854       0.363332       0.543490E-001   1.55669                 NaN
  1245.78        500.000        97.4490       0.503195                 NaN  0.139024       0.351555       0.522534E-001   1.50497                 NaN
  1244.65        500.000        97.5372       0.484816                 NaN  0.134388       0.339491       0.501186E-001   1.45399                 NaN
  1243.52        500.000        97.6173       0.470444                 NaN  0.129098       0.328263       0.480820E-001   1.40685                 NaN
  1242.38        500.000        97.6939       0.456921                 NaN  0.124052       0.317442       0.461843E-001   1.36146                 NaN
  1241.25        500.000        97.7656       0.443391                 NaN  0.119848       0.307463       0.443682E-001   1.31937                 NaN
  1240.12        500.000        97.8384       0.429176                 NaN  0.115224       0.297296       0.425649E-001   1.27733                 NaN
  1238.99        500.000        97.8976       0.419800                 NaN  0.111643       0.288527       0.410686E-001   1.24141                 NaN
  1237.85        500.000        97.9633       0.406306                 NaN  0.107685       0.279213       0.394234E-001   1.20405                 NaN
  1236.72        500.000        98.0230       0.394302                 NaN  0.104747       0.270830       0.379331E-001   1.16922                 NaN
  1235.59        500.000        98.0769       0.386144                 NaN  0.100399       0.262727       0.365474E-001   1.13731                 NaN
  1234.45        500.000        98.1330       0.373622                 NaN  0.980947E-001  0.254743       0.351875E-001   1.10535                 NaN
  1233.32        500.000        98.1861       0.364520                 NaN  0.941814E-001  0.247012       0.338265E-001   1.07431                 NaN
  1232.19        500.000        98.2361       0.354869                 NaN  0.911308E-001  0.239661       0.325362E-001   1.04571                 NaN
  1231.06        500.000        98.2834       0.346710                 NaN  0.876275E-001  0.232819       0.313275E-001   1.01809                 NaN
  1229.92        500.000        98.3306       0.336772                 NaN  0.854081E-001  0.225648       0.302410E-001  0.991372                 NaN
  1228.79        500.000        98.3739       0.328975                 NaN  0.825342E-001  0.219446       0.290379E-001  0.966142                 NaN
  1227.66        500.000        98.4171       0.308534                 NaN  0.850200E-001  0.213893       0.283565E-001  0.947070                 NaN
  1226.53        500.000        97.3262       0.113838       0.389964       0.317573E-001  0.373311       0.354881E-001   1.72945                 NaN
  1225.39        500.000        98.9978       0.337176                 NaN  0.296313E-001  0.117910       0.208220E-001  0.496702                 NaN
  1224.26        500.000        99.2332       0.193718                 NaN  0.514316E-001  0.970783E-001  0.168454E-001  0.407758                 NaN
  1223.13        500.000        98.5532       0.286359                 NaN  0.788100E-001  0.192460       0.248009E-001  0.864348                 NaN
  1222.00        500.000        98.4453       0.144680                 NaN  0.144807       0.223210       0.297788E-001   1.01226                 NaN
  1220.86        500.000        98.8036       0.398812                 NaN  0.810535E-002  0.140367       0.168867E-001  0.632193                 NaN
  1219.73        500.000        98.5684       0.212391                 NaN  0.113799       0.195412       0.257140E-001  0.884320                 NaN
  1218.60        500.000        98.6989       0.159033       0.231996                 NaN  0.166731       0.157646E-001  0.727612                 NaN
  1217.47        500.000        97.5753       0.807882E-001  0.446524                 NaN  0.332078       0.279386E-001   1.53737                 NaN
  1216.33        500.000        99.0029       0.206449                 NaN  0.724976E-001  0.129398       0.170996E-001  0.571634                 NaN
  1215.20        500.000        99.5728       0.184246       0.193510E-001            NaN  0.468605E-001  0.817333E-002  0.168566                 NaN
  1214.07        500.000        96.1964       0.690900       0.292906                 NaN  0.461495       0.577155E-001   2.30060                 NaN
  1212.93        500.000        99.7825       0.340038E-002            NaN  0.413231E-003  0.900566E-002            NaN            NaN  0.204702     
  1211.80        500.000        95.2512       0.376438                 NaN  0.165461       0.422319       0.336091E-001   2.04003        1.71092     
  1210.67        500.000       100.0000       0.725950E-005            NaN  0.771879E-006  0.456692E-005            NaN  0.202847E-004  0.871410E-005
  1209.54        500.000       100.0000                 NaN            NaN  0.718169E-006  0.128857E-005            NaN  0.653814E-005  0.160499E-004
  1208.40        500.000        83.2454        1.62423                 NaN  0.405235        1.45391       0.957768E-001   6.71703        6.45846     
  1207.27        500.000        72.1569        2.40080                 NaN  0.690975        2.36777       0.153883        11.0421        11.1876     
  1206.14        500.000        99.9996       0.340076E-004            NaN  0.122759E-004  0.356886E-004  0.251951E-005  0.167960E-003  0.169698E-003
  1205.01        500.000        99.9990       0.721026E-004            NaN  0.459773E-004  0.919664E-004  0.534468E-005  0.409734E-003  0.420276E-003
  1203.87        500.000        99.9984       0.147233E-003            NaN  0.262836E-004  0.128581E-003  0.876123E-005  0.619885E-003  0.631301E-003
  1202.74        500.000        75.6658        2.04046                 NaN  0.671596        2.05962       0.130260        9.61901        9.81326     
  1201.61        500.000        85.2666       0.169198        1.03457       0.439603        1.24552       0.782991E-001   5.82488        5.94134     
  1200.48        500.000        99.9998       0.201017E-004            NaN  0.348097E-005  0.173482E-004  0.119372E-005  0.848242E-004  0.859320E-004
  1199.34        500.000        89.5159       0.867894                 NaN  0.262920       0.871293       0.567814E-001   4.18179        4.24342     
  1198.21        500.000        91.3746       0.687935                 NaN  0.227094       0.718908       0.453182E-001   3.43685        3.50928     
  1197.08        500.000        93.7258       0.568276                 NaN  0.129990       0.516199       0.332592E-001   2.51726        2.50918     
  1195.95        500.000        91.8760       0.613054                 NaN  0.222977       0.667446       0.425058E-001   3.23360        3.34444     
  1194.81        500.000        86.6732        1.02115                 NaN  0.373312        1.08814       0.712908E-001   5.39706        5.37589     
  1193.68        500.000        98.8410       0.200380                 NaN            NaN  0.107913       0.172596E-002  0.433252       0.415762     
  1192.55        500.000        87.8561       0.312628       0.979485       0.603639E-001  0.999894       0.483409E-001   4.87797        4.86524     
  1191.41        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1190.28        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1189.15        500.000        79.7667        2.17777       0.136505                 NaN   1.64617       0.654733E-001   8.23760        7.96982     
  1188.02        500.000        89.0721       0.925814       0.189205                 NaN  0.846232       0.400480E-001   4.54968        4.37687     
  1186.88        500.000        72.7824        2.47736       0.222756                 NaN   2.07572       0.877825E-001   11.5284        10.8256     
  1185.75        500.000                 NaN   5.24316                 NaN   2.29417        7.07289       0.493208        43.7245        41.1720     
  1184.62        500.000                 NaN   5.28733       0.571936E-005   2.26315        7.07327       0.493369        43.7246        41.1582     
  1183.49        500.000                 NaN   5.28060       0.615293E-005   2.26738        7.07351       0.493514        43.7238        41.1611     
  1182.35        500.000                 NaN   5.27394       0.594556E-005   2.27158        7.07375       0.493661        43.7230        41.1640     
  1181.22        500.000                 NaN   5.26733       0.280582E-005   2.27575        7.07398       0.493807        43.7222        41.1669     
  1180.09        500.000                 NaN   5.26076       0.264433E-005   2.27989        7.07421       0.493950        43.7214        41.1698     
  1178.96        500.000                 NaN   5.25425       0.256754E-005   2.28400        7.07445       0.494092        43.7206        41.1726     
  1177.82        500.000                 NaN   5.24778       0.247991E-005   2.28808        7.07469       0.494233        43.7197        41.1755     
  1176.69        500.000                 NaN   5.24137       0.241302E-005   2.29213        7.07493       0.494372        43.7189        41.1783     
  1175.56        500.000                 NaN   5.23465       0.396576E-003   2.29614        7.07517       0.494507        43.7180        41.1812     
  1174.43        500.000                 NaN   5.22847       0.254008E-003   2.30014        7.07543       0.494642        43.7171        41.1840     
  1173.29        500.000                 NaN   5.22227       0.153222E-003   2.30413        7.07565       0.494781        43.7162        41.1868     
  1172.16        500.000                 NaN   5.21609       0.863975E-004   2.30808        7.07589       0.494915        43.7153        41.1896     
  1171.03        500.000                 NaN   5.20991       0.459329E-004   2.31202        7.07613       0.495050        43.7144        41.1924     
  1169.89        500.000                 NaN   5.20384       0.211848E-005   2.31591        7.07638       0.495179        43.7135        41.1952     
  1168.76        500.000                 NaN   5.19774       0.209009E-005   2.31978        7.07663       0.495310        43.7126        41.1979     
  1167.63        500.000                 NaN   5.19169                 NaN   2.32363        7.07687       0.495438        43.7117        41.2007     
  1166.50        500.000                 NaN   5.18568       0.144913E-005   2.32745        7.07712       0.495566        43.7107        41.2035     
  1165.36        500.000                 NaN   5.17970                 NaN   2.33125        7.07737       0.495692        43.7098        41.2062     
  1164.23        500.000                 NaN   5.17379                 NaN   2.33502        7.07762       0.495816        43.7088        41.2089     
  1163.10        500.000                 NaN   5.16790                 NaN   2.33877        7.07787       0.495940        43.7079        41.2117     
  1161.97        500.000                 NaN   5.16208                 NaN   2.34248        7.07813       0.496062        43.7069        41.2144     
  1160.83        500.000                 NaN   5.15627                 NaN   2.34619        7.07839       0.496183        43.7059        41.2171     
  1159.70        500.000                 NaN   5.15052                 NaN   2.34986        7.07865       0.496303        43.7049        41.2198     
  1158.57        500.000                 NaN   5.14479                 NaN   2.35352        7.07890       0.496422        43.7039        41.2225     
  1157.44        500.000                 NaN   5.13913                 NaN   2.35714        7.07916       0.496540        43.7029        41.2251     
  1156.30        500.000                 NaN   5.13351                 NaN   2.36074        7.07942       0.496656        43.7019        41.2278     
  1155.17        500.000                 NaN   5.12792                 NaN   2.36432        7.07969       0.496771        43.7008        41.2305     
  1154.04        500.000                 NaN   5.12237                 NaN   2.36788        7.07995       0.496885        43.6998        41.2331     
  1152.91        500.000                 NaN   5.11687                 NaN   2.37141        7.08022       0.496998        43.6987        41.2358     
  1151.77        500.000                 NaN   5.11140                 NaN   2.37492        7.08049       0.497109        43.6977        41.2384     
  1150.64        500.000                 NaN   5.10596                 NaN   2.37841        7.08075       0.497220        43.6966        41.2410     
