|6.6.6
Archiving\03_Data\Deqfrac/QFM_m3/YM20/YM20_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)        
  1558.13        2500.00        99.4666       0.509861       0.235173E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1556.58        2500.00        99.4021       0.525531       0.724094E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.03        2500.00        99.4085       0.538605       0.528588E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1553.48        2500.00        99.4108       0.537964       0.512154E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1551.92        2500.00        99.4115       0.538015       0.505055E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1550.37        2500.00        99.4243       0.525480       0.501785E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.82        2500.00        99.4256       0.524868       0.495335E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1547.27        2500.00        99.4286       0.523261       0.480963E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        2500.00        99.4346       0.517649       0.477270E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1544.17        2500.00        99.4374       0.516503       0.460487E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1542.62        2500.00        99.4421       0.511687       0.462135E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1541.07        2500.00        99.4456       0.509597       0.447595E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1539.52        2500.00        99.4508       0.501834       0.473257E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1537.97        2500.00        99.4546       0.503128       0.422238E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1536.42        2500.00        99.4569       0.500743       0.423128E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1534.87        2500.00        99.4535       0.509403       0.370696E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        2500.00        99.4663       0.493632       0.400188E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1531.77        2500.00        99.4677       0.493614       0.386695E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1530.22        2500.00        99.4694       0.492949       0.376805E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1528.67        2500.00        99.4722       0.490542       0.372536E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1527.12        2500.00        99.4792       0.484492       0.362886E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1525.57        2500.00        99.4799       0.486167       0.339309E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1524.02        2500.00        99.4850       0.477556       0.374327E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1522.47        2500.00        99.4864       0.478988       0.346471E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1520.92        2500.00        99.4926       0.474419       0.329573E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1519.37        2500.00        99.4329       0.286353       0.184112E-001  0.262320                 NaN            NaN            NaN            NaN            NaN
  1517.82        2500.00        99.3155                 NaN            NaN  0.684495                 NaN            NaN            NaN            NaN            NaN
  1516.27        2500.00        99.3127                 NaN            NaN  0.687252                 NaN            NaN            NaN            NaN            NaN
  1514.72        2500.00        99.3116                 NaN  0.902061E-006  0.688428                 NaN            NaN            NaN            NaN            NaN
  1513.17        2500.00        99.3077                 NaN            NaN  0.692311                 NaN            NaN            NaN            NaN            NaN
  1511.62        2500.00        99.3042                 NaN            NaN  0.695772                 NaN            NaN            NaN            NaN            NaN
  1510.07        2500.00        99.2983                 NaN            NaN  0.701735                 NaN            NaN            NaN            NaN            NaN
  1508.52        2500.00        99.2900                 NaN            NaN  0.709953                 NaN            NaN            NaN            NaN            NaN
  1506.96        2500.00        99.2068                 NaN            NaN  0.793166                 NaN            NaN            NaN            NaN            NaN
  1505.41        2500.00        99.2362                 NaN            NaN  0.195713       0.568121                 NaN            NaN            NaN            NaN
  1503.86        2500.00        98.8531                 NaN            NaN  0.731701       0.415224                 NaN            NaN            NaN            NaN
  1502.31        2500.00        98.8658                 NaN            NaN  0.409895       0.724313                 NaN            NaN            NaN            NaN
  1500.76        2500.00        98.8761                 NaN  0.130279E-003  0.404924       0.718859                 NaN            NaN            NaN            NaN
  1499.21        2500.00        98.8869                 NaN  0.155429E-005  0.712510       0.400572                 NaN            NaN            NaN            NaN
  1497.66        2500.00        98.8983                 NaN            NaN  0.397060       0.704689                 NaN            NaN            NaN            NaN
  1496.11        2500.00        98.9088                 NaN            NaN  0.699210       0.391959                 NaN            NaN            NaN            NaN
  1494.56        2500.00        98.9197                 NaN            NaN  0.387422       0.692876                 NaN            NaN            NaN            NaN
  1493.01        2500.00        99.2219                 NaN  0.248750E-004  0.278098       0.499959                 NaN            NaN            NaN            NaN
  1491.46        2500.00        98.6473                 NaN            NaN  0.868190       0.484490                 NaN            NaN            NaN            NaN
  1489.91        2500.00        98.9505                 NaN            NaN  0.673960       0.375522                 NaN            NaN            NaN            NaN
  1488.36        2500.00        98.9584                 NaN            NaN  0.670533       0.371103                 NaN            NaN            NaN            NaN
  1486.81        2500.00        98.9697                 NaN  0.955491E-006  0.367588       0.662731                 NaN            NaN            NaN            NaN
  1485.26        2500.00        98.9775                 NaN            NaN  0.364131       0.658365                 NaN            NaN            NaN            NaN
  1483.71        2500.00        98.9868                 NaN            NaN  0.653192       0.359993                 NaN            NaN            NaN            NaN
  1482.16        2500.00        99.0026                 NaN  0.329449E-001  0.305101       0.659350                 NaN            NaN            NaN            NaN
  1480.61        2500.00        99.0043                 NaN  0.236247E-004  0.352663       0.643024                 NaN            NaN            NaN            NaN
  1479.06        2500.00        99.0119                 NaN  0.151093E-005  0.348802       0.639259                 NaN            NaN            NaN            NaN
  1477.51        2500.00        99.0216                 NaN  0.171819E-002  0.342619       0.634072                 NaN            NaN            NaN            NaN
  1475.96        2500.00        99.0304                 NaN  0.121038E-001  0.633205       0.324252                 NaN            NaN            NaN            NaN
  1474.41        2500.00        99.0408                 NaN  0.154263E-001  0.629063       0.314669                 NaN            NaN            NaN            NaN
  1472.86        2500.00        99.0474                 NaN  0.144780E-001  0.313240       0.624832                 NaN            NaN            NaN            NaN
  1471.31        2500.00        99.0549                 NaN  0.136014E-001  0.620426       0.311064                 NaN            NaN            NaN            NaN
  1469.76        2500.00        99.0598                 NaN  0.128647E-001  0.617110       0.310253                 NaN            NaN            NaN            NaN
  1468.21        2500.00        99.2795                 NaN  0.854054E-002  0.473657       0.238329                 NaN            NaN            NaN            NaN
  1466.66        2500.00        98.8645                 NaN  0.133018E-001  0.375266       0.746921                 NaN            NaN            NaN            NaN
  1465.11        2500.00        99.0816                 NaN  0.997115E-002  0.604708       0.303767                 NaN            NaN            NaN            NaN
  1463.55        2500.00        97.9885                 NaN  0.140554       0.767414       0.570917       0.532626                 NaN            NaN            NaN
  1462.00        2500.00        97.2092                 NaN  0.248572       0.746000       0.829909       0.966311                 NaN            NaN            NaN
  1460.45        2500.00        96.6726                 NaN  0.300774       0.996674       0.879118        1.15079                 NaN            NaN            NaN
  1458.90        2500.00        97.0655                 NaN  0.269524       0.768679       0.879631        1.01669                 NaN            NaN            NaN
  1457.35        2500.00        97.1381                 NaN  0.266889       0.861995       0.740197       0.992825                 NaN            NaN            NaN
  1455.80        2500.00        97.2061                 NaN  0.264435       0.714030       0.844987       0.970404                 NaN            NaN            NaN
  1454.25        2500.00        97.2766                 NaN  0.261988       0.827195       0.687188       0.947025                 NaN            NaN            NaN
  1452.70        2500.00        97.3419                 NaN  0.259342       0.809620       0.663646       0.925461                 NaN            NaN            NaN
  1451.15        2500.00        97.4007                 NaN  0.257720       0.640293       0.795527       0.905797                 NaN            NaN            NaN
  1449.60        2500.00        97.4687                 NaN  0.254008       0.777382       0.616967       0.882971                 NaN            NaN            NaN
  1448.05        2500.00        97.5221                 NaN  0.252797       0.595744       0.764278       0.865042                 NaN            NaN            NaN
  1446.50        2500.00        97.5803                 NaN  0.250338       0.574227       0.749106       0.846018                 NaN            NaN            NaN
  1444.95        2500.00        97.6331                 NaN  0.248363       0.736371       0.553737       0.828421                 NaN            NaN            NaN
  1443.40        2500.00        97.6800                 NaN  0.247148       0.726251       0.533566       0.813070                 NaN            NaN            NaN
  1441.85        2500.00        97.7353                 NaN  0.244166       0.516701       0.709685       0.794146                 NaN            NaN            NaN
  1440.30        2500.00        97.7820                 NaN  0.242805       0.497718       0.698763       0.778708                 NaN            NaN            NaN
  1438.75        2500.00        97.8273                 NaN  0.241246       0.686549       0.481216       0.763737                 NaN            NaN            NaN
  1437.20        2500.00        97.8733                 NaN  0.239250       0.464400       0.674936       0.748068                 NaN            NaN            NaN
  1435.65        2500.00        97.9185                 NaN  0.231311       0.661225       0.457252       0.731698                 NaN            NaN            NaN
  1434.10        2500.00        97.9543                 NaN  0.243219       0.422396       0.657433       0.722698                 NaN            NaN            NaN
  1432.55        2500.00        97.9997                 NaN  0.234359       0.417308       0.643085       0.705501                 NaN            NaN            NaN
  1431.00        2500.00        98.0364                 NaN  0.233458       0.634226       0.402609       0.693338                 NaN            NaN            NaN
  1429.45        2500.00        98.0748                 NaN  0.231942       0.624031       0.388848       0.680331                 NaN            NaN            NaN
  1427.90        2500.00        98.1108                 NaN  0.230662       0.616286       0.374044       0.668196                 NaN            NaN            NaN
  1426.35        2500.00        98.1452                 NaN  0.229663       0.360805       0.607237       0.657057                 NaN            NaN            NaN
  1424.80        2500.00        98.1829                 NaN  0.227337       0.348594       0.597491       0.643727                 NaN            NaN            NaN
  1423.25        2500.00        98.2135                 NaN  0.226924       0.335613       0.590535       0.633386                 NaN            NaN            NaN
  1421.70        2500.00        98.2462                 NaN  0.225364       0.581532       0.324555       0.622360                 NaN            NaN            NaN
  1420.15        2500.00        98.2782                 NaN  0.224158       0.574397       0.311681       0.611554                 NaN            NaN            NaN
  1418.59        2500.00        98.3083                 NaN  0.223009       0.300529       0.566847       0.601278                 NaN            NaN            NaN
  1417.04        2500.00        98.3353                 NaN  0.222231       0.290116       0.560181       0.592136                 NaN            NaN            NaN
  1415.49        2500.00        98.3660                 NaN  0.221050       0.277981       0.553121       0.581811                 NaN            NaN            NaN
  1413.94        2500.00        98.3956                 NaN  0.219019       0.546562       0.267471       0.571302                 NaN            NaN            NaN
  1412.39        2500.00        98.4201                 NaN  0.218531       0.539971       0.258400       0.562957                 NaN            NaN            NaN
  1410.84        2500.00        98.4485                 NaN  0.217335       0.248037       0.532671       0.553407                 NaN            NaN            NaN
  1409.29        2500.00        98.4740                 NaN  0.216238       0.238308       0.526821       0.544675                 NaN            NaN            NaN
  1407.74        2500.00        98.4984                 NaN  0.215104       0.229295       0.520962       0.536248                 NaN            NaN            NaN
  1406.19        2500.00        98.5229                 NaN  0.213729       0.514534       0.220769       0.528058                 NaN            NaN            NaN
  1404.64        2500.00        98.5480                 NaN  0.213756       0.209324       0.509338       0.519607                 NaN            NaN            NaN
  1403.09        2500.00        98.5612                 NaN  0.213332       0.203128       0.507561       0.514753                 NaN            NaN            NaN
  1401.54        2500.00        98.5981                 NaN  0.208465       0.195924       0.496619       0.500897                 NaN            NaN            NaN
  1399.99        2500.00        98.6124                 NaN  0.209789       0.186407       0.494502       0.496878                 NaN            NaN            NaN
  1398.44        2500.00        98.6352                 NaN  0.208241       0.179087       0.488754       0.488674                 NaN            NaN            NaN
  1396.89        2500.00        98.6575                 NaN  0.207091       0.171026       0.483292       0.481054                 NaN            NaN            NaN
  1395.34        2500.00        98.6767                 NaN  0.206057       0.479627       0.163213       0.474368                 NaN            NaN            NaN
  1393.79        2500.00        98.6965                 NaN  0.204839       0.474475       0.156864       0.467348                 NaN            NaN            NaN
  1392.24        2500.00        98.7154                 NaN  0.203716       0.469944       0.150197       0.460766                 NaN            NaN            NaN
  1390.69        2500.00        98.7349                 NaN  0.202316       0.466158       0.142839       0.453833                 NaN            NaN            NaN
  1389.14        2500.00        98.7535                 NaN  0.201198       0.461488       0.136381       0.447472                 NaN            NaN            NaN
  1387.59        2500.00        98.7674                 NaN  0.201024       0.457839       0.130762       0.443020                 NaN            NaN            NaN
  1386.04        2500.00        98.7912                 NaN  0.197559       0.454808       0.123233       0.433173                 NaN            NaN            NaN
  1384.49        2500.00        98.8073                 NaN  0.196947       0.118588       0.449018       0.428120                 NaN            NaN            NaN
  1382.94        2500.00        98.8225                 NaN  0.195827       0.446215       0.112735       0.422687                 NaN            NaN            NaN
  1381.39        2500.00        98.8402                 NaN  0.194399       0.441920       0.107158       0.416312                 NaN            NaN            NaN
  1379.84        2500.00        98.8553                 NaN  0.193103       0.102364       0.438379       0.410883                 NaN            NaN            NaN
  1378.29        2500.00        98.8733                 NaN  0.192117       0.433196       0.963896E-001  0.405024                 NaN            NaN            NaN
  1376.74        2500.00        98.8880                 NaN  0.189457       0.430908       0.928418E-001  0.398788                 NaN            NaN            NaN
  1375.18        2500.00        98.9024                 NaN  0.188499       0.427783       0.874881E-001  0.393846                 NaN            NaN            NaN
  1373.63        2500.00        98.9084                 NaN  0.188296       0.429823       0.819848E-001  0.391476                 NaN            NaN            NaN
  1372.08        2500.00        98.9370                 NaN  0.183841       0.808522E-001  0.417423       0.380843                 NaN            NaN            NaN
  1370.53        2500.00        98.9449                 NaN  0.184248       0.416555       0.756081E-001  0.378677                 NaN            NaN            NaN
  1368.98        2500.00        98.9614                 NaN  0.181379       0.415161       0.703288E-001  0.371738                 NaN            NaN            NaN
  1367.43        2500.00        98.9728                 NaN  0.180088       0.674410E-001  0.411884       0.367817                 NaN            NaN            NaN
  1365.88        2500.00        98.9864                 NaN  0.178527       0.408326       0.639095E-001  0.362860                 NaN            NaN            NaN
  1364.33        2500.00        98.9998                 NaN  0.176686       0.605584E-001  0.405195       0.357776                 NaN            NaN            NaN
  1362.78        2500.00        99.0116                 NaN  0.174511       0.402891       0.577984E-001  0.353227                 NaN            NaN            NaN
  1361.23        2500.00        99.0240                 NaN  0.172987       0.400456       0.538746E-001  0.348731                 NaN            NaN            NaN
  1359.68        2500.00        99.0367                 NaN  0.171041       0.514264E-001  0.396964       0.343843                 NaN            NaN            NaN
  1358.13        2500.00        99.0492                 NaN  0.168549       0.392989       0.502676E-001  0.338997                 NaN            NaN            NaN
  1356.58        2500.00        99.0601                 NaN  0.166753       0.390871       0.474181E-001  0.334824                 NaN            NaN            NaN
  1355.03        2500.00        99.0651                 NaN  0.170214       0.348422E-001  0.395088       0.334762                 NaN            NaN            NaN
  1353.48        2500.00        99.0920                 NaN  0.157664       0.377374       0.517001E-001  0.321296                 NaN            NaN            NaN
  1351.93        2500.00        99.0935                 NaN  0.160276       0.417943E-001  0.382518       0.321916                 NaN            NaN            NaN
  1350.38        2500.00        99.1025                 NaN  0.158150       0.380989       0.401410E-001  0.318218                 NaN            NaN            NaN
  1348.83        2500.00        99.1132                 NaN  0.155533       0.390911E-001  0.378294       0.313898                 NaN            NaN            NaN
  1347.28        2500.00        99.1254                 NaN  0.152841       0.373778       0.388074E-001  0.309146                 NaN            NaN            NaN
  1345.73        2500.00        99.1349                 NaN  0.151028       0.368463E-001  0.371655       0.305604                 NaN            NaN            NaN
  1344.18        2500.00        99.1446                 NaN  0.148471       0.361730E-001  0.369075       0.301719                 NaN            NaN            NaN
  1342.63        2500.00        99.1548                 NaN  0.146296       0.348937E-001  0.366303       0.297740                 NaN            NaN            NaN
  1341.08        2500.00        99.1554                 NaN  0.147834       0.373759       0.250818E-001  0.297917                 NaN            NaN            NaN
  1339.53        2500.00        99.1758                 NaN  0.135095       0.350218       0.512218E-001  0.287646                 NaN            NaN            NaN
  1337.98        2500.00        99.1821                 NaN  0.138305       0.358149       0.348559E-001  0.286575                 NaN            NaN            NaN
  1336.43        2500.00        99.1901                 NaN  0.135697       0.356606       0.343023E-001  0.283271                 NaN            NaN            NaN
  1334.88        2500.00        99.1975                 NaN  0.134617       0.274097E-001  0.359922       0.280541                 NaN            NaN            NaN
  1333.33        2500.00        99.2094                 NaN  0.129292       0.349124       0.370108E-001  0.275221                 NaN            NaN            NaN
  1331.78        2500.00        99.2149                 NaN  0.126920       0.348074       0.372092E-001  0.272911                 NaN            NaN            NaN
  1330.22        2500.00        99.2242                 NaN  0.125407       0.344495       0.360844E-001  0.269817                 NaN            NaN            NaN
  1328.67        2500.00        99.2305                 NaN  0.120728       0.384970E-001  0.344502       0.265805                 NaN            NaN            NaN
  1327.12        2500.00        99.2385                 NaN  0.118671       0.390929E-001  0.340649       0.263100                 NaN            NaN            NaN
  1325.57        2500.00        99.2459                 NaN  0.115810       0.398615E-001  0.338427       0.259991                 NaN            NaN            NaN
  1324.02        2500.00        99.2531                 NaN  0.112933       0.336277       0.406945E-001  0.256948                 NaN            NaN            NaN
  1322.47        2500.00        99.2599                 NaN  0.109980       0.334094       0.420057E-001  0.253983                 NaN            NaN            NaN
  1320.92        2500.00        99.2667                 NaN  0.106630       0.331471       0.441671E-001  0.251028                 NaN            NaN            NaN
  1319.37        2500.00        99.2734                 NaN  0.103771       0.329404       0.452505E-001  0.248209                 NaN            NaN            NaN
  1317.82        2500.00        99.2788                 NaN  0.999773E-001  0.324273       0.511569E-001  0.245748                 NaN            NaN            NaN
  1316.27        2500.00        99.2858                 NaN  0.970744E-001  0.493587E-001  0.325076       0.242656                 NaN            NaN            NaN
  1314.72        2500.00        99.2918                 NaN  0.941767E-001  0.508336E-001  0.323042       0.240166                 NaN            NaN            NaN
  1313.17        2500.00        99.2964                 NaN  0.906097E-001  0.322917       0.521778E-001  0.237854                 NaN            NaN            NaN
  1311.62        2500.00        99.3038                 NaN  0.876999E-001  0.319181       0.544256E-001  0.234897                 NaN            NaN            NaN
  1310.07        2500.00        99.3087                 NaN  0.843684E-001  0.319098       0.551511E-001  0.232670                 NaN            NaN            NaN
  1308.52        2500.00        99.3151                 NaN  0.817696E-001  0.541823E-001  0.318840       0.230073                 NaN            NaN            NaN
  1306.97        2500.00        99.3197                 NaN  0.777801E-001  0.320790       0.539181E-001  0.227809                 NaN            NaN            NaN
  1305.42        2500.00        87.9417                 NaN  0.634926        2.33675                 NaN   1.66051        7.42616                 NaN            NaN
  1303.87        2500.00        87.9534                 NaN  0.649559        2.31668                 NaN   1.65874        7.42161                 NaN            NaN
  1302.32        2500.00        88.7401                 NaN  0.620371        2.17039                 NaN   1.55968        6.90941                 NaN            NaN
  1300.77        2500.00        89.4398                 NaN  0.570848        2.07349                 NaN   1.47175        6.44406                 NaN            NaN
  1299.22        2500.00        89.4290                 NaN  0.566861        2.07370                 NaN   1.47923        6.42762       0.235630E-001            NaN
  1297.67        2500.00        78.5993                 NaN   1.08916        3.78941                 NaN   2.94913        13.1071       0.465895                 NaN
  1296.12        2500.00        80.0934                 NaN   1.07462        3.48755                 NaN   2.74309        12.1722       0.429122                 NaN
  1294.57        2500.00        81.4841                 NaN   1.03520        3.23510                 NaN   2.55252        11.2994       0.393657                 NaN
  1293.02        2500.00        70.3475                 NaN   1.87083        4.76410                 NaN   4.17636        18.1766       0.664662                 NaN
  1291.47        2500.00        97.4376                 NaN  0.122903       0.704941                 NaN  0.213822        1.51580       0.495495E-002            NaN
  1289.92        2500.00        82.7458                 NaN   1.01310        3.07545                 NaN   2.37917        10.4371       0.349401                 NaN
  1288.37        2500.00        81.9244                 NaN   1.17840        2.90853                 NaN   2.52785        11.0873       0.373519                 NaN
  1286.81        2500.00        89.5236                 NaN  0.296405        2.30573                 NaN   1.34084        6.32097       0.212406                 NaN
  1285.26        2500.00        84.8163                 NaN   1.16251        2.52273                 NaN   2.09640        9.14033       0.261767                 NaN
  1283.71        2500.00        84.2230                 NaN  0.930366        2.78312                 NaN   2.12849        9.63661       0.298404                 NaN
  1282.16        2500.00        82.1971                 NaN   1.05140        3.10617                 NaN   2.37429        10.9400       0.331039                 NaN
  1280.61        2500.00        77.7974                 NaN   1.30435        3.82538                 NaN   2.91158        13.7579       0.403328                 NaN
  1279.06        2500.00        55.3610                 NaN   2.58793        7.48451                 NaN   5.69590        28.0767       0.793958                 NaN
  1277.51        2500.00                 NaN            NaN   6.09929        13.5578        2.75046        12.5824        63.1751        1.63300       0.202022     
  1275.96        2500.00                 NaN            NaN   6.09395        13.4682        2.84877        12.5873        63.1662        1.62899       0.206581     
  1274.41        2500.00                 NaN            NaN   5.72218        16.8400                 NaN   12.5963        62.9344        1.42248       0.484586     
  1272.86        2500.00                 NaN            NaN   5.78955        16.7722                 NaN   12.6034        62.9472        1.46048       0.427198     
  1271.31        2500.00                 NaN            NaN   5.85247        16.7170                 NaN   12.6118        62.9511        1.49748       0.370163     
  1269.76        2500.00                 NaN            NaN   5.91458        16.6589                 NaN   12.6195        62.9584        1.53332       0.315381     
  1268.21        2500.00                 NaN            NaN   5.97794        16.5824                 NaN   12.6211        62.9849        1.56553       0.268130     
  1266.66        2500.00                 NaN            NaN   6.03395        16.5425                 NaN   12.6324        62.9776        1.60086       0.212628     
  1265.11        2500.00                 NaN            NaN   6.08372        16.5087                 NaN   12.6427        62.9696        1.63251       0.162766     
  1263.56        2500.00                 NaN            NaN   6.09011        16.5022                 NaN   12.6468        62.9675        1.63546       0.157972     
  1262.01        2500.00                 NaN            NaN   6.11905        16.6265                 NaN   12.6800        62.8249        1.67992       0.696937E-001
  1260.46        2500.00                 NaN            NaN   6.16650        16.5976                 NaN   12.6904        62.8140        1.71023       0.212227E-001
  1258.91        2500.00                 NaN            NaN   6.12301        16.4751                 NaN   12.6612        62.9583        1.65301       0.129384     
  1257.36        2500.00                 NaN            NaN   6.13470        16.4662                 NaN   12.6660        62.9547        1.65948       0.118870     
  1255.81        2500.00                 NaN            NaN   6.14807        16.4562                 NaN   12.6710        62.9510        1.66707       0.106601     
  1254.26        2500.00                 NaN            NaN   6.16029        16.4470                 NaN   12.6758        62.9475        1.67392       0.954910E-001
  1252.71        2500.00                 NaN            NaN   6.17242        16.4380                 NaN   12.6805        62.9439        1.68072       0.844448E-001
  1251.16        2500.00                 NaN            NaN   6.18487        16.4288                 NaN   12.6853        62.9403        1.68775       0.730407E-001
  1249.61        2500.00                 NaN            NaN   6.19558        16.4207                 NaN   12.6898        62.9368        1.69365       0.634207E-001
  1248.06        2500.00                 NaN            NaN   6.20997        16.4105                 NaN   12.6948        62.9328        1.70198       0.499261E-001
  1246.51        2500.00                 NaN            NaN   6.36245        1.46197        14.5813        12.6735        63.1675        1.75323                 NaN
  1244.96        2500.00                 NaN            NaN   6.23454        16.3927                 NaN   12.7042        62.9253        1.71593       0.272464E-001
  1243.41        2500.00                 NaN            NaN   6.24715        16.3838                 NaN   12.7089        62.9215        1.72314       0.155201E-001
  1241.85        2500.00                 NaN            NaN   6.25959        16.3750                 NaN   12.7136        62.9176        1.73025       0.394225E-002
  1240.30        2500.00                 NaN            NaN   6.26373        16.3733                 NaN   12.7175        62.9129        1.73248                 NaN
  1238.75        2500.00                 NaN            NaN   6.36419        1.57400        14.4711        12.6880        63.1507        1.75193                 NaN
  1237.20        2500.00                 NaN            NaN   6.26351        16.3772                 NaN   12.7247        62.9028        1.73187                 NaN
  1235.65        2500.00                 NaN            NaN   6.26341        16.3793                 NaN   12.7282        62.8976        1.73155                 NaN
  1234.10        2500.00                 NaN            NaN   6.26431        16.3770                 NaN   12.7313        62.8961        1.73129                 NaN
