|6.6.6
Archiving\03_Data\fracLP/QFM_m5/LAR/LAR_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       pxmn           iron           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1952.38        500.000        92.3880       0.918524        6.69346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        92.3691       0.918572        6.71235                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        92.3502       0.918621        6.73119                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        92.3314       0.918670        6.74992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        92.3126       0.918718        6.76869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        92.2940       0.918766        6.78718                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        92.2754       0.918814        6.80574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        92.2570       0.918862        6.82419                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        92.2332       0.918923        6.84785                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        92.2202       0.918957        6.86086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        92.2019       0.919004        6.87910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        92.1837       0.919051        6.89727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        92.1655       0.919098        6.91538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        92.1474       0.919144        6.93341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        92.1295       0.919191        6.95135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        92.1115       0.919237        6.96924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        92.0936       0.919283        6.98707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        92.0758       0.919329        7.00483                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        92.0580       0.919375        7.02266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        92.0405       0.919420        7.04008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        92.0229       0.919466        7.05761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        92.0054       0.919511        7.07512                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        91.9879       0.919556        7.09252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        92.0551       0.919383        7.02554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        91.9533       0.919645        7.12705                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        91.9361       0.919690        7.14423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        91.9189       0.919734        7.16135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        91.9018       0.919778        7.17840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        91.8848       0.919822        7.19537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        91.8376       0.919943        7.24244                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        91.8510       0.919909        7.22913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        91.8342       0.919952        7.24589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        91.8174       0.919996        7.26265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        91.7963       0.920050        7.28368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        91.7841       0.920081        7.29580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        91.7676       0.920124        7.31229                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        91.7740       0.920108        7.30592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        91.7347       0.920209        7.34508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        91.7184       0.920251        7.36136                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        91.7021       0.920293        7.37759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        91.6859       0.920335        7.39374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        91.6698       0.920376        7.40984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        91.6537       0.920417        7.42585                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        91.6377       0.920459        7.44183                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        91.6218       0.920500        7.45772                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        91.6060       0.920541        7.47350                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        91.5902       0.920581        7.48926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        91.5744       0.920622        7.50494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        91.5588       0.920662        7.52056                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        91.5432       0.920702        7.53611                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        91.5277       0.920742        7.55160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        91.5122       0.920782        7.56702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        91.4968       0.920822        7.58236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        91.4815       0.920861        7.59764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        91.4662       0.920901        7.61286                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        91.4511       0.920940        7.62801                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        91.4359       0.920979        7.64309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        91.4208       0.921018        7.65814                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        91.4059       0.921056        7.67306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        91.3909       0.921095        7.68796                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        91.3761       0.921133        7.70278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        91.3613       0.921171        7.71754                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        91.3465       0.921209        7.73224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        91.3318       0.921247        7.74696                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        91.3173       0.921284        7.76140                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        91.3028       0.921322        7.77589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        91.2883       0.921359        7.79030                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        91.2739       0.921396        7.80471                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        91.2595       0.921433        7.81907                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        91.2453       0.921470        7.83325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        91.2311       0.921506        7.84736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        91.2170       0.921543        7.86146                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        91.2029       0.921579        7.87548                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        91.1889       0.921615        7.88951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        91.1749       0.921651        7.90341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        91.1611       0.921687        7.91723                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        91.1473       0.921722        7.93097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        91.1336       0.921757        7.94469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        91.1338       0.921757        7.94442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        91.1062       0.921828        7.97196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        91.0927       0.921863        7.98546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        91.0792       0.921897        7.99889                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        91.0658       0.921932        8.01227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        91.0654       0.921933        8.01267                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        91.0391       0.922000        8.03888                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        91.0259       0.922034        8.05206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        91.0130       0.922068        8.06494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        90.9996       0.922102        8.07826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        90.9866       0.922136        8.09130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        90.9736       0.922169        8.10421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        90.9607       0.922202        8.11709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        90.9478       0.922235        8.12996                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        90.9350       0.922268        8.14272                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        90.9224       0.922301        8.15534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        90.9097       0.922333        8.16796                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        90.8971       0.922366        8.18053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        90.8846       0.922398        8.19301                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        90.8721       0.922430        8.20545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        90.8597       0.922462        8.21781                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        90.8474       0.922494        8.23012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        90.8351       0.922525        8.24237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        90.8229       0.922557        8.25458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        90.8107       0.922588        8.26671                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        90.7987       0.922619        8.27872                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        90.7866       0.922650        8.29071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        90.7747       0.922680        8.30267                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        90.7628       0.922711        8.31450                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        90.7510       0.922741        8.32631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        90.7392       0.922772        8.33806                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        90.7275       0.922802        8.34972                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        90.7158       0.922831        8.36134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        90.7042       0.922861        8.37289                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        90.6927       0.922891        8.38439                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        90.6813       0.922920        8.39580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        90.6699       0.922949        8.40717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        90.6585       0.922979        8.41848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        90.6473       0.923007        8.42971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        90.6361       0.923036        8.44089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        90.6249       0.923065        8.45200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        90.6139       0.923093        8.46306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        90.5890       0.923157        8.48782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        90.5919       0.923150        8.48498                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        90.5810       0.923178        8.49584                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        90.5701       0.923205        8.50669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        90.5594       0.923233        8.51740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        90.5487       0.923260        8.52807                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        90.5380       0.923288        8.53868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        90.5274       0.923315        8.54925                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        90.5169       0.923342        8.55975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        90.5065       0.923369        8.57017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        90.4961       0.923395        8.58053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        90.4857       0.923422        8.59085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        90.4755       0.923448        8.60109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        90.4652       0.923474        8.61129                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        90.4484       0.923497        8.62021       0.783962E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        90.4351       0.923590        8.62904       0.122309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        90.4259       0.923724        8.63822       0.121435E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        90.4168       0.923857        8.64734       0.120439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        90.4077       0.923989        8.65641       0.119487E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        90.3986       0.924120        8.66541       0.118478E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        90.3896       0.924249        8.67437       0.117694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        90.3807       0.924378        8.68327       0.116513E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        90.3718       0.924506        8.69211       0.115575E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        90.3640       0.924632        8.70049       0.108415E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        90.3537       0.924753        8.70958       0.119947E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        90.3701       0.924848        8.70448       0.558824E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        90.3271       0.924908        8.72608       0.219504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        90.3283       0.925131        8.73549       0.110363E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        90.3198       0.925252        8.74399       0.109863E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        90.1419       0.925326        8.73432       0.114839E-001  0.186968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        99.4629                 NaN            NaN  0.123967E-001  0.524725                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        99.4631                 NaN            NaN  0.123812E-001  0.524473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        99.4734                 NaN            NaN  0.123283E-001  0.514304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        99.2915                 NaN            NaN  0.162287E-001  0.692251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        99.6456                 NaN            NaN  0.818843E-002  0.346251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.8201                 NaN            NaN            NaN  0.789982E-001   1.10089                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.7173                 NaN            NaN            NaN  0.103921E-005   1.28271                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.7372                 NaN            NaN            NaN  0.148027E-002   1.26134                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.7545                 NaN            NaN            NaN  0.567578E-002   1.23981                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.7825                 NaN            NaN            NaN  0.629596E-001   1.15456                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.7929                 NaN            NaN            NaN            NaN   1.20714                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.8133                 NaN            NaN            NaN            NaN   1.18668                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.8270                 NaN            NaN            NaN            NaN   1.17295                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.8399                 NaN            NaN            NaN            NaN   1.16015                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.8606                 NaN            NaN            NaN            NaN   1.13937                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.8772                 NaN            NaN            NaN            NaN   1.12282                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.8391                 NaN            NaN            NaN            NaN   1.16095                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        99.0054                 NaN            NaN            NaN  0.190212E-001  0.975584                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.8753                 NaN            NaN            NaN            NaN   1.12474                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.9375                 NaN            NaN            NaN            NaN   1.06255                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        98.9488                 NaN            NaN            NaN            NaN   1.05124                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        98.9613                 NaN            NaN            NaN            NaN   1.03874                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        98.9775                 NaN            NaN            NaN            NaN   1.02251                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        98.9846                 NaN            NaN            NaN            NaN   1.01542                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        99.0025                 NaN            NaN            NaN            NaN  0.997536                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        99.4650                 NaN            NaN            NaN  0.434235E-002  0.530659                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        98.5380                 NaN            NaN            NaN            NaN   1.29625       0.165709                 NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        98.8168                 NaN            NaN            NaN            NaN  0.971454E-001   1.08607                 NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        98.8243                 NaN            NaN            NaN            NaN  0.875912E-001   1.08814                 NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        98.8290                 NaN            NaN            NaN            NaN  0.776947E-001   1.09333                 NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        98.8353                 NaN            NaN            NaN            NaN  0.681135E-001   1.09662                 NaN            NaN            NaN            NaN            NaN
  1498.75        500.000        98.8388                 NaN            NaN            NaN            NaN  0.576660E-001   1.10357                 NaN            NaN            NaN            NaN            NaN
  1496.24        500.000        98.3858                 NaN            NaN            NaN            NaN  0.596964E-001   1.55447                 NaN            NaN            NaN            NaN            NaN
  1493.73        500.000        99.2964                 NaN            NaN            NaN            NaN  0.201020E-001  0.683523                 NaN            NaN            NaN            NaN            NaN
  1491.23        500.000        98.8447                 NaN            NaN            NaN            NaN  0.225477E-001   1.13278                 NaN            NaN            NaN            NaN            NaN
  1488.72        500.000        98.8404                 NaN            NaN            NaN            NaN  0.866797E-002   1.15096                 NaN            NaN            NaN            NaN            NaN
  1486.22        500.000        98.8383                 NaN            NaN            NaN            NaN            NaN   1.16171                 NaN            NaN            NaN            NaN            NaN
  1483.71        500.000        98.8995                 NaN            NaN            NaN            NaN            NaN   1.10050                 NaN            NaN            NaN            NaN            NaN
  1481.20        500.000        98.7010                 NaN            NaN            NaN            NaN  0.863757E-002   1.23317       0.571558E-001            NaN            NaN            NaN            NaN
  1478.70        500.000        98.2030                 NaN            NaN            NaN            NaN  0.804579E-002  0.821922       0.967043                 NaN            NaN            NaN            NaN
  1476.19        500.000        98.1458                 NaN            NaN            NaN            NaN            NaN  0.771651        1.08256                 NaN            NaN            NaN            NaN
  1473.68        500.000        98.1802                 NaN            NaN            NaN            NaN  0.589100E-002   1.06378       0.750174                 NaN            NaN            NaN            NaN
  1471.18        500.000        98.2155                 NaN            NaN            NaN            NaN  0.287641E-001   1.04437       0.711389                 NaN            NaN            NaN            NaN
  1468.67        500.000        98.2474                 NaN            NaN            NaN            NaN  0.368591E-001   1.02638       0.689341                 NaN            NaN            NaN            NaN
  1466.17        500.000        98.2770                 NaN            NaN            NaN            NaN            NaN  0.713787        1.00920                 NaN            NaN            NaN            NaN
  1463.66        500.000        98.3083                 NaN            NaN            NaN            NaN            NaN  0.990007       0.701730                 NaN            NaN            NaN            NaN
  1461.15        500.000        98.3369                 NaN            NaN            NaN            NaN            NaN  0.974435       0.688634                 NaN            NaN            NaN            NaN
  1458.65        500.000        98.3661                 NaN            NaN            NaN            NaN            NaN  0.675325       0.958577                 NaN            NaN            NaN            NaN
