|6.6.6
Archiving\03_Data\fracLP/QFM_m5/LAR/LAR_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       pxmn           iron           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1904.76        500.000        96.4676       0.746030        2.78638                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        96.4605       0.746122        2.79340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        96.4534       0.746214        2.80042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        96.4463       0.746306        2.80739                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        96.4731       0.746159        2.78074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        96.4323       0.746489        2.82124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        96.4253       0.746580        2.82813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        96.4183       0.746671        2.83499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        96.4114       0.746761        2.84183                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        96.4045       0.746852        2.84864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        96.3855       0.747028        2.86745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        96.3908       0.747032        2.86218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        96.3840       0.747122        2.86890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        96.3772       0.747212        2.87563                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        96.3686       0.747314        2.88406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        96.3637       0.747390        2.88893                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        96.3570       0.747480        2.89555                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        96.3594       0.747503        2.89305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        96.3436       0.747657        2.90872                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        96.3370       0.747746        2.91525                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        96.3304       0.747834        2.92177                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        96.3238       0.747922        2.92826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        96.3173       0.748010        2.93472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        96.3107       0.748098        2.94116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        96.3042       0.748185        2.94758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        96.2978       0.748273        2.95396                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        96.2913       0.748360        2.96031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        96.2849       0.748447        2.96664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        96.2785       0.748534        2.97294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        96.2722       0.748620        2.97922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        96.2658       0.748707        2.98547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        96.2595       0.748793        2.99170                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        96.2532       0.748879        2.99790                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        96.2470       0.748965        3.00407                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        96.2407       0.749050        3.01022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        96.2345       0.749136        3.01634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        96.2283       0.749221        3.02244                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        96.2222       0.749306        3.02851                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        96.2160       0.749391        3.03456                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        96.2100       0.749476        3.04057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        96.2039       0.749560        3.04657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        96.1978       0.749645        3.05253                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        96.1918       0.749729        3.05848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        96.1858       0.749813        3.06440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        96.1798       0.749897        3.07033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        96.1739       0.749980        3.07614                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        96.1680       0.750064        3.08198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        96.1621       0.750147        3.08779                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        96.1562       0.750230        3.09359                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        96.1503       0.750313        3.09938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        96.1445       0.750396        3.10510                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        96.1387       0.750478        3.11079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        96.1330       0.750561        3.11647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        96.1272       0.750643        3.12213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        96.1215       0.750725        3.12779                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        96.1158       0.750807        3.13339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        96.1101       0.750888        3.13897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        96.1045       0.750970        3.14451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        96.0989       0.751051        3.15005                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        96.0989       0.751092        3.14999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        96.0877       0.751213        3.16106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        96.0822       0.751294        3.16651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        96.0767       0.751375        3.17193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        96.0712       0.751455        3.17734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        96.0710       0.751498        3.17755                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        96.0603       0.751616        3.18808                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        96.0549       0.751695        3.19341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        96.0496       0.751774        3.19861                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        96.0441       0.751855        3.20400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        96.0388       0.751934        3.20927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        96.0335       0.752013        3.21449                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        96.0282       0.752093        3.21970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        96.0229       0.752172        3.22490                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        96.0177       0.752250        3.23006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        96.0125       0.752329        3.23517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        96.0073       0.752407        3.24028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        96.0022       0.752485        3.24536                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        95.9970       0.752563        3.25042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        95.9919       0.752641        3.25545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        95.9868       0.752719        3.26046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        95.9818       0.752797        3.26544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        95.9767       0.752874        3.27040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        95.9717       0.752951        3.27535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        95.9667       0.753029        3.28026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        95.9618       0.753105        3.28513                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        95.9568       0.753182        3.28999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        95.9519       0.753259        3.29484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        95.9470       0.753335        3.29964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        95.9422       0.753411        3.30442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        95.9373       0.753488        3.30919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        95.9325       0.753563        3.31392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        95.9277       0.753639        3.31864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        95.9230       0.753715        3.32333                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        95.9182       0.753790        3.32799                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        95.9135       0.753866        3.33263                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        95.9088       0.753941        3.33724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        95.9041       0.754016        3.34184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        95.8995       0.754091        3.34640                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        95.8949       0.754165        3.35094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        95.8903       0.754240        3.35546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        95.8857       0.754314        3.35995                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        95.8756       0.754429        3.36994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        95.8767       0.754462        3.36887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        95.8722       0.754536        3.37329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        95.8677       0.754610        3.37770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        95.8633       0.754684        3.38206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        95.8588       0.754757        3.38640                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        95.8544       0.754830        3.39072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        95.8501       0.754903        3.39502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        95.8457       0.754976        3.39930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        95.8414       0.755049        3.40355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        95.8371       0.755122        3.40777                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        95.8328       0.755194        3.41197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        95.8286       0.755266        3.41615                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        95.8244       0.755339        3.42031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        95.8154       0.755416        3.42400       0.521909E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        95.8088       0.755534        3.42757       0.814193E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        95.8050       0.755675        3.43124       0.808537E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        95.8013       0.755815        3.43488       0.801964E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        95.7976       0.755955        3.43851       0.795708E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        95.7939       0.756094        3.44211       0.789158E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        95.7902       0.756232        3.44569       0.784185E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        95.7866       0.756369        3.44925       0.776194E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        95.7830       0.756506        3.45279       0.770109E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        95.7800       0.756640        3.45613       0.722397E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        95.7754       0.756774        3.45979       0.799453E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        95.7851       0.756859        3.45767       0.372778E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        95.7619       0.756992        3.46651       0.146386E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        95.7653       0.757180        3.47016       0.735916E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        95.7618       0.757312        3.47356       0.732637E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        95.5973       0.757438        3.46990       0.765821E-002  0.167730                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        99.5484                 NaN            NaN  0.779719E-002  0.443848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        99.5493                 NaN            NaN  0.778401E-002  0.442918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        99.5578                 NaN            NaN  0.774732E-002  0.434464                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        99.4058                 NaN            NaN  0.101905E-001  0.583989                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        99.7031                 NaN            NaN  0.513652E-002  0.291770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.9818                 NaN            NaN            NaN  0.665869E-001  0.951661                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.8916                 NaN            NaN            NaN  0.875010E-006   1.10844                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.9094                 NaN            NaN            NaN  0.124608E-002   1.08940                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.9248                 NaN            NaN            NaN  0.477440E-002   1.07040                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.9511                 NaN            NaN            NaN  0.529097E-001  0.995954                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.9591                 NaN            NaN            NaN            NaN   1.04092                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.9772                 NaN            NaN            NaN            NaN   1.02281                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.9896                 NaN            NaN            NaN            NaN   1.01038                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.0010                 NaN            NaN            NaN            NaN  0.998967                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        99.0196                 NaN            NaN            NaN            NaN  0.980375                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        99.0342                 NaN            NaN            NaN            NaN  0.965767                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        99.0019                 NaN            NaN            NaN            NaN  0.998127                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        99.1460                 NaN            NaN            NaN  0.158929E-001  0.838114                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        99.0341                 NaN            NaN            NaN            NaN  0.965931                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        99.0880                 NaN            NaN            NaN            NaN  0.911951                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        99.0982                 NaN            NaN            NaN            NaN  0.901792                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        99.1094                 NaN            NaN            NaN            NaN  0.890623                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        99.1237                 NaN            NaN            NaN            NaN  0.876319                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        99.1301                 NaN            NaN            NaN            NaN  0.869906                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        99.1460                 NaN            NaN            NaN            NaN  0.854035                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        99.5426                 NaN            NaN            NaN  0.361076E-002  0.453798                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        98.7478                 NaN            NaN            NaN            NaN   1.10948       0.142694                 NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        98.9829                 NaN            NaN            NaN            NaN  0.830484E-001  0.934048                 NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        98.9900                 NaN            NaN            NaN            NaN  0.748270E-001  0.935212                 NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        98.9948                 NaN            NaN            NaN            NaN  0.663206E-001  0.938928                 NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        99.0010                 NaN            NaN            NaN            NaN  0.580982E-001  0.940935                 NaN            NaN            NaN            NaN            NaN
  1498.75        500.000        99.0046                 NaN            NaN            NaN            NaN  0.491498E-001  0.946256                 NaN            NaN            NaN            NaN            NaN
  1496.24        500.000        98.6167                 NaN            NaN            NaN            NaN  0.508721E-001   1.33245                 NaN            NaN            NaN            NaN            NaN
  1493.73        500.000        99.3982                 NaN            NaN            NaN            NaN  0.170944E-001  0.584735                 NaN            NaN            NaN            NaN            NaN
  1491.23        500.000        99.0119                 NaN            NaN            NaN            NaN  0.191716E-001  0.968969                 NaN            NaN            NaN            NaN            NaN
  1488.72        500.000        99.0089                 NaN            NaN            NaN            NaN  0.736435E-002  0.983726                 NaN            NaN            NaN            NaN            NaN
  1486.22        500.000        99.0077                 NaN            NaN            NaN            NaN            NaN  0.992295                 NaN            NaN            NaN            NaN            NaN
  1483.71        500.000        99.0611                 NaN            NaN            NaN            NaN            NaN  0.938867                 NaN            NaN            NaN            NaN            NaN
  1481.20        500.000        98.8922                 NaN            NaN            NaN            NaN  0.732196E-002   1.05151       0.489747E-001            NaN            NaN            NaN            NaN
  1478.70        500.000        98.4641                 NaN            NaN            NaN            NaN  0.681785E-002  0.700652       0.828388                 NaN            NaN            NaN            NaN
  1476.19        500.000        98.4163                 NaN            NaN            NaN            NaN            NaN  0.657100       0.926587                 NaN            NaN            NaN            NaN
  1473.68        500.000        98.4473                 NaN            NaN            NaN            NaN  0.498048E-002  0.909623       0.638064                 NaN            NaN            NaN            NaN
  1471.18        500.000        98.4793                 NaN            NaN            NaN            NaN  0.242840E-001  0.892090       0.604288                 NaN            NaN            NaN            NaN
  1468.67        500.000        98.5083                 NaN            NaN            NaN            NaN  0.310803E-001  0.875815       0.584822                 NaN            NaN            NaN            NaN
  1466.17        500.000        98.5348                 NaN            NaN            NaN            NaN            NaN  0.604832       0.860323                 NaN            NaN            NaN            NaN
  1463.66        500.000        98.5629                 NaN            NaN            NaN            NaN            NaN  0.843125       0.593927                 NaN            NaN            NaN            NaN
  1461.15        500.000        98.5889                 NaN            NaN            NaN            NaN            NaN  0.829019       0.582082                 NaN            NaN            NaN            NaN
  1458.65        500.000        98.6154                 NaN            NaN            NaN            NaN            NaN  0.570032       0.814593                 NaN            NaN            NaN            NaN
