|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2/ALH/ALH_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1433.42        500.000       0.156893E-002   99.1839                 NaN            NaN            NaN  0.497885       0.316656                 NaN            NaN            NaN            NaN            NaN
  1432.11        500.000       0.151463E-002   99.1894                 NaN            NaN            NaN  0.495199       0.313928                 NaN            NaN            NaN            NaN            NaN
  1430.79        500.000       0.145409E-002   99.1956                 NaN            NaN            NaN  0.311700       0.491256                 NaN            NaN            NaN            NaN            NaN
  1429.47        500.000       0.139807E-002   99.2011                 NaN            NaN            NaN  0.309433       0.488033                 NaN            NaN            NaN            NaN            NaN
  1428.15        500.000       0.133940E-002   99.2071                 NaN            NaN            NaN  0.484527       0.306998                 NaN            NaN            NaN            NaN            NaN
  1426.84        500.000       0.125530E-002   99.2084                 NaN            NaN            NaN  0.305568       0.484770                 NaN            NaN            NaN            NaN            NaN
  1425.52        500.000       0.122242E-002   99.2237                 NaN            NaN            NaN  0.473993       0.301056                 NaN            NaN            NaN            NaN            NaN
  1424.20        500.000       0.116289E-002   99.2240                 NaN            NaN            NaN  0.300088       0.474738                 NaN            NaN            NaN            NaN            NaN
  1422.88        500.000       0.110600E-002   99.2300                 NaN            NaN            NaN  0.471207       0.297728                 NaN            NaN            NaN            NaN            NaN
  1421.57        500.000       0.106239E-002   99.2348                 NaN            NaN            NaN  0.295551       0.468547                 NaN            NaN            NaN            NaN            NaN
  1420.25        500.000       0.101105E-002   99.2408                 NaN            NaN            NaN  0.293149       0.465023                 NaN            NaN            NaN            NaN            NaN
  1418.93        500.000       0.962434E-003   99.2448                 NaN            NaN            NaN  0.291693       0.462522                 NaN            NaN            NaN            NaN            NaN
  1417.61        500.000       0.928530E-003   99.2471                 NaN            NaN            NaN  0.290138       0.461816                 NaN            NaN            NaN            NaN            NaN
  1416.30        500.000       0.861446E-003   99.2588                 NaN            NaN            NaN  0.286084       0.454234                 NaN            NaN            NaN            NaN            NaN
  1414.98        500.000       0.816633E-003   99.2608                 NaN            NaN            NaN  0.284812       0.453532                 NaN            NaN            NaN            NaN            NaN
  1413.66        500.000       0.529372E-003   99.2177                 NaN            NaN            NaN  0.426110       0.306267                 NaN  0.493735E-001            NaN            NaN            NaN
  1412.34        500.000                 NaN   98.4167                 NaN            NaN            NaN  0.645627       0.582984                 NaN  0.354678                 NaN            NaN            NaN
  1411.03        500.000                 NaN   98.1907                 NaN            NaN            NaN  0.573458       0.746473                 NaN  0.489357                 NaN            NaN            NaN
  1409.71        500.000       0.467939E-004   98.2173                 NaN            NaN            NaN  0.565190       0.735523                 NaN  0.481960                 NaN            NaN            NaN
  1408.39        500.000                 NaN   98.2439                 NaN            NaN            NaN  0.723645       0.557828                 NaN  0.474651                 NaN            NaN            NaN
  1407.07        500.000       0.696814E-003   98.2717                 NaN            NaN            NaN  0.547015       0.713779                 NaN  0.466816                 NaN            NaN            NaN
  1405.76        500.000                 NaN   98.3025                 NaN            NaN            NaN  0.538969       0.700126                 NaN  0.458423                 NaN            NaN            NaN
  1404.44        500.000                 NaN   98.3157                 NaN            NaN            NaN  0.535970       0.693142                 NaN  0.455170                 NaN            NaN            NaN
  1403.12        500.000                 NaN   98.3541                 NaN            NaN            NaN  0.678204       0.523722                 NaN  0.443926                 NaN            NaN            NaN
  1401.81        500.000                 NaN   98.3764                 NaN            NaN            NaN  0.669520       0.515917                 NaN  0.438179                 NaN            NaN            NaN
  1400.49        500.000                 NaN   98.3975                 NaN            NaN            NaN  0.509529       0.660777                 NaN  0.432195                 NaN            NaN            NaN
  1399.17        500.000                 NaN   98.4199                 NaN            NaN            NaN  0.651580       0.502495                 NaN  0.426059                 NaN            NaN            NaN
  1397.85        500.000                 NaN   98.4405                 NaN            NaN            NaN  0.643379       0.495720                 NaN  0.420374                 NaN            NaN            NaN
  1396.54        500.000                 NaN   98.4637                 NaN            NaN            NaN  0.488424       0.633960                 NaN  0.413937                 NaN            NaN            NaN
  1395.22        500.000                 NaN   98.4843                 NaN            NaN            NaN  0.482163       0.625518                 NaN  0.408061                 NaN            NaN            NaN
  1393.90        500.000                 NaN   98.5037                 NaN            NaN            NaN  0.475849       0.617779                 NaN  0.402702                 NaN            NaN            NaN
  1392.58        500.000                 NaN   98.5240                 NaN            NaN            NaN  0.609258       0.469748                 NaN  0.397039                 NaN            NaN            NaN
  1391.27        500.000                 NaN   98.5445                 NaN            NaN            NaN  0.601120       0.463069                 NaN  0.391280                 NaN            NaN            NaN
  1389.95        500.000                 NaN   98.5617                 NaN            NaN            NaN  0.457223       0.594653                 NaN  0.386462                 NaN            NaN            NaN
  1388.63        500.000                 NaN   98.5792                 NaN            NaN            NaN  0.587153       0.452123                 NaN  0.381525                 NaN            NaN            NaN
  1387.31        500.000                 NaN   98.6005                 NaN            NaN            NaN  0.444934       0.578890                 NaN  0.375630                 NaN            NaN            NaN
  1386.00        500.000                 NaN   98.6168                 NaN            NaN            NaN  0.439833       0.572289                 NaN  0.371116                 NaN            NaN            NaN
  1384.68        500.000                 NaN   98.6321                 NaN            NaN            NaN  0.434723       0.566259                 NaN  0.366895                 NaN            NaN            NaN
  1383.36        500.000                 NaN   98.6481                 NaN            NaN            NaN  0.560049       0.429387                 NaN  0.362460                 NaN            NaN            NaN
  1382.04        500.000                 NaN   98.6685                 NaN            NaN            NaN  0.552026       0.423028                 NaN  0.356460                 NaN            NaN            NaN
  1380.73        500.000                 NaN   98.6810                 NaN            NaN            NaN  0.547047       0.419012                 NaN  0.352911                 NaN            NaN            NaN
  1379.41        500.000                 NaN   98.6956                 NaN            NaN            NaN  0.541317       0.414372                 NaN  0.348703                 NaN            NaN            NaN
  1378.09        500.000                 NaN   98.7137                 NaN            NaN            NaN  0.534346       0.408153                 NaN  0.343777                 NaN            NaN            NaN
  1376.77        500.000                 NaN   98.7279                 NaN            NaN            NaN  0.403602       0.528736                 NaN  0.339719                 NaN            NaN            NaN
  1375.46        500.000                 NaN   98.7417                 NaN            NaN            NaN  0.523660       0.398860                 NaN  0.335735                 NaN            NaN            NaN
  1374.14        500.000                 NaN   98.7557                 NaN            NaN            NaN  0.394207       0.518165                 NaN  0.331959                 NaN            NaN            NaN
  1372.82        500.000                 NaN   98.7707                 NaN            NaN            NaN  0.389378       0.512337                 NaN  0.327561                 NaN            NaN            NaN
  1371.50        500.000                 NaN   98.7811                 NaN            NaN            NaN  0.385516       0.508668                 NaN  0.324683                 NaN            NaN            NaN
  1370.19        500.000                 NaN   98.7983                 NaN            NaN            NaN  0.380144       0.501897                 NaN  0.319637                 NaN            NaN            NaN
  1368.87        500.000                 NaN   98.8084                 NaN  0.342996E-005            NaN  0.498090       0.376653                 NaN  0.316822                 NaN            NaN            NaN
  1367.55        500.000                 NaN   98.8211                 NaN            NaN            NaN  0.372407       0.493403                 NaN  0.313095                 NaN            NaN            NaN
  1366.24        500.000                 NaN   98.8333                 NaN            NaN            NaN  0.368440       0.488550                 NaN  0.309674                 NaN            NaN            NaN
  1364.92        500.000                 NaN   98.8457                 NaN            NaN            NaN  0.363807       0.484350                 NaN  0.306161                 NaN            NaN            NaN
  1363.60        500.000                 NaN   98.8568                 NaN            NaN            NaN  0.360310       0.480025                 NaN  0.302832                 NaN            NaN            NaN
  1362.28        500.000                 NaN   98.8689                 NaN            NaN            NaN  0.475361       0.356300                 NaN  0.299400                 NaN            NaN            NaN
  1360.97        500.000                 NaN   98.8805                 NaN            NaN            NaN  0.352019       0.471286                 NaN  0.296212                 NaN            NaN            NaN
  1359.65        500.000                 NaN   98.8915                 NaN            NaN            NaN  0.467373       0.348148                 NaN  0.293016                 NaN            NaN            NaN
  1358.33        500.000                 NaN   98.9020                 NaN            NaN            NaN  0.463364       0.344569                 NaN  0.290092                 NaN            NaN            NaN
  1357.01        500.000                 NaN   98.9120                 NaN            NaN            NaN  0.459807       0.341108                 NaN  0.287096                 NaN            NaN            NaN
  1355.70        500.000                 NaN   98.9223                 NaN            NaN            NaN  0.337465       0.456205                 NaN  0.284076                 NaN            NaN            NaN
  1354.38        500.000                 NaN   98.9330                 NaN            NaN            NaN  0.452235       0.333733                 NaN  0.281056                 NaN            NaN            NaN
  1353.06        500.000                 NaN   98.9409                 NaN            NaN            NaN  0.330722       0.449516                 NaN  0.278828                 NaN            NaN            NaN
  1351.74        500.000                 NaN   98.9525                 NaN            NaN            NaN  0.445352       0.326816                 NaN  0.275355                 NaN            NaN            NaN
  1350.43        500.000                 NaN   98.9605                 NaN            NaN            NaN  0.442611       0.323818                 NaN  0.273040                 NaN            NaN            NaN
  1349.11        500.000                 NaN   98.9704                 NaN            NaN            NaN  0.320377       0.439033                 NaN  0.270204                 NaN            NaN            NaN
  1347.79        500.000                 NaN   98.9779                 NaN            NaN            NaN  0.436424       0.317769                 NaN  0.267886                 NaN            NaN            NaN
  1346.47        500.000                 NaN   98.9885                 NaN            NaN            NaN  0.432834       0.313738                 NaN  0.264937                 NaN            NaN            NaN
  1345.16        500.000                 NaN   98.9973                 NaN            NaN            NaN  0.429688       0.310606                 NaN  0.262388                 NaN            NaN            NaN
  1343.84        500.000                 NaN   99.0056                 NaN            NaN            NaN  0.427024       0.307345                 NaN  0.260072                 NaN            NaN            NaN
  1342.52        500.000                 NaN   99.0124                 NaN            NaN            NaN  0.304796       0.424963                 NaN  0.257887                 NaN            NaN            NaN
  1341.20        500.000                 NaN   99.0220                 NaN            NaN            NaN  0.301324       0.421422                 NaN  0.255233                 NaN            NaN            NaN
  1339.89        500.000                 NaN   99.0298                 NaN            NaN            NaN  0.418768       0.298280                 NaN  0.253118                 NaN            NaN            NaN
  1338.57        500.000                 NaN   99.0376                 NaN            NaN            NaN  0.416330       0.295474                 NaN  0.250640                 NaN            NaN            NaN
  1337.25        500.000                 NaN   99.0444                 NaN            NaN            NaN  0.292794       0.414026                 NaN  0.248744                 NaN            NaN            NaN
  1335.94        500.000                 NaN   99.0519                 NaN            NaN            NaN  0.411761       0.289949                 NaN  0.246365                 NaN            NaN            NaN
  1334.62        500.000                 NaN   99.0597                 NaN            NaN            NaN  0.408896       0.287198                 NaN  0.244243                 NaN            NaN            NaN
  1333.30        500.000                 NaN   99.0665                 NaN            NaN            NaN  0.406892       0.284340                 NaN  0.242262                 NaN            NaN            NaN
  1331.98        500.000                 NaN   99.0726                 NaN            NaN            NaN  0.282138       0.404867                 NaN  0.240355                 NaN            NaN            NaN
  1330.67        500.000                 NaN   99.0785                 NaN            NaN            NaN  0.403743       0.279141                 NaN  0.238573                 NaN            NaN            NaN
  1329.35        500.000                 NaN   99.0874                 NaN            NaN            NaN  0.275636       0.400902                 NaN  0.236064                 NaN            NaN            NaN
  1328.03        500.000                 NaN   99.0922                 NaN            NaN            NaN  0.399643       0.273441                 NaN  0.234699                 NaN            NaN            NaN
  1326.71        500.000                 NaN   99.0995                 NaN            NaN            NaN  0.270509       0.397402                 NaN  0.232547                 NaN            NaN            NaN
  1325.40        500.000                 NaN   99.1048                 NaN            NaN            NaN  0.395749       0.268467                 NaN  0.230957                 NaN            NaN            NaN
  1324.08        500.000                 NaN   99.1119                 NaN            NaN            NaN  0.394020       0.265170                 NaN  0.228917                 NaN            NaN            NaN
  1322.76        500.000                 NaN   99.1124                 NaN            NaN            NaN  0.265955       0.392868                 NaN  0.228805                 NaN            NaN            NaN
  1321.44        500.000                 NaN   99.1282                 NaN            NaN            NaN  0.389323       0.258491                 NaN  0.223974                 NaN            NaN            NaN
  1320.13        500.000                 NaN   99.1289                 NaN  0.242625E-005            NaN  0.258213       0.388965                 NaN  0.223924                 NaN            NaN            NaN
  1318.81        500.000                 NaN   99.1348                 NaN            NaN            NaN  0.387408       0.255613                 NaN  0.222227                 NaN            NaN            NaN
  1317.49        500.000                 NaN   99.1396                 NaN            NaN            NaN  0.253022       0.386534                 NaN  0.220857                 NaN            NaN            NaN
  1316.17        500.000                 NaN   99.1456                 NaN            NaN            NaN  0.385089       0.250199                 NaN  0.219064                 NaN            NaN            NaN
  1314.86        500.000                 NaN   99.1627                 NaN  0.102612                 NaN  0.314621       0.193694                 NaN  0.226372                 NaN            NaN            NaN
  1313.54        500.000                 NaN   99.1736                 NaN  0.155956                 NaN  0.919405E-001  0.348981                 NaN  0.229525                 NaN            NaN            NaN
  1312.22        500.000                 NaN   99.1800                 NaN  0.153113                 NaN  0.936819E-001  0.345723                 NaN  0.227444                 NaN            NaN            NaN
  1310.90        500.000                 NaN   99.1892                 NaN  0.149073                 NaN  0.340237       0.975986E-001            NaN  0.223917                 NaN            NaN            NaN
  1309.59        500.000                 NaN   99.1924                 NaN  0.147356                 NaN  0.339591       0.977737E-001            NaN  0.222871                 NaN            NaN            NaN
  1308.27        500.000                 NaN   99.1980                 NaN  0.145066                 NaN  0.336472       0.994281E-001            NaN  0.221045                 NaN            NaN            NaN
  1306.95        500.000                 NaN   99.2043                 NaN  0.141205                 NaN  0.333304       0.102582                 NaN  0.218561                 NaN            NaN            NaN
  1305.64        500.000                 NaN   99.2093                 NaN  0.138730                 NaN  0.330953       0.104127                 NaN  0.216856                 NaN            NaN            NaN
  1304.32        500.000                 NaN   99.2149                 NaN  0.136314                 NaN  0.105655       0.327941                 NaN  0.215197                 NaN            NaN            NaN
  1303.00        500.000                 NaN   99.2183                 NaN  0.133497                 NaN  0.328402       0.106496                 NaN  0.213306                 NaN            NaN            NaN
  1301.68        500.000                 NaN   99.2135                 NaN  0.122136                 NaN  0.311010       0.139334                 NaN  0.214050                 NaN            NaN            NaN
  1300.37        500.000                 NaN   99.2195                 NaN  0.159878                 NaN  0.378025       0.977762E-002            NaN  0.212942       0.199025E-001            NaN            NaN
  1299.05        500.000                 NaN   99.1495                 NaN  0.155149                 NaN  0.409194                 NaN            NaN  0.228004       0.581665E-001            NaN            NaN
  1297.73        500.000                 NaN   99.1591                 NaN  0.152971                 NaN  0.405468                 NaN            NaN  0.225346       0.571649E-001            NaN            NaN
  1296.41        500.000                 NaN   99.1682                 NaN  0.151446                 NaN  0.401360                 NaN            NaN  0.222764       0.562386E-001            NaN            NaN
  1295.10        500.000                 NaN   99.1777                 NaN  0.149151                 NaN  0.397785                 NaN            NaN  0.220122       0.552475E-001            NaN            NaN
  1293.78        500.000                 NaN   99.1870                 NaN  0.146821                 NaN  0.394354                 NaN            NaN  0.217534       0.543308E-001            NaN            NaN
  1292.46        500.000                 NaN   99.1957                 NaN  0.146073                 NaN  0.389633                 NaN            NaN  0.215120       0.534714E-001            NaN            NaN
  1291.14        500.000                 NaN   99.2053                 NaN  0.144172                 NaN  0.385511                 NaN            NaN  0.212470       0.525233E-001            NaN            NaN
  1289.83        500.000                 NaN   99.2140                 NaN  0.142392                 NaN  0.381772                 NaN            NaN  0.210130       0.516939E-001            NaN            NaN
  1288.51        500.000                 NaN   99.2232                 NaN  0.140608                 NaN  0.377860                 NaN            NaN  0.207569       0.508069E-001            NaN            NaN
  1287.19        500.000                 NaN   99.2312                 NaN  0.138884                 NaN  0.374600                 NaN            NaN  0.205293       0.499816E-001            NaN            NaN
  1285.87        500.000                 NaN   99.2385                 NaN  0.136468                 NaN  0.372799                 NaN            NaN  0.203097       0.491030E-001            NaN            NaN
  1284.56        500.000                 NaN   99.2486                 NaN  0.134077                 NaN  0.368842                 NaN            NaN  0.200330       0.481631E-001            NaN            NaN
  1283.24        500.000                 NaN   99.2562                 NaN  0.132033                 NaN  0.366050                 NaN            NaN  0.198293       0.474016E-001            NaN            NaN
  1281.92        500.000                 NaN   99.2642                 NaN  0.129335                 NaN  0.363951                 NaN            NaN  0.195975       0.465265E-001            NaN            NaN
  1280.60        500.000                 NaN   99.2723                 NaN  0.128054                 NaN  0.360020                 NaN            NaN  0.193803       0.457999E-001            NaN            NaN
  1279.29        500.000                 NaN   99.2800                 NaN  0.126965                 NaN  0.356382                 NaN            NaN  0.191610       0.450134E-001            NaN            NaN
  1277.97        500.000                 NaN   99.2876                 NaN  0.124055                 NaN  0.354718                 NaN            NaN  0.189422       0.441996E-001            NaN            NaN
  1276.65        500.000                 NaN   95.9030                 NaN  0.313520                 NaN   1.05565                 NaN            NaN  0.572320       0.165145        1.99032                 NaN
  1275.34        500.000                 NaN   87.7025                 NaN  0.727851                 NaN   2.81926                 NaN            NaN   1.49760       0.449509        6.80332                 NaN
  1274.02        500.000                 NaN   89.0181                 NaN  0.615840                 NaN   2.58907                 NaN            NaN   1.34461       0.395168        6.03726                 NaN
  1272.70        500.000                 NaN   90.0875                 NaN  0.517448                 NaN   2.40825                 NaN            NaN   1.22015       0.350761        5.41590                 NaN
  1271.38        500.000                 NaN   90.9233                 NaN  0.355572                 NaN   2.01325       0.360774                 NaN   1.12261       0.309280        4.91523                 NaN
  1270.07        500.000                 NaN   91.6620                 NaN  0.295074                 NaN   1.83455       0.402145                 NaN   1.03616       0.279360        4.49075                 NaN
  1268.75        500.000                 NaN   92.3018                 NaN  0.264393                 NaN  0.352299        1.73651                 NaN  0.961046       0.255291        4.12862                 NaN
  1267.43        500.000                 NaN   92.8544                 NaN  0.240775                 NaN   1.66770       0.288989                 NaN  0.895879       0.234843        3.81741                 NaN
  1266.11        500.000                 NaN   93.3369                 NaN  0.219766                 NaN  0.227818        1.61292                 NaN  0.838732       0.217025        3.54683                 NaN
  1264.80        500.000                 NaN   93.7557                 NaN  0.203352                 NaN   1.59560       0.141743                 NaN  0.788884       0.201736        3.31297                 NaN
  1263.48        500.000                 NaN   94.1326                 NaN  0.189214                 NaN  0.360239E-001   1.60663                 NaN  0.743783       0.188088        3.10368                 NaN
  1262.16        500.000                 NaN   94.4583                 NaN  0.165281                 NaN   1.57531                 NaN            NaN  0.704623       0.175359        2.92111                 NaN
  1260.84        500.000                 NaN   94.7526                 NaN  0.130824                 NaN   1.41294       0.115657                 NaN  0.669328       0.162940        2.75567                 NaN
  1259.53        500.000                 NaN   95.0284                 NaN  0.163268                 NaN   1.40690                 NaN            NaN  0.634797       0.156319        2.61031                 NaN
  1258.21        500.000                 NaN   95.2749                 NaN  0.153950                 NaN   1.34310                 NaN            NaN  0.604504       0.147464        2.47609                 NaN
