|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.5/GRV/GRV_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1463.72        500.000       0.201320E-002   99.1330                 NaN            NaN            NaN  0.251082       0.613865                 NaN            NaN            NaN            NaN
  1462.31        500.000       0.194942E-002   99.1423                 NaN            NaN            NaN  0.248983       0.606742                 NaN            NaN            NaN            NaN
  1460.89        500.000       0.189122E-002   99.1498                 NaN            NaN            NaN  0.601779       0.246538                 NaN            NaN            NaN            NaN
  1459.48        500.000       0.182318E-002   99.1626                 NaN            NaN            NaN  0.591999       0.243585                 NaN            NaN            NaN            NaN
  1458.07        500.000       0.176921E-002   99.1685                 NaN            NaN            NaN  0.241822       0.587955                 NaN            NaN            NaN            NaN
  1456.65        500.000       0.170558E-002   99.1770                 NaN            NaN            NaN  0.238955       0.582290                 NaN            NaN            NaN            NaN
  1455.24        500.000       0.165403E-002   99.1858                 NaN            NaN            NaN  0.236643       0.575916                 NaN            NaN            NaN            NaN
  1453.82        500.000       0.159426E-002   99.1931                 NaN            NaN            NaN  0.570404       0.234859                 NaN            NaN            NaN            NaN
  1452.41        500.000       0.154343E-002   99.2026                 NaN            NaN            NaN  0.563234       0.232584                 NaN            NaN            NaN            NaN
  1451.00        500.000       0.148787E-002   99.2093                 NaN            NaN            NaN  0.230366       0.558849                 NaN            NaN            NaN            NaN
  1449.58        500.000       0.129386E-002   99.2902                 NaN            NaN            NaN  0.206693       0.501832                 NaN            NaN            NaN            NaN
  1448.17        500.000       0.152551E-002   99.1511                 NaN            NaN            NaN  0.598944       0.248467                 NaN            NaN            NaN            NaN
  1446.76        500.000       0.133903E-002   99.2311                 NaN            NaN            NaN  0.542801       0.224797                 NaN            NaN            NaN            NaN
  1445.34        500.000       0.128433E-002   99.2397                 NaN            NaN            NaN  0.222644       0.536354                 NaN            NaN            NaN            NaN
  1443.93        500.000       0.123710E-002   99.2473                 NaN            NaN            NaN  0.220615       0.530857                 NaN            NaN            NaN            NaN
  1442.51        500.000       0.119057E-002   99.2539                 NaN            NaN            NaN  0.218608       0.526349                 NaN            NaN            NaN            NaN
  1441.10        500.000       0.114091E-002   99.2608                 NaN            NaN            NaN  0.521550       0.216527                 NaN            NaN            NaN            NaN
  1439.69        500.000       0.109771E-002   99.2664                 NaN            NaN            NaN  0.517827       0.214655                 NaN            NaN            NaN            NaN
  1438.27        500.000       0.104719E-002   99.2759                 NaN            NaN            NaN  0.212983       0.510098                 NaN            NaN            NaN            NaN
  1436.86        500.000       0.100771E-002   99.2803                 NaN            NaN            NaN  0.210644       0.508069                 NaN            NaN            NaN            NaN
  1435.45        500.000       0.961379E-003   99.2882                 NaN            NaN            NaN  0.501731       0.209111                 NaN            NaN            NaN            NaN
  1434.03        500.000       0.920632E-003   99.2936                 NaN            NaN            NaN  0.207632       0.497827                 NaN            NaN            NaN            NaN
  1432.62        500.000       0.880919E-003   99.2996                 NaN            NaN            NaN  0.205737       0.493786                 NaN            NaN            NaN            NaN
  1431.20        500.000       0.832203E-003   99.3052                 NaN            NaN            NaN  0.490050       0.203966                 NaN            NaN            NaN            NaN
  1429.79        500.000       0.798398E-003   99.3126                 NaN            NaN            NaN  0.484256       0.202387                 NaN            NaN            NaN            NaN
  1428.38        500.000       0.758633E-003   99.3181                 NaN            NaN            NaN  0.200796       0.480367                 NaN            NaN            NaN            NaN
  1426.96        500.000       0.715801E-003   99.3229                 NaN            NaN            NaN  0.199115       0.477301                 NaN            NaN            NaN            NaN
  1425.55        500.000       0.682181E-003   99.3302                 NaN            NaN            NaN  0.197473       0.471625                 NaN            NaN            NaN            NaN
  1424.14        500.000       0.641290E-003   99.3356                 NaN            NaN            NaN  0.195961       0.467817                 NaN            NaN            NaN            NaN
  1422.72        500.000       0.605528E-003   99.3394                 NaN            NaN            NaN  0.194740       0.465217                 NaN            NaN            NaN            NaN
  1421.31        500.000       0.568681E-003   99.3472                 NaN            NaN            NaN  0.192649       0.459556                 NaN            NaN            NaN            NaN
  1419.89        500.000       0.530907E-003   99.3510                 NaN            NaN            NaN  0.191530       0.456893                 NaN            NaN            NaN            NaN
  1418.48        500.000       0.500820E-003   99.3571                 NaN            NaN            NaN  0.189767       0.452636                 NaN            NaN            NaN            NaN
  1417.07        500.000       0.469117E-003   99.3610                 NaN            NaN            NaN  0.188440       0.450058                 NaN            NaN            NaN            NaN
  1415.65        500.000       0.429620E-003   99.3664                 NaN            NaN            NaN  0.187103       0.446100                 NaN            NaN            NaN            NaN
  1414.24        500.000       0.402152E-003   99.3723                 NaN            NaN            NaN  0.185645       0.441610                 NaN            NaN            NaN            NaN
  1412.83        500.000       0.369033E-003   99.3774                 NaN            NaN            NaN  0.438314       0.183952                 NaN            NaN            NaN            NaN
  1411.41        500.000       0.335293E-003   99.3807                 NaN            NaN            NaN  0.182885       0.436098                 NaN            NaN            NaN            NaN
  1410.00        500.000       0.306481E-003   99.3870                 NaN            NaN            NaN  0.431754       0.180985                 NaN            NaN            NaN            NaN
  1408.58        500.000       0.272560E-003   99.3914                 NaN            NaN            NaN  0.179812       0.428523                 NaN            NaN            NaN            NaN
  1407.17        500.000       0.242033E-003   99.3948                 NaN            NaN            NaN  0.426651       0.178312                 NaN            NaN            NaN            NaN
  1405.76        500.000                 NaN   98.4474                 NaN            NaN            NaN  0.506879       0.561846       0.483917                 NaN            NaN            NaN
  1404.34        500.000                 NaN   98.3393                 NaN            NaN            NaN  0.605543       0.511332       0.543814                 NaN            NaN            NaN
  1402.93        500.000                 NaN   98.3674                 NaN            NaN            NaN  0.594271       0.503554       0.534743                 NaN            NaN            NaN
  1401.51        500.000                 NaN   98.3971                 NaN            NaN            NaN  0.495238       0.582467       0.525147                 NaN            NaN            NaN
  1400.10        500.000                 NaN   98.4220                 NaN            NaN            NaN  0.573572       0.487458       0.516995                 NaN            NaN            NaN
  1398.69        500.000       0.614180E-003   98.4675                 NaN            NaN            NaN  0.469593       0.559651       0.502605                 NaN            NaN            NaN
  1397.27        500.000                 NaN   98.4557                 NaN            NaN            NaN  0.476921       0.561726       0.505637                 NaN            NaN            NaN
  1395.86        500.000                 NaN   98.4980                 NaN            NaN            NaN  0.544401       0.465449       0.492114                 NaN            NaN            NaN
  1394.45        500.000                 NaN   98.5190                 NaN            NaN            NaN  0.458778       0.536740       0.485483                 NaN            NaN            NaN
  1393.03        500.000                 NaN   98.5498                 NaN            NaN            NaN  0.525322       0.449816       0.475032                 NaN            NaN            NaN
  1391.62        500.000                 NaN   98.5665                 NaN            NaN            NaN  0.518324       0.445440       0.469723                 NaN            NaN            NaN
  1390.20        500.000                 NaN   98.5907                 NaN            NaN            NaN  0.437814       0.509679       0.461764                 NaN            NaN            NaN
  1388.79        500.000                 NaN   98.6124                 NaN            NaN            NaN  0.431428       0.501672       0.454524                 NaN            NaN            NaN
  1387.38        500.000                 NaN   98.6327                 NaN            NaN            NaN  0.493586       0.425755       0.447942                 NaN            NaN            NaN
  1385.96        500.000                 NaN   98.6522                 NaN            NaN            NaN  0.486705       0.419731       0.441356                 NaN            NaN            NaN
  1384.55        500.000                 NaN   98.6726                 NaN            NaN            NaN  0.413824       0.478995       0.434600                 NaN            NaN            NaN
  1383.14        500.000                 NaN   98.6914                 NaN            NaN            NaN  0.408089       0.472001       0.428511                 NaN            NaN            NaN
  1381.72        500.000                 NaN   98.7107                 NaN            NaN            NaN  0.464791       0.402569       0.421919                 NaN            NaN            NaN
  1380.31        500.000                 NaN   98.7271                 NaN            NaN            NaN  0.397252       0.458914       0.416695                 NaN            NaN            NaN
  1378.89        500.000                 NaN   98.7484                 NaN            NaN            NaN  0.391121       0.451198       0.409330                 NaN            NaN            NaN
  1377.48        500.000                 NaN   98.7637                 NaN            NaN            NaN  0.386539       0.445420       0.404318                 NaN            NaN            NaN
  1376.07        500.000                 NaN   98.7804                 NaN            NaN            NaN  0.381494       0.439466       0.398648                 NaN            NaN            NaN
  1374.65        500.000                 NaN   98.7968                 NaN            NaN            NaN  0.376547       0.433385       0.393268                 NaN            NaN            NaN
  1373.24        500.000                 NaN   98.8119                 NaN            NaN            NaN  0.372281       0.427793       0.388050                 NaN            NaN            NaN
  1371.83        500.000                 NaN   98.8290                 NaN            NaN            NaN  0.366952       0.421565       0.382486                 NaN            NaN            NaN
  1370.41        500.000                 NaN   98.8437                 NaN            NaN            NaN  0.416295       0.362665       0.377369                 NaN            NaN            NaN
  1369.00        500.000                 NaN   98.8584                 NaN            NaN            NaN  0.357824       0.411335       0.372460                 NaN            NaN            NaN
  1367.58        500.000                 NaN   98.8733                 NaN            NaN            NaN  0.353227       0.406048       0.367461                 NaN            NaN            NaN
  1366.17        500.000                 NaN   98.8863                 NaN            NaN            NaN  0.349287       0.401303       0.363084                 NaN            NaN            NaN
  1364.76        500.000                 NaN   98.9011                 NaN            NaN            NaN  0.344579       0.396463       0.357900                 NaN            NaN            NaN
  1363.34        500.000                 NaN   98.9144                 NaN            NaN            NaN  0.391300       0.340854       0.353447                 NaN            NaN            NaN
  1361.93        500.000                 NaN   98.9282                 NaN            NaN            NaN  0.386626       0.336326       0.348815                 NaN            NaN            NaN
  1360.52        500.000                 NaN   1.13770        97.4898                 NaN            NaN  0.417694       0.508108       0.446673                 NaN            NaN            NaN
  1359.10        500.000                 NaN   6.50818        91.0352                 NaN            NaN  0.517623        1.14024       0.798720                 NaN            NaN            NaN
  1357.69        500.000                 NaN   10.9760        86.9527                 NaN            NaN  0.445795       0.952852       0.672666                 NaN            NaN            NaN
  1356.27        500.000                 NaN   14.7241        83.4940                 NaN            NaN  0.394784       0.809490       0.577712                 NaN            NaN            NaN
  1354.86        500.000                 NaN   17.9277        80.5055                 NaN            NaN  0.703214       0.356483       0.507079                 NaN            NaN            NaN
  1353.45        500.000                 NaN   20.7060        77.8917                 NaN            NaN  0.327329       0.621954       0.452996                 NaN            NaN            NaN
  1352.03        500.000                 NaN   23.2170        75.4933                 NaN            NaN  0.305383       0.568224       0.416052                 NaN            NaN            NaN
  1350.62        500.000                 NaN   25.2471        73.6271                 NaN            NaN  0.282939       0.480761       0.362094                 NaN            NaN            NaN
  1349.20        500.000                 NaN   27.1230        71.8136                 NaN            NaN  0.269114       0.452544       0.341765                 NaN            NaN            NaN
  1347.79        500.000                 NaN   29.2951        69.6246       0.124428                 NaN  0.582926                 NaN  0.372993                 NaN            NaN            NaN
  1346.38        500.000                 NaN   31.6078        67.2797       0.207863                 NaN  0.502280                 NaN  0.402333                 NaN            NaN            NaN
  1344.96        500.000                 NaN   34.4409        64.3547       0.233077                 NaN  0.529183                 NaN  0.442169                 NaN            NaN            NaN
  1343.55        500.000                 NaN   35.6519        63.6076       0.137182                 NaN  0.344387                 NaN  0.258962                 NaN            NaN            NaN
  1342.14        500.000                 NaN   37.2704        61.8706       0.166503                 NaN  0.384008                 NaN  0.308526                 NaN            NaN            NaN
  1340.72        500.000                 NaN   38.7867        60.4163       0.155248                 NaN  0.356209                 NaN  0.285568                 NaN            NaN            NaN
  1339.31        500.000                 NaN   40.1532        59.1037       0.145284                 NaN  0.332240                 NaN  0.265636                 NaN            NaN            NaN
  1337.89        500.000                 NaN   41.3871        57.9166       0.135886                 NaN  0.312179                 NaN  0.248236                 NaN            NaN            NaN
  1336.48        500.000                 NaN   42.5189        56.8249       0.130910                 NaN  0.291227                 NaN  0.234093                 NaN            NaN            NaN
  1335.07        500.000                 NaN   43.5104        55.8744       0.119807                 NaN  0.277457                 NaN  0.217959                 NaN            NaN            NaN
  1333.65        500.000                 NaN   44.4298        54.9820       0.114600                 NaN  0.265405                 NaN  0.208199                 NaN            NaN            NaN
  1332.24        500.000                 NaN   45.2489        54.1937       0.108001                 NaN  0.252958                 NaN  0.196514                 NaN            NaN            NaN
  1330.83        500.000                 NaN   46.0015        53.4638       0.103558                 NaN  0.242949                 NaN  0.188200                 NaN            NaN            NaN
  1329.41        500.000                 NaN   46.6749        52.8140       0.985632E-001            NaN  0.233134                 NaN  0.179313                 NaN            NaN            NaN
  1328.00        500.000                 NaN   47.2854        52.2227       0.945163E-001            NaN  0.225178                 NaN  0.172155                 NaN            NaN            NaN
  1326.58        500.000                 NaN   47.8311        51.6954       0.902965E-001            NaN  0.217936                 NaN  0.165203                 NaN            NaN            NaN
  1325.17        500.000                 NaN   48.3205        51.2218       0.872977E-001            NaN  0.210931                 NaN  0.159411                 NaN            NaN            NaN
  1323.76        500.000                 NaN   48.7542        50.8027       0.838783E-001            NaN  0.205380                 NaN  0.153922                 NaN            NaN            NaN
  1322.34        500.000                 NaN   49.1362        50.4331       0.807037E-001            NaN  0.200898                 NaN  0.149145                 NaN            NaN            NaN
  1320.93        500.000                 NaN   49.4763        50.1032       0.787646E-001            NaN  0.196378                 NaN  0.145355                 NaN            NaN            NaN
  1319.52        500.000                 NaN   49.7521        49.8397       0.756883E-001            NaN  0.191931                 NaN  0.140497                 NaN            NaN            NaN
  1318.10        500.000                 NaN   49.9948        49.6047       0.744579E-001            NaN  0.188225                 NaN  0.137851                 NaN            NaN            NaN
  1316.69        500.000                 NaN   50.1777        49.4313       0.715316E-001            NaN  0.185495                 NaN  0.134011                 NaN            NaN            NaN
  1315.27        500.000                 NaN   97.6478        1.96746       0.699091E-001            NaN  0.183173                 NaN  0.131643                 NaN            NaN            NaN
  1313.86        500.000                 NaN   99.6225                 NaN  0.677824E-001            NaN  0.180957                 NaN  0.128752                 NaN            NaN            NaN
  1312.45        500.000                 NaN   99.6259                 NaN  0.671970E-001            NaN  0.179466                 NaN  0.127420                 NaN            NaN            NaN
  1311.03        500.000                 NaN   99.6303                 NaN  0.653501E-001            NaN  0.178770                 NaN  0.125586                 NaN            NaN            NaN
  1309.62        500.000                 NaN   99.6338                 NaN  0.643856E-001            NaN  0.177685                 NaN  0.124135                 NaN            NaN            NaN
  1308.21        500.000                 NaN   99.6359                 NaN  0.632718E-001            NaN  0.177690                 NaN  0.123174                 NaN            NaN            NaN
  1306.79        500.000                 NaN   99.6364                 NaN  0.626593E-001            NaN  0.178190                 NaN  0.122729                 NaN            NaN            NaN
  1305.38        500.000                 NaN   99.6366                 NaN  0.616662E-001            NaN  0.179313                 NaN  0.122442                 NaN            NaN            NaN
  1303.96        500.000                 NaN   99.6355                 NaN  0.616152E-001            NaN  0.180166                 NaN  0.122755                 NaN            NaN            NaN
  1302.55        500.000                 NaN   99.6332                 NaN  0.608876E-001            NaN  0.183060                 NaN  0.122855                 NaN            NaN            NaN
  1301.14        500.000                 NaN   99.6291                 NaN  0.606441E-001            NaN  0.186039                 NaN  0.124199                 NaN            NaN            NaN
  1299.72        500.000                 NaN   99.6060                 NaN  0.581333E-001            NaN  0.197529                 NaN  0.130760       0.753004E-002            NaN            NaN
  1298.31        500.000                 NaN   99.5800                 NaN  0.559037E-001            NaN  0.209628                 NaN  0.138408       0.160620E-001            NaN            NaN
  1296.89        500.000                 NaN   99.5709                 NaN  0.560299E-001            NaN  0.215567                 NaN  0.141273       0.162204E-001            NaN            NaN
  1295.48        500.000                 NaN   99.5609                 NaN  0.570098E-001            NaN  0.221078                 NaN  0.144593       0.164178E-001            NaN            NaN
  1294.07        500.000                 NaN   99.5465                 NaN  0.579249E-001            NaN  0.229510                 NaN  0.149339       0.167666E-001            NaN            NaN
  1292.65        500.000                 NaN   99.5288                 NaN  0.586736E-001            NaN  0.240240                 NaN  0.155109       0.172065E-001            NaN            NaN
  1291.24        500.000                 NaN   99.5052                 NaN  0.602156E-001            NaN  0.254099                 NaN  0.162649       0.177996E-001            NaN            NaN
  1289.83        500.000                 NaN   99.4765                 NaN  0.607227E-001            NaN  0.272252                 NaN  0.172000       0.185319E-001            NaN            NaN
  1288.41        500.000                 NaN   99.4392                 NaN  0.622016E-001            NaN  0.295162                 NaN  0.183980       0.194927E-001            NaN            NaN
  1287.00        500.000                 NaN   99.3871                 NaN  0.594668E-001            NaN  0.332721                 NaN  0.200098       0.206010E-001            NaN            NaN
  1285.58        500.000                 NaN   99.3121                 NaN  0.510388E-001            NaN  0.392216                 NaN  0.222758       0.218793E-001            NaN            NaN
  1284.17        500.000                 NaN   33.5504        65.6218       0.132566E-001            NaN  0.530075                 NaN  0.261567       0.228781E-001            NaN            NaN
  1282.76        500.000                 NaN   29.5770        69.4151                 NaN            NaN  0.666162                 NaN  0.316556       0.252178E-001            NaN            NaN
  1281.34        500.000                 NaN   24.2402        74.5220                 NaN            NaN  0.815936                 NaN  0.393381       0.285084E-001            NaN            NaN
  1279.93        500.000                 NaN   17.0300        81.4109                 NaN            NaN   1.02618                 NaN  0.498420       0.345345E-001            NaN            NaN
  1278.52        500.000                 NaN   6.70316        91.2142                 NaN            NaN   1.36841                 NaN  0.669282       0.449485E-001            NaN            NaN
  1277.10        500.000                 NaN   98.4072                 NaN            NaN            NaN   1.04044                 NaN  0.515950       0.364213E-001            NaN            NaN
  1275.69        500.000                 NaN   99.4413                 NaN            NaN            NaN  0.356468                 NaN  0.186226       0.160000E-001            NaN            NaN
  1274.27        500.000                 NaN   99.4403                 NaN            NaN            NaN  0.358762                 NaN  0.184741       0.161569E-001            NaN            NaN
  1272.86        500.000                 NaN   99.4385                 NaN            NaN            NaN  0.362258                 NaN  0.182473       0.167330E-001            NaN            NaN
  1271.45        500.000                 NaN   99.4431                 NaN            NaN            NaN  0.359864                 NaN  0.180736       0.163068E-001            NaN            NaN
  1270.03        500.000                 NaN   99.4471                 NaN            NaN            NaN  0.358434                 NaN  0.178083       0.164170E-001            NaN            NaN
  1268.62        500.000                 NaN   99.4536                 NaN            NaN            NaN  0.355188                 NaN  0.174596       0.166265E-001            NaN            NaN
  1267.21        500.000                 NaN   99.2011                 NaN            NaN            NaN  0.402075                 NaN  0.200395       0.207987E-001  0.175591                 NaN
  1265.79        500.000                 NaN   95.3951                 NaN            NaN            NaN   1.14208                 NaN  0.617778       0.824971E-001   2.76258                 NaN
  1264.38        500.000                 NaN   95.6359                 NaN            NaN            NaN   1.08662                 NaN  0.584071       0.784005E-001   2.61501                 NaN
  1262.96        500.000                 NaN   95.8711                 NaN            NaN            NaN   1.02946                 NaN  0.550367       0.747204E-001   2.47435                 NaN
  1261.55        500.000                 NaN   96.0787                 NaN            NaN            NaN  0.980847                 NaN  0.523472       0.702786E-001   2.34673                 NaN
  1260.14        500.000                 NaN   96.2640                 NaN            NaN            NaN  0.934655                 NaN  0.495612       0.676660E-001   2.23804                 NaN
