|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.5/GRV/GRV_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1499.07        500.000                 NaN   98.6695                 NaN            NaN  0.279474       0.946737E-002   1.04153                 NaN            NaN            NaN            NaN
  1497.65        500.000                 NaN   98.6818                 NaN            NaN  0.217370        1.00211       0.986721E-001            NaN            NaN            NaN            NaN
  1496.24        500.000                 NaN   98.6972                 NaN            NaN  0.201597       0.114056       0.987134                 NaN            NaN            NaN            NaN
  1494.82        500.000                 NaN   98.7127                 NaN            NaN  0.191694       0.973986       0.121605                 NaN            NaN            NaN            NaN
  1493.41        500.000                 NaN   98.7311                 NaN            NaN  0.171923       0.143468       0.953525                 NaN            NaN            NaN            NaN
  1492.00        500.000                 NaN   98.7451                 NaN            NaN  0.161801       0.154763       0.938375                 NaN            NaN            NaN            NaN
  1490.58        500.000       0.893649E-003   98.7595                 NaN            NaN  0.115348       0.915441       0.208778                 NaN            NaN            NaN            NaN
  1489.17        500.000       0.465011E-004   98.7741                 NaN            NaN  0.201170       0.982889E-001  0.926411                 NaN            NaN            NaN            NaN
  1487.76        500.000       0.519642E-002   98.7802                 NaN            NaN            NaN  0.863996       0.350658                 NaN            NaN            NaN            NaN
  1486.34        500.000       0.509800E-002   98.7958                 NaN            NaN            NaN  0.852387       0.346759                 NaN            NaN            NaN            NaN
  1484.93        500.000       0.605685E-002   98.5512                 NaN            NaN            NaN   1.02646       0.416263                 NaN            NaN            NaN            NaN
  1483.51        500.000       0.376518E-002   99.0809                 NaN            NaN            NaN  0.650054       0.265330                 NaN            NaN            NaN            NaN
  1482.10        500.000       0.471153E-002   98.8353                 NaN            NaN            NaN  0.336598       0.823357                 NaN            NaN            NaN            NaN
  1480.69        500.000       0.460289E-002   98.8437                 NaN            NaN            NaN  0.817011       0.334650                 NaN            NaN            NaN            NaN
  1479.27        500.000       0.442612E-002   98.8677                 NaN            NaN            NaN  0.327368       0.800505                 NaN            NaN            NaN            NaN
  1477.86        500.000       0.432743E-002   98.8717                 NaN            NaN            NaN  0.798019       0.325914                 NaN            NaN            NaN            NaN
  1476.45        500.000       0.419445E-002   98.8891                 NaN            NaN            NaN  0.784558       0.322137                 NaN            NaN            NaN            NaN
  1475.03        500.000       0.408309E-002   98.8990                 NaN            NaN            NaN  0.319433       0.777470                 NaN            NaN            NaN            NaN
  1473.62        500.000       0.396516E-002   98.9093                 NaN            NaN            NaN  0.316086       0.770687                 NaN            NaN            NaN            NaN
  1472.20        500.000       0.385354E-002   98.9218                 NaN            NaN            NaN  0.760835       0.313507                 NaN            NaN            NaN            NaN
  1470.79        500.000       0.374700E-002   98.9317                 NaN            NaN            NaN  0.754223       0.310329                 NaN            NaN            NaN            NaN
  1469.38        500.000       0.361558E-002   98.9468                 NaN            NaN            NaN  0.306268       0.743352                 NaN            NaN            NaN            NaN
  1467.96        500.000       0.351738E-002   98.9557                 NaN            NaN            NaN  0.303369       0.737405                 NaN            NaN            NaN            NaN
  1466.55        500.000       0.340866E-002   98.9657                 NaN            NaN            NaN  0.300854       0.729995                 NaN            NaN            NaN            NaN
  1465.14        500.000       0.330431E-002   98.9767                 NaN            NaN            NaN  0.298275       0.721738                 NaN            NaN            NaN            NaN
  1463.72        500.000       0.321181E-002   98.9866                 NaN            NaN            NaN  0.295499       0.714723                 NaN            NaN            NaN            NaN
  1462.31        500.000       0.310940E-002   98.9969                 NaN            NaN            NaN  0.293216       0.706805                 NaN            NaN            NaN            NaN
  1460.89        500.000       0.301647E-002   99.0050                 NaN            NaN            NaN  0.701409       0.290548                 NaN            NaN            NaN            NaN
  1459.48        500.000       0.290763E-002   99.0193                 NaN            NaN            NaN  0.690463       0.287310                 NaN            NaN            NaN            NaN
  1458.07        500.000       0.282105E-002   99.0256                 NaN            NaN            NaN  0.285435       0.686127                 NaN            NaN            NaN            NaN
  1456.65        500.000       0.271932E-002   99.0351                 NaN            NaN            NaN  0.282247       0.679916                 NaN            NaN            NaN            NaN
  1455.24        500.000       0.263709E-002   99.0447                 NaN            NaN            NaN  0.279762       0.672928                 NaN            NaN            NaN            NaN
  1453.82        500.000       0.254110E-002   99.0528                 NaN            NaN            NaN  0.666812       0.277830                 NaN            NaN            NaN            NaN
  1452.41        500.000       0.246004E-002   99.0633                 NaN            NaN            NaN  0.658846       0.275357                 NaN            NaN            NaN            NaN
  1451.00        500.000       0.237121E-002   99.0706                 NaN            NaN            NaN  0.272948       0.654127                 NaN            NaN            NaN            NaN
  1449.58        500.000       0.206173E-002   99.1650                 NaN            NaN            NaN  0.245111       0.587786                 NaN            NaN            NaN            NaN
  1448.17        500.000       0.243030E-002   99.0010                 NaN            NaN            NaN  0.701813       0.294805                 NaN            NaN            NaN            NaN
  1446.76        500.000       0.213288E-002   99.0944                 NaN            NaN            NaN  0.636493       0.266964                 NaN            NaN            NaN            NaN
  1445.34        500.000       0.204575E-002   99.1041                 NaN            NaN            NaN  0.264600       0.629294                 NaN            NaN            NaN            NaN
  1443.93        500.000       0.197039E-002   99.1124                 NaN            NaN            NaN  0.262403       0.623241                 NaN            NaN            NaN            NaN
  1442.51        500.000       0.189619E-002   99.1196                 NaN            NaN            NaN  0.260215       0.618327                 NaN            NaN            NaN            NaN
  1441.10        500.000       0.181671E-002   99.1272                 NaN            NaN            NaN  0.613088       0.257939                 NaN            NaN            NaN            NaN
  1439.69        500.000       0.174800E-002   99.1333                 NaN            NaN            NaN  0.609046       0.255885                 NaN            NaN            NaN            NaN
  1438.27        500.000       0.166709E-002   99.1439                 NaN            NaN            NaN  0.254089       0.600318                 NaN            NaN            NaN            NaN
  1436.86        500.000       0.160427E-002   99.1485                 NaN            NaN            NaN  0.251505       0.598363                 NaN            NaN            NaN            NaN
  1435.45        500.000       0.153012E-002   99.1573                 NaN            NaN            NaN  0.591253       0.249880                 NaN            NaN            NaN            NaN
  1434.03        500.000       0.146510E-002   99.1632                 NaN            NaN            NaN  0.248308       0.587018                 NaN            NaN            NaN            NaN
  1432.62        500.000       0.140177E-002   99.1697                 NaN            NaN            NaN  0.246252       0.582658                 NaN            NaN            NaN            NaN
  1431.20        500.000       0.132388E-002   99.1758                 NaN            NaN            NaN  0.578606       0.244319                 NaN            NaN            NaN            NaN
  1429.79        500.000       0.127017E-002   99.1840                 NaN            NaN            NaN  0.572120       0.242617                 NaN            NaN            NaN            NaN
  1428.38        500.000       0.120680E-002   99.1900                 NaN            NaN            NaN  0.240907       0.567895                 NaN            NaN            NaN            NaN
  1426.96        500.000       0.113853E-002   99.1951                 NaN            NaN            NaN  0.239094       0.564672                 NaN            NaN            NaN            NaN
  1425.55        500.000       0.108484E-002   99.2033                 NaN            NaN            NaN  0.237302       0.558274                 NaN            NaN            NaN            NaN
  1424.14        500.000       0.101984E-002   99.2092                 NaN            NaN            NaN  0.235670       0.554133                 NaN            NaN            NaN            NaN
  1422.72        500.000       0.962620E-003   99.2132                 NaN            NaN            NaN  0.234387       0.551404                 NaN            NaN            NaN            NaN
  1421.31        500.000       0.904236E-003   99.2219                 NaN            NaN            NaN  0.232082       0.545107                 NaN            NaN            NaN            NaN
  1419.89        500.000       0.843929E-003   99.2260                 NaN            NaN            NaN  0.230905       0.542262                 NaN            NaN            NaN            NaN
  1418.48        500.000       0.796096E-003   99.2326                 NaN            NaN            NaN  0.228985       0.537608                 NaN            NaN            NaN            NaN
  1417.07        500.000       0.745574E-003   99.2368                 NaN            NaN            NaN  0.227573       0.534908                 NaN            NaN            NaN            NaN
  1415.65        500.000       0.682670E-003   99.2426                 NaN            NaN            NaN  0.226138       0.530543                 NaN            NaN            NaN            NaN
  1414.24        500.000       0.639031E-003   99.2492                 NaN            NaN            NaN  0.224578       0.525588                 NaN            NaN            NaN            NaN
  1412.83        500.000       0.586314E-003   99.2547                 NaN            NaN            NaN  0.521987       0.222695                 NaN            NaN            NaN            NaN
  1411.41        500.000       0.532680E-003   99.2581                 NaN            NaN            NaN  0.221615       0.519763                 NaN            NaN            NaN            NaN
  1410.00        500.000       0.486885E-003   99.2651                 NaN            NaN            NaN  0.514921       0.219484                 NaN            NaN            NaN            NaN
  1408.58        500.000       0.432909E-003   99.2699                 NaN            NaN            NaN  0.218231       0.511405                 NaN            NaN            NaN            NaN
  1407.17        500.000       0.384449E-003   99.2735                 NaN            NaN            NaN  0.509553       0.216610                 NaN            NaN            NaN            NaN
  1405.76        500.000                 NaN   98.2420                 NaN            NaN            NaN  0.605516       0.682789       0.469708                 NaN            NaN            NaN
  1404.34        500.000                 NaN   98.1237                 NaN            NaN            NaN  0.736746       0.611460       0.528071                 NaN            NaN            NaN
  1402.93        500.000                 NaN   98.1536                 NaN            NaN            NaN  0.723963       0.602881       0.519553                 NaN            NaN            NaN
  1401.51        500.000                 NaN   98.1853                 NaN            NaN            NaN  0.593638       0.710495       0.510519                 NaN            NaN            NaN
  1400.10        500.000                 NaN   98.2114                 NaN            NaN            NaN  0.700647       0.585045       0.502881                 NaN            NaN            NaN
  1398.69        500.000       0.979786E-003   98.2608                 NaN            NaN            NaN  0.564385       0.684662       0.489178                 NaN            NaN            NaN
  1397.27        500.000                 NaN   98.2458                 NaN            NaN            NaN  0.573784       0.687992       0.492399                 NaN            NaN            NaN
  1395.86        500.000                 NaN   98.2920                 NaN            NaN            NaN  0.667713       0.560721       0.479527                 NaN            NaN            NaN
  1394.45        500.000                 NaN   98.3141                 NaN            NaN            NaN  0.553339       0.659166       0.473350                 NaN            NaN            NaN
  1393.03        500.000                 NaN   98.3472                 NaN            NaN            NaN  0.646058       0.543266       0.463446                 NaN            NaN            NaN
  1391.62        500.000                 NaN   98.3644                 NaN            NaN            NaN  0.638311       0.538711       0.458546                 NaN            NaN            NaN
  1390.20        500.000                 NaN   98.3904                 NaN            NaN            NaN  0.530093       0.628495       0.451059                 NaN            NaN            NaN
  1388.79        500.000                 NaN   98.4132                 NaN            NaN            NaN  0.523046       0.619479       0.444266                 NaN            NaN            NaN
  1387.38        500.000                 NaN   98.4348                 NaN            NaN            NaN  0.610296       0.516817       0.438111                 NaN            NaN            NaN
  1385.96        500.000                 NaN   98.4552                 NaN            NaN            NaN  0.602651       0.510200       0.431946                 NaN            NaN            NaN
  1384.55        500.000                 NaN   98.4768                 NaN            NaN            NaN  0.503655       0.593895       0.425610                 NaN            NaN            NaN
  1383.14        500.000                 NaN   98.4967                 NaN            NaN            NaN  0.497329       0.586017       0.419922                 NaN            NaN            NaN
  1381.72        500.000                 NaN   98.5171                 NaN            NaN            NaN  0.577868       0.491266       0.413736                 NaN            NaN            NaN
  1380.31        500.000                 NaN   98.5343                 NaN            NaN            NaN  0.485426       0.571353       0.408885                 NaN            NaN            NaN
  1378.89        500.000                 NaN   98.5570                 NaN            NaN            NaN  0.478539       0.562494       0.401929                 NaN            NaN            NaN
  1377.48        500.000                 NaN   98.5731                 NaN            NaN            NaN  0.473579       0.556055       0.397277                 NaN            NaN            NaN
  1376.07        500.000                 NaN   98.5906                 NaN            NaN            NaN  0.468052       0.549399       0.391973                 NaN            NaN            NaN
  1374.65        500.000                 NaN   98.6079                 NaN            NaN            NaN  0.462597       0.542523       0.386951                 NaN            NaN            NaN
  1373.24        500.000                 NaN   98.6236                 NaN            NaN            NaN  0.457998       0.536287       0.382082                 NaN            NaN            NaN
  1371.83        500.000                 NaN   98.6419                 NaN            NaN            NaN  0.452047       0.529168       0.376868                 NaN            NaN            NaN
  1370.41        500.000                 NaN   98.6572                 NaN            NaN            NaN  0.523300       0.447405       0.372089                 NaN            NaN            NaN
  1369.00        500.000                 NaN   98.6727                 NaN            NaN            NaN  0.442036       0.517789       0.367510                 NaN            NaN            NaN
  1367.58        500.000                 NaN   98.6884                 NaN            NaN            NaN  0.436953       0.511825       0.362839                 NaN            NaN            NaN
  1366.17        500.000                 NaN   98.7020                 NaN            NaN            NaN  0.432700       0.506559       0.358776                 NaN            NaN            NaN
  1364.76        500.000                 NaN   98.7175                 NaN            NaN            NaN  0.427469       0.501156       0.353911                 NaN            NaN            NaN
  1363.34        500.000                 NaN   98.7315                 NaN            NaN            NaN  0.495286       0.423442       0.349765                 NaN            NaN            NaN
  1361.93        500.000                 NaN   98.7461                 NaN            NaN            NaN  0.490038       0.418381       0.345437                 NaN            NaN            NaN
  1360.52        500.000                 NaN   1.08871        97.3059                 NaN            NaN  0.530027       0.632880       0.442534                 NaN            NaN            NaN
  1359.10        500.000                 NaN   6.22708        90.9030                 NaN            NaN  0.657307        1.42144       0.791192                 NaN            NaN            NaN
  1357.69        500.000                 NaN   10.5244        87.0486                 NaN            NaN  0.567714        1.19155       0.667731                 NaN            NaN            NaN
  1356.27        500.000                 NaN   14.1440        83.7625                 NaN            NaN  0.504043        1.01497       0.574501                 NaN            NaN            NaN
  1354.86        500.000                 NaN   17.2486        80.9064                 NaN            NaN  0.883852       0.456173       0.505040                 NaN            NaN            NaN
  1353.45        500.000                 NaN   19.9494        78.3955                 NaN            NaN  0.419770       0.783567       0.451790                 NaN            NaN            NaN
  1352.03        500.000                 NaN   22.3965        76.0784                 NaN            NaN  0.392357       0.717351       0.415449                 NaN            NaN            NaN
  1350.62        500.000                 NaN   24.3848        74.2809                 NaN            NaN  0.364177       0.608123       0.362003                 NaN            NaN            NaN
  1349.20        500.000                 NaN   26.2232        72.5144                 NaN            NaN  0.346939       0.573460       0.342015                 NaN            NaN            NaN
  1347.79        500.000                 NaN   28.3519        70.3538       0.180937                 NaN  0.739776                 NaN  0.373633                 NaN            NaN            NaN
  1346.38        500.000                 NaN   30.6276        68.0282       0.303055                 NaN  0.637640                 NaN  0.403505                 NaN            NaN            NaN
  1344.96        500.000                 NaN   33.4176        65.1248       0.340769                 NaN  0.672774                 NaN  0.444038                 NaN            NaN            NaN
  1343.55        500.000                 NaN   34.6590        64.4408       0.201199                 NaN  0.438446                 NaN  0.260547                 NaN            NaN            NaN
  1342.14        500.000                 NaN   36.2642        62.6911       0.244699                 NaN  0.489292                 NaN  0.310678                 NaN            NaN            NaN
  1340.72        500.000                 NaN   37.7846        61.2444       0.228731                 NaN  0.454448                 NaN  0.287893                 NaN            NaN            NaN
  1339.31        500.000                 NaN   39.1594        59.9336       0.214540                 NaN  0.424409                 NaN  0.268090                 NaN            NaN            NaN
  1337.89        500.000                 NaN   40.4052        58.7436       0.201094                 NaN  0.399303                 NaN  0.250785                 NaN            NaN            NaN
  1336.48        500.000                 NaN   41.5514        57.6448       0.194173                 NaN  0.372860                 NaN  0.236725                 NaN            NaN            NaN
  1335.07        500.000                 NaN   42.5607        56.6849       0.178037                 NaN  0.355742                 NaN  0.220612                 NaN            NaN            NaN
  1333.65        500.000                 NaN   43.4986        55.7792       0.170614                 NaN  0.340699                 NaN  0.210913                 NaN            NaN            NaN
  1332.24        500.000                 NaN   44.3385        54.9760       0.161131                 NaN  0.325096                 NaN  0.199240                 NaN            NaN            NaN
  1330.83        500.000                 NaN   45.1127        54.2289       0.154814                 NaN  0.312570                 NaN  0.190961                 NaN            NaN            NaN
  1329.41        500.000                 NaN   45.8094        53.5606       0.147603                 NaN  0.300308                 NaN  0.182082                 NaN            NaN            NaN
  1328.00        500.000                 NaN   46.4437        52.9492       0.141787                 NaN  0.290394                 NaN  0.174941                 NaN            NaN            NaN
  1326.58        500.000                 NaN   47.0143        52.4007       0.135694                 NaN  0.281353                 NaN  0.167995                 NaN            NaN            NaN
  1325.17        500.000                 NaN   47.5291        51.9046       0.131415                 NaN  0.272622                 NaN  0.162215                 NaN            NaN            NaN
  1323.76        500.000                 NaN   47.9888        51.4623       0.126471                 NaN  0.265740                 NaN  0.156733                 NaN            NaN            NaN
  1322.34        500.000                 NaN   48.3974        51.0685       0.121865                 NaN  0.260261                 NaN  0.151966                 NaN            NaN            NaN
  1320.93        500.000                 NaN   48.7643        50.7136       0.119173                 NaN  0.254658                 NaN  0.148197                 NaN            NaN            NaN
  1319.52        500.000                 NaN   49.0680        50.4248       0.114672                 NaN  0.249181                 NaN  0.143333                 NaN            NaN            NaN
  1318.10        500.000                 NaN   49.3383        50.1634       0.112990                 NaN  0.244605                 NaN  0.140718                 NaN            NaN            NaN
  1316.69        500.000                 NaN   49.5496        49.9634       0.108701                 NaN  0.241356                 NaN  0.136879                 NaN            NaN            NaN
  1315.27        500.000                 NaN   97.5285        1.99116       0.106596                 NaN  0.239015                 NaN  0.134777                 NaN            NaN            NaN
  1313.86        500.000                 NaN   99.5283                 NaN  0.103480                 NaN  0.236366                 NaN  0.131887                 NaN            NaN            NaN
  1312.45        500.000                 NaN   99.5321                 NaN  0.102714                 NaN  0.234655                 NaN  0.130569                 NaN            NaN            NaN
  1311.03        500.000                 NaN   99.5372                 NaN  0.100035                 NaN  0.234028                 NaN  0.128777                 NaN            NaN            NaN
  1309.62        500.000                 NaN   99.5410                 NaN  0.987109E-001            NaN  0.232877                 NaN  0.127364                 NaN            NaN            NaN
  1308.21        500.000                 NaN   99.5433                 NaN  0.971190E-001            NaN  0.233151                 NaN  0.126446                 NaN            NaN            NaN
  1306.79        500.000                 NaN   99.5435                 NaN  0.963209E-001            NaN  0.234079                 NaN  0.126053                 NaN            NaN            NaN
  1305.38        500.000                 NaN   99.5435                 NaN  0.948960E-001            NaN  0.235826                 NaN  0.125821                 NaN            NaN            NaN
  1303.96        500.000                 NaN   99.5419                 NaN  0.948994E-001            NaN  0.237060                 NaN  0.126135                 NaN            NaN            NaN
  1302.55        500.000                 NaN   99.5386                 NaN  0.939104E-001            NaN  0.241195                 NaN  0.126306                 NaN            NaN            NaN
  1301.14        500.000                 NaN   99.5332                 NaN  0.936474E-001            NaN  0.245436                 NaN  0.127758                 NaN            NaN            NaN
  1299.72        500.000                 NaN   99.5013                 NaN  0.899031E-001            NaN  0.260917                 NaN  0.134578       0.132783E-001            NaN            NaN
  1298.31        500.000                 NaN   99.4653                 NaN  0.865555E-001            NaN  0.277246                 NaN  0.142534       0.283407E-001            NaN            NaN
  1296.89        500.000                 NaN   99.4534                 NaN  0.868501E-001            NaN  0.285517                 NaN  0.145584       0.286401E-001            NaN            NaN
  1295.48        500.000                 NaN   99.4402                 NaN  0.884886E-001            NaN  0.293216                 NaN  0.149107       0.290092E-001            NaN            NaN
  1294.07        500.000                 NaN   99.4212                 NaN  0.900572E-001            NaN  0.304921                 NaN  0.154139       0.296528E-001            NaN            NaN
  1292.65        500.000                 NaN   99.3983                 NaN  0.913343E-001            NaN  0.319707                 NaN  0.160218       0.304547E-001            NaN            NaN
  1291.24        500.000                 NaN   99.3677                 NaN  0.938684E-001            NaN  0.338737                 NaN  0.168134       0.315290E-001            NaN            NaN
  1289.83        500.000                 NaN   99.3308                 NaN  0.947682E-001            NaN  0.363658                 NaN  0.177948       0.328540E-001            NaN            NaN
  1288.41        500.000                 NaN   99.2827                 NaN  0.972069E-001            NaN  0.395008                 NaN  0.190469       0.345810E-001            NaN            NaN
  1287.00        500.000                 NaN   99.2162                 NaN  0.930854E-001            NaN  0.446689                 NaN  0.207414       0.365935E-001            NaN            NaN
  1285.58        500.000                 NaN   99.1210                 NaN  0.800463E-001            NaN  0.528778                 NaN  0.231213       0.389170E-001            NaN            NaN
  1284.17        500.000                 NaN   33.6885        65.2599       0.208004E-001            NaN  0.718581                 NaN  0.271473       0.406910E-001            NaN            NaN
  1282.76        500.000                 NaN   29.7355        68.9839                 NaN            NaN  0.906747                 NaN  0.328939       0.449072E-001            NaN            NaN
  1281.34        500.000                 NaN   24.4071        74.0176                 NaN            NaN   1.11502                 NaN  0.409379       0.508438E-001            NaN            NaN
  1279.93        500.000                 NaN   17.1795        80.8321                 NaN            NaN   1.40708                 NaN  0.519648       0.617061E-001            NaN            NaN
  1278.52        500.000                 NaN   6.77773        90.5596                 NaN            NaN   1.88279                 NaN  0.699389       0.804996E-001            NaN            NaN
  1277.10        500.000                 NaN   97.9551                 NaN            NaN            NaN   1.43783                 NaN  0.541511       0.655137E-001            NaN            NaN
  1275.69        500.000                 NaN   99.2805                 NaN            NaN            NaN  0.494317                 NaN  0.196242       0.288972E-001            NaN            NaN
  1274.27        500.000                 NaN   99.2784                 NaN            NaN            NaN  0.497547                 NaN  0.194879       0.292115E-001            NaN            NaN
  1272.86        500.000                 NaN   99.2750                 NaN            NaN            NaN  0.501988                 NaN  0.192687       0.302851E-001            NaN            NaN
  1271.45        500.000                 NaN   99.2800                 NaN            NaN            NaN  0.499384                 NaN  0.191055       0.295456E-001            NaN            NaN
  1270.03        500.000                 NaN   99.2842                 NaN            NaN            NaN  0.497534                 NaN  0.188450       0.297773E-001            NaN            NaN
  1268.62        500.000                 NaN   99.2918                 NaN            NaN            NaN  0.493041                 NaN  0.184954       0.301896E-001            NaN            NaN
  1267.21        500.000                 NaN   99.0183                 NaN            NaN            NaN  0.558389                 NaN  0.212462       0.377977E-001  0.173003                 NaN
  1265.79        500.000                 NaN   94.8963                 NaN            NaN            NaN   1.58381                 NaN  0.653688       0.149630        2.71653                 NaN
  1264.38        500.000                 NaN   95.1528                 NaN            NaN            NaN   1.51010                 NaN  0.619022       0.142433        2.57562                 NaN
  1262.96        500.000                 NaN   95.4054                 NaN            NaN            NaN   1.43328                 NaN  0.584252       0.135971        2.44107                 NaN
  1261.55        500.000                 NaN   95.6272                 NaN            NaN            NaN   1.36921                 NaN  0.556594       0.128096        2.31892                 NaN
  1260.14        500.000                 NaN   95.8268                 NaN            NaN            NaN   1.30676                 NaN  0.527813       0.123533        2.21507                 NaN
  1258.72        500.000                 NaN   96.0209                 NaN            NaN            NaN   1.25800                 NaN  0.508989       0.112682        2.09942                 NaN
