|6.6.6
Archiving\03_Data\eqfrac/QFM_m3/EETA/EETA_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             San(TH)        ilm            q             
  1441.88        2500.00        99.3403                 NaN  0.203860       0.455363                 NaN  0.450841E-003            NaN            NaN            NaN            NaN            NaN
  1440.72        2500.00        99.3438                 NaN  0.203016       0.452695                 NaN  0.439965E-003            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00        99.3468                 NaN  0.201553       0.451217                 NaN  0.419436E-003            NaN            NaN            NaN            NaN            NaN
  1438.41        2500.00        99.2678                 NaN  0.226598       0.505170                 NaN  0.386265E-003            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00        99.4326                 NaN  0.175464       0.391575                 NaN  0.315979E-003            NaN            NaN            NaN            NaN            NaN
  1436.09        2500.00        99.3550                 NaN  0.199010       0.445662                 NaN  0.350376E-003            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00        99.3569                 NaN  0.197700       0.445146                 NaN  0.302944E-003            NaN            NaN            NaN            NaN            NaN
  1433.78        2500.00        99.3610                 NaN  0.196919       0.441786                 NaN  0.310389E-003            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00        99.4112                 NaN  0.538654                 NaN            NaN  0.346994E-003  0.498234E-001            NaN            NaN            NaN            NaN
  1431.46        2500.00        99.3271                 NaN  0.367607       0.305211                 NaN  0.667597E-004  0.107308E-004            NaN            NaN            NaN            NaN
  1430.31        2500.00        99.3503                 NaN  0.202999       0.438449                 NaN  0.214170E-003            NaN  0.801952E-002            NaN            NaN            NaN
  1429.15        2500.00        98.3719                 NaN  0.408321       0.541003                 NaN            NaN  0.187688       0.491080                 NaN            NaN            NaN
  1427.99        2500.00        98.3743                 NaN  0.322016       0.563336                 NaN            NaN  0.241864       0.498480                 NaN            NaN            NaN
  1426.84        2500.00        98.4033                 NaN  0.553700       0.314193                 NaN            NaN  0.239340       0.489506                 NaN            NaN            NaN
  1425.68        2500.00        98.4176                 NaN  0.551980       0.304522                 NaN            NaN  0.240414       0.485436                 NaN            NaN            NaN
  1424.52        2500.00        98.4414                 NaN  0.295641       0.545607                 NaN            NaN  0.239292       0.478085                 NaN            NaN            NaN
  1423.37        2500.00        98.4606                 NaN  0.286967       0.541010                 NaN            NaN  0.238977       0.472439                 NaN            NaN            NaN
  1422.21        2500.00        98.4800                 NaN  0.277781       0.536925                 NaN            NaN  0.238646       0.466602                 NaN            NaN            NaN
  1421.05        2500.00        98.4988                 NaN  0.532389       0.269887                 NaN            NaN  0.238064       0.460903                 NaN            NaN            NaN
  1419.90        2500.00        98.5162                 NaN  0.529315       0.260919                 NaN            NaN  0.237912       0.455642                 NaN            NaN            NaN
  1418.74        2500.00        98.5342                 NaN  0.524668       0.252690                 NaN            NaN  0.238157       0.450301                 NaN            NaN            NaN
  1417.58        2500.00        98.5538                 NaN  0.246037       0.519585                 NaN            NaN  0.236398       0.444186                 NaN            NaN            NaN
  1416.43        2500.00        98.5694                 NaN  0.239165       0.516615                 NaN            NaN  0.235483       0.439360                 NaN            NaN            NaN
  1415.27        2500.00        98.5856                 NaN  0.514828       0.227686                 NaN            NaN  0.237245       0.434639                 NaN            NaN            NaN
  1414.11        2500.00        98.6018                 NaN  0.510175       0.222560                 NaN            NaN  0.235875       0.429599                 NaN            NaN            NaN
  1412.96        2500.00        98.6202                 NaN  0.505572       0.214489                 NaN            NaN  0.235586       0.424114                 NaN            NaN            NaN
  1411.80        2500.00        98.6343                 NaN  0.503054       0.207703                 NaN            NaN  0.235160       0.419747                 NaN            NaN            NaN
  1410.64        2500.00        98.6510                 NaN  0.200366       0.499262                 NaN            NaN  0.234656       0.414732                 NaN            NaN            NaN
  1409.49        2500.00        98.6640                 NaN  0.193234       0.497244                 NaN            NaN  0.234811       0.410708                 NaN            NaN            NaN
  1408.33        2500.00        98.6800                 NaN  0.493883       0.186778                 NaN            NaN  0.233796       0.405555                 NaN            NaN            NaN
  1407.17        2500.00        98.6953                 NaN  0.179771       0.490241                 NaN            NaN  0.233619       0.401110                 NaN            NaN            NaN
  1406.02        2500.00        98.7095                 NaN  0.173446       0.487165                 NaN            NaN  0.233143       0.396765                 NaN            NaN            NaN
  1404.86        2500.00        98.7222                 NaN  0.484358       0.168158                 NaN            NaN  0.232251       0.393055                 NaN            NaN            NaN
  1403.70        2500.00        98.7379                 NaN  0.482019       0.158551                 NaN            NaN  0.233516       0.388031                 NaN            NaN            NaN
  1402.55        2500.00        98.7520                 NaN  0.155350       0.477943                 NaN            NaN  0.231228       0.383466                 NaN            NaN            NaN
  1401.39        2500.00        98.7617                 NaN  0.147064       0.477567                 NaN            NaN  0.232812       0.380831                 NaN            NaN            NaN
  1400.23        2500.00        98.7785                 NaN  0.144648       0.471932                 NaN            NaN  0.229802       0.375143                 NaN            NaN            NaN
  1399.08        2500.00        98.7889                 NaN  0.136565       0.471714                 NaN            NaN  0.230647       0.372178                 NaN            NaN            NaN
  1397.92        2500.00        98.8018                 NaN  0.468765       0.130976                 NaN            NaN  0.230220       0.368200                 NaN            NaN            NaN
  1396.76        2500.00        98.6996                 NaN  0.512406       0.135282                 NaN            NaN  0.252746       0.399983                 NaN            NaN            NaN
  1395.61        2500.00        98.9410                 NaN  0.109633       0.418590                 NaN            NaN  0.206030       0.324762                 NaN            NaN            NaN
  1394.45        2500.00        98.8375                 NaN  0.462882       0.113102                 NaN            NaN  0.229337       0.357210                 NaN            NaN            NaN
  1393.29        2500.00        98.8480                 NaN  0.109083       0.460823                 NaN            NaN  0.228407       0.353723                 NaN            NaN            NaN
  1392.14        2500.00        98.8640                 NaN  0.105602       0.455380                 NaN            NaN  0.226501       0.348486                 NaN            NaN            NaN
  1390.98        2500.00        98.8726                 NaN  0.454847       0.992411E-001            NaN            NaN  0.227269       0.346021                 NaN            NaN            NaN
  1389.82        2500.00        98.8848                 NaN  0.452945       0.936872E-001            NaN            NaN  0.226365       0.342190                 NaN            NaN            NaN
  1388.67        2500.00        98.8956                 NaN  0.891511E-001  0.450840                 NaN            NaN  0.225586       0.338851                 NaN            NaN            NaN
  1387.51        2500.00        98.9048                 NaN  0.854932E-001  0.448035                 NaN            NaN  0.225691       0.335963                 NaN            NaN            NaN
  1386.35        2500.00        98.9164                 NaN  0.448218       0.793530E-001            NaN            NaN  0.224021       0.331997                 NaN            NaN            NaN
  1385.20        2500.00        98.9253                 NaN  0.445692       0.762733E-001            NaN            NaN  0.223568       0.329181                 NaN            NaN            NaN
  1384.04        2500.00        98.9348                 NaN  0.710699E-001  0.444720                 NaN            NaN  0.223122       0.326322                 NaN            NaN            NaN
  1382.88        2500.00        98.9462                 NaN  0.441643       0.677322E-001            NaN            NaN  0.221977       0.322467                 NaN            NaN            NaN
  1381.72        2500.00        98.9541                 NaN  0.654500E-001  0.439192                 NaN            NaN  0.221222       0.320084                 NaN            NaN            NaN
  1380.57        2500.00        98.9672                 NaN  0.569494E-001  0.439437                 NaN            NaN  0.220720       0.315744                 NaN            NaN            NaN
  1379.41        2500.00        98.9725                 NaN  0.497716E-001  0.441731                 NaN            NaN  0.221516       0.314462                 NaN            NaN            NaN
  1378.25        2500.00        98.9860                 NaN  0.432820       0.546420E-001            NaN            NaN  0.217088       0.309484                 NaN            NaN            NaN
  1377.10        2500.00        98.9908                 NaN  0.446691E-001  0.436126                 NaN            NaN  0.219702       0.308660                 NaN            NaN            NaN
  1375.94        2500.00        99.0069                 NaN  0.429707       0.454906E-001            NaN            NaN  0.215297       0.302637                 NaN            NaN            NaN
  1374.78        2500.00        99.0120                 NaN  0.400129E-001  0.430436                 NaN            NaN  0.216199       0.301339                 NaN            NaN            NaN
  1373.63        2500.00        99.0213                 NaN  0.427571       0.372318E-001            NaN            NaN  0.215430       0.298418                 NaN            NaN            NaN
  1372.47        2500.00        99.0294                 NaN  0.428209       0.319067E-001            NaN            NaN  0.214652       0.295786                 NaN            NaN            NaN
  1371.31        2500.00        99.0177                 NaN  0.411616                 NaN            NaN            NaN  0.263805       0.306831                 NaN            NaN            NaN
  1370.16        2500.00        99.0643                 NaN  0.405159       0.928666E-001            NaN            NaN  0.160848       0.276858                 NaN            NaN            NaN
  1369.00        2500.00        99.0555                 NaN  0.424626       0.223039E-001            NaN            NaN  0.210696       0.286838                 NaN            NaN            NaN
  1367.84        2500.00        99.0589                 NaN  0.145518E-001  0.428084                 NaN            NaN  0.212136       0.286351                 NaN            NaN            NaN
  1366.69        2500.00        99.0748                 NaN  0.414744       0.256530E-001            NaN            NaN  0.204785       0.280005                 NaN            NaN            NaN
  1365.53        2500.00        99.0780                 NaN  0.147880E-001  0.420652                 NaN            NaN  0.207160       0.279406                 NaN            NaN            NaN
  1364.37        2500.00        99.0864                 NaN  0.124894E-001  0.418778                 NaN            NaN  0.205774       0.276586                 NaN            NaN            NaN
  1363.22        2500.00        99.0930                 NaN  0.417887       0.103654E-001            NaN            NaN  0.204468       0.274277                 NaN            NaN            NaN
  1362.06        2500.00        99.1010                 NaN  0.757278E-002  0.416411                 NaN            NaN  0.203347       0.271627                 NaN            NaN            NaN
  1360.90        2500.00        99.1085                 NaN  0.595543E-002  0.414088                 NaN            NaN  0.202111       0.269308                 NaN            NaN            NaN
  1359.75        2500.00        99.1174                 NaN  0.414095       0.209958E-002            NaN            NaN  0.200229       0.266184                 NaN            NaN            NaN
  1358.59        2500.00        99.1217                 NaN  0.409688       0.322702E-002            NaN            NaN  0.199984       0.265358                 NaN            NaN            NaN
  1357.43        2500.00        99.1319                 NaN  0.411606                 NaN            NaN            NaN  0.195913       0.260594                 NaN            NaN            NaN
  1356.28        2500.00        99.1295                 NaN  0.411508                 NaN            NaN            NaN  0.197188       0.261827                 NaN            NaN            NaN
  1355.12        2500.00        99.1161                 NaN  0.243301       0.280757                 NaN            NaN  0.106071       0.253728                 NaN            NaN            NaN
  1353.96        2500.00        99.1515                 NaN  0.401270                 NaN            NaN            NaN  0.192945       0.254320                 NaN            NaN            NaN
  1352.81        2500.00        99.1573                 NaN  0.396672                 NaN            NaN            NaN  0.193314       0.252703                 NaN            NaN            NaN
  1351.65        2500.00        99.1645                 NaN  0.395721                 NaN            NaN            NaN  0.190024       0.249709                 NaN            NaN            NaN
  1350.49        2500.00        99.1713                 NaN  0.392560                 NaN            NaN            NaN  0.188506       0.247625                 NaN            NaN            NaN
  1349.34        2500.00        99.1767                 NaN  0.393989                 NaN            NaN            NaN  0.184071       0.245195                 NaN            NaN            NaN
  1348.18        2500.00        99.1825                 NaN  0.390496                 NaN            NaN            NaN  0.183688       0.243327                 NaN            NaN            NaN
  1347.02        2500.00        98.4587                 NaN  0.709678                 NaN            NaN            NaN  0.370176       0.461422                 NaN            NaN            NaN
  1345.87        2500.00        99.9436                 NaN  0.275508E-001            NaN            NaN            NaN  0.131507E-001  0.157195E-001            NaN            NaN            NaN
  1344.71        2500.00        99.1842                 NaN  0.142616       0.304358                 NaN            NaN  0.132624       0.236241                 NaN            NaN            NaN
  1343.55        2500.00        99.2061                 NaN  0.383560                 NaN            NaN            NaN  0.175590       0.234742                 NaN            NaN            NaN
  1342.40        2500.00        99.2117                 NaN  0.384799                 NaN            NaN            NaN  0.170909       0.232561                 NaN            NaN            NaN
  1341.24        2500.00        99.2183                 NaN  0.378124                 NaN            NaN            NaN  0.172930       0.230662                 NaN            NaN            NaN
  1340.08        2500.00        99.2210                 NaN  0.379706                 NaN            NaN            NaN  0.170132       0.229205                 NaN            NaN            NaN
  1338.93        2500.00        99.2305                 NaN  0.377809                 NaN            NaN            NaN  0.165706       0.226003                 NaN            NaN            NaN
  1337.77        2500.00        99.2348                 NaN  0.375904                 NaN            NaN            NaN  0.164750       0.224578                 NaN            NaN            NaN
  1336.61        2500.00        99.2399                 NaN  0.374523                 NaN            NaN            NaN  0.163043       0.222565                 NaN            NaN            NaN
  1335.46        2500.00        99.2436                 NaN  0.377442                 NaN            NaN            NaN  0.158287       0.220679                 NaN            NaN            NaN
  1334.30        2500.00        99.2510                 NaN  0.369482                 NaN            NaN            NaN  0.160739       0.218762                 NaN            NaN            NaN
  1333.14        2500.00        99.2551                 NaN  0.372442                 NaN            NaN            NaN  0.155610       0.216855                 NaN            NaN            NaN
  1331.98        2500.00        99.2607                 NaN  0.369523                 NaN            NaN            NaN  0.154750       0.215060                 NaN            NaN            NaN
  1330.83        2500.00        99.2650                 NaN  0.368595                 NaN            NaN            NaN  0.153071       0.213374                 NaN            NaN            NaN
  1329.67        2500.00        99.2718                 NaN  0.366868                 NaN            NaN            NaN  0.150187       0.211140                 NaN            NaN            NaN
  1328.51        2500.00        99.2749                 NaN  0.367962                 NaN            NaN            NaN  0.147225       0.209957                 NaN            NaN            NaN
  1327.36        2500.00        99.2792                 NaN  0.369330                 NaN            NaN            NaN  0.143693       0.207737                 NaN            NaN            NaN
  1326.20        2500.00        99.2819                 NaN  0.371461                 NaN            NaN            NaN  0.140329       0.206308                 NaN            NaN            NaN
  1325.04        2500.00        99.2855                 NaN  0.377808                 NaN            NaN            NaN  0.131960       0.204725                 NaN            NaN            NaN
  1323.89        2500.00        99.2936                 NaN  0.365287                 NaN            NaN            NaN  0.138517       0.202587                 NaN            NaN            NaN
  1322.73        2500.00        99.2983                 NaN  0.363157                 NaN            NaN            NaN  0.137415       0.201082                 NaN            NaN            NaN
  1321.57        2500.00        99.3015                 NaN  0.365801                 NaN            NaN            NaN  0.133066       0.199654                 NaN            NaN            NaN
  1320.42        2500.00        99.3076                 NaN  0.360374                 NaN            NaN            NaN  0.134182       0.197861                 NaN            NaN            NaN
  1319.26        2500.00        99.3100                 NaN  0.366093                 NaN            NaN            NaN  0.127621       0.196323                 NaN            NaN            NaN
  1318.10        2500.00        99.3123                 NaN  0.373081                 NaN            NaN            NaN  0.119565       0.195095                 NaN            NaN            NaN
  1316.95        2500.00        99.3164                 NaN  0.370738                 NaN            NaN            NaN  0.119429       0.193451                 NaN            NaN            NaN
  1315.79        2500.00        99.3225                 NaN  0.364992                 NaN            NaN            NaN  0.120666       0.191804                 NaN            NaN            NaN
  1314.63        2500.00        99.3259                 NaN  0.366048                 NaN            NaN            NaN  0.117836       0.190262                 NaN            NaN            NaN
  1313.48        2500.00        99.3317                 NaN  0.359841                 NaN            NaN            NaN  0.119678       0.188743                 NaN            NaN            NaN
  1312.32        2500.00        99.3201                 NaN  0.398680                 NaN            NaN            NaN  0.919816E-001  0.189204                 NaN            NaN            NaN
  1311.16        2500.00        99.3421                 NaN  0.356029                 NaN            NaN            NaN  0.116167       0.185727                 NaN            NaN            NaN
  1310.01        2500.00        99.3376                 NaN  0.376133                 NaN            NaN            NaN  0.101490       0.184763                 NaN            NaN            NaN
  1308.85        2500.00        99.3460                 NaN  0.360724                 NaN            NaN            NaN  0.110051       0.183255                 NaN            NaN            NaN
  1307.69        2500.00        99.3472                 NaN  0.368306                 NaN            NaN            NaN  0.102367       0.182112                 NaN            NaN            NaN
  1306.54        2500.00        99.3511                 NaN  0.368088                 NaN            NaN            NaN  0.100085       0.180776                 NaN            NaN            NaN
  1305.38        2500.00        90.2605                 NaN   2.42313                 NaN            NaN            NaN  0.688476        1.30821        5.31967                 NaN            NaN
  1304.22        2500.00        89.9840                 NaN   2.53623                 NaN            NaN            NaN  0.675654        1.34221        5.46191                 NaN            NaN
  1303.07        2500.00        90.4671                 NaN   2.43746                 NaN            NaN            NaN  0.643568        1.28232        5.16955                 NaN            NaN
  1301.91        2500.00        90.8909                 NaN   2.35381                 NaN            NaN            NaN  0.613977        1.22971        4.91158                 NaN            NaN
  1300.75        2500.00        91.2832                 NaN   2.28245                 NaN            NaN            NaN  0.581119        1.18096        4.67227                 NaN            NaN
  1299.60        2500.00        87.4456                 NaN   3.11599                 NaN            NaN            NaN  0.792125        1.68620        6.71024       0.249812                 NaN
  1298.44        2500.00        81.6821                 NaN   4.29015                 NaN            NaN            NaN   1.19806        2.43913        9.77034       0.620239                 NaN
  1297.28        2500.00        82.9021                 NaN   3.97574                 NaN            NaN            NaN   1.18694        2.27863        9.08276       0.573867                 NaN
  1296.13        2500.00        84.1164                 NaN   3.70593                 NaN            NaN            NaN   1.13429        2.11944        8.39757       0.526384                 NaN
  1294.97        2500.00        85.2460                 NaN   3.46601                 NaN            NaN            NaN   1.07117        1.97149        7.76292       0.482413                 NaN
  1293.81        2500.00        86.2942                 NaN   3.25258                 NaN            NaN            NaN   1.00018        1.83388        7.17726       0.441864                 NaN
  1292.66        2500.00        87.2320                 NaN   3.05913                 NaN            NaN            NaN  0.935846        1.71069        6.65603       0.406311                 NaN
  1291.50        2500.00        88.0854                 NaN   2.88500                 NaN            NaN            NaN  0.872405        1.59841        6.18460       0.374237                 NaN
  1290.34        2500.00        85.9903                 NaN   3.30533                 NaN            NaN            NaN   1.04838        1.89480        7.31324       0.447898                 NaN
  1289.19        2500.00        89.7542                 NaN   2.10988                 NaN            NaN            NaN  0.888720        1.41236        5.49114       0.343739                 NaN
  1288.03        2500.00        94.1493                 NaN   1.87408                 NaN            NaN            NaN  0.332813       0.739979        2.75351       0.150358                 NaN
  1286.87        2500.00        90.7323                 NaN   2.37000                 NaN            NaN            NaN  0.642608        1.24916        4.72950       0.276434                 NaN
  1285.72        2500.00        91.3375                 NaN   2.21402                 NaN            NaN            NaN  0.622665        1.16688        4.40279       0.256126                 NaN
  1284.56        2500.00        88.6669                 NaN   3.01976                 NaN            NaN            NaN  0.672840        1.54566        5.75159       0.343227                 NaN
  1283.40        2500.00        95.4484                 NaN   1.25927                 NaN            NaN            NaN  0.297500       0.597635        2.28039       0.116761                 NaN
  1282.25        2500.00        88.6968                 NaN   2.98801                 NaN            NaN            NaN  0.661465        1.52438        5.78533       0.344000                 NaN
  1281.09        2500.00        92.4970                 NaN   1.39348                 NaN            NaN            NaN  0.880116        1.09556        3.87977       0.254030                 NaN
  1279.93        2500.00        98.2022                 NaN  0.728413                 NaN            NaN            NaN            NaN  0.132651       0.918634       0.180860E-001            NaN
  1278.77        2500.00        91.5524                 NaN   2.41457                 NaN            NaN            NaN  0.439321        1.17378        4.19474       0.225184                 NaN
  1277.62        2500.00        95.0133                 NaN   1.54755                 NaN            NaN            NaN  0.267958       0.651946        2.38057       0.138690                 NaN
  1276.46        2500.00        92.4195                 NaN   2.16840                 NaN            NaN            NaN  0.432757        1.04198        3.72261       0.214743                 NaN
  1275.30        2500.00        93.2406                 NaN   1.94535                 NaN            NaN            NaN  0.273050       0.911565        3.45875       0.170719                 NaN
  1274.15        2500.00        95.3342                 NaN   1.34129                 NaN            NaN            NaN  0.220871       0.638153        2.31514       0.150387                 NaN
  1272.99        2500.00        92.9272                 NaN   2.33810                 NaN            NaN            NaN  0.272814       0.990590        3.27733       0.194010                 NaN
  1271.83        2500.00        93.1534                 NaN  0.138147        1.76898                 NaN            NaN            NaN  0.995412        3.73997       0.204051                 NaN
  1270.68        2500.00        99.8560                 NaN  0.820770E-001            NaN            NaN            NaN            NaN            NaN  0.483477E-001  0.135611E-001            NaN
  1269.52        2500.00        97.5871                 NaN  0.773199                 NaN            NaN            NaN  0.867415E-001  0.217626        1.33535                 NaN            NaN
  1268.36        2500.00        95.2777                 NaN            NaN            NaN            NaN            NaN   1.12893       0.572076        2.83488       0.186442                 NaN
  1267.21        2500.00        86.9792                 NaN   3.91381                 NaN            NaN            NaN            NaN   2.08877        6.68163       0.336587                 NaN
  1266.05        2500.00        98.5798                 NaN  0.726151                 NaN            NaN            NaN  0.106107                 NaN  0.544717       0.432625E-001            NaN
  1264.89        2500.00        98.7849                 NaN   1.08554                 NaN            NaN            NaN            NaN  0.129530                 NaN            NaN            NaN
  1263.74        2500.00        99.7892                 NaN  0.192519                 NaN            NaN            NaN            NaN  0.182948E-001            NaN            NaN            NaN
  1262.58        2500.00        1.24885        96.5775                 NaN            NaN            NaN            NaN  0.290229       0.138405        1.66198       0.830088E-001            NaN
  1261.42        2500.00        94.5882                 NaN   2.56596                 NaN            NaN            NaN            NaN  0.905413        1.87378       0.665992E-001            NaN
  1260.27        2500.00        96.6346                 NaN  0.956641                 NaN            NaN            NaN            NaN  0.363032        1.95932       0.863756E-001            NaN
  1259.11        2500.00        96.2199                 NaN   1.33429       0.137334                 NaN            NaN            NaN  0.504188        1.72644       0.778069E-001            NaN
  1257.95        2500.00        95.8421                 NaN   1.48444                 NaN            NaN            NaN            NaN  0.546277        2.03968       0.875168E-001            NaN
  1256.80        2500.00        95.7732                 NaN   1.51459                 NaN            NaN            NaN            NaN  0.556742        2.07025       0.852614E-001            NaN
  1255.64        2500.00        96.3441                 NaN   1.28188                 NaN            NaN            NaN            NaN  0.479034        1.81435       0.806071E-001            NaN
  1254.48        2500.00        96.1856                 NaN   1.35841                 NaN            NaN            NaN  0.648770E-005  0.503824        1.87674       0.754153E-001            NaN
  1253.33        2500.00        96.3850                 NaN   1.13795                 NaN            NaN            NaN            NaN  0.461935        1.91989       0.951923E-001            NaN
  1252.17        2500.00        96.9468                 NaN  0.552233                 NaN            NaN            NaN            NaN  0.406389        1.96851       0.126051                 NaN
  1251.01        2500.00        96.1274                 NaN   1.97250                 NaN            NaN            NaN            NaN  0.501892        1.39710       0.106195E-002            NaN
  1249.86        2500.00        98.2081                 NaN  0.130750E-001            NaN            NaN            NaN            NaN  0.227914        1.42790       0.123027                 NaN
  1248.70        2500.00        95.6481                 NaN   2.13507                 NaN            NaN            NaN            NaN  0.590959        1.61149       0.143929E-001            NaN
  1247.54        2500.00        96.5735                 NaN  0.274738       0.457328                 NaN            NaN            NaN  0.313025        2.23914       0.142271                 NaN
  1246.39        2500.00        95.2400                 NaN  0.101687        1.73893                 NaN            NaN            NaN  0.587119        2.20739       0.124901                 NaN
  1245.23        2500.00        94.4567                 NaN   1.11075       0.633481                 NaN            NaN            NaN  0.461015        3.18567       0.152414                 NaN
  1244.07        2500.00        98.2188                 NaN  0.638560                 NaN            NaN            NaN            NaN  0.341170       0.731332       0.701189E-001            NaN
  1242.92        2500.00        99.2014                 NaN  0.443784                 NaN            NaN            NaN            NaN  0.175315       0.179456                 NaN            NaN
  1241.76        2500.00        98.9757                 NaN  0.318075                 NaN            NaN            NaN            NaN  0.177559       0.506658       0.220260E-001            NaN
  1240.60        2500.00        98.8574                 NaN  0.318748                 NaN            NaN            NaN            NaN  0.187151       0.610075       0.266624E-001            NaN
  1239.45        2500.00        98.3446                 NaN  0.580255                 NaN            NaN            NaN            NaN  0.250565       0.805278       0.192642E-001            NaN
  1238.29        2500.00        96.9041                 NaN  0.964567                 NaN            NaN            NaN            NaN  0.191300        1.89574       0.443016E-001            NaN
  1237.13        2500.00        97.9864                 NaN  0.884298                 NaN            NaN            NaN            NaN  0.397057       0.732223                 NaN            NaN
  1235.98        2500.00        98.7996                 NaN  0.562801                 NaN            NaN            NaN            NaN  0.221139       0.413848       0.260921E-002            NaN
  1234.82        2500.00        97.9747                 NaN  0.452402E-001  0.278622       0.199886E-003            NaN            NaN  0.173639        1.48065       0.469815E-001            NaN
  1233.66        2500.00        97.6942                 NaN  0.899657                 NaN            NaN            NaN            NaN  0.298561        1.08316       0.244558E-001            NaN
  1232.51        2500.00        97.4401                 NaN  0.435082                 NaN            NaN            NaN            NaN  0.320247        1.72914       0.754555E-001            NaN
  1231.35        2500.00        98.4712                 NaN  0.572587                 NaN            NaN            NaN            NaN  0.208502       0.732965       0.147857E-001            NaN
  1230.19        2500.00        94.8052                 NaN  0.994609                 NaN            NaN            NaN            NaN  0.520029        1.85799       0.658936E-001   1.75631     
  1229.03        2500.00                 NaN            NaN   2.86226        12.6002                 NaN            NaN            NaN   8.38178        44.0200        1.05518        31.0806     
  1227.88        2500.00                 NaN            NaN   10.8579        4.68236       0.185661E-005            NaN            NaN   8.43950        43.8966        1.03291        31.0907     
  1226.72        2500.00                 NaN            NaN   11.1436        4.41113       0.221397E-003            NaN            NaN   8.43894        43.8823        1.03048        31.0933     
  1225.56        2500.00                 NaN            NaN   11.0772        4.47327       0.215131E-003            NaN            NaN   8.44026        43.8850        1.03145        31.0926     
  1224.41        2500.00                 NaN            NaN   1.43918        14.2253                 NaN            NaN            NaN   8.53263        43.7025       0.992125        31.1083     
  1223.25        2500.00                 NaN            NaN   1.61459        14.0484                 NaN            NaN            NaN   8.53513        43.7016       0.992343        31.1079     
  1222.09        2500.00                 NaN            NaN   1.81792        13.7168       0.160244E-003            NaN            NaN   8.40034        43.8961        1.07014        31.0985     
  1220.94        2500.00                 NaN            NaN   10.2238        5.34133       0.643916E-003            NaN            NaN   8.46333        43.8500        1.02572        31.0952     
  1219.78        2500.00                 NaN            NaN   12.0261        3.55897                 NaN            NaN            NaN   8.45270        43.8047        1.04899        31.1086     
  1218.62        2500.00                 NaN            NaN   12.8561        2.72904                 NaN            NaN            NaN   8.46038        43.8044        1.04490        31.1051     
  1217.47        2500.00                 NaN            NaN   12.8376        2.74810                 NaN            NaN            NaN   8.46043        43.8039        1.04486        31.1051     
  1216.31        2500.00                 NaN            NaN   12.8708        2.71681                 NaN            NaN            NaN   8.46162        43.8014        1.04410        31.1052     
