|6.6.6
Archiving\03_Data\eq/QFM/Y98/Y98_1.tab                                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             pnt           
  1733.97        2500.00        98.8168       0.221500       0.961684                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        98.8109       0.227401       0.961679                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        98.8050       0.233302       0.961673                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        98.7991       0.239203       0.961668                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        98.7932       0.245104       0.961663                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        98.7873       0.251005       0.961657                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        98.7776       0.260746       0.961651                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        98.7570       0.269734       0.961645       0.115963E-001            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        98.7270       0.280022       0.961639       0.313171E-001            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        98.6970       0.290309       0.961632       0.510376E-001            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        98.6655       0.302634       0.961626       0.702598E-001            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        98.6339       0.314958       0.961619       0.894818E-001            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        98.6024       0.327282       0.961613       0.108703                 NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        98.5709       0.339605       0.961606       0.127925                 NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        98.5283       0.363911       0.961600       0.146221                 NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        98.4857       0.388216       0.961594       0.164517                 NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        98.4431       0.412520       0.961587       0.182813                 NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        98.4005       0.436825       0.961581       0.201108                 NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        98.3579       0.461129       0.961575       0.219403                 NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        98.3153       0.485432       0.961568       0.237698                 NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        98.2727       0.509736       0.961562       0.255993                 NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        98.2301       0.534039       0.961555       0.274288                 NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        98.1339       0.613179       0.961551       0.291414                 NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        98.0376       0.692318       0.961546       0.308541                 NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        97.9413       0.771457       0.961542       0.325667                 NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        97.8451       0.850595       0.961537       0.342794                 NaN            NaN            NaN            NaN            NaN
  1650.64        2500.00        97.7488       0.929732       0.961533       0.359920                 NaN            NaN            NaN            NaN            NaN
  1647.44        2500.00        97.6526        1.00887       0.961528       0.377046                 NaN            NaN            NaN            NaN            NaN
  1644.23        2500.00        97.5563        1.08800       0.961524       0.394171                 NaN            NaN            NaN            NaN            NaN
  1641.03        2500.00        97.4600        1.16714       0.961519       0.411297                 NaN            NaN            NaN            NaN            NaN
  1637.82        2500.00        97.1808        1.43014       0.961522       0.427574                 NaN            NaN            NaN            NaN            NaN
  1634.62        2500.00        96.9015        1.69315       0.961526       0.443852                 NaN            NaN            NaN            NaN            NaN
  1631.41        2500.00        96.6222        1.95615       0.961529       0.460129                 NaN            NaN            NaN            NaN            NaN
  1628.21        2500.00        96.3429        2.21916       0.961532       0.476406                 NaN            NaN            NaN            NaN            NaN
  1625.00        2500.00        95.8755        2.67073       0.961544       0.492179                 NaN            NaN            NaN            NaN            NaN
  1621.79        2500.00        95.4082        3.12231       0.961556       0.507952                 NaN            NaN            NaN            NaN            NaN
  1618.59        2500.00        94.8502        3.66496       0.961572       0.523219                 NaN            NaN            NaN            NaN            NaN
  1615.38        2500.00        92.8656        3.83364       0.961601       0.513184        1.82596                 NaN            NaN            NaN            NaN
  1612.18        2500.00        91.0685        3.96829       0.961627       0.500531        3.50104                 NaN            NaN            NaN            NaN
  1608.97        2500.00        89.2713        4.10295       0.961653       0.487877        5.17621                 NaN            NaN            NaN            NaN
  1605.77        2500.00        87.4740        4.23762       0.961680       0.475223        6.85147                 NaN            NaN            NaN            NaN
  1602.56        2500.00        85.6766        4.37229       0.961706       0.462568        8.52683                 NaN            NaN            NaN            NaN
  1599.36        2500.00        83.8791        4.50697       0.961732       0.449912        10.2023                 NaN            NaN            NaN            NaN
  1596.15        2500.00        82.0815        4.64166       0.961759       0.437255        11.8778                 NaN            NaN            NaN            NaN
  1592.95        2500.00        80.2838        4.77636       0.961785       0.424598        13.5534                 NaN            NaN            NaN            NaN
  1589.74        2500.00        78.4860        4.91107       0.961811       0.411940        15.2292                 NaN            NaN            NaN            NaN
  1586.54        2500.00        77.0551        5.02594       0.961833       0.396890        16.5602                 NaN            NaN            NaN            NaN
  1583.33        2500.00        75.6242        5.14081       0.961854       0.381838        17.8913                 NaN            NaN            NaN            NaN
  1580.13        2500.00        74.1932        5.25569       0.961875       0.366787        19.2224                 NaN            NaN            NaN            NaN
  1576.92        2500.00        72.7622        5.37058       0.961897       0.351734        20.5536                 NaN            NaN            NaN            NaN
  1573.72        2500.00        71.3310        5.48547       0.961918       0.336681        21.8849                 NaN            NaN            NaN            NaN
  1570.51        2500.00        69.8998        5.60037       0.961940       0.321627        23.2162                 NaN            NaN            NaN            NaN
  1567.31        2500.00        68.4686        5.71527       0.961961       0.306573        24.5476                 NaN            NaN            NaN            NaN
  1564.10        2500.00        67.0373        5.83018       0.961983       0.291518        25.8791                 NaN            NaN            NaN            NaN
  1560.90        2500.00        65.8280        5.92653       0.962000       0.272830        27.0106                 NaN            NaN            NaN            NaN
  1557.69        2500.00        64.6187        6.02287       0.962018       0.254141        28.1423                 NaN            NaN            NaN            NaN
  1554.49        2500.00        63.4093        6.11923       0.962036       0.235452        29.2740                 NaN            NaN            NaN            NaN
  1551.28        2500.00        62.1999        6.21558       0.962053       0.216762        30.4057                 NaN            NaN            NaN            NaN
  1548.08        2500.00        60.9905        6.31194       0.962071       0.198072        31.5374                 NaN            NaN            NaN            NaN
  1544.87        2500.00        59.7810        6.40831       0.962089       0.179381        32.6692                 NaN            NaN            NaN            NaN
  1541.67        2500.00        58.5714        6.50468       0.962106       0.160689        33.8011                 NaN            NaN            NaN            NaN
  1538.46        2500.00        57.3619        6.60105       0.962124       0.141996        34.9330                 NaN            NaN            NaN            NaN
  1535.26        2500.00        56.2493        6.68727       0.962139       0.118823        35.9824                 NaN            NaN            NaN            NaN
  1532.05        2500.00        55.1368        6.77350       0.962154       0.956486E-001   37.0319                 NaN            NaN            NaN            NaN
  1528.85        2500.00        54.0242        6.85974       0.962168       0.724738E-001   38.0814                 NaN            NaN            NaN            NaN
  1525.64        2500.00        52.9116        6.94597       0.962183       0.492984E-001   39.1310                 NaN            NaN            NaN            NaN
  1522.44        2500.00        51.8159        7.03036       0.962197       0.235608E-001   40.1680                 NaN            NaN            NaN            NaN
  1519.23        2500.00        50.7325        7.11860       0.962211                 NaN   41.1867                 NaN            NaN            NaN            NaN
  1516.03        2500.00        49.7107        7.19822       0.962221                 NaN   42.1289                 NaN            NaN            NaN            NaN
  1512.82        2500.00        48.6889        7.27784       0.962231                 NaN   43.0710                 NaN            NaN            NaN            NaN
  1509.62        2500.00        47.6705        7.35120       0.962239                 NaN   44.0160                 NaN            NaN            NaN            NaN
  1506.41        2500.00        46.6521        7.42455       0.962248                 NaN   44.9611                 NaN            NaN            NaN            NaN
  1503.21        2500.00        45.6337        7.49791       0.962256                 NaN   45.9061                 NaN            NaN            NaN            NaN
  1500.00        2500.00        44.6153        7.57127       0.962264                 NaN   46.8512                 NaN            NaN            NaN            NaN
  1496.79        2500.00        43.5892        7.63954       0.962271                 NaN   47.8090                 NaN            NaN            NaN            NaN
  1493.59        2500.00        42.4654        7.71642       0.962277                 NaN   48.7011       0.154789                 NaN            NaN            NaN
  1490.38        2500.00        40.6957        7.85038       0.962294                 NaN   49.0520        1.43967                 NaN            NaN            NaN
  1487.18        2500.00        38.9259        7.98434       0.962311                 NaN   49.4029        2.72459                 NaN            NaN            NaN
  1483.97        2500.00        37.3066        8.08863       0.962325                 NaN   49.7206        3.92182                 NaN            NaN            NaN
  1480.77        2500.00        35.6873        8.19293       0.962339                 NaN   50.0384        5.11908                 NaN            NaN            NaN
  1477.56        2500.00        34.0679        8.29722       0.962352                 NaN   50.3561        6.31638                 NaN            NaN            NaN
  1474.36        2500.00        32.4485        8.40152       0.962366                 NaN   50.6739        7.51371                 NaN            NaN            NaN
  1471.15        2500.00        30.9646        8.47442       0.962377                 NaN   50.9676        8.63102                 NaN            NaN            NaN
  1467.95        2500.00        29.4807        8.54733       0.962388                 NaN   51.2612        9.74835                 NaN            NaN            NaN
  1464.74        2500.00        28.0503        8.59620       0.962397                 NaN   51.5450        10.8461                 NaN            NaN            NaN
  1461.54        2500.00        26.4744        8.63247       0.962419                 NaN   51.0225        1.08360        11.8246                 NaN            NaN
  1458.33        2500.00        26.4744        8.63247       0.962419                 NaN   51.0225        1.08360        11.8246                 NaN            NaN
  1455.13        2500.00        26.4744        8.63247       0.962419                 NaN   51.0225        1.08360        11.8246                 NaN            NaN
  1451.92        2500.00        26.4744        8.63247       0.962419                 NaN   51.0225        1.08360        11.8246                 NaN            NaN
  1448.72        2500.00        26.4744        8.63247       0.962419                 NaN   51.0225        1.08360        11.8246                 NaN            NaN
  1445.51        2500.00        26.4744        8.63247       0.962419                 NaN   51.0225        1.08360        11.8246                 NaN            NaN
  1442.31        2500.00        26.4744        8.63247       0.962419                 NaN   51.0225        1.08360        11.8246                 NaN            NaN
  1439.10        2500.00        26.4744        8.63247       0.962419                 NaN   51.0225        1.08360        11.8246                 NaN            NaN
  1435.90        2500.00        15.9614        8.63717       0.962549                 NaN   48.0043        18.4406        7.99402                 NaN            NaN
  1432.69        2500.00        15.9614        8.63717       0.962549                 NaN   48.0043        18.4406        7.99402                 NaN            NaN
  1429.49        2500.00        13.9685        8.58114       0.962566                 NaN   47.7663        19.7767        8.94468                 NaN            NaN
  1426.28        2500.00        13.0251        8.54172       0.962571                 NaN   47.7153        9.34095        20.4144                 NaN            NaN
  1423.08        2500.00        12.1741        8.50581       0.962577       0.409087E-003   47.6334        9.72953        20.9942                 NaN            NaN
  1419.87        2500.00        12.1741        8.50581       0.962577       0.409087E-003   47.6334        9.72953        20.9942                 NaN            NaN
  1416.67        2500.00        10.5661        8.36905       0.962587       0.611415E-001   47.3665        10.5489        22.1258                 NaN            NaN
  1413.46        2500.00        9.62226        8.47063       0.962614       0.924027E-001   46.9163        22.4626        11.2165       0.256753                 NaN
  1410.26        2500.00        8.69089        8.62068       0.962646       0.121004        46.3976        11.9242        22.7027       0.580291                 NaN
  1407.05        2500.00        8.69089        8.62068       0.962646       0.121004        46.3976        11.9242        22.7027       0.580291                 NaN
  1403.85        2500.00        8.69089        8.62068       0.962646       0.121004        46.3976        11.9242        22.7027       0.580291                 NaN
  1400.64        2500.00        8.69089        8.62068       0.962646       0.121004        46.3976        11.9242        22.7027       0.580291                 NaN
  1397.44        2500.00        8.69089        8.62068       0.962646       0.121004        46.3976        11.9242        22.7027       0.580291                 NaN
  1394.23        2500.00        8.69089        8.62068       0.962646       0.121004        46.3976        11.9242        22.7027       0.580291                 NaN
  1391.03        2500.00        8.69089        8.62068       0.962646       0.121004        46.3976        11.9242        22.7027       0.580291                 NaN
  1387.82        2500.00        8.69089        8.62068       0.962646       0.121004        46.3976        11.9242        22.7027       0.580291                 NaN
  1384.62        2500.00        3.52853        9.41588       0.962826       0.296497        43.4095        23.8077        15.9273        2.65181                 NaN
  1381.41        2500.00        3.52853        9.41588       0.962826       0.296497        43.4095        23.8077        15.9273        2.65181                 NaN
  1378.21        2500.00        3.52853        9.41588       0.962826       0.296497        43.4095        23.8077        15.9273        2.65181                 NaN
  1375.00        2500.00        3.52853        9.41588       0.962826       0.296497        43.4095        23.8077        15.9273        2.65181                 NaN
  1371.79        2500.00        3.52853        9.41588       0.962826       0.296497        43.4095        23.8077        15.9273        2.65181                 NaN
  1368.59        2500.00        3.52853        9.41588       0.962826       0.296497        43.4095        23.8077        15.9273        2.65181                 NaN
  1365.38        2500.00        3.52853        9.41588       0.962826       0.296497        43.4095        23.8077        15.9273        2.65181                 NaN
  1362.18        2500.00        3.52853        9.41588       0.962826       0.296497        43.4095        23.8077        15.9273        2.65181                 NaN
  1358.97        2500.00       0.371362        9.81629       0.962924       0.415658        41.6760        24.1805        18.3171        4.26006                 NaN
  1355.77        2500.00       0.475844E-001   9.84758       0.962933       0.427928        41.5161        24.2058        18.5496        4.44254                 NaN
  1352.56        2500.00                 NaN   9.89131       0.962941       0.435053        41.4791        18.5527        24.1622        4.51674                 NaN
  1349.36        2500.00                 NaN   9.89131       0.962941       0.435053        41.4791        18.5527        24.1622        4.51674                 NaN
  1346.15        2500.00                 NaN   9.97766       0.962958       0.448691        41.4492        18.4777        24.0620        4.62185                 NaN
  1342.95        2500.00                 NaN   9.97766       0.962958       0.448691        41.4492        18.4777        24.0620        4.62185                 NaN
  1339.74        2500.00                 NaN   9.97766       0.962958       0.448691        41.4492        18.4777        24.0620        4.62185                 NaN
  1336.54        2500.00                 NaN   9.97766       0.962958       0.448691        41.4492        18.4777        24.0620        4.62185                 NaN
  1333.33        2500.00                 NaN   10.1485       0.962990       0.475646        41.3829        23.8646        18.3362        4.82915                 NaN
  1330.13        2500.00                 NaN   10.1485       0.962990       0.475646        41.3829        23.8646        18.3362        4.82915                 NaN
  1326.92        2500.00                 NaN   10.1485       0.962990       0.475646        41.3829        23.8646        18.3362        4.82915                 NaN
  1323.72        2500.00                 NaN   10.1485       0.962990       0.475646        41.3829        23.8646        18.3362        4.82915                 NaN
  1320.51        2500.00                 NaN   10.1485       0.962990       0.475646        41.3829        23.8646        18.3362        4.82915                 NaN
  1317.31        2500.00                 NaN   10.1485       0.962990       0.475646        41.3829        23.8646        18.3362        4.82915                 NaN
  1314.10        2500.00                 NaN   10.1485       0.962990       0.475646        41.3829        23.8646        18.3362        4.82915                 NaN
  1310.90        2500.00                 NaN   10.1485       0.962990       0.475646        41.3829        23.8646        18.3362        4.82915                 NaN
  1307.69        2500.00                 NaN   10.4697       0.963051       0.528592        41.2822        18.0231        23.5126        5.22084                 NaN
  1304.49        2500.00                 NaN   10.4697       0.963051       0.528592        41.2822        18.0231        23.5126        5.22084                 NaN
  1301.28        2500.00                 NaN   10.4697       0.963051       0.528592        41.2822        18.0231        23.5126        5.22084                 NaN
  1298.08        2500.00                 NaN   10.4697       0.963051       0.528592        41.2822        18.0231        23.5126        5.22084                 NaN
  1294.87        2500.00                 NaN   10.4697       0.963051       0.528592        41.2822        18.0231        23.5126        5.22084                 NaN
  1291.67        2500.00                 NaN   10.4697       0.963051       0.528592        41.2822        18.0231        23.5126        5.22084                 NaN
  1288.46        2500.00                 NaN   10.4697       0.963051       0.528592        41.2822        18.0231        23.5126        5.22084                 NaN
  1285.26        2500.00                 NaN   10.4697       0.963051       0.528592        41.2822        18.0231        23.5126        5.22084                 NaN
  1282.05        2500.00                 NaN   10.7738       0.963109       0.579997        41.2130        23.1899        17.6893        5.59095                 NaN
  1278.85        2500.00                 NaN   10.7738       0.963109       0.579997        41.2130        23.1899        17.6893        5.59095                 NaN
  1275.64        2500.00                 NaN   10.7738       0.963109       0.579997        41.2130        23.1899        17.6893        5.59095                 NaN
  1272.44        2500.00                 NaN   10.7738       0.963109       0.579997        41.2130        23.1899        17.6893        5.59095                 NaN
  1269.23        2500.00                 NaN   10.7738       0.963109       0.579997        41.2130        23.1899        17.6893        5.59095                 NaN
  1266.03        2500.00                 NaN   10.7738       0.963109       0.579997        41.2130        23.1899        17.6893        5.59095                 NaN
  1262.82        2500.00                 NaN   10.7738       0.963109       0.579997        41.2130        23.1899        17.6893        5.59095                 NaN
  1259.62        2500.00                 NaN   10.7738       0.963109       0.579997        41.2130        23.1899        17.6893        5.59095                 NaN
  1256.41        2500.00                 NaN   11.0481       0.963164       0.633796        41.1600        22.9075        17.3600        5.92746                 NaN
  1253.21        2500.00                 NaN   11.0481       0.963164       0.633796        41.1600        22.9075        17.3600        5.92746                 NaN
  1250.00        2500.00                 NaN   11.0481       0.963164       0.633796        41.1600        22.9075        17.3600        5.92746                 NaN
  1246.79        2500.00                 NaN   11.0481       0.963164       0.633796        41.1600        22.9075        17.3600        5.92746                 NaN
  1243.59        2500.00                 NaN   11.0481       0.963164       0.633796        41.1600        22.9075        17.3600        5.92746                 NaN
  1240.38        2500.00                 NaN   11.0481       0.963164       0.633796        41.1600        22.9075        17.3600        5.92746                 NaN
  1237.18        2500.00                 NaN   11.0481       0.963164       0.633796        41.1600        22.9075        17.3600        5.92746                 NaN
  1233.97        2500.00                 NaN   11.0481       0.963164       0.633796        41.1600        22.9075        17.3600        5.92746                 NaN
  1230.77        2500.00                 NaN   11.3031       0.963214       0.687304        41.1430        22.6473        17.0131        6.24299                 NaN
  1227.56        2500.00                 NaN   11.3031       0.963214       0.687304        41.1430        22.6473        17.0131        6.24299                 NaN
  1224.36        2500.00                 NaN   11.3031       0.963214       0.687304        41.1430        22.6473        17.0131        6.24299                 NaN
  1221.15        2500.00                 NaN   11.3031       0.963214       0.687304        41.1430        22.6473        17.0131        6.24299                 NaN
  1217.95        2500.00                 NaN   11.3031       0.963214       0.687304        41.1430        22.6473        17.0131        6.24299                 NaN
  1214.74        2500.00                 NaN   11.3031       0.963214       0.687304        41.1430        22.6473        17.0131        6.24299                 NaN
  1211.54        2500.00                 NaN   11.3031       0.963214       0.687304        41.1430        22.6473        17.0131        6.24299                 NaN
  1208.33        2500.00                 NaN   11.3031       0.963214       0.687304        41.1430        22.6473        17.0131        6.24299                 NaN
  1205.13        2500.00                 NaN   11.5349       0.963262       0.741340        41.1640        22.4193        16.6459        6.53134                 NaN
  1201.92        2500.00                 NaN   11.5349       0.963262       0.741340        41.1640        22.4193        16.6459        6.53134                 NaN
  1198.72        2500.00                 NaN   11.5349       0.963262       0.741340        41.1640        22.4193        16.6459        6.53134                 NaN
  1195.51        2500.00                 NaN   11.5349       0.963262       0.741340        41.1640        22.4193        16.6459        6.53134                 NaN
  1192.31        2500.00                 NaN   11.5349       0.963262       0.741340        41.1640        22.4193        16.6459        6.53134                 NaN
  1189.10        2500.00                 NaN   11.5349       0.963262       0.741340        41.1640        22.4193        16.6459        6.53134                 NaN
  1185.90        2500.00                 NaN   11.5349       0.963262       0.741340        41.1640        22.4193        16.6459        6.53134                 NaN
