|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/EETA/EETA_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           Opx(TH)        an             San(TH)        ilm            q             
  1437.25        2500.00        98.4696       0.450246       0.512197                 NaN  0.238345E-001            NaN  0.544115                 NaN            NaN            NaN
  1436.09        2500.00        98.5044       0.439686       0.500941                 NaN  0.231292E-001            NaN  0.531854                 NaN            NaN            NaN
  1434.93        2500.00        98.5365       0.429769       0.490526                 NaN  0.225104E-001            NaN  0.520666                 NaN            NaN            NaN
  1433.78        2500.00        98.5055       0.439443       0.500549                 NaN  0.228666E-001            NaN  0.531628                 NaN            NaN            NaN
  1432.62        2500.00        98.6577       0.389254       0.454041                 NaN  0.204483E-001            NaN  0.478589                 NaN            NaN            NaN
  1431.46        2500.00        98.6353       0.400656       0.458491                 NaN  0.205170E-001            NaN  0.485075                 NaN            NaN            NaN
  1430.31        2500.00        98.6553       0.395089       0.450651                 NaN  0.201875E-001            NaN  0.478760                 NaN            NaN            NaN
  1429.15        2500.00        98.6831       0.442046       0.386469                 NaN  0.195919E-001            NaN  0.468815                 NaN            NaN            NaN
  1427.99        2500.00        98.7088       0.378787       0.433676                 NaN  0.191320E-001            NaN  0.459636                 NaN            NaN            NaN
  1426.84        2500.00        98.7352       0.370673       0.425210                 NaN  0.185862E-001            NaN  0.450339                 NaN            NaN            NaN
  1425.68        2500.00        98.7601       0.363087       0.417239                 NaN  0.180921E-001            NaN  0.441486                 NaN            NaN            NaN
  1424.52        2500.00        98.7826       0.356075       0.410108                 NaN  0.176168E-001            NaN  0.433560                 NaN            NaN            NaN
  1423.37        2500.00        98.8067       0.349211       0.402123                 NaN  0.171548E-001            NaN  0.424819                 NaN            NaN            NaN
  1422.21        2500.00        98.8283       0.342321       0.395469                 NaN  0.166976E-001            NaN  0.417250                 NaN            NaN            NaN
  1421.05        2500.00        98.8479       0.389684       0.336029                 NaN  0.162688E-001            NaN  0.410147                 NaN            NaN            NaN
  1419.90        2500.00        98.8738       0.328676       0.380745                 NaN  0.158080E-001            NaN  0.400960                 NaN            NaN            NaN
  1418.74        2500.00        98.8914       0.323318       0.375034                 NaN  0.154631E-001            NaN  0.394740                 NaN            NaN            NaN
  1417.58        2500.00        99.9793       0.130029E-001            NaN            NaN  0.221358E-003            NaN  0.744771E-002            NaN            NaN            NaN
  1416.43        2500.00        97.8691       0.716524       0.626524                 NaN  0.292567E-001            NaN  0.758589                 NaN            NaN            NaN
  1415.27        2500.00        98.9485       0.356987       0.305825                 NaN  0.142955E-001            NaN  0.374417                 NaN            NaN            NaN
  1414.11        2500.00        98.9506       0.305627       0.355233                 NaN  0.142692E-001            NaN  0.374302                 NaN            NaN            NaN
  1412.96        2500.00        99.0007       0.289835       0.341066                 NaN  0.132905E-001            NaN  0.355084                 NaN            NaN            NaN
  1411.80        2500.00        99.0006       0.289827       0.340529                 NaN  0.132530E-001            NaN  0.355742                 NaN            NaN            NaN
  1410.64        2500.00        98.8594       0.389450       0.330113                 NaN  0.149797E-001            NaN  0.406095                 NaN            NaN            NaN
  1409.49        2500.00        99.6203       0.129987       0.109591                 NaN  0.492431E-002            NaN  0.135158                 NaN            NaN            NaN
  1408.33        2500.00        98.6244       0.397940       0.470701                 NaN  0.177425E-001            NaN  0.489261                 NaN            NaN            NaN
  1407.17        2500.00        99.0648       0.270066       0.320629                 NaN  0.119250E-001            NaN  0.332564                 NaN            NaN            NaN
  1406.02        2500.00        99.0801       0.265501       0.315572                 NaN  0.116342E-001            NaN  0.327161                 NaN            NaN            NaN
  1404.86        2500.00        99.0936       0.261081       0.311684                 NaN  0.113116E-001            NaN  0.322281                 NaN            NaN            NaN
  1403.70        2500.00        99.1090       0.306872       0.256393                 NaN  0.110483E-001            NaN  0.316723                 NaN            NaN            NaN
  1402.55        2500.00        99.1219       0.302997       0.252197                 NaN  0.107713E-001            NaN  0.312091                 NaN            NaN            NaN
  1401.39        2500.00        99.1354       0.248024       0.298931                 NaN  0.105079E-001            NaN  0.307183                 NaN            NaN            NaN
  1400.23        2500.00        99.1487       0.294904       0.243807                 NaN  0.102100E-001            NaN  0.302413                 NaN            NaN            NaN
  1399.08        2500.00        99.1617       0.239736       0.290914                 NaN  0.995285E-002            NaN  0.297706                 NaN            NaN            NaN
  1397.92        2500.00        99.1736       0.287452       0.235886                 NaN  0.969149E-002            NaN  0.293410                 NaN            NaN            NaN
  1396.76        2500.00        99.1860       0.231965       0.283650                 NaN  0.945315E-002            NaN  0.288916                 NaN            NaN            NaN
  1395.61        2500.00        99.1979       0.280192       0.228196                 NaN  0.918209E-002            NaN  0.284568                 NaN            NaN            NaN
  1394.45        2500.00        99.2094       0.224673       0.276544                 NaN  0.895287E-002            NaN  0.280426                 NaN            NaN            NaN
  1393.29        2500.00        99.2195       0.273166       0.221801                 NaN  0.877026E-002            NaN  0.276777                 NaN            NaN            NaN
  1392.14        2500.00        99.2325       0.269666       0.217351                 NaN  0.846973E-002            NaN  0.272003                 NaN            NaN            NaN
  1390.98        2500.00        99.2419       0.214145       0.267137                 NaN  0.824258E-002            NaN  0.268550                 NaN            NaN            NaN
  1389.82        2500.00        99.2530       0.210464       0.263892                 NaN  0.802078E-002            NaN  0.264598                 NaN            NaN            NaN
  1388.67        2500.00        99.2635       0.207273       0.260705                 NaN  0.781953E-002            NaN  0.260743                 NaN            NaN            NaN
  1387.51        2500.00        99.2733       0.257769       0.204113                 NaN  0.759476E-002            NaN  0.257249                 NaN            NaN            NaN
  1386.35        2500.00        99.2833       0.201000       0.254754                 NaN  0.739095E-002            NaN  0.253572                 NaN            NaN            NaN
  1385.20        2500.00        99.2921       0.198236       0.252154                 NaN  0.717162E-002            NaN  0.250289                 NaN            NaN            NaN
  1384.04        2500.00        99.3023       0.194651       0.249492                 NaN  0.695841E-002            NaN  0.246565                 NaN            NaN            NaN
  1382.88        2500.00        99.3109       0.247068       0.191993                 NaN  0.672149E-002            NaN  0.243316                 NaN            NaN            NaN
  1381.72        2500.00        99.3201       0.188820       0.244422                 NaN  0.655230E-002            NaN  0.240059                 NaN            NaN            NaN
  1380.57        2500.00        99.3289       0.185694       0.242088                 NaN  0.637774E-002            NaN  0.236938                 NaN            NaN            NaN
  1379.41        2500.00        99.3380       0.183334       0.239061                 NaN  0.617124E-002            NaN  0.233474                 NaN            NaN            NaN
  1378.25        2500.00        99.3458       0.180374       0.237151                 NaN  0.599169E-002            NaN  0.230641                 NaN            NaN            NaN
  1377.10        2500.00        99.3545       0.234625       0.177605                 NaN  0.580283E-002            NaN  0.227436                 NaN            NaN            NaN
  1375.94        2500.00        99.3623       0.174910       0.232575                 NaN  0.561112E-002            NaN  0.224594                 NaN            NaN            NaN
  1374.78        2500.00        99.3698       0.172578       0.230305                 NaN  0.544679E-002            NaN  0.221823                 NaN            NaN            NaN
  1373.63        2500.00        99.3781       0.228307       0.169579                 NaN  0.523238E-002            NaN  0.218753                 NaN            NaN            NaN
  1372.47        2500.00        99.5035       0.182435       0.135361                 NaN  0.409740E-002            NaN  0.174650                 NaN            NaN            NaN
  1371.31        2500.00        99.2748       0.196415       0.268239                 NaN  0.583629E-002            NaN  0.254662                 NaN            NaN            NaN
  1370.16        2500.00        99.3999       0.222397       0.162288                 NaN  0.472440E-002            NaN  0.210685                 NaN            NaN            NaN
  1369.00        2500.00        99.4078       0.159652       0.220180                 NaN  0.456972E-002            NaN  0.207824                 NaN            NaN            NaN
  1367.84        2500.00        99.4143       0.218526       0.157336                 NaN  0.441649E-002            NaN  0.205455                 NaN            NaN            NaN
  1366.69        2500.00        99.4216       0.154825       0.216610                 NaN  0.424607E-002            NaN  0.202761                 NaN            NaN            NaN
  1365.53        2500.00        99.4281       0.152686       0.214828                 NaN  0.409484E-002            NaN  0.200341                 NaN            NaN            NaN
  1364.37        2500.00        99.4338       0.213594       0.150424                 NaN  0.392594E-002            NaN  0.198215                 NaN            NaN            NaN
  1363.22        2500.00        99.4417       0.211274       0.148027                 NaN  0.376793E-002            NaN  0.195235                 NaN            NaN            NaN
  1362.06        2500.00        99.4473       0.145880       0.210056                 NaN  0.360225E-002            NaN  0.193196                 NaN            NaN            NaN
  1360.90        2500.00        99.4536       0.143740       0.208395                 NaN  0.344776E-002            NaN  0.190823                 NaN            NaN            NaN
  1359.75        2500.00        99.4598       0.141550       0.206760                 NaN  0.332271E-002            NaN  0.188606                 NaN            NaN            NaN
  1358.59        2500.00        99.4642       0.139031       0.206474                 NaN  0.317021E-002            NaN  0.187108                 NaN            NaN            NaN
  1357.43        2500.00        99.4729       0.137266       0.203255                 NaN  0.300035E-002            NaN  0.183559                 NaN            NaN            NaN
  1356.28        2500.00        99.4775       0.135126       0.202590                 NaN  0.285798E-002            NaN  0.181960                 NaN            NaN            NaN
  1355.12        2500.00        99.4829       0.133067       0.201272                 NaN  0.274352E-002            NaN  0.179979                 NaN            NaN            NaN
  1353.96        2500.00        99.4885       0.199899       0.131175                 NaN  0.257633E-002            NaN  0.177868                 NaN            NaN            NaN
  1352.81        2500.00        99.4936       0.198387       0.129575                 NaN  0.246029E-002            NaN  0.175995                 NaN            NaN            NaN
  1351.65        2500.00        99.4995       0.197277       0.127206                 NaN  0.229596E-002            NaN  0.173769                 NaN            NaN            NaN
  1350.49        2500.00        99.5042       0.125425       0.196077                 NaN  0.219220E-002            NaN  0.172082                 NaN            NaN            NaN
  1349.34        2500.00        99.5091       0.195625       0.123123                 NaN  0.197829E-002            NaN  0.170183                 NaN            NaN            NaN
  1348.18        2500.00        99.5150       0.121454       0.193766                 NaN  0.188236E-002            NaN  0.167946                 NaN            NaN            NaN
  1347.02        2500.00        99.5191       0.119652       0.192970                 NaN  0.176074E-002            NaN  0.166478                 NaN            NaN            NaN
  1345.87        2500.00        99.5245       0.191919       0.117608                 NaN  0.159466E-002            NaN  0.164381                 NaN            NaN            NaN
  1344.71        2500.00        99.5290       0.190681       0.116102                 NaN  0.149349E-002            NaN  0.162720                 NaN            NaN            NaN
  1343.55        2500.00        99.5337       0.114066       0.189943                 NaN  0.134398E-002            NaN  0.160941                 NaN            NaN            NaN
  1342.40        2500.00        99.5383       0.188892       0.112356                 NaN  0.122981E-002            NaN  0.159246                 NaN            NaN            NaN
  1341.24        2500.00        99.5428       0.110541       0.187988                 NaN  0.110662E-002            NaN  0.157570                 NaN            NaN            NaN
  1340.08        2500.00        99.5471       0.187344       0.108640                 NaN  0.953507E-003            NaN  0.155928                 NaN            NaN            NaN
  1338.93        2500.00        99.5515       0.107062       0.186341                 NaN  0.839230E-003            NaN  0.154294                 NaN            NaN            NaN
  1337.77        2500.00        99.5556       0.105290       0.185589                 NaN  0.723496E-003            NaN  0.152750                 NaN            NaN            NaN
  1336.61        2500.00        99.5600       0.103286       0.185018                 NaN  0.586806E-003            NaN  0.151130                 NaN            NaN            NaN
  1335.46        2500.00        99.5638       0.183994       0.102057                 NaN  0.481482E-003            NaN  0.149637                 NaN            NaN            NaN
  1334.30        2500.00        99.5684       0.100061       0.183325                 NaN  0.337629E-003            NaN  0.147918                 NaN            NaN            NaN
  1333.14        2500.00        99.5714       0.182537       0.990066E-001            NaN  0.242389E-003            NaN  0.146844                 NaN            NaN            NaN
  1331.98        2500.00        99.5748       0.182117       0.974991E-001            NaN  0.558885E-004            NaN  0.145518                 NaN            NaN            NaN
  1330.83        2500.00        99.5805       0.181238       0.949724E-001            NaN            NaN            NaN  0.143323                 NaN            NaN            NaN
  1329.67        2500.00        99.5831       0.963506E-001  0.176599                 NaN  0.643033E-003            NaN  0.143276                 NaN            NaN            NaN
  1328.51        2500.00        99.5859       0.926030E-001  0.179798                 NaN            NaN            NaN  0.141710                 NaN            NaN            NaN
  1327.36        2500.00        99.5918       0.176512       0.920369E-001            NaN  0.985107E-004            NaN  0.139554                 NaN            NaN            NaN
  1326.20        2500.00        99.5941       0.903990E-001  0.176683                 NaN            NaN            NaN  0.138789                 NaN            NaN            NaN
  1325.04        2500.00        99.5945       0.927673E-001  0.170757                 NaN  0.125086E-002            NaN  0.140734                 NaN            NaN            NaN
  1323.89        2500.00        99.6035       0.891007E-001  0.172337                 NaN            NaN            NaN  0.135093                 NaN            NaN            NaN
  1322.73        2500.00        99.6047       0.870698E-001  0.173013                 NaN            NaN            NaN  0.135223                 NaN            NaN            NaN
  1321.57        2500.00        99.6079       0.171862       0.860271E-001            NaN            NaN            NaN  0.134203                 NaN            NaN            NaN
  1320.42        2500.00        99.6114       0.171050       0.846292E-001            NaN            NaN            NaN  0.132927                 NaN            NaN            NaN
  1319.26        2500.00        99.6145       0.170104       0.835028E-001            NaN            NaN            NaN  0.131934                 NaN            NaN            NaN
  1318.10        2500.00        99.6177       0.823620E-001  0.169085                 NaN            NaN            NaN  0.130842                 NaN            NaN            NaN
  1316.95        2500.00        94.5159       0.432390       0.918681                 NaN  0.242187E-002            NaN  0.721011        3.40955                 NaN            NaN
  1315.79        2500.00        90.5856       0.769038        1.37671                 NaN  0.211987E-001            NaN   1.19065        6.05682                 NaN            NaN
  1314.63        2500.00        91.6607       0.679306        1.22832                 NaN  0.166536E-001            NaN   1.05720        5.35783                 NaN            NaN
  1313.48        2500.00        92.5222       0.605111        1.11145                 NaN  0.130286E-001            NaN  0.950397        4.79784                 NaN            NaN
  1312.32        2500.00        90.9845       0.529699        1.47573                 NaN  0.122901E-001            NaN   1.16806        5.82975                 NaN            NaN
  1311.16        2500.00        87.5236        2.33472       0.310201                 NaN  0.102798E-001            NaN   1.65864        8.16253                 NaN            NaN
  1310.01        2500.00        92.1877       0.232303        1.44658                 NaN  0.483759E-002            NaN   1.03640        5.09223                 NaN            NaN
  1308.85        2500.00        94.3483       0.191641        1.03758                 NaN  0.240839E-002            NaN  0.748572        3.67151                 NaN            NaN
  1307.69        2500.00        95.5762       0.167012       0.805232                 NaN  0.113615E-002            NaN  0.585142        2.86527                 NaN            NaN
  1306.54        2500.00        96.3583       0.657992       0.149687                 NaN  0.347914E-003            NaN  0.481228        2.35245                 NaN            NaN
  1305.38        2500.00        96.9206       0.142114       0.547168                 NaN  0.147590E-003            NaN  0.406328        1.98364                 NaN            NaN
  1304.22        2500.00        97.3078       0.135268       0.471535                 NaN            NaN            NaN  0.354958        1.73048                 NaN            NaN
  1303.07        2500.00        97.6073       0.131230       0.411466                 NaN            NaN            NaN  0.315190        1.53484                 NaN            NaN
  1301.91        2500.00        97.8377       0.363596       0.130744                 NaN            NaN            NaN  0.284375        1.38359                 NaN            NaN
  1300.75        2500.00        98.0297       0.131950       0.322348                 NaN            NaN            NaN  0.258481        1.25751                 NaN            NaN
  1299.60        2500.00        98.1679       0.134445       0.290992                 NaN            NaN            NaN  0.239842        1.16679                 NaN            NaN
  1298.44        2500.00        98.2852       0.139616       0.261889                 NaN            NaN            NaN  0.223699        1.08960                 NaN            NaN
  1297.28        2500.00        98.3738       0.237692       0.146774                 NaN            NaN            NaN  0.211457        1.03024                 NaN            NaN
  1296.13        2500.00        98.4450       0.158033       0.213490                 NaN            NaN            NaN  0.201157       0.982354                 NaN            NaN
  1294.97        2500.00        98.4943       0.191711       0.172019                 NaN            NaN            NaN  0.193754       0.948236                 NaN            NaN
  1293.81        2500.00        98.5210       0.169370       0.192881                 NaN            NaN            NaN  0.189151       0.927639                 NaN            NaN
  1292.66        2500.00        98.5308       0.218634       0.146272                 NaN            NaN            NaN  0.186506       0.917814                 NaN            NaN
  1291.50        2500.00        98.5170       0.118920       0.255303                 NaN            NaN            NaN  0.186756       0.922062                 NaN            NaN
  1290.34        2500.00        98.4713       0.313842       0.790353E-001            NaN            NaN            NaN  0.190652       0.945192                 NaN            NaN
  1289.19        2500.00        98.3933       0.334860       0.840789E-001            NaN            NaN            NaN  0.201274       0.986493                 NaN            NaN
  1288.03        2500.00        98.2707       0.463206                 NaN            NaN            NaN            NaN  0.209915        1.05619                 NaN            NaN
  1286.87        2500.00        98.0729       0.524875                 NaN            NaN            NaN            NaN  0.234956        1.16731                 NaN            NaN
  1285.72        2500.00        97.7542       0.626123                 NaN            NaN            NaN            NaN  0.271239        1.34841                 NaN            NaN
  1284.56        2500.00        97.2599       0.779869                 NaN            NaN            NaN            NaN  0.329032        1.63117                 NaN            NaN
  1283.40        2500.00        96.3963        1.04771                 NaN            NaN            NaN            NaN  0.428365        2.12763                 NaN            NaN
  1282.25        2500.00        89.9532        2.69109                 NaN            NaN            NaN            NaN   1.20394        5.94420       0.207577                 NaN
  1281.09        2500.00        97.4112       0.497736                 NaN            NaN            NaN            NaN  0.328611        1.67084       0.916440E-001            NaN
  1279.93        2500.00        97.4990       0.481807                 NaN            NaN            NaN            NaN  0.318611        1.61292       0.876749E-001            NaN
  1278.77        2500.00        97.5853       0.464640                 NaN            NaN            NaN            NaN  0.307895        1.55790       0.842606E-001            NaN
  1277.62        2500.00        97.6609       0.450241                 NaN            NaN            NaN            NaN  0.299464        1.50867       0.807468E-001            NaN
  1276.46        2500.00        97.7404       0.435714                 NaN            NaN            NaN            NaN  0.290208        1.45645       0.772017E-001            NaN
  1275.30        2500.00        97.8114       0.421141                 NaN            NaN            NaN            NaN  0.281333        1.41176       0.743405E-001            NaN
  1274.15        2500.00        97.8813       0.407329                 NaN            NaN            NaN            NaN  0.272928        1.36710       0.713782E-001            NaN
  1272.99        2500.00        97.9481       0.394115                 NaN            NaN            NaN            NaN  0.264825        1.32444       0.685252E-001            NaN
  1271.83        2500.00        98.0080       0.382455                 NaN            NaN            NaN            NaN  0.256906        1.28650       0.660928E-001            NaN
  1270.68        2500.00        98.0718       0.368782                 NaN            NaN            NaN            NaN  0.248593        1.24712       0.637271E-001            NaN
  1269.52        2500.00        98.1293       0.357780                 NaN            NaN            NaN            NaN  0.241742        1.21006       0.611440E-001            NaN
  1268.36        2500.00        98.1832       0.346530                 NaN            NaN            NaN            NaN  0.234903        1.17651       0.588349E-001            NaN
  1267.21        2500.00        98.2391       0.334839                 NaN            NaN            NaN            NaN  0.227773        1.14161       0.566864E-001            NaN
  1266.05        2500.00        98.2879       0.325007                 NaN            NaN            NaN            NaN  0.220927        1.11131       0.548470E-001            NaN
  1264.89        2500.00        98.3394       0.313443                 NaN            NaN            NaN            NaN  0.213141        1.08074       0.532895E-001            NaN
  1263.74        2500.00        98.3860       0.303899                 NaN            NaN            NaN            NaN  0.206840        1.05186       0.514436E-001            NaN
  1262.58        2500.00        98.4306       0.295011                 NaN            NaN            NaN            NaN  0.201347        1.02355       0.494646E-001            NaN
  1261.42        2500.00        98.4726       0.286432                 NaN            NaN            NaN            NaN  0.195033       0.997898       0.480177E-001            NaN
  1260.27        2500.00        98.5166       0.276787                 NaN            NaN            NaN            NaN  0.189112       0.971089       0.463837E-001            NaN
  1259.11        2500.00        98.5570       0.268157                 NaN            NaN            NaN            NaN  0.183294       0.946554       0.449467E-001            NaN
  1257.95        2500.00        98.5898       0.260968                 NaN            NaN            NaN            NaN  0.178060       0.927366       0.437918E-001            NaN
  1256.80        2500.00        97.5520       0.337897                 NaN            NaN            NaN            NaN  0.261244        1.37893       0.556718E-001  0.414305     
  1255.64        2500.00        90.9785       0.849291                 NaN            NaN            NaN            NaN  0.792945        4.27750       0.136139        2.96564     
  1254.48        2500.00        91.4673       0.809953                 NaN            NaN            NaN            NaN  0.749039        4.03913       0.126432        2.80814     
  1253.33        2500.00        91.9127       0.771746                 NaN            NaN            NaN            NaN  0.708132        3.82483       0.118139        2.66448     
  1252.17        2500.00        92.2835       0.741956                 NaN            NaN            NaN            NaN  0.675387        3.64383       0.110481        2.54484     
  1251.01        2500.00        92.5347       0.719873                 NaN            NaN            NaN            NaN  0.658867        3.51773       0.103299        2.46551     
  1249.86        2500.00        91.1633       0.625676       0.723029E-001            NaN            NaN            NaN  0.776690        4.17754       0.114306        3.07014     
  1248.70        2500.00        94.7758       0.345567E-001  0.681073                 NaN            NaN            NaN  0.483428        2.40977       0.669822E-001   1.54838     
  1247.54        2500.00        93.2186       0.642678                 NaN            NaN            NaN            NaN  0.568624        3.21019       0.967562E-001   2.26317     
  1246.39        2500.00        89.4113       0.865128                 NaN            NaN  0.230461E-001            NaN   1.04698        4.49257       0.116195        4.04484     
  1245.23        2500.00        93.3714       0.717229                 NaN            NaN            NaN            NaN  0.486560        3.55231       0.783873E-001   1.79409     
  1244.07        2500.00        96.7872       0.509710                 NaN            NaN            NaN            NaN  0.283879        1.50552       0.421833E-001  0.871480     
  1242.92        2500.00        91.9141       0.304538                 NaN            NaN  0.256387E-002            NaN  0.552042        4.11116       0.137689        2.97788     
  1241.76        2500.00        94.8282       0.677349                 NaN            NaN            NaN            NaN  0.463358        2.38414       0.599453E-001   1.58705     
  1240.60        2500.00        93.7037       0.931739                 NaN            NaN            NaN            NaN  0.615053        2.72507       0.500429E-001   1.97437     
  1239.45        2500.00        86.9343        1.28687                 NaN            NaN  0.244816E-001            NaN   1.13785        6.11304       0.135444        4.36805     
  1238.29        2500.00        98.2717       0.186628                 NaN            NaN            NaN            NaN  0.143238       0.814954       0.203790E-001  0.563140     
  1237.13        2500.00        97.5705       0.200508                 NaN            NaN            NaN            NaN  0.179705        1.17962       0.305762E-001  0.839099     
  1235.98        2500.00        82.9540        1.32125                 NaN            NaN  0.649513E-001            NaN   1.39360        8.19824       0.173515        5.89443     
  1234.82        2500.00        83.7715        1.40335                 NaN            NaN  0.289899E-001            NaN   1.26965        7.83851       0.161818        5.52614     
  1233.66        2500.00        34.3746        4.82388                 NaN            NaN  0.280623                 NaN   5.00178        31.8355       0.596424        23.0873     
  1232.51        2500.00                 NaN   7.50461                 NaN            NaN  0.412486                 NaN   7.45304        48.3738       0.898534        35.3575     
  1231.35        2500.00                 NaN   7.46335                 NaN            NaN  0.419362                 NaN   7.44820        48.3896       0.900373        35.3791     
  1230.19        2500.00                 NaN   7.63932                 NaN            NaN  0.390113                 NaN   7.46659        48.3195       0.892954        35.2915     
  1229.03        2500.00                 NaN   7.69108                 NaN            NaN  0.381184                 NaN   7.47144        48.3003       0.890714        35.2652     
  1227.88        2500.00                 NaN   7.65012                 NaN            NaN  0.387402                 NaN   7.46601        48.3201       0.893048        35.2833     
  1226.72        2500.00                 NaN   7.63876                 NaN            NaN  0.388724                 NaN   7.46477        48.3271       0.893729        35.2870     
  1225.56        2500.00                 NaN   7.70174                 NaN            NaN  0.377730                 NaN   7.47153        48.3035       0.891077        35.2544     
  1224.41        2500.00                 NaN   7.80220                 NaN            NaN  0.359085                 NaN   7.47917        48.2748       0.887963        35.1967     
  1223.25        2500.00                 NaN   7.89382                 NaN            NaN  0.342522                 NaN   7.48738        48.2454       0.884670        35.1462     
  1222.09        2500.00                 NaN   7.99198                 NaN            NaN  0.324787                 NaN   7.49622        48.2139       0.881112        35.0920     
  1220.94        2500.00                 NaN   8.08178                 NaN            NaN  0.308403                 NaN   7.50469        48.1843       0.878406        35.0424     
  1219.78        2500.00                 NaN   8.16668                 NaN            NaN  0.293603                 NaN   7.51296        48.1551       0.874376        34.9973     
  1218.62        2500.00                 NaN   8.23554                 NaN            NaN  0.281560                 NaN   7.52085        48.1300       0.871259        34.9608     
  1217.47        2500.00                 NaN   8.21621                 NaN            NaN  0.285380                 NaN   7.52020        48.1328       0.871539        34.9739     
  1216.31        2500.00                 NaN   8.27836                 NaN            NaN  0.274494                 NaN   7.52681        48.1103       0.868876        34.9412     
  1215.15        2500.00                 NaN   8.28092                 NaN            NaN  0.274308                 NaN   7.52858        48.1065       0.868217        34.9414     
  1214.00        2500.00                 NaN   8.81649                 NaN            NaN  0.184175                 NaN   7.58591        47.9007       0.843974        34.6688     
  1212.84        2500.00                 NaN   8.99386                 NaN            NaN  0.153284                 NaN   7.60447        47.8380       0.836135        34.5742     
  1211.68        2500.00                 NaN   9.17450                 NaN            NaN  0.121442                 NaN   7.62287        47.7765       0.828397        34.4763     
  1210.53        2500.00                 NaN   9.38521                 NaN            NaN  0.828764E-001            NaN   7.63952        47.7160       0.820918        34.3555     
  1209.37        2500.00                 NaN   9.61922                 NaN            NaN  0.412067E-001            NaN   7.66141        47.6404       0.811282        34.2265     
  1208.21        2500.00                 NaN   9.85639                 NaN            NaN            NaN            NaN   7.68604        47.5569       0.800373        34.1003     
  1207.06        2500.00                 NaN   9.85336                 NaN            NaN            NaN            NaN   7.68521        47.5607       0.800762        34.0999     
  1205.90        2500.00                 NaN   9.85742                 NaN            NaN            NaN            NaN   7.68840        47.5524       0.799944        34.1018     
  1204.74        2500.00                 NaN   9.84724                 NaN            NaN            NaN            NaN   7.68326        47.5677       0.801949        34.0999     
  1203.59        2500.00                 NaN   7.76941        2.06163                 NaN            NaN            NaN   7.66324        47.6041       0.804445        34.0972     
  1202.43        2500.00                 NaN   9.86242                 NaN            NaN            NaN            NaN   7.69372        47.5394       0.798953        34.1055     
