|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/EETA/EETA_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           Opx(TH)        an             San(TH)        ilm            q             
  1445.35        2500.00        99.3882       0.400284       0.204680                 NaN  0.684565E-002            NaN            NaN            NaN            NaN            NaN
  1444.19        2500.00        98.4734       0.538396       0.532224                 NaN  0.529101E-001            NaN  0.403059                 NaN            NaN            NaN
  1443.03        2500.00        98.0381       0.688343       0.599033                 NaN  0.749777E-001            NaN  0.599568                 NaN            NaN            NaN
  1441.88        2500.00        98.0833       0.672879       0.585122                 NaN  0.727148E-001            NaN  0.586025                 NaN            NaN            NaN
  1440.72        2500.00        98.1271       0.658183       0.571413                 NaN  0.706540E-001            NaN  0.572659                 NaN            NaN            NaN
  1439.56        2500.00        98.1665       0.560042       0.643136                 NaN  0.691595E-001            NaN  0.561116                 NaN            NaN            NaN
  1438.41        2500.00        98.2133       0.628578       0.544981                 NaN  0.666035E-001            NaN  0.546560                 NaN            NaN            NaN
  1437.25        2500.00        98.2476       0.535348       0.615739                 NaN  0.650803E-001            NaN  0.536253                 NaN            NaN            NaN
  1436.09        2500.00        98.2858       0.523385       0.602946                 NaN  0.632168E-001            NaN  0.524670                 NaN            NaN            NaN
  1434.93        2500.00        98.3210       0.512145       0.591102                 NaN  0.615860E-001            NaN  0.514121                 NaN            NaN            NaN
  1433.78        2500.00        98.2839       0.524241       0.603833                 NaN  0.626181E-001            NaN  0.525411                 NaN            NaN            NaN
  1432.62        2500.00        98.4570       0.464854       0.548583                 NaN  0.560582E-001            NaN  0.473504                 NaN            NaN            NaN
  1431.46        2500.00        98.4299       0.479011       0.554483                 NaN  0.562958E-001            NaN  0.480328                 NaN            NaN            NaN
  1430.31        2500.00        98.4516       0.472849       0.545591                 NaN  0.554443E-001            NaN  0.474507                 NaN            NaN            NaN
  1429.15        2500.00        98.4822       0.535843       0.463038                 NaN  0.538594E-001            NaN  0.465078                 NaN            NaN            NaN
  1427.99        2500.00        98.5104       0.454298       0.526278                 NaN  0.526448E-001            NaN  0.456388                 NaN            NaN            NaN
  1426.84        2500.00        98.5396       0.445055       0.516615                 NaN  0.511912E-001            NaN  0.447562                 NaN            NaN            NaN
  1425.68        2500.00        98.5671       0.436406       0.507508                 NaN  0.498767E-001            NaN  0.439159                 NaN            NaN            NaN
  1424.52        2500.00        98.5919       0.428424       0.499434                 NaN  0.486113E-001            NaN  0.431661                 NaN            NaN            NaN
  1423.37        2500.00        98.6184       0.420613       0.490247                 NaN  0.473802E-001            NaN  0.423335                 NaN            NaN            NaN
  1422.21        2500.00        98.6422       0.412758       0.482699                 NaN  0.461595E-001            NaN  0.416159                 NaN            NaN            NaN
  1421.05        2500.00        98.6637       0.476194       0.405608                 NaN  0.450151E-001            NaN  0.409433                 NaN            NaN            NaN
  1419.90        2500.00        98.6927       0.397120       0.465758                 NaN  0.437799E-001            NaN  0.400614                 NaN            NaN            NaN
  1418.74        2500.00        98.7121       0.391039       0.459277                 NaN  0.428631E-001            NaN  0.394740                 NaN            NaN            NaN
  1417.58        2500.00        99.9760       0.159447E-001            NaN            NaN  0.614700E-003            NaN  0.746088E-002            NaN            NaN            NaN
  1416.43        2500.00        97.5245       0.877885       0.757968                 NaN  0.811007E-001            NaN  0.758563                 NaN            NaN            NaN
  1415.27        2500.00        98.7752       0.438636       0.371022                 NaN  0.397324E-001            NaN  0.375381                 NaN            NaN            NaN
  1414.11        2500.00        98.7767       0.371126       0.436926                 NaN  0.396937E-001            NaN  0.375579                 NaN            NaN            NaN
  1412.96        2500.00        98.8341       0.352335       0.419988                 NaN  0.370050E-001            NaN  0.356609                 NaN            NaN            NaN
  1411.80        2500.00        98.8331       0.352673       0.419779                 NaN  0.369315E-001            NaN  0.357559                 NaN            NaN            NaN
  1410.64        2500.00        98.6672       0.480513       0.402069                 NaN  0.417736E-001            NaN  0.408454                 NaN            NaN            NaN
  1409.49        2500.00        99.5557       0.160716       0.133703                 NaN  0.137547E-001            NaN  0.136160                 NaN            NaN            NaN
  1408.33        2500.00        98.3909       0.485314       0.581660                 NaN  0.495332E-001            NaN  0.492618                 NaN            NaN            NaN
  1407.17        2500.00        98.9044       0.329933       0.396958                 NaN  0.333446E-001            NaN  0.335365                 NaN            NaN            NaN
  1406.02        2500.00        98.9215       0.324661       0.391101                 NaN  0.325590E-001            NaN  0.330184                 NaN            NaN            NaN
  1404.86        2500.00        98.9365       0.319593       0.386713                 NaN  0.316825E-001            NaN  0.325521                 NaN            NaN            NaN
  1403.70        2500.00        98.9536       0.381109       0.314140                 NaN  0.309709E-001            NaN  0.320164                 NaN            NaN            NaN
  1402.55        2500.00        98.9681       0.376690       0.309306                 NaN  0.302193E-001            NaN  0.315732                 NaN            NaN            NaN
  1401.39        2500.00        98.9830       0.304466       0.372024                 NaN  0.295046E-001            NaN  0.311013                 NaN            NaN            NaN
  1400.23        2500.00        98.9979       0.367399       0.299589                 NaN  0.286916E-001            NaN  0.306425                 NaN            NaN            NaN
  1399.08        2500.00        99.0125       0.294868       0.362788                 NaN  0.279918E-001            NaN  0.301891                 NaN            NaN            NaN
  1397.92        2500.00        99.0257       0.358855       0.290413                 NaN  0.272788E-001            NaN  0.297766                 NaN            NaN            NaN
  1396.76        2500.00        99.0396       0.285840       0.354457                 NaN  0.266293E-001            NaN  0.293431                 NaN            NaN            NaN
  1395.61        2500.00        99.0529       0.350502       0.281476                 NaN  0.258864E-001            NaN  0.289237                 NaN            NaN            NaN
  1394.45        2500.00        99.0658       0.277385       0.346282                 NaN  0.252603E-001            NaN  0.285245                 NaN            NaN            NaN
  1393.29        2500.00        99.0770       0.342381       0.274075                 NaN  0.247646E-001            NaN  0.281746                 NaN            NaN            NaN
  1392.14        2500.00        99.0918       0.338341       0.268843                 NaN  0.239348E-001            NaN  0.277096                 NaN            NaN            NaN
  1390.98        2500.00        99.1022       0.265137       0.335524                 NaN  0.233110E-001            NaN  0.273783                 NaN            NaN            NaN
  1389.82        2500.00        99.1148       0.260814       0.331770                 NaN  0.227014E-001            NaN  0.269954                 NaN            NaN            NaN
  1388.67        2500.00        99.1265       0.257089       0.328070                 NaN  0.221488E-001            NaN  0.266218                 NaN            NaN            NaN
  1387.51        2500.00        99.1375       0.324700       0.253408                 NaN  0.215287E-001            NaN  0.262844                 NaN            NaN            NaN
  1386.35        2500.00        99.1488       0.249766       0.321210                 NaN  0.209669E-001            NaN  0.259276                 NaN            NaN            NaN
  1385.20        2500.00        99.1587       0.246564       0.318260                 NaN  0.203601E-001            NaN  0.256105                 NaN            NaN            NaN
  1384.04        2500.00        99.1702       0.242327       0.315199                 NaN  0.197698E-001            NaN  0.252477                 NaN            NaN            NaN
  1382.88        2500.00        99.1798       0.312477       0.239250                 NaN  0.191109E-001            NaN  0.249329                 NaN            NaN            NaN
  1381.72        2500.00        99.1903       0.235486       0.309407                 NaN  0.186438E-001            NaN  0.246167                 NaN            NaN            NaN
  1380.57        2500.00        99.2002       0.231803       0.306726                 NaN  0.181605E-001            NaN  0.243138                 NaN            NaN            NaN
  1379.41        2500.00        99.2104       0.229066       0.303185                 NaN  0.175854E-001            NaN  0.239753                 NaN            NaN            NaN
  1378.25        2500.00        99.2193       0.225566       0.301051                 NaN  0.170863E-001            NaN  0.237009                 NaN            NaN            NaN
  1377.10        2500.00        99.2291       0.298125       0.222297                 NaN  0.165598E-001            NaN  0.233879                 NaN            NaN            NaN
  1375.94        2500.00        99.2379       0.219125       0.295809                 NaN  0.160242E-001            NaN  0.231115                 NaN            NaN            NaN
  1374.78        2500.00        99.2464       0.216378       0.293205                 NaN  0.155661E-001            NaN  0.228421                 NaN            NaN            NaN
  1373.63        2500.00        99.2559       0.290937       0.212827                 NaN  0.149641E-001            NaN  0.225415                 NaN            NaN            NaN
  1372.47        2500.00        99.4054       0.232740       0.170058                 NaN  0.117277E-001            NaN  0.180109                 NaN            NaN            NaN
  1371.31        2500.00        99.1314       0.246872       0.342352                 NaN  0.167109E-001            NaN  0.262710                 NaN            NaN            NaN
  1370.16        2500.00        99.2805       0.284198       0.204217                 NaN  0.135400E-001            NaN  0.217540                 NaN            NaN            NaN
  1369.00        2500.00        99.2895       0.201067       0.281608                 NaN  0.131058E-001            NaN  0.214730                 NaN            NaN            NaN
  1367.84        2500.00        99.2968       0.279753       0.198315                 NaN  0.126751E-001            NaN  0.212422                 NaN            NaN            NaN
  1366.69        2500.00        99.3052       0.195326       0.277548                 NaN  0.121945E-001            NaN  0.209775                 NaN            NaN            NaN
  1365.53        2500.00        99.3125       0.192794       0.275513                 NaN  0.117682E-001            NaN  0.207406                 NaN            NaN            NaN
  1364.37        2500.00        99.3191       0.274188       0.190104                 NaN  0.112905E-001            NaN  0.205339                 NaN            NaN            NaN
  1363.22        2500.00        99.3281       0.271444       0.187236                 NaN  0.108434E-001            NaN  0.202383                 NaN            NaN            NaN
  1362.06        2500.00        99.3344       0.184684       0.270138                 NaN  0.103736E-001            NaN  0.200398                 NaN            NaN            NaN
  1360.90        2500.00        99.3416       0.182129       0.268242                 NaN  0.993536E-002            NaN  0.198062                 NaN            NaN            NaN
  1359.75        2500.00        99.3487       0.179500       0.266356                 NaN  0.958137E-002            NaN  0.195886                 NaN            NaN            NaN
  1358.59        2500.00        99.3537       0.176484       0.266235                 NaN  0.914769E-002            NaN  0.194452                 NaN            NaN            NaN
  1357.43        2500.00        99.3638       0.174359       0.262313                 NaN  0.866328E-002            NaN  0.190885                 NaN            NaN            NaN
  1356.28        2500.00        99.3689       0.171797       0.261688                 NaN  0.825758E-002            NaN  0.189339                 NaN            NaN            NaN
  1355.12        2500.00        99.3752       0.169311       0.260205                 NaN  0.793203E-002            NaN  0.187393                 NaN            NaN            NaN
  1353.96        2500.00        99.3815       0.258667       0.167054                 NaN  0.745346E-002            NaN  0.185309                 NaN            NaN            NaN
  1352.81        2500.00        99.3873       0.256930       0.165145                 NaN  0.712232E-002            NaN  0.183471                 NaN            NaN            NaN
  1351.65        2500.00        99.3941       0.255709       0.162274                 NaN  0.665085E-002            NaN  0.181259                 NaN            NaN            NaN
  1350.49        2500.00        99.3995       0.160127       0.254363                 NaN  0.635433E-002            NaN  0.179609                 NaN            NaN            NaN
  1349.34        2500.00        99.4052       0.254041       0.157336                 NaN  0.573790E-002            NaN  0.177733                 NaN            NaN            NaN
  1348.18        2500.00        99.4119       0.155323       0.251811                 NaN  0.546309E-002            NaN  0.175501                 NaN            NaN            NaN
  1347.02        2500.00        99.4167       0.153148       0.250993                 NaN  0.511330E-002            NaN  0.174070                 NaN            NaN            NaN
  1345.87        2500.00        99.4229       0.249850       0.150662                 NaN  0.463389E-002            NaN  0.171980                 NaN            NaN            NaN
  1344.71        2500.00        99.4280       0.248429       0.148854                 NaN  0.434258E-002            NaN  0.170341                 NaN            NaN            NaN
  1343.55        2500.00        99.4335       0.146362       0.247695                 NaN  0.391025E-002            NaN  0.168577                 NaN            NaN            NaN
  1342.40        2500.00        99.4387       0.246519       0.144286                 NaN  0.358025E-002            NaN  0.166898                 NaN            NaN            NaN
  1341.24        2500.00        99.4439       0.142072       0.245543                 NaN  0.322358E-002            NaN  0.165236                 NaN            NaN            NaN
  1340.08        2500.00        99.4489       0.244926       0.139746                 NaN  0.277923E-002            NaN  0.163608                 NaN            NaN            NaN
  1338.93        2500.00        99.4539       0.137834       0.243800                 NaN  0.244761E-002            NaN  0.161985                 NaN            NaN            NaN
  1337.77        2500.00        99.4588       0.135660       0.243018                 NaN  0.211133E-002            NaN  0.160455                 NaN            NaN            NaN
  1336.61        2500.00        99.4638       0.133188       0.242473                 NaN  0.171345E-002            NaN  0.158842                 NaN            NaN            NaN
  1335.46        2500.00        99.4682       0.241322       0.131708                 NaN  0.140673E-002            NaN  0.157361                 NaN            NaN            NaN
  1334.30        2500.00        99.4735       0.129239       0.240645                 NaN  0.987019E-003            NaN  0.155639                 NaN            NaN            NaN
  1333.14        2500.00        99.4769       0.239809       0.127984                 NaN  0.709008E-003            NaN  0.154594                 NaN            NaN            NaN
  1331.98        2500.00        99.4809       0.239502       0.126166                 NaN  0.163573E-003            NaN  0.153282                 NaN            NaN            NaN
  1330.83        2500.00        99.4875       0.238476       0.122983                 NaN            NaN            NaN  0.151052                 NaN            NaN            NaN
  1329.67        2500.00        99.4896       0.124861       0.232582                 NaN  0.188418E-002            NaN  0.151085                 NaN            NaN            NaN
  1328.51        2500.00        99.4934       0.120107       0.236983                 NaN            NaN            NaN  0.149515                 NaN            NaN            NaN
  1327.36        2500.00        99.5001       0.232839       0.119462                 NaN  0.288984E-003            NaN  0.147320                 NaN            NaN            NaN
  1326.20        2500.00        99.5028       0.117422       0.233233                 NaN            NaN            NaN  0.146591                 NaN            NaN            NaN
  1325.04        2500.00        99.5013       0.120631       0.225659                 NaN  0.367360E-002            NaN  0.148725                 NaN            NaN            NaN
  1323.89        2500.00        99.5134       0.115934       0.227868                 NaN            NaN            NaN  0.142843                 NaN            NaN            NaN
  1322.73        2500.00        99.5147       0.113382       0.228911                 NaN            NaN            NaN  0.143057                 NaN            NaN            NaN
  1321.57        2500.00        99.5183       0.227572       0.112111                 NaN            NaN            NaN  0.142053                 NaN            NaN            NaN
  1320.42        2500.00        99.5221       0.226695       0.110382                 NaN            NaN            NaN  0.140777                 NaN            NaN            NaN
  1319.26        2500.00        99.5256       0.225621       0.109003                 NaN            NaN            NaN  0.139799                 NaN            NaN            NaN
  1318.10        2500.00        99.5293       0.107592       0.224421                 NaN            NaN            NaN  0.138715                 NaN            NaN            NaN
  1316.95        2500.00        94.0983       0.563624        1.21667                 NaN  0.711457E-002            NaN  0.761988        3.35227                 NaN            NaN
  1315.79        2500.00        89.9197        1.00118        1.82091                 NaN  0.621279E-001            NaN   1.25533        5.94080                 NaN            NaN
  1314.63        2500.00        91.0579       0.886513        1.62850                 NaN  0.488739E-001            NaN   1.11611        5.26213                 NaN            NaN
  1313.48        2500.00        91.9714       0.791476        1.47675                 NaN  0.382814E-001            NaN   1.00453        4.71758                 NaN            NaN
  1312.32        2500.00        90.3454       0.693288        1.96188                 NaN  0.360950E-001            NaN   1.23398        5.72935                 NaN            NaN
  1311.16        2500.00        86.7039        3.10282       0.405846                 NaN  0.301397E-001            NaN   1.74923        8.00811                 NaN            NaN
  1310.01        2500.00        91.6355       0.305474        1.93224                 NaN  0.142391E-001            NaN   1.09726        5.01527                 NaN            NaN
  1308.85        2500.00        93.9326       0.252801        1.39024                 NaN  0.710322E-002            NaN  0.794099        3.62319                 NaN            NaN
  1307.69        2500.00        95.2419       0.220827        1.08136                 NaN  0.335520E-002            NaN  0.621505        2.83107                 NaN            NaN
  1306.54        2500.00        96.0774       0.885276       0.198307                 NaN  0.102838E-002            NaN  0.511587        2.32644                 NaN            NaN
  1305.38        2500.00        96.6783       0.188604       0.737353                 NaN  0.436571E-003            NaN  0.432262        1.96305                 NaN            NaN
  1304.22        2500.00        97.0926       0.179805       0.636314                 NaN            NaN            NaN  0.377821        1.71345                 NaN            NaN
  1303.07        2500.00        97.4133       0.174668       0.555918                 NaN            NaN            NaN  0.335651        1.52046                 NaN            NaN
  1301.91        2500.00        97.6597       0.491855       0.174284                 NaN            NaN            NaN  0.302960        1.37118                 NaN            NaN
  1300.75        2500.00        97.8652       0.176114       0.436543                 NaN            NaN            NaN  0.275476        1.24669                 NaN            NaN
  1299.60        2500.00        98.0130       0.179695       0.394477                 NaN            NaN            NaN  0.255697        1.15712                 NaN            NaN
  1298.44        2500.00        98.1384       0.186815       0.355322                 NaN            NaN            NaN  0.238560        1.08090                 NaN            NaN
  1297.28        2500.00        98.2326       0.322814       0.196669                 NaN            NaN            NaN  0.225570        1.02231                 NaN            NaN
  1296.13        2500.00        98.3082       0.211987       0.290162                 NaN            NaN            NaN  0.214641       0.975049                 NaN            NaN
  1294.97        2500.00        98.3600       0.260756       0.231018                 NaN            NaN            NaN  0.206795       0.941429                 NaN            NaN
  1293.81        2500.00        98.3869       0.230550       0.259408                 NaN            NaN            NaN  0.201931       0.921200                 NaN            NaN
  1292.66        2500.00        98.3956       0.294353       0.199234                 NaN            NaN            NaN  0.199156       0.911661                 NaN            NaN
  1291.50        2500.00        98.3782       0.162056       0.344159                 NaN            NaN            NaN  0.199471       0.916094                 NaN            NaN
  1290.34        2500.00        98.3256       0.423688       0.107762                 NaN            NaN            NaN  0.203678       0.939276                 NaN            NaN
  1289.19        2500.00        98.2372       0.452449       0.114663                 NaN            NaN            NaN  0.215078       0.980560                 NaN            NaN
  1288.03        2500.00        98.0995       0.626081                 NaN            NaN            NaN            NaN  0.224362        1.05007                 NaN            NaN
  1286.87        2500.00        97.8780       0.710016                 NaN            NaN            NaN            NaN  0.251184        1.16079                 NaN            NaN
  1285.72        2500.00        97.5219       0.846909                 NaN            NaN            NaN            NaN  0.290034        1.34115                 NaN            NaN
  1284.56        2500.00        96.9705        1.05486                 NaN            NaN            NaN            NaN  0.351902        1.62270                 NaN            NaN
  1283.40        2500.00        96.0086        1.41647                 NaN            NaN            NaN            NaN  0.458181        2.11676                 NaN            NaN
  1282.25        2500.00        88.8302        3.61556                 NaN            NaN            NaN            NaN   1.28312        5.89236       0.378753                 NaN
  1281.09        2500.00        97.1264       0.676318                 NaN            NaN            NaN            NaN  0.354017        1.67420       0.169031                 NaN
  1279.93        2500.00        97.2204       0.655996                 NaN            NaN            NaN            NaN  0.343658        1.61807       0.161908                 NaN
  1278.77        2500.00        97.3132       0.633714                 NaN            NaN            NaN            NaN  0.332499        1.56476       0.155792                 NaN
  1277.62        2500.00        97.3943       0.615381                 NaN            NaN            NaN            NaN  0.323778        1.51709       0.149475                 NaN
  1276.46        2500.00        97.4798       0.596649                 NaN            NaN            NaN            NaN  0.314142        1.46629       0.143084                 NaN
  1275.30        2500.00        97.5565       0.577710                 NaN            NaN            NaN            NaN  0.304892        1.42296       0.137945                 NaN
  1274.15        2500.00        97.6319       0.559781                 NaN            NaN            NaN            NaN  0.296127        1.37954       0.132604                 NaN
  1272.99        2500.00        97.7042       0.542667                 NaN            NaN            NaN            NaN  0.287667        1.33802       0.127453                 NaN
  1271.83        2500.00        97.7689       0.527469                 NaN            NaN            NaN            NaN  0.279382        1.30116       0.123070                 NaN
  1270.68        2500.00        97.8385       0.509360                 NaN            NaN            NaN            NaN  0.270648        1.26274       0.118801                 NaN
  1269.52        2500.00        97.9007       0.495141                 NaN            NaN            NaN            NaN  0.263482        1.22657       0.114114                 NaN
  1268.36        2500.00        97.9595       0.480365                 NaN            NaN            NaN            NaN  0.256310        1.19386       0.109928                 NaN
  1267.21        2500.00        98.0206       0.464870                 NaN            NaN            NaN            NaN  0.248802        1.15971       0.106030                 NaN
  1266.05        2500.00        98.0737       0.451860                 NaN            NaN            NaN            NaN  0.241582        1.13012       0.102701                 NaN
  1264.89        2500.00        98.1304       0.436211                 NaN            NaN            NaN            NaN  0.233315        1.10019       0.998923E-001            NaN
  1263.74        2500.00        98.1814       0.423545                 NaN            NaN            NaN            NaN  0.226653        1.07190       0.965339E-001            NaN
  1262.58        2500.00        98.2302       0.411903                 NaN            NaN            NaN            NaN  0.220861        1.04411       0.929170E-001            NaN
  1261.42        2500.00        98.2762       0.400392                 NaN            NaN            NaN            NaN  0.214151        1.01897       0.902916E-001            NaN
  1260.27        2500.00        98.3249       0.387383                 NaN            NaN            NaN            NaN  0.207858       0.992577       0.873077E-001            NaN
  1259.11        2500.00        98.3695       0.375745                 NaN            NaN            NaN            NaN  0.201661       0.968442       0.846873E-001            NaN
  1257.95        2500.00        98.4055       0.366130                 NaN            NaN            NaN            NaN  0.196090       0.949723       0.825918E-001            NaN
  1256.80        2500.00        97.2940       0.474430                 NaN            NaN            NaN            NaN  0.287705        1.41216       0.105001       0.426665     
  1255.64        2500.00        90.2902        1.18751                 NaN            NaN            NaN            NaN  0.869003        4.35862       0.255522        3.03916     
  1254.48        2500.00        90.8110        1.13426                 NaN            NaN            NaN            NaN  0.821266        4.11705       0.237415        2.87902     
  1253.33        2500.00        91.2869        1.08187                 NaN            NaN            NaN            NaN  0.776753        3.89971       0.221943        2.73286     
  1252.17        2500.00        91.6826        1.04160                 NaN            NaN            NaN            NaN  0.741113        3.71594       0.207638        2.61105     
  1251.01        2500.00        91.9511        1.01337                 NaN            NaN            NaN            NaN  0.723196        3.58782       0.194198        2.53034     
  1249.86        2500.00        90.5435       0.886320       0.100713                 NaN            NaN            NaN  0.851656        4.25556       0.214676        3.14759     
  1248.70        2500.00        94.2783       0.486061E-001  0.964133                 NaN            NaN            NaN  0.531374        2.46025       0.126106        1.59126     
  1247.54        2500.00        92.6911       0.901904                 NaN            NaN            NaN            NaN  0.624748        3.27536       0.182084        2.32477     
  1246.39        2500.00        88.6217        1.23308                 NaN            NaN  0.702940E-001            NaN   1.14668        4.56853       0.217979        4.14171     
  1245.23        2500.00        92.8441        1.00628                 NaN            NaN            NaN            NaN  0.534760        3.62381       0.147569        1.84344     
  1244.07        2500.00        96.4496       0.719893                 NaN            NaN            NaN            NaN  0.312920        1.53987       0.796477E-001  0.898069     
  1242.92        2500.00        91.4441       0.431962                 NaN            NaN  0.784703E-002            NaN  0.606634        4.19111       0.259175        3.05917     
  1241.76        2500.00        94.3622       0.952490                 NaN            NaN            NaN            NaN  0.509575        2.43121       0.112925        1.63160     
  1240.60        2500.00        93.1175        1.30739                 NaN            NaN            NaN            NaN  0.676082        2.77607       0.942282E-001   2.02878     
  1239.45        2500.00        85.9409        1.81792                 NaN            NaN  0.746269E-001            NaN   1.24523        6.19897       0.253909        4.46847     
  1238.29        2500.00        98.1223       0.264913                 NaN            NaN            NaN            NaN  0.158337       0.833947       0.385899E-001  0.581889     
  1237.13        2500.00        97.3896       0.282533                 NaN            NaN            NaN            NaN  0.198552        1.20486       0.578721E-001  0.866594     
  1235.98        2500.00        81.8136        1.85142                 NaN            NaN  0.197597                 NaN   1.52194        8.27385       0.324620        6.01699     
  1234.82        2500.00        82.6928        1.97368                 NaN            NaN  0.882751E-001            NaN   1.38781        7.90855       0.303009        5.64591     
  1233.66        2500.00        32.6854        6.52540                 NaN            NaN  0.823299                 NaN   5.26742        30.8975        1.07602        22.7249     
  1232.51        2500.00                 NaN   9.89975                 NaN            NaN   1.17997                 NaN   7.65282        45.7543        1.58059        33.9325     
  1231.35        2500.00                 NaN   9.84307                 NaN            NaN   1.19972                 NaN   7.64814        45.7714        1.58391        33.9538     
  1230.19        2500.00                 NaN   10.0834                 NaN            NaN   1.11594                 NaN   7.66602        45.6996        1.57068        33.8644     
  1229.03        2500.00                 NaN   10.1555                 NaN            NaN   1.09038                 NaN   7.67067        45.6798        1.56670        33.8369     
  1227.88        2500.00                 NaN   10.0997                 NaN            NaN   1.10825                 NaN   7.66542        45.7009        1.57089        33.8549     
  1226.72        2500.00                 NaN   10.0851                 NaN            NaN   1.11208                 NaN   7.66425        45.7084        1.57213        33.8580     
  1225.56        2500.00                 NaN   10.1732                 NaN            NaN   1.08060                 NaN   7.67077        45.6839        1.56741        33.8241     
  1224.41        2500.00                 NaN   10.3147                 NaN            NaN   1.02720                 NaN   7.67796        45.6532        1.56182        33.7651     
  1223.25        2500.00                 NaN   10.4433                 NaN            NaN  0.979775                 NaN   7.68577        45.6221        1.55593        33.7132     
  1222.09        2500.00                 NaN   10.5809                 NaN            NaN  0.928997                 NaN   7.69421        45.5888        1.54956        33.6576     
  1220.94        2500.00                 NaN   10.7069                 NaN            NaN  0.882090                 NaN   7.70229        45.5575        1.54471        33.6065     
  1219.78        2500.00                 NaN   10.8252                 NaN            NaN  0.839730                 NaN   7.71026        45.5272        1.53754        33.5601     
  1218.62        2500.00                 NaN   10.9210                 NaN            NaN  0.805265                 NaN   7.71794        45.5013        1.53200        33.5225     
  1217.47        2500.00                 NaN   10.8937                 NaN            NaN  0.816232                 NaN   7.71742        45.5052        1.53254        33.5350     
  1216.31        2500.00                 NaN   10.9801                 NaN            NaN  0.785082                 NaN   7.72383        45.4820        1.52781        33.5012     
  1215.15        2500.00                 NaN   10.9835                 NaN            NaN  0.784575                 NaN   7.72566        45.4790        1.52668        33.5007     
  1214.00        2500.00                 NaN   11.7184                 NaN            NaN  0.526573                 NaN   7.78122        45.2658        1.48345        33.2245     
  1212.84        2500.00                 NaN   11.9641                 NaN            NaN  0.438203                 NaN   7.79916        45.2006        1.46948        33.1284     
  1211.68        2500.00                 NaN   12.2149                 NaN            NaN  0.347135                 NaN   7.81690        45.1364        1.45570        33.0290     
  1210.53        2500.00                 NaN   12.5093                 NaN            NaN  0.236865                 NaN   7.83265        45.0719        1.44233        32.9070     
  1209.37        2500.00                 NaN   12.8346                 NaN            NaN  0.117752                 NaN   7.85363        44.9924        1.42516        32.7764     
  1208.21        2500.00                 NaN   13.1629                 NaN            NaN            NaN            NaN   7.87738        44.9054        1.40575        32.6486     
  1207.06        2500.00                 NaN   13.1596                 NaN            NaN            NaN            NaN   7.87658        44.9096        1.40646        32.6477     
  1205.90        2500.00                 NaN   13.1643                 NaN            NaN            NaN            NaN   7.87984        44.9021        1.40504        32.6487     
  1204.74        2500.00                 NaN   13.1528                 NaN            NaN            NaN            NaN   7.87468        44.9174        1.40860        32.6465     
  1203.59        2500.00                 NaN   10.3543        2.78200                 NaN            NaN            NaN   7.85427        44.9528        1.41303        32.6436     
  1202.43        2500.00                 NaN   13.1702                 NaN            NaN            NaN            NaN   7.88533        44.8911        1.40337        32.6500     
  1201.27        2500.00                 NaN   12.9461                 NaN            NaN  0.695790E-001            NaN   7.86486        44.9767        1.42299        32.7197     
  1200.12        2500.00                 NaN   13.1561                 NaN            NaN            NaN            NaN   7.88064        44.9075        1.40820        32.6475     
