|6.6.6
Archiving\03_Data\frac/QFM_m5/TIS/TIS_1.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          25
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       melt(TH)       melt(TH)       melt(TH)       pxmn           iron           Ni             Sp(TH)         Opx(TH)        Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              geik           wo             sill           tiTHL         
  1974.94        2500.00        92.8121                 NaN            NaN            NaN            NaN            NaN   1.00165        6.17022       0.160809E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        2500.00        92.7928                 NaN            NaN            NaN            NaN            NaN   1.00170        6.18940       0.160818E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        2500.00        92.7736                 NaN            NaN            NaN            NaN            NaN   1.00176        6.20854       0.160827E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        2500.00        92.7545                 NaN            NaN            NaN            NaN            NaN   1.00181        6.22760       0.160835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        2500.00        92.7355                 NaN            NaN            NaN            NaN            NaN   1.00186        6.24651       0.160844E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        2500.00        92.7165                 NaN            NaN            NaN            NaN            NaN   1.00192        6.26548       0.160853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        2500.00        92.6977                 NaN            NaN            NaN            NaN            NaN   1.00197        6.28428       0.160861E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        2500.00        92.6789                 NaN            NaN            NaN            NaN            NaN   1.00202        6.30304       0.160870E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        2500.00        92.6602                 NaN            NaN            NaN            NaN            NaN   1.00208        6.32162       0.160878E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        2500.00        92.6416                 NaN            NaN            NaN            NaN            NaN   1.00213        6.34019       0.160886E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        2500.00        92.6230                 NaN            NaN            NaN            NaN            NaN   1.00218        6.35874       0.160895E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00        92.6045                 NaN            NaN            NaN            NaN            NaN   1.00223        6.37717       0.160903E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        92.5861                 NaN            NaN            NaN            NaN            NaN   1.00228        6.39553       0.160912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        92.5676                 NaN            NaN            NaN            NaN            NaN   1.00234        6.41399       0.160920E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        92.5495                 NaN            NaN            NaN            NaN            NaN   1.00239        6.43206       0.160928E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        92.5313                 NaN            NaN            NaN            NaN            NaN   1.00244        6.45020       0.160936E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        92.5131                 NaN            NaN            NaN            NaN            NaN   1.00249        6.46829       0.160945E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        92.4951                 NaN            NaN            NaN            NaN            NaN   1.00254        6.48628       0.160953E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        92.4771                 NaN            NaN            NaN            NaN            NaN   1.00259        6.50421       0.160961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        92.4592                 NaN            NaN            NaN            NaN            NaN   1.00264        6.52207       0.160969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        92.4413                 NaN            NaN            NaN            NaN            NaN   1.00269        6.53986       0.160977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        92.4236                 NaN            NaN            NaN            NaN            NaN   1.00274        6.55757       0.160985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        92.4059                 NaN            NaN            NaN            NaN            NaN   1.00279        6.57522       0.160993E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        92.3883                 NaN            NaN            NaN            NaN            NaN   1.00284        6.59278       0.161001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        92.3707                 NaN            NaN            NaN            NaN            NaN   1.00289        6.61027       0.161009E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        92.3533                 NaN            NaN            NaN            NaN            NaN   1.00294        6.62770       0.161017E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        92.3340                 NaN            NaN            NaN            NaN            NaN   1.00299        6.64686       0.161026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        92.3210                 NaN            NaN            NaN            NaN            NaN   1.00303        6.65986       0.161031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        92.3191                 NaN            NaN            NaN            NaN            NaN   1.00304        6.66177       0.161032E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        92.2841                 NaN            NaN            NaN            NaN            NaN   1.00314        6.69666       0.161048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        92.2670                 NaN            NaN            NaN            NaN            NaN   1.00318        6.71372       0.161056E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        92.2499                 NaN            NaN            NaN            NaN            NaN   1.00323        6.73072       0.161064E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        92.2330                 NaN            NaN            NaN            NaN            NaN   1.00328        6.74764       0.161071E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        92.2161                 NaN            NaN            NaN            NaN            NaN   1.00333        6.76448       0.161079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        92.1993                 NaN            NaN            NaN            NaN            NaN   1.00337        6.78126       0.161086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        92.1825                 NaN            NaN            NaN            NaN            NaN   1.00342        6.79802       0.161094E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        92.1658                 NaN            NaN            NaN            NaN            NaN   1.00347        6.81460       0.161102E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        92.1492                 NaN            NaN            NaN            NaN            NaN   1.00351        6.83117       0.161109E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        92.1327                 NaN            NaN            NaN            NaN            NaN   1.00356        6.84767       0.161117E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        92.1172                 NaN            NaN            NaN            NaN            NaN   1.00360        6.86307       0.161123E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        92.0997                 NaN            NaN            NaN            NaN            NaN   1.00365        6.88052       0.161131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        92.0835                 NaN            NaN            NaN            NaN            NaN   1.00370        6.89670       0.161139E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        92.0672                 NaN            NaN            NaN            NaN            NaN   1.00375        6.91291       0.161146E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        92.0510                 NaN            NaN            NaN            NaN            NaN   1.00379        6.92910       0.161153E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        92.0350                 NaN            NaN            NaN            NaN            NaN   1.00384        6.94510       0.161161E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        92.0189                 NaN            NaN            NaN            NaN            NaN   1.00388        6.96109       0.161168E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        92.0029                 NaN            NaN            NaN            NaN            NaN   1.00393        6.97701       0.161175E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        91.9870                 NaN            NaN            NaN            NaN            NaN   1.00397        6.99287       0.161182E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        91.9712                 NaN            NaN            NaN            NaN            NaN   1.00402        7.00867       0.161189E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        91.9555                 NaN            NaN            NaN            NaN            NaN   1.00406        7.02437       0.161197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        91.9398                 NaN            NaN            NaN            NaN            NaN   1.00410        7.04000       0.161204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        91.9367                 NaN            NaN            NaN            NaN            NaN   1.00411        7.04311       0.161205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        91.9086                 NaN            NaN            NaN            NaN            NaN   1.00419        7.07110       0.161218E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        91.8918                 NaN            NaN            NaN            NaN            NaN   1.00424        7.08786       0.161225E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        91.8777                 NaN            NaN            NaN            NaN            NaN   1.00428        7.10185       0.161232E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        91.8624                 NaN            NaN            NaN            NaN            NaN   1.00432        7.11714       0.161239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        91.8648                 NaN            NaN            NaN            NaN            NaN   1.00431        7.11478       0.161237E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        91.8319                 NaN            NaN            NaN            NaN            NaN   1.00441        7.14756       0.161252E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        91.8168                 NaN            NaN            NaN            NaN            NaN   1.00445        7.16260       0.161259E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        91.8018                 NaN            NaN            NaN            NaN            NaN   1.00449        7.17760       0.161266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        91.7868                 NaN            NaN            NaN            NaN            NaN   1.00453        7.19255       0.161273E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        91.7719                 NaN            NaN            NaN            NaN            NaN   1.00458        7.20740       0.161279E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        91.7571                 NaN            NaN            NaN            NaN            NaN   1.00462        7.22220       0.161286E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        91.7422                 NaN            NaN            NaN            NaN            NaN   1.00466        7.23701       0.161293E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        91.7779                 NaN            NaN            NaN            NaN            NaN   1.00456        7.20145       0.161277E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        91.7129                 NaN            NaN            NaN            NaN            NaN   1.00474        7.26620       0.161306E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        91.6984                 NaN            NaN            NaN            NaN            NaN   1.00478        7.28071       0.161313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        91.6839                 NaN            NaN            NaN            NaN            NaN   1.00482        7.29516       0.161319E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        91.6695                 NaN            NaN            NaN            NaN            NaN   1.00486        7.30955       0.161326E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        91.6551                 NaN            NaN            NaN            NaN            NaN   1.00490        7.32386       0.161332E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        91.6408                 NaN            NaN            NaN            NaN            NaN   1.00494        7.33810       0.161339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        91.6266                 NaN            NaN            NaN            NaN            NaN   1.00498        7.35227       0.161345E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        91.6125                 NaN            NaN            NaN            NaN            NaN   1.00502        7.36637       0.161351E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        91.5984                 NaN            NaN            NaN            NaN            NaN   1.00506        7.38043       0.161358E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        91.5844                 NaN            NaN            NaN            NaN            NaN   1.00510        7.39438       0.161364E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        91.5704                 NaN            NaN            NaN            NaN            NaN   1.00514        7.40828       0.161370E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        91.5566                 NaN            NaN            NaN            NaN            NaN   1.00518        7.42211       0.161377E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        91.5428                 NaN            NaN            NaN            NaN            NaN   1.00522        7.43586       0.161383E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        91.5291                 NaN            NaN            NaN            NaN            NaN   1.00526        7.44955       0.161389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        91.5154                 NaN            NaN            NaN            NaN            NaN   1.00530        7.46316       0.161395E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        91.5018                 NaN            NaN            NaN            NaN            NaN   1.00534        7.47671       0.161401E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        91.4883                 NaN            NaN            NaN            NaN            NaN   1.00537        7.49020       0.161407E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        91.4748                 NaN            NaN            NaN            NaN            NaN   1.00541        7.50363       0.161413E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        91.4614                 NaN            NaN            NaN            NaN            NaN   1.00545        7.51697       0.161419E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        91.4481                 NaN            NaN            NaN            NaN            NaN   1.00549        7.53022       0.161425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        91.4349                 NaN            NaN            NaN            NaN            NaN   1.00552        7.54344       0.161431E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        91.4217                 NaN            NaN            NaN            NaN            NaN   1.00556        7.55656       0.161437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        91.4086                 NaN            NaN            NaN            NaN            NaN   1.00560        7.56968       0.161443E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        91.3956                 NaN            NaN            NaN            NaN            NaN   1.00563        7.58265       0.161449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        91.3826                 NaN            NaN            NaN            NaN            NaN   1.00567        7.59563       0.161455E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        91.3697                 NaN            NaN            NaN            NaN            NaN   1.00571        7.60844       0.161461E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        91.3569                 NaN            NaN            NaN            NaN            NaN   1.00574        7.62122       0.161467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        91.3441                 NaN            NaN            NaN            NaN            NaN   1.00578        7.63395       0.161472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        91.3314                 NaN            NaN            NaN            NaN            NaN   1.00581        7.64660       0.161478E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        91.3188                 NaN            NaN            NaN            NaN            NaN   1.00585        7.65919       0.161484E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        91.3063                 NaN            NaN            NaN            NaN            NaN   1.00588        7.67171       0.161489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        91.2937                 NaN            NaN            NaN            NaN            NaN   1.00592        7.68424       0.161495E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        91.2813                 NaN            NaN            NaN            NaN            NaN   1.00595        7.69655       0.161501E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        91.2690                 NaN            NaN            NaN            NaN            NaN   1.00599        7.70887       0.161506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        91.2282                 NaN            NaN            NaN            NaN            NaN   1.00610        7.74954       0.161525E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        91.2445                 NaN            NaN            NaN            NaN            NaN   1.00606        7.73329       0.161517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        91.2324                 NaN            NaN            NaN            NaN            NaN   1.00609        7.74537       0.161523E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        91.2155                 NaN            NaN            NaN            NaN            NaN   1.00614        7.76225       0.161530E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        91.2083                 NaN            NaN            NaN            NaN            NaN   1.00616        7.76940       0.161534E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        91.1966                 NaN            NaN            NaN            NaN            NaN   1.00619        7.78102       0.161539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        91.1845                 NaN            NaN            NaN            NaN            NaN   1.00623        7.79312       0.161544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        91.1727                 NaN            NaN            NaN            NaN            NaN   1.00626        7.80489       0.161550E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        91.1610                 NaN            NaN            NaN            NaN            NaN   1.00629        7.81655       0.161555E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        91.1816                 NaN            NaN            NaN            NaN            NaN   1.00623        7.79603       0.161546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        91.1377                 NaN            NaN            NaN            NaN            NaN   1.00636        7.83977       0.161565E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        91.1262                 NaN            NaN            NaN            NaN            NaN   1.00639        7.85128       0.161570E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        91.1147                 NaN            NaN            NaN            NaN            NaN   1.00642        7.86270       0.161576E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
