|6.6.6
Archiving\03_Data\frac/QFM_m5/TIS/TIS_3.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          25
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       melt(TH)       melt(TH)       melt(TH)       pxmn           iron           Ni             Sp(TH)         Opx(TH)        Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              geik           wo             sill           tiTHL         
  1964.91        2500.00        96.6501                 NaN            NaN            NaN            NaN            NaN  0.826099        2.51796       0.581902E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        2500.00        96.6423                 NaN            NaN            NaN            NaN            NaN  0.826211        2.52569       0.581939E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        2500.00        96.6345                 NaN            NaN            NaN            NaN            NaN  0.826322        2.53337       0.581976E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        2500.00        96.6267                 NaN            NaN            NaN            NaN            NaN  0.826433        2.54102       0.582013E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        2500.00        96.6190                 NaN            NaN            NaN            NaN            NaN  0.826544        2.54861       0.582049E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        2500.00        96.6113                 NaN            NaN            NaN            NaN            NaN  0.826654        2.55619       0.582086E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        2500.00        96.6036                 NaN            NaN            NaN            NaN            NaN  0.826764        2.56377       0.582122E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00        96.5960                 NaN            NaN            NaN            NaN            NaN  0.826874        2.57129       0.582159E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        96.5884                 NaN            NaN            NaN            NaN            NaN  0.826984        2.57879       0.582195E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        96.5808                 NaN            NaN            NaN            NaN            NaN  0.827094        2.58632       0.582231E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        96.5733                 NaN            NaN            NaN            NaN            NaN  0.827203        2.59371       0.582267E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        96.5657                 NaN            NaN            NaN            NaN            NaN  0.827312        2.60112       0.582302E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        96.5582                 NaN            NaN            NaN            NaN            NaN  0.827420        2.60851       0.582338E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        96.5508                 NaN            NaN            NaN            NaN            NaN  0.827529        2.61586       0.582374E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        96.5433                 NaN            NaN            NaN            NaN            NaN  0.827637        2.62319       0.582409E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        96.5359                 NaN            NaN            NaN            NaN            NaN  0.827745        2.63049       0.582444E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        96.5286                 NaN            NaN            NaN            NaN            NaN  0.827853        2.63776       0.582479E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        96.5212                 NaN            NaN            NaN            NaN            NaN  0.827961        2.64500       0.582515E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        96.5139                 NaN            NaN            NaN            NaN            NaN  0.828068        2.65222       0.582550E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        96.5066                 NaN            NaN            NaN            NaN            NaN  0.828175        2.65940       0.582584E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        96.4993                 NaN            NaN            NaN            NaN            NaN  0.828282        2.66655       0.582619E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        96.4921                 NaN            NaN            NaN            NaN            NaN  0.828389        2.67368       0.582654E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        96.4842                 NaN            NaN            NaN            NaN            NaN  0.828501        2.68151       0.582692E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        96.4787                 NaN            NaN            NaN            NaN            NaN  0.828593        2.68684       0.582717E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        96.4779                 NaN            NaN            NaN            NaN            NaN  0.828650        2.68767       0.582717E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        96.4635                 NaN            NaN            NaN            NaN            NaN  0.828813        2.70189       0.582791E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        96.4564                 NaN            NaN            NaN            NaN            NaN  0.828918        2.70888       0.582825E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        96.4493                 NaN            NaN            NaN            NaN            NaN  0.829024        2.71584       0.582859E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        96.4423                 NaN            NaN            NaN            NaN            NaN  0.829129        2.72276       0.582892E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        96.4353                 NaN            NaN            NaN            NaN            NaN  0.829233        2.72965       0.582926E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        96.4283                 NaN            NaN            NaN            NaN            NaN  0.829338        2.73653       0.582960E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        96.4213                 NaN            NaN            NaN            NaN            NaN  0.829443        2.74339       0.582993E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        96.4144                 NaN            NaN            NaN            NaN            NaN  0.829547        2.75018       0.583026E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        96.4076                 NaN            NaN            NaN            NaN            NaN  0.829650        2.75697       0.583060E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        96.4007                 NaN            NaN            NaN            NaN            NaN  0.829754        2.76373       0.583093E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        96.3943                 NaN            NaN            NaN            NaN            NaN  0.829854        2.77004       0.583123E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        96.3870                 NaN            NaN            NaN            NaN            NaN  0.829961        2.77719       0.583159E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        96.3803                 NaN            NaN            NaN            NaN            NaN  0.830064        2.78382       0.583191E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        96.3735                 NaN            NaN            NaN            NaN            NaN  0.830167        2.79046       0.583224E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        96.3668                 NaN            NaN            NaN            NaN            NaN  0.830269        2.79710       0.583256E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        96.3601                 NaN            NaN            NaN            NaN            NaN  0.830371        2.80366       0.583289E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        96.3535                 NaN            NaN            NaN            NaN            NaN  0.830474        2.81022       0.583321E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        96.3468                 NaN            NaN            NaN            NaN            NaN  0.830575        2.81675       0.583353E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        96.3402                 NaN            NaN            NaN            NaN            NaN  0.830677        2.82325       0.583385E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        96.3337                 NaN            NaN            NaN            NaN            NaN  0.830779        2.82974       0.583417E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        96.3271                 NaN            NaN            NaN            NaN            NaN  0.830880        2.83618       0.583449E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        96.3206                 NaN            NaN            NaN            NaN            NaN  0.830981        2.84259       0.583481E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        96.3192                 NaN            NaN            NaN            NaN            NaN  0.831042        2.84391       0.583484E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        96.3076                 NaN            NaN            NaN            NaN            NaN  0.831182        2.85535       0.583544E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        96.3006                 NaN            NaN            NaN            NaN            NaN  0.831287        2.86223       0.583579E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        96.2948                 NaN            NaN            NaN            NaN            NaN  0.831383        2.86798       0.583607E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        96.2884                 NaN            NaN            NaN            NaN            NaN  0.831483        2.87426       0.583638E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        96.2893                 NaN            NaN            NaN            NaN            NaN  0.831526        2.87336       0.583629E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        96.2757                 NaN            NaN            NaN            NaN            NaN  0.831682        2.88675       0.583700E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        96.2694                 NaN            NaN            NaN            NaN            NaN  0.831781        2.89294       0.583731E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        96.2632                 NaN            NaN            NaN            NaN            NaN  0.831880        2.89910       0.583762E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        96.2569                 NaN            NaN            NaN            NaN            NaN  0.831979        2.90524       0.583792E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        96.2507                 NaN            NaN            NaN            NaN            NaN  0.832078        2.91134       0.583823E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        96.2446                 NaN            NaN            NaN            NaN            NaN  0.832176        2.91743       0.583853E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        96.2384                 NaN            NaN            NaN            NaN            NaN  0.832274        2.92352       0.583884E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        96.2528                 NaN            NaN            NaN            NaN            NaN  0.832211        2.90910       0.583801E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        96.2262                 NaN            NaN            NaN            NaN            NaN  0.832470        2.93552       0.583944E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        96.2201                 NaN            NaN            NaN            NaN            NaN  0.832568        2.94149       0.583974E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        96.2141                 NaN            NaN            NaN            NaN            NaN  0.832665        2.94743       0.584004E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        96.2080                 NaN            NaN            NaN            NaN            NaN  0.832762        2.95336       0.584034E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        96.2021                 NaN            NaN            NaN            NaN            NaN  0.832859        2.95925       0.584064E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        96.1961                 NaN            NaN            NaN            NaN            NaN  0.832956        2.96510       0.584093E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        96.1902                 NaN            NaN            NaN            NaN            NaN  0.833052        2.97094       0.584123E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        96.1843                 NaN            NaN            NaN            NaN            NaN  0.833149        2.97674       0.584152E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        96.1784                 NaN            NaN            NaN            NaN            NaN  0.833245        2.98254       0.584181E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        96.1725                 NaN            NaN            NaN            NaN            NaN  0.833341        2.98828       0.584211E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        96.1667                 NaN            NaN            NaN            NaN            NaN  0.833436        2.99400       0.584240E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        96.1609                 NaN            NaN            NaN            NaN            NaN  0.833532        2.99970       0.584269E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        96.1552                 NaN            NaN            NaN            NaN            NaN  0.833627        3.00537       0.584297E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        96.1494                 NaN            NaN            NaN            NaN            NaN  0.833722        3.01101       0.584326E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        96.1437                 NaN            NaN            NaN            NaN            NaN  0.833817        3.01662       0.584355E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        96.1380                 NaN            NaN            NaN            NaN            NaN  0.833912        3.02221       0.584384E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        96.1324                 NaN            NaN            NaN            NaN            NaN  0.834006        3.02777       0.584412E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        96.1267                 NaN            NaN            NaN            NaN            NaN  0.834101        3.03331       0.584440E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        96.1212                 NaN            NaN            NaN            NaN            NaN  0.834195        3.03881       0.584469E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        96.1156                 NaN            NaN            NaN            NaN            NaN  0.834289        3.04428       0.584497E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        96.1100                 NaN            NaN            NaN            NaN            NaN  0.834382        3.04973       0.584525E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        96.1045                 NaN            NaN            NaN            NaN            NaN  0.834476        3.05515       0.584553E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        96.0990                 NaN            NaN            NaN            NaN            NaN  0.834569        3.06057       0.584581E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        96.0936                 NaN            NaN            NaN            NaN            NaN  0.834662        3.06592       0.584609E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        96.0881                 NaN            NaN            NaN            NaN            NaN  0.834755        3.07128       0.584636E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        96.0827                 NaN            NaN            NaN            NaN            NaN  0.834847        3.07657       0.584664E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        96.0774                 NaN            NaN            NaN            NaN            NaN  0.834940        3.08185       0.584691E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        96.0720                 NaN            NaN            NaN            NaN            NaN  0.835032        3.08711       0.584719E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        96.0667                 NaN            NaN            NaN            NaN            NaN  0.835124        3.09234       0.584746E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        96.0614                 NaN            NaN            NaN            NaN            NaN  0.835216        3.09754       0.584773E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        96.0561                 NaN            NaN            NaN            NaN            NaN  0.835308        3.10272       0.584800E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        96.0509                 NaN            NaN            NaN            NaN            NaN  0.835399        3.10790       0.584827E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        96.0457                 NaN            NaN            NaN            NaN            NaN  0.835490        3.11299       0.584854E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        96.0405                 NaN            NaN            NaN            NaN            NaN  0.835582        3.11808       0.584881E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        96.0236                 NaN            NaN            NaN            NaN            NaN  0.835765        3.13475       0.584973E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        96.0302                 NaN            NaN            NaN            NaN            NaN  0.835763        3.12819       0.584934E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        96.0251                 NaN            NaN            NaN            NaN            NaN  0.835853        3.13319       0.584960E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        96.0180                 NaN            NaN            NaN            NaN            NaN  0.835960        3.14015       0.584998E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        96.0150                 NaN            NaN            NaN            NaN            NaN  0.836034        3.14314       0.585013E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        96.0101                 NaN            NaN            NaN            NaN            NaN  0.836123        3.14796       0.585039E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        96.0050                 NaN            NaN            NaN            NaN            NaN  0.836213        3.15297       0.585065E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        96.0000                 NaN            NaN            NaN            NaN            NaN  0.836303        3.15784       0.585092E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        95.9951                 NaN            NaN            NaN            NaN            NaN  0.836392        3.16268       0.585117E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        96.0034                 NaN            NaN            NaN            NaN            NaN  0.836376        3.15437       0.585069E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        95.9853                 NaN            NaN            NaN            NaN            NaN  0.836570        3.17230       0.585169E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        95.9804                 NaN            NaN            NaN            NaN            NaN  0.836659        3.17707       0.585195E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        95.9756                 NaN            NaN            NaN            NaN            NaN  0.836748        3.18181       0.585220E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
