|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.25/GRV/GRV_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1563.28        2500.00        98.8285                 NaN            NaN            NaN  0.117339E-001   1.15981                 NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00        98.7969                 NaN            NaN            NaN  0.117046E-001   1.19140                 NaN            NaN            NaN            NaN            NaN
  1560.29        2500.00        98.5850                 NaN            NaN            NaN  0.132000E-001   1.40184                 NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00        98.8663                 NaN            NaN            NaN  0.101646E-001   1.12349                 NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00        98.5672                 NaN            NaN            NaN  0.116006E-001  0.122290        1.29892                 NaN            NaN            NaN            NaN
  1555.81        2500.00        98.1273                 NaN            NaN            NaN  0.104493E-001   1.51623       0.345988                 NaN            NaN            NaN            NaN
  1554.31        2500.00        98.1525                 NaN            NaN            NaN  0.102473E-001   1.49282       0.344407                 NaN            NaN            NaN            NaN
  1552.82        2500.00        98.1813                 NaN            NaN            NaN  0.100096E-001   1.46884       0.339796                 NaN            NaN            NaN            NaN
  1551.33        2500.00        98.2009                 NaN            NaN  0.644405E-001  0.945563E-002  0.195129        1.53011                 NaN            NaN            NaN            NaN
  1549.83        2500.00        98.1973                 NaN            NaN  0.163594       0.883127E-002   1.61764       0.125902E-001            NaN            NaN            NaN            NaN
  1548.34        2500.00        98.2495                 NaN            NaN  0.171277       0.841106E-002   1.57086                 NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00        98.2625                 NaN            NaN  0.166170       0.828856E-002   1.56302                 NaN            NaN            NaN            NaN            NaN
  1545.35        2500.00        98.2834                 NaN            NaN  0.163244       0.811966E-002   1.54519                 NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        98.3166                 NaN            NaN  0.165323       0.782099E-002   1.51029                 NaN            NaN            NaN            NaN            NaN
  1542.36        2500.00        98.0493                 NaN            NaN  0.194730       0.896350E-002   1.74698                 NaN            NaN            NaN            NaN            NaN
  1540.87        2500.00        98.6606                 NaN            NaN  0.136113       0.604718E-002   1.19726                 NaN            NaN            NaN            NaN            NaN
  1539.37        2500.00        98.3864                 NaN            NaN  0.161725       0.720295E-002   1.44466                 NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00        96.7077                 NaN            NaN  0.341531       0.147740E-001   2.93604                 NaN            NaN            NaN            NaN            NaN
  1536.39        2500.00        99.7646                 NaN            NaN  0.275624E-001  0.995741E-003  0.206793                 NaN            NaN            NaN            NaN            NaN
  1534.89        2500.00        98.8758                 NaN            NaN  0.114052       0.482043E-002   1.00533                 NaN            NaN            NaN            NaN            NaN
  1533.40        2500.00        98.4746                 NaN            NaN  0.151053       0.648257E-002   1.36791                 NaN            NaN            NaN            NaN            NaN
  1531.90        2500.00        98.4947                 NaN            NaN  0.149709       0.628993E-002   1.34933                 NaN            NaN            NaN            NaN            NaN
  1530.41        2500.00        98.5137                 NaN            NaN  0.144774       0.614072E-002   1.33541                 NaN            NaN            NaN            NaN            NaN
  1528.92        2500.00        98.5303                 NaN            NaN  0.140263       0.601306E-002   1.31011       0.133244E-001            NaN            NaN            NaN            NaN
  1527.42        2500.00        98.5547                 NaN            NaN  0.142747       0.577874E-002   1.29682                 NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00        98.5685                 NaN            NaN  0.138937       0.562892E-002   1.27910       0.783455E-002            NaN            NaN            NaN            NaN
  1524.43        2500.00        98.3514                 NaN            NaN  0.153439       0.643758E-002   1.45885       0.299162E-001            NaN            NaN            NaN            NaN
  1522.94        2500.00        98.8374                 NaN            NaN  0.105355       0.450543E-002   1.01148       0.412334E-001            NaN            NaN            NaN            NaN
  1521.44        2500.00        98.6190                 NaN            NaN  0.124424       0.524840E-002   1.20028       0.510915E-001            NaN            NaN            NaN            NaN
  1519.95        2500.00        98.6357                 NaN            NaN  0.121744       0.510574E-002   1.18268       0.547954E-001            NaN            NaN            NaN            NaN
  1518.46        2500.00        98.2041                 NaN            NaN  0.156322       0.680648E-002   1.54181       0.909811E-001            NaN            NaN            NaN            NaN
  1516.96        2500.00        99.1216                 NaN            NaN  0.796602E-001  0.314862E-002  0.762980       0.326545E-001            NaN            NaN            NaN            NaN
  1515.47        2500.00        98.6804                 NaN            NaN  0.109683       0.470844E-002  0.776669E-001   1.12756                 NaN            NaN            NaN            NaN
  1513.97        2500.00        98.6962                 NaN            NaN  0.116736       0.453227E-002   1.11692       0.656267E-001            NaN            NaN            NaN            NaN
  1512.48        2500.00        98.7102                 NaN            NaN  0.109694       0.441607E-002  0.786203E-001   1.09705                 NaN            NaN            NaN            NaN
  1510.99        2500.00        98.7244                 NaN            NaN  0.107306       0.428985E-002   1.08045       0.835542E-001            NaN            NaN            NaN            NaN
  1509.49        2500.00        98.7308                 NaN            NaN  0.104939       0.420441E-002   1.06903       0.910510E-001            NaN            NaN            NaN            NaN
  1508.00        2500.00        98.7564                 NaN            NaN  0.103528       0.398794E-002  0.900247E-001   1.04609                 NaN            NaN            NaN            NaN
  1506.50        2500.00        98.7692                 NaN            NaN  0.100021       0.391173E-002  0.974356E-001   1.02941                 NaN            NaN            NaN            NaN
  1505.01        2500.00        98.7776                 NaN            NaN  0.985867E-001  0.380719E-002   1.01874       0.101251                 NaN            NaN            NaN            NaN
  1503.52        2500.00        98.7896                 NaN            NaN  0.965541E-001  0.368485E-002   1.00585       0.104316                 NaN            NaN            NaN            NaN
  1502.02        2500.00        98.8020                 NaN            NaN  0.946143E-001  0.356858E-002  0.992110       0.107683                 NaN            NaN            NaN            NaN
  1500.53        2500.00        98.8105                 NaN            NaN  0.932271E-001  0.346624E-002  0.109460       0.983351                 NaN            NaN            NaN            NaN
  1499.03        2500.00        98.8283                 NaN            NaN  0.906000E-001  0.333691E-002  0.114172       0.963579                 NaN            NaN            NaN            NaN
  1497.54        2500.00        98.8352                 NaN            NaN  0.882123E-001  0.323668E-002  0.118809       0.954567                 NaN            NaN            NaN            NaN
  1496.04        2500.00        98.8499                 NaN            NaN  0.866685E-001  0.312622E-002  0.939789       0.120529                 NaN            NaN            NaN            NaN
  1494.55        2500.00        98.8584                 NaN            NaN  0.849569E-001  0.302098E-002  0.124109       0.929490                 NaN            NaN            NaN            NaN
  1493.06        2500.00        98.8695                 NaN            NaN  0.831490E-001  0.291949E-002  0.918507       0.125963                 NaN            NaN            NaN            NaN
  1491.56        2500.00        98.8798                 NaN            NaN  0.814512E-001  0.282066E-002  0.907098       0.128792                 NaN            NaN            NaN            NaN
  1490.07        2500.00        98.8897                 NaN            NaN  0.795888E-001  0.272478E-002  0.132635       0.895393                 NaN            NaN            NaN            NaN
  1488.57        2500.00        98.8987                 NaN            NaN  0.780088E-001  0.262323E-002  0.886789       0.133887                 NaN            NaN            NaN            NaN
  1487.08        2500.00        98.9101                 NaN            NaN  0.763362E-001  0.253115E-002  0.873609       0.137405                 NaN            NaN            NaN            NaN
  1485.59        2500.00        98.9187                 NaN            NaN  0.746684E-001  0.243602E-002  0.865378       0.138846                 NaN            NaN            NaN            NaN
  1484.09        2500.00        98.9282                 NaN            NaN  0.735296E-001  0.234163E-002  0.855236       0.140708                 NaN            NaN            NaN            NaN
  1482.60        2500.00        98.9361                 NaN            NaN  0.707601E-001  0.226448E-002  0.146296       0.844595                 NaN            NaN            NaN            NaN
  1481.10        2500.00        98.9461                 NaN            NaN  0.700229E-001  0.217050E-002  0.834706       0.146961                 NaN            NaN            NaN            NaN
  1479.61        2500.00        98.9542                 NaN            NaN  0.684603E-001  0.208952E-002  0.148628       0.826650                 NaN            NaN            NaN            NaN
  1478.12        2500.00        98.9631                 NaN            NaN  0.668496E-001  0.199937E-002  0.817869       0.150154                 NaN            NaN            NaN            NaN
  1476.62        2500.00        98.9694                 NaN            NaN  0.655234E-001  0.192716E-002  0.152973       0.810218                 NaN            NaN            NaN            NaN
  1475.13        2500.00        98.9783                 NaN            NaN  0.639619E-001  0.183964E-002  0.153799       0.802122                 NaN            NaN            NaN            NaN
  1473.63        2500.00        98.9879                 NaN            NaN  0.624768E-001  0.175750E-002  0.155848       0.792055                 NaN            NaN            NaN            NaN
  1472.14        2500.00        98.9938                 NaN            NaN  0.612135E-001  0.167999E-002  0.786569       0.156777                 NaN            NaN            NaN            NaN
  1470.64        2500.00        99.0022                 NaN            NaN  0.598056E-001  0.160297E-002  0.777681       0.158722                 NaN            NaN            NaN            NaN
  1469.15        2500.00        98.9922                 NaN            NaN  0.579929E-001  0.156323E-002  0.166418       0.781868                 NaN            NaN            NaN            NaN
  1467.66        2500.00        99.0362                 NaN            NaN  0.574997E-001  0.144399E-002  0.160922       0.743940                 NaN            NaN            NaN            NaN
  1466.16        2500.00        99.0239                 NaN            NaN  0.558366E-001  0.138484E-002  0.163297       0.755532                 NaN            NaN            NaN            NaN
  1464.67        2500.00        99.0300                 NaN            NaN  0.549114E-001  0.132728E-002  0.750170       0.163639                 NaN            NaN            NaN            NaN
  1463.17        2500.00        99.0363                 NaN            NaN  0.529373E-001  0.124758E-002  0.166647       0.742842                 NaN            NaN            NaN            NaN
  1461.68        2500.00        99.0428                 NaN            NaN  0.521987E-001  0.117780E-002  0.736583       0.167266                 NaN            NaN            NaN            NaN
  1460.19        2500.00        99.0416                 NaN            NaN  0.516847E-001  0.111733E-002  0.734771       0.170793                 NaN            NaN            NaN            NaN
  1458.69        2500.00        99.0635                 NaN            NaN  0.485433E-001  0.106077E-002  0.713283       0.173660                 NaN            NaN            NaN            NaN
  1457.20        2500.00        99.0637                 NaN            NaN  0.488209E-001  0.986824E-003  0.715874       0.170641                 NaN            NaN            NaN            NaN
  1455.70        2500.00        99.0588                 NaN            NaN  0.408085E-001  0.947604E-003  0.710975       0.188459                 NaN            NaN            NaN            NaN
  1454.21        2500.00        99.0826                 NaN            NaN  0.528670E-001  0.849473E-003  0.160826       0.702879                 NaN            NaN            NaN            NaN
  1452.72        2500.00        99.0787                 NaN            NaN  0.450300E-001  0.806871E-003  0.700118       0.175304                 NaN            NaN            NaN            NaN
  1451.22        2500.00        99.2482                 NaN            NaN  0.548396E-001  0.553887E-003  0.591509       0.104927                 NaN            NaN            NaN            NaN
  1449.73        2500.00        98.9222                 NaN            NaN  0.317812E-001  0.884803E-003  0.245302       0.799867                 NaN            NaN            NaN            NaN
  1448.23        2500.00        99.0802                 NaN            NaN  0.427505E-001  0.641527E-003  0.699892       0.176505                 NaN            NaN            NaN            NaN
  1446.74        2500.00        99.1143                 NaN            NaN  0.396966E-001  0.592341E-003  0.179455       0.665995                 NaN            NaN            NaN            NaN
  1445.24        2500.00        99.1045                 NaN            NaN  0.397276E-001  0.532060E-003  0.676530       0.178744                 NaN            NaN            NaN            NaN
  1443.75        2500.00        99.1096                 NaN            NaN  0.384921E-001  0.481190E-003  0.180209       0.671255                 NaN            NaN            NaN            NaN
  1442.26        2500.00        99.1128                 NaN            NaN  0.371486E-001  0.442501E-003  0.183371       0.666203                 NaN            NaN            NaN            NaN
  1440.76        2500.00        99.1147                 NaN            NaN  0.326610E-001  0.409244E-003  0.657384       0.194862                 NaN            NaN            NaN            NaN
  1439.27        2500.00        99.1554                 NaN            NaN  0.893305E-001            NaN  0.755245                 NaN            NaN            NaN            NaN            NaN
  1437.77        2500.00        99.1077                 NaN            NaN  0.428735E-001  0.468672E-003  0.612181       0.236778                 NaN            NaN            NaN            NaN
  1436.28        2500.00        99.1347                 NaN            NaN  0.503695E-001  0.195208E-003  0.661080       0.153700                 NaN            NaN            NaN            NaN
  1434.79        2500.00        99.1295                 NaN            NaN            NaN  0.281053E-003  0.242867       0.627386                 NaN            NaN            NaN            NaN
  1433.29        2500.00        99.1412                 NaN            NaN  0.449599E-001  0.709077E-004  0.654432       0.159377                 NaN            NaN            NaN            NaN
  1431.80        2500.00        99.1355                 NaN            NaN            NaN  0.193812E-003  0.241168       0.623162                 NaN            NaN            NaN            NaN
  1430.30        2500.00        99.1386                 NaN            NaN  0.222284E-002  0.107276E-003  0.235671       0.623361                 NaN            NaN            NaN            NaN
  1428.81        2500.00        99.1477                 NaN            NaN  0.282179E-001  0.480892E-004  0.637180       0.186833                 NaN            NaN            NaN            NaN
  1427.32        2500.00        99.1515                 NaN            NaN  0.275546E-001  0.795193E-005  0.634456       0.186444                 NaN            NaN            NaN            NaN
  1425.82        2500.00        99.1544                 NaN            NaN  0.266151E-001  0.486353E-004  0.187780       0.631124                 NaN            NaN            NaN            NaN
  1424.33        2500.00        98.3844                 NaN            NaN  0.226149       0.160810E-002  0.758301       0.243832       0.385733                 NaN            NaN            NaN
  1422.83        2500.00        97.8555                 NaN            NaN  0.370597                 NaN  0.258240       0.861610       0.654070                 NaN            NaN            NaN
  1421.34        2500.00        97.8890                 NaN            NaN  0.370035                 NaN  0.855375       0.241777       0.643793                 NaN            NaN            NaN
  1419.84        2500.00        97.9168                 NaN            NaN  0.370333                 NaN  0.853450       0.224006       0.635379                 NaN            NaN            NaN
  1418.35        2500.00        97.9499                 NaN            NaN  0.369262                 NaN  0.207130       0.848130       0.625585                 NaN            NaN            NaN
  1416.86        2500.00        97.9785                 NaN            NaN  0.369150                 NaN  0.189582       0.846176       0.616593                 NaN            NaN            NaN
  1415.36        2500.00        98.0095                 NaN            NaN  0.368243                 NaN  0.839443       0.175683       0.607130                 NaN            NaN            NaN
  1413.87        2500.00        98.0367                 NaN            NaN  0.368150                 NaN  0.159641       0.836615       0.598884                 NaN            NaN            NaN
  1412.37        2500.00        98.0634                 NaN            NaN  0.367647                 NaN  0.143960       0.834331       0.590636                 NaN            NaN            NaN
  1410.88        2500.00        98.0901                 NaN            NaN  0.367936                 NaN  0.126455       0.832636       0.582915                 NaN            NaN            NaN
  1409.39        2500.00        98.1169                 NaN            NaN  0.365866                 NaN  0.115914       0.827406       0.573937                 NaN            NaN            NaN
  1407.89        2500.00        98.1419                 NaN            NaN  0.365772                 NaN  0.972795E-001  0.828510       0.566493                 NaN            NaN            NaN
  1406.40        2500.00        98.1656                 NaN            NaN  0.365350                 NaN  0.825784E-001  0.827363       0.559108                 NaN            NaN            NaN
  1404.90        2500.00        98.1724                 NaN            NaN  0.372156                 NaN  0.677515E-001  0.828787       0.558950                 NaN            NaN            NaN
  1403.41        2500.00        98.2299                 NaN            NaN  0.357159                 NaN  0.812757       0.625609E-001  0.537608                 NaN            NaN            NaN
  1401.92        2500.00        98.2332                 NaN            NaN  0.366310                 NaN  0.818603       0.427691E-001  0.539162                 NaN            NaN            NaN
  1400.42        2500.00        98.2702                 NaN            NaN  0.358483                 NaN  0.818518       0.272003E-001  0.525560                 NaN            NaN            NaN
  1398.93        2500.00        98.2794                 NaN            NaN  0.360385                 NaN  0.132282E-001  0.823825       0.523143                 NaN            NaN            NaN
  1397.43        2500.00        98.2954                 NaN            NaN  0.354181                 NaN  0.214401E-001  0.811741       0.517263                 NaN            NaN            NaN
  1395.94        2500.00        98.3150                 NaN            NaN  0.352560                 NaN  0.821493                 NaN  0.510996                 NaN            NaN            NaN
  1394.45        2500.00        98.3438                 NaN            NaN  0.354573                 NaN  0.799032                 NaN  0.502609                 NaN            NaN            NaN
  1392.95        2500.00        98.3574                 NaN            NaN  0.345747                 NaN  0.800020                 NaN  0.496859                 NaN            NaN            NaN
  1391.46        2500.00        98.3735                 NaN            NaN  0.339911                 NaN  0.795805                 NaN  0.490796                 NaN            NaN            NaN
  1389.96        2500.00        98.3954                 NaN            NaN  0.343005                 NaN  0.777125                 NaN  0.484509                 NaN            NaN            NaN
  1388.47        2500.00        98.4108                 NaN            NaN  0.331515                 NaN  0.779668                 NaN  0.478014                 NaN            NaN            NaN
  1386.97        2500.00        98.4285                 NaN            NaN  0.325994                 NaN  0.773684                 NaN  0.471844                 NaN            NaN            NaN
  1385.48        2500.00        98.4280                 NaN            NaN  0.290434                 NaN  0.707265       0.107981       0.466316                 NaN            NaN            NaN
  1383.99        2500.00        98.4696                 NaN            NaN  0.324193                 NaN  0.747774                 NaN  0.458417                 NaN            NaN            NaN
  1382.49        2500.00        98.4815                 NaN            NaN  0.321560                 NaN  0.742438                 NaN  0.454528                 NaN            NaN            NaN
  1381.00        2500.00        98.4975                 NaN            NaN  0.321315                 NaN  0.731901                 NaN  0.449331                 NaN            NaN            NaN
  1379.50        2500.00        98.5146                 NaN            NaN  0.320478                 NaN  0.720692                 NaN  0.444227                 NaN            NaN            NaN
  1378.01        2500.00        98.5278                 NaN            NaN  0.310175                 NaN  0.723929                 NaN  0.438084                 NaN            NaN            NaN
  1376.52        2500.00        98.5442                 NaN            NaN  0.310476                 NaN  0.712250                 NaN  0.433062                 NaN            NaN            NaN
  1375.02        2500.00        98.5545                 NaN            NaN  0.304563                 NaN  0.712261                 NaN  0.428673                 NaN            NaN            NaN
  1373.53        2500.00        98.5727                 NaN            NaN  0.302980                 NaN  0.701245                 NaN  0.423066                 NaN            NaN            NaN
  1372.03        2500.00        98.5906                 NaN            NaN  0.303730                 NaN  0.688232                 NaN  0.417467                 NaN            NaN            NaN
  1370.54        2500.00        98.6026                 NaN            NaN  0.298918                 NaN  0.685679                 NaN  0.412792                 NaN            NaN            NaN
  1369.05        2500.00        98.6166                 NaN            NaN  0.295430                 NaN  0.680010                 NaN  0.407974                 NaN            NaN            NaN
  1367.55        2500.00        98.6247                 NaN            NaN  0.303360                 NaN  0.664807                 NaN  0.407132                 NaN            NaN            NaN
  1366.06        2500.00        98.6450                 NaN            NaN  0.286694                 NaN  0.672212                 NaN  0.396091                 NaN            NaN            NaN
  1364.56        2500.00        98.6522                 NaN            NaN  0.286312                 NaN  0.666670                 NaN  0.394839                 NaN            NaN            NaN
  1363.07        2500.00        98.6676                 NaN            NaN  0.286684                 NaN  0.653714                 NaN  0.392000                 NaN            NaN            NaN
  1361.57        2500.00        98.6928                 NaN            NaN  0.275792                 NaN  0.650965                 NaN  0.380439                 NaN            NaN            NaN
  1360.08        2500.00        98.6798                 NaN            NaN  0.290700                 NaN  0.642878                 NaN  0.386599                 NaN            NaN            NaN
  1358.59        2500.00        98.7159                 NaN            NaN  0.255460                 NaN  0.658011                 NaN  0.370647                 NaN            NaN            NaN
  1357.09        2500.00        98.7148                 NaN            NaN  0.271611                 NaN  0.640374                 NaN  0.373173                 NaN            NaN            NaN
  1355.60        2500.00        98.7183                 NaN            NaN  0.274690                 NaN  0.634369                 NaN  0.372652                 NaN            NaN            NaN
  1354.10        2500.00        98.7505                 NaN            NaN  0.258690                 NaN  0.631586                 NaN  0.359184                 NaN            NaN            NaN
  1352.61        2500.00        98.7485                 NaN            NaN  0.257700                 NaN  0.633606                 NaN  0.360160                 NaN            NaN            NaN
  1351.12        2500.00        98.7600                 NaN            NaN  0.254873                 NaN  0.628968                 NaN  0.356144                 NaN            NaN            NaN
  1349.62        2500.00        98.7618                 NaN            NaN  0.239924                 NaN  0.644337                 NaN  0.353889                 NaN            NaN            NaN
  1348.13        2500.00        98.7997                 NaN            NaN  0.228946                 NaN  0.631427                 NaN  0.339882                 NaN            NaN            NaN
  1346.63        2500.00        98.7738                 NaN            NaN  0.263956                 NaN  0.607481                 NaN  0.354737                 NaN            NaN            NaN
  1345.14        2500.00        98.7885                 NaN            NaN  0.264743                 NaN  0.600408                 NaN  0.346368                 NaN            NaN            NaN
  1343.65        2500.00        98.8303                 NaN            NaN  0.211486                 NaN  0.629585                 NaN  0.328610                 NaN            NaN            NaN
  1342.15        2500.00        98.8221                 NaN            NaN  0.234056                 NaN  0.610358                 NaN  0.333486                 NaN            NaN            NaN
  1340.66        2500.00        98.8312                 NaN            NaN  0.230651                 NaN  0.607929                 NaN  0.330227                 NaN            NaN            NaN
  1339.16        2500.00        98.8391                 NaN            NaN  0.233892                 NaN  0.598967                 NaN  0.328005                 NaN            NaN            NaN
  1337.67        2500.00        98.8491                 NaN            NaN  0.224639                 NaN  0.602265                 NaN  0.323981                 NaN            NaN            NaN
  1336.17        2500.00        98.8552                 NaN            NaN  0.215395                 NaN  0.609547                 NaN  0.319896                 NaN            NaN            NaN
  1334.68        2500.00        98.8398                 NaN            NaN  0.212403                 NaN  0.612770                 NaN  0.322388       0.126276E-001            NaN            NaN
  1333.19        2500.00        98.7340                 NaN            NaN  0.197809                 NaN  0.653708                 NaN  0.343254       0.712686E-001            NaN            NaN
  1331.69        2500.00        98.7560                 NaN            NaN  0.184121                 NaN  0.654157                 NaN  0.335607       0.701628E-001            NaN            NaN
  1330.20        2500.00        98.7568                 NaN            NaN  0.203638                 NaN  0.633449                 NaN  0.338031       0.680948E-001            NaN            NaN
  1328.70        2500.00        98.7790                 NaN            NaN  0.192215                 NaN  0.631071                 NaN  0.330526       0.671725E-001            NaN            NaN
  1327.21        2500.00        98.7931                 NaN            NaN  0.190387                 NaN  0.624185                 NaN  0.326484       0.658561E-001            NaN            NaN
  1325.72        2500.00        98.8078                 NaN            NaN  0.187057                 NaN  0.618380                 NaN  0.322300       0.644664E-001            NaN            NaN
  1324.22        2500.00        98.8214                 NaN            NaN  0.185459                 NaN  0.611552                 NaN  0.318371       0.632017E-001            NaN            NaN
  1322.73        2500.00        98.8341                 NaN            NaN  0.181969                 NaN  0.607444                 NaN  0.314590       0.618483E-001            NaN            NaN
  1321.23        2500.00        98.8496                 NaN            NaN  0.184750                 NaN  0.593848                 NaN  0.310895       0.609234E-001            NaN            NaN
  1319.74        2500.00        98.8618                 NaN            NaN  0.175643                 NaN  0.597102                 NaN  0.306220       0.592436E-001            NaN            NaN
  1318.25        2500.00        98.8738                 NaN            NaN  0.173378                 NaN  0.591583                 NaN  0.303132       0.580731E-001            NaN            NaN
  1316.75        2500.00        98.8881                 NaN            NaN  0.171394                 NaN  0.584734                 NaN  0.298909       0.568633E-001            NaN            NaN
  1315.26        2500.00        98.9008                 NaN            NaN  0.167934                 NaN  0.580294                 NaN  0.295310       0.556231E-001            NaN            NaN
  1313.76        2500.00        98.9133                 NaN            NaN  0.166069                 NaN  0.574311                 NaN  0.291786       0.545125E-001            NaN            NaN
  1312.27        2500.00        98.9240                 NaN            NaN  0.162034                 NaN  0.572373                 NaN  0.288365       0.532351E-001            NaN            NaN
  1310.77        2500.00        98.9366                 NaN            NaN  0.158298                 NaN  0.568256                 NaN  0.284778       0.520454E-001            NaN            NaN
  1309.28        2500.00        98.9413                 NaN            NaN  0.151362                 NaN  0.571271                 NaN  0.284661       0.513561E-001            NaN            NaN
  1307.79        2500.00        98.9667                 NaN            NaN  0.149453                 NaN  0.560403                 NaN  0.274446       0.489782E-001            NaN            NaN
  1306.29        2500.00        98.9718                 NaN            NaN  0.149896                 NaN  0.555085                 NaN  0.274532       0.486560E-001            NaN            NaN
  1304.80        2500.00        98.9835                 NaN            NaN  0.147945                 NaN  0.549632                 NaN  0.271337       0.476309E-001            NaN            NaN
  1303.30        2500.00        98.9958                 NaN            NaN  0.149474                 NaN  0.537655                 NaN  0.270143       0.469771E-001            NaN            NaN
  1301.81        2500.00        80.8716                 NaN            NaN   1.24548                 NaN   4.67602                 NaN   2.58974       0.634594        9.98259                 NaN
  1300.32        2500.00        71.6632                 NaN            NaN   1.86471                 NaN   6.84100                 NaN   3.76510       0.909260        14.9567                 NaN
  1298.82        2500.00        74.8869                 NaN            NaN   1.66855                 NaN   6.19093                 NaN   3.34443       0.784892        13.1243                 NaN
  1297.33        2500.00        77.8094                 NaN            NaN   1.47077                 NaN   5.59477                 NaN   2.96297       0.676716        11.4854                 NaN
  1295.83        2500.00        80.4088                 NaN            NaN   1.27983                 NaN   5.05732                 NaN   2.62269       0.584095        10.0472                 NaN
  1294.34        2500.00        82.6606                 NaN            NaN   1.09667                 NaN   4.58311                 NaN   2.32780       0.507336        8.82449                 NaN
  1292.85        2500.00        80.1284                 NaN            NaN   1.24215                 NaN   5.28766                 NaN   2.68543       0.579058        10.0773                 NaN
  1291.35        2500.00        91.5534                 NaN            NaN  0.434954                 NaN   2.46436                 NaN   1.12907       0.232318        4.18586                 NaN
  1289.86        2500.00        87.5168                 NaN            NaN  0.727209                 NaN   3.54254                 NaN   1.68853       0.343090        6.18181                 NaN
  1288.36        2500.00        88.1082                 NaN            NaN  0.679943                 NaN   3.40062                 NaN   1.61446       0.326944        5.86981                 NaN
  1286.87        2500.00        89.9149                 NaN            NaN  0.473729                 NaN   3.06235                 NaN   1.36547       0.267894        4.91568                 NaN
  1285.38        2500.00        90.3817                 NaN            NaN  0.432770                 NaN   2.94111                 NaN   1.30983       0.253521        4.68104                 NaN
