|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.25/GRV/GRV_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1469.15        2500.00        99.1232                 NaN            NaN  0.468785E-001  0.102289E-002  0.144194       0.684692                 NaN            NaN            NaN            NaN
  1467.66        2500.00        99.1623                 NaN            NaN  0.464108E-001  0.945008E-003  0.139274       0.651104                 NaN            NaN            NaN            NaN
  1466.16        2500.00        99.1521                 NaN            NaN  0.450084E-001  0.906604E-003  0.141219       0.660792                 NaN            NaN            NaN            NaN
  1464.67        2500.00        99.1577                 NaN            NaN  0.442156E-001  0.869360E-003  0.655762       0.141423                 NaN            NaN            NaN            NaN
  1463.17        2500.00        99.1637                 NaN            NaN  0.425789E-001  0.817501E-003  0.143921       0.649001                 NaN            NaN            NaN            NaN
  1461.68        2500.00        99.1697                 NaN            NaN  0.419441E-001  0.772240E-003  0.643250       0.144372                 NaN            NaN            NaN            NaN
  1460.19        2500.00        99.1689                 NaN            NaN  0.414947E-001  0.733256E-003  0.641551       0.147361                 NaN            NaN            NaN            NaN
  1458.69        2500.00        99.1885                 NaN            NaN  0.389215E-001  0.696201E-003  0.622237       0.149682                 NaN            NaN            NaN            NaN
  1457.20        2500.00        99.1891                 NaN            NaN  0.391060E-001  0.647992E-003  0.624187       0.146992                 NaN            NaN            NaN            NaN
  1455.70        2500.00        99.1848                 NaN            NaN  0.326581E-001  0.622323E-003  0.619671       0.162230                 NaN            NaN            NaN            NaN
  1454.21        2500.00        99.2066                 NaN            NaN  0.422613E-001  0.558410E-003  0.138355       0.612235                 NaN            NaN            NaN            NaN
  1452.72        2500.00        99.2033                 NaN            NaN  0.359559E-001  0.530664E-003  0.609494       0.150703                 NaN            NaN            NaN            NaN
  1451.22        2500.00        99.3516                 NaN            NaN  0.436883E-001  0.364109E-003  0.514244       0.900721E-001            NaN            NaN            NaN            NaN
  1449.73        2500.00        99.0678                 NaN            NaN  0.253254E-001  0.582679E-003  0.210633       0.695671                 NaN            NaN            NaN            NaN
  1448.23        2500.00        99.2057                 NaN            NaN  0.340442E-001  0.422755E-003  0.608340       0.151447                 NaN            NaN            NaN            NaN
  1446.74        2500.00        99.2357                 NaN            NaN  0.315565E-001  0.390424E-003  0.153854       0.578481                 NaN            NaN            NaN            NaN
  1445.24        2500.00        99.2277                 NaN            NaN  0.315492E-001  0.350912E-003  0.587306       0.153137                 NaN            NaN            NaN            NaN
  1443.75        2500.00        99.2325                 NaN            NaN  0.305374E-001  0.317516E-003  0.154286       0.582405                 NaN            NaN            NaN            NaN
  1442.26        2500.00        99.2355                 NaN            NaN  0.294448E-001  0.292231E-003  0.156917       0.577837                 NaN            NaN            NaN            NaN
  1440.76        2500.00        99.2376                 NaN            NaN  0.258534E-001  0.270240E-003  0.569659       0.166581                 NaN            NaN            NaN            NaN
  1439.27        2500.00        99.2755                 NaN            NaN  0.706190E-001            NaN  0.653929                 NaN            NaN            NaN            NaN            NaN
  1437.77        2500.00        99.2339                 NaN            NaN  0.338222E-001  0.309811E-003  0.529876       0.202134                 NaN            NaN            NaN            NaN
  1436.28        2500.00        99.2571                 NaN            NaN  0.397338E-001  0.129185E-003  0.571920       0.131122                 NaN            NaN            NaN            NaN
  1434.79        2500.00        99.2504                 NaN            NaN            NaN  0.186061E-003  0.207032       0.542369                 NaN            NaN            NaN            NaN
  1433.29        2500.00        99.2634                 NaN            NaN  0.353741E-001  0.469674E-004  0.565402       0.135767                 NaN            NaN            NaN            NaN
  1431.80        2500.00        99.2565                 NaN            NaN            NaN  0.128471E-003  0.205299       0.538095                 NaN            NaN            NaN            NaN
  1430.30        2500.00        99.2598                 NaN            NaN  0.174544E-002  0.711704E-004  0.200471       0.537934                 NaN            NaN            NaN            NaN
  1428.81        2500.00        99.2696                 NaN            NaN  0.221266E-001  0.319194E-004  0.549461       0.158802                 NaN            NaN            NaN            NaN
  1427.32        2500.00        99.2733                 NaN            NaN  0.215828E-001  0.528131E-005  0.546779       0.158372                 NaN            NaN            NaN            NaN
  1425.82        2500.00        99.2761                 NaN            NaN  0.208264E-001  0.323226E-004  0.159389       0.543614                 NaN            NaN            NaN            NaN
  1424.33        2500.00        98.5526                 NaN            NaN  0.176712       0.106891E-002  0.652857       0.206862       0.409872                 NaN            NaN            NaN
  1422.83        2500.00        98.0560                 NaN            NaN  0.289020                 NaN  0.218893       0.741165       0.694921                 NaN            NaN            NaN
  1421.34        2500.00        98.0887                 NaN            NaN  0.287941                 NaN  0.734967       0.204700       0.683674                 NaN            NaN            NaN
  1419.84        2500.00        98.1163                 NaN            NaN  0.287503                 NaN  0.732398       0.189442       0.674404                 NaN            NaN            NaN
  1418.35        2500.00        98.1484                 NaN            NaN  0.286003                 NaN  0.174933       0.726995       0.663665                 NaN            NaN            NaN
  1416.86        2500.00        98.1766                 NaN            NaN  0.285272                 NaN  0.159918       0.724451       0.653778                 NaN            NaN            NaN
  1415.36        2500.00        98.2068                 NaN            NaN  0.283921                 NaN  0.717839       0.148009       0.643389                 NaN            NaN            NaN
  1413.87        2500.00        98.2336                 NaN            NaN  0.283220                 NaN  0.134321       0.714539       0.634293                 NaN            NaN            NaN
  1412.37        2500.00        98.2600                 NaN            NaN  0.282186                 NaN  0.120972       0.711643       0.625192                 NaN            NaN            NaN
  1410.88        2500.00        98.2861                 NaN            NaN  0.281792                 NaN  0.106139       0.709358       0.616650                 NaN            NaN            NaN
  1409.39        2500.00        98.3126                 NaN            NaN  0.279507                 NaN  0.971587E-001  0.703958       0.606781                 NaN            NaN            NaN
  1407.89        2500.00        98.3372                 NaN            NaN  0.278820                 NaN  0.814387E-001  0.703995       0.598533                 NaN            NaN            NaN
  1406.40        2500.00        98.3607                 NaN            NaN  0.277865                 NaN  0.690398E-001  0.702071       0.590350                 NaN            NaN            NaN
  1404.90        2500.00        98.3686                 NaN            NaN  0.282312                 NaN  0.565893E-001  0.702672       0.589797                 NaN            NaN            NaN
  1403.41        2500.00        98.4228                 NaN            NaN  0.270426                 NaN  0.687773       0.521638E-001  0.566881                 NaN            NaN            NaN
  1401.92        2500.00        98.4274                 NaN            NaN  0.276613                 NaN  0.692187       0.356151E-001  0.568137                 NaN            NaN            NaN
  1400.42        2500.00        98.4630                 NaN            NaN  0.270154                 NaN  0.690842       0.226230E-001  0.553409                 NaN            NaN            NaN
  1398.93        2500.00        98.4732                 NaN            NaN  0.270928                 NaN  0.109878E-001  0.694372       0.550477                 NaN            NaN            NaN
  1397.43        2500.00        98.4894                 NaN            NaN  0.265684                 NaN  0.177858E-001  0.683195       0.543894                 NaN            NaN            NaN
  1395.94        2500.00        98.5091                 NaN            NaN  0.263799                 NaN  0.690216                 NaN  0.536906                 NaN            NaN            NaN
  1394.45        2500.00        98.5366                 NaN            NaN  0.264783                 NaN  0.670881                 NaN  0.527689                 NaN            NaN            NaN
  1392.95        2500.00        98.5506                 NaN            NaN  0.257593                 NaN  0.670533                 NaN  0.521255                 NaN            NaN            NaN
  1391.46        2500.00        98.5670                 NaN            NaN  0.252612                 NaN  0.665939                 NaN  0.514497                 NaN            NaN            NaN
  1389.96        2500.00        98.5884                 NaN            NaN  0.254377                 NaN  0.649746                 NaN  0.507504                 NaN            NaN            NaN
  1388.47        2500.00        98.6037                 NaN            NaN  0.245334                 NaN  0.650680                 NaN  0.500302                 NaN            NaN            NaN
  1386.97        2500.00        98.6212                 NaN            NaN  0.240675                 NaN  0.644711                 NaN  0.493447                 NaN            NaN            NaN
  1385.48        2500.00        98.6218                 NaN            NaN  0.213961                 NaN  0.588386       0.886190E-001  0.487284                 NaN            NaN            NaN
  1383.99        2500.00        98.6615                 NaN            NaN  0.238243                 NaN  0.621658                 NaN  0.478625                 NaN            NaN            NaN
  1382.49        2500.00        98.6736                 NaN            NaN  0.235802                 NaN  0.616404                 NaN  0.474169                 NaN            NaN            NaN
  1381.00        2500.00        98.6897                 NaN            NaN  0.235064                 NaN  0.606919                 NaN  0.468350                 NaN            NaN            NaN
  1379.50        2500.00        98.7065                 NaN            NaN  0.233943                 NaN  0.596939                 NaN  0.462631                 NaN            NaN            NaN
  1378.01        2500.00        98.7199                 NaN            NaN  0.225890                 NaN  0.598396                 NaN  0.455840                 NaN            NaN            NaN
  1376.52        2500.00        98.7360                 NaN            NaN  0.225624                 NaN  0.588142                 NaN  0.450218                 NaN            NaN            NaN
  1375.02        2500.00        98.7469                 NaN            NaN  0.220838                 NaN  0.587025                 NaN  0.445264                 NaN            NaN            NaN
  1373.53        2500.00        98.7644                 NaN            NaN  0.219171                 NaN  0.577348                 NaN  0.439045                 NaN            NaN            NaN
  1372.03        2500.00        98.7819                 NaN            NaN  0.219258                 NaN  0.566019                 NaN  0.432842                 NaN            NaN            NaN
  1370.54        2500.00        98.7941                 NaN            NaN  0.215315                 NaN  0.563005                 NaN  0.427606                 NaN            NaN            NaN
  1369.05        2500.00        98.8079                 NaN            NaN  0.212339                 NaN  0.557537                 NaN  0.422228                 NaN            NaN            NaN
  1367.55        2500.00        98.8171                 NaN            NaN  0.217491                 NaN  0.544473                 NaN  0.420964                 NaN            NaN            NaN
  1366.06        2500.00        98.8361                 NaN            NaN  0.205127                 NaN  0.549639                 NaN  0.409163                 NaN            NaN            NaN
  1364.56        2500.00        98.8439                 NaN            NaN  0.204355                 NaN  0.544245                 NaN  0.407488                 NaN            NaN            NaN
  1363.07        2500.00        98.8582                 NaN            NaN  0.204429                 NaN  0.533187                 NaN  0.404170                 NaN            NaN            NaN
  1361.57        2500.00        98.8822                 NaN            NaN  0.196036                 NaN  0.529853                 NaN  0.391875                 NaN            NaN            NaN
  1360.08        2500.00        98.8735                 NaN            NaN  0.206165                 NaN  0.522482                 NaN  0.397843                 NaN            NaN            NaN
  1358.59        2500.00        98.9042                 NaN            NaN  0.180782                 NaN  0.534007                 NaN  0.381050                 NaN            NaN            NaN
  1357.09        2500.00        98.9059                 NaN            NaN  0.191807                 NaN  0.519006                 NaN  0.383284                 NaN            NaN            NaN
  1355.60        2500.00        98.9103                 NaN            NaN  0.193508                 NaN  0.513857                 NaN  0.382374                 NaN            NaN            NaN
  1354.10        2500.00        98.9396                 NaN            NaN  0.181901                 NaN  0.510356                 NaN  0.368185                 NaN            NaN            NaN
  1352.61        2500.00        98.9393                 NaN            NaN  0.180780                 NaN  0.511122                 NaN  0.368826                 NaN            NaN            NaN
  1351.12        2500.00        98.9505                 NaN            NaN  0.178433                 NaN  0.506672                 NaN  0.364350                 NaN            NaN            NaN
  1349.62        2500.00        98.9528                 NaN            NaN  0.167739                 NaN  0.517742                 NaN  0.361686                 NaN            NaN            NaN
  1348.13        2500.00        98.9862                 NaN            NaN  0.159619                 NaN  0.507161                 NaN  0.347020                 NaN            NaN            NaN
  1346.63        2500.00        98.9674                 NaN            NaN  0.183649                 NaN  0.487157                 NaN  0.361834                 NaN            NaN            NaN
  1345.14        2500.00        98.9825                 NaN            NaN  0.183768                 NaN  0.480761                 NaN  0.352925                 NaN            NaN            NaN
  1343.65        2500.00        99.0156                 NaN            NaN  0.146495                 NaN  0.503403                 NaN  0.334479                 NaN            NaN            NaN
  1342.15        2500.00        99.0117                 NaN            NaN  0.161784                 NaN  0.487417                 NaN  0.339111                 NaN            NaN            NaN
  1340.66        2500.00        99.0208                 NaN            NaN  0.159133                 NaN  0.484621                 NaN  0.335453                 NaN            NaN            NaN
  1339.16        2500.00        99.0291                 NaN            NaN  0.161018                 NaN  0.477065                 NaN  0.332853                 NaN            NaN            NaN
  1337.67        2500.00        99.0386                 NaN            NaN  0.154303                 NaN  0.478645                 NaN  0.328429                 NaN            NaN            NaN
  1336.17        2500.00        99.0449                 NaN            NaN  0.147672                 NaN  0.483518                 NaN  0.323954                 NaN            NaN            NaN
  1334.68        2500.00        99.0356                 NaN            NaN  0.145323                 NaN  0.485447                 NaN  0.326143       0.746686E-002            NaN            NaN
  1333.19        2500.00        98.9587                 NaN            NaN  0.135067                 NaN  0.517267                 NaN  0.346889       0.420970E-001            NaN            NaN
  1331.69        2500.00        98.9777                 NaN            NaN  0.125420                 NaN  0.516802                 NaN  0.338704       0.413872E-001            NaN            NaN
  1330.20        2500.00        98.9812                 NaN            NaN  0.138400                 NaN  0.499548                 NaN  0.340696       0.401131E-001            NaN            NaN
  1328.70        2500.00        99.0005                 NaN            NaN  0.130345                 NaN  0.496925                 NaN  0.332677       0.395149E-001            NaN            NaN
  1327.21        2500.00        99.0136                 NaN            NaN  0.128808                 NaN  0.490703                 NaN  0.328166       0.386876E-001            NaN            NaN
  1325.72        2500.00        99.0271                 NaN            NaN  0.126276                 NaN  0.485314                 NaN  0.323525       0.378196E-001            NaN            NaN
  1324.22        2500.00        99.0397                 NaN            NaN  0.124917                 NaN  0.479155                 NaN  0.319152       0.370272E-001            NaN            NaN
  1322.73        2500.00        99.0515                 NaN            NaN  0.122298                 NaN  0.475065                 NaN  0.314940       0.361851E-001            NaN            NaN
  1321.23        2500.00        99.0658                 NaN            NaN  0.123886                 NaN  0.463882                 NaN  0.310823       0.355954E-001            NaN            NaN
  1319.74        2500.00        99.0767                 NaN            NaN  0.117537                 NaN  0.465463                 NaN  0.305741       0.345671E-001            NaN            NaN
  1318.25        2500.00        99.0878                 NaN            NaN  0.115764                 NaN  0.460339                 NaN  0.302256       0.338385E-001            NaN            NaN
  1316.75        2500.00        99.1007                 NaN            NaN  0.114185                 NaN  0.454356                 NaN  0.297650       0.330889E-001            NaN            NaN
  1315.26        2500.00        99.1122                 NaN            NaN  0.111650                 NaN  0.450111                 NaN  0.293678       0.323238E-001            NaN            NaN
  1313.76        2500.00        99.1236                 NaN            NaN  0.110179                 NaN  0.444760                 NaN  0.289792       0.316361E-001            NaN            NaN
  1312.27        2500.00        99.1334                 NaN            NaN  0.107268                 NaN  0.442446                 NaN  0.286018       0.308537E-001            NaN            NaN
  1310.77        2500.00        99.1447                 NaN            NaN  0.104593                 NaN  0.438510                 NaN  0.282091       0.301241E-001            NaN            NaN
  1309.28        2500.00        99.1489                 NaN            NaN  0.998550E-001            NaN  0.439907                 NaN  0.281609       0.296860E-001            NaN            NaN
  1307.79        2500.00        99.1712                 NaN            NaN  0.983313E-001            NaN  0.431016                 NaN  0.271150       0.282740E-001            NaN            NaN
  1306.29        2500.00        99.1764                 NaN            NaN  0.984212E-001            NaN  0.426285                 NaN  0.270887       0.280515E-001            NaN            NaN
  1304.80        2500.00        99.1868                 NaN            NaN  0.969475E-001            NaN  0.421420                 NaN  0.267391       0.274247E-001            NaN            NaN
  1303.30        2500.00        99.1978                 NaN            NaN  0.977424E-001            NaN  0.411525                 NaN  0.265871       0.270128E-001            NaN            NaN
  1301.81        2500.00        81.9421                 NaN            NaN  0.820253                 NaN   3.61543                 NaN   2.57739       0.368993        10.6758                 NaN
  1300.32        2500.00        73.0531                 NaN            NaN   1.22918                 NaN   5.31343                 NaN   3.77162       0.532143        16.1005                 NaN
  1298.82        2500.00        76.2094                 NaN            NaN   1.09288                 NaN   4.79008                 NaN   3.34450       0.458564        14.1046                 NaN
  1297.33        2500.00        79.0599                 NaN            NaN  0.957687                 NaN   4.31116                 NaN   2.95716       0.394572        12.3195                 NaN
  1295.83        2500.00        81.5849                 NaN            NaN  0.828800                 NaN   3.88080                 NaN   2.61181       0.339814        10.7539                 NaN
  1294.34        2500.00        83.7601                 NaN            NaN  0.706855                 NaN   3.50188                 NaN   2.31275       0.294465        9.42400                 NaN
  1292.85        2500.00        81.3885                 NaN            NaN  0.799033                 NaN   4.03603                 NaN   2.67001       0.336331        10.7701                 NaN
  1291.35        2500.00        92.1889                 NaN            NaN  0.276784                 NaN   1.85739                 NaN   1.11189       0.133648        4.43142                 NaN
  1289.86        2500.00        88.4424                 NaN            NaN  0.462457                 NaN   2.67416                 NaN   1.66602       0.197746        6.55721                 NaN
  1288.36        2500.00        89.0208                 NaN            NaN  0.430864                 NaN   2.55761                 NaN   1.58955       0.188035        6.21310                 NaN
  1286.87        2500.00        90.7278                 NaN            NaN  0.299011                 NaN   2.29186                 NaN   1.34021       0.153592        5.18752                 NaN
