|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/WD94/WD94_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1520.53        500.000                 NaN   99.5290       0.470963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.08        500.000                 NaN   99.5343       0.465698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.64        500.000                 NaN   99.5370       0.462952                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.19        500.000                 NaN   99.5410       0.459004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.75        500.000                 NaN   99.5445       0.455459                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.30        500.000                 NaN   99.5224       0.477608       0.214650E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.85        500.000                 NaN   99.6561       0.316097       0.278236E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.41        500.000                 NaN   99.4751       0.524916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        500.000                 NaN   99.5588       0.441185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.52        500.000                 NaN   99.5611       0.438886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.07        500.000                 NaN   99.5806       0.374668       0.447461E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.62        500.000                 NaN   99.5571       0.442929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.18        500.000                 NaN   99.5705       0.429521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.73        500.000                 NaN   99.5551       0.444935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.29        500.000                 NaN   99.6151       0.384850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.84        500.000                 NaN   99.5558       0.444230                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.39        500.000                 NaN   99.5820       0.418027                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.95        500.000                 NaN   99.5762       0.423785                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.50        500.000                 NaN   99.5962       0.403776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        500.000                 NaN   99.5883       0.411719                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.61        500.000                 NaN   99.5925       0.407549                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.17        500.000                 NaN   99.5942       0.405778                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.72        500.000                 NaN   99.5971       0.402921                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.27        500.000                 NaN   99.6007       0.399342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.83        500.000                 NaN   99.6018       0.398198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.38        500.000                 NaN   99.5698       0.430167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.94        500.000                 NaN   99.5633       0.175467E-001            NaN            NaN  0.419150                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.49        500.000                 NaN   99.4154                 NaN            NaN            NaN  0.584593                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.04        500.000                 NaN   99.6278       0.127630                 NaN            NaN  0.244561                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.60        500.000                 NaN   99.5255                 NaN            NaN            NaN  0.474481                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.15        500.000                 NaN   99.5606       0.238486E-001            NaN            NaN  0.415540                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.71        500.000                 NaN   99.4901                 NaN            NaN            NaN  0.509879                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.26        500.000                 NaN   99.5243       0.309250E-002            NaN            NaN  0.472599                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.81        500.000                 NaN   99.5318                 NaN            NaN            NaN  0.468217                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.37        500.000                 NaN   99.5330                 NaN            NaN            NaN  0.466989                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.92        500.000                 NaN   99.5259                 NaN            NaN            NaN  0.474114                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.48        500.000                 NaN   99.5402       0.195712                 NaN            NaN  0.264100                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.03        500.000                 NaN   99.5329                 NaN            NaN            NaN  0.467106                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.58        500.000                 NaN   99.5313                 NaN            NaN            NaN  0.468702                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.14        500.000                 NaN   99.5298                 NaN            NaN            NaN  0.470194                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.69        500.000                 NaN   99.5321                 NaN            NaN            NaN  0.467903                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.25        500.000                 NaN   99.5303                 NaN            NaN            NaN  0.469708                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.80        500.000                 NaN   99.6089                 NaN            NaN            NaN  0.391140                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.35        500.000                 NaN   99.4483                 NaN            NaN            NaN  0.551665                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.91        500.000                 NaN   99.5280                 NaN            NaN            NaN  0.471973                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.46        500.000                 NaN   99.3329                 NaN            NaN            NaN  0.324424       0.342633                 NaN            NaN            NaN            NaN            NaN
  1454.02        500.000                 NaN   99.2639                 NaN            NaN            NaN  0.445995       0.290068                 NaN            NaN            NaN            NaN            NaN
  1452.57        500.000                 NaN   99.2718                 NaN            NaN            NaN  0.441484       0.286762                 NaN            NaN            NaN            NaN            NaN
  1451.13        500.000                 NaN   99.2796                 NaN            NaN            NaN  0.436418       0.284014                 NaN            NaN            NaN            NaN            NaN
  1449.68        500.000                 NaN   99.2871                 NaN            NaN            NaN  0.432734       0.280155                 NaN            NaN            NaN            NaN            NaN
  1448.23        500.000                 NaN   99.2938                 NaN            NaN            NaN  0.429010       0.277215                 NaN            NaN            NaN            NaN            NaN
  1446.79        500.000                 NaN   99.3002                 NaN            NaN            NaN  0.425788       0.274000                 NaN            NaN            NaN            NaN            NaN
  1445.34        500.000                 NaN   99.3095                 NaN            NaN            NaN  0.270761       0.419754                 NaN            NaN            NaN            NaN            NaN
  1443.90        500.000                 NaN   99.3150                 NaN            NaN            NaN  0.267467       0.417520                 NaN            NaN            NaN            NaN            NaN
  1442.45        500.000                 NaN   99.3212                 NaN            NaN            NaN  0.414076       0.264756                 NaN            NaN            NaN            NaN            NaN
  1441.00        500.000                 NaN   99.3282                 NaN            NaN            NaN  0.262180       0.409616                 NaN            NaN            NaN            NaN            NaN
  1439.56        500.000                 NaN   99.3358                 NaN            NaN            NaN  0.259160       0.405017                 NaN            NaN            NaN            NaN            NaN
  1438.11        500.000                 NaN   99.3426       0.240588E-002            NaN            NaN  0.401162       0.253825                 NaN            NaN            NaN            NaN            NaN
  1436.67        500.000                 NaN   99.3486                 NaN            NaN            NaN  0.398051       0.253362                 NaN            NaN            NaN            NaN            NaN
  1435.22        500.000                 NaN   99.3545                 NaN            NaN            NaN  0.250342       0.395189                 NaN            NaN            NaN            NaN            NaN
  1433.77        500.000                 NaN   99.3610                 NaN            NaN            NaN  0.247891       0.391137                 NaN            NaN            NaN            NaN            NaN
  1432.33        500.000                 NaN   99.3674                 NaN            NaN            NaN  0.245143       0.387424                 NaN            NaN            NaN            NaN            NaN
  1430.88        500.000                 NaN   99.3732                 NaN            NaN            NaN  0.383875       0.242893                 NaN            NaN            NaN            NaN            NaN
  1429.44        500.000                 NaN   99.3782                 NaN            NaN            NaN  0.381563       0.240244                 NaN            NaN            NaN            NaN            NaN
  1427.99        500.000                 NaN   99.3861                 NaN            NaN            NaN  0.237270       0.376625                 NaN            NaN            NaN            NaN            NaN
  1426.54        500.000                 NaN   99.1695                 NaN            NaN            NaN  0.325835       0.397348                 NaN  0.107288                 NaN            NaN            NaN
  1425.10        500.000                 NaN   98.1708                 NaN            NaN            NaN  0.735975       0.494545                 NaN  0.598677                 NaN            NaN            NaN
  1423.65        500.000                 NaN   98.2110                 NaN            NaN            NaN  0.483416       0.719551                 NaN  0.586028                 NaN            NaN            NaN
  1422.21        500.000                 NaN   98.2510                 NaN            NaN            NaN  0.472258       0.703275                 NaN  0.573457                 NaN            NaN            NaN
  1420.76        500.000                 NaN   98.2888                 NaN            NaN            NaN  0.462111       0.687667                 NaN  0.561433                 NaN            NaN            NaN
  1419.32        500.000                 NaN   98.3263                 NaN            NaN            NaN  0.451914       0.672421                 NaN  0.549412                 NaN            NaN            NaN
  1417.87        500.000                 NaN   98.3609                 NaN            NaN            NaN  0.442378       0.658321                 NaN  0.538441                 NaN            NaN            NaN
  1416.42        500.000                 NaN   98.3950                 NaN            NaN            NaN  0.644692       0.432626                 NaN  0.527646                 NaN            NaN            NaN
  1414.98        500.000                 NaN   98.4282                 NaN            NaN            NaN  0.631101       0.423708                 NaN  0.516966                 NaN            NaN            NaN
  1413.53        500.000                 NaN   98.3610                 NaN            NaN  0.144414E-001  0.472152       0.595731                 NaN  0.556673                 NaN            NaN            NaN
  1412.09        500.000                 NaN   98.3458                 NaN            NaN  0.221049E-001  0.492606       0.568342                 NaN  0.571181                 NaN            NaN            NaN
  1410.64        500.000                 NaN   98.3889                 NaN            NaN  0.213790E-001  0.553991       0.479350                 NaN  0.556399                 NaN            NaN            NaN
  1409.19        500.000                 NaN   98.4299                 NaN            NaN  0.206578E-001  0.540408       0.466641                 NaN  0.542433                 NaN            NaN            NaN
  1407.75        500.000                 NaN   98.4696                 NaN            NaN  0.199725E-001  0.454412       0.527287                 NaN  0.528768                 NaN            NaN            NaN
  1406.30        500.000                 NaN   98.5058                 NaN            NaN  0.193119E-001  0.515694       0.442898                 NaN  0.516325                 NaN            NaN            NaN
  1404.86        500.000                 NaN   98.5450                 NaN            NaN  0.186311E-001  0.502466       0.431188                 NaN  0.502722                 NaN            NaN            NaN
  1403.41        500.000                 NaN   98.5780                 NaN            NaN  0.180826E-001  0.421334       0.491168                 NaN  0.491455                 NaN            NaN            NaN
  1401.96        500.000                 NaN   98.6127                 NaN            NaN  0.174354E-001  0.410088       0.480273                 NaN  0.479492                 NaN            NaN            NaN
  1400.52        500.000                 NaN   98.6446                 NaN            NaN  0.169406E-001  0.469331       0.400574                 NaN  0.468569                 NaN            NaN            NaN
  1399.07        500.000                 NaN   98.6756                 NaN            NaN  0.163561E-001  0.459413       0.390843                 NaN  0.457763                 NaN            NaN            NaN
  1397.63        500.000                 NaN   98.7054                 NaN            NaN  0.158324E-001  0.449727       0.381542                 NaN  0.447454                 NaN            NaN            NaN
  1396.18        500.000                 NaN   98.7330                 NaN            NaN  0.152947E-001  0.372835       0.440874                 NaN  0.438038                 NaN            NaN            NaN
  1394.73        500.000                 NaN   98.7633                 NaN            NaN  0.148201E-001  0.363775       0.430774                 NaN  0.427369                 NaN            NaN            NaN
  1393.29        500.000                 NaN   98.7889                 NaN            NaN  0.143935E-001  0.422205       0.356015                 NaN  0.418532                 NaN            NaN            NaN
  1391.84        500.000                 NaN   98.8150                 NaN            NaN  0.139262E-001  0.347398       0.414072                 NaN  0.409581                 NaN            NaN            NaN
  1390.40        500.000                 NaN   98.8402                 NaN            NaN  0.134624E-001  0.406066       0.339600                 NaN  0.400712                 NaN            NaN            NaN
  1388.95        500.000                 NaN   98.8641                 NaN            NaN  0.130335E-001  0.398226       0.332245                 NaN  0.392405                 NaN            NaN            NaN
  1387.51        500.000                 NaN   98.8876                 NaN            NaN  0.126272E-001  0.324835       0.390737                 NaN  0.384197                 NaN            NaN            NaN
  1386.06        500.000                 NaN   98.9101                 NaN            NaN  0.122325E-001  0.317854       0.383441                 NaN  0.376362                 NaN            NaN            NaN
  1384.61        500.000                 NaN   98.9309                 NaN            NaN  0.118388E-001  0.311282       0.376873                 NaN  0.369132                 NaN            NaN            NaN
  1383.17        500.000                 NaN   98.9536                 NaN            NaN  0.114197E-001  0.369778       0.304122                 NaN  0.361122                 NaN            NaN            NaN
  1381.72        500.000                 NaN   98.9745                 NaN            NaN  0.110585E-001  0.297701       0.362916                 NaN  0.353790                 NaN            NaN            NaN
  1380.28        500.000                 NaN   98.9937                 NaN            NaN  0.107307E-001  0.291570       0.356844                 NaN  0.347130                 NaN            NaN            NaN
  1378.83        500.000                 NaN   99.0126                 NaN            NaN  0.103760E-001  0.285670       0.350920                 NaN  0.340450                 NaN            NaN            NaN
  1377.38        500.000                 NaN   99.0320                 NaN            NaN  0.100234E-001  0.279456       0.344828                 NaN  0.333667                 NaN            NaN            NaN
  1375.94        500.000                 NaN   99.0500                 NaN            NaN  0.971940E-002  0.273883       0.339053                 NaN  0.327331                 NaN            NaN            NaN
  1374.49        500.000                 NaN   99.0677                 NaN            NaN  0.938675E-002  0.333582       0.268226                 NaN  0.321155                 NaN            NaN            NaN
  1373.05        500.000                 NaN   99.0845                 NaN            NaN  0.906054E-002  0.262618       0.328609                 NaN  0.315213                 NaN            NaN            NaN
  1371.60        500.000                 NaN   99.1017                 NaN            NaN  0.876354E-002  0.257585       0.322822                 NaN  0.309097                 NaN            NaN            NaN
  1370.15        500.000                 NaN   99.1167                 NaN            NaN  0.843829E-002  0.318474       0.252566                 NaN  0.303802                 NaN            NaN            NaN
  1368.71        500.000                 NaN   99.1338                 NaN            NaN  0.818612E-002  0.247466       0.312729                 NaN  0.297797                 NaN            NaN            NaN
  1367.26        500.000                 NaN   99.1481                 NaN            NaN  0.791176E-002  0.242492       0.308705                 NaN  0.292826                 NaN            NaN            NaN
  1365.82        500.000                 NaN   99.1643                 NaN            NaN  0.760295E-002  0.237278       0.303824                 NaN  0.286999                 NaN            NaN            NaN
  1364.37        500.000                 NaN   99.1782                 NaN            NaN  0.735232E-002  0.232994       0.299351                 NaN  0.282056                 NaN            NaN            NaN
  1362.92        500.000                 NaN   99.1919                 NaN            NaN  0.709731E-002  0.228496       0.295215                 NaN  0.277261                 NaN            NaN            NaN
  1361.48        500.000                 NaN   99.2060                 NaN            NaN  0.683483E-002  0.224044       0.290865                 NaN  0.272241                 NaN            NaN            NaN
  1360.03        500.000                 NaN   99.2193                 NaN            NaN  0.658227E-002  0.219777       0.286862                 NaN  0.267517                 NaN            NaN            NaN
  1358.59        500.000                 NaN   99.2321                 NaN            NaN  0.631840E-002  0.215553       0.283092                 NaN  0.262986                 NaN            NaN            NaN
  1357.14        500.000                 NaN   99.2449                 NaN            NaN  0.611111E-002  0.278943       0.211637                 NaN  0.258378                 NaN            NaN            NaN
  1355.70        500.000                 NaN   99.2574                 NaN            NaN  0.585502E-002  0.207376       0.275434                 NaN  0.253968                 NaN            NaN            NaN
  1354.25        500.000                 NaN   99.2690                 NaN            NaN  0.561978E-002  0.272086       0.203481                 NaN  0.249858                 NaN            NaN            NaN
  1352.80        500.000                 NaN   99.2812                 NaN            NaN  0.537866E-002  0.268321       0.199655                 NaN  0.245431                 NaN            NaN            NaN
  1351.36        500.000                 NaN   99.2924                 NaN            NaN  0.520435E-002  0.264793       0.196073                 NaN  0.241557                 NaN            NaN            NaN
  1349.91        500.000                 NaN   99.3042                 NaN            NaN  0.495570E-002  0.261501       0.192106                 NaN  0.237241                 NaN            NaN            NaN
  1348.47        500.000                 NaN   99.3135                 NaN            NaN  0.473454E-002  0.189099       0.258675                 NaN  0.233963                 NaN            NaN            NaN
  1347.02        500.000                 NaN   99.3262                 NaN            NaN  0.451084E-002  0.255162       0.184785                 NaN  0.229315                 NaN            NaN            NaN
  1345.57        500.000                 NaN   99.3358                 NaN            NaN  0.432983E-002  0.252180       0.181787                 NaN  0.225937                 NaN            NaN            NaN
  1344.13        500.000                 NaN   99.3458                 NaN            NaN  0.412179E-002  0.249284       0.178414                 NaN  0.222347                 NaN            NaN            NaN
  1342.68        500.000                 NaN   99.3554                 NaN            NaN  0.393219E-002  0.246279       0.175550                 NaN  0.218874                 NaN            NaN            NaN
  1341.24        500.000                 NaN   99.3655                 NaN            NaN  0.371388E-002  0.243612       0.171926                 NaN  0.215264                 NaN            NaN            NaN
  1339.79        500.000                 NaN   99.3736                 NaN            NaN  0.355726E-002  0.241160       0.169269                 NaN  0.212442                 NaN            NaN            NaN
  1338.34        500.000                 NaN   99.3841                 NaN            NaN  0.333082E-002  0.165757       0.238272                 NaN  0.208535                 NaN            NaN            NaN
  1336.90        500.000                 NaN   99.3941                 NaN            NaN  0.315167E-002  0.235324       0.162435                 NaN  0.204951                 NaN            NaN            NaN
  1335.45        500.000                 NaN   99.4016                 NaN            NaN  0.299220E-002  0.233154       0.159990                 NaN  0.202274                 NaN            NaN            NaN
  1334.01        500.000                 NaN   99.4105                 NaN            NaN  0.278467E-002  0.230835       0.156794                 NaN  0.199060                 NaN            NaN            NaN
  1332.56        500.000                 NaN   99.4189                 NaN            NaN  0.261442E-002  0.228551       0.153861                 NaN  0.196041                 NaN            NaN            NaN
  1331.11        500.000                 NaN   99.4265                 NaN            NaN  0.247878E-002  0.226231       0.151378                 NaN  0.193366                 NaN            NaN            NaN
  1329.67        500.000                 NaN   99.4359                 NaN            NaN  0.227264E-002  0.148388       0.223584                 NaN  0.189895                 NaN            NaN            NaN
  1328.22        500.000                 NaN   99.4431                 NaN            NaN  0.210977E-002  0.221705       0.145794                 NaN  0.187327                 NaN            NaN            NaN
  1326.78        500.000                 NaN   99.4507                 NaN            NaN  0.194636E-002  0.143289       0.219509                 NaN  0.184550                 NaN            NaN            NaN
  1325.33        500.000                 NaN   99.4583                 NaN            NaN  0.177923E-002  0.140744       0.217377                 NaN  0.181795                 NaN            NaN            NaN
  1323.88        500.000                 NaN   99.4656                 NaN            NaN  0.162303E-002  0.215491       0.138090                 NaN  0.179165                 NaN            NaN            NaN
  1322.44        500.000                 NaN   99.4728                 NaN            NaN  0.145378E-002  0.135603       0.213597                 NaN  0.176547                 NaN            NaN            NaN
  1320.99        500.000                 NaN   99.4797                 NaN            NaN  0.130201E-002  0.211654       0.133283                 NaN  0.174019                 NaN            NaN            NaN
  1319.55        500.000                 NaN   99.4867                 NaN            NaN  0.114450E-002  0.130721       0.209886                 NaN  0.171501                 NaN            NaN            NaN
  1318.10        500.000                 NaN   99.4937                 NaN            NaN  0.989740E-003  0.128179       0.208144                 NaN  0.169009                 NaN            NaN            NaN
  1316.66        500.000                 NaN   99.5001                 NaN            NaN  0.820353E-003  0.126072       0.206393                 NaN  0.166627                 NaN            NaN            NaN
  1315.21        500.000                 NaN   99.5063                 NaN            NaN  0.692494E-003  0.124002       0.204609                 NaN  0.164383                 NaN            NaN            NaN
  1313.76        500.000                 NaN   99.5131                 NaN            NaN  0.537943E-003  0.121529       0.202916                 NaN  0.161907                 NaN            NaN            NaN
  1312.32        500.000                 NaN   99.5191                 NaN            NaN  0.367228E-003  0.201534       0.119267                 NaN  0.159694                 NaN            NaN            NaN
  1310.87        500.000                 NaN   99.5251                 NaN            NaN  0.221651E-003  0.117159       0.200016                 NaN  0.157546                 NaN            NaN            NaN
  1309.43        500.000                 NaN   99.5311                 NaN            NaN  0.869589E-004  0.115011       0.198446                 NaN  0.155356                 NaN            NaN            NaN
  1307.98        500.000                 NaN   99.5369                 NaN            NaN  0.538066E-005  0.196630       0.113198                 NaN  0.153304                 NaN            NaN            NaN
  1306.53        500.000                 NaN   99.5424                 NaN            NaN  0.419369E-003  0.112989       0.192264                 NaN  0.151918                 NaN            NaN            NaN
  1305.09        500.000                 NaN   99.5481                 NaN            NaN            NaN  0.109874       0.192494                 NaN  0.149572                 NaN            NaN            NaN
  1303.64        500.000                 NaN   99.5542                 NaN            NaN            NaN  0.190108       0.108245                 NaN  0.147403                 NaN            NaN            NaN
  1302.20        500.000                 NaN   99.5594                 NaN            NaN            NaN  0.106742       0.188124                 NaN  0.145713                 NaN            NaN            NaN
  1300.75        500.000                 NaN   99.5645                 NaN            NaN            NaN  0.105149       0.186281                 NaN  0.144024                 NaN            NaN            NaN
  1299.30        500.000                 NaN   99.5700                 NaN            NaN            NaN  0.184092       0.103810                 NaN  0.142124                 NaN            NaN            NaN
  1297.86        500.000                 NaN   99.5742                 NaN            NaN            NaN  0.102715       0.182329                 NaN  0.140788                 NaN            NaN            NaN
  1296.41        500.000                 NaN   99.5810                 NaN            NaN            NaN  0.100472       0.180090                 NaN  0.138414                 NaN            NaN            NaN
  1294.97        500.000                 NaN   99.5852                 NaN            NaN            NaN  0.993701E-001  0.178427                 NaN  0.137037                 NaN            NaN            NaN
  1293.52        500.000                 NaN   91.3217                 NaN            NaN  0.165940E-002   1.33849       0.714100                 NaN   1.00005        5.62396                 NaN            NaN
  1292.07        500.000                 NaN   89.7124                 NaN            NaN  0.856025E-002   1.50286       0.854609                 NaN   1.16743        6.75419                 NaN            NaN
  1290.63        500.000                 NaN   91.0085                 NaN            NaN  0.573003E-002   1.31388       0.748660                 NaN   1.02290        5.90030                 NaN            NaN
  1289.18        500.000                 NaN   92.0149                 NaN            NaN  0.363177E-002  0.666123        1.16657                 NaN  0.910543        5.23821                 NaN            NaN
  1287.74        500.000                 NaN   92.8258                 NaN            NaN  0.209828E-002  0.599725        1.04719                 NaN  0.819918        4.70529                 NaN            NaN
  1286.29        500.000                 NaN   93.4861                 NaN            NaN  0.927990E-003  0.546249       0.948998                 NaN  0.745825        4.27193                 NaN            NaN
  1284.85        500.000                 NaN   94.0416                 NaN            NaN  0.347554E-004  0.500783       0.866167                 NaN  0.683448        3.90794                 NaN            NaN
  1283.40        500.000                 NaN   94.5028                 NaN            NaN  0.645585E-003  0.467737       0.789248                 NaN  0.632677        3.60689                 NaN            NaN
  1281.95        500.000                 NaN   94.9226                 NaN            NaN            NaN  0.432705       0.726819                 NaN  0.584865        3.33305                 NaN            NaN
