|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.5/GRV/GRV_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1519.95        2500.00        98.7901                 NaN            NaN  0.104777       0.332262E-002   1.04987       0.519366E-001            NaN            NaN            NaN            NaN            NaN
  1518.46        2500.00        98.8018                 NaN            NaN  0.102644       0.324402E-002  0.567059E-001   1.03558                 NaN            NaN            NaN            NaN            NaN
  1516.96        2500.00        98.8172                 NaN            NaN  0.101350       0.313081E-002   1.01874       0.596221E-001            NaN            NaN            NaN            NaN            NaN
  1515.47        2500.00        98.8290                 NaN            NaN  0.977091E-001  0.306294E-002   1.00464       0.655512E-001            NaN            NaN            NaN            NaN            NaN
  1513.97        2500.00        98.8430                 NaN            NaN  0.967473E-001  0.298370E-002  0.991700       0.656034E-001            NaN            NaN            NaN            NaN            NaN
  1512.48        2500.00        98.5835                 NaN            NaN  0.544874E-001  0.398189E-002  0.329952        1.02811                 NaN            NaN            NaN            NaN            NaN
  1510.99        2500.00        99.1223                 NaN            NaN  0.912385E-001  0.206202E-002  0.784409                 NaN            NaN            NaN            NaN            NaN            NaN
  1509.49        2500.00        98.8970                 NaN            NaN  0.114514       0.253882E-002  0.985973                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        2500.00        98.9004                 NaN            NaN  0.106166       0.253156E-002  0.126786E-001  0.978223                 NaN            NaN            NaN            NaN            NaN
  1506.50        2500.00        98.9122                 NaN            NaN  0.864853E-001  0.255329E-002  0.912624       0.861662E-001            NaN            NaN            NaN            NaN            NaN
  1505.01        2500.00        98.9190                 NaN            NaN  0.846270E-001  0.248876E-002  0.904204       0.896816E-001            NaN            NaN            NaN            NaN            NaN
  1503.52        2500.00        98.9293                 NaN            NaN  0.828064E-001  0.242745E-002  0.889633       0.958414E-001            NaN            NaN            NaN            NaN            NaN
  1502.02        2500.00        98.9417                 NaN            NaN  0.810241E-001  0.234218E-002  0.947749E-001  0.880129                 NaN            NaN            NaN            NaN            NaN
  1500.53        2500.00        98.9515                 NaN            NaN  0.797002E-001  0.227554E-002  0.869406       0.971222E-001            NaN            NaN            NaN            NaN            NaN
  1499.03        2500.00        98.9646                 NaN            NaN  0.773354E-001  0.219745E-002  0.102158       0.853744                 NaN            NaN            NaN            NaN            NaN
  1497.54        2500.00        98.9686                 NaN            NaN  0.762087E-001  0.213608E-002  0.103146       0.849925                 NaN            NaN            NaN            NaN            NaN
  1496.04        2500.00        98.9879                 NaN            NaN  0.741061E-001  0.205960E-002  0.107569       0.828347                 NaN            NaN            NaN            NaN            NaN
  1494.55        2500.00        98.9938                 NaN            NaN  0.726857E-001  0.199549E-002  0.819246       0.112250                 NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00        99.0053                 NaN            NaN  0.708908E-001  0.192275E-002  0.111526       0.810364                 NaN            NaN            NaN            NaN            NaN
  1491.56        2500.00        99.0131                 NaN            NaN  0.695902E-001  0.185976E-002  0.113543       0.801895                 NaN            NaN            NaN            NaN            NaN
  1490.07        2500.00        99.0224                 NaN            NaN  0.680575E-001  0.179955E-002  0.791258       0.116472                 NaN            NaN            NaN            NaN            NaN
  1488.57        2500.00        99.0304                 NaN            NaN  0.662687E-001  0.173955E-002  0.779756       0.121795                 NaN            NaN            NaN            NaN            NaN
  1487.08        2500.00        99.0411                 NaN            NaN  0.646750E-001  0.167681E-002  0.124528       0.768051                 NaN            NaN            NaN            NaN            NaN
  1485.59        2500.00        99.0512                 NaN            NaN  0.642247E-001  0.161191E-002  0.760862       0.122057                 NaN            NaN            NaN            NaN            NaN
  1484.09        2500.00        99.0585                 NaN            NaN  0.621992E-001  0.155335E-002  0.124538       0.753254                 NaN            NaN            NaN            NaN            NaN
  1482.60        2500.00        99.0657                 NaN            NaN  0.609792E-001  0.149840E-002  0.745392       0.126437                 NaN            NaN            NaN            NaN            NaN
  1481.10        2500.00        99.0743                 NaN            NaN  0.595568E-001  0.143887E-002  0.127746       0.736909                 NaN            NaN            NaN            NaN            NaN
  1479.61        2500.00        99.0820                 NaN            NaN  0.582204E-001  0.138460E-002  0.728442       0.129999                 NaN            NaN            NaN            NaN            NaN
  1478.12        2500.00        99.0908                 NaN            NaN  0.568825E-001  0.132684E-002  0.131842       0.719118                 NaN            NaN            NaN            NaN            NaN
  1476.62        2500.00        99.0981                 NaN            NaN  0.556363E-001  0.127515E-002  0.133162       0.711835                 NaN            NaN            NaN            NaN            NaN
  1475.13        2500.00        99.1051                 NaN            NaN  0.543606E-001  0.122503E-002  0.704430       0.134931                 NaN            NaN            NaN            NaN            NaN
  1473.63        2500.00        99.1127                 NaN            NaN  0.532032E-001  0.117243E-002  0.696251       0.136697                 NaN            NaN            NaN            NaN            NaN
  1472.14        2500.00        99.1203                 NaN            NaN  0.519344E-001  0.111912E-002  0.689015       0.137639                 NaN            NaN            NaN            NaN            NaN
  1470.64        2500.00        99.1263                 NaN            NaN  0.507844E-001  0.106961E-002  0.138482       0.683315                 NaN            NaN            NaN            NaN            NaN
  1469.15        2500.00        99.1338                 NaN            NaN  0.495880E-001  0.102180E-002  0.675499       0.140124                 NaN            NaN            NaN            NaN            NaN
  1467.66        2500.00        99.1396                 NaN            NaN  0.484574E-001  0.966591E-003  0.141261       0.669756                 NaN            NaN            NaN            NaN            NaN
  1466.16        2500.00        99.1463                 NaN            NaN  0.475520E-001  0.931270E-003  0.661933       0.143244                 NaN            NaN            NaN            NaN            NaN
  1464.67        2500.00        99.1537                 NaN            NaN  0.461651E-001  0.882568E-003  0.143956       0.655284                 NaN            NaN            NaN            NaN            NaN
  1463.17        2500.00        99.1599                 NaN            NaN  0.451595E-001  0.834244E-003  0.144996       0.649154                 NaN            NaN            NaN            NaN            NaN
  1461.68        2500.00        99.1654                 NaN            NaN  0.441301E-001  0.794302E-003  0.643172       0.146480                 NaN            NaN            NaN            NaN            NaN
  1460.19        2500.00        99.1710                 NaN            NaN  0.430679E-001  0.748518E-003  0.637974       0.147257                 NaN            NaN            NaN            NaN            NaN
  1458.69        2500.00        99.1770                 NaN            NaN  0.420114E-001  0.705839E-003  0.633207       0.147029                 NaN            NaN            NaN            NaN            NaN
  1457.20        2500.00        99.1833                 NaN            NaN  0.410541E-001  0.666597E-003  0.625355       0.149628                 NaN            NaN            NaN            NaN            NaN
  1455.70        2500.00        99.1884                 NaN            NaN  0.400014E-001  0.625187E-003  0.620904       0.150026                 NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00        99.1938                 NaN            NaN  0.390850E-001  0.586807E-003  0.151077       0.615416                 NaN            NaN            NaN            NaN            NaN
  1452.72        2500.00        99.1989                 NaN            NaN  0.381002E-001  0.547056E-003  0.152162       0.610339                 NaN            NaN            NaN            NaN            NaN
  1451.22        2500.00        99.2039                 NaN            NaN  0.372285E-001  0.510443E-003  0.605754       0.152641                 NaN            NaN            NaN            NaN            NaN
  1449.73        2500.00        99.2089                 NaN            NaN  0.361773E-001  0.470691E-003  0.153515       0.600902                 NaN            NaN            NaN            NaN            NaN
  1448.23        2500.00        99.2056                 NaN            NaN  0.338929E-001  0.436132E-003  0.157173       0.602938                 NaN            NaN            NaN            NaN            NaN
  1446.74        2500.00        99.2278                 NaN            NaN  0.358784E-001  0.402943E-003  0.152100       0.583776                 NaN            NaN            NaN            NaN            NaN
  1445.24        2500.00        99.2222                 NaN            NaN  0.338537E-001  0.367960E-003  0.154924       0.588691                 NaN            NaN            NaN            NaN            NaN
  1443.75        2500.00        99.2290                 NaN            NaN  0.323589E-001  0.332080E-003  0.156531       0.581746                 NaN            NaN            NaN            NaN            NaN
  1442.26        2500.00        99.2320                 NaN            NaN  0.317491E-001  0.297406E-003  0.156581       0.579383                 NaN            NaN            NaN            NaN            NaN
  1440.76        2500.00        99.2366                 NaN            NaN  0.308161E-001  0.266221E-003  0.157282       0.575073                 NaN            NaN            NaN            NaN            NaN
  1439.27        2500.00        99.2408                 NaN            NaN  0.300908E-001  0.234058E-003  0.157614       0.571248                 NaN            NaN            NaN            NaN            NaN
  1437.77        2500.00        99.2444                 NaN            NaN  0.292052E-001  0.203676E-003  0.158127       0.568058                 NaN            NaN            NaN            NaN            NaN
  1436.28        2500.00        99.2485                 NaN            NaN  0.282944E-001  0.173790E-003  0.564264       0.158774                 NaN            NaN            NaN            NaN            NaN
  1434.79        2500.00        99.2517                 NaN            NaN  0.274183E-001  0.140667E-003  0.158759       0.561959                 NaN            NaN            NaN            NaN            NaN
  1433.29        2500.00        99.2566                 NaN            NaN  0.266775E-001  0.117684E-003  0.159755       0.556836                 NaN            NaN            NaN            NaN            NaN
  1431.80        2500.00        99.2594                 NaN            NaN  0.257832E-001  0.854611E-004  0.554838       0.159898                 NaN            NaN            NaN            NaN            NaN
  1430.30        2500.00        99.2628                 NaN            NaN  0.250622E-001  0.638321E-004  0.551523       0.160570                 NaN            NaN            NaN            NaN            NaN
  1428.81        2500.00        99.2662                 NaN            NaN  0.241555E-001  0.373726E-004  0.548576       0.161068                 NaN            NaN            NaN            NaN            NaN
  1427.32        2500.00        99.2692                 NaN            NaN  0.234910E-001  0.111177E-004  0.161336       0.545923                 NaN            NaN            NaN            NaN            NaN
  1425.82        2500.00        99.2727                 NaN            NaN  0.224367E-001  0.796775E-004  0.162172       0.542627                 NaN            NaN            NaN            NaN            NaN
  1424.33        2500.00        99.2752                 NaN            NaN  0.217803E-001            NaN  0.540827       0.162170                 NaN            NaN            NaN            NaN            NaN
  1422.83        2500.00        98.4677                 NaN            NaN  0.199916       0.706480E-003  0.662844       0.210186                 NaN  0.458601                 NaN            NaN            NaN
  1421.34        2500.00        98.0910                 NaN            NaN  0.285318       0.637503E-002  0.250350       0.687270                 NaN  0.679732                 NaN            NaN            NaN
  1419.84        2500.00        98.1158                 NaN            NaN  0.289857                 NaN  0.721913       0.200166                 NaN  0.672274                 NaN            NaN            NaN
  1418.35        2500.00        98.1369                 NaN            NaN  0.290282                 NaN  0.718306       0.188598                 NaN  0.665903                 NaN            NaN            NaN
  1416.86        2500.00        98.1646                 NaN            NaN  0.289471                 NaN  0.714994       0.174611                 NaN  0.656297                 NaN            NaN            NaN
  1415.36        2500.00        98.1946                 NaN            NaN  0.288554                 NaN  0.710022       0.160566                 NaN  0.646289                 NaN            NaN            NaN
  1413.87        2500.00        98.2222                 NaN            NaN  0.287548                 NaN  0.705900       0.147571                 NaN  0.636820                 NaN            NaN            NaN
  1412.37        2500.00        98.2489                 NaN            NaN  0.286780                 NaN  0.702127       0.134444                 NaN  0.627769                 NaN            NaN            NaN
  1410.88        2500.00        98.2733                 NaN            NaN  0.285806                 NaN  0.699889       0.121895                 NaN  0.619158                 NaN            NaN            NaN
  1409.39        2500.00        98.3002                 NaN            NaN  0.285048                 NaN  0.108983       0.695712                 NaN  0.610068                 NaN            NaN            NaN
  1407.89        2500.00        98.3245                 NaN            NaN  0.283757                 NaN  0.967301E-001  0.693494                 NaN  0.601500                 NaN            NaN            NaN
  1406.40        2500.00        98.3501                 NaN            NaN  0.282869                 NaN  0.852860E-001  0.688921                 NaN  0.592777                 NaN            NaN            NaN
  1404.90        2500.00        98.3721                 NaN            NaN  0.282042                 NaN  0.731840E-001  0.687610                 NaN  0.585079                 NaN            NaN            NaN
  1403.41        2500.00        98.3960                 NaN            NaN  0.281736                 NaN  0.682407       0.627038E-001            NaN  0.577148                 NaN            NaN            NaN
  1401.92        2500.00        98.4220                 NaN            NaN  0.278544                 NaN  0.681588       0.505084E-001            NaN  0.567378                 NaN            NaN            NaN
  1400.42        2500.00        98.4391                 NaN            NaN  0.278443                 NaN  0.681946       0.389305E-001            NaN  0.561615                 NaN            NaN            NaN
  1398.93        2500.00        98.4620                 NaN            NaN  0.277185                 NaN  0.263820E-001  0.680850                 NaN  0.553577                 NaN            NaN            NaN
  1397.43        2500.00        98.4828                 NaN            NaN  0.275962                 NaN  0.679993       0.149115E-001            NaN  0.546341                 NaN            NaN            NaN
  1395.94        2500.00        98.5032                 NaN            NaN  0.274684                 NaN  0.397338E-002  0.678936                 NaN  0.539193                 NaN            NaN            NaN
  1394.45        2500.00        98.4637                 NaN            NaN  0.170875                 NaN  0.444697       0.389868                 NaN  0.530870                 NaN            NaN            NaN
  1392.95        2500.00        98.5570                 NaN            NaN  0.273004                 NaN  0.650526                 NaN            NaN  0.519519                 NaN            NaN            NaN
  1391.46        2500.00        98.5628                 NaN            NaN  0.270360                 NaN  0.648997                 NaN            NaN  0.517824                 NaN            NaN            NaN
  1389.96        2500.00        98.5784                 NaN            NaN  0.265221                 NaN  0.645160                 NaN            NaN  0.511250                 NaN            NaN            NaN
  1388.47        2500.00        98.5983                 NaN            NaN  0.262866                 NaN  0.634635                 NaN            NaN  0.504229                 NaN            NaN            NaN
  1386.97        2500.00        98.6116                 NaN            NaN  0.257594                 NaN  0.632624                 NaN            NaN  0.498203                 NaN            NaN            NaN
  1385.48        2500.00        98.6341                 NaN            NaN  0.255228                 NaN  0.620602                 NaN            NaN  0.490095                 NaN            NaN            NaN
  1383.99        2500.00        98.6460                 NaN            NaN  0.250264                 NaN  0.619332                 NaN            NaN  0.484369                 NaN            NaN            NaN
  1382.49        2500.00        98.6668                 NaN            NaN  0.250034                 NaN  0.604995                 NaN            NaN  0.478149                 NaN            NaN            NaN
  1381.00        2500.00        98.6611                 NaN            NaN  0.252377                 NaN  0.606701                 NaN            NaN  0.479809                 NaN            NaN            NaN
  1379.50        2500.00        98.7088                 NaN            NaN  0.235727                 NaN  0.596436                 NaN            NaN  0.459070                 NaN            NaN            NaN
  1378.01        2500.00        98.6993                 NaN            NaN  0.256103                 NaN  0.576393                 NaN            NaN  0.468223                 NaN            NaN            NaN
  1376.52        2500.00        98.7422                 NaN            NaN  0.231906                 NaN  0.578996                 NaN            NaN  0.446921                 NaN            NaN            NaN
  1375.02        2500.00        98.7394                 NaN            NaN  0.231887                 NaN  0.580461                 NaN            NaN  0.448215                 NaN            NaN            NaN
  1373.53        2500.00        98.7557                 NaN            NaN  0.230069                 NaN  0.571861                 NaN            NaN  0.442351                 NaN            NaN            NaN
  1372.03        2500.00        98.7643                 NaN            NaN  0.230730                 NaN  0.564466                 NaN            NaN  0.440464                 NaN            NaN            NaN
  1370.54        2500.00        98.7907                 NaN            NaN  0.221860                 NaN  0.559620                 NaN            NaN  0.427778                 NaN            NaN            NaN
  1369.05        2500.00        98.7950                 NaN            NaN  0.220434                 NaN  0.558303                 NaN            NaN  0.426215                 NaN            NaN            NaN
  1367.55        2500.00        98.8097                 NaN            NaN  0.217074                 NaN  0.552727                 NaN            NaN  0.420497                 NaN            NaN            NaN
  1366.06        2500.00        98.8234                 NaN            NaN  0.215466                 NaN  0.545918                 NaN            NaN  0.415201                 NaN            NaN            NaN
  1364.56        2500.00        98.8328                 NaN            NaN  0.210660                 NaN  0.545333                 NaN            NaN  0.411162                 NaN            NaN            NaN
  1363.07        2500.00        98.8501                 NaN            NaN  0.209243                 NaN  0.536300                 NaN            NaN  0.404312                 NaN            NaN            NaN
  1361.57        2500.00        98.8618                 NaN            NaN  0.206741                 NaN  0.531720                 NaN            NaN  0.399765                 NaN            NaN            NaN
  1360.08        2500.00        98.8716                 NaN            NaN  0.203265                 NaN  0.529440                 NaN            NaN  0.395682                 NaN            NaN            NaN
  1358.59        2500.00        98.8846                 NaN            NaN  0.202065                 NaN  0.522479                 NaN            NaN  0.390830                 NaN            NaN            NaN
  1357.09        2500.00        98.8976                 NaN            NaN  0.199596                 NaN  0.517358                 NaN            NaN  0.385450                 NaN            NaN            NaN
  1355.60        2500.00        98.9102                 NaN            NaN  0.197056                 NaN  0.511862                 NaN            NaN  0.380892                 NaN            NaN            NaN
  1354.10        2500.00        98.9192                 NaN            NaN  0.193489                 NaN  0.510685                 NaN            NaN  0.376616                 NaN            NaN            NaN
  1352.61        2500.00        98.9301                 NaN            NaN  0.190903                 NaN  0.506786                 NaN            NaN  0.372194                 NaN            NaN            NaN
  1351.12        2500.00        98.9399                 NaN            NaN  0.187247                 NaN  0.504969                 NaN            NaN  0.367867                 NaN            NaN            NaN
  1349.62        2500.00        98.9523                 NaN            NaN  0.187938                 NaN  0.495990                 NaN            NaN  0.363767                 NaN            NaN            NaN
  1348.13        2500.00        98.9623                 NaN            NaN  0.181695                 NaN  0.497162                 NaN            NaN  0.358827                 NaN            NaN            NaN
  1346.63        2500.00        98.9710                 NaN            NaN  0.177959                 NaN  0.496142                 NaN            NaN  0.354904                 NaN            NaN            NaN
  1345.14        2500.00        98.9816                 NaN            NaN  0.177617                 NaN  0.489688                 NaN            NaN  0.351059                 NaN            NaN            NaN
  1343.65        2500.00        98.9916                 NaN            NaN  0.176920                 NaN  0.483310                 NaN            NaN  0.348216                 NaN            NaN            NaN
  1342.15        2500.00        99.0026                 NaN            NaN  0.169203                 NaN  0.486857                 NaN            NaN  0.341317                 NaN            NaN            NaN
  1340.66        2500.00        99.0108                 NaN            NaN  0.169076                 NaN  0.481088                 NaN            NaN  0.339019                 NaN            NaN            NaN
  1339.16        2500.00        99.0190                 NaN            NaN  0.165105                 NaN  0.480536                 NaN            NaN  0.335312                 NaN            NaN            NaN
  1337.67        2500.00        99.0281                 NaN            NaN  0.162473                 NaN  0.478016                 NaN            NaN  0.331402                 NaN            NaN            NaN
  1336.17        2500.00        99.0372                 NaN            NaN  0.157725                 NaN  0.477618                 NaN            NaN  0.327436                 NaN            NaN            NaN
  1334.68        2500.00        99.0217                 NaN            NaN  0.153480                 NaN  0.485370                 NaN            NaN  0.330593       0.889146E-002            NaN            NaN
  1333.19        2500.00        98.9419                 NaN            NaN  0.144629                 NaN  0.517528                 NaN            NaN  0.352429       0.435509E-001            NaN            NaN
  1331.69        2500.00        98.9578                 NaN            NaN  0.142151                 NaN  0.511308                 NaN            NaN  0.346214       0.425428E-001            NaN            NaN
  1330.20        2500.00        98.9713                 NaN            NaN  0.138896                 NaN  0.506735                 NaN            NaN  0.341544       0.415725E-001            NaN            NaN
  1328.70        2500.00        98.9884                 NaN            NaN  0.135563                 NaN  0.499676                 NaN            NaN  0.335446       0.409348E-001            NaN            NaN
  1327.21        2500.00        98.9971                 NaN            NaN  0.141918                 NaN  0.486848                 NaN            NaN  0.334171       0.399226E-001            NaN            NaN
  1325.72        2500.00        99.0126                 NaN            NaN  0.136089                 NaN  0.484146                 NaN            NaN  0.328024       0.391713E-001            NaN            NaN
  1324.22        2500.00        99.0261                 NaN            NaN  0.134274                 NaN  0.477922                 NaN            NaN  0.323406       0.383423E-001            NaN            NaN
  1322.73        2500.00        99.0384                 NaN            NaN  0.131478                 NaN  0.473674                 NaN            NaN  0.319009       0.374646E-001            NaN            NaN
  1321.23        2500.00        99.0515                 NaN            NaN  0.130058                 NaN  0.467063                 NaN            NaN  0.314718       0.367017E-001            NaN            NaN
  1319.74        2500.00        99.0635                 NaN            NaN  0.127454                 NaN  0.462895                 NaN            NaN  0.310266       0.358644E-001            NaN            NaN
  1318.25        2500.00        99.0751                 NaN            NaN  0.125241                 NaN  0.458326                 NaN            NaN  0.306227       0.350807E-001            NaN            NaN
  1316.75        2500.00        99.0876                 NaN            NaN  0.123155                 NaN  0.453032                 NaN            NaN  0.301891       0.343238E-001            NaN            NaN
  1315.26        2500.00        99.0996                 NaN            NaN  0.120903                 NaN  0.448210                 NaN            NaN  0.297738       0.335543E-001            NaN            NaN
  1313.76        2500.00        99.1107                 NaN            NaN  0.119511                 NaN  0.443045                 NaN            NaN  0.293888       0.328413E-001            NaN            NaN
  1312.27        2500.00        99.1226                 NaN            NaN  0.116317                 NaN  0.439317                 NaN            NaN  0.289663       0.320701E-001            NaN            NaN
  1310.77        2500.00        99.1329                 NaN            NaN  0.114655                 NaN  0.435078                 NaN            NaN  0.285996       0.313609E-001            NaN            NaN
  1309.28        2500.00        99.1442                 NaN            NaN  0.112207                 NaN  0.430848                 NaN            NaN  0.282091       0.306335E-001            NaN            NaN
  1307.79        2500.00        99.1549                 NaN            NaN  0.108965                 NaN  0.428078                 NaN            NaN  0.278186       0.298773E-001            NaN            NaN
  1306.29        2500.00        99.1651                 NaN            NaN  0.106902                 NaN  0.424225                 NaN            NaN  0.274614       0.291888E-001            NaN            NaN
  1304.80        2500.00        99.1762                 NaN            NaN  0.105013                 NaN  0.419445                 NaN            NaN  0.270831       0.285342E-001            NaN            NaN
