|6.6.6
Archiving\03_Data\frac/QFM_m4.5/NWA1068/NWA1068_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       pxmn           Ni             Sp(TH)         iron           O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1949.87        2500.00        99.3468       0.636247       0.169592E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00        99.3467       0.636300       0.169594E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        99.3467       0.636356       0.169597E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        99.3466       0.636405       0.169599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        99.3466       0.636458       0.169601E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        99.3465       0.636511       0.169603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        99.3465       0.636564       0.169605E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        99.3464       0.636617       0.169607E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        99.3464       0.636670       0.169610E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        99.3463       0.636723       0.169612E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        99.3463       0.636776       0.169614E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        99.3462       0.636829       0.169616E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        99.3462       0.636882       0.169619E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        99.3461       0.636935       0.169621E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        99.3460       0.636989       0.169623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        99.3460       0.637042       0.169626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        99.3459       0.637095       0.169628E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        99.3459       0.637148       0.169631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        99.3458       0.637202       0.169633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        99.3458       0.637255       0.169636E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.3457       0.637308       0.169638E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.3457       0.637362       0.169641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.3456       0.637415       0.169643E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.3456       0.637469       0.169646E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.3455       0.637518       0.169647E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.3455       0.637576       0.169651E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.3454       0.637629       0.169654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.3454       0.637683       0.169656E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.3453       0.637737       0.169659E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.3452       0.637790       0.169662E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.3452       0.637844       0.169665E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.3451       0.637898       0.169667E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.3451       0.637951       0.169670E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.3450       0.638005       0.169673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.3450       0.638053       0.169674E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.3449       0.638113       0.169679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.3449       0.638167       0.169682E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.3448       0.638221       0.169684E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.3448       0.638275       0.169687E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.3447       0.638329       0.169690E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.3446       0.638383       0.169693E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.3446       0.638437       0.169696E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.3445       0.638491       0.169699E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.3445       0.638545       0.169702E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.3444       0.638599       0.169705E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.3444       0.638653       0.169708E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.3443       0.638707       0.169711E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.3443       0.638761       0.169715E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.3442       0.638816       0.169718E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.3442       0.638870       0.169721E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.3441       0.638924       0.169724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.3440       0.638979       0.169727E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.3440       0.639033       0.169730E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.3439       0.639087       0.169734E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.3439       0.639142       0.169737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.3438       0.639196       0.169740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.3438       0.639251       0.169744E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.3437       0.639305       0.169747E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.3437       0.639360       0.169750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.3436       0.639414       0.169754E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.3436       0.639469       0.169757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.3435       0.639524       0.169760E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.3434       0.639578       0.169764E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.3434       0.639633       0.169767E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.3433       0.639688       0.169771E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.3433       0.639743       0.169774E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.3432       0.639797       0.169778E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.3432       0.639852       0.169781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.3431       0.639907       0.169785E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.3431       0.639962       0.169788E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.3430       0.640017       0.169792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.3429       0.640072       0.169796E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.3429       0.640127       0.169799E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.3428       0.640182       0.169803E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.3428       0.640237       0.169806E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.3427       0.640292       0.169810E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.3427       0.640347       0.169814E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.3426       0.640402       0.169818E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.3426       0.640457       0.169821E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.3425       0.640512       0.169825E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.3424       0.640567       0.169829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.3424       0.640629       0.169835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.3423       0.640678       0.169837E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.3423       0.640733       0.169840E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.3422       0.640789       0.169844E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.3422       0.640844       0.169848E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.3421       0.640899       0.169852E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.3421       0.640955       0.169856E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.3420       0.641010       0.169860E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.3419       0.641065       0.169864E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.3419       0.641120       0.169868E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.3418       0.641176       0.169872E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.3418       0.641232       0.169876E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.3417       0.641287       0.169880E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.3417       0.641343       0.169884E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.3416       0.641399       0.169888E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.3416       0.641454       0.169892E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.3415       0.641510       0.169896E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.3414       0.641566       0.169901E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.3414       0.641621       0.169905E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.3413       0.641677       0.169909E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.3413       0.641733       0.169913E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.3412       0.641789       0.169917E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.3369       0.641846       0.169922E-001  0.430154E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.3398       0.641935       0.169935E-001  0.126890E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.3350       0.642006       0.169943E-001  0.599943E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.3328       0.642111       0.169961E-001  0.808535E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.3327       0.642229       0.169981E-001  0.802421E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.3327       0.642346       0.170002E-001  0.796936E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.3314       0.642470       0.170024E-001  0.785109E-002  0.123009E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.3003       0.642699       0.170074E-001  0.222900E-001  0.177257E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.3299       0.642853       0.170105E-001            NaN  0.101886E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.3201       0.642958       0.170122E-001  0.113263E-002  0.188052E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.3079       0.643065       0.170140E-001  0.665291E-002  0.253235E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.0157       0.643193       0.168132E-001  0.536726E-002  0.134831E-001  0.305484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.5905                 NaN            NaN  0.109037E-001            NaN  0.398638                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        98.8895                 NaN            NaN  0.141124E-001            NaN   1.09642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.9538                 NaN            NaN  0.206512E-002            NaN  0.441550E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.5716                 NaN            NaN  0.777791E-002            NaN  0.420609                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.4703                 NaN            NaN  0.795083E-002            NaN  0.521727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.4714                 NaN            NaN  0.790883E-002            NaN  0.520722                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.4689                 NaN            NaN  0.793490E-002            NaN  0.523160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.4809                 NaN            NaN  0.776306E-002            NaN  0.511290                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.4766                 NaN            NaN  0.779031E-002            NaN  0.515602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.4776                 NaN            NaN  0.777227E-002            NaN  0.514632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.4511                 NaN            NaN  0.815372E-002            NaN  0.540708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        99.5096                 NaN            NaN  0.725806E-002            NaN  0.483121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        99.4785                 NaN            NaN  0.772018E-002            NaN  0.513811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        99.4882                 NaN            NaN  0.756084E-002            NaN  0.504252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        99.4861                 NaN            NaN  0.759012E-002            NaN  0.506271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        99.4873                 NaN            NaN  0.756921E-002            NaN  0.505109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        99.6748                 NaN            NaN  0.491100E-002            NaN  0.320278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        99.3069                 NaN            NaN  0.101293E-001            NaN  0.682951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        99.4231                 NaN            NaN  0.847253E-002            NaN  0.568442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        99.6939                 NaN            NaN  0.447555E-002            NaN  0.301656                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        99.3428                 NaN            NaN  0.927697E-002            NaN  0.647890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        99.5308                 NaN            NaN  0.727988E-002            NaN  0.461873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        99.5031                 NaN            NaN  0.728099E-002            NaN  0.489637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        99.5057                 NaN            NaN  0.725325E-002            NaN  0.487091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        99.5078                 NaN            NaN  0.720518E-002            NaN  0.484985                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        99.5102                 NaN            NaN  0.717228E-002            NaN  0.482595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        99.4681                 NaN            NaN  0.777797E-002            NaN  0.524167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        99.5597                 NaN            NaN  0.643788E-002            NaN  0.433878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        99.5192                 NaN            NaN  0.701657E-002            NaN  0.473776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        99.5207                 NaN            NaN  0.700618E-002            NaN  0.472309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        99.5240                 NaN            NaN  0.696014E-002            NaN  0.469024                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        99.5266                 NaN            NaN  0.691715E-002            NaN  0.466438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        99.9091                 NaN            NaN  0.150131E-002            NaN  0.893956E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        99.1533                 NaN            NaN  0.122047E-001            NaN  0.834482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        99.5106                 NaN            NaN  0.715034E-002            NaN  0.482288                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.7133                 NaN            NaN  0.418329E-002            NaN  0.282494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        99.3900                 NaN            NaN  0.888350E-002            NaN  0.601075                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9956                 NaN            NaN  0.146965E-001            NaN  0.989685                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00       100.0000                 NaN            NaN  0.205031E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.8111                 NaN            NaN  0.269969E-002            NaN  0.186168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.3924                 NaN            NaN  0.887782E-002            NaN  0.598751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.5572                 NaN            NaN  0.646786E-002            NaN  0.436324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        99.5598                 NaN            NaN  0.643500E-002            NaN  0.433745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.7023                 NaN            NaN  0.435362E-002            NaN  0.293396                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.4267                 NaN            NaN  0.836873E-002            NaN  0.564971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.5662                 NaN            NaN  0.634966E-002            NaN  0.427492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.5760                 NaN            NaN  0.619180E-002            NaN  0.417779                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.5751                 NaN            NaN  0.621668E-002            NaN  0.418678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.5802                 NaN            NaN  0.613620E-002            NaN  0.413679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.5822                 NaN            NaN  0.610042E-002            NaN  0.411732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        99.5852                 NaN            NaN  0.605642E-002            NaN  0.408745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        99.5887                 NaN            NaN  0.599963E-002            NaN  0.405343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        98.9253                 NaN            NaN  0.159911E-001            NaN   1.05872                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        99.7426                 NaN            NaN  0.355648E-002            NaN  0.253830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        99.7233                 NaN            NaN  0.403772E-002            NaN  0.272712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        99.6043                 NaN            NaN  0.577379E-002            NaN  0.389879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        99.6085                 NaN            NaN  0.572160E-002            NaN  0.385739                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        99.6113                 NaN            NaN  0.567242E-002            NaN  0.382996                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        99.3252                 NaN            NaN  0.652955E-002            NaN  0.188031       0.480224                 NaN            NaN            NaN            NaN            NaN            NaN
