|6.6.6
Archiving\03_Data\frac/QFM_m4.5/NWA1068/NWA1068_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       pxmn           Ni             Sp(TH)         iron           O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1676.69        2500.00        99.1580       0.779665       0.473862E-001  0.118628E-001  0.306784E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.0949       0.779848       0.473973E-001  0.336769E-001  0.442040E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.1471       0.780069       0.474108E-001            NaN  0.254102E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.1239       0.780117       0.474137E-001  0.171062E-002  0.468968E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.0992       0.780166       0.474167E-001  0.100469E-001  0.631482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        98.7833       0.780178       0.468514E-001  0.810275E-002  0.336173E-001  0.347943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.5287                 NaN            NaN  0.164958E-001            NaN  0.454828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        98.7275                 NaN            NaN  0.213504E-001            NaN   1.25118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.9464                 NaN            NaN  0.312743E-002            NaN  0.505131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.5068                 NaN            NaN  0.117842E-001            NaN  0.481375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.3901                 NaN            NaN  0.120512E-001            NaN  0.597859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.3907                 NaN            NaN  0.119965E-001            NaN  0.597302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.3873                 NaN            NaN  0.120415E-001            NaN  0.600653                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.4007                 NaN            NaN  0.117842E-001            NaN  0.587547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.3949                 NaN            NaN  0.118375E-001            NaN  0.593215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.3956                 NaN            NaN  0.118155E-001            NaN  0.592574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.3644                 NaN            NaN  0.124025E-001            NaN  0.623201                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        99.4312                 NaN            NaN  0.110482E-001            NaN  0.557709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        99.3944                 NaN            NaN  0.117572E-001            NaN  0.593842                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        99.4054                 NaN            NaN  0.115165E-001            NaN  0.583130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        99.4021                 NaN            NaN  0.115685E-001            NaN  0.586295                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        99.4029                 NaN            NaN  0.115432E-001            NaN  0.585564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        99.6208                 NaN            NaN  0.749068E-002            NaN  0.371667                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        99.1914                 NaN            NaN  0.154557E-001            NaN  0.793173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        99.3261                 NaN            NaN  0.129456E-001            NaN  0.660977                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        99.6418                 NaN            NaN  0.684061E-002            NaN  0.351333                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        99.2310                 NaN            NaN  0.141849E-001            NaN  0.754815                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        99.4499                 NaN            NaN  0.111396E-001            NaN  0.538938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        99.4168                 NaN            NaN  0.111496E-001            NaN  0.572025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        99.4193                 NaN            NaN  0.111106E-001            NaN  0.569578                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        99.4210                 NaN            NaN  0.110454E-001            NaN  0.567936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        99.4234                 NaN            NaN  0.110003E-001            NaN  0.565648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        99.3727                 NaN            NaN  0.119356E-001            NaN  0.615405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        99.4804                 NaN            NaN  0.988733E-002            NaN  0.509687                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        99.4319                 NaN            NaN  0.107822E-001            NaN  0.557277                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        99.4330                 NaN            NaN  0.107710E-001            NaN  0.556193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        99.4363                 NaN            NaN  0.107052E-001            NaN  0.552958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        99.4389                 NaN            NaN  0.106462E-001            NaN  0.550500                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        99.8921                 NaN            NaN  0.231225E-002            NaN  0.105634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.9946                 NaN            NaN  0.187881E-001            NaN  0.986632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        99.4178                 NaN            NaN  0.110230E-001            NaN  0.571214                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.6585                 NaN            NaN  0.645407E-002            NaN  0.335035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        99.2729                 NaN            NaN  0.137139E-001            NaN  0.713357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.8009                 NaN            NaN  0.226909E-001            NaN   1.17646                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00       100.0000                 NaN            NaN  0.317280E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.7739                 NaN            NaN  0.417362E-002            NaN  0.221913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.2725                 NaN            NaN  0.137305E-001            NaN  0.713744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.4690                 NaN            NaN  0.100112E-001            NaN  0.520966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        99.4715                 NaN            NaN  0.996520E-002            NaN  0.518499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.6421                 NaN            NaN  0.674652E-002            NaN  0.351190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.3101                 NaN            NaN  0.129748E-001            NaN  0.676895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.4774                 NaN            NaN  0.985061E-002            NaN  0.512795                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.4887                 NaN            NaN  0.961130E-002            NaN  0.501736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.4869                 NaN            NaN  0.965379E-002            NaN  0.503466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.4925                 NaN            NaN  0.953538E-002            NaN  0.497972                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.4942                 NaN            NaN  0.948625E-002            NaN  0.496313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        99.4973                 NaN            NaN  0.942429E-002            NaN  0.493239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        99.5008                 NaN            NaN  0.934242E-002            NaN  0.489817                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        98.6948                 NaN            NaN  0.248886E-001            NaN   1.28028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        99.6865                 NaN            NaN  0.554871E-002            NaN  0.308000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        99.6626                 NaN            NaN  0.630224E-002            NaN  0.331118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        99.5171                 NaN            NaN  0.901541E-002            NaN  0.473837                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        99.5218                 NaN            NaN  0.893563E-002            NaN  0.469313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        99.5246                 NaN            NaN  0.886637E-002            NaN  0.466543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        99.2108                 NaN            NaN  0.102011E-001            NaN  0.229228       0.549762                 NaN            NaN            NaN            NaN            NaN            NaN
