|6.6.6
Archiving\03_Data\fracLP/QFM_m4.75/Y98/Y98_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       melt(TH)       pxmn           Ni             iron           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1882.21        500.000        99.2161                 NaN  0.775620       0.832159E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.2160                 NaN  0.775679       0.832166E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.2159                 NaN  0.775739       0.832173E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.2159                 NaN  0.775798       0.832181E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.2158                 NaN  0.775858       0.832188E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.2158                 NaN  0.775918       0.832196E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.2157                 NaN  0.775977       0.832203E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.2156                 NaN  0.776037       0.832211E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.2156                 NaN  0.776097       0.832219E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.2155                 NaN  0.776157       0.832227E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.2155                 NaN  0.776216       0.832235E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.2154                 NaN  0.776276       0.832243E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.2153                 NaN  0.776336       0.832252E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.2153                 NaN  0.776396       0.832260E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.2152                 NaN  0.776456       0.832269E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.2152                 NaN  0.776516       0.832277E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.2151                 NaN  0.776576       0.832286E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.2150                 NaN  0.776636       0.832295E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.2150                 NaN  0.776696       0.832304E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.2149                 NaN  0.776757       0.832313E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.2149                 NaN  0.776817       0.832322E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.2148                 NaN  0.776877       0.832332E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.2147                 NaN  0.776938       0.832341E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.2147                 NaN  0.776998       0.832351E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.2146                 NaN  0.777058       0.832360E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.2146                 NaN  0.777119       0.832370E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.2145                 NaN  0.777179       0.832380E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.2144                 NaN  0.777240       0.832390E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.2144                 NaN  0.777300       0.832400E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.2096                 NaN  0.777393       0.832445E-002  0.464533E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.2005                 NaN  0.777516       0.832522E-002  0.136846E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.1913                 NaN  0.777639       0.832599E-002  0.226863E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.1823                 NaN  0.777761       0.832675E-002  0.316509E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.1731                 NaN  0.777884       0.832752E-002  0.406440E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.1642                 NaN  0.778005       0.832828E-002  0.494776E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.1552                 NaN  0.778127       0.832904E-002  0.583580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.1463                 NaN  0.778248       0.832980E-002  0.671593E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.1374                 NaN  0.778369       0.833055E-002  0.759322E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.1160                 NaN  0.778582       0.833228E-002  0.971257E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.1050                 NaN  0.778717       0.833319E-002  0.107935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.1109                 NaN  0.778731       0.833279E-002  0.102037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.1021                 NaN  0.778850       0.833354E-002  0.110672                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.0934                 NaN  0.778970       0.833428E-002  0.119260                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.0848                 NaN  0.779089       0.833501E-002  0.127780                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.0761                 NaN  0.779208       0.833575E-002  0.136336                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.0742                 NaN  0.779278       0.833596E-002  0.138158                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.0589                 NaN  0.779445       0.833721E-002  0.153275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.0504                 NaN  0.779563       0.833794E-002  0.161654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.0420                 NaN  0.779681       0.833866E-002  0.170012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.0335                 NaN  0.779799       0.833939E-002  0.178404                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.0251                 NaN  0.779916       0.834010E-002  0.186643                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.0167                 NaN  0.780032       0.834082E-002  0.194904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.0084                 NaN  0.780149       0.834154E-002  0.203092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.0001                 NaN  0.780265       0.834225E-002  0.211283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        98.9918                 NaN  0.780381       0.834296E-002  0.219431                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        98.9836                 NaN  0.780497       0.834366E-002  0.227532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        98.9755                 NaN  0.780612       0.834437E-002  0.235571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        98.9673                 NaN  0.780727       0.834507E-002  0.243608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        98.9592                 NaN  0.780842       0.834577E-002  0.251586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        98.9512                 NaN  0.780957       0.834646E-002  0.259532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        98.9431                 NaN  0.781071       0.834716E-002  0.267439                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        98.9351                 NaN  0.781185       0.834785E-002  0.275332                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        98.9272                 NaN  0.781299       0.834854E-002  0.283155                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        98.9193                 NaN  0.781412       0.834922E-002  0.290947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        98.9114                 NaN  0.781525       0.834991E-002  0.298710                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        98.9036                 NaN  0.781638       0.835059E-002  0.306439                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        98.8958                 NaN  0.781750       0.835127E-002  0.314118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        98.8873                 NaN  0.781868       0.835200E-002  0.322503                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        98.8803                 NaN  0.781975       0.835262E-002  0.329378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        98.8726                 NaN  0.782086       0.835329E-002  0.336963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        98.8650                 NaN  0.782198       0.835396E-002  0.344497                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        98.8573                 NaN  0.782309       0.835462E-002  0.352014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        98.8514                 NaN  0.782408       0.835516E-002  0.357848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        98.8422                 NaN  0.782530       0.835595E-002  0.366904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        98.8348                 NaN  0.782640       0.835661E-002  0.374247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        98.8273                 NaN  0.782751       0.835726E-002  0.381613                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        98.8199                 NaN  0.782860       0.835792E-002  0.388899                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        98.8125                 NaN  0.782970       0.835857E-002  0.396219                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        98.8052                 NaN  0.783079       0.835922E-002  0.403411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        98.7979                 NaN  0.783187       0.835986E-002  0.410601                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        98.7906                 NaN  0.783296       0.836051E-002  0.417759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        98.7831                 NaN  0.783405       0.836115E-002  0.424845       0.333321E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        98.7680                 NaN  0.783524       0.836191E-002  0.430995       0.916653E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        98.7617                 NaN  0.783712       0.836340E-002  0.437149       0.909141E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        98.7554                 NaN  0.783899       0.836488E-002  0.443274       0.903085E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        98.7492                 NaN  0.784085       0.836636E-002  0.449375       0.897574E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        98.7430                 NaN  0.784271       0.836783E-002  0.455442       0.890100E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        98.7369                 NaN  0.784455       0.836929E-002  0.461470       0.881715E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        98.7308                 NaN  0.784639       0.837074E-002  0.467468       0.876748E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        98.7246                 NaN  0.784822       0.837218E-002  0.473452       0.872052E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        98.7186                 NaN  0.785004       0.837361E-002  0.479379       0.861445E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        98.7125                 NaN  0.785185       0.837504E-002  0.485303       0.858907E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        98.6870                 NaN  0.785443       0.837728E-002  0.499127       0.200356E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        98.7007                 NaN  0.785681       0.837931E-002  0.501680       0.354679E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        98.6993                 NaN  0.785783       0.837989E-002  0.503536       0.302648E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        98.7011                 NaN  0.785871       0.838032E-002  0.504612                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        98.3142                 NaN  0.786032       0.818406E-002  0.497440       0.162939E-001  0.377895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.6590                 NaN            NaN            NaN            NaN  0.885721E-002  0.332191                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.4071                 NaN            NaN            NaN            NaN  0.905272E-002  0.583824                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.4080                 NaN            NaN            NaN            NaN  0.902309E-002  0.582946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.4074                 NaN            NaN            NaN            NaN  0.901713E-002  0.583629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.4109                 NaN            NaN            NaN            NaN  0.897187E-002  0.580142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.3789                 NaN            NaN            NaN            NaN  0.946681E-002  0.611672                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.4459                 NaN            NaN            NaN            NaN  0.843420E-002  0.545708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.4135                 NaN            NaN            NaN            NaN  0.892544E-002  0.577542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.0494                 NaN            NaN            NaN            NaN  0.144349E-001  0.936192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.7860                 NaN            NaN            NaN            NaN  0.325369E-002  0.210701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.4196                 NaN            NaN            NaN            NaN  0.884385E-002  0.571513                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.4221                 NaN            NaN            NaN            NaN  0.881155E-002  0.569123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.4214                 NaN            NaN            NaN            NaN  0.881602E-002  0.569749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.4294                 NaN            NaN            NaN            NaN  0.871182E-002  0.561931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.4273                 NaN            NaN            NaN            NaN  0.875980E-002  0.563929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.4331                 NaN            NaN            NaN            NaN  0.866572E-002  0.558281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        99.4347                 NaN            NaN            NaN            NaN  0.864919E-002  0.556611                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.4350                 NaN            NaN            NaN            NaN  0.867190E-002  0.556292                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.4421                 NaN            NaN            NaN            NaN  0.856376E-002  0.549365                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        99.4415                 NaN            NaN            NaN            NaN  0.859012E-002  0.549875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.4492                 NaN            NaN            NaN            NaN  0.848973E-002  0.542325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        99.4499                 NaN            NaN            NaN            NaN  0.848842E-002  0.541605                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        99.4526                 NaN            NaN            NaN            NaN  0.847909E-002  0.538910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.8473                 NaN            NaN            NaN            NaN            NaN  0.139030        1.01365                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.7065                 NaN            NaN            NaN            NaN            NaN  0.330743E-001   1.26040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.7339                 NaN            NaN            NaN            NaN            NaN  0.426546E-001   1.22347                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.7582                 NaN            NaN            NaN            NaN            NaN  0.344823E-001   1.20730                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.7650                 NaN            NaN            NaN            NaN            NaN  0.349383E-001   1.20006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.8030                 NaN            NaN            NaN            NaN            NaN  0.313452E-001   1.16570                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.6714                 NaN            NaN            NaN            NaN            NaN  0.302665E-001   1.29828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
