|6.6.6
Archiving\03_Data\eq/QFM_m4.5/NWA1068/NWA1068_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       pxmn           Ni             Sp(TH)         iron           O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        Opx(TH)        ab            
  1935.90        2500.00        99.3465       0.636542       0.169604E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.3464       0.636609       0.169607E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.3464       0.636677       0.169610E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.3463       0.636745       0.169613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.3462       0.636813       0.169616E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.3462       0.636881       0.169619E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.3461       0.636949       0.169622E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.3460       0.637017       0.169625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.3460       0.637085       0.169628E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.3459       0.637153       0.169631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.3458       0.637221       0.169634E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.3457       0.637289       0.169637E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.3457       0.637358       0.169641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.3456       0.637426       0.169644E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.3455       0.637494       0.169647E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.3455       0.637563       0.169650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.3454       0.637631       0.169654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.3453       0.637700       0.169657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        99.3453       0.637768       0.169661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        99.3452       0.637837       0.169664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        99.3451       0.637906       0.169668E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        99.3451       0.637975       0.169671E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        99.3450       0.638043       0.169675E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        99.3449       0.638112       0.169679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        99.3449       0.638181       0.169682E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        99.3448       0.638250       0.169686E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        99.3447       0.638319       0.169690E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        99.3446       0.638388       0.169694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        99.3446       0.638457       0.169697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        99.3445       0.638527       0.169701E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        99.3444       0.638596       0.169705E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        99.3444       0.638665       0.169709E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        99.3443       0.638734       0.169713E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        99.3442       0.638804       0.169717E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        99.3442       0.638873       0.169721E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        99.3441       0.638943       0.169725E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        99.3440       0.639012       0.169729E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        99.3439       0.639082       0.169733E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        99.3439       0.639151       0.169737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        99.3438       0.639221       0.169742E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        99.3437       0.639291       0.169746E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        99.3437       0.639360       0.169750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        99.3436       0.639430       0.169755E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        99.3435       0.639500       0.169759E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        99.3435       0.639570       0.169763E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        99.3434       0.639640       0.169768E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        99.3433       0.639710       0.169772E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        99.3432       0.639780       0.169777E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        99.3432       0.639850       0.169781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        99.3431       0.639920       0.169786E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        99.3430       0.639990       0.169790E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        99.3430       0.640061       0.169795E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        99.3429       0.640131       0.169799E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        99.3428       0.640201       0.169804E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        99.3427       0.640272       0.169809E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        99.3427       0.640342       0.169814E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        99.3426       0.640413       0.169818E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        99.3425       0.640483       0.169823E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        99.3425       0.640554       0.169828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        99.3424       0.640624       0.169833E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        99.3423       0.640695       0.169838E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        99.3422       0.640767       0.169843E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        99.3422       0.640838       0.169848E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        99.3421       0.640910       0.169853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        99.3420       0.640982       0.169859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        99.3420       0.641054       0.169864E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        99.3419       0.641126       0.169869E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        99.3418       0.641198       0.169875E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        99.3417       0.641270       0.169880E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        99.3417       0.641340       0.169885E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        99.3416       0.641410       0.169890E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        99.3415       0.641480       0.169895E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        99.3415       0.641550       0.169900E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        99.3414       0.641620       0.169905E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        99.3413       0.641691       0.169910E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        99.3412       0.641761       0.169915E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        99.3412       0.641831       0.169921E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        99.3373       0.641908       0.169927E-001  0.383537E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        99.3268       0.641992       0.169936E-001  0.142554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        99.3164       0.642076       0.169945E-001  0.245249E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        99.3060       0.642161       0.169954E-001  0.347973E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        99.2958       0.642245       0.169963E-001  0.450047E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        99.2637       0.642419       0.169996E-001  0.626006E-001  0.142750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        99.2524       0.642527       0.170011E-001  0.683428E-001  0.197318E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.2411       0.642635       0.170026E-001  0.740871E-001  0.251899E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        98.6245       0.642768       0.165850E-001  0.853743E-001  0.640434E-003  0.630087                 NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        97.9477       0.643042       0.161425E-001  0.957249E-001            NaN   1.29744                 NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        97.2784       0.643317       0.156990E-001  0.105903                 NaN   1.95665                 NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        96.6087       0.643589       0.152552E-001  0.116089                 NaN   2.61641                 NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        2500.00        95.9547       0.643858       0.148115E-001  0.125939                 NaN   3.26066                 NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        2500.00        95.3003       0.644124       0.143674E-001  0.135797                 NaN   3.90542                 NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        2500.00        94.6453       0.644389       0.139231E-001  0.145663                 NaN   4.55068                 NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        2500.00        93.9899       0.644652       0.134783E-001  0.155537                 NaN   5.19643                 NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        2500.00        93.3720       0.644907       0.130383E-001  0.164829                 NaN   5.80520                 NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        2500.00        92.7537       0.645160       0.125980E-001  0.174128                 NaN   6.41441                 NaN            NaN            NaN            NaN            NaN            NaN
  1631.41        2500.00        92.1349       0.645411       0.121574E-001  0.183434                 NaN   7.02407                 NaN            NaN            NaN            NaN            NaN            NaN
  1628.21        2500.00        91.5157       0.645660       0.117164E-001  0.192747                 NaN   7.63416                 NaN            NaN            NaN            NaN            NaN            NaN
  1625.00        2500.00        90.8961       0.645907       0.112752E-001  0.202066                 NaN   8.24467                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.79        2500.00        90.2760       0.646153       0.108336E-001  0.211392                 NaN   8.85562                 NaN            NaN            NaN            NaN            NaN            NaN
  1618.59        2500.00        89.6555       0.646397       0.103918E-001  0.220725                 NaN   9.46698                 NaN            NaN            NaN            NaN            NaN            NaN
  1615.38        2500.00        89.0346       0.646640       0.994963E-002  0.230065                 NaN   10.0788                 NaN            NaN            NaN            NaN            NaN            NaN
  1612.18        2500.00        88.4695       0.646870       0.952547E-002  0.238624                 NaN   10.6355                 NaN            NaN            NaN            NaN            NaN            NaN
  1608.97        2500.00        87.9041       0.647098       0.910106E-002  0.247188                 NaN   11.1925                 NaN            NaN            NaN            NaN            NaN            NaN
  1605.77        2500.00        87.3383       0.647326       0.867638E-002  0.255758                 NaN   11.7500                 NaN            NaN            NaN            NaN            NaN            NaN
  1602.56        2500.00        86.7721       0.647551       0.825145E-002  0.264334                 NaN   12.3077                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.36        2500.00        86.2057       0.647775       0.782627E-002  0.272915                 NaN   12.8658                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.15        2500.00        85.6389       0.647997       0.740084E-002  0.281501                 NaN   13.4242                 NaN            NaN            NaN            NaN            NaN            NaN
  1592.95        2500.00        85.0717       0.648217       0.697516E-002  0.290093                 NaN   13.9830                 NaN            NaN            NaN            NaN            NaN            NaN
  1589.74        2500.00        84.5042       0.648436       0.654924E-002  0.298690                 NaN   14.5421                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.54        2500.00        83.9973       0.648641       0.614742E-002  0.306551                 NaN   15.0413                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.33        2500.00        83.4902       0.648844       0.574538E-002  0.314417                 NaN   15.5408                 NaN            NaN            NaN            NaN            NaN            NaN
  1580.13        2500.00        82.9828       0.649045       0.534314E-002  0.322287                 NaN   16.0406                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00        82.4751       0.649245       0.494071E-002  0.330161                 NaN   16.5406                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.72        2500.00        81.9671       0.649444       0.453807E-002  0.338040                 NaN   17.0408                 NaN            NaN            NaN            NaN            NaN            NaN
  1570.51        2500.00        81.4590       0.649641       0.413524E-002  0.345923                 NaN   17.5413                 NaN            NaN            NaN            NaN            NaN            NaN
  1567.31        2500.00        80.9505       0.649836       0.373221E-002  0.353810                 NaN   18.0421                 NaN            NaN            NaN            NaN            NaN            NaN
  1564.10        2500.00        80.4418       0.650030       0.332900E-002  0.361700                 NaN   18.5431                 NaN            NaN            NaN            NaN            NaN            NaN
  1560.90        2500.00        79.9921       0.650211       0.295500E-002  0.368941                 NaN   18.9857                 NaN            NaN            NaN            NaN            NaN            NaN
  1557.69        2500.00        79.5423       0.650389       0.258084E-002  0.376186                 NaN   19.4286                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.49        2500.00        79.0922       0.650567       0.220653E-002  0.383433                 NaN   19.8716                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.28        2500.00        78.6419       0.650743       0.183207E-002  0.390684                 NaN   20.3148                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.08        2500.00        78.1915       0.650918       0.145746E-002  0.397938                 NaN   20.7582                 NaN            NaN            NaN            NaN            NaN            NaN
  1544.87        2500.00        77.7409       0.651091       0.108270E-002  0.405196                 NaN   21.2018                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.67        2500.00        77.2901       0.651263       0.707789E-003  0.412457                 NaN   21.6455                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.46        2500.00        76.8391       0.651434       0.332739E-003  0.419720                 NaN   22.0894                 NaN            NaN            NaN            NaN            NaN            NaN
  1535.26        2500.00        76.8098       0.651490       0.214940E-003  0.422220                 NaN   22.1162                 NaN            NaN            NaN            NaN            NaN            NaN
  1532.05        2500.00        76.0119       0.651757                 NaN  0.433574                 NaN   22.9028                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.85        2500.00        75.6131       0.651914                 NaN  0.440241                 NaN   23.2948                 NaN            NaN            NaN            NaN            NaN            NaN
  1525.64        2500.00        75.2141       0.652070                 NaN  0.446911                 NaN   23.6869                 NaN            NaN            NaN            NaN            NaN            NaN
  1522.44        2500.00        74.8277       0.652222                 NaN  0.453618                 NaN   24.0665                 NaN            NaN            NaN            NaN            NaN            NaN
  1519.23        2500.00        74.4412       0.652372                 NaN  0.460328                 NaN   24.4461                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.03        2500.00        73.7954       0.652799                 NaN  0.468160                 NaN   24.6691       0.414508                 NaN            NaN            NaN            NaN            NaN
  1512.82        2500.00        72.6000       0.653799                 NaN  0.479412                 NaN   24.6003        1.66645                 NaN            NaN            NaN            NaN            NaN
  1509.62        2500.00        71.3285       0.654880                 NaN  0.490824                 NaN   24.5449        2.98093                 NaN            NaN            NaN            NaN            NaN
  1506.41        2500.00        70.0528       0.655963                 NaN  0.502273                 NaN   24.4892        4.29974                 NaN            NaN            NaN            NaN            NaN
  1503.21        2500.00        68.7730       0.657048                 NaN  0.513761                 NaN   24.4333        5.62287                 NaN            NaN            NaN            NaN            NaN
  1500.00        2500.00        67.4891       0.658135                 NaN  0.525287                 NaN   24.3772        6.95034                 NaN            NaN            NaN            NaN            NaN
  1496.79        2500.00        66.0926       0.659328                 NaN  0.537174                 NaN   24.3564        8.35448                 NaN            NaN            NaN            NaN            NaN
  1493.59        2500.00        64.4938       0.660692                 NaN  0.548395                 NaN   24.4307       0.688829        9.17759                 NaN            NaN            NaN            NaN
  1490.38        2500.00        64.4922       0.660729                 NaN  0.548433                 NaN   24.4318       0.688857        9.17800                 NaN            NaN            NaN            NaN
  1487.18        2500.00        61.1998       0.663484                 NaN  0.569044                 NaN   24.7021        9.60320        3.26240                 NaN            NaN            NaN            NaN
  1483.97        2500.00        61.1982       0.663520                 NaN  0.569083                 NaN   24.7031        9.60360        3.26253                 NaN            NaN            NaN            NaN
  1480.77        2500.00        61.1965       0.663556                 NaN  0.569121                 NaN   24.7041        9.60400        3.26265                 NaN            NaN            NaN            NaN
  1477.56        2500.00        61.1949       0.663592                 NaN  0.569160                 NaN   24.7052        9.60440        3.26278                 NaN            NaN            NaN            NaN
  1474.36        2500.00        61.1933       0.663627                 NaN  0.569199                 NaN   24.7062        9.60480        3.26291                 NaN            NaN            NaN            NaN
  1471.15        2500.00        61.1916       0.663663                 NaN  0.569237                 NaN   24.7072        9.60520        3.26304                 NaN            NaN            NaN            NaN
  1467.95        2500.00        61.1900       0.663699                 NaN  0.569276                 NaN   24.7083        9.60560        3.26317                 NaN            NaN            NaN            NaN
  1464.74        2500.00        61.1883       0.663735                 NaN  0.569314                 NaN   24.7093        9.60601        3.26330                 NaN            NaN            NaN            NaN
  1461.54        2500.00        49.5630       0.673538                 NaN  0.661444                 NaN   25.4068        11.5391        12.1561                 NaN            NaN            NaN            NaN
  1458.33        2500.00        49.5613       0.673568                 NaN  0.661483                 NaN   25.4077        11.5395        12.1565                 NaN            NaN            NaN            NaN
  1455.13        2500.00        49.5597       0.673597                 NaN  0.661522                 NaN   25.4085        11.5398        12.1569                 NaN            NaN            NaN            NaN
  1451.92        2500.00        49.5581       0.673626                 NaN  0.661561                 NaN   25.4093        11.5401        12.1573                 NaN            NaN            NaN            NaN
  1448.72        2500.00        49.5565       0.673656                 NaN  0.661601                 NaN   25.4101        11.5405        12.1577                 NaN            NaN            NaN            NaN
  1445.51        2500.00        49.5548       0.673685                 NaN  0.661640                 NaN   25.4109        11.5408        12.1581                 NaN            NaN            NaN            NaN
  1442.31        2500.00        49.5532       0.673715                 NaN  0.661679                 NaN   25.4117        11.5412        12.1585                 NaN            NaN            NaN            NaN
  1439.10        2500.00        49.5516       0.673744                 NaN  0.661718                 NaN   25.4126        11.5415        12.1589                 NaN            NaN            NaN            NaN
  1435.90        2500.00        39.9169       0.682161                 NaN  0.781970                 NaN   25.6798        17.7712        15.1680                 NaN            NaN            NaN            NaN
  1432.69        2500.00        39.9155       0.682185                 NaN  0.782011                 NaN   25.6804        17.7716        15.1684                 NaN            NaN            NaN            NaN
  1429.49        2500.00        39.9141       0.682208                 NaN  0.782052                 NaN   25.6810        17.7720        15.1688                 NaN            NaN            NaN            NaN
  1426.28        2500.00        39.9126       0.682232                 NaN  0.782093                 NaN   25.6816        17.7723        15.1691                 NaN            NaN            NaN            NaN
  1423.08        2500.00        35.6890       0.686063                 NaN  0.860198                 NaN   25.6972        16.6376        20.4300                 NaN            NaN            NaN            NaN
  1419.87        2500.00        35.6877       0.686084                 NaN  0.860240                 NaN   25.6978        16.6379        20.4303                 NaN            NaN            NaN            NaN
  1416.67        2500.00        33.7310       0.687907                 NaN  0.904987                 NaN   25.6769        21.6432        17.3560                 NaN            NaN            NaN            NaN
  1413.46        2500.00        32.7789       0.688811                 NaN  0.928359                 NaN   25.6630        22.2350        17.7060                 NaN            NaN            NaN            NaN
  1410.26        2500.00        31.3638       0.689770                 NaN  0.939705                 NaN   25.7771        22.7501        18.1149       0.364698                 NaN            NaN            NaN
  1407.05        2500.00        31.3626       0.689788                 NaN  0.939748                 NaN   25.7775        22.7505        18.1152       0.364726                 NaN            NaN            NaN
  1403.85        2500.00        31.3615       0.689807                 NaN  0.939790                 NaN   25.7779        22.7508        18.1155       0.364753                 NaN            NaN            NaN
  1400.64        2500.00        31.3603       0.689825                 NaN  0.939833                 NaN   25.7783        22.7511        18.1158       0.364780                 NaN            NaN            NaN
  1397.44        2500.00        31.3592       0.689844                 NaN  0.939876                 NaN   25.7787        22.7515        18.1162       0.364808                 NaN            NaN            NaN
  1394.23        2500.00        31.3580       0.689862                 NaN  0.939918                 NaN   25.7791        22.7518        18.1165       0.364835                 NaN            NaN            NaN
  1391.03        2500.00        31.3569       0.689881                 NaN  0.939961                 NaN   25.7795        22.7521        18.1168       0.364862                 NaN            NaN            NaN
  1387.82        2500.00        31.3557       0.689899                 NaN  0.940004                 NaN   25.7799        22.7525        18.1171       0.364890                 NaN            NaN            NaN
  1384.62        2500.00        20.9987       0.695861                 NaN  0.959528                 NaN   26.9146        25.1118        21.1534        4.16619                 NaN            NaN            NaN
  1381.41        2500.00        20.9980       0.695873                 NaN  0.959562                 NaN   26.9147        25.1119        21.1535        4.16645                 NaN            NaN            NaN
  1378.21        2500.00        20.9972       0.695884                 NaN  0.959596                 NaN   26.9149        25.1120        21.1537        4.16672                 NaN            NaN            NaN
  1375.00        2500.00        20.9964       0.695896                 NaN  0.959630                 NaN   26.9151        25.1121        21.1539        4.16699                 NaN            NaN            NaN
  1371.79        2500.00        20.9957       0.695907                 NaN  0.959663                 NaN   26.9152        25.1122        21.1541        4.16726                 NaN            NaN            NaN
  1368.59        2500.00        20.9949       0.695919                 NaN  0.959697                 NaN   26.9154        25.1124        21.1542        4.16753                 NaN            NaN            NaN
  1365.38        2500.00        20.9941       0.695930                 NaN  0.959731                 NaN   26.9155        25.1125        21.1544        4.16780                 NaN            NaN            NaN
  1362.18        2500.00        20.9933       0.695941                 NaN  0.959765                 NaN   26.9157        25.1126        21.1546        4.16807                 NaN            NaN            NaN
  1358.97        2500.00        14.4937       0.699822                 NaN  0.979386                 NaN   27.5257        25.9772        23.4543        6.86988                 NaN            NaN            NaN
  1355.77        2500.00        14.4932       0.699829                 NaN  0.979415                 NaN   27.5257        25.9772        23.4544        6.87028                 NaN            NaN            NaN
  1352.56        2500.00        14.4927       0.699836                 NaN  0.979444                 NaN   27.5257        25.9772        23.4545        6.87069                 NaN            NaN            NaN
  1349.36        2500.00        14.4922       0.699844                 NaN  0.979472                 NaN   27.5257        25.9772        23.4545        6.87109                 NaN            NaN            NaN
