|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.75/KHA22/KHA22_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          O(HP)          O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1573.48        2500.00                 NaN   99.1602       0.817861E-001            NaN            NaN  0.757978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.00        2500.00                 NaN   99.5602       0.393312E-001            NaN            NaN  0.400425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        2500.00                 NaN   99.3725       0.577320E-001            NaN            NaN  0.569789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.05        2500.00                 NaN   99.3638       0.534453E-001            NaN            NaN  0.582771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        2500.00                 NaN   99.3823       0.548899E-001            NaN            NaN  0.562806                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.09        2500.00                 NaN   99.3493       0.580871E-001            NaN            NaN  0.592662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.61        2500.00                 NaN   99.4200       0.497535E-001            NaN            NaN  0.530268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.14        2500.00                 NaN   99.3904       0.525549E-001            NaN            NaN  0.557013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        2500.00                 NaN   99.3979       0.515686E-001            NaN            NaN  0.550505                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.18        2500.00                 NaN   99.4015       0.512421E-001            NaN            NaN  0.547260                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.70        2500.00                 NaN   99.4066       0.501501E-001            NaN            NaN  0.543252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.22        2500.00                 NaN   99.4086       0.477112E-001            NaN            NaN  0.543703                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        2500.00                 NaN   99.4155       0.476628E-001            NaN            NaN  0.536828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.27        2500.00                 NaN   99.3784       0.508434E-001            NaN            NaN  0.570790                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00                 NaN   99.4658       0.431841E-001            NaN            NaN  0.491033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.31        2500.00                 NaN   99.4214       0.719496E-001            NaN            NaN  0.506634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00                 NaN   99.4359       0.154516E-001            NaN            NaN  0.548663                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.35        2500.00                 NaN   99.4377       0.461158E-001            NaN            NaN  0.516212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        2500.00                 NaN   99.4434       0.435893E-001            NaN            NaN  0.513058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        2500.00                 NaN   99.4477       0.442240E-001            NaN            NaN  0.508125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.92        2500.00                 NaN   99.4507       0.417545E-001            NaN            NaN  0.507509                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        2500.00                 NaN   99.4189       0.444802E-001            NaN            NaN  0.536596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.96        2500.00                 NaN   99.7081       0.224907E-001            NaN            NaN  0.269378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.49        2500.00                 NaN   99.2472       0.551124E-001            NaN            NaN  0.697655                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        2500.00                 NaN   99.4660       0.531496E-001            NaN            NaN  0.480829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.53        2500.00                 NaN   99.4702       0.249857E-001            NaN            NaN  0.504771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.05        2500.00                 NaN   99.4724       0.322336E-001            NaN            NaN  0.495358                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.57        2500.00                 NaN   99.4779       0.421623E-001            NaN            NaN  0.479949                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00                 NaN   99.4818       0.374341E-001            NaN            NaN  0.480725                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.62        2500.00                 NaN   99.4842       0.356347E-001            NaN            NaN  0.480205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.14        2500.00                 NaN   99.4891       0.447783E-001            NaN            NaN  0.466145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.66        2500.00                 NaN   99.4903       0.240221E-001            NaN            NaN  0.485671                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.18        2500.00                 NaN   99.4948       0.336066E-001            NaN            NaN  0.471608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.71        2500.00                 NaN   99.4972       0.321338E-001            NaN            NaN  0.470712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        2500.00                 NaN   99.5018       0.322661E-001            NaN            NaN  0.465902                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.75        2500.00                 NaN   99.5037       0.320010E-001            NaN            NaN  0.464272                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        2500.00                 NaN   99.5080       0.294530E-001            NaN            NaN  0.462536                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.79        2500.00                 NaN   99.5109       0.304464E-001            NaN            NaN  0.458677                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        2500.00                 NaN   99.5126       0.289675E-001            NaN            NaN  0.458429                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.84        2500.00                 NaN   99.5139       0.280710E-001            NaN            NaN  0.458074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.36        2500.00                 NaN   99.5269       0.283342E-001            NaN            NaN  0.444729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.88        2500.00                 NaN   99.5236       0.272050E-001            NaN            NaN  0.449174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.40        2500.00                 NaN   99.5245       0.246166E-001            NaN            NaN  0.450851                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.93        2500.00                 NaN   99.5273       0.238253E-001            NaN            NaN  0.448876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.45        2500.00                 NaN   99.5313       0.255054E-001            NaN            NaN  0.443187                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.97        2500.00                 NaN   99.5347       0.233071E-001            NaN            NaN  0.441962                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.49        2500.00                 NaN   99.4951       0.706666E-001            NaN            NaN  0.244958       0.189238                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.01        2500.00                 NaN   99.5420       0.171374E-001            NaN            NaN  0.440844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.54        2500.00                 NaN   99.4640       0.770621E-001            NaN            NaN  0.887924E-001  0.370121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.06        2500.00                 NaN   99.4214                 NaN            NaN            NaN  0.165600       0.413001                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.58        2500.00                 NaN   99.4963                 NaN            NaN            NaN            NaN  0.503728                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.10        2500.00                 NaN   99.3382                 NaN            NaN            NaN  0.224700       0.437100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.62        2500.00                 NaN   99.3897                 NaN            NaN            NaN  0.368873E-001  0.573418                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.15        2500.00                 NaN   99.4427                 NaN            NaN            NaN  0.238471E-001  0.533491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.67        2500.00                 NaN   99.4160                 NaN            NaN            NaN            NaN  0.583980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.19        2500.00                 NaN   99.4157                 NaN            NaN            NaN            NaN  0.584288                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.71        2500.00                 NaN   99.4154       0.152545E-004            NaN            NaN            NaN  0.584586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.23        2500.00                 NaN   99.4144                 NaN            NaN            NaN            NaN  0.585586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.75        2500.00                 NaN   97.9611                 NaN            NaN            NaN            NaN   2.03886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.28        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.80        2500.00                 NaN   99.9961                 NaN            NaN            NaN            NaN  0.391021E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.32        2500.00                 NaN   99.7180                 NaN            NaN            NaN            NaN  0.281978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.84        2500.00                 NaN   99.3029                 NaN            NaN            NaN            NaN  0.322252       0.374853                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.36        2500.00                 NaN   98.9969                 NaN            NaN            NaN            NaN  0.415901       0.587162                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.89        2500.00                 NaN   99.1305                 NaN            NaN            NaN            NaN  0.358853       0.510624                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00                 NaN   99.1372                 NaN            NaN            NaN            NaN  0.356205       0.506547                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.93        2500.00                 NaN   99.1423                 NaN            NaN            NaN            NaN  0.503662       0.354050                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.45        2500.00                 NaN   99.1507                 NaN            NaN            NaN            NaN  0.350332       0.498985                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.97        2500.00                 NaN   99.1579                 NaN            NaN            NaN            NaN  0.347414       0.494650                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.50        2500.00                 NaN   99.1639                 NaN            NaN            NaN            NaN  0.344425       0.491637                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.02        2500.00                 NaN   99.1717                 NaN            NaN            NaN            NaN  0.487582       0.340733                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.54        2500.00                 NaN   99.1783                 NaN            NaN            NaN            NaN  0.484918       0.336781                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.06        2500.00                 NaN   99.1871                 NaN            NaN            NaN            NaN  0.477852       0.335005                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.58        2500.00                 NaN   99.1935                 NaN            NaN            NaN            NaN  0.331732       0.474781                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.11        2500.00                 NaN   99.1989                 NaN            NaN            NaN            NaN  0.329568       0.471581                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.63        2500.00                 NaN   99.2045                 NaN            NaN            NaN            NaN  0.468655       0.326836                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.15        2500.00                 NaN   99.2120                 NaN            NaN            NaN            NaN  0.464642       0.323329                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.67        2500.00                 NaN   99.2188                 NaN            NaN            NaN            NaN  0.460986       0.320229                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.19        2500.00                 NaN   99.2239                 NaN            NaN            NaN            NaN  0.458495       0.317642                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.72        2500.00                 NaN   99.2301                 NaN            NaN            NaN            NaN  0.455064       0.314858                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.24        2500.00                 NaN   99.2359                 NaN            NaN            NaN            NaN  0.451960       0.312108                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.76        2500.00                 NaN   99.2418                 NaN            NaN            NaN            NaN  0.448655       0.309559                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.28        2500.00                 NaN   99.2474                 NaN            NaN            NaN            NaN  0.307479       0.445120                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.80        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.33        2500.00                 NaN   98.5160                 NaN            NaN            NaN            NaN  0.603894       0.880069                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.85        2500.00                 NaN   99.2644                 NaN            NaN            NaN            NaN  0.436717       0.298844                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.37        2500.00                 NaN   99.2700                 NaN            NaN            NaN            NaN  0.433190       0.296778                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.89        2500.00                 NaN   99.2750                 NaN            NaN            NaN            NaN  0.430966       0.294082                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.41        2500.00                 NaN   99.2822                 NaN            NaN            NaN            NaN  0.291188       0.426606                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.94        2500.00                 NaN   99.2863       0.152051E-005            NaN            NaN            NaN  0.288959       0.424776                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.46        2500.00                 NaN   99.2908                 NaN            NaN            NaN            NaN  0.422502       0.286700                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.98        2500.00                 NaN   99.2963                 NaN            NaN            NaN            NaN  0.284595       0.419132                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.50        2500.00                 NaN   99.3010                 NaN            NaN            NaN            NaN  0.282253       0.416731                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.02        2500.00                 NaN   99.3063                 NaN            NaN            NaN            NaN  0.414121       0.279598                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.55        2500.00                 NaN   99.3107                 NaN            NaN            NaN            NaN  0.412334       0.276918                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.07        2500.00                 NaN   98.7619                 NaN            NaN            NaN            NaN  0.429886       0.537098                 NaN  0.271134                 NaN            NaN            NaN            NaN
  1431.59        2500.00                 NaN   98.3497                 NaN            NaN            NaN            NaN  0.733192       0.438424                 NaN  0.478713                 NaN            NaN            NaN            NaN
  1430.11        2500.00                 NaN   98.3752                 NaN            NaN            NaN            NaN  0.430572       0.722663                 NaN  0.471550                 NaN            NaN            NaN            NaN
  1428.63        2500.00                 NaN   98.4094                 NaN            NaN            NaN            NaN  0.708259       0.421104                 NaN  0.461271                 NaN            NaN            NaN            NaN
  1427.16        2500.00                 NaN   98.4349                 NaN            NaN            NaN            NaN  0.697778       0.413371                 NaN  0.453989                 NaN            NaN            NaN            NaN
  1425.68        2500.00                 NaN   98.4617       0.957896E-005            NaN            NaN            NaN  0.406252       0.685971                 NaN  0.446065                 NaN            NaN            NaN            NaN
  1424.20        2500.00                 NaN   98.4576       0.791728E-001            NaN            NaN            NaN  0.571222       0.431977                 NaN  0.460025                 NaN            NaN            NaN            NaN
  1422.72        2500.00                 NaN   98.5354       0.139145                 NaN            NaN            NaN  0.461615       0.420394                 NaN  0.443446                 NaN            NaN            NaN            NaN
  1421.24        2500.00                 NaN   98.5103       0.150069                 NaN            NaN            NaN  0.456392       0.428174                 NaN  0.455033                 NaN            NaN            NaN            NaN
  1419.76        2500.00                 NaN   98.5708       0.139896                 NaN            NaN            NaN  0.407958       0.447071                 NaN  0.434260                 NaN            NaN            NaN            NaN
  1418.29        2500.00                 NaN   98.5717       0.143329                 NaN            NaN            NaN  0.442087       0.407141                 NaN  0.435773                 NaN            NaN            NaN            NaN
  1416.81        2500.00                 NaN   98.5995       0.141536                 NaN            NaN            NaN  0.402059       0.430418                 NaN  0.426496                 NaN            NaN            NaN            NaN
  1415.33        2500.00                 NaN   98.6220       0.140229                 NaN            NaN            NaN  0.394105       0.423555                 NaN  0.420070                 NaN            NaN            NaN            NaN
  1413.85        2500.00                 NaN   98.6425       0.139297                 NaN            NaN            NaN  0.388842       0.415429                 NaN  0.413885                 NaN            NaN            NaN            NaN
  1412.37        2500.00                 NaN   98.6639       0.138427                 NaN            NaN            NaN  0.407364       0.382934                 NaN  0.407403                 NaN            NaN            NaN            NaN
  1410.90        2500.00                 NaN   98.6847       0.137402                 NaN            NaN            NaN  0.377195       0.399514                 NaN  0.401163                 NaN            NaN            NaN            NaN
  1409.42        2500.00                 NaN   98.7011       0.136807                 NaN            NaN            NaN  0.372765       0.392974                 NaN  0.396338                 NaN            NaN            NaN            NaN
  1407.94        2500.00                 NaN   98.7278       0.134441                 NaN            NaN            NaN  0.385487       0.364324                 NaN  0.387908                 NaN            NaN            NaN            NaN
  1406.46        2500.00                 NaN   98.7435       0.134920                 NaN            NaN            NaN  0.360729       0.377278                 NaN  0.383538                 NaN            NaN            NaN            NaN
  1404.98        2500.00                 NaN   98.7649       0.132180                 NaN            NaN            NaN  0.371725       0.354732                 NaN  0.376420                 NaN            NaN            NaN            NaN
  1403.51        2500.00                 NaN   98.7816       0.132207                 NaN            NaN            NaN  0.364870       0.349684                 NaN  0.371664                 NaN            NaN            NaN            NaN
  1402.03        2500.00                 NaN   98.7977       0.131556                 NaN            NaN            NaN  0.358036       0.345845                 NaN  0.366884                 NaN            NaN            NaN            NaN
  1400.55        2500.00                 NaN   98.8180       0.129291                 NaN            NaN            NaN  0.352867       0.339553                 NaN  0.360288                 NaN            NaN            NaN            NaN
  1399.07        2500.00                 NaN   98.8345       0.129075                 NaN            NaN            NaN  0.334891       0.346088                 NaN  0.355400                 NaN            NaN            NaN            NaN
  1397.59        2500.00                 NaN   98.8507       0.128001                 NaN            NaN            NaN  0.330651       0.340139                 NaN  0.350544                 NaN            NaN            NaN            NaN
  1396.12        2500.00                 NaN   98.8670       0.126836                 NaN            NaN            NaN  0.325389       0.335308                 NaN  0.345475                 NaN            NaN            NaN            NaN
  1394.64        2500.00                 NaN   98.8829       0.125937                 NaN            NaN            NaN  0.329293       0.321324                 NaN  0.340528                 NaN            NaN            NaN            NaN
  1393.16        2500.00                 NaN   98.8972       0.126227                 NaN            NaN            NaN  0.322428       0.317671                 NaN  0.336431                 NaN            NaN            NaN            NaN
  1391.68        2500.00                 NaN   98.9158       0.123163                 NaN            NaN            NaN  0.311458       0.319373                 NaN  0.330189                 NaN            NaN            NaN            NaN
  1390.20        2500.00                 NaN   98.9284       0.122827                 NaN            NaN            NaN  0.308267       0.313998                 NaN  0.326505                 NaN            NaN            NaN            NaN
  1388.73        2500.00                 NaN   98.9438       0.122272                 NaN            NaN            NaN  0.304129       0.308075                 NaN  0.321759                 NaN            NaN            NaN            NaN
  1387.25        2500.00                 NaN   98.9568       0.121595                 NaN            NaN            NaN  0.301094       0.302689                 NaN  0.317786                 NaN            NaN            NaN            NaN
  1385.77        2500.00                 NaN   98.9703       0.120196                 NaN            NaN            NaN  0.295966       0.299992                 NaN  0.313511                 NaN            NaN            NaN            NaN
  1384.29        2500.00                 NaN   98.9852       0.118807                 NaN            NaN            NaN  0.292164       0.295041                 NaN  0.308789                 NaN            NaN            NaN            NaN
  1382.81        2500.00                 NaN   98.9925       0.122504                 NaN            NaN            NaN  0.292190       0.284716                 NaN  0.308080                 NaN            NaN            NaN            NaN
  1381.34        2500.00                 NaN   99.0161       0.113387                 NaN            NaN            NaN  0.290055       0.281954                 NaN  0.298483                 NaN            NaN            NaN            NaN
  1379.86        2500.00                 NaN   99.0242       0.815778E-001            NaN            NaN            NaN  0.270711       0.331980                 NaN  0.291547                 NaN            NaN            NaN            NaN
  1378.38        2500.00                 NaN   99.0385       0.149340                 NaN            NaN            NaN  0.287845       0.227313                 NaN  0.297001                 NaN            NaN            NaN            NaN
  1376.90        2500.00                 NaN   99.0484       0.114596                 NaN            NaN            NaN  0.274029       0.273770                 NaN  0.289245                 NaN            NaN            NaN            NaN
  1375.42        2500.00                 NaN   99.0613       0.113214                 NaN            NaN            NaN  0.270279       0.270114                 NaN  0.285120                 NaN            NaN            NaN            NaN
  1373.95        2500.00                 NaN   99.0726       0.112501                 NaN            NaN            NaN  0.266083       0.267228                 NaN  0.281553                 NaN            NaN            NaN            NaN
  1372.47        2500.00                 NaN   99.0841       0.111424                 NaN            NaN            NaN  0.262797       0.263603                 NaN  0.278033                 NaN            NaN            NaN            NaN
  1370.99        2500.00                 NaN   99.0953       0.111220                 NaN            NaN            NaN  0.261203       0.257807                 NaN  0.274500                 NaN            NaN            NaN            NaN
  1369.51        2500.00                 NaN   99.1081       0.124908                 NaN            NaN            NaN  0.232341       0.262143                 NaN  0.272462                 NaN            NaN            NaN            NaN
  1368.03        2500.00                 NaN   99.1159       0.938952E-001            NaN            NaN            NaN  0.274494       0.249749                 NaN  0.266008                 NaN            NaN            NaN            NaN
  1366.56        2500.00                 NaN   99.1295       0.106118                 NaN            NaN            NaN  0.250844       0.250191                 NaN  0.263379                 NaN            NaN            NaN            NaN
  1365.08        2500.00                 NaN   99.1388       0.106550                 NaN            NaN            NaN  0.247637       0.246216                 NaN  0.260757                 NaN            NaN            NaN            NaN
  1363.60        2500.00                 NaN   99.1487       0.105414                 NaN            NaN            NaN  0.245052       0.243308                 NaN  0.257498                 NaN            NaN            NaN            NaN
  1362.12        2500.00                 NaN   99.1481       0.105935                 NaN            NaN            NaN  0.247539       0.240214                 NaN  0.258257                 NaN            NaN            NaN            NaN
  1360.64        2500.00                 NaN   99.1767       0.102719                 NaN            NaN            NaN  0.236228       0.236493                 NaN  0.247818                 NaN            NaN            NaN            NaN
  1359.16        2500.00                 NaN   99.1795       0.102815                 NaN            NaN            NaN  0.233615       0.236261                 NaN  0.247813                 NaN            NaN            NaN            NaN
  1357.69        2500.00                 NaN   99.1883       0.100951                 NaN            NaN            NaN  0.232860       0.233063                 NaN  0.244827                 NaN            NaN            NaN            NaN
  1356.21        2500.00                 NaN   99.1955       0.101006                 NaN            NaN            NaN  0.229403       0.231326                 NaN  0.242742                 NaN            NaN            NaN            NaN
  1354.73        2500.00                 NaN   99.2080       0.990311E-001            NaN            NaN            NaN  0.227479       0.227040                 NaN  0.238499                 NaN            NaN            NaN            NaN
  1353.25        2500.00                 NaN   99.2158       0.984719E-001            NaN            NaN            NaN  0.224518       0.225030                 NaN  0.236145                 NaN            NaN            NaN            NaN
  1351.77        2500.00                 NaN   99.2244       0.976599E-001            NaN            NaN            NaN  0.222777       0.221776                 NaN  0.233368                 NaN            NaN            NaN            NaN
  1350.30        2500.00                 NaN   99.2687       0.922211E-001            NaN            NaN            NaN  0.209405       0.209215                 NaN  0.220493                 NaN            NaN            NaN            NaN
  1348.82        2500.00                 NaN   99.2068       0.995187E-001            NaN            NaN            NaN  0.228153       0.227742                 NaN  0.237825                 NaN            NaN            NaN            NaN
  1347.34        2500.00                 NaN   99.2496       0.946488E-001            NaN            NaN            NaN  0.215209       0.215201                 NaN  0.225380                 NaN            NaN            NaN            NaN
  1345.86        2500.00                 NaN   99.2583       0.926533E-001            NaN            NaN            NaN  0.211896       0.214785                 NaN  0.222327                 NaN            NaN            NaN            NaN
  1344.38        2500.00                 NaN   99.2656       0.919804E-001            NaN            NaN            NaN  0.209936       0.212413                 NaN  0.220048                 NaN            NaN            NaN            NaN
  1342.91        2500.00                 NaN   99.2737       0.909292E-001            NaN            NaN            NaN  0.207522       0.210412                 NaN  0.217409                 NaN            NaN            NaN            NaN
  1341.43        2500.00                 NaN   99.2823       0.900645E-001            NaN            NaN            NaN  0.207889       0.204990                 NaN  0.214737                 NaN            NaN            NaN            NaN
  1339.95        2500.00                 NaN   99.2863       0.929143E-001            NaN            NaN            NaN  0.203053       0.202512                 NaN  0.215177                 NaN            NaN            NaN            NaN
  1338.47        2500.00                 NaN   99.3008       0.829075E-001            NaN            NaN            NaN  0.198688       0.210657                 NaN  0.206987                 NaN            NaN            NaN            NaN
  1336.99        2500.00                 NaN   99.2875       0.809593E-001            NaN            NaN            NaN  0.219752       0.198531                 NaN  0.213282                 NaN            NaN            NaN            NaN
  1335.52        2500.00                 NaN   99.3273       0.903981E-001            NaN            NaN            NaN  0.186273       0.196115                 NaN  0.199936                 NaN            NaN            NaN            NaN
  1334.04        2500.00                 NaN   99.3189       0.840625E-001            NaN            NaN            NaN  0.193312       0.201036                 NaN  0.202702                 NaN            NaN            NaN            NaN
  1332.56        2500.00                 NaN   99.3254       0.829260E-001            NaN            NaN            NaN  0.191184       0.199889                 NaN  0.200580                 NaN            NaN            NaN            NaN
  1331.08        2500.00                 NaN   99.3322       0.816029E-001            NaN            NaN            NaN  0.199228       0.188503                 NaN  0.198440                 NaN            NaN            NaN            NaN
  1329.60        2500.00                 NaN   99.3393       0.803202E-001            NaN            NaN            NaN  0.186272       0.198081                 NaN  0.196053                 NaN            NaN            NaN            NaN
  1328.13        2500.00                 NaN   99.3461       0.793241E-001            NaN            NaN            NaN  0.184195       0.196526                 NaN  0.193862                 NaN            NaN            NaN            NaN
  1326.65        2500.00                 NaN   99.3525       0.782871E-001            NaN            NaN            NaN  0.182333       0.195158                 NaN  0.191719                 NaN            NaN            NaN            NaN
  1325.17        2500.00                 NaN   99.3595       0.775493E-001            NaN            NaN            NaN  0.180299       0.192994                 NaN  0.189652                 NaN            NaN            NaN            NaN
  1323.69        2500.00                 NaN   99.3653       0.750754E-001            NaN            NaN            NaN  0.177815       0.194467                 NaN  0.187339                 NaN            NaN            NaN            NaN
