|6.6.6
Archiving\03_Data\Deqfrac/QFM_m4.5/YM20/YM20_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        iron           Sp(TH)         ne             lc             hed           
  1539.52        2500.00        99.3794       0.570320       0.502777E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.97        2500.00        99.2002       0.746727       0.530986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.42        2500.00        99.8146       0.170470       0.149724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.87        2500.00        99.1354       0.797898       0.666891E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        2500.00        99.3974       0.556549       0.460886E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.77        2500.00        99.2012       0.735448       0.633195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.22        2500.00        99.6771       0.299821       0.230759E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.67        2500.00        99.3295       0.622554       0.479119E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.12        2500.00        99.4122       0.545578       0.422065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.57        2500.00        99.3599       0.595210       0.448764E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.02        2500.00        99.5930                 NaN  0.411913E-001  0.365764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.47        2500.00        99.8950                 NaN  0.197429E-001  0.852704E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.92        2500.00        98.3517       0.145135                 NaN   1.50318                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.37        2500.00        99.2278                 NaN            NaN  0.772211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.82        2500.00        99.2244                 NaN            NaN  0.775604                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.27        2500.00        99.2210                 NaN            NaN  0.779021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.72        2500.00        99.2173                 NaN            NaN  0.782667                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.17        2500.00        99.0040                 NaN            NaN  0.995954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        2500.00        99.5463                 NaN            NaN  0.453741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.07        2500.00        99.0686                 NaN            NaN  0.931423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.52        2500.00        99.1887                 NaN            NaN  0.811336                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.96        2500.00        99.1801                 NaN            NaN  0.819854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.41        2500.00        98.8616                 NaN            NaN  0.553259       0.585105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.86        2500.00        98.7086                 NaN            NaN  0.829448       0.461973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.31        2500.00        98.7227                 NaN            NaN  0.455793       0.821478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.76        2500.00        98.7365                 NaN            NaN  0.812766       0.450748                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.21        2500.00        99.1004                 NaN            NaN  0.318708       0.580932                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.66        2500.00        98.4044                 NaN            NaN   1.03222       0.563370                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.11        2500.00        98.7715                 NaN            NaN  0.791952       0.436525                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.56        2500.00        98.7828                 NaN            NaN  0.785579       0.431629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.01        2500.00        98.7944                 NaN            NaN  0.428037       0.777534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.46        2500.00        98.8044                 NaN            NaN  0.772536       0.423087                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.91        2500.00        98.8144                 NaN            NaN  0.766931       0.418718                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.36        2500.00        98.8265                 NaN            NaN  0.759019       0.414521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.81        2500.00        98.8565                 NaN            NaN  0.738790       0.404708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.26        2500.00        98.8203                 NaN            NaN  0.762426       0.417268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.71        2500.00        98.8593                 NaN            NaN  0.401559       0.739099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.16        2500.00        98.8669                 NaN            NaN  0.735381       0.397700                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.61        2500.00        98.8737                 NaN            NaN  0.732092       0.394231                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.06        2500.00        99.7124                 NaN            NaN  0.287635                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.51        2500.00        98.0638                 NaN            NaN   1.15293       0.783302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.96        2500.00        98.7966                 NaN            NaN  0.785717       0.417634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.41        2500.00        99.0153                 NaN            NaN  0.642472       0.342192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.86        2500.00        98.9165                 NaN            NaN  0.706502       0.377038                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00        98.9259                 NaN            NaN  0.371582       0.702528                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.76        2500.00        98.9308                 NaN            NaN  0.699863       0.369385                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.21        2500.00        98.9431                 NaN  0.662078E-003  0.363385       0.692804                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.66        2500.00        98.9484                 NaN            NaN  0.360453       0.691104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.11        2500.00        97.4050                 NaN  0.253280E-001   1.02436       0.891525                 NaN            NaN  0.653741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.55        2500.00        96.5667                 NaN  0.333294        1.08000       0.975360                 NaN            NaN   1.04466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.00        2500.00        96.6672                 NaN  0.328489        1.05189       0.937551                 NaN            NaN   1.01484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.45        2500.00        96.7430                 NaN  0.327033       0.905636        1.03229                 NaN            NaN  0.991997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.90        2500.00        96.8209                 NaN  0.324691        1.01314       0.871726                 NaN            NaN  0.969520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.35        2500.00        96.9199                 NaN  0.318054       0.838703       0.984250                 NaN            NaN  0.939120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.80        2500.00        96.9843                 NaN  0.317342       0.969373       0.808151                 NaN            NaN  0.920834                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.25        2500.00        97.0568                 NaN  0.314514       0.780414       0.949288                 NaN            NaN  0.899030                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.70        2500.00        97.1230                 NaN  0.312548       0.930952       0.754008                 NaN            NaN  0.879443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.15        2500.00        97.1878                 NaN  0.310527       0.914667       0.726894                 NaN            NaN  0.860063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.60        2500.00        97.2563                 NaN  0.307151       0.895533       0.701579                 NaN            NaN  0.839411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.05        2500.00        97.3123                 NaN  0.305766       0.678064       0.881171                 NaN            NaN  0.822705                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00        97.3712                 NaN  0.303804       0.866312       0.653625                 NaN            NaN  0.805106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.95        2500.00        97.4132                 NaN  0.302132       0.857996       0.634384                 NaN            NaN  0.792330                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.40        2500.00        97.6509                 NaN  0.280883       0.783029       0.564443                 NaN            NaN  0.720739                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.85        2500.00        97.3604                 NaN  0.319284       0.881555       0.629851                 NaN            NaN  0.808906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.30        2500.00        97.5876                 NaN  0.295710       0.808760       0.567840                 NaN            NaN  0.740066                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.75        2500.00        97.6349                 NaN  0.294588       0.547930       0.796474                 NaN            NaN  0.726121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.20        2500.00        97.6756                 NaN  0.293749       0.530751       0.786394                 NaN            NaN  0.713480                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1435.65        2500.00        97.7256                 NaN  0.291411       0.510869       0.773360                 NaN            NaN  0.698786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.10        2500.00        97.7670                 NaN  0.290286       0.763774       0.492690                 NaN            NaN  0.686273                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.55        2500.00        97.8073                 NaN  0.289173       0.475963       0.753463                 NaN            NaN  0.674091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.00        2500.00        97.8501                 NaN  0.287458       0.460191       0.741246                 NaN            NaN  0.661025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.45        2500.00        97.8834                 NaN  0.287126       0.444413       0.733800                 NaN            NaN  0.651241                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1427.90        2500.00        97.8755                 NaN  0.295892       0.433393       0.738895                 NaN            NaN  0.656352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1426.35        2500.00        98.0152                 NaN  0.273554       0.409750       0.693518                 NaN            NaN  0.607980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.80        2500.00        97.9957                 NaN  0.283361       0.397820       0.706459                 NaN            NaN  0.616676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.25        2500.00        98.0255                 NaN  0.283448       0.382422       0.699805                 NaN            NaN  0.608805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1421.70        2500.00        98.0750                 NaN  0.278154       0.682854       0.371666                 NaN            NaN  0.592303                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.15        2500.00        98.0994                 NaN  0.279638       0.355654       0.679791                 NaN            NaN  0.585537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.59        2500.00        98.1309                 NaN  0.278228       0.671646       0.343609                 NaN            NaN  0.575653                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.04        2500.00        98.1606                 NaN  0.277739       0.331196       0.663892                 NaN            NaN  0.566532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.49        2500.00        98.1915                 NaN  0.277195       0.657457       0.316604                 NaN            NaN  0.557217                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1413.94        2500.00        98.2190                 NaN  0.275303       0.306869       0.649872                 NaN            NaN  0.548961                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1412.39        2500.00        98.2498                 NaN  0.273910       0.642492       0.294472                 NaN            NaN  0.539281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1410.84        2500.00        98.2625                 NaN  0.274727       0.639451       0.287262                 NaN            NaN  0.536035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1409.29        2500.00        98.3155                 NaN  0.271149       0.626551       0.268255                 NaN            NaN  0.518557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1407.74        2500.00        98.3270                 NaN  0.271325       0.625308       0.260926                 NaN            NaN  0.515449                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1406.19        2500.00        98.3530                 NaN  0.270446       0.250344       0.618705                 NaN            NaN  0.507480                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1404.64        2500.00        98.3740                 NaN  0.270446       0.238404       0.615670                 NaN            NaN  0.501461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1403.09        2500.00        98.4046                 NaN  0.267170       0.231549       0.605484                 NaN            NaN  0.491209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.54        2500.00        98.4245                 NaN  0.266781       0.602406       0.221105                 NaN            NaN  0.485227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1399.99        2500.00        98.4469                 NaN  0.266734       0.598040       0.210046                 NaN            NaN  0.478257                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1398.44        2500.00        98.4700                 NaN  0.265336       0.201110       0.592411                 NaN            NaN  0.471144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1396.89        2500.00        98.4923                 NaN  0.263969       0.586940       0.192629                 NaN            NaN  0.464172                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1395.34        2500.00        98.5106                 NaN  0.263120       0.183055       0.584828                 NaN            NaN  0.458394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1393.79        2500.00        98.5339                 NaN  0.260958       0.177092       0.577225                 NaN            NaN  0.450803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1392.24        2500.00        98.5522                 NaN  0.260665       0.167491       0.574467                 NaN            NaN  0.445221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1390.69        2500.00        98.5721                 NaN  0.259132       0.570345       0.159591                 NaN            NaN  0.438827                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1389.14        2500.00        98.5900                 NaN  0.258050       0.566997       0.151723                 NaN            NaN  0.433204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1387.59        2500.00        98.6105                 NaN  0.256331       0.561577       0.144962                 NaN            NaN  0.426636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1386.04        2500.00        98.6286                 NaN  0.255287       0.560895       0.134102                 NaN            NaN  0.421159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1384.49        2500.00        98.6466                 NaN  0.253717       0.554332       0.130302                 NaN            NaN  0.415039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1382.94        2500.00        98.6598                 NaN  0.254136       0.552974       0.121885                 NaN            NaN  0.411208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1381.39        2500.00        98.6840                 NaN  0.248965       0.544921       0.119516                 NaN            NaN  0.402620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1379.84        2500.00        98.6973                 NaN  0.249514       0.544049       0.110203                 NaN            NaN  0.398964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1378.29        2500.00        98.7134                 NaN  0.247275       0.104725       0.541207                 NaN            NaN  0.393410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1376.74        2500.00        98.7301                 NaN  0.245912       0.537367       0.984277E-001            NaN            NaN  0.388232                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1375.18        2500.00        98.7452                 NaN  0.243966       0.534370       0.933249E-001            NaN            NaN  0.383124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1373.63        2500.00        98.7603                 NaN  0.242417       0.878593E-001  0.531224                 NaN            NaN  0.378211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1372.08        2500.00        98.7754                 NaN  0.240339       0.824588E-001  0.528656                 NaN            NaN  0.373192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1370.53        2500.00        98.7899                 NaN  0.239093       0.766466E-001  0.525743                 NaN            NaN  0.368641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1368.98        2500.00        98.8056                 NaN  0.236212       0.520806       0.741330E-001            NaN            NaN  0.363241                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1367.43        2500.00        98.8176                 NaN  0.234512       0.521600       0.671537E-001            NaN            NaN  0.359099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1365.88        2500.00        98.8319                 NaN  0.232041       0.641238E-001  0.517596                 NaN            NaN  0.354316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1364.33        2500.00        98.8451                 NaN  0.230179       0.517240       0.575178E-001            NaN            NaN  0.349947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1362.78        2500.00        98.8589                 NaN  0.227772       0.546208E-001  0.513316                 NaN            NaN  0.345394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1361.23        2500.00        98.8714                 NaN  0.225236       0.511507       0.508144E-001            NaN            NaN  0.341068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1359.68        2500.00        98.8839                 NaN  0.222621       0.508042       0.486571E-001            NaN            NaN  0.336749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1358.13        2500.00        98.8962                 NaN  0.213623       0.499705       0.587551E-001            NaN            NaN  0.331717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1356.58        2500.00        98.9071                 NaN  0.225326       0.513312       0.245371E-001            NaN            NaN  0.329753                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1355.03        2500.00        98.9205                 NaN  0.214591       0.501623       0.392603E-001            NaN            NaN  0.324058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1353.48        2500.00        98.9314                 NaN  0.212366       0.500171       0.356066E-001            NaN            NaN  0.320433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1351.93        2500.00        98.9427                 NaN  0.209173       0.495519       0.360261E-001            NaN            NaN  0.316595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1350.38        2500.00        98.9550                 NaN  0.207111       0.277179E-001  0.497912                 NaN            NaN  0.312280                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
