|6.6.6
Archiving\03_Data\DfracLP/QFM_m4.5/WD94/WD94_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1924.81        500.000        99.6201       0.379883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.6075       0.392485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.5949       0.405060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.5824       0.417630                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.5698       0.430176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.5509       0.442553       0.654322E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.4271                 NaN  0.572876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.3886                 NaN  0.611380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.3919                 NaN  0.608092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.3968                 NaN  0.603213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.4005                 NaN  0.599471                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.4019                 NaN  0.598100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.4088                 NaN  0.591217                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.4061                 NaN  0.593946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.4194                 NaN  0.580604                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.4167                 NaN  0.583259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.4196                 NaN  0.580436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.4236                 NaN  0.576431                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.4258                 NaN  0.574182                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.4294                 NaN  0.570640                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.4282                 NaN  0.571811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4368                 NaN  0.563210                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4350                 NaN  0.564984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.4367                 NaN  0.563254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.4401                 NaN  0.559917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4409                 NaN  0.559110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4436                 NaN  0.556414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4438                 NaN  0.556239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4440                 NaN  0.552525       0.347205E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        98.6773       0.683628E-002   1.29044       0.254347E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.9969                 NaN            NaN  0.313150E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.6696                 NaN  0.328780       0.158422E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4195                 NaN  0.569855       0.106845E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.4411                 NaN  0.548631       0.102787E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4426                 NaN  0.547195       0.102379E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.4419                 NaN  0.547859       0.102315E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.4424                 NaN  0.547397       0.102085E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4440                 NaN  0.545802       0.101523E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.4436                 NaN  0.546291       0.101493E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.4414                 NaN  0.548428       0.101398E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4428                 NaN  0.547060       0.101054E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4420                 NaN  0.547907       0.100903E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4439                 NaN  0.546054       0.100209E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.6051                 NaN  0.387854       0.709495E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.2756                 NaN  0.711503       0.129415E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.4405                 NaN  0.549576       0.996452E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.4387                 NaN  0.551275       0.997699E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.4374                 NaN  0.552647       0.992466E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.4363                 NaN  0.553823       0.992239E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        98.8204                 NaN   1.15898       0.206418E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.9948                 NaN  0.518223E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.4916                 NaN  0.499517       0.890227E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4259                 NaN  0.564218       0.993079E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.4302                 NaN  0.560011       0.980249E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.4249                 NaN  0.565225       0.985229E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.4245                 NaN  0.565711       0.978314E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.4214                 NaN  0.568780       0.979264E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.4181                 NaN  0.572092       0.978859E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4152                 NaN  0.575025       0.978402E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.4609                 NaN  0.530134       0.896338E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.3618                 NaN  0.627647       0.105568E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.4077                 NaN  0.582612       0.970584E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.3522                 NaN  0.637251       0.105519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.4524                 NaN  0.538740       0.886450E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.3977                 NaN  0.592563       0.969585E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.3935                 NaN  0.596781       0.972407E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.3915                 NaN  0.598797       0.966209E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.3877                 NaN  0.602635       0.967782E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.3832                 NaN  0.607134       0.968239E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.3794                 NaN  0.610876       0.967769E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.3758                 NaN  0.614528       0.967517E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.3930                 NaN  0.597698       0.932808E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.9197                 NaN  0.790658E-001  0.121667E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        98.7931                 NaN   1.18851       0.183422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.3600                 NaN  0.630348       0.964777E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.4400                 NaN  0.551616       0.842117E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.2696                 NaN  0.719593       0.108534E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.3479                 NaN  0.642421       0.963598E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.3432                 NaN  0.647165       0.962025E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.3736                 NaN  0.617286       0.912567E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.4743                 NaN  0.518120       0.760085E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.1581                 NaN  0.829801       0.121162E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3274                 NaN  0.662936       0.962412E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.3242                 NaN  0.666188       0.960456E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.2970                 NaN  0.692971       0.100556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3372                 NaN  0.653592       0.922229E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.3127                 NaN  0.677662       0.961205E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3088                 NaN  0.681602       0.961875E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.3033                 NaN  0.687034       0.962249E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.3026                 NaN  0.687790       0.960781E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.2992                 NaN  0.691250       0.959691E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.2940                 NaN  0.696362       0.962819E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.2899                 NaN  0.700448       0.963906E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.2915                 NaN  0.698973       0.957626E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        98.6570                 NaN   1.32619       0.168473E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.9328                 NaN  0.652437E-001  0.192725E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.2550                 NaN  0.735027       0.996048E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.2787                 NaN  0.711647       0.962828E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.2789                 NaN  0.711519       0.959699E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.2157                 NaN  0.774687       0.966239E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.6987                 NaN  0.296628       0.471703E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        98.9116                 NaN   1.07397       0.143921E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.2727                 NaN  0.717654       0.959634E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.2724                 NaN  0.718057       0.957879E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.2708                 NaN  0.719636       0.959431E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.2665                 NaN  0.723844       0.961475E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.2750                 NaN  0.715530       0.951823E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.2730                 NaN  0.717448       0.955227E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.2728                 NaN  0.717668       0.953577E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.2734                 NaN  0.717089       0.954126E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.2736                 NaN  0.716821       0.953898E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.2747                 NaN  0.715804       0.952642E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.2789                 NaN  0.711589       0.948513E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.2788                 NaN  0.711742       0.948841E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        98.5692                 NaN   1.41192       0.188721E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.9950                 NaN  0.489854E-002  0.148432E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.2858                 NaN  0.705068       0.914149E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.2911                 NaN  0.699454       0.940318E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.2928                 NaN  0.697843       0.939581E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.2973                 NaN  0.693303       0.936698E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.2983                 NaN  0.692351       0.938783E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.3056                 NaN  0.685063       0.931052E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        98.4770                 NaN  0.178457                 NaN   1.34454                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        98.3835                 NaN  0.100269                 NaN   1.51623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        98.4229                 NaN  0.100453                 NaN   1.47661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        98.4470                 NaN  0.955537E-001            NaN   1.45745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.4856                 NaN  0.935587E-001            NaN   1.42083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.2665                 NaN  0.982188E-001            NaN   1.63526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.7765                 NaN  0.750047E-001            NaN   1.14852                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.5376                 NaN  0.775630E-001            NaN   1.38485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.5981                 NaN  0.770829E-001            NaN   1.32486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.6255                 NaN  0.840891E-001            NaN   1.29040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.5172                 NaN  0.240146                 NaN   1.24261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.8250                 NaN  0.154456                 NaN   1.02056                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.6885                 NaN            NaN            NaN   1.31149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.7030                 NaN            NaN            NaN   1.29703                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.7253                 NaN  0.798335E-002            NaN   1.26672                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.7478                 NaN  0.177311E-001            NaN   1.23446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.7746                 NaN  0.328589E-001            NaN   1.19254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.7925                 NaN  0.529173E-001            NaN   1.15457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.8153                 NaN  0.531581E-001            NaN   1.13152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.8333                 NaN  0.518977E-001            NaN   1.11485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.8503                 NaN  0.479639E-001            NaN   1.10175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.8694                 NaN  0.446459E-001            NaN   1.08598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.8805                 NaN  0.385413E-001            NaN   1.08099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.9037                 NaN  0.380770E-001            NaN   1.05818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.9187                 NaN  0.358736E-001            NaN   1.04546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.9361                 NaN  0.403062E-001            NaN   1.02361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.9500                 NaN  0.308517E-001            NaN   1.01917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.9644                 NaN  0.323927E-001            NaN   1.00320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.9801                 NaN  0.280049E-001            NaN  0.991935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.9970                 NaN  0.258386E-001            NaN  0.977193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.1773                 NaN  0.220672E-001            NaN  0.800628                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.8504                 NaN  0.265392E-001            NaN   1.12302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        99.0371                 NaN  0.215026E-001            NaN  0.941419                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        99.0431                 NaN  0.189984E-001            NaN  0.937938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        99.0635                 NaN  0.141147E-001            NaN  0.922432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        99.0717                 NaN  0.135988E-001            NaN  0.914719                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        99.0833                 NaN  0.116975E-001            NaN  0.904968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        99.0938                 NaN  0.912198E-002            NaN  0.897043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        99.1052                 NaN  0.790107E-002            NaN  0.886850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        99.1138                 NaN  0.261023E-002            NaN  0.883587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        99.1311                 NaN  0.213351E-001            NaN  0.847555                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        99.1363                 NaN  0.213898E-002            NaN  0.861531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        99.1608                 NaN  0.594887E-001            NaN  0.779703                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        99.1578                 NaN            NaN            NaN  0.842215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        99.1673                 NaN            NaN            NaN  0.832713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        99.1775                 NaN            NaN            NaN  0.822523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        99.1851                 NaN            NaN            NaN  0.814939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        99.1949                 NaN  0.395069                 NaN  0.409985                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.75        500.000        99.2208                 NaN            NaN            NaN  0.251286       0.527878                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        500.000        99.0639                 NaN            NaN            NaN            NaN  0.936140                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        500.000        99.0705                 NaN            NaN            NaN  0.431496E-002  0.925204                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        500.000        99.0804                 NaN            NaN            NaN            NaN  0.919554                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.72        500.000        99.0876                 NaN            NaN            NaN  0.106659       0.805719                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.22        500.000        99.0892                 NaN            NaN            NaN            NaN  0.910823                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.71        500.000        99.0937                 NaN            NaN            NaN            NaN  0.906258                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.20        500.000        99.1000                 NaN            NaN            NaN            NaN  0.900024                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.70        500.000        99.1027                 NaN            NaN            NaN            NaN  0.897277                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        500.000        99.1085                 NaN            NaN            NaN            NaN  0.891547                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.68        500.000        99.1092                 NaN            NaN            NaN            NaN  0.890804                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.18        500.000        99.1125                 NaN            NaN            NaN            NaN  0.887456                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.67        500.000        99.1116                 NaN            NaN            NaN            NaN  0.888411                 NaN            NaN            NaN            NaN            NaN            NaN
