|6.6.6
Archiving\03_Data\DfracLP/QFM_m4.5/WD94/WD94_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1884.71        500.000        99.3752                 NaN  0.624806                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.3795                 NaN  0.620521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.3816                 NaN  0.618431                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.3851                 NaN  0.614925                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.3834                 NaN  0.616552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.3926                 NaN  0.607428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.3903                 NaN  0.609664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.3919                 NaN  0.608131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.3952                 NaN  0.604789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.3958                 NaN  0.604182                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.3984                 NaN  0.601571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.3983                 NaN  0.601735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.3969                 NaN  0.597931       0.514061E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        98.5476       0.169400E-001   1.39778       0.377187E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.9954                 NaN            NaN  0.464516E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.6413                 NaN  0.356363       0.234820E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.3661                 NaN  0.618011       0.158475E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.3895                 NaN  0.595297       0.152518E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.3908                 NaN  0.593994       0.151949E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.3896                 NaN  0.595166       0.151933E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.3900                 NaN  0.594884       0.151641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.3914                 NaN  0.593494       0.150873E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.3906                 NaN  0.594292       0.150871E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.3876                 NaN  0.597281       0.150863E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.3891                 NaN  0.595818       0.150371E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.3879                 NaN  0.597120       0.150224E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.3897                 NaN  0.595378       0.149216E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.5661                 NaN  0.423342       0.105750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.2038                 NaN  0.776877       0.192916E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.3847                 NaN  0.600488       0.148618E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.3825                 NaN  0.602638       0.148829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.3806                 NaN  0.604558       0.148209E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.3789                 NaN  0.606250       0.148188E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        98.7003                 NaN   1.26887       0.308374E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.9943                 NaN  0.568179E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.4388                 NaN  0.547869       0.133116E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.3659                 NaN  0.619234       0.148558E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.3706                 NaN  0.614771       0.146675E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.3642                 NaN  0.621054       0.147516E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.3633                 NaN  0.622060       0.146561E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.3595                 NaN  0.625827       0.146757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.3553                 NaN  0.630008       0.146785E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.3517                 NaN  0.633588       0.146768E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.4020                 NaN  0.584571       0.134519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.2916                 NaN  0.692544       0.158498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.3420                 NaN  0.643387       0.145849E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.2799                 NaN  0.704254       0.158636E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.3908                 NaN  0.595844       0.133321E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.3296                 NaN  0.655791       0.145899E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.3244                 NaN  0.660996       0.146284E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.3216                 NaN  0.663815       0.145512E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.3171                 NaN  0.668368       0.145798E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.3115                 NaN  0.673949       0.145935E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.3068                 NaN  0.678653       0.145949E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.3022                 NaN  0.683202       0.145960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.3208                 NaN  0.665097       0.140839E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.9100                 NaN  0.881516E-001  0.183991E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        98.6484                 NaN   1.32392       0.277033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.2824                 NaN  0.703058       0.145874E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.3719                 NaN  0.615336       0.127347E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.1795                 NaN  0.804056       0.164265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.2670                 NaN  0.718436       0.145916E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.2610                 NaN  0.724454       0.145808E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.2945                 NaN  0.691710       0.138387E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.4076                 NaN  0.580845       0.115353E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.0507                 NaN  0.930955       0.183878E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.2406                 NaN  0.744779       0.146164E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.2364                 NaN  0.749041       0.145951E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.2044                 NaN  0.780317       0.152819E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.2499                 NaN  0.736101       0.140309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.2215                 NaN  0.763911       0.146315E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.2161                 NaN  0.769203       0.146505E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.2092                 NaN  0.776166       0.146692E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.2077                 NaN  0.777675       0.146490E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.2029                 NaN  0.782478       0.146460E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.1963                 NaN  0.788984       0.147002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.1908                 NaN  0.794474       0.147280E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.1918                 NaN  0.793526       0.146410E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        98.4627                 NaN   1.51155       0.257849E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.9227                 NaN  0.743762E-001  0.295240E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.1476                 NaN  0.837103       0.152568E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.1739                 NaN  0.811349       0.147557E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.1733                 NaN  0.811954       0.147181E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.1000                 NaN  0.885149       0.148297E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.6534                 NaN  0.339390       0.725022E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        98.7488                 NaN   1.22905       0.221074E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.1627                 NaN  0.822550       0.147576E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.1613                 NaN  0.823937       0.147426E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.1585                 NaN  0.826676       0.147762E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.1525                 NaN  0.832684       0.148259E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.1613                 NaN  0.824012       0.146792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.1584                 NaN  0.826868       0.147428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.1571                 NaN  0.828218       0.147278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.1567                 NaN  0.828514       0.147479E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.1561                 NaN  0.829182       0.147553E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.1562                 NaN  0.829085       0.147500E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.1603                 NaN  0.824999       0.146932E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.1590                 NaN  0.826291       0.147122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        98.3252                 NaN   1.64548       0.293195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.9941                 NaN  0.570681E-002  0.230721E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.1644                 NaN  0.821436       0.142007E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.1696                 NaN  0.815813       0.146226E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.1703                 NaN  0.815057       0.146251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.1748                 NaN  0.810621       0.145895E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.1747                 NaN  0.810684       0.146333E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.1824                 NaN  0.803069       0.145240E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        98.2716                 NaN  0.209164                 NaN   1.51921                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        98.1683                 NaN  0.117646                 NaN   1.71402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        98.2121                 NaN  0.117937                 NaN   1.67000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        98.2384                 NaN  0.112324                 NaN   1.64928                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.2810                 NaN  0.110038                 NaN   1.60894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.0308                 NaN  0.115778                 NaN   1.85339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.6089                 NaN  0.884290E-001            NaN   1.30264                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.3381                 NaN  0.914333E-001            NaN   1.57047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.4050                 NaN  0.910183E-001            NaN   1.50401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.4357                 NaN  0.993256E-001            NaN   1.46495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.3048                 NaN  0.283917                 NaN   1.41123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.6564                 NaN  0.182875                 NaN   1.16068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.5079                 NaN            NaN            NaN   1.49211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.5236                 NaN            NaN            NaN   1.47636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.5479                 NaN  0.947332E-002            NaN   1.44263                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.5722                 NaN  0.210572E-001            NaN   1.40679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.6014                 NaN  0.390611E-001            NaN   1.35956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.6204                 NaN  0.629434E-001            NaN   1.31669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.6452                 NaN  0.633215E-001            NaN   1.29151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.6648                 NaN  0.618813E-001            NaN   1.27330                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.6836                 NaN  0.572522E-001            NaN   1.25916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.7051                 NaN  0.533203E-001            NaN   1.24161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.7176                 NaN  0.460689E-001            NaN   1.23630                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.7434                 NaN  0.455471E-001            NaN   1.21101                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.7597                 NaN  0.429669E-001            NaN   1.19733                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.7786                 NaN  0.483287E-001            NaN   1.17306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.7943                 NaN  0.370240E-001            NaN   1.16863                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.8102                 NaN  0.389035E-001            NaN   1.15092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.8276                 NaN  0.336681E-001            NaN   1.13868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.8466                 NaN  0.310900E-001            NaN   1.12231                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.0528                 NaN  0.265861E-001            NaN  0.920651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.6770                 NaN  0.319910E-001            NaN   1.29104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.8908                 NaN  0.259488E-001            NaN   1.08322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.8973                 NaN  0.229495E-001            NaN   1.07972                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.9207                 NaN  0.170605E-001            NaN   1.06222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.9295                 NaN  0.164565E-001            NaN   1.05407                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.9423                 NaN  0.141731E-001            NaN   1.04353                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        98.9540                 NaN  0.110619E-001            NaN   1.03498                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        98.9666                 NaN  0.959010E-002            NaN   1.02382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        98.9763                 NaN  0.317089E-002            NaN   1.02053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        98.9945                 NaN  0.259479E-001            NaN  0.979596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        99.0011                 NaN  0.260576E-002            NaN  0.996267                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        99.0253                 NaN  0.724882E-001            NaN  0.902199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        99.0249                 NaN            NaN            NaN  0.975053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        99.0353                 NaN            NaN            NaN  0.964682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        99.0465                 NaN            NaN            NaN  0.953454                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        99.0548                 NaN            NaN            NaN  0.945191                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        99.0393                 NaN  0.484354                 NaN  0.476301                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.75        500.000        99.0967                 NaN            NaN            NaN  0.291988       0.611322                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        500.000        98.9152                 NaN            NaN            NaN            NaN   1.08483                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        500.000        98.9220                 NaN            NaN            NaN  0.502055E-002   1.07295                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        500.000        98.9327                 NaN            NaN            NaN            NaN   1.06729                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.72        500.000        98.9398                 NaN            NaN            NaN  0.124284       0.935964                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.22        500.000        98.9411                 NaN            NaN            NaN            NaN   1.05890                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.71        500.000        98.9453                 NaN            NaN            NaN            NaN   1.05467                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.20        500.000        98.9520                 NaN            NaN            NaN            NaN   1.04802                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.70        500.000        98.9542                 NaN            NaN            NaN            NaN   1.04578                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        500.000        98.9602                 NaN            NaN            NaN            NaN   1.03976                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.68        500.000        98.9601                 NaN            NaN            NaN            NaN   1.03986                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.18        500.000        98.9633                 NaN            NaN            NaN            NaN   1.03669                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.67        500.000        98.9613                 NaN            NaN            NaN            NaN   1.03873                 NaN            NaN            NaN            NaN            NaN            NaN
