|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.25/KHA22/KHA22_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1554.27        2500.00                 NaN   99.3408       0.566242E-001  0.602535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00                 NaN   99.5143       0.407138E-001  0.445007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.31        2500.00                 NaN   99.4321       0.466899E-001  0.521224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00                 NaN   99.4369       0.450196E-001  0.518111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.35        2500.00                 NaN   99.4404       0.452896E-001  0.514325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        2500.00                 NaN   99.4448       0.443096E-001  0.510935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        2500.00                 NaN   99.4453       0.422781E-001  0.512394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.92        2500.00                 NaN   99.4534       0.417494E-001  0.504869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        2500.00                 NaN   99.4100       0.445614E-001  0.545400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.96        2500.00                 NaN   99.5075       0.372660E-001  0.455252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.49        2500.00                 NaN   99.7739       0.254125E-001  0.200705                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        2500.00                 NaN   98.7216       0.834119E-001   1.19501                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.53        2500.00                 NaN   99.9100       0.369780E-002  0.862731E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.05        2500.00                 NaN   99.4766       0.436590E-001  0.479789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.57        2500.00                 NaN   99.4789       0.333955E-001  0.487724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00                 NaN   99.4846       0.374642E-001  0.477967                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.62        2500.00                 NaN   99.4870       0.357430E-001  0.477222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.14        2500.00                 NaN   99.7293       0.225676E-001  0.248092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.66        2500.00                 NaN   99.2526       0.449295E-001  0.702486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.18        2500.00                 NaN   99.4975       0.348790E-001  0.467654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.71        2500.00                 NaN   99.5022       0.327884E-001  0.464996                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        2500.00                 NaN   99.5040       0.323650E-001  0.463622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.75        2500.00                 NaN   99.5070       0.310608E-001  0.461963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        2500.00                 NaN   98.9901       0.473795E-001  0.962552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.79        2500.00                 NaN   99.9269       0.198925E-002  0.711024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        2500.00                 NaN   99.8343       0.906388E-002  0.156618                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.84        2500.00                 NaN   99.2945       0.455209E-001  0.659997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.36        2500.00                 NaN   99.5251       0.281983E-001  0.446729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.88        2500.00                 NaN   99.5225       0.259028E-001  0.451570                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.40        2500.00                 NaN   99.5295       0.275646E-001  0.442934                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.93        2500.00                 NaN   99.5328       0.248558E-001  0.442389                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.45        2500.00                 NaN   99.5326       0.245338E-001  0.442910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.97        2500.00                 NaN   99.5369       0.234275E-001  0.439626                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.49        2500.00                 NaN   99.5375       0.221309E-001  0.437697       0.268235E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1504.01        2500.00                 NaN   99.4170       0.235225E-002  0.163920       0.416749                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.54        2500.00                 NaN   99.4155                 NaN            NaN  0.584495                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.06        2500.00                 NaN   99.4127                 NaN            NaN  0.587294                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.58        2500.00                 NaN   99.4146                 NaN            NaN  0.585374                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.10        2500.00                 NaN   99.4158                 NaN            NaN  0.584208                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.62        2500.00                 NaN   99.4161                 NaN            NaN  0.583948                 NaN            NaN            NaN            NaN            NaN            NaN
  1495.15        2500.00                 NaN   99.4164                 NaN            NaN  0.583589                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.67        2500.00                 NaN   99.4159                 NaN            NaN  0.584141                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.19        2500.00                 NaN   99.4133                 NaN            NaN  0.586669                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.71        2500.00                 NaN   99.4163       0.101621E-005            NaN  0.583731                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.23        2500.00                 NaN   99.4141                 NaN            NaN  0.585919                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.75        2500.00                 NaN   99.4117                 NaN            NaN  0.588283                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.28        2500.00                 NaN   99.4082                 NaN            NaN  0.591805                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.80        2500.00                 NaN   99.4069                 NaN            NaN  0.593052                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.32        2500.00                 NaN   99.4045                 NaN            NaN  0.595484                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.84        2500.00                 NaN   99.1771                 NaN            NaN  0.409769       0.413092                 NaN            NaN            NaN            NaN            NaN
  1480.36        2500.00                 NaN   99.1228                 NaN            NaN  0.516151       0.361054                 NaN            NaN            NaN            NaN            NaN
  1478.89        2500.00                 NaN   99.1308       0.138728E-004            NaN  0.511740       0.357480                 NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00                 NaN   99.1378                 NaN            NaN  0.354480       0.507753                 NaN            NaN            NaN            NaN            NaN
  1475.93        2500.00                 NaN   99.3977                 NaN            NaN  0.355470       0.246806                 NaN            NaN            NaN            NaN            NaN
  1474.45        2500.00                 NaN   98.8968                 NaN            NaN  0.453554       0.649689                 NaN            NaN            NaN            NaN            NaN
  1472.97        2500.00                 NaN   99.1618                 NaN            NaN  0.344327       0.493897                 NaN            NaN            NaN            NaN            NaN
  1471.50        2500.00                 NaN   99.1679                 NaN            NaN  0.491035       0.341068                 NaN            NaN            NaN            NaN            NaN
  1470.02        2500.00                 NaN   99.1746                 NaN            NaN  0.338243       0.487114                 NaN            NaN            NaN            NaN            NaN
  1468.54        2500.00                 NaN   99.1809                 NaN            NaN  0.483531       0.335593                 NaN            NaN            NaN            NaN            NaN
  1467.06        2500.00                 NaN   99.1883                 NaN            NaN  0.332197       0.479548                 NaN            NaN            NaN            NaN            NaN
  1465.58        2500.00                 NaN   98.8038                 NaN  0.591692E-002  0.707516       0.482791                 NaN            NaN            NaN            NaN            NaN
  1464.11        2500.00                 NaN   99.6348                 NaN            NaN  0.149290       0.215871                 NaN            NaN            NaN            NaN            NaN
  1462.63        2500.00                 NaN   99.1628                 NaN            NaN  0.341182       0.496003                 NaN            NaN            NaN            NaN            NaN
  1461.15        2500.00                 NaN   99.2157                 NaN            NaN  0.321014       0.463245                 NaN            NaN            NaN            NaN            NaN
  1459.67        2500.00                 NaN   99.2191                 NaN            NaN  0.462510       0.318434                 NaN            NaN            NaN            NaN            NaN
  1458.19        2500.00                 NaN   99.3494                 NaN            NaN  0.265396       0.385174                 NaN            NaN            NaN            NaN            NaN
  1456.72        2500.00                 NaN   99.1084                 NaN            NaN  0.362879       0.528769                 NaN            NaN            NaN            NaN            NaN
  1455.24        2500.00                 NaN   99.2417                 NaN            NaN  0.309046       0.449302                 NaN            NaN            NaN            NaN            NaN
  1453.76        2500.00                 NaN   99.2450                 NaN            NaN  0.447973       0.307063                 NaN            NaN            NaN            NaN            NaN
  1452.28        2500.00                 NaN   99.2498                 NaN            NaN  0.445364       0.304853                 NaN            NaN            NaN            NaN            NaN
  1450.80        2500.00                 NaN   99.2490                 NaN            NaN  0.439642       0.311404                 NaN            NaN            NaN            NaN            NaN
  1449.33        2500.00                 NaN   99.2689                 NaN            NaN  0.440995       0.290078                 NaN            NaN            NaN            NaN            NaN
  1447.85        2500.00                 NaN   99.2677                 NaN            NaN  0.435617       0.296671                 NaN            NaN            NaN            NaN            NaN
  1446.37        2500.00                 NaN   99.2730                 NaN            NaN  0.432476       0.294541                 NaN            NaN            NaN            NaN            NaN
  1444.89        2500.00                 NaN   99.2780       0.159251E-004            NaN  0.430066       0.291870                 NaN            NaN            NaN            NaN            NaN
  1443.41        2500.00                 NaN   99.2839                 NaN            NaN  0.426645       0.289462                 NaN            NaN            NaN            NaN            NaN
  1441.94        2500.00                 NaN   99.2887                 NaN            NaN  0.424392       0.286947                 NaN            NaN            NaN            NaN            NaN
  1440.46        2500.00                 NaN   99.2935                 NaN            NaN  0.421779       0.284675                 NaN            NaN            NaN            NaN            NaN
  1438.98        2500.00                 NaN   99.4143                 NaN  0.887018E-001  0.496996                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.50        2500.00                 NaN   98.2876                 NaN            NaN  0.877218       0.835136                 NaN            NaN            NaN            NaN            NaN
  1436.02        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.55        2500.00                 NaN   99.4099                 NaN            NaN  0.279677       0.246372       0.640380E-001            NaN            NaN            NaN            NaN
  1433.07        2500.00                 NaN   98.3262                 NaN            NaN  0.742394       0.444519       0.486854                 NaN            NaN            NaN            NaN
  1431.59        2500.00                 NaN   98.3549                 NaN            NaN  0.436491       0.730146       0.478428                 NaN            NaN            NaN            NaN
  1430.11        2500.00                 NaN   98.3842                 NaN            NaN  0.428159       0.717833       0.469801                 NaN            NaN            NaN            NaN
  1428.63        2500.00                 NaN   98.4126       0.350322E-004            NaN  0.705626       0.420126       0.461646                 NaN            NaN            NaN            NaN
  1427.16        2500.00                 NaN   98.3983       0.396428E-001            NaN  0.657584       0.431758       0.472672                 NaN            NaN            NaN            NaN
  1425.68        2500.00                 NaN   98.4962       0.749194E-001            NaN  0.566579       0.414563       0.447756                 NaN            NaN            NaN            NaN
  1424.20        2500.00                 NaN   98.4830       0.145565                 NaN  0.475075       0.433498       0.462895                 NaN            NaN            NaN            NaN
  1422.72        2500.00                 NaN   98.5071       0.144920                 NaN  0.427107       0.465031       0.455824                 NaN            NaN            NaN            NaN
  1421.24        2500.00                 NaN   98.5328       0.143753                 NaN  0.455511       0.419919       0.448058                 NaN            NaN            NaN            NaN
  1419.76        2500.00                 NaN   98.5566       0.142631                 NaN  0.446468       0.413566       0.440758                 NaN            NaN            NaN            NaN
  1418.29        2500.00                 NaN   98.5806       0.141405                 NaN  0.437843       0.406549       0.433612                 NaN            NaN            NaN            NaN
  1416.81        2500.00                 NaN   98.6019       0.140739                 NaN  0.402282       0.428091       0.427033                 NaN            NaN            NaN            NaN
  1415.33        2500.00                 NaN   98.6266       0.138957                 NaN  0.393912       0.420963       0.419570                 NaN            NaN            NaN            NaN
  1413.85        2500.00                 NaN   98.6485       0.137596                 NaN  0.387355       0.413521       0.413001                 NaN            NaN            NaN            NaN
  1412.37        2500.00                 NaN   98.6700       0.136582                 NaN  0.381511       0.405383       0.406551                 NaN            NaN            NaN            NaN
  1410.90        2500.00                 NaN   98.7639       0.116666                 NaN  0.388222       0.354615       0.376584                 NaN            NaN            NaN            NaN
  1409.42        2500.00                 NaN   98.6331       0.153909                 NaN  0.399074       0.394912       0.419053                 NaN            NaN            NaN            NaN
  1407.94        2500.00                 NaN   98.7261       0.135279                 NaN  0.384058       0.364205       0.390309                 NaN            NaN            NaN            NaN
  1406.46        2500.00                 NaN   98.7560       0.130479                 NaN  0.358044       0.375948       0.379563                 NaN            NaN            NaN            NaN
  1404.98        2500.00                 NaN   98.7683       0.131351                 NaN  0.353525       0.370242       0.376579                 NaN            NaN            NaN            NaN
  1403.51        2500.00                 NaN   98.7877       0.130174                 NaN  0.363162       0.348341       0.370622                 NaN            NaN            NaN            NaN
  1402.03        2500.00                 NaN   98.8048       0.129275                 NaN  0.356722       0.343879       0.365327                 NaN            NaN            NaN            NaN
  1400.55        2500.00                 NaN   98.8216       0.128154                 NaN  0.350512       0.339504       0.360194                 NaN            NaN            NaN            NaN
  1399.07        2500.00                 NaN   98.8394       0.127845                 NaN  0.334852       0.343106       0.354781                 NaN            NaN            NaN            NaN
  1397.59        2500.00                 NaN   98.8573       0.125519                 NaN  0.328563       0.339548       0.349066                 NaN            NaN            NaN            NaN
  1396.12        2500.00                 NaN   98.8615       0.128129                 NaN  0.327177       0.333892       0.349274                 NaN            NaN            NaN            NaN
  1394.64        2500.00                 NaN   98.8995       0.120562                 NaN  0.328500       0.316248       0.335171                 NaN            NaN            NaN            NaN
  1393.16        2500.00                 NaN   98.9040       0.123072                 NaN  0.322214       0.315892       0.334794                 NaN            NaN            NaN            NaN
  1391.68        2500.00                 NaN   99.8320       0.245612E-001            NaN  0.508744E-001  0.395721E-001  0.530080E-001            NaN            NaN            NaN            NaN
  1390.20        2500.00                 NaN   98.0247       0.218211                 NaN  0.588249       0.567137       0.601663                 NaN            NaN            NaN            NaN
  1388.73        2500.00                 NaN   98.9485       0.120198                 NaN  0.307266       0.302964       0.321033                 NaN            NaN            NaN            NaN
  1387.25        2500.00                 NaN   98.9625       0.119629                 NaN  0.298754       0.302105       0.316975                 NaN            NaN            NaN            NaN
  1385.77        2500.00                 NaN   98.9774       0.117525                 NaN  0.294779       0.298409       0.311853                 NaN            NaN            NaN            NaN
  1384.29        2500.00                 NaN   98.9900       0.117064                 NaN  0.291149       0.293676       0.308098                 NaN            NaN            NaN            NaN
  1382.81        2500.00                 NaN   99.0032       0.116196                 NaN  0.287459       0.289179       0.303948                 NaN            NaN            NaN            NaN
  1381.34        2500.00                 NaN   99.0167       0.115433                 NaN  0.283613       0.284429       0.299853                 NaN            NaN            NaN            NaN
  1379.86        2500.00                 NaN   99.0297       0.114075                 NaN  0.280972       0.279534       0.295741                 NaN            NaN            NaN            NaN
  1378.38        2500.00                 NaN   99.0422       0.113116                 NaN  0.276019       0.276893       0.291728                 NaN            NaN            NaN            NaN
  1376.90        2500.00                 NaN   99.0537       0.112438                 NaN  0.272689       0.273039       0.288153                 NaN            NaN            NaN            NaN
  1375.42        2500.00                 NaN   99.0661       0.111298                 NaN  0.268989       0.269378       0.284264                 NaN            NaN            NaN            NaN
  1373.95        2500.00                 NaN   99.0259       0.116507                 NaN  0.250811       0.310041       0.296720                 NaN            NaN            NaN            NaN
  1372.47        2500.00                 NaN   99.1410       0.104015                 NaN  0.216062       0.277864       0.261062                 NaN            NaN            NaN            NaN
  1370.99        2500.00                 NaN   99.1006       0.108300                 NaN  0.259303       0.258385       0.273398                 NaN            NaN            NaN            NaN
  1369.51        2500.00                 NaN   99.1117       0.107303                 NaN  0.256150       0.254984       0.269898                 NaN            NaN            NaN            NaN
  1368.03        2500.00                 NaN   99.1226       0.106336                 NaN  0.252997       0.251652       0.266417                 NaN            NaN            NaN            NaN
  1366.56        2500.00                 NaN   99.1331       0.105370                 NaN  0.249776       0.248634       0.263123                 NaN            NaN            NaN            NaN
  1365.08        2500.00                 NaN   99.1436       0.104128                 NaN  0.246554       0.245923       0.259752                 NaN            NaN            NaN            NaN
  1363.60        2500.00                 NaN   99.1456       0.105691                 NaN  0.242102       0.247234       0.259370                 NaN            NaN            NaN            NaN
  1362.12        2500.00                 NaN   99.1735       0.999235E-001            NaN  0.238824       0.237791       0.250002                 NaN            NaN            NaN            NaN
  1360.64        2500.00                 NaN   99.1735       0.101399                 NaN  0.236961       0.237806       0.250330                 NaN            NaN            NaN            NaN
  1359.16        2500.00                 NaN   99.1837       0.998677E-001            NaN  0.234661       0.234882       0.246851                 NaN            NaN            NaN            NaN
  1357.69        2500.00                 NaN   99.1925       0.993832E-001            NaN  0.231539       0.232434       0.244110                 NaN            NaN            NaN            NaN
  1356.21        2500.00                 NaN   99.2012       0.993191E-001            NaN  0.227577       0.230284       0.241642                 NaN            NaN            NaN            NaN
  1354.73        2500.00                 NaN   99.2130       0.957875E-001            NaN  0.225273       0.228598       0.237347                 NaN            NaN            NaN            NaN
  1353.25        2500.00                 NaN   99.2203       0.958206E-001            NaN  0.224224       0.224429       0.235192                 NaN            NaN            NaN            NaN
  1351.77        2500.00                 NaN   99.2292       0.948337E-001            NaN  0.222509       0.221059       0.232382                 NaN            NaN            NaN            NaN
  1350.30        2500.00                 NaN   99.2372       0.937025E-001            NaN  0.218871       0.220517       0.229690                 NaN            NaN            NaN            NaN
  1348.82        2500.00                 NaN   99.2464       0.926815E-001            NaN  0.215650       0.218417       0.226846                 NaN            NaN            NaN            NaN
  1347.34        2500.00                 NaN   99.2543       0.917492E-001            NaN  0.216135       0.213484       0.224352                 NaN            NaN            NaN            NaN
  1345.86        2500.00                 NaN   99.2628       0.901757E-001            NaN  0.210917       0.214727       0.221365                 NaN            NaN            NaN            NaN
  1344.38        2500.00                 NaN   99.2707       0.893460E-001            NaN  0.212462       0.208587       0.218879                 NaN            NaN            NaN            NaN
  1342.91        2500.00                 NaN   99.2789       0.883664E-001            NaN  0.205858       0.210548       0.216292                 NaN            NaN            NaN            NaN
  1341.43        2500.00                 NaN   99.2863       0.870292E-001            NaN  0.203579       0.209265       0.213842                 NaN            NaN            NaN            NaN
  1339.95        2500.00                 NaN   99.2940       0.864994E-001            NaN  0.201485       0.206565       0.211416                 NaN            NaN            NaN            NaN
  1338.47        2500.00                 NaN   99.3016       0.843946E-001            NaN  0.198486       0.206729       0.208771                 NaN            NaN            NaN            NaN
  1336.99        2500.00                 NaN   99.3091       0.836038E-001            NaN  0.196225       0.204609       0.206419                 NaN            NaN            NaN            NaN
  1335.52        2500.00                 NaN   99.3157       0.824211E-001            NaN  0.194054       0.203569       0.204261                 NaN            NaN            NaN            NaN
  1334.04        2500.00                 NaN   99.3234       0.813827E-001            NaN  0.201789       0.191710       0.201717                 NaN            NaN            NaN            NaN
  1332.56        2500.00                 NaN   99.3300       0.801731E-001            NaN  0.189877       0.200420       0.199541                 NaN            NaN            NaN            NaN
  1331.08        2500.00                 NaN   99.3371       0.788193E-001            NaN  0.187106       0.199728       0.197197                 NaN            NaN            NaN            NaN
  1329.60        2500.00                 NaN   99.3422       0.783682E-001            NaN  0.186884       0.196941       0.195608                 NaN            NaN            NaN            NaN
  1328.13        2500.00                 NaN   99.3516       0.756924E-001            NaN  0.182196       0.198192       0.192303                 NaN            NaN            NaN            NaN
  1326.65        2500.00                 NaN   99.3533       0.755185E-001            NaN  0.199070       0.179891       0.192216                 NaN            NaN            NaN            NaN
  1325.17        2500.00                 NaN   99.3670       0.734104E-001            NaN  0.178333       0.194155       0.187136                 NaN            NaN            NaN            NaN
  1323.69        2500.00                 NaN   99.3703       0.730914E-001            NaN  0.194058       0.176176       0.186421                 NaN            NaN            NaN            NaN
  1322.21        2500.00                 NaN   99.3760       0.715872E-001            NaN  0.174068       0.193941       0.184420                 NaN            NaN            NaN            NaN
  1320.74        2500.00                 NaN   99.3822       0.702290E-001            NaN  0.171852       0.193324       0.182391                 NaN            NaN            NaN            NaN
  1319.26        2500.00                 NaN   99.3881       0.693446E-001            NaN  0.191896       0.170258       0.180451                 NaN            NaN            NaN            NaN
  1317.78        2500.00                 NaN   76.9466        2.42617                 NaN   3.15739       0.496740        2.83840        14.1347                 NaN            NaN            NaN
  1316.30        2500.00                 NaN   80.0522        2.19305                 NaN   2.85143       0.200751        2.46259        12.2400                 NaN            NaN            NaN
  1314.82        2500.00                 NaN   82.9407        1.93950                 NaN   2.55122                 NaN   2.11444        10.4542                 NaN            NaN            NaN
  1313.35        2500.00                 NaN   85.1563        1.68778                 NaN   2.24056                 NaN   1.84787        9.06745                 NaN            NaN            NaN
  1311.87        2500.00                 NaN   86.9443        1.48686                 NaN   1.98709                 NaN   1.63155        7.95020                 NaN            NaN            NaN
  1310.39        2500.00                 NaN   88.3993        1.32371                 NaN   1.78003                 NaN   1.45566        7.04131                 NaN            NaN            NaN
  1308.91        2500.00                 NaN   89.6100        1.19197                 NaN   1.60136                 NaN   1.30879        6.28784                 NaN            NaN            NaN
  1307.43        2500.00                 NaN   90.6270        1.07843                 NaN   1.45537                 NaN   1.18563        5.65354                 NaN            NaN            NaN
  1305.96        2500.00                 NaN   91.4944       0.986027                 NaN   1.32405                 NaN   1.07978        5.11575                 NaN            NaN            NaN
  1304.48        2500.00                 NaN   92.2237       0.906283                 NaN   1.21843                 NaN  0.991157        4.66041                 NaN            NaN            NaN
  1303.00        2500.00                 NaN   92.8481       0.838072                 NaN   1.12738                 NaN  0.914940        4.27154                 NaN            NaN            NaN
  1301.52        2500.00                 NaN   93.4057       0.775595                 NaN   1.04824                 NaN  0.846973        3.92351                 NaN            NaN            NaN
  1300.04        2500.00                 NaN   93.8830       0.722807                 NaN  0.979499                 NaN  0.788472        3.62622                 NaN            NaN            NaN
  1298.57        2500.00                 NaN   94.3080       0.676420                 NaN  0.917484                 NaN  0.736284        3.36184                 NaN            NaN            NaN
  1297.09        2500.00                 NaN   94.6865       0.633046                 NaN  0.865792                 NaN  0.689708        3.12492                 NaN            NaN            NaN
  1295.61        2500.00                 NaN   95.0052       0.596239                 NaN  0.821912                 NaN  0.650568        2.92612                 NaN            NaN            NaN
  1294.13        2500.00                 NaN   95.3156       0.562424                 NaN  0.776183                 NaN  0.611983        2.73383                 NaN            NaN            NaN
  1292.65        2500.00                 NaN   95.5709       0.532246                 NaN  0.744927                 NaN  0.580509        2.57141                 NaN            NaN            NaN
  1291.17        2500.00                 NaN   95.8092       0.503595                 NaN  0.714609                 NaN  0.551118        2.42145                 NaN            NaN            NaN
  1289.70        2500.00                 NaN   94.9167       0.509370                 NaN  0.854226                 NaN  0.655283        2.93075       0.133647                 NaN            NaN
  1288.22        2500.00                 NaN   93.9803       0.556286                 NaN  0.975781                 NaN  0.766527        3.42876       0.292309                 NaN            NaN
  1286.74        2500.00                 NaN   94.3477       0.510506                 NaN  0.923512                 NaN  0.718384        3.22154       0.278363                 NaN            NaN
  1285.26        2500.00                 NaN   94.7517       0.478135                 NaN  0.862485                 NaN  0.667822        2.98126       0.258630                 NaN            NaN
  1283.78        2500.00                 NaN   95.0993       0.449800                 NaN  0.809812                 NaN  0.623815        2.77573       0.241581                 NaN            NaN
  1282.31        2500.00                 NaN   95.4047       0.424100                 NaN  0.763804                 NaN  0.585200        2.59547       0.226701                 NaN            NaN
  1280.83        2500.00                 NaN   94.6832       0.463111                 NaN  0.907703                 NaN  0.682628        2.99456       0.268826                 NaN            NaN
  1279.35        2500.00                 NaN   96.6248       0.323432                 NaN  0.573207                 NaN  0.424135        1.89466       0.159808                 NaN            NaN
  1277.87        2500.00                 NaN   95.3885       0.427100                 NaN  0.795413                 NaN  0.599340        2.55985       0.229850                 NaN            NaN
  1276.39        2500.00                 NaN   97.2861       0.266235                 NaN  0.474002                 NaN  0.335948        1.51304       0.124687                 NaN            NaN
  1274.92        2500.00                 NaN   96.2413       0.352458                 NaN  0.630339                 NaN  0.477485        2.11033       0.188049                 NaN            NaN
  1273.44        2500.00                 NaN   93.9847        1.08222                 NaN  0.628244                 NaN  0.860121        3.21275       0.231932                 NaN            NaN
  1271.96        2500.00                 NaN   98.4192                 NaN            NaN  0.438930                 NaN  0.156231       0.906968       0.786716E-001            NaN            NaN
