|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.25/KHA22/KHA22_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1570.53        2500.00                 NaN   99.4497       0.488770E-001  0.501462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.05        2500.00                 NaN   99.4707       0.466740E-001  0.482654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        2500.00                 NaN   99.4629       0.461946E-001  0.490883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.09        2500.00                 NaN   99.4710       0.471701E-001  0.481844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.61        2500.00                 NaN   99.4752       0.453857E-001  0.479401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.14        2500.00                 NaN   99.4790       0.445343E-001  0.476417                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        2500.00                 NaN   99.4819       0.426829E-001  0.475375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.18        2500.00                 NaN   99.4646       0.459558E-001  0.489477                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.70        2500.00                 NaN   99.5135       0.400990E-001  0.446447                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.22        2500.00                 NaN   99.4954       0.426038E-001  0.462042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        2500.00                 NaN   99.4995       0.400453E-001  0.460466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.27        2500.00                 NaN   99.4328       0.477174E-001  0.519478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00                 NaN   99.5823       0.342709E-001  0.383404                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.31        2500.00                 NaN   99.5117       0.392905E-001  0.449006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00                 NaN   99.5160       0.378662E-001  0.446173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.35        2500.00                 NaN   99.5191       0.380846E-001  0.442811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        2500.00                 NaN   99.5230       0.372473E-001  0.439776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        2500.00                 NaN   99.5236       0.355337E-001  0.440822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.92        2500.00                 NaN   99.5308       0.350548E-001  0.434190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        2500.00                 NaN   99.4936       0.374051E-001  0.469014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.96        2500.00                 NaN   99.5775       0.312604E-001  0.391276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.49        2500.00                 NaN   99.8065       0.212883E-001  0.172235                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        2500.00                 NaN   98.9028       0.699390E-001   1.02725                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.53        2500.00                 NaN   99.9229       0.309625E-002  0.740481E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.05        2500.00                 NaN   99.5515       0.365682E-001  0.411933                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.57        2500.00                 NaN   99.5534       0.279628E-001  0.418660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00                 NaN   99.5585       0.313544E-001  0.410113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.62        2500.00                 NaN   99.5607       0.298988E-001  0.409372                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.14        2500.00                 NaN   99.7683       0.188673E-001  0.212859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.66        2500.00                 NaN   99.3600       0.375618E-001  0.602395                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.18        2500.00                 NaN   99.5701       0.291306E-001  0.400726                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.71        2500.00                 NaN   99.5742       0.273794E-001  0.398393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        2500.00                 NaN   99.5759       0.270138E-001  0.397077                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.75        2500.00                 NaN   99.5785       0.259200E-001  0.395604                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        2500.00                 NaN   99.1354       0.395524E-001  0.825039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.79        2500.00                 NaN   99.9375       0.165722E-002  0.608049E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        2500.00                 NaN   99.8585       0.754666E-002  0.133985                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.84        2500.00                 NaN   99.3976       0.379160E-001  0.564479                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.36        2500.00                 NaN   99.5946       0.234729E-001  0.381917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.88        2500.00                 NaN   99.5925       0.215575E-001  0.385974                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.40        2500.00                 NaN   99.5986       0.229273E-001  0.378494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.93        2500.00                 NaN   99.6014       0.206659E-001  0.377913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.45        2500.00                 NaN   99.6013       0.203905E-001  0.378262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.97        2500.00                 NaN   99.6052       0.194651E-001  0.375359                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.49        2500.00                 NaN   99.6057       0.183779E-001  0.373587       0.230240E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1504.01        2500.00                 NaN   99.5005       0.195271E-002  0.139886       0.357640                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.54        2500.00                 NaN   99.4987                 NaN            NaN  0.501339                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.06        2500.00                 NaN   99.4965                 NaN            NaN  0.503498                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.58        2500.00                 NaN   99.4983                 NaN            NaN  0.501723                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.10        2500.00                 NaN   99.4996                 NaN            NaN  0.500414                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.62        2500.00                 NaN   99.5000                 NaN            NaN  0.500005                 NaN            NaN            NaN            NaN            NaN            NaN
  1495.15        2500.00                 NaN   99.5005                 NaN            NaN  0.499517                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.67        2500.00                 NaN   99.5003                 NaN            NaN  0.499742                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.19        2500.00                 NaN   99.4983                 NaN            NaN  0.501707                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.71        2500.00                 NaN   99.5011       0.838555E-006            NaN  0.498931                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.23        2500.00                 NaN   99.4993                 NaN            NaN  0.500662                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.75        2500.00                 NaN   99.4977                 NaN            NaN  0.502324                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.28        2500.00                 NaN   99.4948                 NaN            NaN  0.505184                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.80        2500.00                 NaN   99.4940                 NaN            NaN  0.506002                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.32        2500.00                 NaN   99.4922                 NaN            NaN  0.507817                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.84        2500.00                 NaN   99.2971                 NaN            NaN  0.350708       0.352231                 NaN            NaN            NaN            NaN            NaN
  1480.36        2500.00                 NaN   99.2508                 NaN            NaN  0.441559       0.307677                 NaN            NaN            NaN            NaN            NaN
  1478.89        2500.00                 NaN   99.2579       0.113953E-004            NaN  0.437594       0.304473                 NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00                 NaN   99.2643                 NaN            NaN  0.301732       0.433961                 NaN            NaN            NaN            NaN            NaN
  1475.93        2500.00                 NaN   99.4865                 NaN            NaN  0.303602       0.209910                 NaN            NaN            NaN            NaN            NaN
  1474.45        2500.00                 NaN   99.0596                 NaN            NaN  0.385602       0.554756                 NaN            NaN            NaN            NaN            NaN
  1472.97        2500.00                 NaN   99.2860                 NaN            NaN  0.292539       0.421466                 NaN            NaN            NaN            NaN            NaN
  1471.50        2500.00                 NaN   99.2915                 NaN            NaN  0.418846       0.289660                 NaN            NaN            NaN            NaN            NaN
  1470.02        2500.00                 NaN   99.2977                 NaN            NaN  0.287036       0.415267                 NaN            NaN            NaN            NaN            NaN
  1468.54        2500.00                 NaN   99.3033                 NaN            NaN  0.412029       0.284631                 NaN            NaN            NaN            NaN            NaN
  1467.06        2500.00                 NaN   99.3100                 NaN            NaN  0.281559       0.408411                 NaN            NaN            NaN            NaN            NaN
  1465.58        2500.00                 NaN   98.9838                 NaN  0.498442E-002  0.602296       0.408939                 NaN            NaN            NaN            NaN            NaN
  1464.11        2500.00                 NaN   99.6901                 NaN            NaN  0.126304       0.183553                 NaN            NaN            NaN            NaN            NaN
  1462.63        2500.00                 NaN   99.2895                 NaN            NaN  0.288695       0.421808                 NaN            NaN            NaN            NaN            NaN
  1461.15        2500.00                 NaN   99.3348                 NaN            NaN  0.271440       0.393748                 NaN            NaN            NaN            NaN            NaN
  1459.67        2500.00                 NaN   99.3381                 NaN            NaN  0.392863       0.269038                 NaN            NaN            NaN            NaN            NaN
  1458.19        2500.00                 NaN   99.4489                 NaN            NaN  0.224098       0.327002                 NaN            NaN            NaN            NaN            NaN
  1456.72        2500.00                 NaN   99.2449                 NaN            NaN  0.306324       0.448825                 NaN            NaN            NaN            NaN            NaN
  1455.24        2500.00                 NaN   99.3583                 NaN            NaN  0.260654       0.381088                 NaN            NaN            NaN            NaN            NaN
  1453.76        2500.00                 NaN   99.3614                 NaN            NaN  0.379770       0.258824                 NaN            NaN            NaN            NaN            NaN
  1452.28        2500.00                 NaN   99.3659                 NaN            NaN  0.377340       0.256779                 NaN            NaN            NaN            NaN            NaN
  1450.80        2500.00                 NaN   99.3656                 NaN            NaN  0.372273       0.262109                 NaN            NaN            NaN            NaN            NaN
  1449.33        2500.00                 NaN   99.3827                 NaN            NaN  0.373251       0.244059                 NaN            NaN            NaN            NaN            NaN
  1447.85        2500.00                 NaN   99.3820                 NaN            NaN  0.368520       0.249431                 NaN            NaN            NaN            NaN            NaN
  1446.37        2500.00                 NaN   99.3869                 NaN            NaN  0.365671       0.247476                 NaN            NaN            NaN            NaN            NaN
  1444.89        2500.00                 NaN   99.3915       0.128570E-004            NaN  0.363423       0.245066                 NaN            NaN            NaN            NaN            NaN
  1443.41        2500.00                 NaN   99.3967                 NaN            NaN  0.360353       0.242916                 NaN            NaN            NaN            NaN            NaN
  1441.94        2500.00                 NaN   99.4011                 NaN            NaN  0.358233       0.240634                 NaN            NaN            NaN            NaN            NaN
  1440.46        2500.00                 NaN   99.4056                 NaN            NaN  0.355870       0.238564                 NaN            NaN            NaN            NaN            NaN
  1438.98        2500.00                 NaN   99.5070                 NaN  0.738897E-001  0.419067                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.50        2500.00                 NaN   98.5601                 NaN            NaN  0.740138       0.699772                 NaN            NaN            NaN            NaN            NaN
  1436.02        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.55        2500.00                 NaN   99.4942                 NaN            NaN  0.235401       0.205892       0.644829E-001            NaN            NaN            NaN            NaN
  1433.07        2500.00                 NaN   98.5148                 NaN            NaN  0.620489       0.374236       0.490479                 NaN            NaN            NaN            NaN
  1431.59        2500.00                 NaN   98.5416                 NaN            NaN  0.367134       0.609559       0.481705                 NaN            NaN            NaN            NaN
  1430.11        2500.00                 NaN   98.5687                 NaN            NaN  0.359820       0.598699       0.472735                 NaN            NaN            NaN            NaN
  1428.63        2500.00                 NaN   98.5951       0.280132E-004            NaN  0.587913       0.352756       0.464251                 NaN            NaN            NaN            NaN
  1427.16        2500.00                 NaN   98.5839       0.316636E-001            NaN  0.547169       0.362231       0.475053                 NaN            NaN            NaN            NaN
  1425.68        2500.00                 NaN   98.6721       0.597499E-001            NaN  0.470998       0.347431       0.449681                 NaN            NaN            NaN            NaN
  1424.20        2500.00                 NaN   98.6621       0.115889                 NaN  0.394523       0.362943       0.464566                 NaN            NaN            NaN            NaN
  1422.72        2500.00                 NaN   98.6847       0.115185                 NaN  0.357231       0.385728       0.457133                 NaN            NaN            NaN            NaN
  1421.24        2500.00                 NaN   98.7087       0.114065                 NaN  0.377405       0.350848       0.449012                 NaN            NaN            NaN            NaN
  1419.76        2500.00                 NaN   98.7310       0.112976                 NaN  0.369450       0.345188       0.441369                 NaN            NaN            NaN            NaN
  1418.29        2500.00                 NaN   98.7534       0.111804                 NaN  0.361901       0.338992       0.433890                 NaN            NaN            NaN            NaN
  1416.81        2500.00                 NaN   98.7734       0.111110                 NaN  0.335095       0.353390       0.426989                 NaN            NaN            NaN            NaN
  1415.33        2500.00                 NaN   98.7963       0.109509                 NaN  0.327788       0.347146       0.419213                 NaN            NaN            NaN            NaN
  1413.85        2500.00                 NaN   98.8168       0.108252                 NaN  0.322014       0.340616       0.412340                 NaN            NaN            NaN            NaN
  1412.37        2500.00                 NaN   98.8368       0.107264                 NaN  0.316840       0.333545       0.405597                 NaN            NaN            NaN            NaN
  1410.90        2500.00                 NaN   98.9202       0.913852E-001            NaN  0.318965       0.294026       0.375403                 NaN            NaN            NaN            NaN
  1409.42        2500.00                 NaN   98.8071       0.120507                 NaN  0.327623       0.327313       0.417483                 NaN            NaN            NaN            NaN
  1407.94        2500.00                 NaN   98.8893       0.105682                 NaN  0.314943       0.301549       0.388516                 NaN            NaN            NaN            NaN
  1406.46        2500.00                 NaN   98.9167       0.101778                 NaN  0.296127       0.307887       0.377533                 NaN            NaN            NaN            NaN
  1404.98        2500.00                 NaN   98.9285       0.102298                 NaN  0.292106       0.302839       0.374286                 NaN            NaN            NaN            NaN
  1403.51        2500.00                 NaN   98.9464       0.101223                 NaN  0.296735       0.287535       0.368087                 NaN            NaN            NaN            NaN
  1402.03        2500.00                 NaN   98.9624       0.100343                 NaN  0.291125       0.283541       0.362556                 NaN            NaN            NaN            NaN
  1400.55        2500.00                 NaN   98.9781       0.993157E-001            NaN  0.285760       0.279643       0.357192                 NaN            NaN            NaN            NaN
  1399.07        2500.00                 NaN   98.9946       0.989177E-001            NaN  0.275526       0.279422       0.351558                 NaN            NaN            NaN            NaN
  1397.59        2500.00                 NaN   99.0112       0.969286E-001            NaN  0.270082       0.276165       0.345635                 NaN            NaN            NaN            NaN
  1396.12        2500.00                 NaN   99.0157       0.987421E-001            NaN  0.268737       0.271231       0.345581                 NaN            NaN            NaN            NaN
  1394.64        2500.00                 NaN   99.0498       0.927969E-001            NaN  0.266589       0.259443       0.331372                 NaN            NaN            NaN            NaN
  1393.16        2500.00                 NaN   99.0546       0.945733E-001            NaN  0.261184       0.258890       0.330754                 NaN            NaN            NaN            NaN
  1391.68        2500.00                 NaN   99.8553       0.187910E-001            NaN  0.416269E-001  0.320246E-001  0.522966E-001            NaN            NaN            NaN            NaN
  1390.20        2500.00                 NaN   98.2976       0.167344                 NaN  0.476366       0.464409       0.594264                 NaN            NaN            NaN            NaN
  1388.73        2500.00                 NaN   99.0959       0.919035E-001            NaN  0.248229       0.247542       0.316440                 NaN            NaN            NaN            NaN
  1387.25        2500.00                 NaN   99.1088       0.913289E-001            NaN  0.243867       0.243795       0.312205                 NaN            NaN            NaN            NaN
  1385.77        2500.00                 NaN   99.1226       0.895645E-001            NaN  0.240364       0.240529       0.306929                 NaN            NaN            NaN            NaN
  1384.29        2500.00                 NaN   99.1343       0.890664E-001            NaN  0.237159       0.236440       0.303005                 NaN            NaN            NaN            NaN
  1382.81        2500.00                 NaN   99.1466       0.882494E-001            NaN  0.233921       0.232553       0.298700                 NaN            NaN            NaN            NaN
  1381.34        2500.00                 NaN   99.1589       0.875435E-001            NaN  0.230577       0.228490       0.294453                 NaN            NaN            NaN            NaN
  1379.86        2500.00                 NaN   99.1709       0.863925E-001            NaN  0.225474       0.227014       0.290197                 NaN            NaN            NaN            NaN
  1378.38        2500.00                 NaN   99.1826       0.854960E-001            NaN  0.223942       0.221940       0.286045                 NaN            NaN            NaN            NaN
  1376.90        2500.00                 NaN   99.1932       0.848405E-001            NaN  0.218323       0.221293       0.282328                 NaN            NaN            NaN            NaN
  1375.42        2500.00                 NaN   99.2046       0.838469E-001            NaN  0.215131       0.218107       0.278310                 NaN            NaN            NaN            NaN
  1373.95        2500.00                 NaN   99.1715       0.875518E-001            NaN  0.202965       0.247665       0.290295                 NaN            NaN            NaN            NaN
  1372.47        2500.00                 NaN   99.2698       0.781053E-001            NaN  0.172417       0.224520       0.255191                 NaN            NaN            NaN            NaN
  1370.99        2500.00                 NaN   99.2364       0.811980E-001            NaN  0.209320       0.205976       0.267072                 NaN            NaN            NaN            NaN
  1369.51        2500.00                 NaN   99.2466       0.803156E-001            NaN  0.206570       0.203044       0.263457                 NaN            NaN            NaN            NaN
  1368.03        2500.00                 NaN   99.2567       0.794676E-001            NaN  0.203830       0.200175       0.259865                 NaN            NaN            NaN            NaN
  1366.56        2500.00                 NaN   99.2663       0.786008E-001            NaN  0.201040       0.197563       0.256463                 NaN            NaN            NaN            NaN
  1365.08        2500.00                 NaN   99.2760       0.775529E-001            NaN  0.198251       0.195195       0.252989                 NaN            NaN            NaN            NaN
  1363.60        2500.00                 NaN   99.2783       0.786458E-001            NaN  0.191972       0.198632       0.252432                 NaN            NaN            NaN            NaN
  1362.12        2500.00                 NaN   99.3027       0.741956E-001            NaN  0.189143       0.190812       0.243131                 NaN            NaN            NaN            NaN
  1360.64        2500.00                 NaN   99.3034       0.751713E-001            NaN  0.187478       0.190642       0.243274                 NaN            NaN            NaN            NaN
  1359.16        2500.00                 NaN   99.3128       0.739190E-001            NaN  0.185461       0.188123       0.239717                 NaN            NaN            NaN            NaN
  1357.69        2500.00                 NaN   99.3209       0.734473E-001            NaN  0.182783       0.185961       0.236882                 NaN            NaN            NaN            NaN
  1356.21        2500.00                 NaN   99.3288       0.732634E-001            NaN  0.179517       0.184069       0.234315                 NaN            NaN            NaN            NaN
  1354.73        2500.00                 NaN   99.3395       0.705577E-001            NaN  0.179907       0.180088       0.229982                 NaN            NaN            NaN            NaN
  1353.25        2500.00                 NaN   99.3463       0.704765E-001            NaN  0.178881       0.176644       0.227728                 NaN            NaN            NaN            NaN
  1351.77        2500.00                 NaN   99.3544       0.696361E-001            NaN  0.174938       0.176183       0.224844                 NaN            NaN            NaN            NaN
  1350.30        2500.00                 NaN   99.3618       0.686854E-001            NaN  0.174254       0.173170       0.222079                 NaN            NaN            NaN            NaN
  1348.82        2500.00                 NaN   99.3701       0.678482E-001            NaN  0.171539       0.171361       0.219171                 NaN            NaN            NaN            NaN
  1347.34        2500.00                 NaN   99.3773       0.670535E-001            NaN  0.169386       0.169640       0.216605                 NaN            NaN            NaN            NaN
  1345.86        2500.00                 NaN   99.3851       0.658033E-001            NaN  0.167450       0.168122       0.213567                 NaN            NaN            NaN            NaN
  1344.38        2500.00                 NaN   99.3923       0.651012E-001            NaN  0.166172       0.165436       0.211018                 NaN            NaN            NaN            NaN
  1342.91        2500.00                 NaN   99.3997       0.642936E-001            NaN  0.163131       0.164516       0.208374                 NaN            NaN            NaN            NaN
  1341.43        2500.00                 NaN   99.4064       0.632165E-001            NaN  0.161152       0.163339       0.205868                 NaN            NaN            NaN            NaN
  1339.95        2500.00                 NaN   99.4135       0.627242E-001            NaN  0.159344       0.161085       0.203388                 NaN            NaN            NaN            NaN
  1338.47        2500.00                 NaN   99.4203       0.611136E-001            NaN  0.156827       0.161039       0.200702                 NaN            NaN            NaN            NaN
  1336.99        2500.00                 NaN   99.4271       0.604532E-001            NaN  0.154890       0.159226       0.198301                 NaN            NaN            NaN            NaN
  1335.52        2500.00                 NaN   99.4331       0.594972E-001            NaN  0.153021       0.158245       0.196090                 NaN            NaN            NaN            NaN
  1334.04        2500.00                 NaN   99.4401       0.586614E-001            NaN  0.156712       0.151043       0.193511                 NaN            NaN            NaN            NaN
  1332.56        2500.00                 NaN   99.4461       0.577060E-001            NaN  0.149446       0.155490       0.191290                 NaN            NaN            NaN            NaN
  1331.08        2500.00                 NaN   99.4525       0.566374E-001            NaN  0.147133       0.154811       0.188911                 NaN            NaN            NaN            NaN
  1329.60        2500.00                 NaN   99.4572       0.562313E-001            NaN  0.146780       0.152489       0.187259                 NaN            NaN            NaN            NaN
  1328.13        2500.00                 NaN   99.4655       0.542394E-001            NaN  0.142999       0.153317       0.183967                 NaN            NaN            NaN            NaN
  1326.65        2500.00                 NaN   99.4674       0.540250E-001            NaN  0.153825       0.141041       0.183758                 NaN            NaN            NaN            NaN
  1325.17        2500.00                 NaN   99.4792       0.524478E-001            NaN  0.139705       0.149901       0.178778                 NaN            NaN            NaN            NaN
  1323.69        2500.00                 NaN   99.4823       0.521508E-001            NaN  0.149704       0.137904       0.177973                 NaN            NaN            NaN            NaN
  1322.21        2500.00                 NaN   99.4875       0.509918E-001            NaN  0.136115       0.149448       0.175943                 NaN            NaN            NaN            NaN
  1320.74        2500.00                 NaN   99.4931       0.499556E-001            NaN  0.134246       0.148834       0.173890                 NaN            NaN            NaN            NaN
  1319.26        2500.00                 NaN   99.4984       0.492475E-001            NaN  0.147592       0.132886       0.171923                 NaN            NaN            NaN            NaN
  1317.78        2500.00                 NaN   77.9718        1.73815                 NaN   2.49435       0.386561        2.74017        14.6690                 NaN            NaN            NaN
  1316.30        2500.00                 NaN   80.9639        1.56455                 NaN   2.24843       0.155925        2.37523        12.6920                 NaN            NaN            NaN
  1314.82        2500.00                 NaN   83.7448        1.37705                 NaN   2.00814                 NaN   2.03781        10.8322                 NaN            NaN            NaN
  1313.35        2500.00                 NaN   85.8728        1.19392                 NaN   1.76168                 NaN   1.78007        9.39155                 NaN            NaN            NaN
  1311.87        2500.00                 NaN   87.5866        1.04870                 NaN   1.56102                 NaN   1.57123        8.23243                 NaN            NaN            NaN
  1310.39        2500.00                 NaN   88.9794       0.931143                 NaN   1.39737                 NaN   1.40161        7.29049                 NaN            NaN            NaN
  1308.91        2500.00                 NaN   90.1367       0.836526                 NaN   1.25658                 NaN   1.26009        6.51012                 NaN            NaN            NaN
  1307.43        2500.00                 NaN   91.1083       0.755269                 NaN   1.14152                 NaN   1.14147        5.85349                 NaN            NaN            NaN
  1305.96        2500.00                 NaN   91.9358       0.689282                 NaN   1.03843                 NaN   1.03955        5.29690                 NaN            NaN            NaN
  1304.48        2500.00                 NaN   92.6324       0.632284                 NaN  0.955306                 NaN  0.954260        4.82580                 NaN            NaN            NaN
  1303.00        2500.00                 NaN   93.2281       0.583634                 NaN  0.883821                 NaN  0.880911        4.42349                 NaN            NaN            NaN
  1301.52        2500.00                 NaN   93.7603       0.539240                 NaN  0.821650                 NaN  0.815495        4.06335                 NaN            NaN            NaN
  1300.04        2500.00                 NaN   94.2156       0.501845                 NaN  0.767669                 NaN  0.759191        3.75574                 NaN            NaN            NaN
  1298.57        2500.00                 NaN   94.6210       0.469024                 NaN  0.718982                 NaN  0.708956        3.48207                 NaN            NaN            NaN
  1297.09        2500.00                 NaN   94.9823       0.438272                 NaN  0.678450                 NaN  0.664116        3.23689                 NaN            NaN            NaN
  1295.61        2500.00                 NaN   95.2861       0.412344                 NaN  0.643991                 NaN  0.626436        3.03113                 NaN            NaN            NaN
  1294.13        2500.00                 NaN   95.5820       0.388552                 NaN  0.608162                 NaN  0.589273        2.83197                 NaN            NaN            NaN
  1292.65        2500.00                 NaN   95.8267       0.366988                 NaN  0.583570                 NaN  0.558963        2.66379                 NaN            NaN            NaN
  1291.17        2500.00                 NaN   96.0543       0.346864                 NaN  0.559722                 NaN  0.530645        2.50843                 NaN            NaN            NaN
  1289.70        2500.00                 NaN   95.2347       0.351028                 NaN  0.669852                 NaN  0.631310        3.03793       0.752145E-001            NaN            NaN
  1288.22        2500.00                 NaN   94.3926       0.383086                 NaN  0.765653                 NaN  0.738695        3.55541       0.164550                 NaN            NaN
  1286.74        2500.00                 NaN   94.7388       0.351124                 NaN  0.724347                 NaN  0.691630        3.33754       0.156545                 NaN            NaN
  1285.26        2500.00                 NaN   95.1221       0.328284                 NaN  0.676171                 NaN  0.642327        3.08578       0.145304                 NaN            NaN
  1283.78        2500.00                 NaN   95.4515       0.308400                 NaN  0.634559                 NaN  0.599432        2.87048       0.135594                 NaN            NaN
  1282.31        2500.00                 NaN   95.7407       0.290443                 NaN  0.598234                 NaN  0.561805        2.68173       0.127122                 NaN            NaN
  1280.83        2500.00                 NaN   95.0745       0.315161                 NaN  0.710804                 NaN  0.655141        3.09374       0.150695                 NaN            NaN
  1279.35        2500.00                 NaN   96.8826       0.220633                 NaN  0.448170                 NaN  0.406210        1.95302       0.893949E-001            NaN            NaN
  1277.87        2500.00                 NaN   95.7466       0.290070                 NaN  0.620646                 NaN  0.574081        2.64004       0.128590                 NaN            NaN
  1276.39        2500.00                 NaN   97.5010       0.181291                 NaN  0.370210                 NaN  0.321115        1.55679       0.696084E-001            NaN            NaN
  1274.92        2500.00                 NaN   96.5325       0.241426                 NaN  0.493029                 NaN  0.456425        2.17165       0.104984                 NaN            NaN
  1273.44        2500.00                 NaN   94.5167       0.733589                 NaN  0.490362                 NaN  0.822347        3.30753       0.129506                 NaN            NaN
