|6.6.6
Archiving\03_Data\eq/QFM_m5/Y98/Y98_1.tab                                 
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       pxmn           iron           Ni             Sp(TH)         Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an            
  1900.64        2500.00        95.9904       0.972566        3.01315       0.238715E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        95.9670       0.972630        3.03648       0.238730E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        95.9446       0.972692        3.05882       0.238746E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        95.9222       0.972754        3.08116       0.238761E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        95.8998       0.972816        3.10351       0.238776E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        95.8774       0.972878        3.12585       0.238791E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        95.8550       0.972939        3.14820       0.238806E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        95.8326       0.973001        3.17055       0.238821E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        95.8101       0.973063        3.19291       0.238837E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        95.7877       0.973125        3.21526       0.238852E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        95.7663       0.973184        3.23662       0.238866E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        95.7449       0.973243        3.25798       0.238881E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        95.7235       0.973302        3.27935       0.238895E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        95.7020       0.973361        3.30071       0.238910E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        95.6806       0.973420        3.32208       0.238924E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        95.6592       0.973479        3.34345       0.238939E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        95.6377       0.973538        3.36483       0.238953E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        95.6163       0.973597        3.38620       0.238968E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        95.5959       0.973654        3.40658       0.238982E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        95.5754       0.973710        3.42695       0.238995E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        95.5550       0.973766        3.44733       0.239009E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        95.5346       0.973822        3.46770       0.239023E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        95.5141       0.973879        3.48808       0.239037E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        95.4937       0.973935        3.50847       0.239051E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        95.4732       0.973991        3.52885       0.239064E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        95.4528       0.974048        3.54924       0.239078E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        95.4334       0.974101        3.56863       0.239091E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        95.4139       0.974155        3.58802       0.239105E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        95.3945       0.974208        3.60742       0.239118E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        95.3750       0.974262        3.62681       0.239131E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        95.3556       0.974315        3.64621       0.239144E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        95.3361       0.974369        3.66561       0.239157E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        95.3166       0.974423        3.68502       0.239170E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        95.2972       0.974476        3.70442       0.239183E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        95.2787       0.974527        3.72286       0.239196E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        95.2602       0.974578        3.74130       0.239208E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        95.2417       0.974629        3.75974       0.239221E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        95.2232       0.974680        3.77818       0.239233E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        95.2047       0.974731        3.79663       0.239246E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        95.1862       0.974782        3.81507       0.239258E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        95.1677       0.974833        3.83352       0.239271E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        95.1492       0.974883        3.85197       0.239283E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        95.1317       0.974932        3.86945       0.239295E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        95.1142       0.974980        3.88692       0.239307E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        95.0966       0.975028        3.90440       0.239319E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        95.0791       0.975076        3.92188       0.239331E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        95.0616       0.975124        3.93936       0.239343E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        95.0440       0.975173        3.95685       0.239354E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        95.0265       0.975221        3.97433       0.239366E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        95.0090       0.975269        3.99182       0.239378E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        94.9924       0.975315        4.00834       0.239389E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        94.9758       0.975360        4.02486       0.239400E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        94.9593       0.975406        4.04138       0.239412E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        94.9427       0.975451        4.05790       0.239423E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        94.9261       0.975497        4.07442       0.239434E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        94.9096       0.975542        4.09095       0.239445E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        94.8930       0.975588        4.10748       0.239456E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        94.8764       0.975633        4.12401       0.239468E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        94.8608       0.975676        4.13957       0.239478E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        94.8452       0.975719        4.15514       0.239489E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        94.8296       0.975762        4.17070       0.239499E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        94.8140       0.975805        4.18627       0.239510E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        94.7984       0.975848        4.20184       0.239520E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        94.7827       0.975891        4.21742       0.239531E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        94.7671       0.975934        4.23299       0.239541E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        94.7515       0.975976        4.24856       0.239552E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        94.7365       0.976018        4.26353       0.239562E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        94.7215       0.976059        4.27850       0.239572E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        94.7067       0.976100        4.29329       0.239582E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        94.7076       0.976081        4.28650       0.239577E-001  0.584775E-002            NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        94.6757       0.976128        4.30375       0.239589E-001  0.205075E-001            NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        94.6437       0.976176        4.32100       0.239601E-001  0.351688E-001            NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        94.6117       0.976223        4.33826       0.239612E-001  0.498314E-001            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        94.5798       0.976270        4.35552       0.239624E-001  0.644955E-001            NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        94.5517       0.976300        4.36650       0.239631E-001  0.815614E-001            NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        94.5236       0.976330        4.37749       0.239639E-001  0.986283E-001            NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        94.4955       0.976360        4.38847       0.239646E-001  0.115696                 NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        94.4674       0.976391        4.39946       0.239653E-001  0.132765                 NaN            NaN            NaN            NaN            NaN
  1650.64        2500.00        94.4393       0.976421        4.41044       0.239661E-001  0.149835                 NaN            NaN            NaN            NaN            NaN
  1647.44        2500.00        94.4112       0.976451        4.42143       0.239668E-001  0.166907                 NaN            NaN            NaN            NaN            NaN
  1644.23        2500.00        94.3832       0.976481        4.43242       0.239675E-001  0.183979                 NaN            NaN            NaN            NaN            NaN
  1641.03        2500.00        94.3551       0.976511        4.44341       0.239683E-001  0.201052                 NaN            NaN            NaN            NaN            NaN
  1637.82        2500.00        92.9483       0.976552        4.45799       0.239693E-001  0.194648        1.39849                 NaN            NaN            NaN            NaN
  1634.62        2500.00        90.7233       0.976599        4.47443       0.239705E-001  0.173362        3.62829                 NaN            NaN            NaN            NaN
  1631.41        2500.00        88.6220       0.976643        4.48960       0.239715E-001  0.151490        5.73629                 NaN            NaN            NaN            NaN
  1628.21        2500.00        86.5205       0.976687        4.50477       0.239726E-001  0.129615        7.84448                 NaN            NaN            NaN            NaN
  1625.00        2500.00        84.6392       0.976721        4.51666       0.239735E-001  0.106894        9.73653                 NaN            NaN            NaN            NaN
  1621.79        2500.00        82.7578       0.976756        4.52856       0.239743E-001  0.841720E-001   11.6287                 NaN            NaN            NaN            NaN
  1618.59        2500.00        80.8763       0.976790        4.54045       0.239751E-001  0.614480E-001   13.5210                 NaN            NaN            NaN            NaN
  1615.38        2500.00        78.9947       0.976824        4.55235       0.239760E-001  0.387225E-001   15.4135                 NaN            NaN            NaN            NaN
  1612.18        2500.00        77.2695       0.976851        4.56135       0.239766E-001  0.143232E-001   17.1540                 NaN            NaN            NaN            NaN
  1608.97        2500.00        75.6344       0.976879        4.57126       0.239773E-001            NaN   18.7935                 NaN            NaN            NaN            NaN
  1605.77        2500.00        74.1290       0.976890        4.57471       0.239776E-001            NaN   20.2955                 NaN            NaN            NaN            NaN
  1602.56        2500.00        72.6235       0.976900        4.57817       0.239779E-001            NaN   21.7974                 NaN            NaN            NaN            NaN
  1599.36        2500.00        71.2484       0.976905        4.57951       0.239780E-001            NaN   23.1712                 NaN            NaN            NaN            NaN
  1596.15        2500.00        69.8732       0.976910        4.58086       0.239781E-001            NaN   24.5450                 NaN            NaN            NaN            NaN
  1592.95        2500.00        68.4980       0.976914        4.58221       0.239782E-001            NaN   25.9189                 NaN            NaN            NaN            NaN
  1589.74        2500.00        67.1229       0.976919        4.58355       0.239783E-001            NaN   27.2927                 NaN            NaN            NaN            NaN
  1586.54        2500.00        65.9470       0.976915        4.58192       0.239782E-001            NaN   28.4702                 NaN            NaN            NaN            NaN
  1583.33        2500.00        64.7711       0.976911        4.58029       0.239781E-001            NaN   29.6477                 NaN            NaN            NaN            NaN
  1580.13        2500.00        63.5952       0.976907        4.57865       0.239780E-001            NaN   30.8253                 NaN            NaN            NaN            NaN
  1576.92        2500.00        62.4193       0.976903        4.57702       0.239779E-001            NaN   32.0028                 NaN            NaN            NaN            NaN
  1573.72        2500.00        61.2435       0.976899        4.57539       0.239778E-001            NaN   33.1803                 NaN            NaN            NaN            NaN
  1570.51        2500.00        60.0676       0.976895        4.57375       0.239777E-001            NaN   34.3577                 NaN            NaN            NaN            NaN
  1567.31        2500.00        58.8918       0.976891        4.57212       0.239776E-001            NaN   35.5352                 NaN            NaN            NaN            NaN
  1564.10        2500.00        57.7160       0.976888        4.57049       0.239775E-001            NaN   36.7127                 NaN            NaN            NaN            NaN
  1560.90        2500.00        56.6857       0.976875        4.56589       0.239772E-001            NaN   37.7476                 NaN            NaN            NaN            NaN
  1557.69        2500.00        55.6555       0.976863        4.56129       0.239769E-001            NaN   38.7824                 NaN            NaN            NaN            NaN
  1554.49        2500.00        54.6253       0.976850        4.55669       0.239766E-001            NaN   39.8172                 NaN            NaN            NaN            NaN
  1551.28        2500.00        53.5951       0.976838        4.55210       0.239763E-001            NaN   40.8520                 NaN            NaN            NaN            NaN
  1548.08        2500.00        52.6202       0.976817        4.54436       0.239567E-001            NaN   41.8168       0.178550E-001            NaN            NaN            NaN
  1544.87        2500.00        51.6733       0.976755        4.52189       0.238445E-001            NaN   42.6826       0.121532                 NaN            NaN            NaN
  1541.67        2500.00        50.7479       0.976690        4.49854       0.237347E-001            NaN   43.5299       0.223221                 NaN            NaN            NaN
  1538.46        2500.00        49.8226       0.976626        4.47519       0.236249E-001            NaN   44.3771       0.324897                 NaN            NaN            NaN
  1535.26        2500.00        48.9193       0.976558        4.45063       0.235122E-001            NaN   45.2004       0.429620                 NaN            NaN            NaN
  1532.05        2500.00        47.9780       0.976495        4.42780       0.234225E-001            NaN   45.7973       0.513128       0.283884                 NaN            NaN
  1528.85        2500.00        46.6374       0.976485        4.42354       0.234544E-001            NaN   44.8878       0.483823        2.56753                 NaN            NaN
  1525.64        2500.00        45.2967       0.976475        4.41928       0.234863E-001            NaN   43.9784       0.454518        4.85113                 NaN            NaN
  1522.44        2500.00        43.9272       0.976465        4.41522       0.235084E-001            NaN   43.1334       0.434181        7.09007                 NaN            NaN
  1519.23        2500.00        42.5576       0.976455        4.41116       0.235304E-001            NaN   42.2884       0.413845        9.32897                 NaN            NaN
  1516.03        2500.00        41.1881       0.976446        4.40711       0.235525E-001            NaN   41.4435       0.393509        11.5678                 NaN            NaN
  1512.82        2500.00        39.8186       0.976436        4.40305       0.235746E-001            NaN   40.5986       0.373174        13.8066                 NaN            NaN
  1509.62        2500.00        38.2905       0.976452        4.40805       0.235979E-001            NaN   39.9054       0.351950        15.6718       0.372295                 NaN
  1506.41        2500.00        36.5114       0.976523        4.43332       0.236509E-001            NaN   39.5181       0.303490        1.61485        16.6187                 NaN
  1503.21        2500.00        36.5114       0.976523        4.43332       0.236509E-001            NaN   39.5181       0.303490        1.61485        16.6187                 NaN
  1500.00        2500.00        33.2190       0.976623        4.46869       0.237349E-001            NaN   39.0127       0.226132        18.0994        3.97369                 NaN
  1496.79        2500.00        33.2190       0.976623        4.46869       0.237349E-001            NaN   39.0127       0.226132        18.0994        3.97369                 NaN
  1493.59        2500.00        33.2190       0.976623        4.46869       0.237349E-001            NaN   39.0127       0.226132        18.0994        3.97369                 NaN
  1490.38        2500.00        33.2190       0.976623        4.46869       0.237349E-001            NaN   39.0127       0.226132        18.0994        3.97369                 NaN
  1487.18        2500.00        27.4955       0.976670        4.48464       0.238122E-001            NaN   38.6382       0.153964        8.23430        19.9928                 NaN
  1483.97        2500.00        27.4955       0.976670        4.48464       0.238122E-001            NaN   38.6382       0.153964        8.23430        19.9928                 NaN
  1480.77        2500.00        27.4955       0.976670        4.48464       0.238122E-001            NaN   38.6382       0.153964        8.23430        19.9928                 NaN
  1477.56        2500.00        27.4955       0.976670        4.48464       0.238122E-001            NaN   38.6382       0.153964        8.23430        19.9928                 NaN
  1474.36        2500.00        27.4955       0.976670        4.48464       0.238122E-001            NaN   38.6382       0.153964        8.23430        19.9928                 NaN
  1471.15        2500.00        27.4955       0.976670        4.48464       0.238122E-001            NaN   38.6382       0.153964        8.23430        19.9928                 NaN
  1467.95        2500.00        27.4955       0.976670        4.48464       0.238122E-001            NaN   38.6382       0.153964        8.23430        19.9928                 NaN
  1464.74        2500.00        27.4955       0.976670        4.48464       0.238122E-001            NaN   38.6382       0.153964        8.23430        19.9928                 NaN
  1461.54        2500.00        18.7001       0.976190        4.31087       0.235695E-001            NaN   39.3016       0.379517        21.1236        15.1846                 NaN
  1458.33        2500.00        17.7999       0.976079        4.27082       0.235005E-001            NaN   39.4826       0.444337        15.9306        21.0721                 NaN
  1455.13        2500.00        16.3808       0.976012        4.24603       0.233127E-001            NaN   39.2969       0.625350        16.4802        21.5923       0.379140     
  1451.92        2500.00        16.3808       0.976012        4.24603       0.233127E-001            NaN   39.2969       0.625350        16.4802        21.5923       0.379140     
  1448.72        2500.00        13.6043       0.975823        4.17713       0.227942E-001            NaN   38.7697        1.12461        17.2548        22.7418        1.32906     
  1445.51        2500.00        13.6043       0.975823        4.17713       0.227942E-001            NaN   38.7697        1.12461        17.2548        22.7418        1.32906     
  1442.31        2500.00        13.6043       0.975823        4.17713       0.227942E-001            NaN   38.7697        1.12461        17.2548        22.7418        1.32906     
  1439.10        2500.00        13.6043       0.975823        4.17713       0.227942E-001            NaN   38.7697        1.12461        17.2548        22.7418        1.32906     
  1435.90        2500.00        9.73167       0.975095        3.91273       0.215451E-001            NaN   37.5334        2.32035        24.4969        18.2450        2.76323     
  1432.69        2500.00        9.73167       0.975095        3.91273       0.215451E-001            NaN   37.5334        2.32035        24.4969        18.2450        2.76323     
  1429.49        2500.00        9.73167       0.975095        3.91273       0.215451E-001            NaN   37.5334        2.32035        24.4969        18.2450        2.76323     
  1426.28        2500.00        9.73167       0.975095        3.91273       0.215451E-001            NaN   37.5334        2.32035        24.4969        18.2450        2.76323     
  1423.08        2500.00        9.73167       0.975095        3.91273       0.215451E-001            NaN   37.5334        2.32035        24.4969        18.2450        2.76323     
  1419.87        2500.00        9.73167       0.975095        3.91273       0.215451E-001            NaN   37.5334        2.32035        24.4969        18.2450        2.76323     
  1416.67        2500.00        9.73167       0.975095        3.91273       0.215451E-001            NaN   37.5334        2.32035        24.4969        18.2450        2.76323     
  1413.46        2500.00        9.73167       0.975095        3.91273       0.215451E-001            NaN   37.5334        2.32035        24.4969        18.2450        2.76323     
  1410.26        2500.00        5.14567       0.972729        3.05742       0.183781E-001            NaN   34.8673        5.33725        26.6327        19.2011        4.76749     
  1407.05        2500.00        4.72569       0.972355        2.92225       0.179173E-001  0.845848E-002   34.4558        5.77483        19.2657        26.8795        4.97750     
  1403.85        2500.00        4.32080       0.971935        2.77059       0.174309E-001  0.467057E-001   33.8142        6.23418        27.3355        19.3033        5.18538     
  1400.64        2500.00        4.32080       0.971935        2.77059       0.174309E-001  0.467057E-001   33.8142        6.23418        27.3355        19.3033        5.18538     
  1397.44        2500.00        3.56728       0.971042        2.44775       0.164022E-001  0.124921        32.4813        7.20454        19.3484        28.2496        5.58867     
  1394.23        2500.00        3.56728       0.971042        2.44775       0.164022E-001  0.124921        32.4813        7.20454        19.3484        28.2496        5.58867     
  1391.03        2500.00        3.56728       0.971042        2.44775       0.164022E-001  0.124921        32.4813        7.20454        19.3484        28.2496        5.58867     
  1387.82        2500.00        3.56728       0.971042        2.44775       0.164022E-001  0.124921        32.4813        7.20454        19.3484        28.2496        5.58867     
  1384.62        2500.00        2.23508       0.969024        1.71876       0.140962E-001  0.288470        29.5932        9.37460        30.1191        19.3272        6.36051     
  1381.41        2500.00        2.23508       0.969024        1.71876       0.140962E-001  0.288470        29.5932        9.37460        30.1191        19.3272        6.36051     
  1378.21        2500.00        2.23508       0.969024        1.71876       0.140962E-001  0.288470        29.5932        9.37460        30.1191        19.3272        6.36051     
  1375.00        2500.00        2.23508       0.969024        1.71876       0.140962E-001  0.288470        29.5932        9.37460        30.1191        19.3272        6.36051     
  1371.79        2500.00        1.06771       0.966656       0.863343       0.113986E-001  0.463806        26.3319        11.9060        32.1201        19.1627        7.10640     
  1368.59        2500.00        1.06771       0.966656       0.863343       0.113986E-001  0.463806        26.3319        11.9060        32.1201        19.1627        7.10640     
  1365.38        2500.00       0.527826       0.965318       0.380190       0.987362E-002  0.557090        24.5246        13.3344        33.2005        19.0250        7.47517     
  1362.18        2500.00       0.266319       0.964606       0.123056       0.906105E-002  0.605316        23.5702        14.0948        18.9416        33.7657        7.65938     
  1358.97        2500.00       0.190476E-001  0.964266                 NaN  0.866170E-002  0.630693        23.1104        14.4625        34.0872        18.8971        7.82018     
  1355.77        2500.00                 NaN  0.964266                 NaN  0.863048E-002  0.625210        23.3866        14.4810        33.6983        18.9847        7.85134     
  1352.56        2500.00                 NaN  0.964266                 NaN  0.859760E-002  0.620378        23.6692        14.5002        19.0603        33.3036        7.87347     
  1349.36        2500.00                 NaN  0.964266                 NaN  0.859760E-002  0.620378        23.6692        14.5002        19.0603        33.3036        7.87347     
  1346.15        2500.00                 NaN  0.964265                 NaN  0.853315E-002  0.610118        24.2345        14.5377        32.5161        19.2128        7.91596     
  1342.95        2500.00                 NaN  0.964265                 NaN  0.853315E-002  0.610118        24.2345        14.5377        32.5161        19.2128        7.91596     
  1339.74        2500.00                 NaN  0.964265                 NaN  0.853315E-002  0.610118        24.2345        14.5377        32.5161        19.2128        7.91596     
  1336.54        2500.00                 NaN  0.964265                 NaN  0.853315E-002  0.610118        24.2345        14.5377        32.5161        19.2128        7.91596     
  1333.33        2500.00                 NaN  0.964265                 NaN  0.840668E-002  0.593653        25.2852        14.6080        19.4549        31.0860        7.99960     
  1330.13        2500.00                 NaN  0.964265                 NaN  0.840668E-002  0.593653        25.2852        14.6080        19.4549        31.0860        7.99960     
  1326.92        2500.00                 NaN  0.964265                 NaN  0.840668E-002  0.593653        25.2852        14.6080        19.4549        31.0860        7.99960     
  1323.72        2500.00                 NaN  0.964265                 NaN  0.840668E-002  0.593653        25.2852        14.6080        19.4549        31.0860        7.99960     
  1320.51        2500.00                 NaN  0.964265                 NaN  0.840668E-002  0.593653        25.2852        14.6080        19.4549        31.0860        7.99960     
  1317.31        2500.00                 NaN  0.964265                 NaN  0.840668E-002  0.593653        25.2852        14.6080        19.4549        31.0860        7.99960     
  1314.10        2500.00                 NaN  0.964265                 NaN  0.840668E-002  0.593653        25.2852        14.6080        19.4549        31.0860        7.99960     
  1310.90        2500.00                 NaN  0.964265                 NaN  0.840668E-002  0.593653        25.2852        14.6080        19.4549        31.0860        7.99960     
  1307.69        2500.00                 NaN  0.964265                 NaN  0.816212E-002  0.572707        27.1494        14.7325        28.6322        19.7837        8.15716     
  1304.49        2500.00                 NaN  0.964265                 NaN  0.816212E-002  0.572707        27.1494        14.7325        28.6322        19.7837        8.15716     
  1301.28        2500.00                 NaN  0.964265                 NaN  0.816212E-002  0.572707        27.1494        14.7325        28.6322        19.7837        8.15716     
  1298.08        2500.00                 NaN  0.964265                 NaN  0.816212E-002  0.572707        27.1494        14.7325        28.6322        19.7837        8.15716     
  1294.87        2500.00                 NaN  0.964265                 NaN  0.816212E-002  0.572707        27.1494        14.7325        28.6322        19.7837        8.15716     
  1291.67        2500.00                 NaN  0.964265                 NaN  0.816212E-002  0.572707        27.1494        14.7325        28.6322        19.7837        8.15716     
  1288.46        2500.00                 NaN  0.964265                 NaN  0.816212E-002  0.572707        27.1494        14.7325        28.6322        19.7837        8.15716     
  1285.26        2500.00                 NaN  0.964265                 NaN  0.816212E-002  0.572707        27.1494        14.7325        28.6322        19.7837        8.15716     
  1282.05        2500.00                 NaN  0.964265                 NaN  0.792829E-002  0.565083        28.7576        14.8373        26.5849        19.9809        8.30213     
