|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.5/Y98/Y98_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        an             O(HP)          Sp(TH)         San(TH)        San(TH)        ilm            q              hed           
  1425.87        500.000        99.3230       0.272164       0.404823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.74        500.000        99.3008       0.418783       0.280427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.60        500.000        98.8464       0.450896       0.459158                 NaN  0.243569                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.47        500.000        98.2141       0.708514       0.542325                 NaN  0.535043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1421.34        500.000        98.2431       0.534230       0.696225                 NaN  0.526438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.21        500.000        98.2676       0.527399       0.686041                 NaN  0.519009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.07        500.000        98.2948       0.674973       0.519666                 NaN  0.510521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.94        500.000        98.3191       0.664996       0.512657                 NaN  0.503208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1416.81        500.000        98.3444       0.505631       0.654636                 NaN  0.495357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.68        500.000        98.3682       0.645152       0.498469                 NaN  0.488139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1414.54        500.000        98.3859       0.493292       0.638024                 NaN  0.482815                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1413.41        500.000        98.4160       0.484996       0.625558                 NaN  0.473444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1412.28        500.000        98.4347       0.479409       0.617832                 NaN  0.468059                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1411.15        500.000        98.4571       0.473230       0.608898                 NaN  0.460768       0.103582E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1410.01        500.000        98.4778       0.466892       0.600631                 NaN  0.454723                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1408.88        500.000        98.4982       0.592473       0.461148                 NaN  0.448216                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1407.75        500.000        98.5182       0.584342       0.455478                 NaN  0.441930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1406.61        500.000        98.5343       0.458524       0.518502                 NaN  0.446558       0.421141E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1405.48        500.000        98.5495       0.470171       0.396396                 NaN  0.460223       0.123738                 NaN            NaN            NaN            NaN            NaN            NaN
  1404.35        500.000        98.5693       0.465209       0.386753                 NaN  0.453982       0.124713                 NaN            NaN            NaN            NaN            NaN            NaN
  1403.22        500.000        98.5871       0.378144       0.460180                 NaN  0.449050       0.125562                 NaN            NaN            NaN            NaN            NaN            NaN
  1402.08        500.000        98.4308       0.413551       0.513694                 NaN  0.499097       0.142855                 NaN            NaN            NaN            NaN            NaN            NaN
  1400.95        500.000        98.7962       0.315303       0.393484                 NaN  0.383478       0.111580                 NaN            NaN            NaN            NaN            NaN            NaN
  1399.82        500.000        98.6404       0.446277       0.351688                 NaN  0.433300       0.128372                 NaN            NaN            NaN            NaN            NaN            NaN
  1398.69        500.000        98.6563       0.343796       0.441972                 NaN  0.428645       0.129302                 NaN            NaN            NaN            NaN            NaN            NaN
  1397.55        500.000        98.6733       0.437168       0.335529                 NaN  0.423708       0.130246                 NaN            NaN            NaN            NaN            NaN            NaN
  1396.42        500.000        98.6766       0.329338       0.436785                 NaN  0.424096       0.133201                 NaN            NaN            NaN            NaN            NaN            NaN
  1395.29        500.000        98.7167       0.317878       0.424713                 NaN  0.410251       0.130461                 NaN            NaN            NaN            NaN            NaN            NaN
  1394.16        500.000        98.7184       0.425251       0.312324                 NaN  0.410641       0.133336                 NaN            NaN            NaN            NaN            NaN            NaN
  1393.02        500.000        98.7356       0.420700       0.304561                 NaN  0.405425       0.133692                 NaN            NaN            NaN            NaN            NaN            NaN
  1391.89        500.000        98.7498       0.296481       0.417300                 NaN  0.401415       0.135053                 NaN            NaN            NaN            NaN            NaN            NaN
  1390.76        500.000        98.7641       0.289690       0.413129                 NaN  0.397172       0.135873                 NaN            NaN            NaN            NaN            NaN            NaN
  1389.63        500.000        98.7788       0.281789       0.409537                 NaN  0.392932       0.136905                 NaN            NaN            NaN            NaN            NaN            NaN
  1388.49        500.000        98.7911       0.275312       0.406653                 NaN  0.389254       0.137649                 NaN            NaN            NaN            NaN            NaN            NaN
  1387.36        500.000        98.8062       0.267992       0.402293                 NaN  0.384826       0.138645                 NaN            NaN            NaN            NaN            NaN            NaN
  1386.23        500.000        98.8192       0.261224       0.399018                 NaN  0.381051       0.139545                 NaN            NaN            NaN            NaN            NaN            NaN
  1385.09        500.000        98.8320       0.254878       0.395685                 NaN  0.377259       0.140220                 NaN            NaN            NaN            NaN            NaN            NaN
  1383.96        500.000        98.8448       0.247937       0.392454                 NaN  0.373535       0.141227                 NaN            NaN            NaN            NaN            NaN            NaN
  1382.83        500.000        98.8541       0.242497       0.390144                 NaN  0.370859       0.142441                 NaN            NaN            NaN            NaN            NaN            NaN
  1381.70        500.000        98.8716       0.385448       0.234905                 NaN  0.365441       0.142611                 NaN            NaN            NaN            NaN            NaN            NaN
  1380.56        500.000        98.8806       0.228939       0.383385                 NaN  0.363125       0.143941                 NaN            NaN            NaN            NaN            NaN            NaN
  1379.43        500.000        98.8942       0.378268       0.231338                 NaN  0.357613       0.138597                 NaN            NaN            NaN            NaN            NaN            NaN
  1378.30        500.000        98.9044       0.378741       0.207996                 NaN  0.357325       0.151554                 NaN            NaN            NaN            NaN            NaN            NaN
  1377.17        500.000        98.9167       0.374048       0.210875                 NaN  0.352314       0.146111                 NaN            NaN            NaN            NaN            NaN            NaN
  1376.03        500.000        98.9272       0.208436       0.370925                 NaN  0.348692       0.144732                 NaN            NaN            NaN            NaN            NaN            NaN
  1374.90        500.000        98.9389       0.369081       0.195591                 NaN  0.346336       0.150088                 NaN            NaN            NaN            NaN            NaN            NaN
  1373.77        500.000        98.9486       0.193881       0.366053                 NaN  0.342865       0.148564                 NaN            NaN            NaN            NaN            NaN            NaN
  1372.64        500.000        98.9603       0.363140       0.187890                 NaN  0.339377       0.149312                 NaN            NaN            NaN            NaN            NaN            NaN
  1371.50        500.000        98.9703       0.182216       0.360810                 NaN  0.336603       0.150116                 NaN            NaN            NaN            NaN            NaN            NaN
  1370.37        500.000        98.9790       0.177636       0.358633                 NaN  0.333855       0.150860                 NaN            NaN            NaN            NaN            NaN            NaN
  1369.24        500.000        98.9913       0.355390       0.172101                 NaN  0.330048       0.151131                 NaN            NaN            NaN            NaN            NaN            NaN
  1368.11        500.000        99.0004       0.166972       0.353114                 NaN  0.327503       0.152052                 NaN            NaN            NaN            NaN            NaN            NaN
  1366.97        500.000        99.0102       0.350719       0.161515                 NaN  0.324689       0.152925                 NaN            NaN            NaN            NaN            NaN            NaN
  1365.84        500.000        99.0201       0.348240       0.157028                 NaN  0.321493       0.153176                 NaN            NaN            NaN            NaN            NaN            NaN
  1364.71        500.000        99.0291       0.151967       0.346172                 NaN  0.318854       0.153938                 NaN            NaN            NaN            NaN            NaN            NaN
  1363.57        500.000        99.0377       0.344043       0.147578                 NaN  0.316275       0.154429                 NaN            NaN            NaN            NaN            NaN            NaN
  1362.44        500.000        99.0471       0.341792       0.142658                 NaN  0.313401       0.155044                 NaN            NaN            NaN            NaN            NaN            NaN
  1361.31        500.000        99.0565       0.339488       0.137872                 NaN  0.310609       0.155566                 NaN            NaN            NaN            NaN            NaN            NaN
  1360.18        500.000        99.2214       0.281405       0.109371                 NaN  0.257008       0.130842                 NaN            NaN            NaN            NaN            NaN            NaN
  1359.04        500.000        98.9104       0.156902       0.393650                 NaN  0.357937       0.181149                 NaN            NaN            NaN            NaN            NaN            NaN
  1357.91        500.000        99.0824       0.333293       0.124591                 NaN  0.302668       0.157050                 NaN            NaN            NaN            NaN            NaN            NaN
  1356.78        500.000        99.0876       0.122529       0.331430                 NaN  0.301082       0.157339                 NaN            NaN            NaN            NaN            NaN            NaN
  1355.65        500.000        99.0938       0.332023       0.115584                 NaN  0.299313       0.159261                 NaN            NaN            NaN            NaN            NaN            NaN
  1354.51        500.000        99.1093       0.323797       0.120030                 NaN  0.293132       0.153741                 NaN            NaN            NaN            NaN            NaN            NaN
  1353.38        500.000        99.1171       0.102854       0.326618                 NaN  0.292520       0.160912                 NaN            NaN            NaN            NaN            NaN            NaN
  1352.25        500.000        99.1226       0.105170       0.323366                 NaN  0.290217       0.158618                 NaN            NaN            NaN            NaN            NaN            NaN
  1351.12        500.000        99.1302       0.101600       0.321405                 NaN  0.287847       0.158906                 NaN            NaN            NaN            NaN            NaN            NaN
  1349.98        500.000        99.1380       0.319416       0.980457E-001            NaN  0.285417       0.159126                 NaN            NaN            NaN            NaN            NaN            NaN
  1348.85        500.000        99.1452       0.317879       0.944232E-001            NaN  0.283137       0.159358                 NaN            NaN            NaN            NaN            NaN            NaN
  1347.72        500.000        99.1482       0.913807E-001  0.317663                 NaN  0.282430       0.160355                 NaN            NaN            NaN            NaN            NaN            NaN
  1346.59        500.000        99.1628       0.881489E-001  0.313044                 NaN  0.277284       0.158698                 NaN            NaN            NaN            NaN            NaN            NaN
  1345.45        500.000        99.1667       0.312643       0.850439E-001            NaN  0.276174       0.159460                 NaN            NaN            NaN            NaN            NaN            NaN
  1344.32        500.000        99.1723       0.310956       0.812948E-001            NaN  0.274938       0.160516                 NaN            NaN            NaN            NaN            NaN            NaN
  1343.19        500.000        99.1820       0.793266E-001  0.308996                 NaN  0.270942       0.158687                 NaN            NaN            NaN            NaN            NaN            NaN
  1342.05        500.000        99.1880       0.307280       0.754424E-001            NaN  0.269538       0.159707                 NaN            NaN            NaN            NaN            NaN            NaN
  1340.92        500.000        99.0958       0.116572       0.341359                 NaN  0.286441       0.113511       0.462885E-001            NaN            NaN            NaN            NaN            NaN
  1339.79        500.000        99.0441       0.136483       0.365454                 NaN  0.294916       0.863307E-001  0.727448E-001            NaN            NaN            NaN            NaN            NaN
  1338.66        500.000        99.0367       0.373960       0.127085                 NaN  0.296908       0.861895E-001  0.791780E-001            NaN            NaN            NaN            NaN            NaN
  1337.52        500.000        99.0318       0.375536       0.146256                 NaN  0.293722       0.676948E-001  0.849831E-001            NaN            NaN            NaN            NaN            NaN
  1336.39        500.000        99.0282       0.137076       0.382235                 NaN  0.294759       0.681976E-001  0.895729E-001            NaN            NaN            NaN            NaN            NaN
  1335.26        500.000        99.0278       0.385391       0.136319                 NaN  0.293670       0.637511E-001  0.930689E-001            NaN            NaN            NaN            NaN            NaN
  1334.13        500.000        99.0282       0.133455       0.389094                 NaN  0.292613       0.603595E-001  0.963136E-001            NaN            NaN            NaN            NaN            NaN
  1332.99        500.000        99.0383       0.385650       0.131329                 NaN  0.289555       0.587778E-001  0.964067E-001            NaN            NaN            NaN            NaN            NaN
  1331.86        500.000        99.0445       0.385467       0.128200                 NaN  0.287335       0.569942E-001  0.975474E-001            NaN            NaN            NaN            NaN            NaN
  1330.73        500.000        99.0512       0.384856       0.125193                 NaN  0.285045       0.553641E-001  0.982911E-001            NaN            NaN            NaN            NaN            NaN
  1329.60        500.000        99.0622       0.381188       0.121848                 NaN  0.282016       0.550378E-001  0.977079E-001            NaN            NaN            NaN            NaN            NaN
  1328.46        500.000        99.0710       0.378904       0.119663                 NaN  0.279253       0.536078E-001  0.976070E-001            NaN            NaN            NaN            NaN            NaN
  1327.33        500.000        99.0835       0.116191       0.373834                 NaN  0.276007       0.540924E-001  0.963448E-001            NaN            NaN            NaN            NaN            NaN
  1326.20        500.000        99.0918       0.372201       0.113659                 NaN  0.273327       0.527337E-001  0.962481E-001            NaN            NaN            NaN            NaN            NaN
  1325.07        500.000        99.1032       0.367847       0.110966                 NaN  0.270227       0.525662E-001  0.951723E-001            NaN            NaN            NaN            NaN            NaN
  1323.93        500.000        99.1142       0.363555       0.108717                 NaN  0.267202       0.522810E-001  0.940443E-001            NaN            NaN            NaN            NaN            NaN
  1322.80        500.000        99.1241       0.361018       0.105115                 NaN  0.264365       0.519251E-001  0.934942E-001            NaN            NaN            NaN            NaN            NaN
  1321.67        500.000        99.1353       0.102697       0.356654                 NaN  0.261224       0.516967E-001  0.923854E-001            NaN            NaN            NaN            NaN            NaN
  1320.53        500.000        99.1461       0.352494       0.100486                 NaN  0.258244       0.514296E-001  0.912453E-001            NaN            NaN            NaN            NaN            NaN
  1319.40        500.000        99.1567       0.981255E-001  0.348477                 NaN  0.255321       0.512086E-001  0.901300E-001            NaN            NaN            NaN            NaN            NaN
  1318.27        500.000        99.1675       0.962143E-001  0.344160                 NaN  0.252291       0.508889E-001  0.889464E-001            NaN            NaN            NaN            NaN            NaN
  1317.14        500.000        99.1781       0.339926       0.939871E-001            NaN  0.249428       0.507226E-001  0.878127E-001            NaN            NaN            NaN            NaN            NaN
  1316.00        500.000        99.1888       0.335665       0.919814E-001            NaN  0.246426       0.504836E-001  0.866359E-001            NaN            NaN            NaN            NaN            NaN
  1314.87        500.000        99.1983       0.332197       0.901303E-001            NaN  0.243686       0.499921E-001  0.856802E-001            NaN            NaN            NaN            NaN            NaN
  1313.74        500.000        99.2089       0.866639E-001  0.328381                 NaN  0.240956       0.506462E-001  0.844746E-001            NaN            NaN            NaN            NaN            NaN
  1312.61        500.000        99.2188       0.323209       0.884332E-001            NaN  0.237759       0.484125E-001  0.833529E-001            NaN            NaN            NaN            NaN            NaN
  1311.47        500.000        99.2286       0.859199E-001  0.319260                 NaN  0.235233       0.488373E-001  0.821406E-001            NaN            NaN            NaN            NaN            NaN
  1310.34        500.000        99.2385       0.315287       0.842482E-001            NaN  0.232410       0.484680E-001  0.810509E-001            NaN            NaN            NaN            NaN            NaN
  1309.21        500.000        99.2474       0.311679       0.828884E-001            NaN  0.229901       0.480405E-001  0.800652E-001            NaN            NaN            NaN            NaN            NaN
  1308.08        500.000        99.2572       0.830199E-001  0.306925                 NaN  0.227098       0.468993E-001  0.788398E-001            NaN            NaN            NaN            NaN            NaN
  1306.94        500.000        99.2675       0.303223       0.793960E-001            NaN  0.224266       0.479021E-001  0.777078E-001            NaN            NaN            NaN            NaN            NaN
  1305.81        500.000        99.2762       0.299061       0.801291E-001            NaN  0.221630       0.462685E-001  0.766812E-001            NaN            NaN            NaN            NaN            NaN
  1304.68        500.000        99.2847       0.785212E-001  0.295748                 NaN  0.219238       0.460137E-001  0.757318E-001            NaN            NaN            NaN            NaN            NaN
  1303.55        500.000        99.2937       0.781789E-001  0.291469                 NaN  0.216657       0.453497E-001  0.746547E-001            NaN            NaN            NaN            NaN            NaN
  1302.41        500.000        99.3023       0.287979       0.770672E-001            NaN  0.214187       0.447748E-001  0.737118E-001            NaN            NaN            NaN            NaN            NaN
  1301.28        500.000        99.3109       0.284130       0.765494E-001            NaN  0.211690       0.440705E-001  0.727010E-001            NaN            NaN            NaN            NaN            NaN
  1300.15        500.000        99.3195       0.280383       0.754294E-001            NaN  0.209269       0.437497E-001  0.717057E-001            NaN            NaN            NaN            NaN            NaN
  1299.01        500.000        99.3269       0.276703       0.765747E-001            NaN  0.206892       0.421574E-001  0.707809E-001            NaN            NaN            NaN            NaN            NaN
  1297.88        500.000        99.3358       0.272845       0.751395E-001            NaN  0.204404       0.420169E-001  0.697606E-001            NaN            NaN            NaN            NaN            NaN
  1296.75        500.000        99.3359       0.265794       0.595499E-001            NaN  0.208689       0.650650E-001  0.650258E-001            NaN            NaN            NaN            NaN            NaN
  1295.62        500.000        99.3585       0.268557       0.914822E-001            NaN  0.193564       0.160797E-001  0.718295E-001            NaN            NaN            NaN            NaN            NaN
  1294.48        500.000        99.3597       0.262098       0.747682E-001            NaN  0.197134       0.393268E-001  0.669734E-001            NaN            NaN            NaN            NaN            NaN
  1293.35        500.000        99.3666       0.752005E-001  0.258325                 NaN  0.195280       0.385198E-001  0.661039E-001            NaN            NaN            NaN            NaN            NaN
  1292.22        500.000        99.3741       0.749688E-001  0.254931                 NaN  0.192998       0.377599E-001  0.652082E-001            NaN            NaN            NaN            NaN            NaN
  1291.09        500.000        99.3815       0.251432       0.747937E-001            NaN  0.190880       0.370657E-001  0.643405E-001            NaN            NaN            NaN            NaN            NaN
  1289.95        500.000        99.3651       0.215470       0.165696                 NaN  0.189919                 NaN  0.637919E-001            NaN            NaN            NaN            NaN            NaN
  1288.82        500.000        99.4161       0.271554                 NaN            NaN  0.185143       0.647250E-001  0.624940E-001            NaN            NaN            NaN            NaN            NaN
  1287.69        500.000        99.4069       0.247170       0.578625E-001            NaN  0.184507       0.419549E-001  0.615708E-001            NaN            NaN            NaN            NaN            NaN
  1286.56        500.000        99.4101       0.237709       0.753707E-001            NaN  0.182259       0.335578E-001  0.609559E-001            NaN            NaN            NaN            NaN            NaN
  1285.42        500.000        99.4167       0.234346       0.761496E-001            NaN  0.180251       0.324411E-001  0.601450E-001            NaN            NaN            NaN            NaN            NaN
  1284.29        500.000        99.4234       0.764501E-001  0.231048                 NaN  0.178244       0.315138E-001  0.593651E-001            NaN            NaN            NaN            NaN            NaN
  1283.16        500.000        99.4295       0.774057E-001  0.227838                 NaN  0.176325       0.303323E-001  0.585859E-001            NaN            NaN            NaN            NaN            NaN
  1282.03        500.000        99.4363       0.779054E-001  0.224328                 NaN  0.174324       0.293834E-001  0.578068E-001            NaN            NaN            NaN            NaN            NaN
  1280.89        500.000        99.4427       0.221208       0.783043E-001            NaN  0.172310       0.284843E-001  0.570099E-001            NaN            NaN            NaN            NaN            NaN
  1279.76        500.000        99.4487       0.795091E-001  0.217811                 NaN  0.170487       0.272824E-001  0.562542E-001            NaN            NaN            NaN            NaN            NaN
  1278.63        500.000        99.4546       0.792964E-001  0.214960                 NaN  0.168809       0.267674E-001  0.555208E-001            NaN            NaN            NaN            NaN            NaN
  1277.49        500.000        99.4613       0.807861E-001  0.211495                 NaN  0.166494       0.250646E-001  0.548107E-001            NaN            NaN            NaN            NaN            NaN
  1276.36        500.000        99.4672       0.814919E-001  0.207822                 NaN  0.164958       0.245122E-001  0.540054E-001            NaN            NaN            NaN            NaN            NaN
  1275.23        500.000        99.4722       0.205563       0.831586E-001            NaN  0.163044       0.225758E-001  0.534537E-001            NaN            NaN            NaN            NaN            NaN
  1274.10        500.000        99.4785       0.202542       0.824274E-001            NaN  0.161393       0.225946E-001  0.525910E-001            NaN            NaN            NaN            NaN            NaN
  1272.96        500.000        99.4843       0.198859       0.842096E-001            NaN  0.159542       0.211579E-001  0.519053E-001            NaN            NaN            NaN            NaN            NaN
  1271.83        500.000        99.4905       0.809551E-001  0.197313                 NaN  0.157925       0.222194E-001  0.511194E-001            NaN            NaN            NaN            NaN            NaN
  1270.70        500.000        99.4950       0.881726E-001  0.192441                 NaN  0.156010       0.176798E-001  0.507293E-001            NaN            NaN            NaN            NaN            NaN
  1269.57        500.000        96.5330       0.505154       0.422551                 NaN  0.499404                 NaN  0.166027        1.87384                 NaN            NaN            NaN            NaN
  1268.43        500.000        91.7865        1.00653       0.918859                 NaN   1.04991                 NaN  0.342174        4.89604                 NaN            NaN            NaN            NaN
  1267.30        500.000        92.5925       0.909830       0.830268                 NaN  0.952209                 NaN  0.308530        4.40667                 NaN            NaN            NaN            NaN
  1266.17        500.000        93.2537       0.830649       0.756439                 NaN  0.871858                 NaN  0.281423        4.00598                 NaN            NaN            NaN            NaN
  1265.04        500.000        93.8008       0.695693       0.765437                 NaN  0.805127                 NaN  0.258641        3.67427                 NaN            NaN            NaN            NaN
  1263.90        500.000        94.2738       0.709443       0.640484                 NaN  0.747028                 NaN  0.239826        3.38940                 NaN            NaN            NaN            NaN
  1262.77        500.000        94.6778       0.662483       0.592358                 NaN  0.697156                 NaN  0.223729        3.14645                 NaN            NaN            NaN            NaN
  1261.64        500.000        95.0245       0.621587       0.551693                 NaN  0.654351                 NaN  0.209848        2.93801                 NaN            NaN            NaN            NaN
  1260.51        500.000        95.3339       0.585906       0.513465                 NaN  0.615700                 NaN  0.197772        2.75326                 NaN            NaN            NaN            NaN
  1259.37        500.000        95.6043       0.554799       0.480296                 NaN  0.581832                 NaN  0.187158        2.59157                 NaN            NaN            NaN            NaN
  1258.24        500.000        95.8500       0.448746       0.526824                 NaN  0.550974                 NaN  0.177836        2.44558                 NaN            NaN            NaN            NaN
  1257.11        500.000        96.0642       0.423173       0.501597                 NaN  0.523916                 NaN  0.169248        2.31785                 NaN            NaN            NaN            NaN
  1255.97        500.000        96.2601       0.398540       0.479165                 NaN  0.498949                 NaN  0.161410        2.20186                 NaN            NaN            NaN            NaN
  1254.84        500.000        96.4382       0.458843       0.375427                 NaN  0.476212                 NaN  0.154691        2.09658                 NaN            NaN            NaN            NaN
  1253.71        500.000        96.6004       0.354799       0.440246                 NaN  0.455340                 NaN  0.148287        2.00092                 NaN            NaN            NaN            NaN
  1252.58        500.000        96.7474       0.336758       0.422821                 NaN  0.436469                 NaN  0.142305        1.91421                 NaN            NaN            NaN            NaN
  1251.44        500.000        96.8850       0.407267       0.318126                 NaN  0.418460                 NaN  0.137220        1.83389                 NaN            NaN            NaN            NaN
  1250.31        500.000        97.0149       0.392290       0.301775                 NaN  0.401381                 NaN  0.131863        1.75775                 NaN            NaN            NaN            NaN
  1249.18        500.000        97.1300       0.378948       0.287062                 NaN  0.386402                 NaN  0.127301        1.69031                 NaN            NaN            NaN            NaN
  1248.05        500.000        97.2395       0.273670       0.365689                 NaN  0.371902                 NaN  0.122684        1.62659                 NaN            NaN            NaN            NaN
  1246.91        500.000        97.3405       0.353983       0.260444                 NaN  0.358449                 NaN  0.118528        1.56808                 NaN            NaN            NaN            NaN
  1245.78        500.000        97.4367       0.248356       0.341778                 NaN  0.345386                 NaN  0.114542        1.51327                 NaN            NaN            NaN            NaN
  1244.65        500.000        96.5843       0.315986       0.465206                 NaN  0.472108                 NaN  0.127702        2.03468                 NaN            NaN            NaN            NaN
  1243.52        500.000        98.3392       0.655633E-002  0.368362                 NaN  0.214676                 NaN  0.108283       0.962903                 NaN            NaN            NaN            NaN
  1242.38        500.000        97.3392       0.381020       0.182267                 NaN  0.355437                 NaN  0.118975        1.62307                 NaN            NaN            NaN            NaN
  1241.25        500.000        98.3023       0.223914       0.216915                 NaN  0.228735                 NaN  0.702666E-001  0.957909                 NaN            NaN            NaN            NaN
  1240.12        500.000        97.3957       0.692534E-001  0.431691                 NaN  0.349248                 NaN  0.153562        1.60059                 NaN            NaN            NaN            NaN
  1238.99        500.000        96.4932       0.273981       0.440520                 NaN  0.467662                 NaN  0.139941        2.18473                 NaN            NaN            NaN            NaN
  1237.85        500.000        99.5184       0.165153       0.746038E-001            NaN  0.695309E-001            NaN  0.138685E-001  0.158401                 NaN            NaN            NaN            NaN
  1236.72        500.000        98.2510       0.200022       0.232141                 NaN  0.233309                 NaN  0.681737E-001   1.01531                 NaN            NaN            NaN            NaN
  1235.59        500.000        98.0929       0.171591       0.259472                 NaN  0.255439                 NaN  0.854156E-001   1.13514                 NaN            NaN            NaN            NaN
  1234.45        500.000        98.2558       0.156967       0.239231                 NaN  0.232521                 NaN  0.792507E-001   1.03628                 NaN            NaN            NaN            NaN
  1233.32        500.000        98.2381       0.157091       0.240271                 NaN  0.234903                 NaN  0.784510E-001   1.05120                 NaN            NaN            NaN            NaN
  1232.19        500.000        98.1920       0.153449       0.247834                 NaN  0.240612                 NaN  0.815824E-001   1.08457                 NaN            NaN            NaN            NaN
  1231.06        500.000        98.3204       0.221885       0.156709                 NaN  0.223809                 NaN  0.730596E-001   1.00415                 NaN            NaN            NaN            NaN
  1229.92        500.000        97.6585       0.186838       0.325029                 NaN  0.305802                 NaN  0.777564E-001   1.42897                 NaN  0.171503E-001            NaN            NaN
  1228.79        500.000        98.8565       0.186812       0.743079E-001            NaN  0.159498                 NaN  0.409407E-001  0.681916                 NaN            NaN            NaN            NaN
  1227.66        500.000        98.5754       0.895745E-001  0.245182                 NaN  0.182400                 NaN  0.641624E-001  0.843321                 NaN            NaN            NaN            NaN
  1226.53        500.000        98.5077       0.145207       0.193216                 NaN  0.196634                 NaN  0.601170E-001  0.897157                 NaN            NaN            NaN            NaN
  1225.39        500.000        98.6048       0.192079       0.104897                 NaN  0.183357                 NaN  0.663910E-001  0.848516                 NaN            NaN            NaN            NaN
