|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.5/Y98/Y98_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        an             O(HP)          Sp(TH)         San(TH)        San(TH)        ilm            q              hed           
  1410.01        500.000        98.3282       0.538407       0.703107                 NaN  0.430235                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1408.88        500.000        98.3500       0.693970       0.532006                 NaN  0.424071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1407.75        500.000        98.3713       0.684857       0.525681                 NaN  0.418118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1406.61        500.000        98.3872       0.529457       0.608092                 NaN  0.422508       0.527492E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1405.48        500.000        98.4010       0.543154       0.465198                 NaN  0.435488       0.155194                 NaN            NaN            NaN            NaN            NaN            NaN
  1404.35        500.000        98.4217       0.537769       0.454261                 NaN  0.429648       0.156654                 NaN            NaN            NaN            NaN            NaN            NaN
  1403.22        500.000        98.4403       0.444481       0.532239                 NaN  0.425048       0.157951                 NaN            NaN            NaN            NaN            NaN            NaN
  1402.08        500.000        98.2668       0.486390       0.594487                 NaN  0.472425       0.179920                 NaN            NaN            NaN            NaN            NaN            NaN
  1400.95        500.000        98.6690       0.371268       0.455759                 NaN  0.363174       0.140839                 NaN            NaN            NaN            NaN            NaN            NaN
  1399.82        500.000        98.4959       0.517133       0.414382                 NaN  0.410358       0.162227                 NaN            NaN            NaN            NaN            NaN            NaN
  1398.69        500.000        98.5124       0.405385       0.512495                 NaN  0.406029       0.163656                 NaN            NaN            NaN            NaN            NaN            NaN
  1397.55        500.000        98.5303       0.507194       0.395958                 NaN  0.401435       0.165077                 NaN            NaN            NaN            NaN            NaN            NaN
  1396.42        500.000        98.5330       0.388985       0.507114                 NaN  0.401883       0.169068                 NaN            NaN            NaN            NaN            NaN            NaN
  1395.29        500.000        98.5761       0.375759       0.493391                 NaN  0.388857       0.165857                 NaN            NaN            NaN            NaN            NaN            NaN
  1394.16        500.000        98.5770       0.494333       0.369524                 NaN  0.389311       0.169792                 NaN            NaN            NaN            NaN            NaN            NaN
  1393.02        500.000        98.5951       0.489378       0.360605                 NaN  0.384457       0.170498                 NaN            NaN            NaN            NaN            NaN            NaN
  1391.89        500.000        98.6097       0.351314       0.485745                 NaN  0.380748       0.172478                 NaN            NaN            NaN            NaN            NaN            NaN
  1390.76        500.000        98.6246       0.343588       0.481196                 NaN  0.376819       0.173815                 NaN            NaN            NaN            NaN            NaN            NaN
  1389.63        500.000        98.6400       0.334445       0.477292                 NaN  0.372894       0.175383                 NaN            NaN            NaN            NaN            NaN            NaN
  1388.49        500.000        98.6524       0.327094       0.474323                 NaN  0.369503       0.176651                 NaN            NaN            NaN            NaN            NaN            NaN
  1387.36        500.000        98.6682       0.318654       0.469541                 NaN  0.365402       0.178186                 NaN            NaN            NaN            NaN            NaN            NaN
  1386.23        500.000        98.6815       0.310884       0.466070                 NaN  0.361922       0.179612                 NaN            NaN            NaN            NaN            NaN            NaN
  1385.09        500.000        98.6947       0.303597       0.462508                 NaN  0.358425       0.180784                 NaN            NaN            NaN            NaN            NaN            NaN
  1383.96        500.000        98.7080       0.295582       0.459052                 NaN  0.354995       0.182348                 NaN            NaN            NaN            NaN            NaN            NaN
  1382.83        500.000        98.7171       0.289372       0.456766                 NaN  0.352560       0.184242                 NaN            NaN            NaN            NaN            NaN            NaN
  1381.70        500.000        98.7357       0.451526       0.280546                 NaN  0.347523       0.184743                 NaN            NaN            NaN            NaN            NaN            NaN
  1380.56        500.000        98.7447       0.273668       0.449444                 NaN  0.345433       0.186759                 NaN            NaN            NaN            NaN            NaN            NaN
  1379.43        500.000        98.7591       0.443756       0.276775                 NaN  0.340302       0.180076                 NaN            NaN            NaN            NaN            NaN            NaN
  1378.30        500.000        98.7688       0.444674       0.249090                 NaN  0.340146       0.197246                 NaN            NaN            NaN            NaN            NaN            NaN
  1377.17        500.000        98.7818       0.439502       0.252765                 NaN  0.335494       0.190465                 NaN            NaN            NaN            NaN            NaN            NaN
  1376.03        500.000        98.7926       0.250074       0.436173                 NaN  0.332164       0.188977                 NaN            NaN            NaN            NaN            NaN            NaN
  1374.90        500.000        98.8045       0.434323       0.234865                 NaN  0.330041       0.196257                 NaN            NaN            NaN            NaN            NaN            NaN
  1373.77        500.000        98.8144       0.233034       0.431127                 NaN  0.326856       0.194582                 NaN            NaN            NaN            NaN            NaN            NaN
  1372.64        500.000        98.8264       0.428010       0.226052                 NaN  0.323655       0.195893                 NaN            NaN            NaN            NaN            NaN            NaN
  1371.50        500.000        98.8366       0.219411       0.425585                 NaN  0.321135       0.197243                 NaN            NaN            NaN            NaN            NaN            NaN
  1370.37        500.000        98.8453       0.214116       0.423388                 NaN  0.318639       0.198604                 NaN            NaN            NaN            NaN            NaN            NaN
  1369.24        500.000        98.8581       0.419900       0.207645                 NaN  0.315134       0.199226                 NaN            NaN            NaN            NaN            NaN            NaN
  1368.11        500.000        98.8672       0.201645       0.417560                 NaN  0.312833       0.200767                 NaN            NaN            NaN            NaN            NaN            NaN
  1366.97        500.000        98.8772       0.415044       0.195226                 NaN  0.310276       0.202239                 NaN            NaN            NaN            NaN            NaN            NaN
  1365.84        500.000        98.8873       0.412471       0.189998                 NaN  0.307353       0.202887                 NaN            NaN            NaN            NaN            NaN            NaN
  1364.71        500.000        98.8964       0.184056       0.410375                 NaN  0.304963       0.204228                 NaN            NaN            NaN            NaN            NaN            NaN
  1363.57        500.000        98.9050       0.408205       0.178921                 NaN  0.302630       0.205228                 NaN            NaN            NaN            NaN            NaN            NaN
  1362.44        500.000        98.9146       0.405887       0.173125                 NaN  0.300015       0.206368                 NaN            NaN            NaN            NaN            NaN            NaN
  1361.31        500.000        98.9242       0.403484       0.167474                 NaN  0.297478       0.207366                 NaN            NaN            NaN            NaN            NaN            NaN
  1360.18        500.000        99.1108       0.334978       0.133078                 NaN  0.246291       0.174857                 NaN            NaN            NaN            NaN            NaN            NaN
  1359.04        500.000        98.7552       0.190930       0.468570                 NaN  0.343047       0.242252                 NaN            NaN            NaN            NaN            NaN            NaN
  1357.91        500.000        98.9504       0.397143       0.151788                 NaN  0.290285       0.210377                 NaN            NaN            NaN            NaN            NaN            NaN
  1356.78        500.000        98.9552       0.149443       0.395322                 NaN  0.288903       0.211112                 NaN            NaN            NaN            NaN            NaN            NaN
  1355.65        500.000        98.9610       0.396528       0.141084                 NaN  0.287346       0.214081                 NaN            NaN            NaN            NaN            NaN            NaN
  1354.51        500.000        98.9779       0.386860       0.146669                 NaN  0.281555       0.206991                 NaN            NaN            NaN            NaN            NaN            NaN
  1353.38        500.000        98.9855       0.125812       0.390622                 NaN  0.281109       0.216947                 NaN            NaN            NaN            NaN            NaN            NaN
  1352.25        500.000        98.9909       0.128782       0.387065                 NaN  0.279039       0.214216                 NaN            NaN            NaN            NaN            NaN            NaN
  1351.12        500.000        98.9985       0.124539       0.385067                 NaN  0.276903       0.214952                 NaN            NaN            NaN            NaN            NaN            NaN
  1349.98        500.000        99.0064       0.383026       0.120303                 NaN  0.274710       0.215604                 NaN            NaN            NaN            NaN            NaN            NaN
  1348.85        500.000        99.0136       0.381549       0.115979                 NaN  0.272660       0.216250                 NaN            NaN            NaN            NaN            NaN            NaN
  1347.72        500.000        99.0159       0.112382       0.381555                 NaN  0.272124       0.218027                 NaN            NaN            NaN            NaN            NaN            NaN
  1346.59        500.000        99.0317       0.108500       0.376462                 NaN  0.267314       0.216071                 NaN            NaN            NaN            NaN            NaN            NaN
  1345.45        500.000        99.0350       0.376341       0.104790                 NaN  0.266389       0.217467                 NaN            NaN            NaN            NaN            NaN            NaN
  1344.32        500.000        99.0405       0.374647       0.100266                 NaN  0.265343       0.219284                 NaN            NaN            NaN            NaN            NaN            NaN
  1343.19        500.000        99.0507       0.979448E-001  0.372643                 NaN  0.261635       0.217090                 NaN            NaN            NaN            NaN            NaN            NaN
  1342.05        500.000        99.0566       0.370911       0.932414E-001            NaN  0.260426       0.218837                 NaN            NaN            NaN            NaN            NaN            NaN
  1340.92        500.000        98.9349       0.144208       0.412395                 NaN  0.276896       0.155759       0.758224E-001            NaN            NaN            NaN            NaN            NaN
  1339.79        500.000        98.8658       0.169028       0.441960                 NaN  0.285305       0.118657       0.119231                 NaN            NaN            NaN            NaN            NaN
  1338.66        500.000        98.8536       0.452744       0.157606                 NaN  0.287501       0.118667       0.129864                 NaN            NaN            NaN            NaN            NaN
  1337.52        500.000        98.8454       0.455312       0.181625                 NaN  0.284693       0.933969E-001  0.139549                 NaN            NaN            NaN            NaN            NaN
  1336.39        500.000        98.8380       0.170457       0.464045                 NaN  0.285987       0.942652E-001  0.147254                 NaN            NaN            NaN            NaN            NaN
  1335.26        500.000        98.8350       0.468531       0.169762                 NaN  0.285229       0.883006E-001  0.153193                 NaN            NaN            NaN            NaN            NaN
  1334.13        500.000        98.8329       0.166434       0.473680                 NaN  0.284508       0.837584E-001  0.158703                 NaN            NaN            NaN            NaN            NaN
  1332.99        500.000        98.8432       0.470149       0.164022                 NaN  0.281849       0.817151E-001  0.159096                 NaN            NaN            NaN            NaN            NaN
  1331.86        500.000        98.8485       0.470577       0.160345                 NaN  0.280000       0.793926E-001  0.161197                 NaN            NaN            NaN            NaN            NaN
  1330.73        500.000        98.8547       0.470516       0.156813                 NaN  0.278083       0.772619E-001  0.162649                 NaN            NaN            NaN            NaN            NaN
  1329.60        500.000        98.8662       0.466668       0.152846                 NaN  0.275444       0.769592E-001  0.161919                 NaN            NaN            NaN            NaN            NaN
  1328.46        500.000        98.8749       0.464567       0.150338                 NaN  0.273059       0.751088E-001  0.161994                 NaN            NaN            NaN            NaN            NaN
  1327.33        500.000        98.8886       0.146200       0.458984                 NaN  0.270199       0.759303E-001  0.160130                 NaN            NaN            NaN            NaN            NaN
  1326.20        500.000        98.8968       0.457684       0.143226                 NaN  0.267886       0.741710E-001  0.160205                 NaN            NaN            NaN            NaN            NaN
  1325.07        500.000        98.9091       0.452997       0.140043                 NaN  0.265157       0.740729E-001  0.158657                 NaN            NaN            NaN            NaN            NaN
  1323.93        500.000        98.9209       0.448370       0.137415                 NaN  0.262495       0.738181E-001  0.157014                 NaN            NaN            NaN            NaN            NaN
  1322.80        500.000        98.9313       0.445885       0.133051                 NaN  0.260012       0.734471E-001  0.156322                 NaN            NaN            NaN            NaN            NaN
  1321.67        500.000        98.9435       0.130190       0.441109                 NaN  0.257225       0.732709E-001  0.154694                 NaN            NaN            NaN            NaN            NaN
  1320.53        500.000        98.9552       0.436616       0.127577                 NaN  0.254589       0.730305E-001  0.153021                 NaN            NaN            NaN            NaN            NaN
  1319.40        500.000        98.9667       0.124762       0.432273                 NaN  0.252003       0.728553E-001  0.151380                 NaN            NaN            NaN            NaN            NaN
  1318.27        500.000        98.9785       0.122521       0.427541                 NaN  0.249305       0.725362E-001  0.149615                 NaN            NaN            NaN            NaN            NaN
  1317.14        500.000        98.9901       0.422887       0.119857                 NaN  0.246765       0.724343E-001  0.147936                 NaN            NaN            NaN            NaN            NaN
  1316.00        500.000        99.0019       0.418185       0.117474                 NaN  0.244080       0.722294E-001  0.146170                 NaN            NaN            NaN            NaN            NaN
  1314.87        500.000        99.0122       0.414451       0.115277                 NaN  0.241649       0.716657E-001  0.144772                 NaN            NaN            NaN            NaN            NaN
  1313.74        500.000        99.0238       0.111009       0.410286                 NaN  0.239221       0.727203E-001  0.142948                 NaN            NaN            NaN            NaN            NaN
  1312.61        500.000        99.0349       0.404408       0.113442                 NaN  0.236324       0.696521E-001  0.141265                 NaN            NaN            NaN            NaN            NaN
  1311.47        500.000        99.0457       0.110379       0.400051                 NaN  0.234084       0.703976E-001  0.139424                 NaN            NaN            NaN            NaN            NaN
  1310.34        500.000        99.0567       0.395626       0.108390                 NaN  0.231545       0.699916E-001  0.137774                 NaN            NaN            NaN            NaN            NaN
  1309.21        500.000        99.0664       0.391646       0.106792                 NaN  0.229311       0.695112E-001  0.136304                 NaN            NaN            NaN            NaN            NaN
  1308.08        500.000        99.0775       0.107114       0.386250                 NaN  0.226777       0.679707E-001  0.134420                 NaN            NaN            NaN            NaN            NaN
  1306.94        500.000        99.0889       0.382102       0.102588                 NaN  0.224208       0.695500E-001  0.132679                 NaN            NaN            NaN            NaN            NaN
  1305.81        500.000        99.0987       0.377393       0.103685                 NaN  0.221827       0.673010E-001  0.131118                 NaN            NaN            NaN            NaN            NaN
  1304.68        500.000        99.1081       0.101744       0.373739                 NaN  0.219685       0.670480E-001  0.129687                 NaN            NaN            NaN            NaN            NaN
  1303.55        500.000        99.1181       0.101452       0.368838                 NaN  0.217346       0.661970E-001  0.128028                 NaN            NaN            NaN            NaN            NaN
  1302.41        500.000        99.1278       0.364919       0.100144                 NaN  0.215114       0.654727E-001  0.126593                 NaN            NaN            NaN            NaN            NaN
  1301.28        500.000        99.1374       0.360542       0.996147E-001            NaN  0.212848       0.645554E-001  0.125040                 NaN            NaN            NaN            NaN            NaN
  1300.15        500.000        99.1471       0.356274       0.982901E-001            NaN  0.210652       0.641998E-001  0.123505                 NaN            NaN            NaN            NaN            NaN
  1299.01        500.000        99.1554       0.352111       0.999244E-001            NaN  0.208494       0.619679E-001  0.122096                 NaN            NaN            NaN            NaN            NaN
  1297.88        500.000        99.1656       0.347640       0.981883E-001            NaN  0.206219       0.618677E-001  0.120503                 NaN            NaN            NaN            NaN            NaN
  1296.75        500.000        99.1637       0.339160       0.779066E-001            NaN  0.210779       0.959787E-001  0.112498                 NaN            NaN            NaN            NaN            NaN
  1295.62        500.000        99.1931       0.343130       0.119876                 NaN  0.195725       0.237600E-001  0.124441                 NaN            NaN            NaN            NaN            NaN
  1294.48        500.000        99.1927       0.335306       0.981037E-001            NaN  0.199551       0.581999E-001  0.116186                 NaN            NaN            NaN            NaN            NaN
  1293.35        500.000        99.2004       0.988086E-001  0.330947                 NaN  0.197892       0.571067E-001  0.114841                 NaN            NaN            NaN            NaN            NaN
  1292.22        500.000        99.2090       0.986344E-001  0.327029                 NaN  0.195796       0.560742E-001  0.113443                 NaN            NaN            NaN            NaN            NaN
  1291.09        500.000        99.2174       0.322967       0.985350E-001            NaN  0.193859       0.551364E-001  0.112085                 NaN            NaN            NaN            NaN            NaN
  1289.95        500.000        99.2000       0.277098       0.218546                 NaN  0.193084                 NaN  0.111267                 NaN            NaN            NaN            NaN            NaN
  1288.82        500.000        99.2560       0.349743                 NaN            NaN  0.188445       0.965937E-001  0.109185                 NaN            NaN            NaN            NaN            NaN
  1287.69        500.000        99.2463       0.318760       0.765312E-001            NaN  0.187999       0.627123E-001  0.107693                 NaN            NaN            NaN            NaN            NaN
  1286.56        500.000        99.2503       0.306931       0.998148E-001            NaN  0.185908       0.502435E-001  0.106781                 NaN            NaN            NaN            NaN            NaN
  1285.42        500.000        99.2578       0.302990       0.100981                 NaN  0.184057       0.486500E-001  0.105504                 NaN            NaN            NaN            NaN            NaN
  1284.29        500.000        99.2656       0.101508       0.299104                 NaN  0.182202       0.473357E-001  0.104280                 NaN            NaN            NaN            NaN            NaN
  1283.16        500.000        99.2726       0.102909       0.295348                 NaN  0.180431       0.456333E-001  0.103055                 NaN            NaN            NaN            NaN            NaN
  1282.03        500.000        99.2805       0.103704       0.291156                 NaN  0.178572       0.442753E-001  0.101820                 NaN            NaN            NaN            NaN            NaN
  1280.89        500.000        99.2879       0.287467       0.104371                 NaN  0.176694       0.429872E-001  0.100551                 NaN            NaN            NaN            NaN            NaN
  1279.76        500.000        99.2949       0.106115       0.283419                 NaN  0.175007       0.412410E-001  0.993539E-001            NaN            NaN            NaN            NaN            NaN
  1278.63        500.000        99.3018       0.105959       0.280052                 NaN  0.173464       0.405302E-001  0.981906E-001            NaN            NaN            NaN            NaN            NaN
  1277.49        500.000        99.3098       0.108074       0.275858                 NaN  0.171263       0.379991E-001  0.970554E-001            NaN            NaN            NaN            NaN            NaN
  1276.36        500.000        99.3166       0.109157       0.271411                 NaN  0.169856       0.372243E-001  0.957588E-001            NaN            NaN            NaN            NaN            NaN
  1275.23        500.000        99.3224       0.268806       0.111533                 NaN  0.168056       0.343386E-001  0.949079E-001            NaN            NaN            NaN            NaN            NaN
  1274.10        500.000        99.3297       0.265185       0.110689                 NaN  0.166523       0.344152E-001  0.934987E-001            NaN            NaN            NaN            NaN            NaN
  1272.96        500.000        99.3367       0.260681       0.113208                 NaN  0.164779       0.322752E-001  0.924006E-001            NaN            NaN            NaN            NaN            NaN
  1271.83        500.000        99.3438       0.108960       0.258937                 NaN  0.163273       0.339466E-001  0.911113E-001            NaN            NaN            NaN            NaN            NaN
  1270.70        500.000        99.3493       0.118821       0.252856                 NaN  0.161454       0.270511E-001  0.905338E-001            NaN            NaN            NaN            NaN            NaN
  1269.57        500.000        96.1562       0.663206       0.569017                 NaN  0.516120                 NaN  0.296020        1.79946                 NaN            NaN            NaN            NaN
  1268.43        500.000        91.0651        1.31942        1.23567                 NaN   1.08216                 NaN  0.608550        4.68913                 NaN            NaN            NaN            NaN
  1267.30        500.000        91.9219        1.19621        1.12005                 NaN  0.983367                 NaN  0.549854        4.22867                 NaN            NaN            NaN            NaN
  1266.17        500.000        92.6253        1.09521        1.02353                 NaN  0.902061                 NaN  0.502594        3.85130                 NaN            NaN            NaN            NaN
  1265.04        500.000        93.2078       0.944117        1.01207                 NaN  0.834510                 NaN  0.462788        3.53873                 NaN            NaN            NaN            NaN
  1263.90        500.000        93.7123       0.940476       0.871573                 NaN  0.775648                 NaN  0.429945        3.27009                 NaN            NaN            NaN            NaN
  1262.77        500.000        94.1435       0.880486       0.808240                 NaN  0.725106                 NaN  0.401800        3.04088                 NaN            NaN            NaN            NaN
  1261.64        500.000        94.5136       0.828184       0.754747                 NaN  0.681726                 NaN  0.377547        2.84420                 NaN            NaN            NaN            NaN
  1260.51        500.000        94.8445       0.782507       0.704238                 NaN  0.642523                 NaN  0.356430        2.66978                 NaN            NaN            NaN            NaN
  1259.37        500.000        95.1337       0.742734       0.660375                 NaN  0.608173                 NaN  0.337885        2.51710                 NaN            NaN            NaN            NaN
  1258.24        500.000        95.3970       0.618474       0.706911                 NaN  0.576853                 NaN  0.321607        2.37917                 NaN            NaN            NaN            NaN
  1257.11        500.000        95.6262       0.584679       0.674613                 NaN  0.549403                 NaN  0.306595        2.25852                 NaN            NaN            NaN            NaN
  1255.97        500.000        95.8363       0.551949       0.645928                 NaN  0.524055                 NaN  0.292874        2.14891                 NaN            NaN            NaN            NaN
  1254.84        500.000        96.0275       0.619873       0.521125                 NaN  0.500964                 NaN  0.281162        2.04941                 NaN            NaN            NaN            NaN
  1253.71        500.000        96.2016       0.493627       0.596055                 NaN  0.479759                 NaN  0.269952        1.95897                 NaN            NaN            NaN            NaN
  1252.58        500.000        96.3596       0.469601       0.573725                 NaN  0.460592                 NaN  0.259500        1.87700                 NaN            NaN            NaN            NaN
  1251.44        500.000        96.5077       0.553739       0.444608                 NaN  0.442273                 NaN  0.250638        1.80103                 NaN            NaN            NaN            NaN
  1250.31        500.000        96.6478       0.534519       0.422679                 NaN  0.424877                 NaN  0.241229        1.72893                 NaN            NaN            NaN            NaN
  1249.18        500.000        96.7716       0.517403       0.402970                 NaN  0.409645                 NaN  0.233277        1.66514                 NaN            NaN            NaN            NaN
  1248.05        500.000        96.8898       0.384991       0.500341                 NaN  0.394872                 NaN  0.225152        1.60480                 NaN            NaN            NaN            NaN
  1246.91        500.000        96.9991       0.485281       0.367145                 NaN  0.381163                 NaN  0.217862        1.54941                 NaN            NaN            NaN            NaN
  1245.78        500.000        97.1035       0.350851       0.469492                 NaN  0.367822                 NaN  0.210840        1.49750                 NaN            NaN            NaN            NaN
  1244.65        500.000        96.1536       0.434520       0.658144                 NaN  0.503153                 NaN  0.235655        2.01493                 NaN            NaN            NaN            NaN
  1243.52        500.000        98.0963       0.930392E-002  0.508207                 NaN  0.229523                 NaN  0.200046       0.956638                 NaN            NaN            NaN            NaN
  1242.38        500.000        97.0013       0.526458       0.259061                 NaN  0.380180                 NaN  0.219923        1.61305                 NaN            NaN            NaN            NaN
  1241.25        500.000        98.0511       0.319123       0.300316                 NaN  0.245173                 NaN  0.130208       0.954087                 NaN            NaN            NaN            NaN
  1240.12        500.000        97.0494       0.986203E-001  0.598215                 NaN  0.374586                 NaN  0.283997        1.59517                 NaN            NaN            NaN            NaN
  1238.99        500.000        96.0562       0.391153       0.611189                 NaN  0.502042                 NaN  0.259943        2.17950                 NaN            NaN            NaN            NaN
  1237.85        500.000        99.3981       0.238028       0.104355                 NaN  0.749425E-001            NaN  0.259596E-001  0.158641                 NaN            NaN            NaN            NaN
  1236.72        500.000        97.9918       0.279364       0.333470                 NaN  0.251424                 NaN  0.127220        1.01672                 NaN            NaN            NaN            NaN
  1235.59        500.000        97.8170       0.247032       0.362798                 NaN  0.275590                 NaN  0.159537        1.13805                 NaN            NaN            NaN            NaN
  1234.45        500.000        97.9989       0.226286       0.334839                 NaN  0.251231                 NaN  0.148276        1.04045                 NaN            NaN            NaN            NaN
  1233.32        500.000        97.9786       0.226807       0.336834                 NaN  0.254122                 NaN  0.146856        1.05676                 NaN            NaN            NaN            NaN
  1232.19        500.000        97.9249       0.221927       0.347966                 NaN  0.260624                 NaN  0.152942        1.09166                 NaN            NaN            NaN            NaN
  1231.06        500.000        98.0688       0.312080       0.227036                 NaN  0.242768                 NaN  0.137130        1.01217                 NaN            NaN            NaN            NaN
  1229.92        500.000        97.3201       0.270994       0.457757                 NaN  0.331953                 NaN  0.145839        1.44147                 NaN  0.319270E-001            NaN            NaN
  1228.79        500.000        98.6820       0.272277       0.105102                 NaN  0.173584                 NaN  0.774333E-001  0.689597                 NaN            NaN            NaN            NaN
  1227.66        500.000        98.3499       0.130484       0.346598                 NaN  0.198637                 NaN  0.120981       0.853444                 NaN            NaN            NaN            NaN
  1226.53        500.000        98.2779       0.211801       0.273474                 NaN  0.214381                 NaN  0.113442       0.908962                 NaN            NaN            NaN            NaN
  1225.39        500.000        98.3878       0.272374       0.153329                 NaN  0.200161                 NaN  0.125530       0.860794                 NaN            NaN            NaN            NaN
  1224.26        500.000        97.5573       0.126829       0.480249                 NaN  0.302315                 NaN  0.220995        1.31230                 NaN            NaN            NaN            NaN
  1223.13        500.000        99.0972       0.614773E-001  0.268400                 NaN  0.111367                 NaN            NaN  0.451991                 NaN  0.961398E-002            NaN            NaN
  1222.00        500.000        99.2076       0.143539       0.160578E-001            NaN  0.995297E-001            NaN  0.866725E-001  0.446647                 NaN            NaN            NaN            NaN
  1220.86        500.000        97.6570       0.363708       0.340988                 NaN  0.286406                 NaN  0.126554        1.22539                 NaN            NaN            NaN            NaN
