|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.75/WD94/WD94_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm           
  1392.65        2500.00                 NaN   98.6754                 NaN  0.219195                 NaN  0.452299       0.244150                 NaN  0.408965                 NaN            NaN
  1391.14        2500.00                 NaN   98.6955                 NaN  0.218552                 NaN  0.236375       0.446639                 NaN  0.402933                 NaN            NaN
  1389.63        2500.00                 NaN   98.6913                 NaN  0.221139                 NaN  0.451695       0.231150                 NaN  0.404672                 NaN            NaN
  1388.12        2500.00                 NaN   98.7522                 NaN  0.210641                 NaN  0.428524       0.224439                 NaN  0.384234                 NaN            NaN
  1386.60        2500.00                 NaN   98.7461                 NaN  0.217429                 NaN  0.434857       0.214514                 NaN  0.387103                 NaN            NaN
  1385.09        2500.00                 NaN   98.7617                 NaN  0.214792                 NaN  0.430313       0.211300                 NaN  0.381852                 NaN            NaN
  1383.58        2500.00                 NaN   98.7801                 NaN  0.213367                 NaN  0.425722       0.204869                 NaN  0.375966                 NaN            NaN
  1382.07        2500.00                 NaN   98.7961                 NaN  0.212418                 NaN  0.421621       0.198760                 NaN  0.371100                 NaN            NaN
  1380.56        2500.00                 NaN   98.8111                 NaN  0.211477                 NaN  0.194047       0.417090                 NaN  0.366321                 NaN            NaN
  1379.05        2500.00                 NaN   98.8252                 NaN  0.210929                 NaN  0.188252       0.413733                 NaN  0.361855                 NaN            NaN
  1377.54        2500.00                 NaN   98.8423                 NaN  0.208940                 NaN  0.409089       0.183416                 NaN  0.356233                 NaN            NaN
  1376.03        2500.00                 NaN   98.8556                 NaN  0.208187                 NaN  0.178257       0.405832                 NaN  0.352094                 NaN            NaN
  1374.52        2500.00                 NaN   98.7956                 NaN  0.168236                 NaN  0.338260       0.331320                 NaN  0.366559                 NaN            NaN
  1373.01        2500.00                 NaN   98.9578                 NaN  0.246747                 NaN  0.471454                 NaN            NaN  0.323992                 NaN            NaN
  1371.50        2500.00                 NaN   98.8981                 NaN  0.204665                 NaN  0.395306       0.163544                 NaN  0.338416                 NaN            NaN
  1369.99        2500.00                 NaN   98.9122                 NaN  0.203795                 NaN  0.391106       0.158845                 NaN  0.334094                 NaN            NaN
  1368.48        2500.00                 NaN   98.9254                 NaN  0.201760                 NaN  0.387323       0.155919                 NaN  0.329606                 NaN            NaN
  1366.97        2500.00                 NaN   98.9374                 NaN  0.200796                 NaN  0.384161       0.151920                 NaN  0.325748                 NaN            NaN
  1365.46        2500.00                 NaN   98.9505                 NaN  0.199399                 NaN  0.380466       0.148181                 NaN  0.321492                 NaN            NaN
  1363.95        2500.00                 NaN   98.9627                 NaN  0.198005                 NaN  0.144091       0.377748                 NaN  0.317481                 NaN            NaN
  1362.44        2500.00                 NaN   98.9749                 NaN  0.197353                 NaN  0.374168       0.139939                 NaN  0.313611                 NaN            NaN
  1360.93        2500.00                 NaN   98.9867                 NaN  0.194484                 NaN  0.371026       0.138261                 NaN  0.309553                 NaN            NaN
  1359.42        2500.00                 NaN   98.9993                 NaN  0.193657                 NaN  0.367351       0.134175                 NaN  0.305493                 NaN            NaN
  1357.91        2500.00                 NaN   99.0108                 NaN  0.192267                 NaN  0.131523       0.363473                 NaN  0.301895                 NaN            NaN
  1356.40        2500.00                 NaN   99.0216                 NaN  0.190341                 NaN  0.128943       0.361017                 NaN  0.298104                 NaN            NaN
  1354.89        2500.00                 NaN   99.0333                 NaN  0.188744                 NaN  0.125787       0.357837                 NaN  0.294364                 NaN            NaN
  1353.38        2500.00                 NaN   99.0436                 NaN  0.187179                 NaN  0.123478       0.354864                 NaN  0.290837                 NaN            NaN
  1351.87        2500.00                 NaN   99.0246                 NaN  0.191516                 NaN  0.362735       0.121382                 NaN  0.299721                 NaN            NaN
  1350.36        2500.00                 NaN   99.0956                 NaN  0.178060                 NaN  0.115079       0.339594                 NaN  0.271646                 NaN            NaN
  1348.85        2500.00                 NaN   99.0755                 NaN  0.181340                 NaN  0.345362       0.117736                 NaN  0.280055                 NaN            NaN
  1347.34        2500.00                 NaN   99.0851                 NaN  0.180569                 NaN  0.112546       0.344822                 NaN  0.276983                 NaN            NaN
  1345.83        2500.00                 NaN   99.0957                 NaN  0.177673                 NaN  0.339255       0.114131                 NaN  0.273254                 NaN            NaN
  1344.32        2500.00                 NaN   99.0214                 NaN  0.130661                 NaN  0.333882       0.218645                 NaN  0.295403                 NaN            NaN
  1342.81        2500.00                 NaN   99.2022                 NaN  0.219598                 NaN  0.305327E-002  0.333321                 NaN  0.241796                 NaN            NaN
  1341.30        2500.00                 NaN   99.1124                 NaN  0.176717                 NaN  0.348668       0.946047E-001            NaN  0.267601                 NaN            NaN
  1339.79        2500.00                 NaN   99.1407                 NaN  0.165594                 NaN  0.115441       0.320822                 NaN  0.257454                 NaN            NaN
  1338.28        2500.00                 NaN   99.1382                 NaN  0.171567                 NaN  0.330673       0.100262                 NaN  0.259281                 NaN            NaN
  1336.77        2500.00                 NaN   99.1538                 NaN  0.161811                 NaN  0.316184       0.115318                 NaN  0.252922                 NaN            NaN
  1335.26        2500.00                 NaN   99.1598                 NaN  0.163630                 NaN  0.318591       0.106530                 NaN  0.251449                 NaN            NaN
  1333.75        2500.00                 NaN   99.1682                 NaN  0.161203                 NaN  0.106821       0.315246                 NaN  0.248541                 NaN            NaN
  1332.24        2500.00                 NaN   99.1759                 NaN  0.159639                 NaN  0.105500       0.312880                 NaN  0.246059                 NaN            NaN
  1330.73        2500.00                 NaN   99.1847                 NaN  0.156027                 NaN  0.107103       0.309670                 NaN  0.242545                 NaN            NaN
  1329.22        2500.00                 NaN   99.1921                 NaN  0.155056                 NaN  0.104822       0.307789                 NaN  0.240192                 NaN            NaN
  1327.71        2500.00                 NaN   99.1910                 NaN  0.155431                 NaN  0.108713       0.301968                 NaN  0.242908                 NaN            NaN
  1326.20        2500.00                 NaN   99.2233                 NaN  0.146599                 NaN  0.300011       0.102374                 NaN  0.227719                 NaN            NaN
  1324.69        2500.00                 NaN   99.2165                 NaN  0.147024                 NaN  0.297319       0.107446                 NaN  0.231687                 NaN            NaN
  1323.18        2500.00                 NaN   99.2218                 NaN  0.144834                 NaN  0.107554       0.296136                 NaN  0.229675                 NaN            NaN
  1321.67        2500.00                 NaN   99.2217                 NaN  0.152498                 NaN  0.296053       0.974317E-001            NaN  0.232365                 NaN            NaN
  1320.16        2500.00                 NaN   99.2522                 NaN  0.129595                 NaN  0.124523       0.276211                 NaN  0.217479                 NaN            NaN
  1318.65        2500.00                 NaN   99.2458                 NaN  0.136123                 NaN  0.283971       0.112819                 NaN  0.221264                 NaN            NaN
  1317.14        2500.00                 NaN   99.2499                 NaN  0.133877                 NaN  0.116588       0.279525                 NaN  0.220066                 NaN            NaN
  1315.63        2500.00                 NaN   99.2610                 NaN  0.130594                 NaN  0.113065       0.279787                 NaN  0.215536                 NaN            NaN
  1314.12        2500.00                 NaN   99.2658                 NaN  0.128506                 NaN  0.116258       0.275268                 NaN  0.214189                 NaN            NaN
  1312.61        2500.00                 NaN   99.2723                 NaN  0.125154                 NaN  0.118709       0.272075                 NaN  0.211726                 NaN            NaN
  1311.10        2500.00                 NaN   88.7172                 NaN   1.00418                 NaN   2.01159       0.402230                 NaN   1.49981        6.36494                 NaN
  1309.59        2500.00                 NaN   83.2877                 NaN   1.43517                 NaN  0.469920        3.02918                 NaN   2.16072        9.61727                 NaN
  1308.08        2500.00                 NaN   84.6827                 NaN   1.31965                 NaN   2.95814       0.282387                 NaN   1.98924        8.76786                 NaN
  1306.57        2500.00                 NaN   85.8413                 NaN   1.21718                 NaN   2.95725       0.785566E-001            NaN   1.84701        8.05866                 NaN
  1305.06        2500.00                 NaN   86.7984                 NaN   1.11724                 NaN   2.88653                 NaN            NaN   1.72979        7.46806                 NaN
  1303.55        2500.00                 NaN   87.6801                 NaN  0.988779                 NaN   2.79073                 NaN            NaN   1.62088        6.91948                 NaN
  1302.04        2500.00                 NaN   88.4164                 NaN  0.928487                 NaN   2.65174                 NaN            NaN   1.53023        6.47314                 NaN
  1300.52        2500.00                 NaN   89.0842                 NaN  0.863391                 NaN   2.53859                 NaN            NaN   1.44792        6.06594                 NaN
  1299.01        2500.00                 NaN   89.6634                 NaN  0.819327                 NaN   2.42389                 NaN            NaN   1.37603        5.71736                 NaN
  1297.50        2500.00                 NaN   90.1735                 NaN  0.768282                 NaN   2.34057                 NaN            NaN   1.31328        5.40439                 NaN
  1295.99        2500.00                 NaN   90.6376                 NaN  0.731810                 NaN   2.25011                 NaN            NaN   1.25572        5.12471                 NaN
  1294.48        2500.00                 NaN   90.0204                 NaN  0.758896                 NaN   2.36681                 NaN            NaN   1.33651        5.44328       0.741475E-001
  1292.97        2500.00                 NaN   83.3269                 NaN   1.19357                 NaN   3.58589                 NaN            NaN   2.18797        9.11723       0.588398     
  1291.46        2500.00                 NaN   83.9186                 NaN   1.22267                 NaN   3.39497                 NaN            NaN   2.10394        8.79571       0.564084     
  1289.95        2500.00                 NaN   84.4314                 NaN   1.21719                 NaN   3.26271                 NaN            NaN   2.03148        8.51721       0.540002     
  1288.44        2500.00                 NaN   84.1600                 NaN   1.25278                 NaN   3.26686                 NaN            NaN   2.05315        8.71536       0.551820     
  1286.93        2500.00                 NaN   85.4442                 NaN   1.22518                 NaN   2.99312                 NaN            NaN   1.89062        7.95942       0.487499     
  1285.42        2500.00                 NaN   81.2325                 NaN   1.58059                 NaN   3.81008                 NaN            NaN   2.46482        10.2624       0.649588     
  1283.91        2500.00                 NaN   86.4771                 NaN   1.16898                 NaN   2.57043                 NaN            NaN   1.70940        7.62222       0.451825     
  1282.40        2500.00                 NaN   81.5320                 NaN   1.47338                 NaN   3.85648                 NaN            NaN   2.27370        10.2887       0.575747     
  1280.89        2500.00                 NaN   73.6234                 NaN   2.18626                 NaN   5.24049                 NaN            NaN   3.26502        14.8472       0.837640     
  1279.38        2500.00                 NaN   43.6228                 NaN   4.93302                 NaN   10.8517                 NaN            NaN   6.87249        31.9816        1.73841     
