|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/LAR/LAR_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        iron           an             San(TH)        O(HP)          O(HP)          ilm            ne             lc            
  1421.34        2500.00                 NaN   98.8619       0.399451       0.322051                 NaN            NaN  0.176340E-001  0.398932                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.21        2500.00                 NaN   98.8839       0.314918       0.392672                 NaN            NaN  0.171777E-001  0.391343                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.07        2500.00                 NaN   98.9034       0.309543       0.385877                 NaN            NaN  0.168470E-001  0.384339                 NaN            NaN            NaN            NaN            NaN            NaN
  1417.94        2500.00                 NaN   98.9231       0.379889       0.303330                 NaN            NaN  0.163858E-001  0.377281                 NaN            NaN            NaN            NaN            NaN            NaN
  1416.81        2500.00                 NaN   98.9409       0.298155       0.373854                 NaN            NaN  0.160470E-001  0.371069                 NaN            NaN            NaN            NaN            NaN            NaN
  1415.68        2500.00                 NaN   98.9587       0.292913       0.367942                 NaN            NaN  0.156583E-001  0.364787                 NaN            NaN            NaN            NaN            NaN            NaN
  1414.54        2500.00                 NaN   98.9770       0.286920       0.362517                 NaN            NaN  0.152616E-001  0.358293                 NaN            NaN            NaN            NaN            NaN            NaN
  1413.41        2500.00                 NaN   98.9935       0.282029       0.357000                 NaN            NaN  0.149404E-001  0.352497                 NaN            NaN            NaN            NaN            NaN            NaN
  1412.28        2500.00                 NaN   99.0104       0.351711       0.276853                 NaN            NaN  0.145763E-001  0.346466                 NaN            NaN            NaN            NaN            NaN            NaN
  1411.15        2500.00                 NaN   99.0264       0.346522       0.271990                 NaN            NaN  0.142038E-001  0.340865                 NaN            NaN            NaN            NaN            NaN            NaN
  1410.01        2500.00                 NaN   99.0403       0.267371       0.342301                 NaN            NaN  0.139270E-001  0.336109                 NaN            NaN            NaN            NaN            NaN            NaN
  1408.88        2500.00                 NaN   99.0595       0.261916       0.335997                 NaN            NaN  0.135485E-001  0.329025                 NaN            NaN            NaN            NaN            NaN            NaN
  1407.75        2500.00                 NaN   99.0723       0.258058       0.331688                 NaN            NaN  0.133197E-001  0.324650                 NaN            NaN            NaN            NaN            NaN            NaN
  1406.61        2500.00                 NaN   99.0861       0.253985       0.327256                 NaN            NaN  0.130204E-001  0.319637                 NaN            NaN            NaN            NaN            NaN            NaN
  1405.48        2500.00                 NaN   99.1020       0.322252       0.249099                 NaN            NaN  0.126581E-001  0.313950                 NaN            NaN            NaN            NaN            NaN            NaN
  1404.35        2500.00                 NaN   99.1140       0.318659       0.245135                 NaN            NaN  0.123969E-001  0.309828                 NaN            NaN            NaN            NaN            NaN            NaN
  1403.22        2500.00                 NaN   99.1272       0.241110       0.314402                 NaN            NaN  0.121284E-001  0.305187                 NaN            NaN            NaN            NaN            NaN            NaN
  1402.08        2500.00                 NaN   99.1428       0.236618       0.309368                 NaN            NaN  0.117967E-001  0.299430                 NaN            NaN            NaN            NaN            NaN            NaN
  1400.95        2500.00                 NaN   99.1529       0.305813       0.233718                 NaN            NaN  0.116097E-001  0.295910                 NaN            NaN            NaN            NaN            NaN            NaN
  1399.82        2500.00                 NaN   99.1672       0.228715       0.302070                 NaN            NaN  0.112569E-001  0.290797                 NaN            NaN            NaN            NaN            NaN            NaN
  1398.69        2500.00                 NaN   99.1784       0.225537       0.298187                 NaN            NaN  0.110631E-001  0.286858                 NaN            NaN            NaN            NaN            NaN            NaN
  1397.55        2500.00                 NaN   99.1905       0.294403       0.221882                 NaN            NaN  0.107766E-001  0.282410                 NaN            NaN            NaN            NaN            NaN            NaN
  1396.42        2500.00                 NaN   99.2017       0.218133       0.291153                 NaN            NaN  0.105305E-001  0.278515                 NaN            NaN            NaN            NaN            NaN            NaN
  1395.29        2500.00                 NaN   99.2136       0.214615       0.287343                 NaN            NaN  0.102762E-001  0.274200                 NaN            NaN            NaN            NaN            NaN            NaN
  1394.16        2500.00                 NaN   99.2242       0.211290       0.283996                 NaN            NaN  0.100613E-001  0.270450                 NaN            NaN            NaN            NaN            NaN            NaN
  1393.02        2500.00                 NaN   99.2347       0.280700       0.208052                 NaN            NaN  0.984000E-002  0.266717                 NaN            NaN            NaN            NaN            NaN            NaN
  1391.89        2500.00                 NaN   99.2449       0.204387       0.277984                 NaN            NaN  0.960584E-002  0.263079                 NaN            NaN            NaN            NaN            NaN            NaN
  1390.76        2500.00                 NaN   99.2568       0.201169       0.274020                 NaN            NaN  0.935004E-002  0.258627                 NaN            NaN            NaN            NaN            NaN            NaN
  1389.63        2500.00                 NaN   99.2656       0.271270       0.198375                 NaN            NaN  0.914440E-002  0.255616                 NaN            NaN            NaN            NaN            NaN            NaN
  1388.49        2500.00                 NaN   99.2758       0.195283       0.268037                 NaN            NaN  0.894571E-002  0.251886                 NaN            NaN            NaN            NaN            NaN            NaN
  1387.36        2500.00                 NaN   99.2853       0.191942       0.265473                 NaN            NaN  0.871315E-002  0.248589                 NaN            NaN            NaN            NaN            NaN            NaN
  1386.23        2500.00                 NaN   99.2941       0.262560       0.189386                 NaN            NaN  0.854777E-002  0.245378                 NaN            NaN            NaN            NaN            NaN            NaN
  1385.09        2500.00                 NaN   99.3043       0.259605       0.186045                 NaN            NaN  0.831293E-002  0.241720                 NaN            NaN            NaN            NaN            NaN            NaN
  1383.96        2500.00                 NaN   99.3131       0.256631       0.183622                 NaN            NaN  0.812479E-002  0.238509                 NaN            NaN            NaN            NaN            NaN            NaN
  1382.83        2500.00                 NaN   99.3470       0.244588       0.173923                 NaN            NaN  0.768239E-002  0.226777                 NaN            NaN            NaN            NaN            NaN            NaN
  1381.70        2500.00                 NaN   99.3053       0.260858       0.184974                 NaN            NaN  0.801520E-002  0.240816                 NaN            NaN            NaN            NaN            NaN            NaN
  1380.56        2500.00                 NaN   99.3388       0.175516       0.248949                 NaN            NaN  0.755951E-002  0.229226                 NaN            NaN            NaN            NaN            NaN            NaN
  1379.43        2500.00                 NaN   99.3470       0.246555       0.172808                 NaN            NaN  0.737064E-002  0.226291                 NaN            NaN            NaN            NaN            NaN            NaN
  1378.30        2500.00                 NaN   99.3549       0.170340       0.244159                 NaN            NaN  0.719072E-002  0.223428                 NaN            NaN            NaN            NaN            NaN            NaN
  1377.17        2500.00                 NaN   99.3626       0.241882       0.167797                 NaN            NaN  0.702687E-002  0.220681                 NaN            NaN            NaN            NaN            NaN            NaN
  1376.03        2500.00                 NaN   99.3690       0.239943       0.165641                 NaN            NaN  0.689000E-002  0.218542                 NaN            NaN            NaN            NaN            NaN            NaN
  1374.90        2500.00                 NaN   99.3803       0.162169       0.236738                 NaN            NaN  0.663159E-002  0.214117                 NaN            NaN            NaN            NaN            NaN            NaN
  1373.77        2500.00                 NaN   99.3855       0.235106       0.160543                 NaN            NaN  0.650079E-002  0.212366                 NaN            NaN            NaN            NaN            NaN            NaN
  1372.64        2500.00                 NaN   99.3935       0.157751       0.233007                 NaN            NaN  0.631582E-002  0.209442                 NaN            NaN            NaN            NaN            NaN            NaN
  1371.50        2500.00                 NaN   99.3990       0.230213       0.156922                 NaN            NaN  0.625636E-002  0.207575                 NaN            NaN            NaN            NaN            NaN            NaN
  1370.37        2500.00                 NaN   99.4086       0.152774       0.228879                 NaN            NaN  0.594936E-002  0.203813                 NaN            NaN            NaN            NaN            NaN            NaN
  1369.24        2500.00                 NaN   99.4138       0.151467       0.226754                 NaN            NaN  0.586084E-002  0.202109                 NaN            NaN            NaN            NaN            NaN            NaN
  1368.11        2500.00                 NaN   99.4199       0.149188       0.225297                 NaN            NaN  0.569390E-002  0.199921                 NaN            NaN            NaN            NaN            NaN            NaN
  1366.97        2500.00                 NaN   99.4282       0.222829       0.146638                 NaN            NaN  0.551270E-002  0.196850                 NaN            NaN            NaN            NaN            NaN            NaN
  1365.84        2500.00                 NaN   99.4342       0.221142       0.144594                 NaN            NaN  0.538397E-002  0.194647                 NaN            NaN            NaN            NaN            NaN            NaN
  1364.71        2500.00                 NaN   99.4403       0.142732       0.219284                 NaN            NaN  0.524825E-002  0.192476                 NaN            NaN            NaN            NaN            NaN            NaN
  1363.57        2500.00                 NaN   99.4448       0.217927       0.141268                 NaN            NaN  0.513396E-002  0.190864                 NaN            NaN            NaN            NaN            NaN            NaN
  1362.44        2500.00                 NaN   99.4542       0.215329       0.138205                 NaN            NaN  0.491473E-002  0.187303                 NaN            NaN            NaN            NaN            NaN            NaN
  1361.31        2500.00                 NaN   99.4584       0.136650       0.214284                 NaN            NaN  0.479517E-002  0.185890                 NaN            NaN            NaN            NaN            NaN            NaN
  1360.18        2500.00                 NaN   99.4646       0.134674       0.212444                 NaN            NaN  0.466481E-002  0.183588                 NaN            NaN            NaN            NaN            NaN            NaN
  1359.04        2500.00                 NaN   99.4702       0.210919       0.132785                 NaN            NaN  0.452155E-002  0.181553                 NaN            NaN            NaN            NaN            NaN            NaN
  1357.91        2500.00                 NaN   99.4760       0.130893       0.209282                 NaN            NaN  0.439230E-002  0.179456                 NaN            NaN            NaN            NaN            NaN            NaN
  1356.78        2500.00                 NaN   99.4815       0.129017       0.207782                 NaN            NaN  0.425839E-002  0.177465                 NaN            NaN            NaN            NaN            NaN            NaN
  1355.65        2500.00                 NaN   99.4871       0.127040       0.206313                 NaN            NaN  0.412450E-002  0.175393                 NaN            NaN            NaN            NaN            NaN            NaN
  1354.51        2500.00                 NaN   99.4923       0.125466       0.204739                 NaN            NaN  0.399749E-002  0.173505                 NaN            NaN            NaN            NaN            NaN            NaN
  1353.38        2500.00                 NaN   99.4975       0.203577       0.123452                 NaN            NaN  0.384787E-002  0.171591                 NaN            NaN            NaN            NaN            NaN            NaN
  1352.25        2500.00                 NaN   99.5028       0.202024       0.121740                 NaN            NaN  0.373423E-002  0.169666                 NaN            NaN            NaN            NaN            NaN            NaN
  1351.12        2500.00                 NaN   99.5079       0.200536       0.120179                 NaN            NaN  0.361853E-002  0.167812                 NaN            NaN            NaN            NaN            NaN            NaN
  1349.98        2500.00                 NaN   99.5128       0.199247       0.118453                 NaN            NaN  0.348147E-002  0.165984                 NaN            NaN            NaN            NaN            NaN            NaN
  1348.85        2500.00                 NaN   99.5172       0.198405       0.116635                 NaN            NaN  0.334271E-002  0.164448                 NaN            NaN            NaN            NaN            NaN            NaN
  1347.72        2500.00                 NaN   99.5232       0.114876       0.196549                 NaN            NaN  0.322165E-002  0.162111                 NaN            NaN            NaN            NaN            NaN            NaN
  1346.59        2500.00                 NaN   99.5272       0.113539       0.195445                 NaN            NaN  0.311887E-002  0.160679                 NaN            NaN            NaN            NaN            NaN            NaN
  1345.45        2500.00                 NaN   99.5314       0.111852       0.194418                 NaN            NaN  0.303786E-002  0.159299                 NaN            NaN            NaN            NaN            NaN            NaN
  1344.32        2500.00                 NaN   99.5371       0.110354       0.192679                 NaN            NaN  0.289265E-002  0.157022                 NaN            NaN            NaN            NaN            NaN            NaN
  1343.19        2500.00                 NaN   99.5409       0.191886       0.108747                 NaN            NaN  0.277718E-002  0.155674                 NaN            NaN            NaN            NaN            NaN            NaN
  1342.05        2500.00                 NaN   99.6116       0.162857       0.916002E-001            NaN            NaN  0.228892E-002  0.131634                 NaN            NaN            NaN            NaN            NaN            NaN
  1340.92        2500.00                 NaN   99.4834       0.121239       0.217601                 NaN            NaN  0.291004E-002  0.174804                 NaN            NaN            NaN            NaN            NaN            NaN
  1339.79        2500.00                 NaN   99.5540       0.188500       0.104228                 NaN            NaN  0.242591E-002  0.150864                 NaN            NaN            NaN            NaN            NaN            NaN
  1338.66        2500.00                 NaN   99.5582       0.187575       0.102582                 NaN            NaN  0.231909E-002  0.149320                 NaN            NaN            NaN            NaN            NaN            NaN
  1337.52        2500.00                 NaN   99.5616       0.186836       0.101176                 NaN            NaN  0.224578E-002  0.148158                 NaN            NaN            NaN            NaN            NaN            NaN
  1336.39        2500.00                 NaN   99.5668       0.185661       0.994377E-001            NaN            NaN  0.205729E-002  0.146014                 NaN            NaN            NaN            NaN            NaN            NaN
  1335.26        2500.00                 NaN   99.5702       0.184576       0.983586E-001            NaN            NaN  0.198990E-002  0.144908                 NaN            NaN            NaN            NaN            NaN            NaN
  1334.13        2500.00                 NaN   99.5741       0.183663       0.969141E-001            NaN            NaN  0.188844E-002  0.143480                 NaN            NaN            NaN            NaN            NaN            NaN
  1332.99        2500.00                 NaN   99.5853       0.179587       0.937231E-001            NaN            NaN  0.176268E-002  0.139600                 NaN            NaN            NaN            NaN            NaN            NaN
  1331.86        2500.00                 NaN   99.9418       0.408847E-001            NaN            NaN            NaN  0.278413E-003  0.170651E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1330.73        2500.00                 NaN   99.2185       0.188967       0.324528                 NaN            NaN  0.291208E-002  0.265109                 NaN            NaN            NaN            NaN            NaN            NaN
  1329.60        2500.00                 NaN   99.5891       0.179990       0.915012E-001            NaN            NaN  0.148891E-002  0.137934                 NaN            NaN            NaN            NaN            NaN            NaN
  1328.46        2500.00                 NaN   99.5926       0.901584E-001  0.179251                 NaN            NaN  0.137433E-002  0.136620                 NaN            NaN            NaN            NaN            NaN            NaN
  1327.33        2500.00                 NaN   99.5962       0.178298       0.889106E-001            NaN            NaN  0.128263E-002  0.135260                 NaN            NaN            NaN            NaN            NaN            NaN
  1326.20        2500.00                 NaN   99.5995       0.177967       0.872663E-001            NaN            NaN  0.116500E-002  0.134117                 NaN            NaN            NaN            NaN            NaN            NaN
  1325.07        2500.00                 NaN   99.6032       0.861518E-001  0.176892                 NaN            NaN  0.107327E-002  0.132668                 NaN            NaN            NaN            NaN            NaN            NaN
  1323.93        2500.00                 NaN   99.6062       0.849918E-001  0.176213                 NaN            NaN  0.969525E-003  0.131588                 NaN            NaN            NaN            NaN            NaN            NaN
  1322.80        2500.00                 NaN   99.6097       0.837773E-001  0.175385                 NaN            NaN  0.883529E-003  0.130252                 NaN            NaN            NaN            NaN            NaN            NaN
  1321.67        2500.00                 NaN   99.6128       0.174877       0.823511E-001            NaN            NaN  0.785639E-003  0.129190                 NaN            NaN            NaN            NaN            NaN            NaN
  1320.53        2500.00                 NaN   99.6162       0.809717E-001  0.174203                 NaN            NaN  0.684014E-003  0.127899                 NaN            NaN            NaN            NaN            NaN            NaN
  1319.40        2500.00                 NaN   99.6191       0.799352E-001  0.173528                 NaN            NaN  0.586953E-003  0.126813                 NaN            NaN            NaN            NaN            NaN            NaN
  1318.27        2500.00                 NaN   89.4656        1.40679       0.943254                 NaN            NaN  0.607932E-001   1.33736        6.78616                 NaN            NaN            NaN            NaN            NaN
  1317.14        2500.00                 NaN   82.6208        1.53373        2.20671                 NaN            NaN  0.102824        2.14066        11.3953                 NaN            NaN            NaN            NaN            NaN
  1316.00        2500.00                 NaN   84.6240        1.93632        1.37008                 NaN            NaN  0.923750E-001   1.89137        10.0859                 NaN            NaN            NaN            NaN            NaN
  1314.87        2500.00                 NaN   86.2399        1.71995        1.23600                 NaN            NaN  0.840106E-001   1.69059        9.02955                 NaN            NaN            NaN            NaN            NaN
  1313.74        2500.00                 NaN   87.5649        1.12121        1.54784                 NaN            NaN  0.768438E-001   1.52664        8.16252                 NaN            NaN            NaN            NaN            NaN
  1312.61        2500.00                 NaN   88.6840        1.02465        1.40198                 NaN            NaN  0.708571E-001   1.38822        7.43028                 NaN            NaN            NaN            NaN            NaN
  1311.47        2500.00                 NaN   89.6377       0.941512        1.27873                 NaN            NaN  0.658045E-001   1.27052        6.80574                 NaN            NaN            NaN            NaN            NaN
  1310.34        2500.00                 NaN   90.4523       0.869407        1.17433                 NaN            NaN  0.615239E-001   1.17010        6.27233                 NaN            NaN            NaN            NaN            NaN
  1309.21        2500.00                 NaN   91.1639       0.806375        1.08406                 NaN            NaN  0.576521E-001   1.08254        5.80548                 NaN            NaN            NaN            NaN            NaN
  1308.08        2500.00                 NaN   91.7901       0.750175        1.00538                 NaN            NaN  0.542606E-001   1.00562        5.39447                 NaN            NaN            NaN            NaN            NaN
  1306.94        2500.00                 NaN   92.3463       0.700240       0.935557                 NaN            NaN  0.513175E-001  0.937344        5.02922                 NaN            NaN            NaN            NaN            NaN
  1305.81        2500.00                 NaN   92.8343       0.875476       0.655925                 NaN            NaN  0.486241E-001  0.877467        4.70822                 NaN            NaN            NaN            NaN            NaN
  1304.68        2500.00                 NaN   93.2894       0.823071       0.611994                 NaN            NaN  0.458429E-001  0.822421        4.40727                 NaN            NaN            NaN            NaN            NaN
  1303.55        2500.00                 NaN   93.6928       0.771730       0.577522                 NaN            NaN  0.437670E-001  0.772707        4.14143                 NaN            NaN            NaN            NaN            NaN
  1302.41        2500.00                 NaN   94.0524       0.543961       0.728960                 NaN            NaN  0.417736E-001  0.728873        3.90408                 NaN            NaN            NaN            NaN            NaN
  1301.28        2500.00                 NaN   94.3889       0.689598       0.512698                 NaN            NaN  0.397813E-001  0.687985        3.68104                 NaN            NaN            NaN            NaN            NaN
  1300.15        2500.00                 NaN   94.6885       0.654818       0.484666                 NaN            NaN  0.380383E-001  0.651534        3.48241                 NaN            NaN            NaN            NaN            NaN
  1299.01        2500.00                 NaN   94.9713       0.458096       0.622960                 NaN            NaN  0.362745E-001  0.617223        3.29411                 NaN            NaN            NaN            NaN            NaN
  1297.88        2500.00                 NaN   95.2252       0.594329       0.434095                 NaN            NaN  0.347464E-001  0.586488        3.12516                 NaN            NaN            NaN            NaN            NaN
  1296.75        2500.00                 NaN   95.4608       0.411707       0.568397                 NaN            NaN  0.332721E-001  0.557955        2.96787                 NaN            NaN            NaN            NaN            NaN
  1295.62        2500.00                 NaN   95.6806       0.544933       0.390633                 NaN            NaN  0.318033E-001  0.531428        2.82059                 NaN            NaN            NaN            NaN            NaN
  1294.48        2500.00                 NaN   95.8832       0.370935       0.523872                 NaN            NaN  0.304549E-001  0.507084        2.68448                 NaN            NaN            NaN            NaN            NaN
  1293.35        2500.00                 NaN   96.0696       0.353113       0.504045                 NaN            NaN  0.292199E-001  0.484456        2.55954                 NaN            NaN            NaN            NaN            NaN
  1292.22        2500.00                 NaN   96.2368       0.336877       0.487155                 NaN            NaN  0.280724E-001  0.464213        2.44685                 NaN            NaN            NaN            NaN            NaN
  1291.09        2500.00                 NaN   96.3992       0.320986       0.470730                 NaN            NaN  0.269283E-001  0.444715        2.33746                 NaN            NaN            NaN            NaN            NaN
  1289.95        2500.00                 NaN   96.5438       0.306626       0.456905                 NaN            NaN  0.258774E-001  0.427245        2.23958                 NaN            NaN            NaN            NaN            NaN
  1288.82        2500.00                 NaN   96.6840       0.443136       0.293016                 NaN            NaN  0.248667E-001  0.410337        2.14462                 NaN            NaN            NaN            NaN            NaN
  1287.69        2500.00                 NaN   96.8122       0.280320       0.431223                 NaN            NaN  0.238558E-001  0.394961        2.05748                 NaN            NaN            NaN            NaN            NaN
  1286.56        2500.00                 NaN   96.9331       0.420356       0.268178                 NaN            NaN  0.229130E-001  0.380430        1.97506                 NaN            NaN            NaN            NaN            NaN
  1285.42        2500.00                 NaN   97.0443       0.410096       0.257141                 NaN            NaN  0.220567E-001  0.366914        1.89948                 NaN            NaN            NaN            NaN            NaN
  1284.29        2500.00                 NaN   97.1495       0.245652       0.401827                 NaN            NaN  0.211648E-001  0.354543        1.82731                 NaN            NaN            NaN            NaN            NaN
  1283.16        2500.00                 NaN   97.1145       0.359469                 NaN            NaN            NaN  0.114779E-001  0.345333        1.96260       0.206607                 NaN            NaN            NaN            NaN
  1282.03        2500.00                 NaN   97.2056       0.348266                 NaN            NaN            NaN  0.109765E-001  0.334446        1.89929       0.201467                 NaN            NaN            NaN            NaN
  1280.89        2500.00                 NaN   97.2964       0.339458                 NaN            NaN            NaN  0.106294E-001  0.323407        1.83576       0.194326                 NaN            NaN            NaN            NaN
  1279.76        2500.00                 NaN   97.3855       0.330646                 NaN            NaN            NaN  0.102715E-001  0.312547        1.77344       0.187576                 NaN            NaN            NaN            NaN
  1278.63        2500.00                 NaN   97.4639       0.322923                 NaN            NaN            NaN  0.995176E-002  0.303063        1.71860       0.181553                 NaN            NaN            NaN            NaN
  1277.49        2500.00                 NaN   97.5481       0.314958                 NaN            NaN            NaN  0.964092E-002  0.292902        1.65933       0.175051                 NaN            NaN            NaN            NaN
  1276.36        2500.00                 NaN   97.6190       0.307491                 NaN            NaN            NaN  0.935237E-002  0.284095        1.61019       0.169826                 NaN            NaN            NaN            NaN
  1275.23        2500.00                 NaN   97.2071       0.932457E-001  0.665436                 NaN            NaN  0.177603E-001  0.399821        1.61659                 NaN            NaN            NaN            NaN            NaN
  1274.10        2500.00                 NaN   96.9957       0.408149                 NaN            NaN            NaN  0.384943E-002  0.317096        2.06598       0.209173                 NaN            NaN            NaN            NaN
  1272.96        2500.00                 NaN   97.4114       0.468756       0.115713                 NaN            NaN  0.194413E-001  0.330852        1.65381                 NaN            NaN            NaN            NaN            NaN
  1271.83        2500.00                 NaN   95.3748       0.505985E-001  0.967379                 NaN            NaN  0.373524E-001  0.624328        2.94554                 NaN            NaN            NaN            NaN            NaN
  1270.70        2500.00                 NaN   99.8098       0.186491                 NaN            NaN            NaN  0.370505E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1269.57        2500.00                 NaN   99.7373       0.100589                 NaN            NaN            NaN            NaN  0.321472E-001  0.129994                 NaN            NaN            NaN            NaN            NaN
  1268.43        2500.00                 NaN   97.7260       0.115865       0.553176                 NaN            NaN  0.907445E-002  0.340488        1.25542                 NaN            NaN            NaN            NaN            NaN
  1267.30        2500.00                 NaN   97.1802       0.295444                 NaN            NaN            NaN  0.119535E-001  0.268587        2.09176       0.152019                 NaN            NaN            NaN            NaN
  1266.17        2500.00                 NaN   97.1207       0.380498                 NaN            NaN            NaN  0.129350E-001  0.432744        1.77738       0.275776                 NaN            NaN            NaN            NaN
  1265.04        2500.00                 NaN   99.4630       0.711931E-001            NaN            NaN            NaN  0.677155E-003  0.760111E-001  0.338392       0.506809E-001            NaN            NaN            NaN            NaN
  1263.90        2500.00                 NaN   98.5593       0.361429                 NaN            NaN            NaN  0.175726E-002  0.689433E-001   1.00862                 NaN            NaN            NaN            NaN            NaN
  1262.77        2500.00                 NaN   98.8614       0.228129                 NaN            NaN            NaN  0.139363E-001  0.128055       0.768520                 NaN            NaN            NaN            NaN            NaN
  1261.64        2500.00                 NaN   98.7827       0.190645       0.566437E-001            NaN            NaN  0.100999E-001  0.141021       0.810918       0.793869E-002            NaN            NaN            NaN            NaN
  1260.51        2500.00                 NaN   98.2389       0.295201                 NaN            NaN            NaN  0.179502E-001  0.225953        1.11314       0.108809                 NaN            NaN            NaN            NaN
  1259.37        2500.00                 NaN   98.5604       0.379831E-001  0.231789                 NaN            NaN            NaN  0.180683       0.905506       0.836788E-001            NaN            NaN            NaN            NaN
  1258.24        2500.00                 NaN   97.5309       0.142637       0.486883                 NaN            NaN            NaN  0.407686        1.25323       0.158042                 NaN  0.206087E-001            NaN            NaN
  1257.11        2500.00                 NaN   98.5077       0.135286                 NaN            NaN            NaN            NaN  0.743324E-001   1.23874       0.276275E-001            NaN  0.162800E-001            NaN            NaN
