|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3/YM20/YM20_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            hed            q             
  1520.29        500.000                 NaN   99.2583                 NaN  0.718206       0.235403E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.92        500.000                 NaN   99.5624                 NaN  0.423804       0.137896E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.56        500.000                 NaN   99.5645                 NaN  0.421234       0.142244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.19        500.000                 NaN   99.5688                 NaN  0.417603       0.136240E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.83        500.000                 NaN   99.5676                 NaN  0.420983       0.113875E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.46        500.000                 NaN   99.5760                 NaN  0.412088       0.118739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.10        500.000                 NaN   99.5730                 NaN  0.415502       0.114889E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.73        500.000                 NaN   99.8553                 NaN  0.126377       0.183519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.36        500.000                 NaN   99.3124                 NaN  0.659692       0.279204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        500.000                 NaN   99.5934                 NaN  0.351944       0.546112E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.63        500.000                 NaN   99.5910                 NaN  0.321543       0.874373E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.27        500.000                 NaN   99.5982                 NaN  0.401807                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.90        500.000                 NaN   99.5934                 NaN  0.406573                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.54        500.000                 NaN   99.3335                 NaN  0.666296       0.181595E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.17        500.000                 NaN   99.8595                 NaN  0.140496                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.81        500.000                 NaN   99.7701                 NaN  0.229919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.44        500.000                 NaN   99.4320                 NaN  0.564419       0.355993E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.07        500.000                 NaN   99.6050                 NaN  0.394959                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000                 NaN   99.5697                 NaN  0.430256                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.34        500.000                 NaN   99.6829                 NaN  0.305303       0.118367E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.98        500.000                 NaN   99.5783                 NaN  0.421681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.61        500.000                 NaN   99.6154                 NaN  0.384559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.25        500.000                 NaN   99.6167                 NaN  0.383335                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.88        500.000                 NaN   99.6188                 NaN  0.381173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.52        500.000                 NaN   99.6213                 NaN  0.378686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.15        500.000                 NaN   99.6236                 NaN  0.376289       0.121932E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.78        500.000                 NaN   99.6254                 NaN  0.374650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.42        500.000                 NaN   99.6282                 NaN  0.371755                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.05        500.000                 NaN   99.6264                 NaN  0.373559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        500.000                 NaN   99.6357                 NaN  0.364255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.32        500.000                 NaN   99.6334                 NaN  0.366622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.96        500.000                 NaN   99.6354                 NaN  0.364578                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.59        500.000                 NaN   99.6358                 NaN  0.364176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.22        500.000                 NaN   99.6397                 NaN  0.360341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.86        500.000                 NaN   99.6415                 NaN  0.358490                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.49        500.000                 NaN   99.6437                 NaN  0.356346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.13        500.000                 NaN   99.6450                 NaN  0.355023                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.76        500.000                 NaN   99.5828                 NaN  0.124781                 NaN  0.292386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.40        500.000                 NaN   99.5427                 NaN  0.128229E-001            NaN  0.444446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.03        500.000                 NaN   99.7509                 NaN            NaN            NaN  0.249113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.67        500.000                 NaN   99.3514                 NaN  0.107826                 NaN  0.540759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.30        500.000                 NaN   99.5485                 NaN  0.276838E-001            NaN  0.423844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.93        500.000                 NaN   99.5488                 NaN            NaN            NaN  0.451235                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.57        500.000                 NaN   99.5491                 NaN            NaN            NaN  0.450878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.20        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.84        500.000                 NaN   98.5431                 NaN            NaN            NaN   1.45689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.47        500.000                 NaN   99.8683                 NaN  0.103862E-001            NaN  0.640257E-001  0.573236E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1456.11        500.000                 NaN   99.6982                 NaN            NaN            NaN  0.247999       0.537747E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1454.74        500.000                 NaN   99.3100                 NaN            NaN            NaN  0.346270       0.343717                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.38        500.000                 NaN   99.2986                 NaN            NaN            NaN  0.425034       0.276383                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.01        500.000                 NaN   99.2918                 NaN            NaN            NaN  0.291401       0.416773                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.64        500.000                 NaN   99.2979                 NaN            NaN            NaN  0.413701       0.288383                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.28        500.000                 NaN   99.3039                 NaN            NaN            NaN  0.285118       0.410959                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.91        500.000                 NaN   99.3111                 NaN            NaN            NaN  0.406600       0.282251                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.55        500.000                 NaN   99.3175                 NaN            NaN            NaN  0.403081       0.279382                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.18        500.000                 NaN   99.3239                 NaN            NaN            NaN  0.276575       0.399496                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.82        500.000                 NaN   99.3283                 NaN  0.476938E-002            NaN  0.397480       0.269428                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.45        500.000                 NaN   99.3379                 NaN            NaN            NaN  0.391550       0.270523                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.09        500.000                 NaN   99.0762                 NaN            NaN            NaN  0.547777       0.376014                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.72        500.000                 NaN   99.6160                 NaN            NaN            NaN  0.226832       0.157208                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.35        500.000                 NaN   99.3549                 NaN            NaN            NaN  0.262174       0.382886                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.99        500.000                 NaN   99.3609                 NaN            NaN            NaN  0.379609       0.259515                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.62        500.000                 NaN   99.3665                 NaN            NaN            NaN  0.376918       0.256568                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.26        500.000                 NaN   99.5344                 NaN  0.371254E-003            NaN  0.276878       0.188307                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.89        500.000                 NaN   99.2146                 NaN            NaN            NaN  0.467544       0.317846                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.53        500.000                 NaN   99.3837                 NaN            NaN            NaN  0.367391       0.248954                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.16        500.000                 NaN   99.3890                 NaN            NaN            NaN  0.246353       0.364672                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.79        500.000                 NaN   99.2565                 NaN            NaN            NaN  0.376846       0.300446                 NaN  0.662122E-001            NaN            NaN            NaN            NaN
  1427.43        500.000                 NaN   98.1965                 NaN            NaN            NaN  0.734533       0.487420                 NaN  0.581508                 NaN            NaN            NaN            NaN
  1426.06        500.000                 NaN   98.2348                 NaN            NaN            NaN  0.477051       0.718652                 NaN  0.569462                 NaN            NaN            NaN            NaN
  1424.70        500.000                 NaN   98.2736                 NaN            NaN            NaN  0.702739       0.466315                 NaN  0.557304                 NaN            NaN            NaN            NaN
  1423.33        500.000                 NaN   98.3063                 NaN            NaN            NaN  0.457157       0.689395                 NaN  0.547194                 NaN            NaN            NaN            NaN
  1421.97        500.000                 NaN   98.3426                 NaN            NaN            NaN  0.675261       0.446389                 NaN  0.535728                 NaN            NaN            NaN            NaN
  1420.60        500.000                 NaN   98.3758                 NaN            NaN            NaN  0.660668       0.438239                 NaN  0.525273                 NaN            NaN            NaN            NaN
  1419.24        500.000                 NaN   98.4085                 NaN            NaN            NaN  0.647837       0.428576                 NaN  0.515043                 NaN            NaN            NaN            NaN
  1417.87        500.000                 NaN   98.4398                 NaN            NaN            NaN  0.634834       0.420257                 NaN  0.505077                 NaN            NaN            NaN            NaN
  1416.50        500.000                 NaN   98.4692                 NaN            NaN  0.360763E-004  0.411982       0.622802                 NaN  0.495987                 NaN            NaN            NaN            NaN
  1415.14        500.000                 NaN   98.5001                 NaN            NaN            NaN  0.610322       0.403333                 NaN  0.486202                 NaN            NaN            NaN            NaN
  1413.77        500.000                 NaN   98.5285                 NaN            NaN            NaN  0.395694       0.598661                 NaN  0.477169                 NaN            NaN            NaN            NaN
  1412.41        500.000                 NaN   98.5549                 NaN            NaN            NaN  0.588084       0.388184                 NaN  0.468812                 NaN            NaN            NaN            NaN
  1411.04        500.000                 NaN   98.5824                 NaN            NaN            NaN  0.380807       0.576654                 NaN  0.460096                 NaN            NaN            NaN            NaN
  1409.68        500.000                 NaN   98.6082                 NaN            NaN  0.102979E-004  0.566459       0.373313                 NaN  0.451973                 NaN            NaN            NaN            NaN
  1408.31        500.000                 NaN   98.6328                 NaN            NaN            NaN  0.366568       0.556483                 NaN  0.444186                 NaN            NaN            NaN            NaN
  1406.95        500.000                 NaN   98.6555                 NaN            NaN            NaN  0.547013       0.360336                 NaN  0.437184                 NaN            NaN            NaN            NaN
  1405.58        500.000                 NaN   98.6837                 NaN            NaN            NaN  0.536249       0.352216                 NaN  0.427876                 NaN            NaN            NaN            NaN
  1404.21        500.000                 NaN   98.7044                 NaN            NaN            NaN  0.527754       0.346523                 NaN  0.421342                 NaN            NaN            NaN            NaN
  1402.85        500.000                 NaN   98.7279                 NaN            NaN            NaN  0.518536       0.339666                 NaN  0.413921                 NaN            NaN            NaN            NaN
  1401.48        500.000                 NaN   98.7491                 NaN            NaN            NaN  0.509702       0.334088                 NaN  0.407085                 NaN            NaN            NaN            NaN
  1400.12        500.000                 NaN   98.7702                 NaN            NaN            NaN  0.328201       0.501271                 NaN  0.400372                 NaN            NaN            NaN            NaN
  1398.75        500.000                 NaN   98.7905                 NaN            NaN            NaN  0.322517       0.493175                 NaN  0.393824                 NaN            NaN            NaN            NaN
  1397.39        500.000                 NaN   98.8111                 NaN            NaN            NaN  0.316626       0.484958                 NaN  0.387298                 NaN            NaN            NaN            NaN
  1396.02        500.000                 NaN   98.8306                 NaN            NaN            NaN  0.477440       0.310861                 NaN  0.381069                 NaN            NaN            NaN            NaN
  1394.66        500.000                 NaN   98.8501                 NaN            NaN            NaN  0.469533       0.305639                 NaN  0.374680                 NaN            NaN            NaN            NaN
  1393.29        500.000                 NaN   98.8682                 NaN            NaN            NaN  0.462410       0.300446                 NaN  0.368945                 NaN            NaN            NaN            NaN
  1391.92        500.000                 NaN   98.8862                 NaN            NaN            NaN  0.295621       0.455133                 NaN  0.363068                 NaN            NaN            NaN            NaN
  1390.56        500.000                 NaN   98.9039                 NaN            NaN            NaN  0.290304       0.448378                 NaN  0.357445                 NaN            NaN            NaN            NaN
  1389.19        500.000                 NaN   98.9202                 NaN            NaN            NaN  0.285552       0.441812                 NaN  0.352407                 NaN            NaN            NaN            NaN
  1387.83        500.000                 NaN   98.9386                 NaN            NaN            NaN  0.434450       0.280763                 NaN  0.346200                 NaN            NaN            NaN            NaN
  1386.46        500.000                 NaN   98.9543                 NaN            NaN            NaN  0.276159       0.428273                 NaN  0.341308                 NaN            NaN            NaN            NaN
  1385.10        500.000                 NaN   98.9707                 NaN            NaN            NaN  0.271378       0.422020                 NaN  0.335914                 NaN            NaN            NaN            NaN
  1383.73        500.000                 NaN   98.9863                 NaN            NaN            NaN  0.267130       0.415710                 NaN  0.330825                 NaN            NaN            NaN            NaN
  1382.36        500.000                 NaN   99.0009                 NaN            NaN            NaN  0.262955       0.410055                 NaN  0.326085                 NaN            NaN            NaN            NaN
  1381.00        500.000                 NaN   99.0163                 NaN            NaN            NaN  0.258640       0.403897                 NaN  0.321145                 NaN            NaN            NaN            NaN
  1379.63        500.000                 NaN   99.0295                 NaN            NaN            NaN  0.398638       0.255082                 NaN  0.316773                 NaN            NaN            NaN            NaN
  1378.27        500.000                 NaN   99.0451                 NaN            NaN            NaN  0.250299       0.392747                 NaN  0.311838                 NaN            NaN            NaN            NaN
  1376.90        500.000                 NaN   99.0579                 NaN            NaN            NaN  0.246617       0.387911                 NaN  0.307611                 NaN            NaN            NaN            NaN
  1375.54        500.000                 NaN   99.0732                 NaN            NaN            NaN  0.381915       0.242249                 NaN  0.302615                 NaN            NaN            NaN            NaN
  1374.17        500.000                 NaN   99.0852                 NaN            NaN            NaN  0.377366       0.238698                 NaN  0.298709                 NaN            NaN            NaN            NaN
  1372.81        500.000                 NaN   99.0984                 NaN            NaN            NaN  0.235145       0.372105                 NaN  0.294364                 NaN            NaN            NaN            NaN
  1371.44        500.000                 NaN   99.1111                 NaN            NaN            NaN  0.231360       0.367273                 NaN  0.290309                 NaN            NaN            NaN            NaN
  1370.07        500.000                 NaN   99.1235                 NaN            NaN            NaN  0.227948       0.362319                 NaN  0.286243                 NaN            NaN            NaN            NaN
  1368.71        500.000                 NaN   99.1342                 NaN            NaN            NaN  0.358271       0.224749                 NaN  0.282787                 NaN            NaN            NaN            NaN
  1367.34        500.000                 NaN   99.1488                 NaN            NaN            NaN  0.220625       0.352729                 NaN  0.277891                 NaN            NaN            NaN            NaN
  1365.98        500.000                 NaN   99.1587                 NaN            NaN            NaN  0.217769       0.348818                 NaN  0.274761                 NaN            NaN            NaN            NaN
  1364.61        500.000                 NaN   99.1702                 NaN            NaN  0.191656E-005  0.214375       0.344397                 NaN  0.270985                 NaN            NaN            NaN            NaN
  1363.25        500.000                 NaN   99.1818                 NaN            NaN            NaN  0.339965       0.211202                 NaN  0.267067                 NaN            NaN            NaN            NaN
  1361.88        500.000                 NaN   99.1913                 NaN            NaN            NaN  0.208542       0.336190                 NaN  0.263931                 NaN            NaN            NaN            NaN
  1360.52        500.000                 NaN   99.2046                 NaN            NaN            NaN  0.204660       0.331197                 NaN  0.259542                 NaN            NaN            NaN            NaN
  1359.15        500.000                 NaN   99.2134                 NaN            NaN            NaN  0.327888       0.202005                 NaN  0.256752                 NaN            NaN            NaN            NaN
  1357.78        500.000                 NaN   99.2213                 NaN            NaN            NaN  0.200164       0.324200                 NaN  0.254329                 NaN            NaN            NaN            NaN
  1356.42        500.000                 NaN   99.2373                 NaN            NaN            NaN  0.194529       0.319562                 NaN  0.248646                 NaN            NaN            NaN            NaN
  1355.05        500.000                 NaN   99.2438                 NaN            NaN            NaN  0.316105       0.193403                 NaN  0.246733                 NaN            NaN            NaN            NaN
  1353.69        500.000                 NaN   99.2538                 NaN            NaN            NaN  0.190183       0.312586                 NaN  0.243456                 NaN            NaN            NaN            NaN
  1352.32        500.000                 NaN   99.2634                 NaN            NaN  0.136896E-002  0.188260       0.306514                 NaN  0.240478                 NaN            NaN            NaN            NaN
  1350.96        500.000                 NaN   99.2866                 NaN            NaN  0.599018E-001  0.207863       0.202971                 NaN  0.242652                 NaN            NaN            NaN            NaN
  1349.59        500.000                 NaN   99.2943                 NaN            NaN  0.608189E-001  0.206230       0.198305                 NaN  0.240342                 NaN            NaN            NaN            NaN
  1348.23        500.000                 NaN   99.3080                 NaN            NaN  0.619741E-001  0.190314       0.204055                 NaN  0.235689                 NaN            NaN            NaN            NaN
  1346.86        500.000                 NaN   99.3150                 NaN            NaN  0.607879E-001  0.201224       0.189752                 NaN  0.233278                 NaN            NaN            NaN            NaN
  1345.49        500.000                 NaN   99.3240                 NaN            NaN  0.607699E-001  0.186211       0.198676                 NaN  0.230318                 NaN            NaN            NaN            NaN
  1344.13        500.000                 NaN   99.3330                 NaN            NaN  0.607582E-001  0.196403       0.182543                 NaN  0.227299                 NaN            NaN            NaN            NaN
  1342.76        500.000                 NaN   99.3414                 NaN            NaN  0.600631E-001  0.193922       0.180261                 NaN  0.224390                 NaN            NaN            NaN            NaN
  1341.40        500.000                 NaN   99.3482                 NaN            NaN  0.602872E-001  0.176694       0.192470                 NaN  0.222312                 NaN            NaN            NaN            NaN
  1340.03        500.000                 NaN   99.3590                 NaN            NaN  0.593569E-001  0.173755       0.189690                 NaN  0.218189                 NaN            NaN            NaN            NaN
  1338.67        500.000                 NaN   99.3666                 NaN            NaN  0.587371E-001  0.172198       0.186782                 NaN  0.215701                 NaN            NaN            NaN            NaN
  1337.30        500.000                 NaN   99.3745                 NaN            NaN  0.589189E-001  0.168569       0.184894                 NaN  0.213153                 NaN            NaN            NaN            NaN
  1335.93        500.000                 NaN   99.3820                 NaN            NaN  0.591899E-001  0.183318       0.164751                 NaN  0.210706                 NaN            NaN            NaN            NaN
  1334.57        500.000                 NaN   99.3904                 NaN            NaN  0.577592E-001  0.164080       0.180173                 NaN  0.207606                 NaN            NaN            NaN            NaN
  1333.20        500.000                 NaN   99.3976                 NaN            NaN  0.576716E-001  0.178296       0.161208                 NaN  0.205205                 NaN            NaN            NaN            NaN
  1331.84        500.000                 NaN   99.4052                 NaN            NaN  0.574024E-001  0.176188       0.158581                 NaN  0.202606                 NaN            NaN            NaN            NaN
  1330.47        500.000                 NaN   99.4125                 NaN            NaN  0.568049E-001  0.174200       0.156453                 NaN  0.200058                 NaN            NaN            NaN            NaN
  1329.11        500.000                 NaN   99.4197                 NaN            NaN  0.565450E-001  0.153876       0.172279                 NaN  0.197590                 NaN            NaN            NaN            NaN
  1327.74        500.000                 NaN   99.4269                 NaN            NaN  0.560769E-001  0.170159       0.151765                 NaN  0.195106                 NaN            NaN            NaN            NaN
  1326.38        500.000                 NaN   99.4338                 NaN            NaN  0.556651E-001  0.168278       0.149530                 NaN  0.192680                 NaN            NaN            NaN            NaN
  1325.01        500.000                 NaN   99.4406                 NaN            NaN  0.554005E-001  0.166337       0.147303                 NaN  0.190382                 NaN            NaN            NaN            NaN
  1323.64        500.000                 NaN   99.4473                 NaN            NaN  0.548966E-001  0.145368       0.164361                 NaN  0.188069                 NaN            NaN            NaN            NaN
  1322.28        500.000                 NaN   99.4540                 NaN            NaN  0.537288E-001  0.144553       0.162231                 NaN  0.185530                 NaN            NaN            NaN            NaN
  1320.91        500.000                 NaN   99.4604                 NaN            NaN  0.536212E-001  0.142231       0.160247                 NaN  0.183477                 NaN            NaN            NaN            NaN
  1319.55        500.000                 NaN   99.4654                 NaN            NaN  0.531923E-001  0.158644       0.140860                 NaN  0.181896                 NaN            NaN            NaN            NaN
  1318.18        500.000                 NaN   99.4750                 NaN            NaN  0.535077E-001  0.138017       0.154538                 NaN  0.178914                 NaN            NaN            NaN            NaN
  1316.82        500.000                 NaN   99.4808                 NaN            NaN  0.516025E-001  0.155999       0.135981                 NaN  0.175644                 NaN            NaN            NaN            NaN
  1315.45        500.000                 NaN   99.4846                 NaN            NaN  0.524414E-001  0.133879       0.153841                 NaN  0.175191                 NaN            NaN            NaN            NaN
  1314.09        500.000                 NaN   99.4914                 NaN            NaN  0.494425E-001  0.150005       0.136946                 NaN  0.172230                 NaN            NaN            NaN            NaN
  1312.72        500.000                 NaN   99.4969                 NaN            NaN  0.498472E-001  0.133289       0.149480                 NaN  0.170471                 NaN            NaN            NaN            NaN
  1311.35        500.000                 NaN   99.5026                 NaN            NaN  0.491801E-001  0.132380       0.147292                 NaN  0.168538                 NaN            NaN            NaN            NaN
  1309.99        500.000                 NaN   99.5084                 NaN            NaN  0.486979E-001  0.145704       0.130735                 NaN  0.166436                 NaN            NaN            NaN            NaN
  1308.62        500.000                 NaN   99.5142                 NaN            NaN  0.483094E-001  0.144273       0.128816                 NaN  0.164442                 NaN            NaN            NaN            NaN
  1307.26        500.000                 NaN   99.6098                 NaN            NaN  0.572379E-001  0.116217       0.813695E-001            NaN  0.135422                 NaN            NaN            NaN            NaN
  1305.89        500.000                 NaN   99.4347                 NaN            NaN  0.365286E-001  0.167851       0.173326                 NaN  0.187577                 NaN            NaN            NaN            NaN
  1304.53        500.000                 NaN   99.5300                 NaN            NaN  0.459439E-001  0.138746       0.126541                 NaN  0.158741                 NaN            NaN            NaN            NaN
  1303.16        500.000                 NaN   99.5353                 NaN            NaN  0.454160E-001  0.125129       0.137278                 NaN  0.156872                 NaN            NaN            NaN            NaN
  1301.80        500.000                 NaN   99.5401                 NaN            NaN  0.441443E-001  0.135160       0.125564                 NaN  0.155020                 NaN            NaN            NaN            NaN
  1300.43        500.000                 NaN   99.5445                 NaN            NaN  0.424187E-001  0.133016       0.126667                 NaN  0.153421                 NaN            NaN            NaN            NaN
  1299.06        500.000                 NaN   99.5509                 NaN            NaN  0.440691E-001  0.121170       0.132537                 NaN  0.151295                 NaN            NaN            NaN            NaN
  1297.70        500.000                 NaN   99.4625                 NaN            NaN  0.589848E-001  0.135007       0.159269                 NaN  0.184226                 NaN            NaN            NaN            NaN
  1296.33        500.000                 NaN   99.6504                 NaN            NaN  0.237663E-001  0.112219       0.996983E-001            NaN  0.113886                 NaN            NaN            NaN            NaN
  1294.97        500.000                 NaN   99.5650                 NaN            NaN  0.408971E-001  0.120990       0.126985                 NaN  0.146132                 NaN            NaN            NaN            NaN
  1293.60        500.000                 NaN   86.9750                 NaN            NaN            NaN   1.06484        2.10630                 NaN   1.50552        8.34839                 NaN            NaN            NaN
  1292.24        500.000                 NaN   83.7369                 NaN            NaN            NaN   1.31905        2.58369                 NaN   1.85794        10.5024                 NaN            NaN            NaN
  1290.87        500.000                 NaN   85.6574                 NaN            NaN            NaN   2.27992        1.17478                 NaN   1.65077        9.23715                 NaN            NaN            NaN
  1289.50        500.000                 NaN   87.2175                 NaN            NaN            NaN   1.05732        2.03279                 NaN   1.48157        8.21078                 NaN            NaN            NaN
  1288.14        500.000                 NaN   88.5105                 NaN            NaN            NaN  0.958150        1.82908                 NaN   1.34085        7.36140                 NaN            NaN            NaN
  1286.77        500.000                 NaN   89.6079                 NaN            NaN            NaN  0.871051        1.65780                 NaN   1.22087        6.64237                 NaN            NaN            NaN
  1285.41        500.000                 NaN   90.5250                 NaN            NaN            NaN  0.798026        1.51511                 NaN   1.12036        6.04155                 NaN            NaN            NaN
  1284.04        500.000                 NaN   91.3156                 NaN            NaN            NaN  0.734762        1.39103                 NaN   1.03295        5.52563                 NaN            NaN            NaN
  1282.68        500.000                 NaN   91.9915                 NaN            NaN            NaN  0.679053        1.28766                 NaN  0.958520        5.08324                 NaN            NaN            NaN
