|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3/YM20/YM20_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            hed            q             
  1510.73        500.000                 NaN   99.8296                 NaN  0.148312       0.221049E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.36        500.000                 NaN   99.1922                 NaN  0.774118       0.336635E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        500.000                 NaN   99.5207                 NaN  0.413360       0.658965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.63        500.000                 NaN   99.5165                 NaN  0.377750       0.105713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.27        500.000                 NaN   99.5277                 NaN  0.472254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.90        500.000                 NaN   99.5220                 NaN  0.477964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.54        500.000                 NaN   99.2166                 NaN  0.783157       0.219591E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.17        500.000                 NaN   99.8347                 NaN  0.165289                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.81        500.000                 NaN   99.7295                 NaN  0.270524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.44        500.000                 NaN   99.3317                 NaN  0.663992       0.430735E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.07        500.000                 NaN   99.5350                 NaN  0.465000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000                 NaN   99.4935                 NaN  0.506545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.34        500.000                 NaN   99.6261                 NaN  0.359574       0.143445E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.98        500.000                 NaN   99.5033                 NaN  0.496714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.61        500.000                 NaN   99.5468                 NaN  0.453150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.25        500.000                 NaN   99.5482                 NaN  0.451804                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.88        500.000                 NaN   99.5506                 NaN  0.449392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.52        500.000                 NaN   99.5534                 NaN  0.446596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.15        500.000                 NaN   99.5560                 NaN  0.443863       0.148199E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.78        500.000                 NaN   99.5579                 NaN  0.442053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.42        500.000                 NaN   99.5613                 NaN  0.438725                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.05        500.000                 NaN   99.5589                 NaN  0.441052                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        500.000                 NaN   99.5699                 NaN  0.430130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.32        500.000                 NaN   99.5670                 NaN  0.432966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.96        500.000                 NaN   99.5692                 NaN  0.430750                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.59        500.000                 NaN   99.5696                 NaN  0.430364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.22        500.000                 NaN   99.5741                 NaN  0.425914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.86        500.000                 NaN   99.5761                 NaN  0.423883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.49        500.000                 NaN   99.5786                 NaN  0.421449                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.13        500.000                 NaN   99.5800                 NaN  0.419972                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.76        500.000                 NaN   99.5080                 NaN  0.147650                 NaN  0.344325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.40        500.000                 NaN   99.4611                 NaN  0.151790E-001            NaN  0.523688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.03        500.000                 NaN   99.7064                 NaN            NaN            NaN  0.293611                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.67        500.000                 NaN   99.2347                 NaN  0.127731                 NaN  0.637601                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.30        500.000                 NaN   99.4671                 NaN  0.328128E-001            NaN  0.500045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.93        500.000                 NaN   99.4674                 NaN            NaN            NaN  0.532637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.57        500.000                 NaN   99.4676                 NaN            NaN            NaN  0.532420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.20        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.84        500.000                 NaN   98.2804                 NaN            NaN            NaN   1.71959                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.47        500.000                 NaN   99.8445                 NaN  0.123463E-001            NaN  0.753104E-001  0.678249E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1456.11        500.000                 NaN   99.6433                 NaN            NaN            NaN  0.293435       0.632692E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1454.74        500.000                 NaN   99.1860                 NaN            NaN            NaN  0.407333       0.406675                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.38        500.000                 NaN   99.1727                 NaN            NaN            NaN  0.500112       0.327199                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.01        500.000                 NaN   99.1642                 NaN            NaN            NaN  0.345140       0.490694                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.64        500.000                 NaN   99.1708                 NaN            NaN            NaN  0.487366       0.341807                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.28        500.000                 NaN   99.1774                 NaN            NaN            NaN  0.338196       0.484411                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.91        500.000                 NaN   99.1855                 NaN            NaN            NaN  0.479487       0.334966                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.55        500.000                 NaN   99.1927                 NaN            NaN            NaN  0.475563       0.331745                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.18        500.000                 NaN   99.1998                 NaN            NaN            NaN  0.328612       0.471573                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.82        500.000                 NaN   99.2045                 NaN  0.569678E-002            NaN  0.469461       0.320340                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.45        500.000                 NaN   99.2155                 NaN            NaN            NaN  0.462678       0.321822                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.09        500.000                 NaN   98.9049                 NaN            NaN            NaN  0.647471       0.447609                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.72        500.000                 NaN   99.5442                 NaN            NaN            NaN  0.268476       0.187374                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.35        500.000                 NaN   99.2343                 NaN            NaN            NaN  0.312520       0.453197                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.99        500.000                 NaN   99.2409                 NaN            NaN            NaN  0.449531       0.309544                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.62        500.000                 NaN   99.2472                 NaN            NaN            NaN  0.446583       0.306221                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.26        500.000                 NaN   99.4463                 NaN  0.445473E-003            NaN  0.328292       0.224934                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.89        500.000                 NaN   99.0658                 NaN            NaN            NaN  0.554400       0.379752                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.53        500.000                 NaN   99.2663                 NaN            NaN            NaN  0.436004       0.297725                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.16        500.000                 NaN   99.2722                 NaN            NaN            NaN  0.294801       0.432993                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.79        500.000                 NaN   99.1269                 NaN            NaN            NaN  0.447658       0.359721                 NaN  0.657552E-001            NaN            NaN            NaN            NaN
  1427.43        500.000                 NaN   97.9642                 NaN            NaN            NaN  0.879566       0.578941                 NaN  0.577248                 NaN            NaN            NaN            NaN
  1426.06        500.000                 NaN   98.0056                 NaN            NaN            NaN  0.567183       0.861558                 NaN  0.565667                 NaN            NaN            NaN            NaN
  1424.70        500.000                 NaN   98.0476                 NaN            NaN            NaN  0.843464       0.554982                 NaN  0.553963                 NaN            NaN            NaN            NaN
  1423.33        500.000                 NaN   98.0826                 NaN            NaN            NaN  0.544650       0.828492                 NaN  0.544278                 NaN            NaN            NaN            NaN
  1421.97        500.000                 NaN   98.1219                 NaN            NaN            NaN  0.812480       0.532337                 NaN  0.533235                 NaN            NaN            NaN            NaN
  1420.60        500.000                 NaN   98.1579                 NaN            NaN            NaN  0.795790       0.523170                 NaN  0.523184                 NaN            NaN            NaN            NaN
  1419.24        500.000                 NaN   98.1932                 NaN            NaN            NaN  0.781333       0.512101                 NaN  0.513343                 NaN            NaN            NaN            NaN
  1417.87        500.000                 NaN   98.2270                 NaN            NaN            NaN  0.766529       0.502715                 NaN  0.503754                 NaN            NaN            NaN            NaN
  1416.50        500.000                 NaN   98.2587                 NaN            NaN  0.458518E-004  0.493310       0.752912                 NaN  0.495027                 NaN            NaN            NaN            NaN
  1415.14        500.000                 NaN   98.2923                 NaN            NaN            NaN  0.738651       0.483421                 NaN  0.485595                 NaN            NaN            NaN            NaN
  1413.77        500.000                 NaN   98.3230                 NaN            NaN            NaN  0.474733       0.725401                 NaN  0.476900                 NaN            NaN            NaN            NaN
  1412.41        500.000                 NaN   98.3515                 NaN            NaN            NaN  0.713462       0.466174                 NaN  0.468871                 NaN            NaN            NaN            NaN
  1411.04        500.000                 NaN   98.3814                 NaN            NaN            NaN  0.457787       0.700366                 NaN  0.460473                 NaN            NaN            NaN            NaN
  1409.68        500.000                 NaN   98.4093                 NaN            NaN  0.131981E-004  0.688812       0.449237                 NaN  0.452656                 NaN            NaN            NaN            NaN
  1408.31        500.000                 NaN   98.4357                 NaN            NaN            NaN  0.441591       0.677505                 NaN  0.445166                 NaN            NaN            NaN            NaN
  1406.95        500.000                 NaN   98.4604                 NaN            NaN            NaN  0.666655       0.434527                 NaN  0.438453                 NaN            NaN            NaN            NaN
  1405.58        500.000                 NaN   98.4910                 NaN            NaN            NaN  0.654401       0.425137                 NaN  0.429418                 NaN            NaN            NaN            NaN
  1404.21        500.000                 NaN   98.5133                 NaN            NaN            NaN  0.644794       0.418712                 NaN  0.423155                 NaN            NaN            NaN            NaN
  1402.85        500.000                 NaN   98.5390                 NaN            NaN            NaN  0.634206       0.410796                 NaN  0.415993                 NaN            NaN            NaN            NaN
  1401.48        500.000                 NaN   98.5619                 NaN            NaN            NaN  0.624170       0.404482                 NaN  0.409408                 NaN            NaN            NaN            NaN
  1400.12        500.000                 NaN   98.5847                 NaN            NaN            NaN  0.397774       0.614563                 NaN  0.402939                 NaN            NaN            NaN            NaN
  1398.75        500.000                 NaN   98.6068                 NaN            NaN            NaN  0.391271       0.605348                 NaN  0.396626                 NaN            NaN            NaN            NaN
  1397.39        500.000                 NaN   98.6292                 NaN            NaN            NaN  0.384502       0.595948                 NaN  0.390329                 NaN            NaN            NaN            NaN
  1396.02        500.000                 NaN   98.6504                 NaN            NaN            NaN  0.587351       0.377883                 NaN  0.384320                 NaN            NaN            NaN            NaN
  1394.66        500.000                 NaN   98.6716                 NaN            NaN            NaN  0.578329       0.371917                 NaN  0.378141                 NaN            NaN            NaN            NaN
  1393.29        500.000                 NaN   98.6912                 NaN            NaN            NaN  0.570224       0.365974                 NaN  0.372616                 NaN            NaN            NaN            NaN
  1391.92        500.000                 NaN   98.7107                 NaN            NaN            NaN  0.360463       0.561915                 NaN  0.366938                 NaN            NaN            NaN            NaN
  1390.56        500.000                 NaN   98.7300                 NaN            NaN            NaN  0.354335       0.554205                 NaN  0.361510                 NaN            NaN            NaN            NaN
  1389.19        500.000                 NaN   98.7477                 NaN            NaN            NaN  0.348903       0.546744                 NaN  0.356666                 NaN            NaN            NaN            NaN
  1387.83        500.000                 NaN   98.7678                 NaN            NaN            NaN  0.538223       0.343372                 NaN  0.350630                 NaN            NaN            NaN            NaN
  1386.46        500.000                 NaN   98.7848                 NaN            NaN            NaN  0.338087       0.531180                 NaN  0.345919                 NaN            NaN            NaN            NaN
  1385.10        500.000                 NaN   98.8027                 NaN            NaN            NaN  0.332558       0.524001                 NaN  0.340693                 NaN            NaN            NaN            NaN
  1383.73        500.000                 NaN   98.8197                 NaN            NaN            NaN  0.327715       0.516787                 NaN  0.335767                 NaN            NaN            NaN            NaN
  1382.36        500.000                 NaN   98.8355                 NaN            NaN            NaN  0.322906       0.510356                 NaN  0.331189                 NaN            NaN            NaN            NaN
  1381.00        500.000                 NaN   98.8525                 NaN            NaN            NaN  0.317923       0.503220                 NaN  0.326403                 NaN            NaN            NaN            NaN
  1379.63        500.000                 NaN   98.8667                 NaN            NaN            NaN  0.497291       0.313870                 NaN  0.322185                 NaN            NaN            NaN            NaN
  1378.27        500.000                 NaN   98.8838                 NaN            NaN            NaN  0.308300       0.490472                 NaN  0.317390                 NaN            NaN            NaN            NaN
  1376.90        500.000                 NaN   98.8976                 NaN            NaN            NaN  0.304068       0.485002                 NaN  0.313307                 NaN            NaN            NaN            NaN
  1375.54        500.000                 NaN   98.9146                 NaN            NaN            NaN  0.478023       0.298969                 NaN  0.308437                 NaN            NaN            NaN            NaN
  1374.17        500.000                 NaN   98.9276                 NaN            NaN            NaN  0.472899       0.294876                 NaN  0.304669                 NaN            NaN            NaN            NaN
  1372.81        500.000                 NaN   98.9419                 NaN            NaN            NaN  0.290794       0.466826                 NaN  0.300449                 NaN            NaN            NaN            NaN
  1371.44        500.000                 NaN   98.9558                 NaN            NaN            NaN  0.286402       0.461280                 NaN  0.296518                 NaN            NaN            NaN            NaN
  1370.07        500.000                 NaN   98.9695                 NaN            NaN            NaN  0.282433       0.455520                 NaN  0.292570                 NaN            NaN            NaN            NaN
  1368.71        500.000                 NaN   98.9810                 NaN            NaN            NaN  0.451022       0.278787                 NaN  0.289240                 NaN            NaN            NaN            NaN
  1367.34        500.000                 NaN   98.9971                 NaN            NaN            NaN  0.273936       0.444508                 NaN  0.284433                 NaN            NaN            NaN            NaN
  1365.98        500.000                 NaN   99.0078                 NaN            NaN            NaN  0.270661       0.440085                 NaN  0.281426                 NaN            NaN            NaN            NaN
  1364.61        500.000                 NaN   99.0206                 NaN            NaN  0.259100E-005  0.266699       0.434969                 NaN  0.277752                 NaN            NaN            NaN            NaN
  1363.25        500.000                 NaN   99.0332                 NaN            NaN            NaN  0.429865       0.263018                 NaN  0.273928                 NaN            NaN            NaN            NaN
  1361.88        500.000                 NaN   99.0436                 NaN            NaN            NaN  0.259946       0.425533                 NaN  0.270900                 NaN            NaN            NaN            NaN
  1360.52        500.000                 NaN   99.0583                 NaN            NaN            NaN  0.255385       0.419729                 NaN  0.266582                 NaN            NaN            NaN            NaN
  1359.15        500.000                 NaN   99.0678                 NaN            NaN            NaN  0.416006       0.252331                 NaN  0.263899                 NaN            NaN            NaN            NaN
  1357.78        500.000                 NaN   99.0764                 NaN            NaN            NaN  0.250272       0.411720                 NaN  0.261591                 NaN            NaN            NaN            NaN
  1356.42        500.000                 NaN   99.0943                 NaN            NaN            NaN  0.243456       0.406315                 NaN  0.255925                 NaN            NaN            NaN            NaN
  1355.05        500.000                 NaN   99.1012                 NaN            NaN            NaN  0.402340       0.242304                 NaN  0.254131                 NaN            NaN            NaN            NaN
  1353.69        500.000                 NaN   99.1122                 NaN            NaN            NaN  0.238498       0.398326                 NaN  0.250930                 NaN            NaN            NaN            NaN
  1352.32        500.000                 NaN   99.1228                 NaN            NaN  0.187730E-002  0.236310       0.390991                 NaN  0.248032                 NaN            NaN            NaN            NaN
  1350.96        500.000                 NaN   99.1468                 NaN            NaN  0.822913E-001  0.261206       0.259208                 NaN  0.250465                 NaN            NaN            NaN            NaN
  1349.59        500.000                 NaN   99.1550                 NaN            NaN  0.836883E-001  0.259473       0.253587                 NaN  0.248270                 NaN            NaN            NaN            NaN
  1348.23        500.000                 NaN   99.1704                 NaN            NaN  0.854239E-001  0.243575       0.256915                 NaN  0.243651                 NaN            NaN            NaN            NaN
  1346.86        500.000                 NaN   99.1779                 NaN            NaN  0.839359E-001  0.253650       0.243178                 NaN  0.241341                 NaN            NaN            NaN            NaN
  1345.49        500.000                 NaN   99.1879                 NaN            NaN  0.840375E-001  0.238911       0.250667                 NaN  0.238461                 NaN            NaN            NaN            NaN
  1344.13        500.000                 NaN   99.1978                 NaN            NaN  0.841630E-001  0.248076       0.234457                 NaN  0.235514                 NaN            NaN            NaN            NaN
  1342.76        500.000                 NaN   99.2070                 NaN            NaN  0.833560E-001  0.245210       0.231802                 NaN  0.232676                 NaN            NaN            NaN            NaN
  1341.40        500.000                 NaN   99.2143                 NaN            NaN  0.838231E-001  0.227505       0.243649                 NaN  0.230695                 NaN            NaN            NaN            NaN
  1340.03        500.000                 NaN   99.2265                 NaN            NaN  0.826221E-001  0.223935       0.240346                 NaN  0.226590                 NaN            NaN            NaN            NaN
  1338.67        500.000                 NaN   99.2348                 NaN            NaN  0.819174E-001  0.222176       0.236901                 NaN  0.224175                 NaN            NaN            NaN            NaN
  1337.30        500.000                 NaN   99.2435                 NaN            NaN  0.823030E-001  0.217733       0.234751                 NaN  0.221693                 NaN            NaN            NaN            NaN
  1335.93        500.000                 NaN   99.2519                 NaN            NaN  0.828205E-001  0.233001       0.213008                 NaN  0.219313                 NaN            NaN            NaN            NaN
  1334.57        500.000                 NaN   99.2612                 NaN            NaN  0.809440E-001  0.212402       0.229223                 NaN  0.216248                 NaN            NaN            NaN            NaN
  1333.20        500.000                 NaN   99.2691                 NaN            NaN  0.809662E-001  0.227084       0.208933                 NaN  0.213908                 NaN            NaN            NaN            NaN
  1331.84        500.000                 NaN   99.2776                 NaN            NaN  0.807149E-001  0.224599       0.205746                 NaN  0.211356                 NaN            NaN            NaN            NaN
  1330.47        500.000                 NaN   99.2856                 NaN            NaN  0.799969E-001  0.222313       0.203200                 NaN  0.208853                 NaN            NaN            NaN            NaN
  1329.11        500.000                 NaN   99.2937                 NaN            NaN  0.797641E-001  0.200074       0.220076                 NaN  0.206430                 NaN            NaN            NaN            NaN
  1327.74        500.000                 NaN   99.3017                 NaN            NaN  0.792236E-001  0.217568       0.197544                 NaN  0.203987                 NaN            NaN            NaN            NaN
  1326.38        500.000                 NaN   99.3094                 NaN            NaN  0.787788E-001  0.215381       0.194827                 NaN  0.201598                 NaN            NaN            NaN            NaN
  1325.01        500.000                 NaN   99.3168                 NaN            NaN  0.785302E-001  0.213129       0.192152                 NaN  0.199341                 NaN            NaN            NaN            NaN
  1323.64        500.000                 NaN   99.3244                 NaN            NaN  0.779607E-001  0.189823       0.210776                 NaN  0.197064                 NaN            NaN            NaN            NaN
  1322.28        500.000                 NaN   99.3318                 NaN            NaN  0.763926E-001  0.188968       0.208283                 NaN  0.194546                 NaN            NaN            NaN            NaN
  1320.91        500.000                 NaN   99.3390                 NaN            NaN  0.763634E-001  0.186116       0.205947                 NaN  0.192533                 NaN            NaN            NaN            NaN
  1319.55        500.000                 NaN   99.3445                 NaN            NaN  0.758666E-001  0.204091       0.184520                 NaN  0.191014                 NaN            NaN            NaN            NaN
  1318.18        500.000                 NaN   99.3558                 NaN            NaN  0.763784E-001  0.180868       0.198923                 NaN  0.188019                 NaN            NaN            NaN            NaN
  1316.82        500.000                 NaN   99.3618                 NaN            NaN  0.738449E-001  0.201091       0.178530                 NaN  0.184716                 NaN            NaN            NaN            NaN
  1315.45        500.000                 NaN   99.3660                 NaN            NaN  0.751568E-001  0.175957       0.198525                 NaN  0.184372                 NaN            NaN            NaN            NaN
  1314.09        500.000                 NaN   99.3738                 NaN            NaN  0.709772E-001  0.193726       0.180159                 NaN  0.181387                 NaN            NaN            NaN            NaN
  1312.72        500.000                 NaN   99.3799                 NaN            NaN  0.716709E-001  0.175540       0.193253                 NaN  0.179662                 NaN            NaN            NaN            NaN
  1311.35        500.000                 NaN   99.3863                 NaN            NaN  0.708049E-001  0.174514       0.190623                 NaN  0.177751                 NaN            NaN            NaN            NaN
  1309.99        500.000                 NaN   99.3929                 NaN            NaN  0.702210E-001  0.188749       0.172520                 NaN  0.175659                 NaN            NaN            NaN            NaN
  1308.62        500.000                 NaN   99.3993                 NaN            NaN  0.697815E-001  0.187056       0.170142                 NaN  0.173678                 NaN            NaN            NaN            NaN
  1307.26        500.000                 NaN   99.5156                 NaN            NaN  0.828207E-001  0.150819       0.107589                 NaN  0.143144                 NaN            NaN            NaN            NaN
  1305.89        500.000                 NaN   99.3014                 NaN            NaN  0.529023E-001  0.218009       0.229379                 NaN  0.198351                 NaN            NaN            NaN            NaN
  1304.53        500.000                 NaN   99.4172                 NaN            NaN  0.666609E-001  0.180424       0.167674                 NaN  0.168011                 NaN            NaN            NaN            NaN
  1303.16        500.000                 NaN   99.4232                 NaN            NaN  0.659952E-001  0.165966       0.178682                 NaN  0.166148                 NaN            NaN            NaN            NaN
  1301.80        500.000                 NaN   99.4286                 NaN            NaN  0.642506E-001  0.176105       0.166719                 NaN  0.164301                 NaN            NaN            NaN            NaN
  1300.43        500.000                 NaN   99.4336                 NaN            NaN  0.618287E-001  0.173473       0.168350                 NaN  0.162719                 NaN            NaN            NaN            NaN
  1299.06        500.000                 NaN   99.4409                 NaN            NaN  0.643341E-001  0.161220       0.173012                 NaN  0.160574                 NaN            NaN            NaN            NaN
  1297.70        500.000                 NaN   99.3299                 NaN            NaN  0.862962E-001  0.179974       0.208149                 NaN  0.195645                 NaN            NaN            NaN            NaN
  1296.33        500.000                 NaN   99.5641                 NaN            NaN  0.347997E-001  0.149595       0.130403                 NaN  0.121065                 NaN            NaN            NaN            NaN
  1294.97        500.000                 NaN   99.4570                 NaN            NaN  0.599556E-001  0.161425       0.166223                 NaN  0.155413                 NaN            NaN            NaN            NaN
  1293.60        500.000                 NaN   86.0733                 NaN            NaN            NaN   1.38326        2.78963                 NaN   1.58600        8.16783                 NaN            NaN            NaN
  1292.24        500.000                 NaN   82.6672                 NaN            NaN            NaN   1.71279        3.42177                 NaN   1.95187        10.2463                 NaN            NaN            NaN
  1290.87        500.000                 NaN   84.6802                 NaN            NaN            NaN   3.03055        1.53067                 NaN   1.73630        9.02230                 NaN            NaN            NaN
  1289.50        500.000                 NaN   86.3190                 NaN            NaN            NaN   1.38206        2.71104                 NaN   1.55999        8.02791                 NaN            NaN            NaN
  1288.14        500.000                 NaN   87.6796                 NaN            NaN            NaN   1.25626        2.44680                 NaN   1.41322        7.20412                 NaN            NaN            NaN
  1286.77        500.000                 NaN   88.8365                 NaN            NaN            NaN   1.14529        2.22402                 NaN   1.28796        6.50619                 NaN            NaN            NaN
  1285.41        500.000                 NaN   89.8042                 NaN            NaN            NaN   1.05218        2.03803                 NaN   1.18299        5.92264                 NaN            NaN            NaN
  1284.04        500.000                 NaN   90.6398                 NaN            NaN            NaN  0.971356        1.87587                 NaN   1.09164        5.42130                 NaN            NaN            NaN
  1282.68        500.000                 NaN   91.3540                 NaN            NaN            NaN  0.900109        1.74075                 NaN   1.01385        4.99128                 NaN            NaN            NaN
