|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/TIS/TIS_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          O(HP)          an             San(TH)        ilm            q             
  1369.00        2500.00                 NaN   98.9731       0.382958       0.148991                 NaN            NaN  0.193336                 NaN  0.301627                 NaN            NaN            NaN
  1367.84        2500.00                 NaN   98.9984       0.457611                 NaN            NaN            NaN  0.243116                 NaN  0.300879                 NaN            NaN            NaN
  1366.69        2500.00                 NaN   99.0081       0.455269                 NaN            NaN            NaN  0.239112                 NaN  0.297521                 NaN            NaN            NaN
  1365.53        2500.00                 NaN   98.9708       0.355726       0.192964                 NaN            NaN  0.179838                 NaN  0.300709                 NaN            NaN            NaN
  1364.37        2500.00                 NaN   99.0421       0.443222                 NaN            NaN            NaN  0.230034                 NaN  0.284672                 NaN            NaN            NaN
  1363.22        2500.00                 NaN   99.0293       0.446603                 NaN            NaN            NaN  0.234130                 NaN  0.289949                 NaN            NaN            NaN
  1362.06        2500.00                 NaN   99.0371       0.443619                 NaN            NaN            NaN  0.232244                 NaN  0.287076                 NaN            NaN            NaN
  1360.90        2500.00                 NaN   99.0450       0.439637                 NaN            NaN            NaN  0.230821                 NaN  0.284543                 NaN            NaN            NaN
  1359.75        2500.00                 NaN   99.0520       0.435203                 NaN            NaN            NaN  0.230529                 NaN  0.282246                 NaN            NaN            NaN
  1358.59        2500.00                 NaN   99.2277       0.335305                 NaN            NaN            NaN  0.203877                 NaN  0.233096                 NaN            NaN            NaN
  1357.43        2500.00                 NaN   98.8984       0.514865                 NaN            NaN            NaN  0.262022                 NaN  0.324725                 NaN            NaN            NaN
  1356.28        2500.00                 NaN   99.0729       0.427635                 NaN            NaN            NaN  0.224631                 NaN  0.274845                 NaN            NaN            NaN
  1355.12        2500.00                 NaN   99.0673       0.427848                 NaN            NaN            NaN  0.228529                 NaN  0.276294                 NaN            NaN            NaN
  1353.96        2500.00                 NaN   99.0952       0.422124                 NaN            NaN            NaN  0.216132                 NaN  0.266536                 NaN            NaN            NaN
  1352.81        2500.00                 NaN   99.0933       0.423402                 NaN            NaN            NaN  0.216012                 NaN  0.267314                 NaN            NaN            NaN
  1351.65        2500.00                 NaN   99.1003       0.420190                 NaN            NaN            NaN  0.214546                 NaN  0.264975                 NaN            NaN            NaN
  1350.49        2500.00                 NaN   99.1059       0.418904                 NaN            NaN            NaN  0.212411                 NaN  0.262794                 NaN            NaN            NaN
  1349.34        2500.00                 NaN   99.1135       0.415549                 NaN            NaN            NaN  0.210777                 NaN  0.260138                 NaN            NaN            NaN
  1348.18        2500.00                 NaN   99.1182       0.416869                 NaN            NaN            NaN  0.206814                 NaN  0.258124                 NaN            NaN            NaN
  1347.02        2500.00                 NaN   99.1237       0.414312                 NaN            NaN            NaN  0.205851                 NaN  0.256157                 NaN            NaN            NaN
  1345.87        2500.00                 NaN   99.1315       0.411854                 NaN            NaN            NaN  0.203159                 NaN  0.253521                 NaN            NaN            NaN
  1344.71        2500.00                 NaN   99.1945       0.377294                 NaN            NaN            NaN  0.191530                 NaN  0.236654                 NaN            NaN            NaN
  1343.55        2500.00                 NaN   99.0874       0.438473                 NaN            NaN            NaN  0.210216                 NaN  0.263929                 NaN            NaN            NaN
  1342.40        2500.00                 NaN   99.1493       0.405792                 NaN            NaN            NaN  0.197650                 NaN  0.247241                 NaN            NaN            NaN
  1341.24        2500.00                 NaN   99.1548       0.406792                 NaN            NaN            NaN  0.193557                 NaN  0.244828                 NaN            NaN            NaN
  1340.08        2500.00                 NaN   99.1594       0.403395                 NaN            NaN            NaN  0.193825                 NaN  0.243402                 NaN            NaN            NaN
  1338.93        2500.00                 NaN   99.1653       0.406213                 NaN            NaN            NaN  0.187593                 NaN  0.240939                 NaN            NaN            NaN
  1337.77        2500.00                 NaN   99.1719       0.397800                 NaN            NaN            NaN  0.191173                 NaN  0.239088                 NaN            NaN            NaN
  1336.61        2500.00                 NaN   99.1816       0.390448                 NaN            NaN            NaN  0.191088                 NaN  0.236838                 NaN            NaN            NaN
  1335.46        2500.00                 NaN   99.1820       0.400079                 NaN            NaN            NaN  0.183286                 NaN  0.234666                 NaN            NaN            NaN
  1334.30        2500.00                 NaN   99.1878       0.396074                 NaN            NaN            NaN  0.183073                 NaN  0.233097                 NaN            NaN            NaN
  1333.14        2500.00                 NaN   99.1938       0.393426                 NaN            NaN            NaN  0.181810                 NaN  0.230931                 NaN            NaN            NaN
  1331.98        2500.00                 NaN   99.1990       0.393258                 NaN            NaN            NaN  0.178577                 NaN  0.229151                 NaN            NaN            NaN
  1330.83        2500.00                 NaN   99.2052       0.385261                 NaN            NaN            NaN  0.181838                 NaN  0.227743                 NaN            NaN            NaN
  1329.67        2500.00                 NaN   99.2087       0.391867                 NaN            NaN            NaN  0.174210                 NaN  0.225189                 NaN            NaN            NaN
  1328.51        2500.00                 NaN   99.2106       0.395497                 NaN            NaN            NaN  0.169751                 NaN  0.224139                 NaN            NaN            NaN
  1327.36        2500.00                 NaN   99.2194       0.388733                 NaN            NaN            NaN  0.170282                 NaN  0.221560                 NaN            NaN            NaN
  1326.20        2500.00                 NaN   99.2230       0.388328                 NaN            NaN            NaN  0.168475                 NaN  0.220214                 NaN            NaN            NaN
  1325.04        2500.00                 NaN   99.2280       0.387796                 NaN            NaN            NaN  0.165941                 NaN  0.218297                 NaN            NaN            NaN
  1323.89        2500.00                 NaN   99.2308       0.391174                 NaN            NaN            NaN  0.161161                 NaN  0.216829                 NaN            NaN            NaN
  1322.73        2500.00                 NaN   99.2368       0.385581                 NaN            NaN            NaN  0.162510                 NaN  0.215106                 NaN            NaN            NaN
  1321.57        2500.00                 NaN   99.2403       0.379259                 NaN            NaN            NaN  0.165231                 NaN  0.215161                 NaN            NaN            NaN
  1320.42        2500.00                 NaN   99.2486       0.385843                 NaN            NaN            NaN  0.155642                 NaN  0.209951                 NaN            NaN            NaN
  1319.26        2500.00                 NaN   99.2502       0.383627                 NaN            NaN            NaN  0.156047                 NaN  0.210124                 NaN            NaN            NaN
  1318.10        2500.00                 NaN   99.2518       0.391844                 NaN            NaN            NaN  0.147695                 NaN  0.208682                 NaN            NaN            NaN
  1316.95        2500.00                 NaN   99.2583       0.385055                 NaN            NaN            NaN  0.149723                 NaN  0.206935                 NaN            NaN            NaN
  1315.79        2500.00                 NaN   99.2603       0.391494                 NaN            NaN            NaN  0.142587                 NaN  0.205581                 NaN            NaN            NaN
  1314.63        2500.00                 NaN   99.2518       0.417504                 NaN            NaN            NaN  0.123456                 NaN  0.207207                 NaN            NaN            NaN
  1313.48        2500.00                 NaN   99.2779       0.378320                 NaN            NaN            NaN  0.144090                 NaN  0.199676                 NaN            NaN            NaN
  1312.32        2500.00                 NaN   99.2743       0.386514                 NaN            NaN            NaN  0.138633                 NaN  0.200571                 NaN            NaN            NaN
  1311.16        2500.00                 NaN   99.2786       0.384774                 NaN            NaN            NaN  0.137213                 NaN  0.199419                 NaN            NaN            NaN
  1310.01        2500.00                 NaN   99.2815       0.386310                 NaN            NaN            NaN  0.134067                 NaN  0.198108                 NaN            NaN            NaN
  1308.85        2500.00                 NaN   99.2845       0.388682                 NaN            NaN            NaN  0.130067                 NaN  0.196796                 NaN            NaN            NaN
  1307.69        2500.00                 NaN   99.2886       0.387295                 NaN            NaN            NaN  0.128701                 NaN  0.195388                 NaN            NaN            NaN
  1306.54        2500.00                 NaN   99.2929       0.386125                 NaN            NaN            NaN  0.126966                 NaN  0.194049                 NaN            NaN            NaN
  1305.38        2500.00                 NaN   99.2911       0.387995                 NaN            NaN            NaN  0.126354                 NaN  0.194537                 NaN            NaN            NaN
  1304.22        2500.00                 NaN   99.3041       0.388470                 NaN            NaN            NaN  0.118021                 NaN  0.189443                 NaN            NaN            NaN
  1303.07        2500.00                 NaN   99.2998       0.396665                 NaN            NaN            NaN  0.113097                 NaN  0.190475                 NaN            NaN            NaN
  1301.91        2500.00                 NaN   98.1486       0.659128                 NaN            NaN            NaN  0.190841                 NaN  0.333579       0.667858                 NaN            NaN
  1300.75        2500.00                 NaN   90.8485        2.33634                 NaN            NaN            NaN  0.690849                 NaN   1.24519        4.87915                 NaN            NaN
  1299.60        2500.00                 NaN   86.5847        3.17761                 NaN            NaN            NaN   1.02904                 NaN   1.81245        7.13384       0.262349                 NaN
  1298.44        2500.00                 NaN   77.8718        5.02465                 NaN            NaN            NaN   1.67476                 NaN   2.96683        11.6888       0.773150                 NaN
  1297.28        2500.00                 NaN   79.8603        4.56815                 NaN            NaN            NaN   1.59985                 NaN   2.70832        10.5679       0.695445                 NaN
  1296.13        2500.00                 NaN   81.8347        4.16050                 NaN            NaN            NaN   1.47210                 NaN   2.45073        9.46395       0.618063                 NaN
  1294.97        2500.00                 NaN   83.6343        3.79387                 NaN            NaN            NaN   1.34135                 NaN   2.21513        8.46649       0.548902                 NaN
  1293.81        2500.00                 NaN   85.2376        3.47510                 NaN            NaN            NaN   1.21031                 NaN   2.00449        7.58431       0.488152                 NaN
  1292.66        2500.00                 NaN   86.6708        3.18329                 NaN            NaN            NaN   1.09015                 NaN   1.81552        6.80494       0.435292                 NaN
  1291.50        2500.00                 NaN   87.8439        2.96176                 NaN            NaN            NaN  0.978947                 NaN   1.65998        6.16388       0.391550                 NaN
  1290.34        2500.00                 NaN   88.8811        2.74284                 NaN            NaN            NaN  0.894121                 NaN   1.52269        5.60474       0.354524                 NaN
  1289.19        2500.00                 NaN   89.7951        2.55996                 NaN            NaN            NaN  0.807101                 NaN   1.40135        5.11476       0.321703                 NaN
  1288.03        2500.00                 NaN   83.9745        3.68129                 NaN            NaN            NaN   1.33533                 NaN   2.25393        8.23525       0.519686                 NaN
  1286.87        2500.00                 NaN   90.3668        3.61747                 NaN            NaN            NaN  0.141490       0.888459E-001   1.35453        4.10965       0.321192                 NaN
  1285.72        2500.00                 NaN   95.6581       0.747387                 NaN            NaN            NaN  0.404577                 NaN  0.503837        2.60500       0.810636E-001            NaN
  1284.56        2500.00                 NaN   92.8873        1.45049                 NaN            NaN            NaN  0.892133                 NaN   1.03420        3.53091       0.204956                 NaN
  1283.40        2500.00                 NaN   96.8763        1.25629                 NaN            NaN            NaN  0.372411E-001            NaN  0.390962        1.34570       0.934972E-001            NaN
  1282.25        2500.00                 NaN   93.0132        1.99405                 NaN            NaN            NaN  0.409075                 NaN  0.967217        3.41015       0.206309                 NaN
  1281.09        2500.00                 NaN   93.7143        1.81713                 NaN            NaN            NaN  0.394663                 NaN  0.874713        3.02052       0.178662                 NaN
  1279.93        2500.00                 NaN   90.7658        2.36467                 NaN            NaN            NaN  0.660180                 NaN   1.31227        4.63082       0.266258                 NaN
  1278.77        2500.00                 NaN   95.7831       0.769545                 NaN            NaN            NaN  0.914635                 NaN  0.668028        1.76889       0.957680E-001            NaN
  1277.62        2500.00                 NaN   95.0197       0.908472E-001   1.57391                 NaN            NaN            NaN            NaN  0.648065        2.49356       0.173886                 NaN
  1276.46        2500.00                 NaN   95.6290        1.64455                 NaN            NaN            NaN            NaN            NaN  0.570380        2.03678       0.119309                 NaN
  1275.30        2500.00                 NaN   94.8446        1.89845                 NaN            NaN            NaN  0.107843E-002            NaN  0.708172        2.41858       0.129123                 NaN
  1274.15        2500.00                 NaN   94.1682        1.96379                 NaN            NaN            NaN  0.607145E-001            NaN  0.793322        2.83532       0.178652                 NaN
  1272.99        2500.00                 NaN   95.6886       0.467870        1.20876                 NaN            NaN            NaN            NaN  0.573875        1.96556       0.953599E-001            NaN
  1271.83        2500.00                 NaN   95.6935        1.67532                 NaN            NaN            NaN            NaN            NaN  0.603921        1.93644       0.908561E-001            NaN
  1270.68        2500.00                 NaN   87.1555       0.768473        3.08741                 NaN            NaN  0.459100                 NaN   1.87704        6.29610       0.356362                 NaN
  1269.52        2500.00                 NaN   99.6100       0.390046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1268.36        2500.00                 NaN   98.3724       0.915639                 NaN            NaN            NaN            NaN            NaN  0.212579       0.499372                 NaN            NaN
  1267.21        2500.00                 NaN   96.7861       0.892670                 NaN            NaN            NaN            NaN            NaN  0.362802        1.84637       0.112035                 NaN
  1266.05        2500.00                 NaN   96.1466       0.387670                 NaN            NaN            NaN  0.855952                 NaN  0.618133        1.89128       0.100402                 NaN
  1264.89        2500.00                 NaN   97.5629        1.24729                 NaN            NaN            NaN            NaN            NaN  0.458967       0.701708       0.291573E-001            NaN
  1263.74        2500.00                 NaN   93.6049       0.964493       0.690667                 NaN            NaN            NaN            NaN  0.731796        3.74159       0.266581                 NaN
  1262.58        2500.00                 NaN   99.9435       0.207915E-001            NaN            NaN            NaN            NaN            NaN  0.959661E-002  0.252893E-001  0.871677E-003            NaN
  1261.42        2500.00                 NaN   99.9398       0.134280E-001            NaN            NaN            NaN            NaN            NaN  0.111379E-001  0.343945E-001  0.121879E-002            NaN
  1260.27        2500.00                 NaN   99.8590       0.426059E-001  0.104335E-003            NaN            NaN            NaN            NaN  0.216587E-001  0.735426E-001  0.305132E-002            NaN
  1259.11        2500.00                 NaN   92.7022        3.27502                 NaN            NaN            NaN            NaN            NaN   1.16151        2.81408       0.471736E-001            NaN
  1257.95        2500.00                 NaN   95.4324        1.43857                 NaN            NaN            NaN            NaN            NaN  0.804716        2.19350       0.130854                 NaN
  1256.80        2500.00                 NaN   98.5791       0.575273                 NaN            NaN            NaN            NaN            NaN            NaN  0.774108       0.715487E-001            NaN
  1255.64        2500.00                 NaN   96.5254       0.441887        1.08427                 NaN            NaN            NaN            NaN  0.528194        1.35430       0.659834E-001            NaN
  1254.48        2500.00                 NaN   94.4573       0.191138        1.35918                 NaN            NaN            NaN            NaN  0.788551        3.02122       0.182631                 NaN
  1253.33        2500.00                 NaN  100.0000                 NaN            NaN            NaN            NaN  0.928279E-005            NaN  0.204460E-005  0.182693E-005  0.212287E-005            NaN
  1252.17        2500.00                 NaN   99.9999       0.258125E-004            NaN            NaN            NaN  0.199481E-004            NaN  0.167648E-004  0.542843E-004            NaN            NaN
  1251.01        2500.00                 NaN   95.2790       0.401872E-001   2.28697                 NaN            NaN            NaN            NaN  0.581905        1.81197                 NaN            NaN
  1249.86        2500.00                 NaN   98.7871                 NaN            NaN            NaN            NaN            NaN            NaN  0.256069       0.871401       0.854488E-001            NaN
  1248.70        2500.00                 NaN   93.4657        3.24148                 NaN            NaN            NaN            NaN            NaN  0.730253        2.55357       0.897403E-002            NaN
  1247.54        2500.00                 NaN   98.3666       0.482302                 NaN            NaN            NaN            NaN            NaN  0.324135       0.761283       0.656339E-001            NaN
  1246.39        2500.00                 NaN   99.4209                 NaN            NaN            NaN            NaN            NaN            NaN  0.902489E-001  0.464834       0.240615E-001            NaN
  1245.23        2500.00                 NaN   99.9821                 NaN            NaN            NaN            NaN            NaN            NaN  0.380423E-002  0.140786E-001            NaN            NaN
  1244.07        2500.00                 NaN   97.5329       0.968018                 NaN            NaN            NaN            NaN            NaN  0.340901        1.11268       0.455174E-001            NaN
  1242.92        2500.00                 NaN   96.1577       0.715246       0.503799                 NaN            NaN            NaN            NaN  0.522350        2.01428       0.866010E-001            NaN
  1241.76        2500.00                 NaN   97.5233        1.12795       0.456191E-005            NaN            NaN            NaN            NaN  0.271056        1.01288       0.647987E-001            NaN
  1240.60        2500.00                 NaN   99.5135       0.503166E-001            NaN            NaN            NaN            NaN            NaN  0.144494       0.291702                 NaN            NaN
  1239.45        2500.00                 NaN   98.7970       0.429445       0.433454E-001            NaN            NaN            NaN            NaN  0.145564       0.559739       0.249533E-001            NaN
  1238.29        2500.00                 NaN   92.2412       0.504662        1.12452       0.620509E-005            NaN            NaN            NaN  0.756735        3.09085       0.996716E-001   2.18233     
  1237.13        2500.00                 NaN   93.9804        1.24719                 NaN            NaN            NaN            NaN            NaN  0.614677        2.39286       0.600803E-001   1.70480     
  1235.98        2500.00                 NaN   90.2136        1.08360       0.888339                 NaN            NaN            NaN            NaN  0.952965        3.86838       0.108839        2.88426     
  1234.82        2500.00                 NaN   89.0755        1.56200       0.770161                 NaN            NaN            NaN            NaN   1.05773        4.26480       0.112218        3.15760     
  1233.66        2500.00                 NaN   87.1664       0.520775        1.31646                 NaN            NaN            NaN            NaN   1.17808        5.63474       0.208579        3.97499     
