|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/TIS/TIS_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          O(HP)          an             San(TH)        ilm            q             
  1307.69        2500.00                 NaN   99.4230       0.298532                 NaN            NaN            NaN  0.856451E-001            NaN  0.192868                 NaN            NaN            NaN
  1306.54        2500.00                 NaN   99.4270       0.297274                 NaN            NaN            NaN  0.843703E-001            NaN  0.191393                 NaN            NaN            NaN
  1305.38        2500.00                 NaN   99.4259       0.298470                 NaN            NaN            NaN  0.838662E-001            NaN  0.191723                 NaN            NaN            NaN
  1304.22        2500.00                 NaN   99.4370       0.298296                 NaN            NaN            NaN  0.781912E-001            NaN  0.186552                 NaN            NaN            NaN
  1303.07        2500.00                 NaN   99.4337       0.304072                 NaN            NaN            NaN  0.748196E-001            NaN  0.187423                 NaN            NaN            NaN
  1301.91        2500.00                 NaN   98.3346       0.504885                 NaN            NaN            NaN  0.126146                 NaN  0.328240       0.706138                 NaN            NaN
  1300.75        2500.00                 NaN   91.3339        1.79497                 NaN            NaN            NaN  0.457445                 NaN   1.23094        5.18273                 NaN            NaN
  1299.60        2500.00                 NaN   87.3065        2.45273                 NaN            NaN            NaN  0.681830                 NaN   1.79887        7.60799       0.152124                 NaN
  1298.44        2500.00                 NaN   79.0176        3.90281                 NaN            NaN            NaN   1.11159                 NaN   2.96483        12.5518       0.451386                 NaN
  1297.28        2500.00                 NaN   80.9517        3.54218                 NaN            NaN            NaN   1.05665                 NaN   2.70431        11.3394       0.405688                 NaN
  1296.13        2500.00                 NaN   82.8659        3.21789                 NaN            NaN            NaN  0.967568                 NaN   2.44442        10.1441       0.360146                 NaN
  1294.97        2500.00                 NaN   84.6060        2.92634                 NaN            NaN            NaN  0.877667                 NaN   2.20665        9.06389       0.319439                 NaN
  1293.81        2500.00                 NaN   86.1523        2.67268                 NaN            NaN            NaN  0.788577                 NaN   1.99408        8.10865       0.283691                 NaN
  1292.66        2500.00                 NaN   87.5302        2.44125                 NaN            NaN            NaN  0.707484                 NaN   1.80344        7.26501       0.252596                 NaN
  1291.50        2500.00                 NaN   88.6580        2.26432                 NaN            NaN            NaN  0.633001                 NaN   1.64653        6.57131       0.226879                 NaN
  1290.34        2500.00                 NaN   89.6532        2.09120                 NaN            NaN            NaN  0.576141                 NaN   1.50805        5.96635       0.205108                 NaN
  1289.19        2500.00                 NaN   90.5277        1.94608                 NaN            NaN            NaN  0.518289                 NaN   1.38569        5.43640       0.185823                 NaN
  1288.03        2500.00                 NaN   85.0299        2.79968                 NaN            NaN            NaN  0.858825                 NaN   2.23468        8.77597       0.300978                 NaN
  1286.87        2500.00                 NaN   91.2512        2.72278                 NaN            NaN            NaN  0.909087E-001  0.560408E-001   1.33602        4.35800       0.185054                 NaN
  1285.72        2500.00                 NaN   95.8993       0.561035                 NaN            NaN            NaN  0.256293                 NaN  0.493576        2.74340       0.463868E-001            NaN
  1284.56        2500.00                 NaN   93.4832        1.09146                 NaN            NaN            NaN  0.566279                 NaN   1.01522        3.72636       0.117521                 NaN
  1283.40        2500.00                 NaN   97.1879       0.938144                 NaN            NaN            NaN  0.234962E-001            NaN  0.382299        1.41474       0.534022E-001            NaN
  1282.25        2500.00                 NaN   93.5966        1.48811                 NaN            NaN            NaN  0.258291                 NaN  0.947376        3.59159       0.118033                 NaN
  1281.09        2500.00                 NaN   94.2668        1.35228                 NaN            NaN            NaN  0.248519                 NaN  0.855178        3.17516       0.102024                 NaN
  1279.93        2500.00                 NaN   91.5205        1.75965                 NaN            NaN            NaN  0.414980                 NaN   1.28338        4.86941       0.152092                 NaN
  1278.77        2500.00                 NaN   96.3063       0.569154                 NaN            NaN            NaN  0.571240                 NaN  0.649600        1.84932       0.543923E-001            NaN
  1277.62        2500.00                 NaN   95.4357       0.664893E-001   1.16703                 NaN            NaN            NaN            NaN  0.629064        2.60316       0.985827E-001            NaN
  1276.46        2500.00                 NaN   96.0455        1.21000                 NaN            NaN            NaN            NaN            NaN  0.553053        2.12384       0.675660E-001            NaN
  1275.30        2500.00                 NaN   95.3344        1.38507                 NaN            NaN            NaN  0.670883E-003            NaN  0.686255        2.52053       0.730798E-001            NaN
  1274.15        2500.00                 NaN   94.7009        1.43981                 NaN            NaN            NaN  0.377645E-001            NaN  0.768044        2.95250       0.101015                 NaN
  1272.99        2500.00                 NaN   96.1301       0.342547       0.877704                 NaN            NaN            NaN            NaN  0.554227        2.04159       0.537859E-001            NaN
  1271.83        2500.00                 NaN   96.1501        1.20782                 NaN            NaN            NaN            NaN            NaN  0.582377        2.00849       0.511687E-001            NaN
  1270.68        2500.00                 NaN   88.3381       0.554421        2.25063                 NaN            NaN  0.284157                 NaN   1.81715        6.55407       0.201479                 NaN
  1269.52        2500.00                 NaN   99.7211       0.278890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1268.36        2500.00                 NaN   98.6225       0.660833                 NaN            NaN            NaN            NaN            NaN  0.203176       0.513495                 NaN            NaN
  1267.21        2500.00                 NaN   97.0571       0.636177                 NaN            NaN            NaN            NaN            NaN  0.346627        1.89758       0.625091E-001            NaN
  1266.05        2500.00                 NaN   96.6168       0.273915                 NaN            NaN            NaN  0.520830                 NaN  0.590109        1.94236       0.559741E-001            NaN
  1264.89        2500.00                 NaN   97.9329       0.895498                 NaN            NaN            NaN            NaN            NaN  0.436826       0.718571       0.162054E-001            NaN
  1263.74        2500.00                 NaN   94.1299       0.697413       0.495006                 NaN            NaN            NaN            NaN  0.696859        3.83254       0.148240                 NaN
  1262.58        2500.00                 NaN   99.9496       0.150626E-001            NaN            NaN            NaN            NaN            NaN  0.908801E-002  0.257607E-001  0.482036E-003            NaN
  1261.42        2500.00                 NaN   99.9442       0.958344E-002            NaN            NaN            NaN            NaN            NaN  0.105475E-001  0.350341E-001  0.673978E-003            NaN
  1260.27        2500.00                 NaN   99.8723       0.305619E-001  0.733745E-004            NaN            NaN            NaN            NaN  0.205122E-001  0.749140E-001  0.168744E-002            NaN
  1259.11        2500.00                 NaN   93.6680        2.31783                 NaN            NaN            NaN            NaN            NaN   1.10556        2.88244       0.262187E-001            NaN
  1257.95        2500.00                 NaN   95.9150        1.02145                 NaN            NaN            NaN            NaN            NaN  0.760382        2.23098       0.721977E-001            NaN
  1256.80        2500.00                 NaN   98.7626       0.414048                 NaN            NaN            NaN            NaN            NaN            NaN  0.784071       0.393203E-001            NaN
  1255.64        2500.00                 NaN   97.0162       0.317301       0.760212                 NaN            NaN            NaN            NaN  0.497458        1.37256       0.362853E-001            NaN
  1254.48        2500.00                 NaN   95.0037       0.133910       0.964107                 NaN            NaN            NaN            NaN  0.741558        3.05645       0.100281                 NaN
  1253.33        2500.00                 NaN  100.0000                 NaN            NaN            NaN            NaN  0.551747E-005            NaN  0.191173E-005  0.183840E-005  0.115894E-005            NaN
  1252.17        2500.00                 NaN   99.9999       0.184552E-004            NaN            NaN            NaN  0.118501E-004            NaN  0.156756E-004  0.546331E-004            NaN            NaN
  1251.01        2500.00                 NaN   96.0002       0.284400E-001   1.59565                 NaN            NaN            NaN            NaN  0.545933        1.82974                 NaN            NaN
  1249.86        2500.00                 NaN   98.8403                 NaN            NaN            NaN            NaN            NaN            NaN  0.238591       0.874659       0.464840E-001            NaN
  1248.70        2500.00                 NaN   94.4910        2.24918                 NaN            NaN            NaN            NaN            NaN  0.683257        2.57163       0.490221E-002            NaN
  1247.54        2500.00                 NaN   98.5699       0.335008                 NaN            NaN            NaN            NaN            NaN  0.300267       0.759293       0.354975E-001            NaN
  1246.39        2500.00                 NaN   99.4409                 NaN            NaN            NaN            NaN            NaN            NaN  0.834531E-001  0.462700       0.129899E-001            NaN
  1245.23        2500.00                 NaN   99.9825                 NaN            NaN            NaN            NaN            NaN            NaN  0.351716E-002  0.140146E-001            NaN            NaN
  1244.07        2500.00                 NaN   97.8735       0.676603                 NaN            NaN            NaN            NaN            NaN  0.315710        1.10962       0.246096E-001            NaN
  1242.92        2500.00                 NaN   96.6186       0.490748       0.354553                 NaN            NaN            NaN            NaN  0.483258        2.00603       0.467737E-001            NaN
  1241.76        2500.00                 NaN   97.9370       0.772095       0.309052E-005            NaN            NaN            NaN            NaN  0.250020        1.00599       0.348928E-001            NaN
  1240.60        2500.00                 NaN   99.5436       0.351084E-001            NaN            NaN            NaN            NaN            NaN  0.132738       0.288585                 NaN            NaN
  1239.45        2500.00                 NaN   98.9695       0.299488       0.298185E-001            NaN            NaN            NaN            NaN  0.133794       0.553990       0.133890E-001            NaN
  1238.29        2500.00                 NaN   92.8868       0.345741       0.786551       0.428633E-005            NaN            NaN            NaN  0.698646        3.07309       0.537179E-001   2.15543     
  1237.13        2500.00                 NaN   94.4943       0.852489                 NaN            NaN            NaN            NaN            NaN  0.566207        2.37464       0.323064E-001   1.68002     
  1235.98        2500.00                 NaN   90.9987       0.742381       0.622142                 NaN            NaN            NaN            NaN  0.879871        3.84922       0.586609E-001   2.84904     
  1234.82        2500.00                 NaN   89.9771        1.08241       0.538053                 NaN            NaN            NaN            NaN  0.976645        4.24602       0.604841E-001   3.11926     
