|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.75/LAR/LAR_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             Sp(TH)         San(TH)        ilm            q             
  1310.27        500.000        99.4692       0.895251E-001  0.202615                 NaN  0.869602E-001  0.151693                 NaN            NaN            NaN            NaN
  1309.27        500.000        99.4723       0.204224       0.829101E-001            NaN  0.893936E-001  0.151144                 NaN            NaN            NaN            NaN
  1308.26        500.000        99.4759       0.202641       0.830176E-001            NaN  0.884428E-001  0.149991                 NaN            NaN            NaN            NaN
  1307.26        500.000        99.4800       0.201333       0.813501E-001            NaN  0.883970E-001  0.148911                 NaN            NaN            NaN            NaN
  1306.25        500.000        99.4824       0.199149       0.857739E-001            NaN  0.850908E-001  0.147630                 NaN            NaN            NaN            NaN
  1305.25        500.000        99.4867       0.197800       0.843001E-001            NaN  0.848799E-001  0.146356                 NaN            NaN            NaN            NaN
  1304.25        500.000        99.4901       0.196526       0.846780E-001            NaN  0.835565E-001  0.145159                 NaN            NaN            NaN            NaN
  1303.24        500.000        99.4935       0.835915E-001  0.195239                 NaN  0.834053E-001  0.144220                 NaN            NaN            NaN            NaN
  1302.24        500.000        99.4966       0.858140E-001  0.193598                 NaN  0.810810E-001  0.142932                 NaN            NaN            NaN            NaN
  1301.23        500.000        99.4998       0.191277       0.867885E-001            NaN  0.801219E-001  0.141969                 NaN            NaN            NaN            NaN
  1300.23        500.000        99.5032       0.189915       0.873672E-001            NaN  0.787473E-001  0.140786                 NaN            NaN            NaN            NaN
  1299.22        500.000        99.5062       0.877353E-001  0.188456                 NaN  0.777801E-001  0.139818                 NaN            NaN            NaN            NaN
  1298.22        500.000        99.5095       0.889137E-001  0.186629                 NaN  0.762917E-001  0.138663                 NaN            NaN            NaN            NaN
  1297.22        500.000        99.5099       0.916390E-001  0.184741                 NaN  0.750616E-001  0.138692                 NaN            NaN            NaN            NaN
  1296.21        500.000        99.5190       0.183689       0.880409E-001            NaN  0.738860E-001  0.135393                 NaN            NaN            NaN            NaN
  1295.21        500.000        99.5182       0.919124E-001  0.181701                 NaN  0.724940E-001  0.135720                 NaN            NaN            NaN            NaN
  1294.20        500.000        99.5217       0.179801       0.932793E-001            NaN  0.707186E-001  0.134468                 NaN            NaN            NaN            NaN
  1293.20        500.000        99.5242       0.178519       0.942214E-001            NaN  0.694555E-001  0.133577                 NaN            NaN            NaN            NaN
  1292.20        500.000        99.5269       0.176662       0.956360E-001            NaN  0.681154E-001  0.132640                 NaN            NaN            NaN            NaN
  1291.19        500.000        99.5300       0.968093E-001  0.174771                 NaN  0.667927E-001  0.131660                 NaN            NaN            NaN            NaN
  1290.19        500.000        99.5324       0.978635E-001  0.173287                 NaN  0.655235E-001  0.130911                 NaN            NaN            NaN            NaN
  1289.18        500.000        99.5360       0.170776       0.999861E-001            NaN  0.637144E-001  0.129552                 NaN            NaN            NaN            NaN
  1288.18        500.000        99.5383       0.169321       0.100983                 NaN  0.626000E-001  0.128842                 NaN            NaN            NaN            NaN
  1287.18        500.000        99.5410       0.167501       0.102518                 NaN  0.611185E-001  0.127899                 NaN            NaN            NaN            NaN
  1286.17        500.000        99.5431       0.105632       0.165124                 NaN  0.590753E-001  0.127072                 NaN            NaN            NaN            NaN
  1285.17        500.000        99.5454       0.166156       0.101509                 NaN  0.603020E-001  0.126587                 NaN            NaN            NaN            NaN
  1284.16        500.000        99.5491       0.158800       0.113022                 NaN  0.542605E-001  0.124827                 NaN            NaN            NaN            NaN
  1283.16        500.000        99.5509       0.159040       0.110938                 NaN  0.546529E-001  0.124445                 NaN            NaN            NaN            NaN
  1282.15        500.000        94.2704       0.587633        1.24736                 NaN            NaN  0.696109                 NaN   3.19854                 NaN            NaN
  1281.15        500.000        93.4935        1.39872       0.654602                 NaN            NaN  0.780288                 NaN   3.67291                 NaN            NaN
  1280.15        500.000        93.8043        1.34814       0.617689                 NaN            NaN  0.746569                 NaN   3.48333                 NaN            NaN
  1279.14        500.000        94.0581        1.30854       0.586377                 NaN            NaN  0.719367                 NaN   3.32761                 NaN            NaN
  1278.14        500.000        94.3297       0.551965        1.26318                 NaN            NaN  0.689658                 NaN   3.16551                 NaN            NaN
  1277.13        500.000        94.5827       0.516631        1.22461                 NaN            NaN  0.661842                 NaN   3.01426                 NaN            NaN
  1276.13        500.000        94.7912        1.19895       0.483174                 NaN            NaN  0.639257                 NaN   2.88739                 NaN            NaN
  1275.13        500.000        95.0052       0.448280        1.17050                 NaN  0.965949E-004  0.615603                 NaN   2.76028                 NaN            NaN
  1274.12        500.000        95.1940        1.15669       0.408198                 NaN            NaN  0.595050                 NaN   2.64602                 NaN            NaN
  1273.12        500.000        95.3678       0.362001        1.15300                 NaN            NaN  0.576154                 NaN   2.54104                 NaN            NaN
  1272.11        500.000        95.5507       0.312032        1.14789                 NaN            NaN  0.555661                 NaN   2.43368                 NaN            NaN
  1271.11        500.000        95.7104        1.16856       0.244325                 NaN            NaN  0.537948                 NaN   2.33881                 NaN            NaN
  1270.11        500.000        95.8553       0.123696        1.24700                 NaN            NaN  0.522083                 NaN   2.25189                 NaN            NaN
  1269.10        500.000        95.9977        1.32878                 NaN            NaN            NaN  0.505578                 NaN   2.16795                 NaN            NaN
  1268.10        500.000        96.1321        1.28843                 NaN            NaN            NaN  0.490268                 NaN   2.08921                 NaN            NaN
  1267.09        500.000        96.2685        1.24681                 NaN            NaN            NaN  0.474011                 NaN   2.01063                 NaN            NaN
  1266.09        500.000        96.3896        1.21133                 NaN            NaN  0.297301E-004  0.459149                 NaN   1.93992                 NaN            NaN
  1265.09        500.000        96.0181        1.27501                 NaN            NaN  0.332066E-004  0.503541                 NaN   2.14206       0.612713E-001            NaN
  1264.08        500.000        95.5590        1.35731                 NaN            NaN            NaN  0.557024                 NaN   2.39148       0.135185                 NaN
  1263.08        500.000        95.7429        1.30172                 NaN            NaN            NaN  0.532793                 NaN   2.29208       0.130455                 NaN
  1262.07        500.000        95.9056        1.25716                 NaN            NaN  0.142813E-004  0.514341                 NaN   2.19897       0.123961                 NaN
  1261.07        500.000        96.0653        1.20968                 NaN            NaN            NaN  0.494262                 NaN   2.11162       0.119124                 NaN
  1260.06        500.000        96.2078        1.16914                 NaN            NaN  0.151693E-005  0.477398                 NaN   2.03181       0.113905                 NaN
  1259.06        500.000        96.3407        1.13164                 NaN            NaN            NaN  0.461756                 NaN   1.95695       0.108920                 NaN
  1258.06        500.000        96.4741        1.09080                 NaN            NaN  0.349525E-004  0.444069                 NaN   1.88559       0.105449                 NaN
  1257.05        500.000        96.5848        1.06107                 NaN            NaN            NaN  0.432350                 NaN   1.82156       0.100229                 NaN
  1256.05        500.000        96.6974        1.02750                 NaN            NaN            NaN  0.417953                 NaN   1.76033       0.967794E-001            NaN
  1255.04        500.000        96.8029       0.996319                 NaN            NaN            NaN  0.404706                 NaN   1.70282       0.932559E-001            NaN
  1254.04        500.000        96.9121       0.962300                 NaN            NaN  0.225709E-004  0.390638                 NaN   1.64478       0.901303E-001            NaN
  1253.04        500.000        96.9951       0.940166                 NaN            NaN            NaN  0.380815                 NaN   1.59732       0.866501E-001            NaN
  1252.03        500.000        97.0811       0.915463                 NaN            NaN  0.106440E-003  0.370993                 NaN   1.54925       0.830912E-001            NaN
  1251.03        500.000        97.1643       0.891057                 NaN            NaN  0.319883E-004  0.360737                 NaN   1.50383       0.800212E-001            NaN
  1250.02        500.000        97.2493       0.863933                 NaN            NaN            NaN  0.348620                 NaN   1.45997       0.781487E-001            NaN
  1249.02        500.000        97.3209       0.844464                 NaN            NaN  0.120407E-004  0.340883                 NaN   1.41904       0.746849E-001            NaN
  1248.02        500.000        97.3891       0.824765                 NaN            NaN  0.244567E-005  0.332187                 NaN   1.38173       0.722273E-001            NaN
  1247.01        500.000        97.4597       0.803195                 NaN            NaN  0.214702E-005  0.323141                 NaN   1.34409       0.698968E-001            NaN
  1246.01        500.000        97.5291       0.781577                 NaN            NaN            NaN  0.313768                 NaN   1.30773       0.678481E-001            NaN
  1245.00        500.000        97.5925       0.761547                 NaN            NaN            NaN  0.304124                 NaN   1.27528       0.665685E-001            NaN
  1244.00        500.000        97.6500       0.746224                 NaN            NaN  0.140796E-005  0.298948                 NaN   1.24172       0.630759E-001            NaN
  1242.99        500.000        97.7073       0.729041                 NaN            NaN            NaN  0.292475                 NaN   1.21061       0.605886E-001            NaN
  1241.99        500.000        97.7623       0.711936                 NaN            NaN            NaN  0.283930                 NaN   1.18243       0.594141E-001            NaN
  1240.99        500.000        97.8155       0.696039                 NaN            NaN            NaN  0.277458                 NaN   1.15369       0.572767E-001            NaN
  1239.98        500.000        97.8657       0.680570                 NaN            NaN            NaN  0.270064                 NaN   1.12778       0.559244E-001            NaN
  1238.98        500.000        97.9141       0.666177                 NaN            NaN            NaN  0.263717                 NaN   1.10184       0.542018E-001            NaN
  1237.97        500.000        97.9610       0.652232                 NaN            NaN  0.136339E-003  0.258488                 NaN   1.07610       0.519982E-001            NaN
  1236.97        500.000        98.0085       0.637116                 NaN            NaN            NaN  0.251323                 NaN   1.05219       0.508295E-001            NaN
  1235.97        500.000        98.0554       0.621573                 NaN            NaN  0.606315E-005  0.244019                 NaN   1.02911       0.499103E-001            NaN
  1234.96        500.000        98.0865       0.615399                 NaN            NaN  0.428861E-005  0.243475                 NaN   1.00821       0.464271E-001            NaN
  1233.96        500.000        98.1399       0.596970                 NaN            NaN            NaN  0.234870                 NaN  0.982500       0.457680E-001            NaN
  1232.95        500.000        98.1748       0.586117                 NaN            NaN            NaN  0.228873                 NaN  0.965124       0.450426E-001            NaN
  1231.95        500.000        98.2156       0.573263                 NaN            NaN            NaN  0.223583                 NaN  0.944001       0.435898E-001            NaN
  1230.95        500.000        98.2479       0.564842                 NaN            NaN            NaN  0.221065                 NaN  0.924852       0.413442E-001            NaN
  1229.94        500.000        98.2875       0.551302                 NaN            NaN            NaN  0.213266                 NaN  0.906641       0.412507E-001            NaN
  1228.94        500.000        98.3228       0.539704                 NaN            NaN  0.179994E-005  0.212130                 NaN  0.887061       0.383145E-001            NaN
  1227.93        500.000        98.3603       0.529049                 NaN            NaN            NaN  0.203894                 NaN  0.868259       0.385003E-001            NaN
  1226.93        500.000        98.3936       0.517018                 NaN            NaN  0.178122E-004  0.198871                 NaN  0.852768       0.377186E-001            NaN
  1225.92        500.000        98.4215       0.509225                 NaN            NaN  0.711717E-005  0.195258                 NaN  0.837552       0.364789E-001            NaN
  1224.92        500.000        98.4562       0.497877                 NaN            NaN            NaN  0.190470                 NaN  0.820044       0.354280E-001            NaN
  1223.92        500.000        98.4820       0.491228                 NaN            NaN            NaN  0.187969                 NaN  0.804991       0.338045E-001            NaN
  1222.91        500.000        98.5140       0.480114                 NaN            NaN            NaN  0.184079                 NaN  0.789237       0.326133E-001            NaN
  1221.91        500.000        98.5415       0.472242                 NaN            NaN            NaN  0.179672                 NaN  0.774712       0.318868E-001            NaN
  1220.90        500.000        98.5701       0.462529                 NaN            NaN            NaN  0.176158                 NaN  0.760480       0.307352E-001            NaN
  1219.90        500.000        98.6021       0.451488                 NaN            NaN            NaN  0.171133                 NaN  0.745162       0.301535E-001            NaN
  1218.90        500.000        98.6222       0.446962                 NaN            NaN            NaN  0.169559                 NaN  0.732733       0.285915E-001            NaN
  1217.89        500.000        98.6481       0.438515                 NaN            NaN            NaN  0.165938                 NaN  0.719715       0.277534E-001            NaN
  1216.89        500.000        98.6754       0.428797                 NaN            NaN            NaN  0.161021                 NaN  0.707314       0.274606E-001            NaN
  1215.88        500.000        98.7020       0.420154                 NaN            NaN            NaN  0.158379                 NaN  0.693236       0.262339E-001            NaN
  1214.88        500.000        98.7242       0.413515                 NaN            NaN            NaN  0.155203                 NaN  0.681678       0.253652E-001            NaN
  1213.88        500.000        98.7483       0.405416                 NaN            NaN            NaN  0.151926                 NaN  0.669653       0.246755E-001            NaN
  1212.87        500.000        98.7711       0.397990                 NaN            NaN            NaN  0.148608                 NaN  0.658353       0.239932E-001            NaN
  1211.87        500.000        98.7931       0.390896                 NaN            NaN            NaN  0.145953                 NaN  0.647033       0.230604E-001            NaN
  1210.86        500.000        98.8180       0.382245                 NaN            NaN            NaN  0.142256                 NaN  0.635005       0.225227E-001            NaN
  1209.86        500.000        98.8393       0.375031                 NaN            NaN            NaN  0.139339                 NaN  0.624428       0.218855E-001            NaN
  1208.85        500.000        98.8611       0.367580                 NaN            NaN            NaN  0.135897                 NaN  0.614149       0.212859E-001            NaN
  1207.85        500.000        98.8805       0.361231                 NaN            NaN            NaN  0.133485                 NaN  0.604142       0.206600E-001            NaN
  1206.85        500.000        98.8725       0.352749                 NaN            NaN            NaN  0.125728                 NaN  0.624257       0.247171E-001            NaN
  1205.84        500.000        98.3906       0.592984                 NaN            NaN            NaN  0.260445                 NaN  0.709177       0.467890E-001            NaN
  1204.84        500.000        98.7280       0.328558                 NaN            NaN            NaN  0.124063                 NaN  0.785017       0.343798E-001            NaN
  1203.83        500.000        98.9747       0.100670       0.184977                 NaN            NaN  0.102261                 NaN  0.637381                 NaN            NaN
  1202.83        500.000        98.9440       0.357623                 NaN            NaN            NaN  0.142525                 NaN  0.535347       0.205421E-001            NaN
  1201.83        500.000        99.4364       0.107692                 NaN            NaN  0.533513E-001  0.319299E-001            NaN  0.370585                 NaN            NaN
  1200.82        500.000        99.3756       0.253973                 NaN            NaN            NaN  0.622901E-001            NaN  0.303563       0.455415E-002            NaN
  1199.82        500.000        98.1557       0.324491       0.248283                 NaN            NaN  0.266227                 NaN  0.952425       0.528954E-001            NaN
  1198.81        500.000        99.1328       0.171045                 NaN            NaN            NaN  0.692196E-001            NaN  0.605598       0.213040E-001            NaN
  1197.81        500.000        99.2921       0.193340                 NaN            NaN            NaN  0.694186E-001            NaN  0.443314       0.185775E-002            NaN
  1196.81        500.000        98.4634       0.258406                 NaN            NaN  0.557261E-002  0.193321                 NaN   1.02120       0.206937E-001  0.373688E-001
  1195.80        500.000        96.7045       0.497064       0.241101                 NaN            NaN  0.221423                 NaN  0.863916                 NaN   1.47198     
  1194.80        500.000        92.7072       0.919834       0.643073E-001            NaN            NaN  0.596886                 NaN   2.81285       0.475430E-001   2.85141     
  1193.79        500.000        95.0134       0.735612                 NaN            NaN            NaN  0.383969                 NaN   1.94941       0.391619E-001   1.87848     
  1192.79        500.000        92.0020       0.602339       0.470858                 NaN            NaN  0.633677                 NaN   3.11333       0.525490E-001   3.12529     
  1191.79        500.000        92.1045        1.14736                 NaN            NaN            NaN  0.632952                 NaN   3.09984       0.420115E-001   2.97336     
  1190.78        500.000        85.2945        1.59819       0.218544                 NaN            NaN   1.12405                 NaN   5.89956       0.947271E-001   5.77041     
  1189.78        500.000        70.7223        2.22820        1.37822                 NaN            NaN   2.18435                 NaN   11.8618       0.174983        11.4502     
  1188.77        500.000                 NaN   11.7133                 NaN            NaN            NaN   7.37423                 NaN   40.8878       0.578216        39.4465     
  1187.77        500.000                 NaN   11.7150                 NaN            NaN            NaN   7.37600                 NaN   40.8848       0.577509        39.4467     
  1186.76        500.000                 NaN   11.7192                 NaN            NaN            NaN   7.37997                 NaN   40.8779       0.575736        39.4471     
  1185.76        500.000                 NaN   11.7187                 NaN            NaN            NaN   7.38007                 NaN   40.8782       0.575871        39.4472     
  1184.76        500.000                 NaN   11.7264                 NaN            NaN            NaN   7.38541                 NaN   40.8672       0.572844        39.4482     
  1183.75        500.000                 NaN   11.7333                 NaN            NaN            NaN   7.38961                 NaN   40.8577       0.570167        39.4492     
  1182.75        500.000                 NaN   11.7230                 NaN            NaN            NaN   7.38613                 NaN   40.8694       0.573870        39.4476     
  1181.74        500.000                 NaN   11.7311                 NaN            NaN            NaN   7.39099                 NaN   40.8584       0.570703        39.4488     
  1180.74        500.000                 NaN   11.7215                 NaN            NaN            NaN   7.38754                 NaN   40.8695       0.574237        39.4473     
  1179.74        500.000                 NaN   11.7228                 NaN            NaN            NaN   7.38923                 NaN   40.8669       0.573628        39.4474     
  1178.73        500.000                 NaN   11.7264                 NaN            NaN            NaN   7.39153                 NaN   40.8618       0.572226        39.4480     
  1177.73        500.000                 NaN   6.04368        5.69331                 NaN            NaN   7.39359                 NaN   40.8489       0.570001        39.4505     
  1176.72        500.000                 NaN   7.22107        4.51898                 NaN            NaN   7.39821                 NaN   40.8438       0.567402        39.4506     
  1175.72        500.000                 NaN   11.7301                 NaN            NaN            NaN   7.39610                 NaN   40.8547       0.570584        39.4486     
  1174.72        500.000                 NaN   11.7318                 NaN            NaN            NaN   7.39835                 NaN   40.8514       0.569791        39.4487     
  1173.71        500.000                 NaN   11.7336                 NaN            NaN            NaN   7.40020                 NaN   40.8482       0.569004        39.4490     
  1172.71        500.000                 NaN   11.7355                 NaN            NaN            NaN   7.40206                 NaN   40.8450       0.568210        39.4493     
