|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.75/LAR/LAR_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             Sp(TH)         San(TH)        ilm            q             
  1360.48        500.000        99.3312       0.127105       0.228131                 NaN  0.824935E-001  0.231104                 NaN            NaN            NaN            NaN
  1359.47        500.000        99.3371       0.226775       0.124358                 NaN  0.825822E-001  0.229165                 NaN            NaN            NaN            NaN
  1358.47        500.000        99.3429       0.225507       0.120151                 NaN  0.837479E-001  0.227736                 NaN            NaN            NaN            NaN
  1357.46        500.000        99.3523       0.120697       0.221824                 NaN  0.813963E-001  0.223790                 NaN            NaN            NaN            NaN
  1356.46        500.000        99.3565       0.221867       0.116615                 NaN  0.823135E-001  0.222687                 NaN            NaN            NaN            NaN
  1355.46        500.000        99.3627       0.113203       0.220223                 NaN  0.829516E-001  0.220963                 NaN            NaN            NaN            NaN
  1354.45        500.000        99.3701       0.218168       0.112122                 NaN  0.816163E-001  0.217962                 NaN            NaN            NaN            NaN
  1353.45        500.000        98.9043       0.197294       0.380662                 NaN  0.139745       0.378042                 NaN            NaN            NaN            NaN
  1352.44        500.000        99.8493       0.537804E-001  0.216683E-001            NaN  0.224255E-001  0.528695E-001            NaN            NaN            NaN            NaN
  1351.44        500.000        99.3877       0.213604       0.104677                 NaN  0.817514E-001  0.212249                 NaN            NaN            NaN            NaN
  1350.43        500.000        99.3930       0.102576       0.212410                 NaN  0.815729E-001  0.210489                 NaN            NaN            NaN            NaN
  1349.43        500.000        99.3988       0.211165       0.100412                 NaN  0.812037E-001  0.208389                 NaN            NaN            NaN            NaN
  1348.43        500.000        99.4046       0.209431       0.981906E-001            NaN  0.811691E-001  0.206560                 NaN            NaN            NaN            NaN
  1347.42        500.000        99.4151       0.207296       0.922470E-001            NaN  0.819316E-001  0.203443                 NaN            NaN            NaN            NaN
  1346.42        500.000        99.4096       0.110986       0.203647                 NaN  0.727731E-001  0.203024                 NaN            NaN            NaN            NaN
  1345.41        500.000        99.4219       0.209326       0.795022E-001            NaN  0.873136E-001  0.201909                 NaN            NaN            NaN            NaN
  1344.41        500.000        99.4261       0.910557E-001  0.203647                 NaN  0.800274E-001  0.199139                 NaN            NaN            NaN            NaN
  1343.41        500.000        99.4565       0.194444       0.837649E-001            NaN  0.765772E-001  0.188706                 NaN            NaN            NaN            NaN
  1342.40        500.000        99.4118       0.909575E-001  0.210176                 NaN  0.830304E-001  0.204039                 NaN            NaN            NaN            NaN
  1341.40        500.000        99.4424       0.199472       0.857699E-001            NaN  0.789297E-001  0.193474                 NaN            NaN            NaN            NaN
  1340.39        500.000        99.4470       0.841105E-001  0.198257                 NaN  0.787531E-001  0.191905                 NaN            NaN            NaN            NaN
  1339.39        500.000        99.4520       0.822354E-001  0.197006                 NaN  0.785624E-001  0.190178                 NaN            NaN            NaN            NaN
  1338.39        500.000        99.4570       0.807817E-001  0.195713                 NaN  0.781294E-001  0.188412                 NaN            NaN            NaN            NaN
  1337.38        500.000        99.4613       0.787964E-001  0.194742                 NaN  0.781422E-001  0.186994                 NaN            NaN            NaN            NaN
  1336.38        500.000        99.4666       0.191860       0.815745E-001            NaN  0.753132E-001  0.184604                 NaN            NaN            NaN            NaN
  1335.37        500.000        99.4713       0.192567       0.737785E-001            NaN  0.786373E-001  0.183672                 NaN            NaN            NaN            NaN
  1334.37        500.000        99.4761       0.190383       0.754057E-001            NaN  0.764498E-001  0.181628                 NaN            NaN            NaN            NaN
  1333.36        500.000        99.4790       0.189416       0.748624E-001            NaN  0.760720E-001  0.180680                 NaN            NaN            NaN            NaN
  1332.36        500.000        99.4858       0.186700       0.747875E-001            NaN  0.747192E-001  0.178025                 NaN            NaN            NaN            NaN
  1331.36        500.000        99.4890       0.722186E-001  0.186513                 NaN  0.751115E-001  0.177200                 NaN            NaN            NaN            NaN
  1330.35        500.000        99.4944       0.184774       0.717344E-001            NaN  0.741175E-001  0.174989                 NaN            NaN            NaN            NaN
  1329.35        500.000        99.4985       0.183345       0.702074E-001            NaN  0.741620E-001  0.173747                 NaN            NaN            NaN            NaN
  1328.34        500.000        99.2671       0.274617       0.931497E-001            NaN  0.110830       0.254293                 NaN            NaN            NaN            NaN
  1327.34        500.000        99.7417       0.927149E-001  0.412775E-001            NaN  0.358777E-001  0.884726E-001            NaN            NaN            NaN            NaN
  1326.34        500.000        99.5112       0.179563       0.677985E-001            NaN  0.723554E-001  0.169118                 NaN            NaN            NaN            NaN
  1325.33        500.000        99.5153       0.673400E-001  0.178286                 NaN  0.715656E-001  0.167541                 NaN            NaN            NaN            NaN
  1324.33        500.000        99.5193       0.665629E-001  0.176883                 NaN  0.711063E-001  0.166131                 NaN            NaN            NaN            NaN
  1323.32        500.000        99.5236       0.175671       0.654888E-001            NaN  0.706310E-001  0.164640                 NaN            NaN            NaN            NaN
  1322.32        500.000        99.5270       0.174565       0.655731E-001            NaN  0.696782E-001  0.163226                 NaN            NaN            NaN            NaN
  1321.32        500.000        99.5311       0.645260E-001  0.173258                 NaN  0.692801E-001  0.161806                 NaN            NaN            NaN            NaN
  1320.31        500.000        99.5349       0.637038E-001  0.172134                 NaN  0.688345E-001  0.160427                 NaN            NaN            NaN            NaN
  1319.31        500.000        99.5395       0.170621       0.624618E-001            NaN  0.684686E-001  0.158934                 NaN            NaN            NaN            NaN
  1318.30        500.000        99.5426       0.640005E-001  0.169203                 NaN  0.668437E-001  0.157362                 NaN            NaN            NaN            NaN
  1317.30        500.000        99.5463       0.634366E-001  0.167831                 NaN  0.663378E-001  0.156104                 NaN            NaN            NaN            NaN
  1316.29        500.000        99.5498       0.166776       0.628968E-001            NaN  0.657046E-001  0.154815                 NaN            NaN            NaN            NaN
  1315.29        500.000        99.5536       0.624672E-001  0.165377                 NaN  0.651338E-001  0.153467                 NaN            NaN            NaN            NaN
  1314.29        500.000        99.5571       0.625764E-001  0.164023                 NaN  0.642303E-001  0.152069                 NaN            NaN            NaN            NaN
  1313.28        500.000        99.5582       0.619655E-001  0.164702                 NaN  0.636482E-001  0.151494                 NaN            NaN            NaN            NaN
  1312.28        500.000        99.5651       0.628888E-001  0.160563                 NaN  0.624100E-001  0.149042                 NaN            NaN            NaN            NaN
  1311.27        500.000        99.5674       0.162468       0.568829E-001            NaN  0.644630E-001  0.148787                 NaN            NaN            NaN            NaN
  1310.27        500.000        99.5709       0.676890E-001  0.156385                 NaN  0.587462E-001  0.146314                 NaN            NaN            NaN            NaN
  1309.27        500.000        99.5739       0.157481       0.626314E-001            NaN  0.603033E-001  0.145693                 NaN            NaN            NaN            NaN
  1308.26        500.000        99.5771       0.156118       0.626569E-001            NaN  0.595909E-001  0.144493                 NaN            NaN            NaN            NaN
  1307.26        500.000        99.5808       0.155008       0.613589E-001            NaN  0.594878E-001  0.143363                 NaN            NaN            NaN            NaN
  1306.25        500.000        99.5830       0.153132       0.646236E-001            NaN  0.571707E-001  0.142042                 NaN            NaN            NaN            NaN
  1305.25        500.000        99.5869       0.151992       0.634622E-001            NaN  0.569657E-001  0.140729                 NaN            NaN            NaN            NaN
  1304.25        500.000        99.5899       0.150877       0.636961E-001            NaN  0.560106E-001  0.139492                 NaN            NaN            NaN            NaN
  1303.24        500.000        99.5931       0.628211E-001  0.149777                 NaN  0.558384E-001  0.138504                 NaN            NaN            NaN            NaN
  1302.24        500.000        99.5958       0.644461E-001  0.148373                 NaN  0.542092E-001  0.137183                 NaN            NaN            NaN            NaN
  1301.23        500.000        99.5988       0.146454       0.651158E-001            NaN  0.535030E-001  0.136175                 NaN            NaN            NaN            NaN
  1300.23        500.000        99.6017       0.145290       0.654999E-001            NaN  0.525210E-001  0.134957                 NaN            NaN            NaN            NaN
  1299.22        500.000        99.6045       0.657200E-001  0.144045                 NaN  0.518126E-001  0.133948                 NaN            NaN            NaN            NaN
  1298.22        500.000        99.6074       0.665467E-001  0.142520                 NaN  0.507568E-001  0.132760                 NaN            NaN            NaN            NaN
  1297.22        500.000        99.6079       0.685385E-001  0.140975                 NaN  0.498788E-001  0.132708                 NaN            NaN            NaN            NaN
  1296.21        500.000        99.6157       0.140045       0.657932E-001            NaN  0.490342E-001  0.129471                 NaN            NaN            NaN            NaN
  1295.21        500.000        99.6152       0.686159E-001  0.138395                 NaN  0.480540E-001  0.129707                 NaN            NaN            NaN            NaN
  1294.20        500.000        99.6183       0.136822       0.695860E-001            NaN  0.468175E-001  0.128432                 NaN            NaN            NaN            NaN
  1293.20        500.000        99.6206       0.135728       0.702325E-001            NaN  0.459240E-001  0.127505                 NaN            NaN            NaN            NaN
  1292.20        500.000        99.6231       0.134198       0.712302E-001            NaN  0.449812E-001  0.126535                 NaN            NaN            NaN            NaN
  1291.19        500.000        99.6257       0.720494E-001  0.132645                 NaN  0.440589E-001  0.125525                 NaN            NaN            NaN            NaN
  1290.19        500.000        99.6279       0.727878E-001  0.131389                 NaN  0.431759E-001  0.124736                 NaN            NaN            NaN            NaN
  1289.18        500.000        99.6310       0.129388       0.742923E-001            NaN  0.419289E-001  0.123368                 NaN            NaN            NaN            NaN
  1288.18        500.000        99.6331       0.128181       0.749800E-001            NaN  0.411429E-001  0.122619                 NaN            NaN            NaN            NaN
  1287.18        500.000        99.6355       0.126692       0.760596E-001            NaN  0.401185E-001  0.121650                 NaN            NaN            NaN            NaN
  1286.17        500.000        99.6374       0.783009E-001  0.124773                 NaN  0.387262E-001  0.120792                 NaN            NaN            NaN            NaN
  1285.17        500.000        99.6396       0.125477       0.751853E-001            NaN  0.394792E-001  0.120260                 NaN            NaN            NaN            NaN
  1284.16        500.000        99.6425       0.119792       0.836527E-001            NaN  0.354890E-001  0.118519                 NaN            NaN            NaN            NaN
  1283.16        500.000        99.6443       0.119868       0.820480E-001            NaN  0.357052E-001  0.118087                 NaN            NaN            NaN            NaN
  1282.15        500.000        94.6883       0.443868       0.924853                 NaN            NaN  0.662870                 NaN   3.28008                 NaN            NaN
  1281.15        500.000        93.9566        1.03685       0.493996                 NaN            NaN  0.743496                 NaN   3.76904                 NaN            NaN
  1280.15        500.000        94.2511       0.998085       0.465406                 NaN            NaN  0.711278                 NaN   3.57411                 NaN            NaN
  1279.14        500.000        94.4921       0.967642       0.441026                 NaN            NaN  0.685273                 NaN   3.41398                 NaN            NaN
  1278.14        500.000        94.7483       0.414546       0.933199                 NaN            NaN  0.656846                 NaN   3.24716                 NaN            NaN
  1277.13        500.000        94.9871       0.387356       0.903911                 NaN            NaN  0.630221                 NaN   3.09143                 NaN            NaN
  1276.13        500.000        95.1849       0.884092       0.361620                 NaN            NaN  0.608588                 NaN   2.96077                 NaN            NaN
  1275.13        500.000        95.3868       0.334958       0.862421                 NaN  0.620012E-004  0.585920                 NaN   2.82980                 NaN            NaN
  1274.12        500.000        95.5657       0.851563       0.304454                 NaN            NaN  0.566210                 NaN   2.71203                 NaN            NaN
  1273.12        500.000        95.7305       0.269484       0.848183                 NaN            NaN  0.548074                 NaN   2.60375                 NaN            NaN
  1272.11        500.000        95.9027       0.231865       0.843995                 NaN            NaN  0.528408                 NaN   2.49300                 NaN            NaN
  1271.11        500.000        96.0535       0.858789       0.181200                 NaN            NaN  0.511394                 NaN   2.39509                 NaN            NaN
  1270.11        500.000        96.1908       0.915498E-001  0.916135                 NaN            NaN  0.496140                 NaN   2.30534                 NaN            NaN
  1269.10        500.000        96.3253       0.975794                 NaN            NaN            NaN  0.480278                 NaN   2.21865                 NaN            NaN
  1268.10        500.000        96.4522       0.944968                 NaN            NaN            NaN  0.465553                 NaN   2.13729                 NaN            NaN
  1267.09        500.000        96.5805       0.913480                 NaN            NaN            NaN  0.449929                 NaN   2.05609                 NaN            NaN
  1266.09        500.000        96.6945       0.886766                 NaN            NaN  0.187017E-004  0.435642                 NaN   1.98303                 NaN            NaN
  1265.09        500.000        96.3652       0.933719                 NaN            NaN  0.208556E-004  0.477707                 NaN   2.18948       0.339107E-001            NaN
  1264.08        500.000        95.9588       0.994302                 NaN            NaN            NaN  0.528299                 NaN   2.44383       0.747964E-001            NaN
  1263.08        500.000        96.1305       0.952551                 NaN            NaN            NaN  0.504820                 NaN   2.34006       0.721075E-001            NaN
  1262.07        500.000        96.2837       0.918115                 NaN            NaN  0.891244E-005  0.486862                 NaN   2.24290       0.684504E-001            NaN
  1261.07        500.000        96.4330       0.882165                 NaN            NaN            NaN  0.467390                 NaN   2.15175       0.657132E-001            NaN
  1260.06        500.000        96.5666       0.851131                 NaN            NaN  0.942337E-006  0.450997                 NaN   2.06847       0.627711E-001            NaN
  1259.06        500.000        96.6916       0.822322                 NaN            NaN            NaN  0.435786                 NaN   1.99035       0.599633E-001            NaN
  1258.06        500.000        96.8156       0.791787                 NaN            NaN  0.216223E-004  0.418671                 NaN   1.91591       0.579932E-001            NaN
  1257.05        500.000        96.9202       0.768434                 NaN            NaN            NaN  0.407217                 NaN   1.84909       0.550669E-001            NaN
  1256.05        500.000        97.0254       0.743066                 NaN            NaN            NaN  0.393258                 NaN   1.78520       0.531170E-001            NaN
  1255.04        500.000        97.1239       0.719404                 NaN            NaN            NaN  0.380407                 NaN   1.72519       0.511305E-001            NaN
  1254.04        500.000        97.2252       0.693890                 NaN            NaN  0.138466E-004  0.366808                 NaN   1.66475       0.493657E-001            NaN
  1253.04        500.000        97.3034       0.676808                 NaN            NaN            NaN  0.357226                 NaN   1.61515       0.474113E-001            NaN
  1252.03        500.000        97.3841       0.657719                 NaN            NaN  0.650499E-004  0.347658                 NaN   1.56501       0.454171E-001            NaN
  1251.03        500.000        97.4618       0.639120                 NaN            NaN  0.195107E-004  0.337700                 NaN   1.51763       0.436936E-001            NaN
  1250.02        500.000        97.5403       0.619135                 NaN            NaN            NaN  0.326021                 NaN   1.47191       0.426266E-001            NaN
  1249.02        500.000        97.6077       0.603888                 NaN            NaN  0.731637E-005  0.318461                 NaN   1.42924       0.406952E-001            NaN
  1248.02        500.000        97.6715       0.588882                 NaN            NaN  0.148338E-005  0.310018                 NaN   1.39029       0.393152E-001            NaN
  1247.01        500.000        97.7370       0.572644                 NaN            NaN  0.129983E-005  0.301265                 NaN   1.35108       0.380068E-001            NaN
  1246.01        500.000        97.8012       0.556541                 NaN            NaN            NaN  0.292224                 NaN   1.31322       0.368542E-001            NaN
  1245.00        500.000        97.8597       0.541898                 NaN            NaN            NaN  0.282952                 NaN   1.27937       0.361217E-001            NaN
  1244.00        500.000        97.9139       0.529598                 NaN            NaN  0.847886E-006  0.277853                 NaN   1.24448       0.341912E-001            NaN
  1242.99        500.000        97.9671       0.516396                 NaN            NaN            NaN  0.271556                 NaN   1.21210       0.328086E-001            NaN
  1241.99        500.000        98.0179       0.503927                 NaN            NaN            NaN  0.263352                 NaN   1.18271       0.321392E-001            NaN
  1240.99        500.000        98.0673       0.491842                 NaN            NaN            NaN  0.257085                 NaN   1.15283       0.309508E-001            NaN
  1239.98        500.000        98.1136       0.480411                 NaN            NaN            NaN  0.249978                 NaN   1.12583       0.301888E-001            NaN
  1238.98        500.000        98.1585       0.469571                 NaN            NaN            NaN  0.243855                 NaN   1.09886       0.292287E-001            NaN
  1237.97        500.000        98.2022       0.458814                 NaN            NaN  0.812948E-004  0.238777                 NaN   1.07214       0.280114E-001            NaN
  1236.97        500.000        98.2456       0.447845                 NaN            NaN            NaN  0.231921                 NaN   1.04728       0.273536E-001            NaN
  1235.97        500.000        98.2883       0.436634                 NaN            NaN  0.360287E-005  0.224953                 NaN   1.02332       0.268314E-001            NaN
  1234.96        500.000        98.3187       0.430558                 NaN            NaN  0.254523E-005  0.224228                 NaN   1.00157       0.249336E-001            NaN
  1233.96        500.000        98.3666       0.417652                 NaN            NaN            NaN  0.216080                 NaN  0.975065       0.245540E-001            NaN
  1232.95        500.000        98.3988       0.409800                 NaN            NaN            NaN  0.210353                 NaN  0.956912       0.241404E-001            NaN
  1231.95        500.000        98.4360       0.400280                 NaN            NaN            NaN  0.205285                 NaN  0.935061       0.233382E-001            NaN
  1230.95        500.000        98.4666       0.393303                 NaN            NaN            NaN  0.202773                 NaN  0.915221       0.221136E-001            NaN
  1229.94        500.000        98.5021       0.384081                 NaN            NaN            NaN  0.195424                 NaN  0.896333       0.220413E-001            NaN
  1228.94        500.000        98.5349       0.374356                 NaN            NaN  0.105883E-005  0.194190                 NaN  0.876114       0.204518E-001            NaN
  1227.93        500.000        98.5687       0.367520                 NaN            NaN            NaN  0.186467                 NaN  0.856761       0.205305E-001            NaN
  1226.93        500.000        98.5987       0.358850                 NaN            NaN  0.104457E-004  0.181696                 NaN  0.840688       0.200938E-001            NaN
  1225.92        500.000        98.6245       0.352923                 NaN            NaN  0.416787E-005  0.178224                 NaN  0.824932       0.194145E-001            NaN
  1224.92        500.000        98.6558       0.344697                 NaN            NaN            NaN  0.173685                 NaN  0.806936       0.188367E-001            NaN
  1223.92        500.000        98.6801       0.339362                 NaN            NaN            NaN  0.171242                 NaN  0.791390       0.179562E-001            NaN
  1222.91        500.000        98.7088       0.331168                 NaN            NaN            NaN  0.167537                 NaN  0.775190       0.173066E-001            NaN
  1221.91        500.000        98.7340       0.325540                 NaN            NaN            NaN  0.163371                 NaN  0.760231       0.169047E-001            NaN
  1220.90        500.000        98.7598       0.318297                 NaN            NaN            NaN  0.160024                 NaN  0.745594       0.162786E-001            NaN
  1219.90        500.000        98.7883       0.310557                 NaN            NaN            NaN  0.155313                 NaN  0.729901       0.159553E-001            NaN
  1218.90        500.000        98.8073       0.306717                 NaN            NaN            NaN  0.153743                 NaN  0.717100       0.151147E-001            NaN
  1217.89        500.000        98.8307       0.300584                 NaN            NaN            NaN  0.150320                 NaN  0.703730       0.146577E-001            NaN
  1216.89        500.000        98.8549       0.293895                 NaN            NaN            NaN  0.145731                 NaN  0.690995       0.144895E-001            NaN
  1215.88        500.000        98.8789       0.287422                 NaN            NaN            NaN  0.143209                 NaN  0.676650       0.138294E-001            NaN
  1214.88        500.000        98.8991       0.282522                 NaN            NaN            NaN  0.140210                 NaN  0.664786       0.133592E-001            NaN
  1213.88        500.000        98.9207       0.276712                 NaN            NaN            NaN  0.137126                 NaN  0.652511       0.129842E-001            NaN
  1212.87        500.000        98.9410       0.271410                 NaN            NaN            NaN  0.134012                 NaN  0.640942       0.126137E-001            NaN
  1211.87        500.000        98.9608       0.266156                 NaN            NaN            NaN  0.131502                 NaN  0.629392       0.121124E-001            NaN
  1210.86        500.000        98.9829       0.260093                 NaN            NaN            NaN  0.128057                 NaN  0.617162       0.118194E-001            NaN
  1209.86        500.000        99.0019       0.254904                 NaN            NaN            NaN  0.125324                 NaN  0.606383       0.114749E-001            NaN
  1208.85        500.000        99.0211       0.249668                 NaN            NaN            NaN  0.122123                 NaN  0.595913       0.111508E-001            NaN
  1207.85        500.000        99.0385       0.245105                 NaN            NaN            NaN  0.119853                 NaN  0.585730       0.108136E-001            NaN
  1206.85        500.000        99.0285       0.241021                 NaN            NaN            NaN  0.112797                 NaN  0.604715       0.129265E-001            NaN
  1205.84        500.000        98.6566       0.398796                 NaN            NaN            NaN  0.233556                 NaN  0.686593       0.244586E-001            NaN
  1204.84        500.000        98.8923       0.219949                 NaN            NaN            NaN  0.111040                 NaN  0.758741       0.179369E-001            NaN
  1203.83        500.000        99.1011       0.687819E-001  0.123393                 NaN            NaN  0.914360E-001            NaN  0.615330                 NaN            NaN
  1202.83        500.000        99.1010       0.244150                 NaN            NaN            NaN  0.127377                 NaN  0.516731       0.107013E-001            NaN
  1201.83        500.000        99.5104       0.733570E-001            NaN            NaN  0.303758E-001  0.285003E-001            NaN  0.357334                 NaN            NaN
  1200.82        500.000        99.4788       0.170696                 NaN            NaN            NaN  0.555826E-001            NaN  0.292586       0.236870E-002            NaN
  1199.82        500.000        98.4311       0.219517       0.166174                 NaN            NaN  0.237613                 NaN  0.918070       0.275178E-001            NaN
  1198.81        500.000        99.2295       0.115155                 NaN            NaN            NaN  0.616409E-001            NaN  0.582603       0.110579E-001            NaN
  1197.81        500.000        99.3785       0.132371                 NaN            NaN            NaN  0.617854E-001            NaN  0.426390       0.963747E-003            NaN
  1196.81        500.000        98.6234       0.173406                 NaN            NaN  0.315871E-002  0.172079                 NaN  0.981587       0.107361E-001  0.356480E-001
  1195.80        500.000        97.0688       0.330251       0.165016                 NaN            NaN  0.197391                 NaN  0.832177                 NaN   1.40635     
  1194.80        500.000        93.3289       0.619800       0.441227E-001            NaN            NaN  0.533517                 NaN   2.71735       0.247681E-001   2.73156     
  1193.79        500.000        95.4607       0.501133                 NaN            NaN            NaN  0.342415                 NaN   1.87992       0.203546E-001   1.79543     
  1192.79        500.000        92.6724       0.407387       0.320816                 NaN            NaN  0.566398                 NaN   3.01158       0.273751E-001   2.99404     
  1191.79        500.000        92.7920       0.773962                 NaN            NaN            NaN  0.565498                 NaN   2.99943       0.218756E-001   2.84728     
  1190.78        500.000        86.4016        1.08803       0.150452                 NaN            NaN   1.00957                 NaN   5.74567       0.495853E-001   5.55509     
  1189.78        500.000        72.5596        1.54390       0.944908                 NaN            NaN   1.98622                 NaN   11.7129       0.927304E-001   11.1598     
  1188.77        500.000                 NaN   8.59702                 NaN            NaN            NaN   7.13697                 NaN   43.0181       0.326138        40.9218     
  1187.77        500.000                 NaN   8.59838                 NaN            NaN            NaN   7.13865                 NaN   43.0146       0.325734        40.9227     
  1186.76        500.000                 NaN   8.60220                 NaN            NaN            NaN   7.14246                 NaN   43.0068       0.324728        40.9238     
  1185.76        500.000                 NaN   8.60155                 NaN            NaN            NaN   7.14254                 NaN   43.0066       0.324799        40.9246     
  1184.76        500.000                 NaN   8.60805                 NaN            NaN            NaN   7.14770                 NaN   42.9947       0.323087        40.9264     
  1183.75        500.000                 NaN   8.61390                 NaN            NaN            NaN   7.15176                 NaN   42.9844       0.321573        40.9284     
  1182.75        500.000                 NaN   8.60510                 NaN            NaN            NaN   7.14831                 NaN   42.9959       0.323654        40.9270     
  1181.74        500.000                 NaN   8.61207                 NaN            NaN            NaN   7.15301                 NaN   42.9839       0.321863        40.9291     
  1180.74        500.000                 NaN   8.60369                 NaN            NaN            NaN   7.14959                 NaN   42.9949       0.323848        40.9280     
  1179.74        500.000                 NaN   8.60481                 NaN            NaN            NaN   7.15121                 NaN   42.9917       0.323499        40.9288     
  1178.73        500.000                 NaN   8.60785                 NaN            NaN            NaN   7.15341                 NaN   42.9859       0.322703        40.9302     
  1177.73        500.000                 NaN   4.42153        4.20084                 NaN            NaN   7.15506                 NaN   42.9695       0.321429        40.9316     
  1176.72        500.000                 NaN   5.28726        3.33345                 NaN            NaN   7.15977                 NaN   42.9656       0.319970        40.9339     
