|6.6.6
Archiving\03_Data\Deqfrac/QFM_m3.25/K22/K22_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         Sp(TH)         ne             lc            
  1579.19        2500.00        99.7528       0.227536       0.196819E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.61        2500.00        98.8888        1.02158       0.896465E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00        98.6468        1.25068       0.102517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.44        2500.00        99.9975       0.216175E-002  0.356292E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.86        2500.00        99.3659       0.585037       0.490477E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.28        2500.00        99.3478       0.600903       0.513039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        2500.00        99.3555       0.594574       0.499093E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.11        2500.00        99.0851       0.907499       0.744418E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.53        2500.00        99.6265       0.292746       0.807259E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.95        2500.00        99.3701       0.583199       0.467339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.36        2500.00        99.3719       0.581865       0.462392E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.78        2500.00        99.3264       0.625682       0.478998E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        2500.00        99.4401       0.519907       0.400405E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.62        2500.00        99.3893       0.567650       0.430005E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        2500.00        99.3950       0.562075       0.429530E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.45        2500.00        99.4018       0.554812       0.434076E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        2500.00        99.4042       0.556296       0.394947E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.29        2500.00        99.4093       0.552033       0.386734E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.70        2500.00        99.4118       0.548742       0.394635E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.12        2500.00        99.3097       0.639483       0.508531E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        2500.00        99.5401       0.419409       0.404870E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.96        2500.00        99.4262       0.548482       0.253266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        2500.00        99.4286       0.535938       0.354501E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.79        2500.00        99.4374       0.528068       0.345659E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.21        2500.00        99.4394       0.526567       0.339914E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.63        2500.00        99.4432       0.523552       0.332294E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.04        2500.00        99.4478       0.520048       0.321808E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.46        2500.00        99.4499       0.520043       0.300863E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.88        2500.00        99.4538       0.516491       0.296901E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.30        2500.00        99.9859                 NaN  0.141025E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.71        2500.00        98.7842        1.15717       0.586354E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.13        2500.00        99.5830       0.217272       0.451758E-002            NaN  0.195217                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.55        2500.00        99.3766                 NaN  0.301627E-004            NaN  0.623355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.97        2500.00        99.2235                 NaN            NaN            NaN  0.776529                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.38        2500.00        99.3000                 NaN            NaN            NaN  0.700048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.80        2500.00        99.0752                 NaN            NaN            NaN  0.924791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        2500.00        99.6645                 NaN  0.193843E-002            NaN  0.333535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.64        2500.00        99.1604                 NaN  0.315322E-005            NaN  0.839622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.05        2500.00        99.2931                 NaN            NaN            NaN  0.706853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.47        2500.00        99.2956                 NaN            NaN            NaN  0.704414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.89        2500.00        99.2866                 NaN            NaN            NaN  0.713393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.31        2500.00        99.2792                 NaN            NaN            NaN  0.720791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.72        2500.00        99.2753                 NaN            NaN            NaN  0.724680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.14        2500.00        99.1800                 NaN            NaN            NaN  0.674811       0.145201                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.56        2500.00        98.8586                 NaN            NaN            NaN  0.442738       0.698656                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.98        2500.00        98.8754       0.140885       0.703567E-002            NaN  0.387864       0.588819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.39        2500.00        98.8815                 NaN            NaN            NaN  0.101162        1.01738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.81        2500.00        98.8998                 NaN            NaN            NaN  0.425887       0.674266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.23        2500.00        98.9091                 NaN  0.987257E-006            NaN  0.422766       0.668102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.65        2500.00        98.9195                 NaN            NaN            NaN  0.662078       0.418395                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.06        2500.00        98.9132                 NaN            NaN            NaN  0.423229       0.663552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.48        2500.00        98.9604                 NaN  0.106911E-003            NaN  0.400279       0.639209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.90        2500.00        98.9541                 NaN            NaN            NaN  0.403528       0.642350                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.32        2500.00        99.9706       0.114005E-001  0.180068E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        2500.00        97.9764                 NaN            NaN            NaN  0.752223        1.27140                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.15        2500.00        98.9854                 NaN            NaN            NaN  0.623636       0.390999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.57        2500.00        98.9949                 NaN            NaN            NaN  0.619138       0.385959                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.99        2500.00        99.0061                 NaN            NaN            NaN  0.612868       0.381075                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.40        2500.00        99.0157                 NaN            NaN            NaN  0.378353       0.605994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.82        2500.00        99.0246                 NaN            NaN            NaN  0.600370       0.375006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.24        2500.00        99.0333                 NaN            NaN            NaN  0.596207       0.370480                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.66        2500.00        99.0437                 NaN            NaN            NaN  0.590123       0.366194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        99.0524                 NaN            NaN            NaN  0.584646       0.362994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.49        2500.00        99.0613                 NaN            NaN            NaN  0.358815       0.579839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.91        2500.00        99.0696                 NaN            NaN            NaN  0.355142       0.575270                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.33        2500.00        99.0759                 NaN            NaN            NaN  0.572078       0.352040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.74        2500.00        99.0889                 NaN            NaN            NaN  0.347436       0.563645                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.16        2500.00        99.0937                 NaN  0.308976E-003            NaN  0.562194       0.343809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.58        2500.00        99.1028                 NaN            NaN            NaN  0.556599       0.340598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.00        2500.00        99.1089                 NaN            NaN            NaN  0.338056       0.553067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.41        2500.00        99.1181                 NaN            NaN            NaN  0.333854       0.548037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.83        2500.00        99.1252                 NaN            NaN            NaN  0.330740       0.544097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.25        2500.00        99.1321                 NaN            NaN            NaN  0.327354       0.540524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.67        2500.00        99.1391                 NaN            NaN            NaN  0.536918       0.323968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.08        2500.00        99.1472                 NaN            NaN            NaN  0.532068       0.320688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.50        2500.00        99.1529                 NaN  0.126977E-005            NaN  0.317629       0.529514                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.92        2500.00        99.1599                 NaN            NaN            NaN  0.314628       0.525491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.34        2500.00        99.1663                 NaN            NaN            NaN  0.521527       0.312221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.75        2500.00        98.2705                 NaN  0.987406E-002            NaN  0.604755       0.671626                 NaN  0.443213                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.17        2500.00        97.5015                 NaN  0.212927                 NaN  0.723795       0.702250                 NaN  0.859514                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.59        2500.00        97.5583                 NaN  0.210946                 NaN  0.708102       0.681678                 NaN  0.840972                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.01        2500.00        97.6189                 NaN  0.208370                 NaN  0.660379       0.691525                 NaN  0.820809                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.42        2500.00        97.6746                 NaN  0.205986                 NaN  0.640078       0.676877                 NaN  0.802441                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.84        2500.00        97.7339                 NaN  0.203104                 NaN  0.619156       0.661038                 NaN  0.782763                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.26        2500.00        97.7832                 NaN  0.201995                 NaN  0.600523       0.647572                 NaN  0.766674                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.68        2500.00        97.8366                 NaN  0.198721                 NaN  0.633076       0.582612                 NaN  0.749003                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.09        2500.00        97.8879                 NaN  0.195949                 NaN  0.619644       0.565268                 NaN  0.731213                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.51        2500.00        97.9311                 NaN  0.194771                 NaN  0.547736       0.609050                 NaN  0.717334                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.93        2500.00        97.9789                 NaN  0.192562                 NaN  0.595808       0.531486                 NaN  0.701258                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.35        2500.00        98.0212                 NaN  0.190839                 NaN  0.584596       0.516447                 NaN  0.686941                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.76        2500.00        98.0645                 NaN  0.188576                 NaN  0.501017       0.573060                 NaN  0.672798                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.18        2500.00        98.1047                 NaN  0.186962                 NaN  0.486899       0.562219                 NaN  0.659270                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.60        2500.00        98.1436                 NaN  0.185120                 NaN  0.472906       0.552258                 NaN  0.646143                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.02        2500.00        98.1822                 NaN  0.183298                 NaN  0.541924       0.459619                 NaN  0.633010                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.43        2500.00        98.2104                 NaN  0.183299                 NaN  0.448363       0.533643                 NaN  0.624261                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.85        2500.00        98.2538                 NaN  0.179695                 NaN  0.520672       0.436697                 NaN  0.609093                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.27        2500.00        98.2977                 NaN  0.177358                 NaN  0.510734       0.420588                 NaN  0.593623                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.69        2500.00        98.3228                 NaN  0.176713                 NaN  0.504387       0.410101                 NaN  0.586002                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.10        2500.00        98.3531                 NaN  0.175332                 NaN  0.400146       0.495780                 NaN  0.575627                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.52        2500.00        98.3871                 NaN  0.173617                 NaN  0.388317       0.487021                 NaN  0.563983                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        2500.00        98.4148                 NaN  0.172727                 NaN  0.480052       0.377752                 NaN  0.554686                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.36        2500.00        98.4450                 NaN  0.170561                 NaN  0.368156       0.472108                 NaN  0.544171                 NaN            NaN            NaN            NaN            NaN            NaN
  1417.78        2500.00        98.4747                 NaN  0.169227                 NaN  0.463627       0.358151                 NaN  0.534255                 NaN            NaN            NaN            NaN            NaN            NaN
  1416.19        2500.00        98.5005                 NaN  0.168079                 NaN  0.456361       0.349351                 NaN  0.525729                 NaN            NaN            NaN            NaN            NaN            NaN
  1414.61        2500.00        98.5296                 NaN  0.166428                 NaN  0.449126       0.339433                 NaN  0.515430                 NaN            NaN            NaN            NaN            NaN            NaN
  1413.03        2500.00        98.5540                 NaN  0.165366                 NaN  0.331282       0.442045                 NaN  0.507281                 NaN            NaN            NaN            NaN            NaN            NaN
  1411.45        2500.00        98.5800                 NaN  0.163915                 NaN  0.322225       0.435565                 NaN  0.498333                 NaN            NaN            NaN            NaN            NaN            NaN
  1409.86        2500.00        98.6013                 NaN  0.163165                 NaN  0.430814       0.313679                 NaN  0.491043                 NaN            NaN            NaN            NaN            NaN            NaN
  1408.28        2500.00        98.6312                 NaN  0.160637                 NaN  0.421592       0.306034                 NaN  0.480536                 NaN            NaN            NaN            NaN            NaN            NaN
  1406.70        2500.00        98.6505                 NaN  0.160150                 NaN  0.298758       0.416412                 NaN  0.474133                 NaN            NaN            NaN            NaN            NaN            NaN
  1405.12        2500.00        98.6750                 NaN  0.158663                 NaN  0.410143       0.290633                 NaN  0.465587                 NaN            NaN            NaN            NaN            NaN            NaN
  1403.53        2500.00        98.6972                 NaN  0.157280                 NaN  0.404200       0.283367                 NaN  0.458002                 NaN            NaN            NaN            NaN            NaN            NaN
  1401.95        2500.00        98.7159                 NaN  0.156504                 NaN  0.276519       0.399531                 NaN  0.451583                 NaN            NaN            NaN            NaN            NaN            NaN
  1400.37        2500.00        98.7410                 NaN  0.153235                 NaN  0.271807       0.391461                 NaN  0.442495                 NaN            NaN            NaN            NaN            NaN            NaN
  1398.79        2500.00        98.7589                 NaN  0.154639                 NaN  0.261530       0.388033                 NaN  0.436883                 NaN            NaN            NaN            NaN            NaN            NaN
  1397.20        2500.00        98.7794                 NaN  0.152325                 NaN  0.381710       0.257121                 NaN  0.429414                 NaN            NaN            NaN            NaN            NaN            NaN
  1395.62        2500.00        98.7954                 NaN  0.153346                 NaN  0.378100       0.248474                 NaN  0.424700                 NaN            NaN            NaN            NaN            NaN            NaN
  1394.04        2500.00        98.8230                 NaN  0.147735                 NaN  0.246203       0.369645                 NaN  0.413399                 NaN            NaN            NaN            NaN            NaN            NaN
  1392.46        2500.00        98.8365                 NaN  0.148547                 NaN  0.366246       0.239144                 NaN  0.409607                 NaN            NaN            NaN            NaN            NaN            NaN
  1390.87        2500.00        98.8543                 NaN  0.147248                 NaN  0.233805       0.361404                 NaN  0.403279                 NaN            NaN            NaN            NaN            NaN            NaN
  1389.29        2500.00        98.8692                 NaN  0.146706                 NaN  0.227882       0.357986                 NaN  0.398221                 NaN            NaN            NaN            NaN            NaN            NaN
  1387.71        2500.00        98.8862                 NaN  0.145921                 NaN  0.351135       0.223728                 NaN  0.392973                 NaN            NaN            NaN            NaN            NaN            NaN
  1386.13        2500.00        98.9108                 NaN  0.141900                 NaN  0.346691       0.217948                 NaN  0.382693                 NaN            NaN            NaN            NaN            NaN            NaN
  1384.54        2500.00        98.9199                 NaN  0.143639                 NaN  0.344403       0.211362                 NaN  0.380676                 NaN            NaN            NaN            NaN            NaN            NaN
  1382.96        2500.00        98.9401                 NaN  0.139351                 NaN  0.211689       0.336311                 NaN  0.372577                 NaN            NaN            NaN            NaN            NaN            NaN
  1381.38        2500.00        98.9520                 NaN  0.140045                 NaN  0.335910       0.203212                 NaN  0.368837                 NaN            NaN            NaN            NaN            NaN            NaN
  1379.80        2500.00        98.9697                 NaN  0.137831                 NaN  0.200623       0.329627                 NaN  0.362252                 NaN            NaN            NaN            NaN            NaN            NaN
  1378.21        2500.00        98.9832                 NaN  0.136900                 NaN  0.325872       0.196450                 NaN  0.357598                 NaN            NaN            NaN            NaN            NaN            NaN
  1376.63        2500.00        98.9979                 NaN  0.135662                 NaN  0.192278       0.321819                 NaN  0.352337                 NaN            NaN            NaN            NaN            NaN            NaN
  1375.05        2500.00        99.0121                 NaN  0.134239                 NaN  0.188668       0.317663                 NaN  0.347324                 NaN            NaN            NaN            NaN            NaN            NaN
  1373.47        2500.00        99.0255                 NaN  0.132932                 NaN  0.314354       0.184862                 NaN  0.342364                 NaN            NaN            NaN            NaN            NaN            NaN
  1371.88        2500.00        99.0393                 NaN  0.131504                 NaN  0.310593       0.181211                 NaN  0.337376                 NaN            NaN            NaN            NaN            NaN            NaN
  1370.30        2500.00        99.0521                 NaN  0.130197                 NaN  0.306899       0.178080                 NaN  0.332682                 NaN            NaN            NaN            NaN            NaN            NaN
  1368.72        2500.00        99.0650                 NaN  0.128539                 NaN  0.175711       0.302675                 NaN  0.328104                 NaN            NaN            NaN            NaN            NaN            NaN
  1367.14        2500.00        99.0777                 NaN  0.127143                 NaN  0.299248       0.172506                 NaN  0.323440                 NaN            NaN            NaN            NaN            NaN            NaN
  1365.55        2500.00        99.0903                 NaN  0.125841                 NaN  0.295799       0.169295                 NaN  0.318790                 NaN            NaN            NaN            NaN            NaN            NaN
  1363.97        2500.00        99.1023                 NaN  0.124357                 NaN  0.292110       0.166815                 NaN  0.314441                 NaN            NaN            NaN            NaN            NaN            NaN
  1362.39        2500.00        99.1143                 NaN  0.122691                 NaN  0.164394       0.288752                 NaN  0.309866                 NaN            NaN            NaN            NaN            NaN            NaN
  1360.81        2500.00        99.1258                 NaN  0.121643                 NaN  0.284519       0.162059                 NaN  0.306007                 NaN            NaN            NaN            NaN            NaN            NaN
  1359.22        2500.00        99.1380                 NaN  0.119554                 NaN  0.281316       0.159993                 NaN  0.301123                 NaN            NaN            NaN            NaN            NaN            NaN
  1357.64        2500.00        99.1487                 NaN  0.118302                 NaN  0.278299       0.157462                 NaN  0.297267                 NaN            NaN            NaN            NaN            NaN            NaN
  1356.06        2500.00        99.1594                 NaN  0.116718                 NaN  0.274935       0.155679                 NaN  0.293298                 NaN            NaN            NaN            NaN            NaN            NaN
  1354.48        2500.00        99.1703                 NaN  0.115361                 NaN  0.271756       0.153261                 NaN  0.289343                 NaN            NaN            NaN            NaN            NaN            NaN
  1352.89        2500.00        99.1803                 NaN  0.113372                 NaN  0.268170       0.152754                 NaN  0.285445                 NaN            NaN            NaN            NaN            NaN            NaN
  1351.31        2500.00        99.1904                 NaN  0.111847                 NaN  0.265399       0.150769                 NaN  0.281563                 NaN            NaN            NaN            NaN            NaN            NaN
  1349.73        2500.00        99.2004                 NaN  0.110225                 NaN  0.261932       0.149526                 NaN  0.277873                 NaN            NaN            NaN            NaN            NaN            NaN
  1348.15        2500.00        99.2097                 NaN  0.109180                 NaN  0.258800       0.147657                 NaN  0.274710                 NaN            NaN            NaN            NaN            NaN            NaN
  1346.56        2500.00        99.2207                 NaN  0.106375                 NaN  0.255079       0.147840                 NaN  0.269965                 NaN            NaN            NaN            NaN            NaN            NaN
  1344.98        2500.00        99.2290                 NaN  0.105047                 NaN  0.252148       0.146806                 NaN  0.267010                 NaN            NaN            NaN            NaN            NaN            NaN
  1343.40        2500.00        99.2377                 NaN  0.103465                 NaN  0.248902       0.146198                 NaN  0.263716                 NaN            NaN            NaN            NaN            NaN            NaN
  1341.82        2500.00        99.2472                 NaN  0.101461                 NaN  0.145306       0.246114                 NaN  0.259940                 NaN            NaN            NaN            NaN            NaN            NaN
