|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m5/K22/K22_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q             
  1407.08        500.000        98.4426                 NaN            NaN  0.527141       0.472781                 NaN            NaN  0.537766       0.197015E-001            NaN            NaN            NaN
  1405.58        500.000        98.4816                 NaN            NaN  0.460856       0.514125                 NaN            NaN  0.524414       0.190321E-001            NaN            NaN            NaN
  1404.08        500.000        98.5202                 NaN            NaN  0.448590       0.501724                 NaN            NaN  0.511106       0.183577E-001            NaN            NaN            NaN
  1402.58        500.000        98.5561                 NaN            NaN  0.437394       0.489964                 NaN            NaN  0.498780       0.177354E-001            NaN            NaN            NaN
  1401.08        500.000        98.5909                 NaN            NaN  0.426574       0.478708                 NaN            NaN  0.486751       0.171104E-001            NaN            NaN            NaN
  1399.57        500.000        98.6225                 NaN            NaN  0.468456       0.416539                 NaN            NaN  0.475904       0.165882E-001            NaN            NaN            NaN
  1398.07        500.000        98.6595                 NaN            NaN  0.404978       0.456514                 NaN            NaN  0.463079       0.159665E-001            NaN            NaN            NaN
  1396.57        500.000        98.6881                 NaN            NaN  0.447259       0.395945                 NaN            NaN  0.453248       0.154737E-001            NaN            NaN            NaN
  1395.07        500.000        98.7182                 NaN            NaN  0.386557       0.437529                 NaN            NaN  0.442807       0.149566E-001            NaN            NaN            NaN
  1393.56        500.000        98.7471                 NaN            NaN  0.377370       0.428201                 NaN            NaN  0.432850       0.144660E-001            NaN            NaN            NaN
  1392.06        500.000        98.7747                 NaN            NaN  0.368588       0.419621                 NaN            NaN  0.423127       0.139519E-001            NaN            NaN            NaN
  1390.56        500.000        98.8011                 NaN            NaN  0.360240       0.411137                 NaN            NaN  0.414047       0.135105E-001            NaN            NaN            NaN
  1389.06        500.000        98.8285                 NaN            NaN  0.402226       0.351618                 NaN            NaN  0.404557       0.130843E-001            NaN            NaN            NaN
  1387.56        500.000        98.8532                 NaN            NaN  0.394301       0.343981                 NaN            NaN  0.395916       0.126288E-001            NaN            NaN            NaN
  1386.05        500.000        98.8768                 NaN            NaN  0.336314       0.386854                 NaN            NaN  0.387766       0.122467E-001            NaN            NaN            NaN
  1384.55        500.000        98.9002                 NaN            NaN  0.329084       0.379422                 NaN            NaN  0.379490       0.118064E-001            NaN            NaN            NaN
  1383.05        500.000        98.9224                 NaN            NaN  0.372821       0.321633                 NaN            NaN  0.371784       0.113447E-001            NaN            NaN            NaN
  1381.55        500.000        98.9453                 NaN            NaN  0.365546       0.314474                 NaN            NaN  0.363702       0.110080E-001            NaN            NaN            NaN
  1380.05        500.000        98.9673                 NaN            NaN  0.307340       0.358732                 NaN            NaN  0.356017       0.106247E-001            NaN            NaN            NaN
  1378.54        500.000        98.9868                 NaN            NaN  0.301183       0.352539                 NaN            NaN  0.349247       0.102705E-001            NaN            NaN            NaN
  1377.04        500.000        99.0069                 NaN            NaN  0.294562       0.346446                 NaN            NaN  0.342178       0.992463E-002            NaN            NaN            NaN
  1375.54        500.000        99.0263                 NaN            NaN  0.340477       0.288305                 NaN            NaN  0.335378       0.958233E-002            NaN            NaN            NaN
  1374.04        500.000        99.0449                 NaN            NaN  0.334742       0.282308                 NaN            NaN  0.328766       0.923637E-002            NaN            NaN            NaN
  1372.53        500.000        99.0631                 NaN            NaN  0.276413       0.329172                 NaN            NaN  0.322396       0.891452E-002            NaN            NaN            NaN
  1371.03        500.000        99.0808                 NaN            NaN  0.270566       0.323873                 NaN            NaN  0.316171       0.859550E-002            NaN            NaN            NaN
  1369.53        500.000        99.0978                 NaN            NaN  0.318611       0.265079                 NaN            NaN  0.310206       0.831775E-002            NaN            NaN            NaN
  1368.03        500.000        99.1148                 NaN            NaN  0.259587       0.313462                 NaN            NaN  0.304133       0.797675E-002            NaN            NaN            NaN
  1366.53        500.000        99.1304                 NaN            NaN  0.308857       0.254434                 NaN            NaN  0.298655       0.767259E-002            NaN            NaN            NaN
  1365.02        500.000        99.1469                 NaN            NaN  0.303898       0.249056                 NaN            NaN  0.292784       0.739472E-002            NaN            NaN            NaN
  1363.52        500.000        99.1578                 NaN            NaN  0.300412       0.245172                 NaN            NaN  0.289359       0.723797E-002            NaN            NaN            NaN
  1362.02        500.000        99.1807                 NaN            NaN  0.237625       0.294335                 NaN            NaN  0.280559       0.673841E-002            NaN            NaN            NaN
  1360.52        500.000        99.1913                 NaN            NaN  0.290692       0.234398                 NaN            NaN  0.277002       0.656599E-002            NaN            NaN            NaN
  1359.02        500.000        99.2055                 NaN            NaN  0.286428       0.229707                 NaN            NaN  0.272072       0.631787E-002            NaN            NaN            NaN
  1357.51        500.000        99.2190                 NaN            NaN  0.225206       0.282515                 NaN            NaN  0.267181       0.604998E-002            NaN            NaN            NaN
  1356.01        500.000        99.2324                 NaN            NaN  0.278630       0.220763                 NaN            NaN  0.262420       0.579365E-002            NaN            NaN            NaN
  1354.51        500.000        99.2450                 NaN            NaN  0.216567       0.274908                 NaN            NaN  0.257934       0.555535E-002            NaN            NaN            NaN
  1353.01        500.000        99.2579                 NaN            NaN  0.212028       0.271352                 NaN            NaN  0.253390       0.529826E-002            NaN            NaN            NaN
  1351.50        500.000        99.2708                 NaN            NaN  0.207811       0.267628                 NaN            NaN  0.248685       0.504807E-002            NaN            NaN            NaN
  1350.00        500.000        99.2823                 NaN            NaN  0.203972       0.264269                 NaN            NaN  0.244671       0.483687E-002            NaN            NaN            NaN
  1348.50        500.000        99.2943                 NaN            NaN  0.260931       0.199856                 NaN            NaN  0.240335       0.459614E-002            NaN            NaN            NaN
  1347.00        500.000        99.3058                 NaN            NaN  0.257680       0.196000                 NaN            NaN  0.236201       0.435844E-002            NaN            NaN            NaN
  1345.50        500.000        99.3166                 NaN            NaN  0.254661       0.192248                 NaN            NaN  0.232328       0.414468E-002            NaN            NaN            NaN
  1343.99        500.000        99.3274                 NaN            NaN  0.251437       0.188812                 NaN            NaN  0.228424       0.392995E-002            NaN            NaN            NaN
  1342.49        500.000        99.3382                 NaN            NaN  0.248658       0.184857                 NaN            NaN  0.224553       0.370554E-002            NaN            NaN            NaN
  1340.99        500.000        99.3485                 NaN            NaN  0.181287       0.245872                 NaN            NaN  0.220891       0.349711E-002            NaN            NaN            NaN
  1339.49        500.000        99.3584                 NaN            NaN  0.177822       0.243196                 NaN            NaN  0.217270       0.327275E-002            NaN            NaN            NaN
  1337.98        500.000        99.3685                 NaN            NaN  0.240449       0.174323                 NaN            NaN  0.213665       0.307292E-002            NaN            NaN            NaN
  1336.48        500.000        99.3774                 NaN            NaN  0.237971       0.171265                 NaN            NaN  0.210470       0.289158E-002            NaN            NaN            NaN
  1334.98        500.000        99.3868                 NaN            NaN  0.235862       0.167611                 NaN            NaN  0.207098       0.263849E-002            NaN            NaN            NaN
  1333.48        500.000        99.3977                 NaN            NaN  0.164122       0.232681                 NaN            NaN  0.203060       0.245699E-002            NaN            NaN            NaN
  1331.98        500.000        99.4054                 NaN            NaN  0.161352       0.230599                 NaN            NaN  0.200369       0.229224E-002            NaN            NaN            NaN
  1330.47        500.000        99.4142                 NaN            NaN  0.158120       0.228422                 NaN            NaN  0.197207       0.208896E-002            NaN            NaN            NaN
  1328.97        500.000        99.4224                 NaN            NaN  0.226096       0.155311                 NaN            NaN  0.194306       0.192695E-002            NaN            NaN            NaN
  1327.47        500.000        99.4314                 NaN            NaN  0.224049       0.151946                 NaN            NaN  0.190928       0.169426E-002            NaN            NaN            NaN
  1325.97        500.000        99.4388                 NaN            NaN  0.222031       0.149385                 NaN            NaN  0.188262       0.152399E-002            NaN            NaN            NaN
  1324.47        500.000        99.4472                 NaN            NaN  0.219945       0.146278                 NaN            NaN  0.185207       0.133983E-002            NaN            NaN            NaN
  1322.96        500.000        99.4550                 NaN            NaN  0.218057       0.143312                 NaN            NaN  0.182420       0.116139E-002            NaN            NaN            NaN
  1321.46        500.000        99.4625                 NaN            NaN  0.140591       0.216189                 NaN            NaN  0.179696       0.994011E-003            NaN            NaN            NaN
  1319.96        500.000        99.4699                 NaN            NaN  0.214387       0.137814                 NaN            NaN  0.177051       0.826227E-003            NaN            NaN            NaN
  1318.46        500.000        99.4771                 NaN            NaN  0.135122       0.212769                 NaN            NaN  0.174408       0.633317E-003            NaN            NaN            NaN
  1316.95        500.000        99.4842                 NaN            NaN  0.132489       0.211015                 NaN            NaN  0.171824       0.469848E-003            NaN            NaN            NaN
  1315.45        500.000        99.4909                 NaN            NaN  0.129816       0.209626                 NaN            NaN  0.169403       0.289769E-003            NaN            NaN            NaN
  1313.95        500.000        99.4979                 NaN            NaN  0.127273       0.207857                 NaN            NaN  0.166834       0.128711E-003            NaN            NaN            NaN
  1312.45        500.000        99.5042                 NaN            NaN  0.204864       0.125730                 NaN            NaN  0.164905       0.276738E-003            NaN            NaN            NaN
  1310.95        500.000        99.5110                 NaN            NaN  0.123001       0.203734                 NaN            NaN  0.162289                 NaN            NaN            NaN            NaN
  1309.44        500.000        99.5172                 NaN            NaN  0.200995       0.121318                 NaN            NaN  0.160355       0.120488E-003            NaN            NaN            NaN
  1307.94        500.000        99.5233                 NaN            NaN  0.187615       0.126284                 NaN            NaN  0.160586       0.220165E-002            NaN            NaN            NaN
  1306.44        500.000        99.5296                 NaN            NaN  0.117161       0.197137                 NaN            NaN  0.156086                 NaN            NaN            NaN            NaN
  1304.94        500.000        99.5354                 NaN            NaN  0.115497       0.194955                 NaN            NaN  0.154109                 NaN            NaN            NaN            NaN
  1303.44        500.000        99.5416                 NaN            NaN  0.113576       0.192811                 NaN            NaN  0.151999                 NaN            NaN            NaN            NaN
  1301.93        500.000        99.5475                 NaN            NaN  0.111577       0.190842                 NaN            NaN  0.150105                 NaN            NaN            NaN            NaN
  1300.43        500.000        99.5532                 NaN            NaN  0.110115       0.188558                 NaN            NaN  0.148094                 NaN            NaN            NaN            NaN
  1298.93        500.000        99.5588                 NaN            NaN  0.108359       0.186616                 NaN            NaN  0.146255                 NaN            NaN            NaN            NaN
  1297.43        500.000        99.5643                 NaN            NaN  0.184814       0.106448                 NaN            NaN  0.144430                 NaN            NaN            NaN            NaN
  1295.92        500.000        99.5695                 NaN            NaN  0.183056       0.104716                 NaN            NaN  0.142710                 NaN            NaN            NaN            NaN
  1294.42        500.000        99.5750                 NaN            NaN  0.102958       0.181134                 NaN            NaN  0.140873                 NaN            NaN            NaN            NaN
  1292.92        500.000        99.5805                 NaN            NaN  0.178864       0.101615                 NaN            NaN  0.138991                 NaN            NaN            NaN            NaN
  1291.42        500.000        99.5853                 NaN            NaN  0.177391       0.999542E-001            NaN            NaN  0.137381                 NaN            NaN            NaN            NaN
  1289.92        500.000        99.5905                 NaN            NaN  0.175424       0.984449E-001            NaN            NaN  0.135647                 NaN            NaN            NaN            NaN
  1288.41        500.000        99.5954                 NaN            NaN  0.967430E-001  0.173803                 NaN            NaN  0.134005                 NaN            NaN            NaN            NaN
  1286.91        500.000        99.6002                 NaN            NaN  0.952645E-001  0.172133                 NaN            NaN  0.132432                 NaN            NaN            NaN            NaN
  1285.41        500.000        99.6045                 NaN            NaN  0.170600       0.938693E-001            NaN            NaN  0.130986                 NaN            NaN            NaN            NaN
