|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m5/K22/K22_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q             
  1555.80        500.000        99.2559       0.721316       0.227344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.30        500.000        99.2583       0.741708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000        99.2691       0.655782       0.751127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.29        500.000        99.2772       0.722799                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        500.000        99.2772       0.722832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.29        500.000        99.2852       0.703076       0.117559E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        500.000        99.2919       0.677851       0.302682E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.28        500.000        99.2947       0.705309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        500.000        99.3018       0.686233       0.119680E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.28        500.000        99.3051       0.694881                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.78        500.000        99.3148       0.685241                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.27        500.000        99.3170       0.683034                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.77        500.000        99.3243       0.675668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.27        500.000        99.3266       0.673380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.77        500.000        99.3329       0.667116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.27        500.000        99.2691       0.730855                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        500.000        99.6385       0.361535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.26        500.000        99.1186       0.881394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        500.000        99.3436       0.656427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.26        500.000        99.3669       0.609896       0.232002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.75        500.000        99.3674       0.632576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.25        500.000        99.3705       0.629515                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.75        500.000        99.3742       0.625820                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.25        500.000        99.3769       0.623144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        500.000        99.3824       0.617633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.24        500.000        99.3836       0.616403                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        500.000        99.3939       0.606121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.24        500.000        99.3939       0.606047       0.691555E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        500.000        99.4045       0.595461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.23        500.000        99.3971       0.602917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.73        500.000        99.4090       0.590988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.23        500.000        99.4101       0.589863                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.73        500.000        99.4144       0.585605                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.23        500.000        99.3977       0.494644                 NaN  0.107637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000        99.2816       0.456988E-002            NaN  0.713866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.22        500.000        99.2843                 NaN            NaN  0.715690                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.72        500.000        99.2904       0.343802E-001            NaN  0.675253                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.22        500.000        99.2837                 NaN            NaN  0.716266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.72        500.000        99.2913       0.578492E-001            NaN  0.650814                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.21        500.000        99.2909       0.331923E-001            NaN  0.675876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000        99.2916                 NaN            NaN  0.708419                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.21        500.000        99.2894                 NaN            NaN  0.710608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.71        500.000        99.2924       0.157478E-002            NaN  0.706029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.20        500.000        99.2907                 NaN            NaN  0.709316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.70        500.000        99.2900                 NaN            NaN  0.709995                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.20        500.000        99.2892                 NaN            NaN  0.710814                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.70        500.000        99.2866                 NaN            NaN  0.713420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.20        500.000        99.2841                 NaN            NaN  0.715911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.69        500.000        99.2775                 NaN            NaN  0.722496                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.19        500.000        99.2637                 NaN            NaN  0.720447       0.158586E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        500.000        98.8498                 NaN            NaN  0.506455       0.643734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.19        500.000        98.8228                 NaN            NaN  0.479606       0.697634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.69        500.000        98.8347                 NaN            NaN  0.691567       0.473687                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.18        500.000        98.8522                 NaN            NaN  0.681901       0.465884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.68        500.000        98.8632                 NaN            NaN  0.461092       0.675715                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.18        500.000        98.8753                 NaN            NaN  0.669161       0.455507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.68        500.000        98.8889                 NaN            NaN  0.449762       0.661368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.17        500.000        98.8959                 NaN            NaN  0.444870       0.659265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.67        500.000        98.9140                 NaN            NaN  0.439400       0.646584                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.17        500.000        98.9284                 NaN            NaN  0.639871       0.431723                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.67        500.000        98.9380                 NaN            NaN  0.427223       0.634748                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.17        500.000        98.9471                 NaN            NaN  0.630838       0.422111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.66        500.000        98.9610                 NaN            NaN  0.622372       0.416658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.16        500.000        98.9708                 NaN            NaN  0.617452       0.411741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.66        500.000        98.9817                 NaN            NaN  0.406630       0.611661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.16        500.000        99.7086                 NaN            NaN  0.124071       0.167339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.66        500.000        98.2880                 NaN            NaN   1.03690       0.675106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.15        500.000        99.0139                 NaN            NaN  0.392597       0.593463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.65        500.000        99.0237                 NaN            NaN  0.387814       0.588486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.15        500.000        99.0326                 NaN            NaN  0.583974       0.383453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.65        500.000        99.0425                 NaN            NaN  0.578580       0.378910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.14        500.000        99.0526                 NaN            NaN  0.374735       0.572689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.64        500.000        99.0626                 NaN            NaN  0.567083       0.370322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.14        500.000        99.0705                 NaN            NaN  0.563181       0.366351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.64        500.000        99.0811                 NaN            NaN  0.361774       0.557133                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.14        500.000        98.1797                 NaN            NaN  0.755722       0.694621                 NaN            NaN  0.369951                 NaN            NaN            NaN            NaN
  1441.63        500.000        97.0445                 NaN            NaN   1.25243       0.860923                 NaN            NaN  0.842159                 NaN            NaN            NaN            NaN
  1440.13        500.000        97.1303                 NaN            NaN  0.837769        1.21401                 NaN            NaN  0.817927                 NaN            NaN            NaN            NaN
  1438.63        500.000        97.2036                 NaN            NaN   1.18218       0.816542                 NaN            NaN  0.797706                 NaN            NaN            NaN            NaN
  1437.13        500.000        97.2732                 NaN            NaN  0.796332        1.15198                 NaN            NaN  0.778460                 NaN            NaN            NaN            NaN
  1435.63        500.000        97.3478                 NaN            NaN   1.11982       0.774563                 NaN            NaN  0.757831                 NaN            NaN            NaN            NaN
  1434.12        500.000        97.4102                 NaN            NaN  0.757362        1.09207                 NaN            NaN  0.740367                 NaN            NaN            NaN            NaN
  1432.62        500.000        97.4751                 NaN            NaN   1.06473       0.737899                 NaN            NaN  0.722235                 NaN            NaN            NaN            NaN
  1431.12        500.000        97.1494                 NaN            NaN  0.893606        1.02817                 NaN            NaN  0.841561       0.872461E-001            NaN            NaN            NaN
  1429.62        500.000        97.1934                 NaN            NaN  0.888020       0.990418                 NaN            NaN  0.832158       0.959784E-001            NaN            NaN            NaN
  1428.11        500.000        97.2852                 NaN            NaN  0.859108       0.957843                 NaN            NaN  0.805645       0.921694E-001            NaN            NaN            NaN
  1426.61        500.000        97.3742                 NaN            NaN  0.831035       0.926820                 NaN            NaN  0.779529       0.884410E-001            NaN            NaN            NaN
  1425.11        500.000        97.4560                 NaN            NaN  0.805000       0.898226                 NaN            NaN  0.755776       0.850094E-001            NaN            NaN            NaN
  1423.61        500.000        97.5358                 NaN            NaN  0.779542       0.870338                 NaN            NaN  0.732451       0.818272E-001            NaN            NaN            NaN
  1422.11        500.000        97.6099                 NaN            NaN  0.844438       0.756191                 NaN            NaN  0.710719       0.787336E-001            NaN            NaN            NaN
  1420.60        500.000        97.6799                 NaN            NaN  0.820249       0.733769                 NaN            NaN  0.690279       0.757689E-001            NaN            NaN            NaN
  1419.10        500.000        97.7433                 NaN            NaN  0.713435       0.798117                 NaN            NaN  0.671847       0.732662E-001            NaN            NaN            NaN
  1417.60        500.000        97.8125                 NaN            NaN  0.691645       0.774044                 NaN            NaN  0.651411       0.703766E-001            NaN            NaN            NaN
  1416.10        500.000        97.8715                 NaN            NaN  0.672506       0.753728                 NaN            NaN  0.634046       0.681724E-001            NaN            NaN            NaN
  1414.59        500.000        97.9282                 NaN            NaN  0.733696       0.654900                 NaN            NaN  0.617463       0.657141E-001            NaN            NaN            NaN
  1413.09        500.000        97.9839                 NaN            NaN  0.714278       0.637495                 NaN            NaN  0.600971       0.633075E-001            NaN            NaN            NaN
  1411.59        500.000        98.0369                 NaN            NaN  0.620131       0.696610                 NaN            NaN  0.585309       0.610475E-001            NaN            NaN            NaN
  1410.09        500.000        98.0846                 NaN            NaN  0.679730       0.604911                 NaN            NaN  0.571484       0.592367E-001            NaN            NaN            NaN
  1408.59        500.000        98.1346                 NaN            NaN  0.662900       0.588809                 NaN            NaN  0.556495       0.571828E-001            NaN            NaN            NaN
  1407.08        500.000        98.1803                 NaN            NaN  0.647693       0.573825                 NaN            NaN  0.542949       0.552089E-001            NaN            NaN            NaN
  1405.58        500.000        98.2236                 NaN            NaN  0.560167       0.632672                 NaN            NaN  0.530138       0.534025E-001            NaN            NaN            NaN
  1404.08        500.000        98.2667                 NaN            NaN  0.546018       0.618381                 NaN            NaN  0.517334       0.515769E-001            NaN            NaN            NaN
  1402.58        500.000        98.3067                 NaN            NaN  0.533146       0.604821                 NaN            NaN  0.505484       0.498926E-001            NaN            NaN            NaN
  1401.08        500.000        98.3454                 NaN            NaN  0.520691       0.591842                 NaN            NaN  0.493901       0.481957E-001            NaN            NaN            NaN
  1399.57        500.000        98.3806                 NaN            NaN  0.579996       0.509159                 NaN            NaN  0.483483       0.467837E-001            NaN            NaN            NaN
  1398.07        500.000        98.4221                 NaN            NaN  0.495693       0.566084                 NaN            NaN  0.471027       0.450868E-001            NaN            NaN            NaN
  1396.57        500.000        98.4540                 NaN            NaN  0.555419       0.485297                 NaN            NaN  0.461577       0.437493E-001            NaN            NaN            NaN
  1395.07        500.000        98.4876                 NaN            NaN  0.474426       0.544146                 NaN            NaN  0.451480       0.423394E-001            NaN            NaN            NaN
  1393.56        500.000        98.5201                 NaN            NaN  0.463770       0.533309                 NaN            NaN  0.441849       0.410004E-001            NaN            NaN            NaN
  1392.06        500.000        98.5510                 NaN            NaN  0.453604       0.523416                 NaN            NaN  0.432428       0.395911E-001            NaN            NaN            NaN
  1390.56        500.000        98.5805                 NaN            NaN  0.443910       0.513562                 NaN            NaN  0.423638       0.383847E-001            NaN            NaN            NaN
  1389.06        500.000        98.6114                 NaN            NaN  0.503114       0.433836                 NaN            NaN  0.414405       0.372180E-001            NaN            NaN            NaN
  1387.56        500.000        98.6391                 NaN            NaN  0.493915       0.424991                 NaN            NaN  0.406014       0.359648E-001            NaN            NaN            NaN
  1386.05        500.000        98.6657                 NaN            NaN  0.416037       0.485257                 NaN            NaN  0.398105       0.349173E-001            NaN            NaN            NaN
  1384.55        500.000        98.6920                 NaN            NaN  0.407637       0.476611                 NaN            NaN  0.390044       0.337010E-001            NaN            NaN            NaN
  1383.05        500.000        98.7170                 NaN            NaN  0.469037       0.398948                 NaN            NaN  0.382547       0.324202E-001            NaN            NaN            NaN
  1381.55        500.000        98.7428                 NaN            NaN  0.460485       0.390541                 NaN            NaN  0.374643       0.314939E-001            NaN            NaN            NaN
  1380.05        500.000        98.7678                 NaN            NaN  0.382150       0.452496                 NaN            NaN  0.367126       0.304318E-001            NaN            NaN            NaN
  1378.54        500.000        98.7897                 NaN            NaN  0.374971       0.445297                 NaN            NaN  0.360532       0.294500E-001            NaN            NaN            NaN
  1377.04        500.000        98.8125                 NaN            NaN  0.367180       0.438190                 NaN            NaN  0.353614       0.284900E-001            NaN            NaN            NaN
  1375.54        500.000        98.8345                 NaN            NaN  0.431213       0.359825                 NaN            NaN  0.346954       0.275377E-001            NaN            NaN            NaN
  1374.04        500.000        98.8557                 NaN            NaN  0.424515       0.352779                 NaN            NaN  0.340472       0.265725E-001            NaN            NaN            NaN
  1372.53        500.000        98.8763                 NaN            NaN  0.345834       0.417999                 NaN            NaN  0.334222       0.256744E-001            NaN            NaN            NaN
  1371.03        500.000        98.8964                 NaN            NaN  0.338922       0.411818                 NaN            NaN  0.328107       0.247821E-001            NaN            NaN            NaN
  1369.53        500.000        98.9157                 NaN            NaN  0.405638       0.332437                 NaN            NaN  0.322247       0.240069E-001            NaN            NaN            NaN
  1368.03        500.000        98.9351                 NaN            NaN  0.325953       0.399613                 NaN            NaN  0.316260       0.230470E-001            NaN            NaN            NaN
  1366.53        500.000        98.9528                 NaN            NaN  0.394277       0.319863                 NaN            NaN  0.310875       0.221914E-001            NaN            NaN            NaN
  1365.02        500.000        98.9716                 NaN            NaN  0.388416       0.313464                 NaN            NaN  0.305068       0.214100E-001            NaN            NaN            NaN
  1363.52        500.000        98.9839                 NaN            NaN  0.384401       0.308919                 NaN            NaN  0.301796       0.209776E-001            NaN            NaN            NaN
  1362.02        500.000        99.0106                 NaN            NaN  0.299795       0.377167                 NaN            NaN  0.292908       0.195499E-001            NaN            NaN            NaN
  1360.52        500.000        99.0225                 NaN            NaN  0.372937       0.296057                 NaN            NaN  0.289473       0.190688E-001            NaN            NaN            NaN
  1359.02        500.000        99.0387                 NaN            NaN  0.367928       0.290462                 NaN            NaN  0.284594       0.183666E-001            NaN            NaN            NaN
  1357.51        500.000        99.0542                 NaN            NaN  0.285100       0.363343                 NaN            NaN  0.279744       0.176053E-001            NaN            NaN            NaN
  1356.01        500.000        99.0695                 NaN            NaN  0.358783       0.279801                 NaN            NaN  0.275019       0.168760E-001            NaN            NaN            NaN
  1354.51        500.000        99.0840                 NaN            NaN  0.274789       0.354414                 NaN            NaN  0.270571       0.161977E-001            NaN            NaN            NaN
  1353.01        500.000        99.0989                 NaN            NaN  0.269319       0.350287                 NaN            NaN  0.266051       0.154631E-001            NaN            NaN            NaN
  1351.50        500.000        99.1137                 NaN            NaN  0.264273       0.345879                 NaN            NaN  0.261352       0.147471E-001            NaN            NaN            NaN
  1350.00        500.000        99.1269                 NaN            NaN  0.259670       0.341940                 NaN            NaN  0.257367       0.141436E-001            NaN            NaN            NaN
  1348.50        500.000        99.1408                 NaN            NaN  0.338021       0.254722                 NaN            NaN  0.253034       0.134523E-001            NaN            NaN            NaN
  1347.00        500.000        99.1540                 NaN            NaN  0.334209       0.250083                 NaN            NaN  0.248905       0.127685E-001            NaN            NaN            NaN
  1345.50        500.000        99.1666                 NaN            NaN  0.330677       0.245565                 NaN            NaN  0.245041       0.121536E-001            NaN            NaN            NaN
  1343.99        500.000        99.1790                 NaN            NaN  0.326872       0.241439                 NaN            NaN  0.241134       0.115345E-001            NaN            NaN            NaN
  1342.49        500.000        99.1916                 NaN            NaN  0.323627       0.236634                 NaN            NaN  0.237255       0.108858E-001            NaN            NaN            NaN
  1340.99        500.000        99.2034                 NaN            NaN  0.232313       0.320375                 NaN            NaN  0.233587       0.102828E-001            NaN            NaN            NaN
  1339.49        500.000        99.2150                 NaN            NaN  0.228123       0.317252                 NaN            NaN  0.229954       0.963170E-002            NaN            NaN            NaN
  1337.98        500.000        99.2267                 NaN            NaN  0.314018       0.223871                 NaN            NaN  0.226330       0.905165E-002            NaN            NaN            NaN
  1336.48        500.000        99.2370                 NaN            NaN  0.311118       0.220180                 NaN            NaN  0.223133       0.852498E-002            NaN            NaN            NaN
  1334.98        500.000        99.2480                 NaN            NaN  0.308768       0.215721                 NaN            NaN  0.219741       0.778560E-002            NaN            NaN            NaN
  1333.48        500.000        99.2608                 NaN            NaN  0.211436       0.304891                 NaN            NaN  0.215634       0.725633E-002            NaN            NaN            NaN
  1331.98        500.000        99.2697                 NaN            NaN  0.208086       0.302499                 NaN            NaN  0.212950       0.677556E-002            NaN            NaN            NaN
  1330.47        500.000        99.2800                 NaN            NaN  0.204125       0.299980                 NaN            NaN  0.209759       0.617992E-002            NaN            NaN            NaN
  1328.97        500.000        99.2895                 NaN            NaN  0.297237       0.200693                 NaN            NaN  0.206839       0.570544E-002            NaN            NaN            NaN
  1327.47        500.000        99.3001                 NaN            NaN  0.294877       0.196561                 NaN            NaN  0.203405       0.502068E-002            NaN            NaN            NaN
  1325.97        500.000        99.3088                 NaN            NaN  0.292536       0.193452                 NaN            NaN  0.200722       0.451985E-002            NaN            NaN            NaN
  1324.47        500.000        99.3187                 NaN            NaN  0.290100       0.189624                 NaN            NaN  0.197620       0.397691E-002            NaN            NaN            NaN
  1322.96        500.000        99.3279                 NaN            NaN  0.287907       0.185968                 NaN            NaN  0.194796       0.345008E-002            NaN            NaN            NaN
  1321.46        500.000        99.3367                 NaN            NaN  0.182616       0.285735                 NaN            NaN  0.192033       0.295523E-002            NaN            NaN            NaN
  1319.96        500.000        99.3453                 NaN            NaN  0.283656       0.179188                 NaN            NaN  0.189350       0.245837E-002            NaN            NaN            NaN
  1318.46        500.000        99.3538                 NaN            NaN  0.175868       0.281819                 NaN            NaN  0.186663       0.188587E-002            NaN            NaN            NaN
  1316.95        500.000        99.3622                 NaN            NaN  0.172609       0.279778                 NaN            NaN  0.184035       0.140020E-002            NaN            NaN            NaN
  1315.45        500.000        99.3700                 NaN            NaN  0.169289       0.278235                 NaN            NaN  0.181576       0.864214E-003            NaN            NaN            NaN
  1313.95        500.000        99.3784                 NaN            NaN  0.166137       0.276157                 NaN            NaN  0.178953       0.384168E-003            NaN            NaN            NaN
  1312.45        500.000        99.3854                 NaN            NaN  0.272457       0.164288                 NaN            NaN  0.177011       0.826617E-003            NaN            NaN            NaN
  1310.95        500.000        99.3936                 NaN            NaN  0.160884       0.271235                 NaN            NaN  0.174330                 NaN            NaN            NaN            NaN
  1309.44        500.000        99.4006                 NaN            NaN  0.267848       0.158832                 NaN            NaN  0.172375       0.360444E-003            NaN            NaN            NaN
  1307.94        500.000        99.4049                 NaN            NaN  0.250289       0.165506                 NaN            NaN  0.172747       0.659132E-002            NaN            NaN            NaN
  1306.44        500.000        99.4150                 NaN            NaN  0.153702       0.263241                 NaN            NaN  0.168030                 NaN            NaN            NaN            NaN
  1304.94        500.000        99.4217                 NaN            NaN  0.151664       0.260610                 NaN            NaN  0.166018                 NaN            NaN            NaN            NaN
  1303.44        500.000        99.4289                 NaN            NaN  0.149271       0.257953                 NaN            NaN  0.163859                 NaN            NaN            NaN            NaN
  1301.93        500.000        99.4357                 NaN            NaN  0.146781       0.255567                 NaN            NaN  0.161930                 NaN            NaN            NaN            NaN
  1300.43        500.000        99.4424                 NaN            NaN  0.144984       0.252718                 NaN            NaN  0.159870                 NaN            NaN            NaN            NaN
  1298.93        500.000        99.4488                 NaN            NaN  0.142825       0.250397                 NaN            NaN  0.157994                 NaN            NaN            NaN            NaN
  1297.43        500.000        99.4552                 NaN            NaN  0.248198       0.140431                 NaN            NaN  0.156129                 NaN            NaN            NaN            NaN
  1295.92        500.000        99.4612                 NaN            NaN  0.246093       0.138287                 NaN            NaN  0.154374                 NaN            NaN            NaN            NaN
  1294.42        500.000        99.4677                 NaN            NaN  0.136083       0.243721                 NaN            NaN  0.152490                 NaN            NaN            NaN            NaN
  1292.92        500.000        99.4742                 NaN            NaN  0.240867       0.134406                 NaN            NaN  0.150554                 NaN            NaN            NaN            NaN
  1291.42        500.000        99.4796                 NaN            NaN  0.239138       0.132353                 NaN            NaN  0.148908                 NaN            NaN            NaN            NaN
  1289.92        500.000        99.4857                 NaN            NaN  0.236672       0.130471                 NaN            NaN  0.147126                 NaN            NaN            NaN            NaN
  1288.41        500.000        99.4915                 NaN            NaN  0.128341       0.234712                 NaN            NaN  0.145441                 NaN            NaN            NaN            NaN
  1286.91        500.000        99.4970                 NaN            NaN  0.126501       0.232681                 NaN            NaN  0.143827                 NaN            NaN            NaN            NaN
  1285.41        500.000        99.5020                 NaN            NaN  0.230843       0.124776                 NaN            NaN  0.142350                 NaN            NaN            NaN            NaN
