|6.6.6
Archiving\03_Data\frac/QFM_m4/EETA/EETA_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       pxmn           Ni             Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1877.19        2500.00        99.2072                 NaN            NaN  0.781632       0.111960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.2071                 NaN            NaN  0.781688       0.111961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.2071                 NaN            NaN  0.781745       0.111961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.2070                 NaN            NaN  0.781801       0.111961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.2069                 NaN            NaN  0.781857       0.111962E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.2069                 NaN            NaN  0.781913       0.111962E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.2068                 NaN            NaN  0.781970       0.111963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.2068                 NaN            NaN  0.782026       0.111963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.2067                 NaN            NaN  0.782083       0.111964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.2067                 NaN            NaN  0.782149       0.111966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.2066                 NaN            NaN  0.782196       0.111965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.2066                 NaN            NaN  0.782252       0.111966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.2065                 NaN            NaN  0.782309       0.111966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.2064                 NaN            NaN  0.782365       0.111967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.2064                 NaN            NaN  0.782422       0.111967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.2063                 NaN            NaN  0.782479       0.111968E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.2063                 NaN            NaN  0.782535       0.111969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.2062                 NaN            NaN  0.782592       0.111969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.2062                 NaN            NaN  0.782649       0.111970E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.2061                 NaN            NaN  0.782706       0.111971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.2060                 NaN            NaN  0.782763       0.111971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.2060                 NaN            NaN  0.782820       0.111972E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.2059                 NaN            NaN  0.782877       0.111973E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.2059                 NaN            NaN  0.782934       0.111974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.2058                 NaN            NaN  0.782991       0.111974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.2058                 NaN            NaN  0.783048       0.111975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.2057                 NaN            NaN  0.783105       0.111976E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.2056                 NaN            NaN  0.783162       0.111977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.2056                 NaN            NaN  0.783219       0.111978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.2055                 NaN            NaN  0.783276       0.111978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.2055                 NaN            NaN  0.783334       0.111979E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.2054                 NaN            NaN  0.783391       0.111980E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.2054                 NaN            NaN  0.783448       0.111981E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.2053                 NaN            NaN  0.783506       0.111982E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.2052                 NaN            NaN  0.783563       0.111983E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.2052                 NaN            NaN  0.783620       0.111984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.2051                 NaN            NaN  0.783678       0.111985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.2051                 NaN            NaN  0.783735       0.111986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.2050                 NaN            NaN  0.783793       0.111987E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.2050                 NaN            NaN  0.783851       0.111988E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.2049                 NaN            NaN  0.783908       0.111989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.2048                 NaN            NaN  0.783966       0.111990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.2048                 NaN            NaN  0.784024       0.111991E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.2047                 NaN            NaN  0.784081       0.111992E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.2047                 NaN            NaN  0.784139       0.111993E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.2046                 NaN            NaN  0.784197       0.111994E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.2045                 NaN            NaN  0.784255       0.111995E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.2045                 NaN            NaN  0.784313       0.111996E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.2044                 NaN            NaN  0.784371       0.111997E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.2044                 NaN            NaN  0.784428       0.111998E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.2043                 NaN            NaN  0.784486       0.111999E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.2043                 NaN            NaN  0.784544       0.112000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.2042                 NaN            NaN  0.784603       0.112001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.2041                 NaN            NaN  0.784660       0.112002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.2041                 NaN            NaN  0.784719       0.112004E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.2040                 NaN            NaN  0.784777       0.112005E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.2040                 NaN            NaN  0.784835       0.112006E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.2039                 NaN            NaN  0.784893       0.112007E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.2038                 NaN            NaN  0.784952       0.112009E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.2038                 NaN            NaN  0.785010       0.112010E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.2037                 NaN            NaN  0.785068       0.112011E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.2037                 NaN            NaN  0.785127       0.112012E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.2036                 NaN            NaN  0.785185       0.112014E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.2036                 NaN            NaN  0.785243       0.112015E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.2035                 NaN            NaN  0.785302       0.112016E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.2034                 NaN            NaN  0.785360       0.112018E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.2034                 NaN            NaN  0.785419       0.112019E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.2033                 NaN            NaN  0.785477       0.112020E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.2033                 NaN            NaN  0.785536       0.112022E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.2032                 NaN            NaN  0.785603       0.112024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.2031                 NaN            NaN  0.785653       0.112024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.2031                 NaN            NaN  0.785712       0.112026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.2030                 NaN            NaN  0.785771       0.112027E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.2030                 NaN            NaN  0.785830       0.112029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.2029                 NaN            NaN  0.785888       0.112030E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.2028                 NaN            NaN  0.785947       0.112031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.2028                 NaN            NaN  0.786006       0.112033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.2027                 NaN            NaN  0.786065       0.112034E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.2027                 NaN            NaN  0.786124       0.112036E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.2026                 NaN            NaN  0.786183       0.112037E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.2026                 NaN            NaN  0.786242       0.112039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.2025                 NaN            NaN  0.786301       0.112040E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.2024                 NaN            NaN  0.786359       0.112042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.2024                 NaN            NaN  0.786419       0.112043E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.2023                 NaN            NaN  0.786478       0.112045E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.2023                 NaN            NaN  0.786537       0.112047E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.2022                 NaN            NaN  0.786585       0.112047E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.2021                 NaN            NaN  0.786656       0.112050E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.2021                 NaN            NaN  0.786701       0.112049E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.1946                 NaN            NaN  0.786786       0.112055E-001  0.740997E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.1938                 NaN            NaN  0.786915       0.112066E-001  0.811274E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.2017                 NaN            NaN  0.787004       0.112072E-001  0.439339E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.1857                 NaN            NaN  0.787122       0.112082E-001  0.159792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.1936                 NaN            NaN  0.787319       0.112103E-001  0.788568E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.1935                 NaN            NaN  0.787452       0.112116E-001  0.784603E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.1934                 NaN            NaN  0.787585       0.112128E-001  0.777644E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.1934                 NaN            NaN  0.787717       0.112140E-001  0.770645E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        99.1933                 NaN            NaN  0.787849       0.112152E-001  0.764386E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        99.1932                 NaN            NaN  0.787980       0.112164E-001  0.758151E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        99.1931                 NaN            NaN  0.788110       0.112175E-001  0.752434E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.8086                 NaN            NaN  0.788355       0.106978E-001  0.794189E-002  0.384400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        99.9925                 NaN            NaN            NaN            NaN  0.752142E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        99.4805                 NaN            NaN            NaN            NaN  0.800328E-002  0.511534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        99.4271                 NaN            NaN            NaN            NaN  0.808432E-002  0.564775                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        99.3841                 NaN            NaN            NaN            NaN  0.877660E-002  0.607076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        99.4921                 NaN            NaN            NaN            NaN  0.721996E-002  0.500671                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        99.4386                 NaN            NaN            NaN            NaN  0.800421E-002  0.553416                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        99.4471                 NaN            NaN            NaN            NaN  0.786870E-002  0.545053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        99.4466                 NaN            NaN            NaN            NaN  0.790630E-002  0.545507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        99.5067                 NaN            NaN            NaN            NaN  0.804086E-002  0.485264                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        99.3975                 NaN            NaN            NaN            NaN  0.757791E-002  0.594908                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        99.4565                 NaN            NaN            NaN            NaN  0.777668E-002  0.535679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        99.4613                 NaN            NaN            NaN            NaN  0.770841E-002  0.530969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        99.4635                 NaN            NaN            NaN            NaN  0.769449E-002  0.528766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        99.4295                 NaN            NaN            NaN            NaN  0.687672E-002  0.500726       0.628679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.8411                 NaN            NaN            NaN            NaN            NaN  0.124980        1.03390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.5150                 NaN            NaN            NaN            NaN            NaN  0.135865        1.34918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        99.2036                 NaN            NaN            NaN            NaN            NaN  0.837439E-001  0.712616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.8888                 NaN            NaN            NaN            NaN            NaN  0.115299       0.995942                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.9013                 NaN            NaN            NaN            NaN            NaN  0.112084       0.986587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.9251                 NaN            NaN            NaN            NaN            NaN  0.110754       0.964101                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.9341                 NaN            NaN            NaN            NaN            NaN  0.108677       0.957187                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9533                 NaN            NaN            NaN            NaN            NaN  0.107023       0.939702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9658                 NaN            NaN            NaN            NaN            NaN  0.105288       0.928880                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.9764                 NaN            NaN            NaN            NaN            NaN  0.100010       0.923598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
