|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.75/TIS/TIS_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             ilm            San(TH)        San(TH)        q             
  1355.77        500.000        99.0946       0.388473       0.757434E-001            NaN            NaN  0.175344       0.265890                 NaN            NaN            NaN            NaN
  1354.70        500.000        99.0951       0.390087       0.732040E-001            NaN            NaN  0.175787       0.265774                 NaN            NaN            NaN            NaN
  1353.63        500.000        99.1180       0.668659E-001  0.382190                 NaN            NaN  0.174154       0.258808                 NaN            NaN            NaN            NaN
  1352.56        500.000        99.0952       0.399558       0.548713E-001            NaN            NaN  0.181503       0.268854                 NaN            NaN            NaN            NaN
  1351.49        500.000        99.1654       0.457493E-001  0.371213                 NaN            NaN  0.173755       0.243883                 NaN            NaN            NaN            NaN
  1350.43        500.000        99.1344       0.380502       0.564390E-001            NaN            NaN  0.174742       0.253959                 NaN            NaN            NaN            NaN
  1349.36        500.000        99.1417       0.379196       0.529278E-001            NaN            NaN  0.174425       0.251745                 NaN            NaN            NaN            NaN
  1348.29        500.000        99.1492       0.503751E-001  0.376788                 NaN            NaN  0.174166       0.249482                 NaN            NaN            NaN            NaN
  1347.22        500.000        99.1564       0.468443E-001  0.375557                 NaN            NaN  0.173856       0.247311                 NaN            NaN            NaN            NaN
  1346.15        500.000        99.1615       0.374864       0.444960E-001            NaN            NaN  0.173519       0.245581                 NaN            NaN            NaN            NaN
  1345.08        500.000        99.1693       0.438850E-001  0.371659                 NaN            NaN  0.172003       0.243112                 NaN            NaN            NaN            NaN
  1344.02        500.000        99.1737       0.389238E-001  0.370873                 NaN            NaN  0.174034       0.242464                 NaN            NaN            NaN            NaN
  1342.95        500.000        99.1907       0.366203       0.359458E-001            NaN            NaN  0.170768       0.236348                 NaN            NaN            NaN            NaN
  1341.88        500.000        99.1901       0.339562E-001  0.368272                 NaN            NaN  0.170925       0.236697                 NaN            NaN            NaN            NaN
  1340.81        500.000        99.1971       0.366579       0.314851E-001            NaN            NaN  0.170292       0.234566                 NaN            NaN            NaN            NaN
  1339.74        500.000        99.2032       0.365543       0.288761E-001            NaN            NaN  0.169765       0.232576                 NaN            NaN            NaN            NaN
  1338.67        500.000        99.2103       0.363940       0.263706E-001            NaN            NaN  0.169003       0.230425                 NaN            NaN            NaN            NaN
  1337.61        500.000        99.2163       0.245446E-001  0.362601                 NaN            NaN  0.168089       0.228438                 NaN            NaN            NaN            NaN
  1336.54        500.000        99.2218       0.242959E-001  0.360759                 NaN            NaN  0.166629       0.226563                 NaN            NaN            NaN            NaN
  1335.47        500.000        99.2295       0.359632       0.172099E-001            NaN            NaN  0.168523       0.225115                 NaN            NaN            NaN            NaN
  1334.40        500.000        99.2353       0.226828E-001  0.356851                 NaN            NaN  0.163343       0.221860                 NaN            NaN            NaN            NaN
  1333.33        500.000        99.2413       0.176531E-001  0.356480                 NaN            NaN  0.164204       0.220405                 NaN            NaN            NaN            NaN
  1332.26        500.000        99.2281       0.270012E-001  0.359372                 NaN            NaN  0.161788       0.223693                 NaN            NaN            NaN            NaN
  1331.19        500.000        99.2647       0.350164       0.122843E-001            NaN            NaN  0.160355       0.212541                 NaN            NaN            NaN            NaN
  1330.13        500.000        99.2572       0.352325       0.146556E-001            NaN            NaN  0.160739       0.215060                 NaN            NaN            NaN            NaN
  1329.06        500.000        99.2637       0.350066       0.137300E-001            NaN            NaN  0.159446       0.213032                 NaN            NaN            NaN            NaN
  1327.99        500.000        99.2325       0.364876       0.128073E-001            NaN            NaN  0.167347       0.222444                 NaN            NaN            NaN            NaN
  1326.92        500.000        99.3275       0.324270       0.841333E-002            NaN            NaN  0.145795       0.193993                 NaN            NaN            NaN            NaN
  1325.85        500.000        99.2650       0.352864       0.121596E-001            NaN            NaN  0.158383       0.211592                 NaN            NaN            NaN            NaN
  1324.78        500.000        99.2857       0.921805E-002  0.344784                 NaN            NaN  0.154589       0.205734                 NaN            NaN            NaN            NaN
  1323.72        500.000        99.2898       0.107839E-001  0.342833                 NaN            NaN  0.152414       0.204134                 NaN            NaN            NaN            NaN
  1322.65        500.000        99.2910       0.585373E-002  0.344952                 NaN            NaN  0.154029       0.204207                 NaN            NaN            NaN            NaN
  1321.58        500.000        99.3048       0.113146E-001  0.337685                 NaN            NaN  0.147401       0.198770                 NaN            NaN            NaN            NaN
  1320.51        500.000        99.2308       0.128944       0.260247                 NaN            NaN  0.157870       0.222162                 NaN            NaN            NaN            NaN
  1319.44        500.000        99.3731       0.358470                 NaN            NaN            NaN  0.955454E-001  0.172905                 NaN            NaN            NaN            NaN
  1318.37        500.000        99.3054       0.775890E-001  0.302072                 NaN            NaN  0.119460       0.195481                 NaN            NaN            NaN            NaN
  1317.31        500.000        99.3201       0.338217                 NaN            NaN            NaN  0.147304       0.194420                 NaN            NaN            NaN            NaN
  1316.24        500.000        99.3190       0.305919       0.604853E-001            NaN            NaN  0.122676       0.191871                 NaN            NaN            NaN            NaN
  1315.17        500.000        99.3314       0.334496                 NaN            NaN            NaN  0.143713       0.190404                 NaN            NaN            NaN            NaN
  1314.10        500.000        99.3360       0.332219                 NaN            NaN            NaN  0.142825       0.188989                 NaN            NaN            NaN            NaN
  1313.03        500.000        99.3356       0.227784E-001  0.322396                 NaN            NaN  0.131347       0.187846                 NaN            NaN            NaN            NaN
  1311.96        500.000        99.3449       0.330944                 NaN            NaN            NaN  0.138368       0.185742                 NaN            NaN            NaN            NaN
  1310.90        500.000        99.3485       0.330969                 NaN            NaN            NaN  0.136168       0.184357                 NaN            NaN            NaN            NaN
  1309.83        500.000        99.3457       0.294325       0.667334E-001            NaN            NaN  0.110299       0.182893                 NaN            NaN            NaN            NaN
  1308.76        500.000        99.3546       0.327017                 NaN            NaN            NaN  0.136462       0.181945                 NaN            NaN            NaN            NaN
  1307.69        500.000        99.3625       0.325257                 NaN            NaN            NaN  0.132538       0.179663                 NaN            NaN            NaN            NaN
  1306.62        500.000        99.3661       0.325077                 NaN            NaN            NaN  0.130517       0.178355                 NaN            NaN            NaN            NaN
  1305.55        500.000        99.3699       0.323018                 NaN            NaN            NaN  0.129809       0.177227                 NaN            NaN            NaN            NaN
  1304.49        500.000        99.3749       0.321788                 NaN            NaN            NaN  0.127844       0.175455                 NaN            NaN            NaN            NaN
  1303.42        500.000        99.3782       0.323122                 NaN            NaN            NaN  0.124492       0.174224                 NaN            NaN            NaN            NaN
  1302.35        500.000        99.3828       0.322784                 NaN            NaN            NaN  0.122022       0.172412                 NaN            NaN            NaN            NaN
  1301.28        500.000        99.3859       0.322201                 NaN            NaN            NaN  0.120536       0.171373                 NaN            NaN            NaN            NaN
  1300.21        500.000        99.3900       0.320870                 NaN            NaN            NaN  0.119165       0.170013                 NaN            NaN            NaN            NaN
  1299.14        500.000        99.3935       0.320414                 NaN            NaN            NaN  0.117342       0.168746                 NaN            NaN            NaN            NaN
  1298.08        500.000        99.3947       0.311935       0.160376E-001            NaN            NaN  0.109812       0.167565                 NaN            NaN            NaN            NaN
  1297.01        500.000        99.3986       0.159771E-001  0.311284                 NaN            NaN  0.107906       0.166211                 NaN            NaN            NaN            NaN
  1295.94        500.000        99.4009       0.296659       0.376251E-001            NaN            NaN  0.999302E-001  0.164892                 NaN            NaN            NaN            NaN
  1294.87        500.000        99.3996       0.249587E-001  0.306943                 NaN            NaN  0.102634       0.165841                 NaN            NaN            NaN            NaN
  1293.80        500.000        99.4124       0.283626       0.518368E-001            NaN            NaN  0.916761E-001  0.160474                 NaN            NaN            NaN            NaN
  1292.73        500.000        99.4099       0.287920       0.500181E-001            NaN            NaN  0.908790E-001  0.161259                 NaN            NaN            NaN            NaN
  1291.67        500.000        99.4123       0.288459       0.491913E-001            NaN            NaN  0.895345E-001  0.160527                 NaN            NaN            NaN            NaN
  1290.60        500.000        99.4164       0.285495       0.528443E-001            NaN            NaN  0.863677E-001  0.158930                 NaN            NaN            NaN            NaN
  1289.53        500.000        99.4189       0.281255       0.585384E-001            NaN            NaN  0.833654E-001  0.157971                 NaN            NaN            NaN            NaN
  1288.46        500.000        99.4208       0.283228       0.570504E-001            NaN            NaN  0.816388E-001  0.157324                 NaN            NaN            NaN            NaN
  1287.39        500.000        99.4248       0.275273       0.672839E-001            NaN            NaN  0.770492E-001  0.155593                 NaN            NaN            NaN            NaN
  1286.32        500.000        99.4270       0.274240       0.685432E-001            NaN            NaN  0.752877E-001  0.154948                 NaN            NaN            NaN            NaN
  1285.26        500.000        99.4296       0.718254E-001  0.272262                 NaN            NaN  0.724655E-001  0.153887                 NaN            NaN            NaN            NaN
  1284.19        500.000        99.4319       0.265497       0.808120E-001            NaN            NaN  0.688054E-001  0.152941                 NaN            NaN            NaN            NaN
  1283.12        500.000        99.4347       0.264186       0.825010E-001            NaN            NaN  0.665789E-001  0.152008                 NaN            NaN            NaN            NaN
  1282.05        500.000        99.4367       0.906866E-001  0.258643                 NaN            NaN  0.628945E-001  0.151124                 NaN            NaN            NaN            NaN
  1280.98        500.000        99.4384       0.256459       0.945224E-001            NaN            NaN  0.601622E-001  0.150432                 NaN            NaN            NaN            NaN
  1279.91        500.000        99.4413       0.251658       0.100619                 NaN            NaN  0.570457E-001  0.149355                 NaN            NaN            NaN            NaN
  1278.84        500.000        99.4474       0.623031E-001  0.264106                 NaN            NaN  0.754666E-001  0.150694                 NaN            NaN            NaN            NaN
  1277.78        500.000        99.4196       0.230505       0.170604                 NaN            NaN  0.151168E-001  0.150328       0.138685E-001            NaN            NaN            NaN
  1276.71        500.000        99.4155       0.336885                 NaN            NaN            NaN  0.624446E-001  0.154462       0.307291E-001            NaN            NaN            NaN
  1275.64        500.000        95.0539        1.40096                 NaN            NaN            NaN  0.171439       0.645572       0.169902        2.55818                 NaN            NaN
  1274.57        500.000        92.4390        2.08488                 NaN            NaN            NaN  0.197639       0.937459       0.248164        4.09287                 NaN            NaN
  1273.50        500.000        92.9858        1.96803                 NaN            NaN            NaN  0.165593       0.873087       0.227319        3.78017                 NaN            NaN
  1272.43        500.000        93.4658        1.86051                 NaN            NaN            NaN  0.140415       0.816372       0.209362        3.50752                 NaN            NaN
  1271.37        500.000        93.8862        1.76215                 NaN            NaN            NaN  0.121212       0.766501       0.193957        3.26995                 NaN            NaN
  1270.30        500.000        94.2545        1.65842                 NaN            NaN            NaN  0.118744       0.722360       0.181515        3.06448                 NaN            NaN
  1269.23        500.000        94.5843        1.57559                 NaN            NaN            NaN  0.107470       0.682887       0.169774        2.87995                 NaN            NaN
  1268.16        500.000        94.8779        1.49890                 NaN            NaN            NaN  0.997834E-001  0.647538       0.159472        2.71643                 NaN            NaN
  1267.09        500.000        95.1429        1.42554                 NaN            NaN            NaN  0.958468E-001  0.615519       0.150434        2.56981                 NaN            NaN
  1266.02        500.000        95.3809        1.36537                 NaN            NaN            NaN  0.875530E-001  0.586665       0.141974        2.43749                 NaN            NaN
  1264.96        500.000        95.5998        1.29857                 NaN            NaN            NaN  0.890432E-001  0.559842       0.134834        2.31790                 NaN            NaN
  1263.89        500.000        95.7966        1.24728                 NaN            NaN            NaN  0.830703E-001  0.535809       0.127888        2.20938                 NaN            NaN
  1262.82        500.000        95.9780        1.19472                 NaN            NaN            NaN  0.817317E-001  0.513454       0.121783        2.11028                 NaN            NaN
  1261.75        500.000        96.1445        1.15116                 NaN            NaN            NaN  0.765293E-001  0.492889       0.115878        2.01904                 NaN            NaN
  1260.68        500.000        96.2993        1.10760                 NaN            NaN            NaN  0.739506E-001  0.473708       0.110536        1.93490                 NaN            NaN
  1259.61        500.000        96.4397        1.06256                 NaN            NaN            NaN  0.765315E-001  0.455934       0.106054        1.85917                 NaN            NaN
  1258.55        500.000        96.5739        1.03045                 NaN            NaN            NaN  0.692746E-001  0.439384       0.101030        1.78600                 NaN            NaN
  1257.48        500.000        96.6971       0.994000                 NaN            NaN            NaN  0.682529E-001  0.423619       0.969377E-001   1.72008                 NaN            NaN
  1256.41        500.000        96.8124       0.950200                 NaN            NaN            NaN  0.760649E-001  0.408895       0.934380E-001   1.65896                 NaN            NaN
  1255.34        500.000        96.9157       0.937177                 NaN            NaN            NaN  0.608344E-001  0.395896       0.889774E-001   1.60138                 NaN            NaN
  1254.27        500.000        97.0208       0.911028                 NaN            NaN            NaN  0.550342E-001  0.382508       0.851358E-001   1.54546                 NaN            NaN
  1253.20        500.000        97.1147       0.878046                 NaN            NaN            NaN  0.590644E-001  0.370368       0.821377E-001   1.49573                 NaN            NaN
  1252.14        500.000        97.2045       0.851567                 NaN            NaN            NaN  0.581067E-001  0.358671       0.790261E-001   1.44811                 NaN            NaN
  1251.07        500.000        97.2880       0.825227                 NaN            NaN            NaN  0.587933E-001  0.347750       0.762020E-001   1.40401                 NaN            NaN
  1250.00        500.000        97.3705       0.811250                 NaN            NaN            NaN  0.486006E-001  0.337195       0.727740E-001   1.35971                 NaN            NaN
  1248.93        500.000        97.4453       0.786220                 NaN            NaN            NaN  0.505081E-001  0.327222       0.702904E-001   1.32041                 NaN            NaN
  1247.86        500.000        97.5166       0.765491                 NaN            NaN            NaN  0.494052E-001  0.317824       0.677679E-001   1.28292                 NaN            NaN
  1246.79        500.000        97.5870       0.749158                 NaN            NaN            NaN  0.445333E-001  0.308620       0.650525E-001   1.24568                 NaN            NaN
  1245.73        500.000        97.6531       0.732724                 NaN            NaN            NaN  0.405242E-001  0.299924       0.625574E-001   1.21122                 NaN            NaN
  1244.66        500.000        97.7141       0.709328                 NaN            NaN            NaN  0.448672E-001  0.291482       0.606439E-001   1.17955                 NaN            NaN
  1243.59        500.000        97.7830       0.679002                 NaN            NaN            NaN  0.476120E-001  0.283035       0.587071E-001   1.14860                 NaN            NaN
  1242.52        500.000        97.8372       0.674916                 NaN            NaN            NaN  0.413907E-001  0.275962       0.557098E-001   1.11478                 NaN            NaN
  1241.45        500.000        97.8722       0.687731                 NaN            NaN            NaN  0.245770E-001  0.268488       0.542823E-001   1.09267                 NaN            NaN
  1240.38        500.000        97.9374       0.653044                 NaN            NaN            NaN  0.332311E-001  0.261407       0.521710E-001   1.06277                 NaN            NaN
  1239.32        500.000        97.9851       0.645486                 NaN            NaN            NaN  0.270225E-001  0.254947       0.501330E-001   1.03734                 NaN            NaN
  1238.25        500.000        98.0370       0.632151                 NaN            NaN            NaN  0.233162E-001  0.248113       0.481518E-001   1.01123                 NaN            NaN
  1237.18        500.000        98.0781       0.618933                 NaN            NaN            NaN  0.254969E-001  0.241969       0.467279E-001  0.988764                 NaN            NaN
  1236.11        500.000        98.1237       0.602352                 NaN            NaN            NaN  0.267212E-001  0.235753       0.452736E-001  0.966209                 NaN            NaN
  1235.04        500.000        98.1670       0.597113                 NaN            NaN            NaN  0.193617E-001  0.230045       0.432348E-001  0.943257                 NaN            NaN
  1233.97        500.000        98.2056       0.591263                 NaN            NaN            NaN  0.145702E-001  0.224524       0.416267E-001  0.922435                 NaN            NaN
  1232.90        500.000        98.2465       0.583893                 NaN            NaN            NaN  0.942732E-002  0.218981       0.399139E-001  0.901307                 NaN            NaN
  1231.84        500.000        98.2826       0.574081                 NaN            NaN            NaN  0.817998E-002  0.213895       0.385513E-001  0.882674                 NaN            NaN
  1230.77        500.000        98.3199       0.569217                 NaN            NaN            NaN  0.202764E-002  0.208946       0.368551E-001  0.863052                 NaN            NaN
  1229.70        500.000        98.3546       0.557369                 NaN            NaN            NaN  0.343071E-002  0.204224       0.354614E-001  0.844865                 NaN            NaN
  1228.63        500.000        98.3902       0.549508                 NaN            NaN            NaN  0.115823E-004  0.198999       0.343614E-001  0.826939                 NaN            NaN
  1227.56        500.000        98.4222       0.539615                 NaN            NaN            NaN  0.304008E-005  0.195089       0.328880E-001  0.810213                 NaN            NaN
  1226.49        500.000        98.4578       0.527981                 NaN            NaN            NaN  0.439041E-004  0.190631       0.314497E-001  0.792121                 NaN            NaN
  1225.43        500.000        98.4913       0.516336                 NaN            NaN            NaN            NaN  0.185825       0.304955E-001  0.776040                 NaN            NaN
  1224.36        500.000        98.5192       0.508454                 NaN            NaN            NaN  0.270794E-005  0.182237       0.291858E-001  0.760907                 NaN            NaN
  1223.29        500.000        98.5575       0.493421                 NaN            NaN            NaN  0.854904E-005  0.175177       0.290420E-001  0.744877                 NaN            NaN
  1222.22        500.000        98.5817       0.487372                 NaN            NaN            NaN            NaN  0.174282       0.269011E-001  0.729760                 NaN            NaN
  1221.15        500.000        98.6123       0.476581                 NaN            NaN            NaN  0.232384E-004  0.169200       0.262978E-001  0.715629                 NaN            NaN
  1220.08        500.000        98.6438       0.465123                 NaN            NaN            NaN            NaN  0.164811       0.254870E-001  0.700828                 NaN            NaN
  1219.02        500.000        98.6735       0.454490                 NaN            NaN            NaN  0.158728E-004  0.159797       0.249853E-001  0.687262                 NaN            NaN
  1217.95        500.000        98.6966       0.448021                 NaN            NaN            NaN            NaN  0.158600       0.231934E-001  0.673627                 NaN            NaN
  1216.88        500.000        98.7260       0.436903                 NaN            NaN            NaN            NaN  0.153130       0.230402E-001  0.660899                 NaN            NaN
  1215.81        500.000        96.0714       0.826017                 NaN            NaN            NaN            NaN  0.370923       0.403414E-001   1.60773                 NaN   1.08355     
  1214.74        500.000        80.9802        3.10414                 NaN            NaN            NaN            NaN   1.61009       0.139552        6.97296                 NaN   7.19310     
  1213.67        500.000        81.7405        3.00478                 NaN            NaN            NaN  0.111526E-001   1.54574       0.130018        6.66979                 NaN   6.89803     
  1212.61        500.000        72.7476        3.39707                 NaN            NaN            NaN  0.716702        2.32975       0.227046        10.2864                 NaN   10.2954     
  1211.54        500.000        94.9170       0.348221E-002            NaN            NaN            NaN  0.531070       0.452061       0.457502E-001   1.94512                 NaN   2.10551     
  1210.47        500.000        88.8856        2.14096                 NaN            NaN            NaN            NaN  0.843172       0.778234E-001   3.69060                 NaN   4.36180     
  1209.40        500.000        88.9387        1.70957       0.206016E-001            NaN            NaN            NaN  0.904629       0.891057E-001   4.09815                 NaN   4.23923     
  1208.33        500.000        90.2891       0.755830                 NaN            NaN            NaN  0.551630       0.838754       0.806158E-001   3.65489                 NaN   3.82922     
  1207.26        500.000        82.3100       0.565365        1.68058                 NaN            NaN  0.359990        1.44564       0.151185        6.58139                 NaN   6.90589     
  1206.20        500.000        33.4806        9.23446       0.261876E-004            NaN            NaN   1.20109        5.52079       0.462679        24.5640                 NaN   25.5363     
  1205.13        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1204.06        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1202.99        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.92        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1200.85        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1199.79        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1198.72        500.000       100.0000                 NaN            NaN            NaN            NaN  0.199008E-005  0.265777E-005            NaN            NaN            NaN            NaN
  1197.65        500.000       100.0000       0.256215E-005            NaN            NaN            NaN            NaN            NaN            NaN  0.126073E-004  0.294959E-005  0.148839E-004
