|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/ALH/ALH_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Sp(TH)         an             ilm            San(TH)        ne             lc            
  1514.51        2500.00        99.4927       0.659346E-001            NaN            NaN  0.441367                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.10        2500.00        99.3699       0.842907E-002            NaN            NaN  0.621677                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.70        2500.00        99.4060                 NaN            NaN            NaN  0.593981                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        2500.00        99.3039                 NaN            NaN            NaN  0.696076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.89        2500.00        99.5444                 NaN            NaN            NaN  0.455643                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.48        2500.00        99.3690       0.241625                 NaN            NaN  0.389413                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.08        2500.00        99.4001                 NaN  0.133377E-005            NaN  0.599929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.67        2500.00        99.3977                 NaN            NaN            NaN  0.602339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.26        2500.00        99.3933                 NaN            NaN            NaN  0.606652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.86        2500.00        99.3880                 NaN            NaN            NaN  0.612037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.45        2500.00        99.3828                 NaN            NaN            NaN  0.617203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.05        2500.00        99.3777                 NaN            NaN            NaN  0.622291                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.64        2500.00        99.3655                 NaN            NaN            NaN  0.634515                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.23        2500.00        99.3608                 NaN            NaN            NaN  0.639223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.83        2500.00        99.1166                 NaN            NaN            NaN  0.479290       0.404119                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.42        2500.00        98.7618                 NaN            NaN            NaN  0.434582       0.803623                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.02        2500.00        99.8853                 NaN            NaN            NaN  0.713985E-001  0.419968E-001  0.135276E-002            NaN            NaN            NaN            NaN            NaN
  1490.61        2500.00        98.5442                 NaN            NaN            NaN  0.932403       0.522452       0.972544E-003            NaN            NaN            NaN            NaN            NaN
  1489.21        2500.00        99.0796                 NaN            NaN            NaN  0.585023       0.333232       0.212671E-002            NaN            NaN            NaN            NaN            NaN
  1487.80        2500.00        99.0858                 NaN            NaN            NaN  0.330943       0.581181       0.207427E-002            NaN            NaN            NaN            NaN            NaN
  1486.39        2500.00        99.0947                 NaN            NaN            NaN  0.574913       0.328331       0.201434E-002            NaN            NaN            NaN            NaN            NaN
  1484.99        2500.00        99.1005                 NaN            NaN            NaN  0.570112       0.327381       0.196743E-002            NaN            NaN            NaN            NaN            NaN
  1483.58        2500.00        99.1099                 NaN            NaN            NaN  0.564856       0.323349       0.189584E-002            NaN            NaN            NaN            NaN            NaN
  1482.18        2500.00        99.1170                 NaN            NaN            NaN  0.321219       0.559960       0.183929E-002            NaN            NaN            NaN            NaN            NaN
  1480.77        2500.00        99.1235                 NaN            NaN            NaN  0.555467       0.319286       0.179232E-002            NaN            NaN            NaN            NaN            NaN
  1479.37        2500.00        99.1309                 NaN            NaN            NaN  0.550550       0.316849       0.171910E-002            NaN            NaN            NaN            NaN            NaN
  1477.96        2500.00        99.1381                 NaN            NaN            NaN  0.545480       0.314758       0.167344E-002            NaN            NaN            NaN            NaN            NaN
  1476.55        2500.00        99.1438                 NaN            NaN            NaN  0.541558       0.313047       0.162435E-002            NaN            NaN            NaN            NaN            NaN
  1475.15        2500.00        99.1508                 NaN            NaN            NaN  0.310584       0.537073       0.155444E-002            NaN            NaN            NaN            NaN            NaN
  1473.74        2500.00        99.1589                 NaN            NaN            NaN  0.307960       0.531669       0.150797E-002            NaN            NaN            NaN            NaN            NaN
  1472.34        2500.00        99.1635                 NaN            NaN            NaN  0.306372       0.528631       0.146848E-002            NaN            NaN            NaN            NaN            NaN
  1470.93        2500.00        98.7662                 NaN            NaN            NaN  0.817410       0.413973       0.244679E-002            NaN            NaN            NaN            NaN            NaN
  1469.53        2500.00        99.5616                 NaN            NaN            NaN  0.185575       0.252209       0.658237E-003            NaN            NaN            NaN            NaN            NaN
  1468.12        2500.00        99.1833                 NaN            NaN            NaN  0.300030       0.515399       0.131963E-002            NaN            NaN            NaN            NaN            NaN
  1466.71        2500.00        99.1884                 NaN            NaN            NaN  0.512438       0.297936       0.127549E-002            NaN            NaN            NaN            NaN            NaN
  1465.31        2500.00        99.1944                 NaN            NaN            NaN  0.295962       0.508395       0.122101E-002            NaN            NaN            NaN            NaN            NaN
  1463.90        2500.00        99.4938                 NaN            NaN            NaN  0.319773       0.185662       0.719451E-003            NaN            NaN            NaN            NaN            NaN
  1462.50        2500.00        98.9100                 NaN  0.892103E-006            NaN  0.686306       0.402107       0.158509E-002            NaN            NaN            NaN            NaN            NaN
  1461.09        2500.00        99.2117                 NaN            NaN            NaN  0.290022       0.497177       0.110473E-002            NaN            NaN            NaN            NaN            NaN
  1459.68        2500.00        99.2169                 NaN            NaN            NaN  0.493872       0.288148       0.105455E-002            NaN            NaN            NaN            NaN            NaN
  1458.28        2500.00        99.2205                 NaN            NaN            NaN  0.286755       0.491738       0.103814E-002            NaN            NaN            NaN            NaN            NaN
  1456.87        2500.00        99.2279                 NaN            NaN            NaN  0.284217       0.486897       0.976568E-003            NaN            NaN            NaN            NaN            NaN
  1455.47        2500.00        99.2325                 NaN  0.157225E-005            NaN  0.282861       0.483725       0.939093E-003            NaN            NaN            NaN            NaN            NaN
  1454.06        2500.00        99.2370                 NaN            NaN            NaN  0.481168       0.280957       0.900962E-003            NaN            NaN            NaN            NaN            NaN
  1452.66        2500.00        99.2422                 NaN            NaN            NaN  0.279404       0.477581       0.859556E-003            NaN            NaN            NaN            NaN            NaN
  1451.25        2500.00        99.2466                 NaN            NaN            NaN  0.474874       0.277714       0.830415E-003            NaN            NaN            NaN            NaN            NaN
  1449.84        2500.00        99.2517                 NaN            NaN            NaN  0.275919       0.471590       0.801626E-003            NaN            NaN            NaN            NaN            NaN
  1448.44        2500.00        99.2557                 NaN            NaN            NaN  0.469307       0.274250       0.765200E-003            NaN            NaN            NaN            NaN            NaN
  1447.03        2500.00        99.2594                 NaN            NaN            NaN  0.272847       0.467054       0.735302E-003            NaN            NaN            NaN            NaN            NaN
  1445.63        2500.00        99.2649                 NaN            NaN            NaN  0.463390       0.270984       0.702611E-003            NaN            NaN            NaN            NaN            NaN
  1444.22        2500.00        99.2691                 NaN  0.166601E-005            NaN  0.461213       0.268987       0.651040E-003            NaN            NaN            NaN            NaN            NaN
  1442.82        2500.00        99.2724                 NaN            NaN            NaN  0.268184       0.458810       0.646112E-003            NaN            NaN            NaN            NaN            NaN
  1441.41        2500.00        99.2773                 NaN            NaN            NaN  0.266168       0.455952       0.598425E-003            NaN            NaN            NaN            NaN            NaN
  1440.00        2500.00        99.2791                 NaN            NaN            NaN  0.264807       0.455500       0.552342E-003            NaN            NaN            NaN            NaN            NaN
  1438.60        2500.00        99.2875                 NaN            NaN            NaN  0.262842       0.449077       0.552915E-003            NaN            NaN            NaN            NaN            NaN
  1437.19        2500.00        99.2863                 NaN            NaN            NaN  0.451200       0.261947       0.531445E-003            NaN            NaN            NaN            NaN            NaN
  1435.79        2500.00        99.2943                 NaN            NaN            NaN  0.259815       0.445407       0.487840E-003            NaN            NaN            NaN            NaN            NaN
  1434.38        2500.00        99.2965                 NaN            NaN            NaN  0.258473       0.444585       0.463167E-003            NaN            NaN            NaN            NaN            NaN
  1432.98        2500.00        99.2977                 NaN            NaN            NaN  0.444589       0.257269       0.430678E-003            NaN            NaN            NaN            NaN            NaN
  1431.57        2500.00        99.3055                 NaN            NaN            NaN  0.255254       0.438834       0.423361E-003            NaN            NaN            NaN            NaN            NaN
  1430.16        2500.00        99.3062                 NaN            NaN            NaN  0.438981       0.254413       0.396890E-003            NaN            NaN            NaN            NaN            NaN
  1428.76        2500.00        99.3087                 NaN            NaN            NaN  0.253294       0.437590       0.381194E-003            NaN            NaN            NaN            NaN            NaN
  1427.35        2500.00        99.3138                 NaN            NaN            NaN  0.251390       0.434389       0.371758E-003            NaN            NaN            NaN            NaN            NaN
  1425.95        2500.00        99.3160                 NaN            NaN            NaN  0.250111       0.433586       0.345164E-003            NaN            NaN            NaN            NaN            NaN
  1424.54        2500.00        98.9062                 NaN            NaN            NaN  0.418790       0.452245                 NaN  0.222744                 NaN            NaN            NaN            NaN
  1423.14        2500.00        99.9958                 NaN            NaN            NaN  0.170950E-002            NaN  0.512259E-003  0.200721E-002            NaN            NaN            NaN            NaN
  1421.73        2500.00        96.8040                 NaN  0.210128                 NaN  0.939234        1.00199                 NaN   1.04462                 NaN            NaN            NaN            NaN
  1420.32        2500.00        98.4010                 NaN  0.211865                 NaN  0.532430       0.305311                 NaN  0.549348                 NaN            NaN            NaN            NaN
  1418.92        2500.00        98.4226                 NaN  0.211371                 NaN  0.527969       0.295867                 NaN  0.542195                 NaN            NaN            NaN            NaN
  1417.51        2500.00        98.4485                 NaN  0.210552                 NaN  0.520387       0.287040                 NaN  0.533519                 NaN            NaN            NaN            NaN
  1416.11        2500.00        98.4706                 NaN  0.209744                 NaN  0.515201       0.278058                 NaN  0.526447                 NaN            NaN            NaN            NaN
  1414.70        2500.00        98.4930                 NaN  0.209056                 NaN  0.509730       0.268979                 NaN  0.519224                 NaN            NaN            NaN            NaN
  1413.29        2500.00        98.5148                 NaN  0.208483                 NaN  0.504226       0.260428                 NaN  0.512026                 NaN            NaN            NaN            NaN
  1411.89        2500.00        98.5317                 NaN  0.208358                 NaN  0.252922       0.500540                 NaN  0.506492                 NaN            NaN            NaN            NaN
  1410.48        2500.00        98.5563                 NaN  0.207005                 NaN  0.243941       0.494577                 NaN  0.498127                 NaN            NaN            NaN            NaN
  1409.08        2500.00        98.5763                 NaN  0.206543                 NaN  0.236408       0.488873                 NaN  0.491835                 NaN            NaN            NaN            NaN
  1407.67        2500.00        98.5959                 NaN  0.205863                 NaN  0.228705       0.484277                 NaN  0.485258                 NaN            NaN            NaN            NaN
  1406.27        2500.00        98.6111                 NaN  0.206230                 NaN  0.480712       0.221236                 NaN  0.480749                 NaN            NaN            NaN            NaN
  1404.86        2500.00        98.6237                 NaN  0.204618                 NaN  0.476201       0.218735                 NaN  0.476722                 NaN            NaN            NaN            NaN
  1403.45        2500.00        98.6658                 NaN  0.203151                 NaN  0.467719       0.202087                 NaN  0.461277                 NaN            NaN            NaN            NaN
  1402.05        2500.00        98.7561                 NaN  0.190805                 NaN  0.434767       0.187467                 NaN  0.430868                 NaN            NaN            NaN            NaN
  1400.64        2500.00        98.5920                 NaN  0.216277                 NaN  0.208641       0.495878                 NaN  0.487237                 NaN            NaN            NaN            NaN
  1399.24        2500.00        98.7088                 NaN  0.201154                 NaN  0.186382       0.456383                 NaN  0.447272                 NaN            NaN            NaN            NaN
  1397.83        2500.00        98.7204                 NaN  0.201516                 NaN  0.454528       0.179631                 NaN  0.443924                 NaN            NaN            NaN            NaN
  1396.43        2500.00        98.7381                 NaN  0.200110                 NaN  0.450069       0.174204                 NaN  0.437559                 NaN            NaN            NaN            NaN
  1395.02        2500.00        98.7525                 NaN  0.200014                 NaN  0.168119       0.446443                 NaN  0.432930                 NaN            NaN            NaN            NaN
  1393.61        2500.00        98.7695                 NaN  0.198879                 NaN  0.442527       0.162034                 NaN  0.427103                 NaN            NaN            NaN            NaN
  1392.21        2500.00        98.7800                 NaN  0.198682                 NaN  0.441683       0.156106                 NaN  0.423500                 NaN            NaN            NaN            NaN
  1390.80        2500.00        98.7998                 NaN  0.197299                 NaN  0.435288       0.150838                 NaN  0.416750                 NaN            NaN            NaN            NaN
  1389.40        2500.00        98.8135                 NaN  0.196767                 NaN  0.432152       0.145398                 NaN  0.412190                 NaN            NaN            NaN            NaN
  1387.99        2500.00        98.8270                 NaN  0.196015                 NaN  0.139966       0.429386                 NaN  0.407591                 NaN            NaN            NaN            NaN
  1386.59        2500.00        98.8421                 NaN  0.195109                 NaN  0.425601       0.134775                 NaN  0.402399                 NaN            NaN            NaN            NaN
  1385.18        2500.00        98.8549                 NaN  0.194614                 NaN  0.422558       0.129784                 NaN  0.398107                 NaN            NaN            NaN            NaN
  1383.77        2500.00        98.8661                 NaN  0.193454                 NaN  0.125749       0.420878                 NaN  0.393791                 NaN            NaN            NaN            NaN
  1382.37        2500.00        98.8822                 NaN  0.192077                 NaN  0.121203       0.416308                 NaN  0.388232                 NaN            NaN            NaN            NaN
  1380.96        2500.00        98.8938                 NaN  0.191714                 NaN  0.413914       0.116047                 NaN  0.384480                 NaN            NaN            NaN            NaN
  1379.56        2500.00        98.9061                 NaN  0.190512                 NaN  0.111477       0.411826                 NaN  0.380070                 NaN            NaN            NaN            NaN
  1378.15        2500.00        98.9193                 NaN  0.189395                 NaN  0.108114       0.407820                 NaN  0.375339                 NaN            NaN            NaN            NaN
  1376.74        2500.00        98.9303                 NaN  0.188774                 NaN  0.404962       0.104294                 NaN  0.371699                 NaN            NaN            NaN            NaN
  1375.34        2500.00        98.9439                 NaN  0.187127                 NaN  0.402028       0.100312                 NaN  0.366585                 NaN            NaN            NaN            NaN
  1373.93        2500.00        98.9541                 NaN  0.186322                 NaN  0.400285       0.963086E-001            NaN  0.363017                 NaN            NaN            NaN            NaN
  1372.53        2500.00        98.9660                 NaN  0.185086                 NaN  0.926537E-001  0.397479                 NaN  0.358780                 NaN            NaN            NaN            NaN
  1371.12        2500.00        98.9769                 NaN  0.184103                 NaN  0.889829E-001  0.394987                 NaN  0.355041                 NaN            NaN            NaN            NaN
  1369.72        2500.00        98.9869                 NaN  0.182885                 NaN  0.392573       0.862670E-001            NaN  0.351342                 NaN            NaN            NaN            NaN
  1368.31        2500.00        98.9999                 NaN  0.181465                 NaN  0.822576E-001  0.389705                 NaN  0.346623                 NaN            NaN            NaN            NaN
  1366.90        2500.00        99.0091                 NaN  0.180076                 NaN  0.387673       0.799778E-001            NaN  0.343152                 NaN            NaN            NaN            NaN
  1365.50        2500.00        99.0203                 NaN  0.179044                 NaN  0.760472E-001  0.385053                 NaN  0.339583                 NaN            NaN            NaN            NaN
  1364.09        2500.00        99.0282                 NaN  0.177808                 NaN  0.384430       0.734173E-001            NaN  0.336104                 NaN            NaN            NaN            NaN
  1362.69        2500.00        99.0398                 NaN  0.175625                 NaN  0.721621E-001  0.380720                 NaN  0.331737                 NaN            NaN            NaN            NaN
  1361.28        2500.00        99.0485                 NaN  0.174447                 NaN  0.378538       0.698405E-001            NaN  0.328632                 NaN            NaN            NaN            NaN
  1359.88        2500.00        99.0580                 NaN  0.172879                 NaN  0.376646       0.675245E-001            NaN  0.324918                 NaN            NaN            NaN            NaN
  1358.47        2500.00        99.0670                 NaN  0.171386                 NaN  0.655670E-001  0.374559                 NaN  0.321484                 NaN            NaN            NaN            NaN
  1357.06        2500.00        99.0761                 NaN  0.169846                 NaN  0.372776       0.632820E-001            NaN  0.318037                 NaN            NaN            NaN            NaN
  1355.66        2500.00        99.0847                 NaN  0.168029                 NaN  0.370544       0.620503E-001            NaN  0.314706                 NaN            NaN            NaN            NaN
  1354.25        2500.00        99.0333                 NaN  0.177189                 NaN  0.765830E-001  0.375346                 NaN  0.337592                 NaN            NaN            NaN            NaN
  1352.85        2500.00        99.1688                 NaN  0.155115                 NaN  0.355068       0.396839E-001            NaN  0.281341                 NaN            NaN            NaN            NaN
  1351.44        2500.00        99.1106                 NaN  0.162660                 NaN  0.364500       0.576639E-001            NaN  0.304612                 NaN            NaN            NaN            NaN
  1350.04        2500.00        99.1183                 NaN  0.161032                 NaN  0.563438E-001  0.362723                 NaN  0.301593                 NaN            NaN            NaN            NaN
  1348.63        2500.00        99.1161                 NaN  0.162886                 NaN  0.356943       0.593750E-001            NaN  0.304668                 NaN            NaN            NaN            NaN
  1347.22        2500.00        99.1488                 NaN  0.154341                 NaN  0.508816E-001  0.357256                 NaN  0.288722                 NaN            NaN            NaN            NaN
  1345.82        2500.00        99.1421                 NaN  0.155436                 NaN  0.535605E-001  0.356672                 NaN  0.292228                 NaN            NaN            NaN            NaN
  1344.41        2500.00        99.1494                 NaN  0.152534                 NaN  0.354677       0.543468E-001            NaN  0.289026                 NaN            NaN            NaN            NaN
  1343.01        2500.00        99.1561                 NaN  0.150778                 NaN  0.353093       0.536638E-001            NaN  0.286355                 NaN            NaN            NaN            NaN
  1341.60        2500.00        99.1616                 NaN  0.150082                 NaN  0.516259E-001  0.352037                 NaN  0.284703                 NaN            NaN            NaN            NaN
  1340.19        2500.00        99.1735                 NaN  0.151507                 NaN  0.351272       0.422140E-001            NaN  0.281470                 NaN            NaN            NaN            NaN
  1338.79        2500.00        99.1810                 NaN  0.138888                 NaN  0.659280E-001  0.339817                 NaN  0.274412                 NaN            NaN            NaN            NaN
  1337.38        2500.00        99.1837                 NaN  0.142010                 NaN  0.539429E-001  0.345435                 NaN  0.274927                 NaN            NaN            NaN            NaN
  1335.98        2500.00        99.1898                 NaN  0.139554                 NaN  0.344235       0.542443E-001            NaN  0.272191                 NaN            NaN            NaN            NaN
  1334.57        2500.00        99.1958                 NaN  0.137229                 NaN  0.342269       0.550355E-001            NaN  0.269635                 NaN            NaN            NaN            NaN
  1333.17        2500.00        99.2023                 NaN  0.134620                 NaN  0.563777E-001  0.339877                 NaN  0.266873                 NaN            NaN            NaN            NaN
  1331.76        2500.00        99.1527                 NaN  0.143791                 NaN  0.294269E-002  0.392757                 NaN  0.282474       0.253755E-001            NaN            NaN            NaN
  1330.35        2500.00        99.1145                 NaN  0.137150                 NaN  0.412464                 NaN            NaN  0.291617       0.442389E-001            NaN            NaN            NaN
  1328.95        2500.00        99.1250                 NaN  0.136023                 NaN  0.407247                 NaN            NaN  0.288321       0.434571E-001            NaN            NaN            NaN
  1327.54        2500.00        99.1357                 NaN  0.134604                 NaN  0.402237                 NaN            NaN  0.284789       0.426398E-001            NaN            NaN            NaN
  1326.14        2500.00        99.1470                 NaN  0.133645                 NaN  0.396259                 NaN            NaN  0.281266       0.418540E-001            NaN            NaN            NaN
  1324.73        2500.00        99.1569                 NaN  0.132418                 NaN  0.391575                 NaN            NaN  0.277993       0.410905E-001            NaN            NaN            NaN
  1323.33        2500.00        99.1676                 NaN  0.129088                 NaN  0.388987                 NaN            NaN  0.274120       0.402296E-001            NaN            NaN            NaN
  1321.92        2500.00        99.1782                 NaN  0.128189                 NaN  0.383469                 NaN            NaN  0.270684       0.394829E-001            NaN            NaN            NaN
  1320.51        2500.00        99.1853                 NaN  0.124755                 NaN  0.383126                 NaN            NaN  0.268139       0.387285E-001            NaN            NaN            NaN
  1319.11        2500.00        99.1976                 NaN  0.125087                 NaN  0.375071                 NaN            NaN  0.264228       0.380457E-001            NaN            NaN            NaN
  1317.70        2500.00        99.2082                 NaN  0.122262                 NaN  0.371892                 NaN            NaN  0.260446       0.371772E-001            NaN            NaN            NaN
  1316.30        2500.00        99.2170                 NaN  0.121811                 NaN  0.366768                 NaN            NaN  0.257904       0.365613E-001            NaN            NaN            NaN
  1314.89        2500.00        99.2259                 NaN  0.119876                 NaN  0.363674                 NaN            NaN  0.254709       0.358849E-001            NaN            NaN            NaN
  1313.49        2500.00        99.2351                 NaN  0.117937                 NaN  0.360204                 NaN            NaN  0.251628       0.351658E-001            NaN            NaN            NaN
  1312.08        2500.00        99.2028                 NaN  0.124320                 NaN  0.371857                 NaN            NaN  0.264423       0.366264E-001            NaN            NaN            NaN
  1310.67        2500.00        99.2960                 NaN  0.105027                 NaN  0.338010                 NaN            NaN  0.229366       0.316102E-001            NaN            NaN            NaN
  1309.27        2500.00        99.2606                 NaN  0.112745                 NaN  0.350577                 NaN            NaN  0.242856       0.331774E-001            NaN            NaN            NaN
  1307.86        2500.00        99.2691                 NaN  0.110627                 NaN  0.347803                 NaN            NaN  0.239983       0.325274E-001            NaN            NaN            NaN
  1306.46        2500.00        99.2766                 NaN  0.106552                 NaN  0.347929                 NaN            NaN  0.237169       0.317312E-001            NaN            NaN            NaN
  1305.05        2500.00        99.2852                 NaN  0.107055                 NaN  0.342155                 NaN            NaN  0.234340       0.312379E-001            NaN            NaN            NaN
  1303.65        2500.00        99.2928                 NaN  0.104678                 NaN  0.340210                 NaN            NaN  0.231676       0.305959E-001            NaN            NaN            NaN
  1302.24        2500.00        99.3023                 NaN  0.104463                 NaN  0.333701                 NaN            NaN  0.229394       0.301141E-001            NaN            NaN            NaN
  1300.83        2500.00        99.3082                 NaN  0.101041                 NaN  0.335255                 NaN            NaN  0.226105       0.293699E-001            NaN            NaN            NaN
  1299.43        2500.00        82.4026                 NaN   1.16886                 NaN   2.80178                 NaN            NaN   2.46891       0.435390        10.7224                 NaN            NaN
  1298.02        2500.00        76.0490                 NaN   1.65540                 NaN   3.64666                 NaN            NaN   3.30710       0.581773        14.7601                 NaN            NaN
  1296.62        2500.00        79.2323                 NaN   1.48484                 NaN   3.15904                 NaN            NaN   2.87900       0.498839        12.7460                 NaN            NaN
  1295.21        2500.00        75.4685                 NaN   1.09658                 NaN   4.09610                 NaN   1.01830        3.27786                 NaN   15.0427                 NaN            NaN
  1293.80        2500.00        78.3236                 NaN  0.988062                 NaN   3.61999                 NaN  0.906414        2.89832                 NaN   13.2636                 NaN            NaN
  1292.40        2500.00        81.3639                 NaN  0.876577                 NaN   3.11548                 NaN  0.771212        2.49658                 NaN   11.3762                 NaN            NaN
  1290.99        2500.00        83.6102                 NaN  0.782680                 NaN   2.74422                 NaN  0.674021        2.19907                 NaN   9.98980                 NaN            NaN
  1289.59        2500.00        84.3935                 NaN  0.739713                 NaN   2.62173                 NaN  0.649540        2.08655                 NaN   9.50902                 NaN            NaN
  1288.18        2500.00        88.9773                 NaN  0.588932                 NaN   1.85653                 NaN  0.437920        1.48952                 NaN   6.64977                 NaN            NaN
  1286.78        2500.00        85.3735                 NaN  0.727248                 NaN   2.39783                 NaN  0.603826        1.96448                 NaN   8.93312                 NaN            NaN
  1285.37        2500.00        92.8665                 NaN  0.351246                 NaN   1.30145                 NaN  0.292503       0.950298                 NaN   4.23796                 NaN            NaN
  1283.96        2500.00        90.8491                 NaN  0.475174                 NaN   1.55799                 NaN  0.370930        1.23477                 NaN   5.51200                 NaN            NaN
  1282.56        2500.00        91.9121                 NaN  0.390982                 NaN   1.40066                 NaN  0.336638        1.08596                 NaN   4.87361                 NaN            NaN
  1281.15        2500.00        92.1175                 NaN  0.449620                 NaN   1.37332                 NaN  0.309390        1.07543                 NaN   4.67469                 NaN            NaN
  1279.75        2500.00        91.3354                 NaN  0.438857                 NaN   1.62672                 NaN  0.338475        1.18357                 NaN   5.07699                 NaN            NaN
