|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/ALH/ALH_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Sp(TH)         an             ilm            San(TH)        ne             lc            
  1504.67        2500.00        99.3121                 NaN            NaN            NaN  0.687900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.26        2500.00        99.3070                 NaN            NaN            NaN  0.693004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.86        2500.00        99.3006                 NaN            NaN            NaN  0.699415                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.45        2500.00        99.2944                 NaN            NaN            NaN  0.705642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.05        2500.00        99.2885                 NaN            NaN            NaN  0.711550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.64        2500.00        99.2743                 NaN            NaN            NaN  0.725685                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.23        2500.00        99.2685                 NaN            NaN            NaN  0.731476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.83        2500.00        98.9932                 NaN            NaN            NaN  0.544328       0.462461                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.42        2500.00        98.5897                 NaN            NaN            NaN  0.497420       0.912854                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.02        2500.00        99.8682                 NaN            NaN            NaN  0.813842E-001  0.482690E-001  0.210302E-002            NaN            NaN            NaN            NaN            NaN
  1490.61        2500.00        98.3411                 NaN            NaN            NaN   1.05918       0.598267       0.150336E-002            NaN            NaN            NaN            NaN            NaN
  1489.21        2500.00        98.9494                 NaN            NaN            NaN  0.665285       0.382060       0.328783E-002            NaN            NaN            NaN            NaN            NaN
  1487.80        2500.00        98.9560                 NaN            NaN            NaN  0.379617       0.661146       0.320529E-002            NaN            NaN            NaN            NaN            NaN
  1486.39        2500.00        98.9658                 NaN            NaN            NaN  0.654260       0.376820       0.311145E-002            NaN            NaN            NaN            NaN            NaN
  1484.99        2500.00        98.9722                 NaN            NaN            NaN  0.648930       0.375860       0.303647E-002            NaN            NaN            NaN            NaN            NaN
  1483.58        2500.00        98.9823                 NaN            NaN            NaN  0.643271       0.371470       0.292550E-002            NaN            NaN            NaN            NaN            NaN
  1482.18        2500.00        98.9901                 NaN            NaN            NaN  0.369189       0.637899       0.283626E-002            NaN            NaN            NaN            NaN            NaN
  1480.77        2500.00        98.9970                 NaN            NaN            NaN  0.633026       0.367169       0.276220E-002            NaN            NaN            NaN            NaN            NaN
  1479.37        2500.00        99.0051                 NaN            NaN            NaN  0.627678       0.364574       0.264820E-002            NaN            NaN            NaN            NaN            NaN
  1477.96        2500.00        99.0130                 NaN            NaN            NaN  0.622076       0.362315       0.257620E-002            NaN            NaN            NaN            NaN            NaN
  1476.55        2500.00        99.0192                 NaN            NaN            NaN  0.617820       0.360527       0.249976E-002            NaN            NaN            NaN            NaN            NaN
  1475.15        2500.00        99.0268                 NaN            NaN            NaN  0.357884       0.612947       0.239069E-002            NaN            NaN            NaN            NaN            NaN
  1473.74        2500.00        99.0356                 NaN            NaN            NaN  0.355090       0.607036       0.231785E-002            NaN            NaN            NaN            NaN            NaN
  1472.34        2500.00        99.0405                 NaN            NaN            NaN  0.353398       0.603816       0.225602E-002            NaN            NaN            NaN            NaN            NaN
  1470.93        2500.00        98.5835                 NaN            NaN            NaN  0.934417       0.478330       0.374960E-002            NaN            NaN            NaN            NaN            NaN
  1469.53        2500.00        99.4961                 NaN            NaN            NaN  0.214437       0.288480       0.101086E-002            NaN            NaN            NaN            NaN            NaN
  1468.12        2500.00        99.0619                 NaN            NaN            NaN  0.346657       0.589371       0.202402E-002            NaN            NaN            NaN            NaN            NaN
  1466.71        2500.00        99.0674                 NaN            NaN            NaN  0.586239       0.344438       0.195535E-002            NaN            NaN            NaN            NaN            NaN
  1465.31        2500.00        99.0739                 NaN            NaN            NaN  0.342345       0.581851       0.187088E-002            NaN            NaN            NaN            NaN            NaN
  1463.90        2500.00        99.4177                 NaN            NaN            NaN  0.366224       0.214946       0.110259E-002            NaN            NaN            NaN            NaN            NaN
  1462.50        2500.00        98.7464                 NaN  0.109468E-005            NaN  0.785737       0.465404       0.242456E-002            NaN            NaN            NaN            NaN            NaN
  1461.09        2500.00        99.0926                 NaN            NaN            NaN  0.336023       0.569720       0.168989E-002            NaN            NaN            NaN            NaN            NaN
  1459.68        2500.00        99.0982                 NaN            NaN            NaN  0.566155       0.334046       0.161215E-002            NaN            NaN            NaN            NaN            NaN
  1458.28        2500.00        99.1018                 NaN            NaN            NaN  0.332646       0.563984       0.158607E-002            NaN            NaN            NaN            NaN            NaN
  1456.87        2500.00        99.1100                 NaN            NaN            NaN  0.329853       0.558620       0.149154E-002            NaN            NaN            NaN            NaN            NaN
  1455.47        2500.00        99.1149                 NaN  0.193791E-005            NaN  0.328463       0.555213       0.143306E-002            NaN            NaN            NaN            NaN            NaN
  1454.06        2500.00        99.1196                 NaN            NaN            NaN  0.552553       0.326453       0.137410E-002            NaN            NaN            NaN            NaN            NaN
  1452.66        2500.00        99.1253                 NaN            NaN            NaN  0.324807       0.548615       0.131011E-002            NaN            NaN            NaN            NaN            NaN
  1451.25        2500.00        99.1299                 NaN            NaN            NaN  0.545777       0.323054       0.126493E-002            NaN            NaN            NaN            NaN            NaN
  1449.84        2500.00        99.1354                 NaN            NaN            NaN  0.321148       0.542234       0.122033E-002            NaN            NaN            NaN            NaN            NaN
  1448.44        2500.00        99.1396                 NaN            NaN            NaN  0.539854       0.319409       0.116425E-002            NaN            NaN            NaN            NaN            NaN
  1447.03        2500.00        99.1433                 NaN            NaN            NaN  0.317983       0.537550       0.111820E-002            NaN            NaN            NaN            NaN            NaN
  1445.63        2500.00        99.1494                 NaN            NaN            NaN  0.533549       0.315980       0.106762E-002            NaN            NaN            NaN            NaN            NaN
  1444.22        2500.00        99.1539                 NaN  0.206781E-005            NaN  0.531308       0.313848       0.988621E-003            NaN            NaN            NaN            NaN            NaN
  1442.82        2500.00        99.1572                 NaN            NaN            NaN  0.313089       0.528756       0.980612E-003            NaN            NaN            NaN            NaN            NaN
  1441.41        2500.00        99.1624                 NaN            NaN            NaN  0.310942       0.525725       0.907651E-003            NaN            NaN            NaN            NaN            NaN
  1440.00        2500.00        99.1642                 NaN            NaN            NaN  0.309528       0.525446       0.837133E-003            NaN            NaN            NaN            NaN            NaN
  1438.60        2500.00        99.1734                 NaN            NaN            NaN  0.307430       0.518301       0.837517E-003            NaN            NaN            NaN            NaN            NaN
  1437.19        2500.00        99.1716                 NaN            NaN            NaN  0.521030       0.306593       0.804635E-003            NaN            NaN            NaN            NaN            NaN
  1435.79        2500.00        99.1804                 NaN            NaN            NaN  0.304273       0.514571       0.737854E-003            NaN            NaN            NaN            NaN            NaN
  1434.38        2500.00        99.1825                 NaN            NaN            NaN  0.302904       0.513895       0.700110E-003            NaN            NaN            NaN            NaN            NaN
  1432.98        2500.00        99.1834                 NaN            NaN            NaN  0.514212       0.301723       0.650856E-003            NaN            NaN            NaN            NaN            NaN
  1431.57        2500.00        99.1921                 NaN            NaN            NaN  0.299493       0.507730       0.639175E-003            NaN            NaN            NaN            NaN            NaN
  1430.16        2500.00        99.1925                 NaN            NaN            NaN  0.508191       0.298723       0.598830E-003            NaN            NaN            NaN            NaN            NaN
  1428.76        2500.00        99.1950                 NaN            NaN            NaN  0.297595       0.506810       0.574543E-003            NaN            NaN            NaN            NaN            NaN
  1427.35        2500.00        99.2005                 NaN            NaN            NaN  0.295540       0.503375       0.560046E-003            NaN            NaN            NaN            NaN            NaN
  1425.95        2500.00        99.2025                 NaN            NaN            NaN  0.294248       0.502719       0.519590E-003            NaN            NaN            NaN            NaN            NaN
  1424.54        2500.00        98.7709                 NaN            NaN            NaN  0.492893       0.524516                 NaN  0.211669                 NaN            NaN            NaN            NaN
  1423.14        2500.00        99.9953                 NaN            NaN            NaN  0.198792E-002            NaN  0.772117E-003  0.190991E-002            NaN            NaN            NaN            NaN
  1421.73        2500.00        96.4777                 NaN  0.264552                 NaN   1.10516        1.16144                 NaN  0.991200                 NaN            NaN            NaN            NaN
  1420.32        2500.00        98.2311                 NaN  0.267646                 NaN  0.618713       0.360205                 NaN  0.522324                 NaN            NaN            NaN            NaN
  1418.92        2500.00        98.2531                 NaN  0.267543                 NaN  0.614136       0.349450                 NaN  0.515737                 NaN            NaN            NaN            NaN
  1417.51        2500.00        98.2801                 NaN  0.266985                 NaN  0.605824       0.339380                 NaN  0.507703                 NaN            NaN            NaN            NaN
  1416.11        2500.00        98.3028                 NaN  0.266543                 NaN  0.600367       0.329125                 NaN  0.501193                 NaN            NaN            NaN            NaN
  1414.70        2500.00        98.3261                 NaN  0.266107                 NaN  0.594504       0.318700                 NaN  0.494539                 NaN            NaN            NaN            NaN
  1413.29        2500.00        98.3486                 NaN  0.265944                 NaN  0.588615       0.308903                 NaN  0.487907                 NaN            NaN            NaN            NaN
  1411.89        2500.00        98.3654                 NaN  0.266408                 NaN  0.300359       0.584944                 NaN  0.482859                 NaN            NaN            NaN            NaN
  1410.48        2500.00        98.3914                 NaN  0.265057                 NaN  0.289982       0.578473                 NaN  0.475115                 NaN            NaN            NaN            NaN
  1409.08        2500.00        98.4120                 NaN  0.264998                 NaN  0.281320       0.572337                 NaN  0.469344                 NaN            NaN            NaN            NaN
  1407.67        2500.00        98.4321                 NaN  0.264621                 NaN  0.272453       0.567499                 NaN  0.463299                 NaN            NaN            NaN            NaN
  1406.27        2500.00        98.4474                 NaN  0.265617                 NaN  0.563871       0.263844                 NaN  0.459227                 NaN            NaN            NaN            NaN
  1404.86        2500.00        98.4602                 NaN  0.264124                 NaN  0.558987       0.261074                 NaN  0.455614                 NaN            NaN            NaN            NaN
  1403.45        2500.00        98.5049                 NaN  0.262686                 NaN  0.549734       0.241549                 NaN  0.441095                 NaN            NaN            NaN            NaN
  1402.05        2500.00        98.6044                 NaN  0.247700                 NaN  0.511341       0.224292                 NaN  0.412260                 NaN            NaN            NaN            NaN
  1400.64        2500.00        98.4192                 NaN  0.280608                 NaN  0.249906       0.583924                 NaN  0.466365                 NaN            NaN            NaN            NaN
  1399.24        2500.00        98.5484                 NaN  0.261595                 NaN  0.223526       0.538031                 NaN  0.428402                 NaN            NaN            NaN            NaN
  1397.83        2500.00        98.5600                 NaN  0.262526                 NaN  0.536429       0.215653                 NaN  0.425433                 NaN            NaN            NaN            NaN
  1396.43        2500.00        98.5781                 NaN  0.261283                 NaN  0.531689       0.209393                 NaN  0.419573                 NaN            NaN            NaN            NaN
  1395.02        2500.00        98.5927                 NaN  0.261643                 NaN  0.202302       0.527937                 NaN  0.415376                 NaN            NaN            NaN            NaN
  1393.61        2500.00        98.6103                 NaN  0.260670                 NaN  0.523844       0.195200                 NaN  0.410028                 NaN            NaN            NaN            NaN
  1392.21        2500.00        98.6204                 NaN  0.261011                 NaN  0.523513       0.188289                 NaN  0.406810                 NaN            NaN            NaN            NaN
  1390.80        2500.00        98.6413                 NaN  0.259622                 NaN  0.516387       0.182133                 NaN  0.400573                 NaN            NaN            NaN            NaN
  1389.40        2500.00        98.6552                 NaN  0.259426                 NaN  0.513205       0.175764                 NaN  0.396433                 NaN            NaN            NaN            NaN
  1387.99        2500.00        98.6689                 NaN  0.258954                 NaN  0.169396       0.510478                 NaN  0.392254                 NaN            NaN            NaN            NaN
  1386.59        2500.00        98.6845                 NaN  0.258225                 NaN  0.506491       0.163290                 NaN  0.387502                 NaN            NaN            NaN            NaN
  1385.18        2500.00        98.6975                 NaN  0.258100                 NaN  0.503409       0.157421                 NaN  0.383613                 NaN            NaN            NaN            NaN
  1383.77        2500.00        98.7083                 NaN  0.257098                 NaN  0.152754       0.502113                 NaN  0.379698                 NaN            NaN            NaN            NaN
  1382.37        2500.00        98.7252                 NaN  0.255768                 NaN  0.147374       0.497119                 NaN  0.374585                 NaN            NaN            NaN            NaN
  1380.96        2500.00        98.7370                 NaN  0.255782                 NaN  0.494788       0.141262                 NaN  0.371210                 NaN            NaN            NaN            NaN
  1379.56        2500.00        98.7494                 NaN  0.254637                 NaN  0.135885       0.492912                 NaN  0.367197                 NaN            NaN            NaN            NaN
  1378.15        2500.00        98.7629                 NaN  0.253643                 NaN  0.131923       0.488634                 NaN  0.362872                 NaN            NaN            NaN            NaN
  1376.74        2500.00        98.7739                 NaN  0.253332                 NaN  0.485783       0.127429                 NaN  0.359599                 NaN            NaN            NaN            NaN
  1375.34        2500.00        98.7881                 NaN  0.251602                 NaN  0.482747       0.122691                 NaN  0.354896                 NaN            NaN            NaN            NaN
  1373.93        2500.00        98.7981                 NaN  0.251000                 NaN  0.481277       0.117934                 NaN  0.351685                 NaN            NaN            NaN            NaN
  1372.53        2500.00        98.8103                 NaN  0.249829                 NaN  0.113590       0.478420                 NaN  0.347825                 NaN            NaN            NaN            NaN
  1371.12        2500.00        98.8214                 NaN  0.248969                 NaN  0.109222       0.475992                 NaN  0.344444                 NaN            NaN            NaN            NaN
  1369.72        2500.00        98.8314                 NaN  0.247830                 NaN  0.473620       0.106001                 NaN  0.341099                 NaN            NaN            NaN            NaN
  1368.31        2500.00        98.8450                 NaN  0.246351                 NaN  0.101201       0.470700                 NaN  0.336761                 NaN            NaN            NaN            NaN
  1366.90        2500.00        98.8541                 NaN  0.244959                 NaN  0.468806       0.985137E-001            NaN  0.333630                 NaN            NaN            NaN            NaN
  1365.50        2500.00        98.8657                 NaN  0.243949                 NaN  0.937707E-001  0.466131                 NaN  0.330403                 NaN            NaN            NaN            NaN
  1364.09        2500.00        98.8732                 NaN  0.242847                 NaN  0.466011       0.906507E-001            NaN  0.327257                 NaN            NaN            NaN            NaN
  1362.69        2500.00        98.8852                 NaN  0.240285                 NaN  0.892032E-001  0.462046                 NaN  0.323246                 NaN            NaN            NaN            NaN
  1361.28        2500.00        98.8940                 NaN  0.239149                 NaN  0.459978       0.864402E-001            NaN  0.320459                 NaN            NaN            NaN            NaN
  1359.88        2500.00        98.9036                 NaN  0.237446                 NaN  0.458224       0.836699E-001            NaN  0.317076                 NaN            NaN            NaN            NaN
  1358.47        2500.00        98.9126                 NaN  0.235865                 NaN  0.813421E-001  0.456223                 NaN  0.313963                 NaN            NaN            NaN            NaN
  1357.06        2500.00        98.9218                 NaN  0.234180                 NaN  0.454603       0.785976E-001            NaN  0.310833                 NaN            NaN            NaN            NaN
  1355.66        2500.00        98.9304                 NaN  0.232138                 NaN  0.452471       0.771587E-001            NaN  0.307814                 NaN            NaN            NaN            NaN
  1354.25        2500.00        98.8706                 NaN  0.245177                 NaN  0.952654E-001  0.458486                 NaN  0.330440                 NaN            NaN            NaN            NaN
  1352.85        2500.00        99.0252                 NaN  0.215114                 NaN  0.434613       0.494639E-001            NaN  0.275633                 NaN            NaN            NaN            NaN
  1351.44        2500.00        98.9567                 NaN  0.225999                 NaN  0.446706       0.719582E-001            NaN  0.298633                 NaN            NaN            NaN            NaN
  1350.04        2500.00        98.9645                 NaN  0.224173                 NaN  0.703922E-001  0.445073                 NaN  0.295905                 NaN            NaN            NaN            NaN
  1348.63        2500.00        98.9611                 NaN  0.227112                 NaN  0.438307       0.742809E-001            NaN  0.299157                 NaN            NaN            NaN            NaN
  1347.22        2500.00        98.9974                 NaN  0.215669                 NaN  0.637180E-001  0.439475                 NaN  0.283730                 NaN            NaN            NaN            NaN
  1345.82        2500.00        98.9886                 NaN  0.217587                 NaN  0.671442E-001  0.439257                 NaN  0.287397                 NaN            NaN            NaN            NaN
  1344.41        2500.00        98.9960                 NaN  0.213960                 NaN  0.437387       0.682133E-001            NaN  0.284475                 NaN            NaN            NaN            NaN
  1343.01        2500.00        99.0026                 NaN  0.211904                 NaN  0.435993       0.674351E-001            NaN  0.282072                 NaN            NaN            NaN            NaN
  1341.60        2500.00        99.0079                 NaN  0.211214                 NaN  0.649322E-001  0.435283                 NaN  0.280670                 NaN            NaN            NaN            NaN
  1340.19        2500.00        99.0209                 NaN  0.213505                 NaN  0.434728       0.531686E-001            NaN  0.277710                 NaN            NaN            NaN            NaN
  1338.79        2500.00        99.0284                 NaN  0.196283                 NaN  0.831280E-001  0.421184                 NaN  0.270963                 NaN            NaN            NaN            NaN
  1337.38        2500.00        99.0305                 NaN  0.201059                 NaN  0.680918E-001  0.428686                 NaN  0.271690                 NaN            NaN            NaN            NaN
  1335.98        2500.00        99.0366                 NaN  0.197944                 NaN  0.427749       0.685490E-001            NaN  0.269205                 NaN            NaN            NaN            NaN
  1334.57        2500.00        99.0426                 NaN  0.195020                 NaN  0.425848       0.696262E-001            NaN  0.266895                 NaN            NaN            NaN            NaN
  1333.17        2500.00        99.0492                 NaN  0.191647                 NaN  0.714038E-001  0.423417                 NaN  0.264377                 NaN            NaN            NaN            NaN
  1331.76        2500.00        98.9783                 NaN  0.205112                 NaN  0.373109E-002  0.489750                 NaN  0.280056       0.430438E-001            NaN            NaN            NaN
  1330.35        2500.00        98.9244                 NaN  0.195983                 NaN  0.515105                 NaN            NaN  0.289408       0.751171E-001            NaN            NaN            NaN
  1328.95        2500.00        98.9356                 NaN  0.194784                 NaN  0.509313                 NaN            NaN  0.286468       0.738767E-001            NaN            NaN            NaN
  1327.54        2500.00        98.9472                 NaN  0.193168                 NaN  0.503791                 NaN            NaN  0.283288       0.725726E-001            NaN            NaN            NaN
  1326.14        2500.00        98.9594                 NaN  0.192171                 NaN  0.497011                 NaN            NaN  0.280107       0.713191E-001            NaN            NaN            NaN
  1324.73        2500.00        98.9700                 NaN  0.190870                 NaN  0.491835                 NaN            NaN  0.277168       0.701004E-001            NaN            NaN            NaN
  1323.33        2500.00        98.9820                 NaN  0.186376                 NaN  0.489272                 NaN            NaN  0.273622       0.687124E-001            NaN            NaN            NaN
  1321.92        2500.00        98.9935                 NaN  0.185482                 NaN  0.483016                 NaN            NaN  0.270503       0.675159E-001            NaN            NaN            NaN
  1320.51        2500.00        99.0011                 NaN  0.180784                 NaN  0.483545                 NaN            NaN  0.268267       0.663028E-001            NaN            NaN            NaN
  1319.11        2500.00        99.0147                 NaN  0.181655                 NaN  0.473814                 NaN            NaN  0.264658       0.652099E-001            NaN            NaN            NaN
  1317.70        2500.00        99.0266                 NaN  0.177944                 NaN  0.470508                 NaN            NaN  0.261168       0.637953E-001            NaN            NaN            NaN
  1316.30        2500.00        99.0360                 NaN  0.177681                 NaN  0.464643                 NaN            NaN  0.258912       0.628110E-001            NaN            NaN            NaN
  1314.89        2500.00        99.0457                 NaN  0.175186                 NaN  0.461375                 NaN            NaN  0.255995       0.617201E-001            NaN            NaN            NaN
  1313.49        2500.00        99.0559                 NaN  0.172678                 NaN  0.457640                 NaN            NaN  0.253185       0.605529E-001            NaN            NaN            NaN
  1312.08        2500.00        99.0151                 NaN  0.182289                 NaN  0.473157                 NaN            NaN  0.266353       0.631385E-001            NaN            NaN            NaN
  1310.67        2500.00        99.1290                 NaN  0.154396                 NaN  0.430744                 NaN            NaN  0.231329       0.545606E-001            NaN            NaN            NaN
  1309.27        2500.00        99.0841                 NaN  0.166061                 NaN  0.447303                 NaN            NaN  0.245183       0.573248E-001            NaN            NaN            NaN
  1307.86        2500.00        99.0935                 NaN  0.163221                 NaN  0.444438                 NaN            NaN  0.242553       0.562656E-001            NaN            NaN            NaN
  1306.46        2500.00        99.1022                 NaN  0.157513                 NaN  0.445354                 NaN            NaN  0.239975       0.549504E-001            NaN            NaN            NaN
  1305.05        2500.00        99.1115                 NaN  0.158556                 NaN  0.438442                 NaN            NaN  0.237375       0.541570E-001            NaN            NaN            NaN
  1303.65        2500.00        99.1200                 NaN  0.155318                 NaN  0.436607                 NaN            NaN  0.234936       0.531035E-001            NaN            NaN            NaN
  1302.24        2500.00        99.1307                 NaN  0.155294                 NaN  0.428800                 NaN            NaN  0.232877       0.523258E-001            NaN            NaN            NaN
  1300.83        2500.00        99.1373                 NaN  0.150448                 NaN  0.431381                 NaN            NaN  0.229790       0.510893E-001            NaN            NaN            NaN
  1299.43        2500.00        81.4397                 NaN   1.72925                 NaN   3.56519                 NaN            NaN   2.48297       0.749481        10.0334                 NaN            NaN
  1298.02        2500.00        74.8832                 NaN   2.44914                 NaN   4.61625                 NaN            NaN   3.31010       0.996714        13.7446                 NaN            NaN
  1296.62        2500.00        78.1671                 NaN   2.20889                 NaN   4.00323                 NaN            NaN   2.88465       0.855548        11.8806                 NaN            NaN
  1295.21        2500.00        74.2376                 NaN   1.63170                 NaN   5.17429                 NaN   1.70500        3.27439                 NaN   13.9771                 NaN            NaN
  1293.80        2500.00        77.1769                 NaN   1.47702                 NaN   4.57972                 NaN   1.52167        2.90045                 NaN   12.3442                 NaN            NaN
  1292.40        2500.00        80.3244                 NaN   1.31656                 NaN   3.94850                 NaN   1.29844        2.50371                 NaN   10.6084                 NaN            NaN
  1290.99        2500.00        82.6620                 NaN   1.17910                 NaN   3.48212                 NaN   1.13740        2.20920                 NaN   9.33023                 NaN            NaN
  1289.59        2500.00        83.4729                 NaN   1.11767                 NaN   3.32700                 NaN   1.09800        2.09781                 NaN   8.88665                 NaN            NaN
  1288.18        2500.00        88.2590                 NaN  0.895468                 NaN   2.36471                 NaN  0.743254        1.50272                 NaN   6.23486                 NaN            NaN
  1286.78        2500.00        84.4909                 NaN   1.10162                 NaN   3.04722                 NaN   1.02354        1.97834                 NaN   8.35843                 NaN            NaN
  1285.37        2500.00        92.3529                 NaN  0.537375                 NaN   1.66158                 NaN  0.499113       0.962198                 NaN   3.98680                 NaN            NaN
  1283.96        2500.00        90.2277                 NaN  0.726057                 NaN   1.98406                 NaN  0.632498        1.24938                 NaN   5.18034                 NaN            NaN
  1282.56        2500.00        91.3511                 NaN  0.599854                 NaN   1.78753                 NaN  0.575167        1.10026                 NaN   4.58604                 NaN            NaN
  1281.15        2500.00        91.5358                 NaN  0.690980                 NaN   1.75239                 NaN  0.529348        1.09035                 NaN   4.40117                 NaN            NaN
  1279.75        2500.00        90.6912                 NaN  0.673092                 NaN   2.07440                 NaN  0.579821        1.20036                 NaN   4.78115                 NaN            NaN
