|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.25/KHA22/KHA22_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1451.65        500.000                 NaN   99.2022                 NaN            NaN  0.457763       0.340014                 NaN            NaN            NaN            NaN            NaN
  1450.26        500.000                 NaN   99.2122                 NaN            NaN  0.335517       0.452332                 NaN            NaN            NaN            NaN            NaN
  1448.87        500.000                 NaN   99.2179                 NaN            NaN  0.449429       0.332654                 NaN            NaN            NaN            NaN            NaN
  1447.48        500.000                 NaN   99.2255                 NaN            NaN  0.329111       0.445422                 NaN            NaN            NaN            NaN            NaN
  1446.09        500.000                 NaN   99.2297       0.451592E-002            NaN  0.443376       0.322399                 NaN            NaN            NaN            NaN            NaN
  1444.70        500.000                 NaN   99.2421                 NaN            NaN  0.321759       0.436135                 NaN            NaN            NaN            NaN            NaN
  1443.31        500.000                 NaN   99.2473                 NaN            NaN  0.319215       0.433531                 NaN            NaN            NaN            NaN            NaN
  1441.92        500.000                 NaN   99.2534                 NaN            NaN  0.430424       0.316163                 NaN            NaN            NaN            NaN            NaN
  1440.53        500.000                 NaN   99.2597       0.432173E-002            NaN  0.308766       0.427228                 NaN            NaN            NaN            NaN            NaN
  1439.14        500.000                 NaN   99.2684       0.102676E-001            NaN  0.422567       0.298790                 NaN            NaN            NaN            NaN            NaN
  1437.76        500.000                 NaN   99.2740       0.103459E-001            NaN  0.295846       0.419843                 NaN            NaN            NaN            NaN            NaN
  1436.37        500.000                 NaN   99.2802       0.920023E-002            NaN  0.294168       0.416479                 NaN            NaN            NaN            NaN            NaN
  1434.98        500.000                 NaN   99.2867       0.804266E-002            NaN  0.292397       0.412839                 NaN            NaN            NaN            NaN            NaN
  1433.59        500.000                 NaN   99.2925       0.832262E-002            NaN  0.289314       0.409823                 NaN            NaN            NaN            NaN            NaN
  1432.20        500.000                 NaN   99.2998       0.668681E-002            NaN  0.287697       0.405794                 NaN            NaN            NaN            NaN            NaN
  1430.81        500.000                 NaN   99.3051       0.604932E-002            NaN  0.285727       0.403170                 NaN            NaN            NaN            NaN            NaN
  1429.42        500.000                 NaN   99.3114       0.547121E-002            NaN  0.399584       0.283499                 NaN            NaN            NaN            NaN            NaN
  1428.03        500.000                 NaN   99.3173       0.371362E-002            NaN  0.396082       0.282869                 NaN            NaN            NaN            NaN            NaN
  1426.64        500.000                 NaN   99.3220       0.361098E-002            NaN  0.394119       0.280269                 NaN            NaN            NaN            NaN            NaN
  1425.25        500.000                 NaN   99.3302       0.293992E-002            NaN  0.389261       0.277592                 NaN            NaN            NaN            NaN            NaN
  1423.86        500.000                 NaN   99.3342       0.432699E-002            NaN  0.273916       0.387510                 NaN            NaN            NaN            NaN            NaN
  1422.47        500.000                 NaN   99.2422                 NaN            NaN  0.394290       0.319210                 NaN  0.442524E-001            NaN            NaN            NaN
  1421.08        500.000                 NaN   98.3911                 NaN            NaN  0.700175       0.475228                 NaN  0.433451                 NaN            NaN            NaN
  1419.69        500.000                 NaN   98.2723                 NaN            NaN  0.753973       0.480754                 NaN  0.492933                 NaN            NaN            NaN
  1418.30        500.000                 NaN   98.3047                 NaN            NaN  0.471496       0.739964                 NaN  0.483840                 NaN            NaN            NaN
  1416.91        500.000                 NaN   98.3371                 NaN            NaN  0.462631       0.725513                 NaN  0.474715                 NaN            NaN            NaN
  1415.52        500.000                 NaN   98.3683                 NaN            NaN  0.712167       0.453448                 NaN  0.466052                 NaN            NaN            NaN
  1414.13        500.000                 NaN   98.3975                 NaN            NaN  0.445231       0.699346                 NaN  0.457883                 NaN            NaN            NaN
  1412.74        500.000                 NaN   98.4281                 NaN            NaN  0.686694       0.435769                 NaN  0.449421                 NaN            NaN            NaN
  1411.35        500.000                 NaN   98.4560                 NaN            NaN  0.674348       0.428109                 NaN  0.441563                 NaN            NaN            NaN
  1409.96        500.000                 NaN   98.4852                 NaN            NaN  0.419629       0.661951                 NaN  0.433245                 NaN            NaN            NaN
  1408.57        500.000                 NaN   98.5109                 NaN            NaN  0.650796       0.412300                 NaN  0.426017                 NaN            NaN            NaN
  1407.18        500.000                 NaN   98.5363                 NaN            NaN  0.639819       0.405154                 NaN  0.418735                 NaN            NaN            NaN
  1405.79        500.000                 NaN   98.5641                 NaN            NaN  0.396687       0.628215                 NaN  0.410989                 NaN            NaN            NaN
  1404.40        500.000                 NaN   98.5871                 NaN            NaN  0.618351       0.390073                 NaN  0.404519                 NaN            NaN            NaN
  1403.01        500.000                 NaN   98.6109                 NaN            NaN  0.608253       0.383074                 NaN  0.397790                 NaN            NaN            NaN
  1401.62        500.000                 NaN   98.6339                 NaN            NaN  0.598336       0.376478                 NaN  0.391335                 NaN            NaN            NaN
  1400.23        500.000                 NaN   98.6576                 NaN            NaN  0.588508       0.369336                 NaN  0.384605                 NaN            NaN            NaN
  1398.84        500.000                 NaN   98.6791                 NaN            NaN  0.363378       0.579071                 NaN  0.378425                 NaN            NaN            NaN
  1397.45        500.000                 NaN   98.6988                 NaN            NaN  0.570572       0.357887                 NaN  0.372714                 NaN            NaN            NaN
  1396.06        500.000                 NaN   98.7209                 NaN            NaN  0.350997       0.561606                 NaN  0.366542                 NaN            NaN            NaN
  1394.67        500.000                 NaN   98.7408                 NaN            NaN  0.552742       0.345587                 NaN  0.360911                 NaN            NaN            NaN
  1393.28        500.000                 NaN   98.7602                 NaN            NaN  0.339127       0.545030                 NaN  0.355662                 NaN            NaN            NaN
  1391.90        500.000                 NaN   98.7836                 NaN            NaN  0.535001       0.332894                 NaN  0.348542                 NaN            NaN            NaN
  1390.51        500.000                 NaN   98.7995                 NaN            NaN  0.528323       0.327988                 NaN  0.344223                 NaN            NaN            NaN
  1389.12        500.000                 NaN   98.8167                 NaN            NaN  0.520539       0.323440                 NaN  0.339297                 NaN            NaN            NaN
  1387.73        500.000                 NaN   98.8368                 NaN            NaN  0.512421       0.317277                 NaN  0.333455                 NaN            NaN            NaN
  1386.34        500.000                 NaN   98.8529                 NaN            NaN  0.505822       0.312437                 NaN  0.328862                 NaN            NaN            NaN
  1384.95        500.000                 NaN   98.8702                 NaN            NaN  0.307567       0.498388                 NaN  0.323866                 NaN            NaN            NaN
  1383.56        500.000                 NaN   98.8873                 NaN            NaN  0.491298       0.302324                 NaN  0.319055                 NaN            NaN            NaN
  1382.17        500.000                 NaN   98.9028                 NaN            NaN  0.484918       0.297661                 NaN  0.314602                 NaN            NaN            NaN
  1380.78        500.000                 NaN   98.9194                 NaN            NaN  0.292672       0.478007                 NaN  0.309879                 NaN            NaN            NaN
  1379.39        500.000                 NaN   98.9344                 NaN            NaN  0.471508       0.288595                 NaN  0.305505                 NaN            NaN            NaN
  1378.00        500.000                 NaN   98.9499                 NaN            NaN  0.465317       0.283553                 NaN  0.301214                 NaN            NaN            NaN
  1376.61        500.000                 NaN   98.9670                 NaN            NaN  0.458042       0.278886                 NaN  0.296102                 NaN            NaN            NaN
  1375.22        500.000                 NaN   98.9795                 NaN            NaN  0.452963       0.274853                 NaN  0.292693                 NaN            NaN            NaN
  1373.83        500.000                 NaN   98.9939                 NaN            NaN  0.446507       0.271191                 NaN  0.288362                 NaN            NaN            NaN
  1372.44        500.000                 NaN   99.0084                 NaN            NaN  0.440970       0.266426                 NaN  0.284194                 NaN            NaN            NaN
  1371.05        500.000                 NaN   99.0211                 NaN            NaN  0.435179       0.263240                 NaN  0.280456                 NaN            NaN            NaN
  1369.66        500.000                 NaN   99.0350                 NaN            NaN  0.258846       0.429720                 NaN  0.276480                 NaN            NaN            NaN
  1368.27        500.000                 NaN   99.0475                 NaN            NaN  0.424213       0.255419                 NaN  0.272846                 NaN            NaN            NaN
  1366.88        500.000                 NaN   99.0608                 NaN            NaN  0.251150       0.419061                 NaN  0.268949                 NaN            NaN            NaN
  1365.49        500.000                 NaN   99.0711                 NaN            NaN  0.247493       0.415219                 NaN  0.266176                 NaN            NaN            NaN
  1364.10        500.000                 NaN   99.0873                 NaN            NaN  0.243492       0.408022                 NaN  0.261216                 NaN            NaN            NaN
  1362.71        500.000                 NaN   99.0954                 NaN            NaN  0.240705       0.404602                 NaN  0.259301                 NaN            NaN            NaN
  1361.32        500.000                 NaN   99.1109                 NaN            NaN  0.398453       0.236405                 NaN  0.254255                 NaN            NaN            NaN
  1359.93        500.000                 NaN   99.1207                 NaN            NaN  0.233373       0.394314                 NaN  0.251628                 NaN            NaN            NaN
  1358.54        500.000                 NaN   99.1321                 NaN            NaN  0.389555       0.230042                 NaN  0.248313                 NaN            NaN            NaN
  1357.15        500.000                 NaN   99.1421                 NaN            NaN  0.385678       0.226874                 NaN  0.245385                 NaN            NaN            NaN
  1355.76        500.000                 NaN   99.1542                 NaN            NaN  0.380717       0.223250                 NaN  0.241866                 NaN            NaN            NaN
  1354.37        500.000                 NaN   99.1594                 NaN            NaN  0.378913       0.220642                 NaN  0.241035                 NaN            NaN            NaN
  1352.98        500.000                 NaN   99.1802                 NaN            NaN  0.370178       0.215770                 NaN  0.233880                 NaN            NaN            NaN
  1351.59        500.000                 NaN   99.1856                 NaN            NaN  0.367697       0.214023                 NaN  0.232687                 NaN            NaN            NaN
  1350.20        500.000                 NaN   99.1953                 NaN            NaN  0.211295       0.363534                 NaN  0.229881                 NaN            NaN            NaN
  1348.81        500.000                 NaN   99.2053                 NaN            NaN  0.359654       0.208082                 NaN  0.226951                 NaN            NaN            NaN
  1347.42        500.000                 NaN   99.2145                 NaN            NaN  0.205473       0.355755                 NaN  0.224235                 NaN            NaN            NaN
  1346.04        500.000                 NaN   99.2245                 NaN            NaN  0.202329       0.351870                 NaN  0.221310                 NaN            NaN            NaN
  1344.65        500.000                 NaN   99.2338                 NaN            NaN  0.347871       0.199723                 NaN  0.218598                 NaN            NaN            NaN
  1343.26        500.000                 NaN   99.2430                 NaN            NaN  0.196806       0.344280                 NaN  0.215959                 NaN            NaN            NaN
  1341.87        500.000                 NaN   99.2522                 NaN            NaN  0.194037       0.340529                 NaN  0.213233                 NaN            NaN            NaN
  1340.48        500.000                 NaN   99.2609                 NaN            NaN  0.336957       0.191425                 NaN  0.210715                 NaN            NaN            NaN
  1339.09        500.000                 NaN   99.2697                 NaN            NaN  0.333372       0.188785                 NaN  0.208101                 NaN            NaN            NaN
  1337.70        500.000                 NaN   99.2782                 NaN            NaN  0.186401       0.329847                 NaN  0.205578                 NaN            NaN            NaN
  1336.31        500.000                 NaN   99.2865                 NaN            NaN  0.183769       0.326495                 NaN  0.203202                 NaN            NaN            NaN
  1334.92        500.000                 NaN   99.2944                 NaN            NaN  0.323270       0.181382                 NaN  0.200897                 NaN            NaN            NaN
  1333.53        500.000                 NaN   99.3035                 NaN            NaN  0.178650       0.319700                 NaN  0.198174                 NaN            NaN            NaN
  1332.14        500.000                 NaN   99.3106                 NaN            NaN  0.176447       0.316849                 NaN  0.196137                 NaN            NaN            NaN
  1330.75        500.000                 NaN   99.3195                 NaN            NaN  0.173933       0.313064                 NaN  0.193484                 NaN            NaN            NaN
  1329.36        500.000                 NaN   99.3256                 NaN            NaN  0.310225       0.172497                 NaN  0.191723                 NaN            NaN            NaN
  1327.97        500.000                 NaN   99.3348                 NaN            NaN  0.306952       0.169304                 NaN  0.188937                 NaN            NaN            NaN
  1326.58        500.000                 NaN   99.3418                 NaN            NaN  0.304066       0.167127                 NaN  0.186998                 NaN            NaN            NaN
  1325.19        500.000                 NaN   99.3493                 NaN            NaN  0.164730       0.301064                 NaN  0.184898                 NaN            NaN            NaN
  1323.80        500.000                 NaN   99.3561                 NaN            NaN  0.162700       0.298447                 NaN  0.182772                 NaN            NaN            NaN
  1322.41        500.000                 NaN   99.3638                 NaN            NaN  0.160866       0.295011                 NaN  0.180368                 NaN            NaN            NaN
  1321.02        500.000                 NaN   99.3701                 NaN            NaN  0.292444       0.158785                 NaN  0.178649                 NaN            NaN            NaN
  1319.63        500.000                 NaN   99.3773                 NaN            NaN  0.289603       0.156707                 NaN  0.176399                 NaN            NaN            NaN
  1318.24        500.000                 NaN   99.3841                 NaN            NaN  0.154668       0.286808                 NaN  0.174455                 NaN            NaN            NaN
  1316.85        500.000                 NaN   99.3910                 NaN            NaN  0.284010       0.152483                 NaN  0.172503                 NaN            NaN            NaN
  1315.46        500.000                 NaN   99.3977                 NaN            NaN  0.150480       0.281289                 NaN  0.170487                 NaN            NaN            NaN
  1314.07        500.000                 NaN   99.4043                 NaN            NaN  0.278532       0.148662                 NaN  0.168531                 NaN            NaN            NaN
  1312.68        500.000                 NaN   99.4103                 NaN            NaN  0.146842       0.276124                 NaN  0.166729                 NaN            NaN            NaN
  1311.29        500.000                 NaN   99.4167                 NaN            NaN  0.144973       0.273435                 NaN  0.164930                 NaN            NaN            NaN
  1309.90        500.000                 NaN   99.4229                 NaN            NaN  0.270817       0.143257                 NaN  0.163051                 NaN            NaN            NaN
  1308.51        500.000                 NaN   99.4292                 NaN            NaN  0.141356       0.268271                 NaN  0.161183                 NaN            NaN            NaN
  1307.12        500.000                 NaN   99.4349                 NaN            NaN  0.265296       0.139927                 NaN  0.159833                 NaN            NaN            NaN
  1305.73        500.000                 NaN   99.4416                 NaN            NaN  0.263622       0.137591                 NaN  0.157221                 NaN            NaN            NaN
  1304.34        500.000                 NaN   99.4469                 NaN            NaN  0.261056       0.136014                 NaN  0.155983                 NaN            NaN            NaN
  1302.95        500.000                 NaN   99.4526                 NaN            NaN  0.258558       0.134496                 NaN  0.154355                 NaN            NaN            NaN
  1301.56        500.000                 NaN   99.4586                 NaN            NaN  0.132503       0.256398                 NaN  0.152529                 NaN            NaN            NaN
  1300.18        500.000                 NaN   99.4639                 NaN            NaN  0.130982       0.254104                 NaN  0.150966                 NaN            NaN            NaN
  1298.79        500.000                 NaN   99.4694                 NaN            NaN  0.251785       0.129456                 NaN  0.149340                 NaN            NaN            NaN
  1297.40        500.000                 NaN   78.0770                 NaN            NaN   2.07397        4.22732                 NaN   2.41486        13.2069                 NaN            NaN
  1296.01        500.000                 NaN   78.6336                 NaN            NaN   4.08468        2.04197                 NaN   2.35329        12.8864                 NaN            NaN
  1294.62        500.000                 NaN   82.1044                 NaN            NaN   3.40887        1.73716                 NaN   1.98219        10.7674                 NaN            NaN
  1293.23        500.000                 NaN   84.6980                 NaN            NaN   1.50357        2.90851                 NaN   1.70442        9.18553                 NaN            NaN
  1291.84        500.000                 NaN   86.7118                 NaN            NaN   2.51847        1.32045                 NaN   1.48774        7.96151                 NaN            NaN
  1290.45        500.000                 NaN   88.3036                 NaN            NaN   2.21117        1.17386                 NaN   1.31594        6.99548                 NaN            NaN
  1289.06        500.000                 NaN   89.5779                 NaN            NaN   1.05741        1.96324                 NaN   1.17792        6.22359                 NaN            NaN
  1287.67        500.000                 NaN   90.6238                 NaN            NaN   1.76135       0.959443                 NaN   1.06435        5.59110                 NaN            NaN
  1286.28        500.000                 NaN   91.4856                 NaN            NaN  0.877989        1.59510                 NaN  0.970428        5.07085                 NaN            NaN
  1284.89        500.000                 NaN   92.2206                 NaN            NaN  0.809948        1.45101                 NaN  0.889907        4.62849                 NaN            NaN
  1283.50        500.000                 NaN   92.8444                 NaN            NaN  0.750802        1.32959                 NaN  0.821206        4.25398                 NaN            NaN
  1282.11        500.000                 NaN   93.3866                 NaN            NaN  0.699040        1.22361                 NaN  0.761382        3.92933                 NaN            NaN
  1280.72        500.000                 NaN   93.8430                 NaN            NaN  0.656123        1.13452                 NaN  0.710821        3.65549                 NaN            NaN
  1279.33        500.000                 NaN   94.2557                 NaN            NaN  0.617007        1.05318                 NaN  0.665033        3.40910                 NaN            NaN
  1277.94        500.000                 NaN   94.6193                 NaN            NaN  0.580551       0.983504                 NaN  0.624390        3.19223                 NaN            NaN
  1276.55        500.000                 NaN   94.9312                 NaN            NaN  0.921847       0.552095                 NaN  0.589625        3.00527                 NaN            NaN
  1275.16        500.000                 NaN   95.2204                 NaN            NaN  0.864491       0.524202                 NaN  0.557026        2.83385                 NaN            NaN
  1273.77        500.000                 NaN   95.4814                 NaN            NaN  0.813926       0.498105                 NaN  0.527552        2.67899                 NaN            NaN
  1272.38        500.000                 NaN   95.7150                 NaN            NaN  0.475748       0.767570                 NaN  0.500953        2.54074                 NaN            NaN
  1270.99        500.000                 NaN   95.9251                 NaN            NaN  0.726880       0.454879                 NaN  0.477187        2.41594                 NaN            NaN
  1269.60        500.000                 NaN   96.1195                 NaN            NaN  0.688587       0.435813                 NaN  0.454915        2.30121                 NaN            NaN
  1268.21        500.000                 NaN   96.2963                 NaN            NaN  0.653656       0.418764                 NaN  0.434523        2.19677                 NaN            NaN
  1266.82        500.000                 NaN   96.4606                 NaN            NaN  0.402060       0.621772                 NaN  0.415653        2.09993                 NaN            NaN
  1265.43        500.000                 NaN   96.6129                 NaN            NaN  0.386828       0.591907                 NaN  0.398152        2.01018                 NaN            NaN
  1264.04        500.000                 NaN   96.7553                 NaN            NaN  0.563664       0.372187                 NaN  0.381451        1.92736                 NaN            NaN
  1262.65        500.000                 NaN   96.8841                 NaN            NaN  0.359475       0.538825                 NaN  0.366473        1.85109                 NaN            NaN
  1261.26        500.000                 NaN   97.0062                 NaN            NaN  0.346965       0.515003                 NaN  0.352124        1.77972                 NaN            NaN
  1259.87        500.000                 NaN   97.1191                 NaN            NaN  0.336026       0.492554                 NaN  0.338750        1.71361                 NaN            NaN
  1258.48        500.000                 NaN   97.2004                 NaN            NaN  0.329385       0.472660                 NaN  0.329245        1.66834                 NaN            NaN
  1257.09        500.000                 NaN   97.3486                 NaN            NaN  0.311082       0.451450                 NaN  0.311645        1.57719                 NaN            NaN
  1255.70        500.000                 NaN   97.4173                 NaN            NaN  0.305782       0.434317                 NaN  0.303526        1.53911                 NaN            NaN
  1254.31        500.000                 NaN   97.5047                 NaN            NaN  0.296204       0.417883                 NaN  0.293163        1.48806                 NaN            NaN
  1252.93        500.000                 NaN   97.5881                 NaN            NaN  0.287847       0.401404                 NaN  0.283140        1.43949                 NaN            NaN
  1251.54        500.000                 NaN   97.6687                 NaN            NaN  0.278901       0.386387                 NaN  0.273514        1.39254                 NaN            NaN
  1250.15        500.000                 NaN   97.7417                 NaN            NaN  0.271185       0.372608                 NaN  0.264680        1.34988                 NaN            NaN
  1248.76        500.000                 NaN   97.8109                 NaN            NaN  0.263841       0.359302                 NaN  0.256454        1.30951                 NaN            NaN
