|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/WD94/WD94_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            hed            q             
  1542.15        2500.00                 NaN   99.4227       0.519584       0.576661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.64        2500.00                 NaN   99.4269       0.516220       0.569089E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.13        2500.00                 NaN   99.4287       0.515661       0.555952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.62        2500.00                 NaN   99.3405       0.592834       0.666731E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.11        2500.00                 NaN   99.5232       0.429782       0.470111E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.60        2500.00                 NaN   99.4569       0.491690       0.513964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.09        2500.00                 NaN   99.4469       0.500063       0.530519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        2500.00                 NaN   99.4514       0.495753       0.528696E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.07        2500.00                 NaN   99.4550       0.494341       0.506793E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.56        2500.00                 NaN   99.4581       0.491743       0.501080E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.05        2500.00                 NaN   99.4627       0.486914       0.504081E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.54        2500.00                 NaN   99.4654       0.486152       0.484538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.03        2500.00                 NaN   99.4686       0.484166       0.472702E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.52        2500.00                 NaN   99.4718       0.482096       0.461005E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.01        2500.00                 NaN   99.4730       0.482220       0.447501E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        2500.00                 NaN   99.4796       0.476271       0.441704E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.99        2500.00                 NaN   99.4809       0.477132       0.419833E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.48        2500.00                 NaN   99.7121       0.265179       0.227084E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.97        2500.00                 NaN   99.2599       0.675944       0.641140E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.46        2500.00                 NaN   99.4935       0.466643       0.398180E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.95        2500.00                 NaN   99.4939       0.464400       0.416769E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        2500.00                 NaN   99.4991       0.460590       0.402619E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.93        2500.00                 NaN   99.4987       0.461898       0.393615E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.42        2500.00                 NaN   99.2665       0.681370       0.521083E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.91        2500.00                 NaN   99.7449       0.237887       0.172422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.40        2500.00                 NaN   99.5084       0.455573       0.360144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.89        2500.00                 NaN   99.5114       0.454116       0.345065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.38        2500.00                 NaN   99.3159       0.646486       0.375843E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.87        2500.00                 NaN   99.7096       0.269416       0.209765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        2500.00                 NaN   99.5182       0.450876       0.308760E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.85        2500.00                 NaN   99.5220       0.446638       0.313374E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.34        2500.00                 NaN   99.5226       0.437049       0.312356E-001  0.911847E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.83        2500.00                 NaN   99.4204       0.481003E-001  0.106623E-004  0.531475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.32        2500.00                 NaN   99.3929                 NaN            NaN  0.607096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.81        2500.00                 NaN   99.3912                 NaN            NaN  0.608819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.30        2500.00                 NaN   99.3929                 NaN            NaN  0.607070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.79        2500.00                 NaN   99.1865                 NaN            NaN  0.813521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.28        2500.00                 NaN   99.5974                 NaN            NaN  0.402564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.77        2500.00                 NaN   99.3880                 NaN  0.395122E-003  0.611577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.26        2500.00                 NaN   99.3872                 NaN            NaN  0.612800                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.75        2500.00                 NaN   99.3838                 NaN            NaN  0.616240                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.24        2500.00                 NaN   99.3806                 NaN            NaN  0.619397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.73        2500.00                 NaN   99.3772                 NaN            NaN  0.622845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.22        2500.00                 NaN   99.3715                 NaN            NaN  0.628519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.71        2500.00                 NaN   99.3671                 NaN            NaN  0.632944                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.20        2500.00                 NaN   99.3584                 NaN            NaN  0.641629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.68        2500.00                 NaN   99.2137                 NaN            NaN  0.305009       0.481322                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.17        2500.00                 NaN   99.0790                 NaN            NaN  0.606188       0.314771                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.66        2500.00                 NaN   99.0859                 NaN            NaN  0.312342       0.601760                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.15        2500.00                 NaN   99.0936                 NaN            NaN  0.310150       0.596298                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.64        2500.00                 NaN   99.1002                 NaN            NaN  0.591464       0.308381                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.13        2500.00                 NaN   99.1079                 NaN            NaN  0.586132       0.306000                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.62        2500.00                 NaN   99.1136                 NaN            NaN  0.583713       0.302706                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.11        2500.00                 NaN   99.3355       0.184298E-001            NaN  0.204140       0.441925                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.60        2500.00                 NaN   98.9101                 NaN            NaN  0.373171       0.716685                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.09        2500.00                 NaN   99.1351                 NaN            NaN  0.569451       0.295464                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.58        2500.00                 NaN   99.1398                 NaN            NaN  0.293725       0.566520                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.07        2500.00                 NaN   99.1463                 NaN            NaN  0.292877       0.560819                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.56        2500.00                 NaN   99.1513                 NaN            NaN  0.290229       0.558489                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.05        2500.00                 NaN   99.1585                 NaN            NaN  0.552889       0.288657                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.54        2500.00                 NaN   99.1635                 NaN            NaN  0.551741       0.284764                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.03        2500.00                 NaN   99.1692                 NaN            NaN  0.546953       0.283835                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        2500.00                 NaN   99.1853       0.297034E-001  0.661300E-001  0.576097       0.142769                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.01        2500.00                 NaN   99.1848                 NaN            NaN  0.277914       0.537311                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.50        2500.00                 NaN   99.1862                 NaN            NaN  0.278046       0.535779                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        2500.00                 NaN   99.1934                 NaN            NaN  0.274861       0.531726                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.48        2500.00                 NaN   99.1939                 NaN            NaN  0.531651       0.274434                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.97        2500.00                 NaN   99.2012                 NaN            NaN  0.526892       0.271903                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        2500.00                 NaN   99.2053                 NaN            NaN  0.524783       0.269908                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.95        2500.00                 NaN   99.2344                 NaN            NaN  0.260092       0.505503                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.44        2500.00                 NaN   99.1890                 NaN            NaN  0.274870       0.536175                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00                 NaN   99.2217                 NaN  0.691884E-002  0.517789       0.253637                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.42        2500.00                 NaN   99.2238                 NaN            NaN  0.262821       0.513371                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.91        2500.00                 NaN   99.2295                 NaN  0.368409E-002  0.255363       0.511455                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.40        2500.00                 NaN   99.2327                 NaN  0.398590E-003  0.507782       0.259085                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.89        2500.00                 NaN   99.2391                 NaN  0.953965E-002  0.508820       0.242525                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.38        2500.00                 NaN   98.1532                 NaN  0.232463       0.596772       0.466424                 NaN  0.551190                 NaN            NaN            NaN            NaN
  1425.87        2500.00                 NaN   98.1165                 NaN  0.244778       0.468955       0.593267                 NaN  0.576505                 NaN            NaN            NaN            NaN
  1424.36        2500.00                 NaN   98.1470                 NaN  0.245374       0.585375       0.454808                 NaN  0.567407                 NaN            NaN            NaN            NaN
  1422.85        2500.00                 NaN   98.1799                 NaN  0.242901       0.577491       0.442480                 NaN  0.557270                 NaN            NaN            NaN            NaN
  1421.34        2500.00                 NaN   98.2048                 NaN  0.243235       0.569187       0.432368                 NaN  0.550435                 NaN            NaN            NaN            NaN
  1419.83        2500.00                 NaN   98.2455                 NaN  0.239348       0.558345       0.419553                 NaN  0.537220                 NaN            NaN            NaN            NaN
  1418.32        2500.00                 NaN   98.2697                 NaN  0.239925       0.552436       0.407588                 NaN  0.530332                 NaN            NaN            NaN            NaN
  1416.81        2500.00                 NaN   98.2972                 NaN  0.239894       0.395583       0.545407                 NaN  0.521962                 NaN            NaN            NaN            NaN
  1415.30        2500.00                 NaN   98.3246                 NaN  0.238109       0.385855       0.537744                 NaN  0.513704                 NaN            NaN            NaN            NaN
  1413.79        2500.00                 NaN   98.3521                 NaN  0.237355       0.374484       0.530680                 NaN  0.505392                 NaN            NaN            NaN            NaN
  1412.28        2500.00                 NaN   98.3781                 NaN  0.236583       0.523560       0.364176                 NaN  0.497619                 NaN            NaN            NaN            NaN
  1410.77        2500.00                 NaN   98.4025                 NaN  0.235880       0.517542       0.353986                 NaN  0.490123                 NaN            NaN            NaN            NaN
  1409.26        2500.00                 NaN   98.4259                 NaN  0.235083       0.512016       0.344139                 NaN  0.482875                 NaN            NaN            NaN            NaN
  1407.75        2500.00                 NaN   98.4512                 NaN  0.233876       0.504720       0.334986                 NaN  0.475246                 NaN            NaN            NaN            NaN
  1406.24        2500.00                 NaN   98.4745                 NaN  0.233346       0.498513       0.325503                 NaN  0.468096                 NaN            NaN            NaN            NaN
  1404.73        2500.00                 NaN   98.4967                 NaN  0.232659       0.316608       0.492737                 NaN  0.461340                 NaN            NaN            NaN            NaN
  1403.22        2500.00                 NaN   98.5181                 NaN  0.231838       0.487685       0.307580                 NaN  0.454783                 NaN            NaN            NaN            NaN
  1401.71        2500.00                 NaN   98.5403                 NaN  0.231017       0.480981       0.299672                 NaN  0.447994                 NaN            NaN            NaN            NaN
  1400.20        2500.00                 NaN   98.5610                 NaN  0.230366       0.476293       0.290691                 NaN  0.441606                 NaN            NaN            NaN            NaN
  1398.69        2500.00                 NaN   98.5800                 NaN  0.230505       0.279522       0.473903                 NaN  0.436099                 NaN            NaN            NaN            NaN
  1397.18        2500.00                 NaN   98.6038                 NaN  0.227508       0.276300       0.464246                 NaN  0.428135                 NaN            NaN            NaN            NaN
  1395.67        2500.00                 NaN   98.6213                 NaN  0.227916       0.460457       0.267294                 NaN  0.422986                 NaN            NaN            NaN            NaN
  1394.16        2500.00                 NaN   98.6402                 NaN  0.227180       0.259745       0.455666                 NaN  0.417190                 NaN            NaN            NaN            NaN
  1392.65        2500.00                 NaN   98.6589                 NaN  0.226390       0.450656       0.252557                 NaN  0.411476                 NaN            NaN            NaN            NaN
  1391.14        2500.00                 NaN   98.6765                 NaN  0.226235       0.446359       0.244864                 NaN  0.406050                 NaN            NaN            NaN            NaN
  1389.63        2500.00                 NaN   98.6956                 NaN  0.224303       0.239128       0.441096                 NaN  0.399863                 NaN            NaN            NaN            NaN
  1388.12        2500.00                 NaN   98.7129                 NaN  0.224029       0.232249       0.436046                 NaN  0.394735                 NaN            NaN            NaN            NaN
  1386.60        2500.00                 NaN   98.7280                 NaN  0.223335       0.225215       0.433528                 NaN  0.389889                 NaN            NaN            NaN            NaN
  1385.09        2500.00                 NaN   98.7453                 NaN  0.222815       0.429130       0.218350                 NaN  0.384413                 NaN            NaN            NaN            NaN
  1383.58        2500.00                 NaN   98.7635                 NaN  0.221246       0.422909       0.213426                 NaN  0.378941                 NaN            NaN            NaN            NaN
  1382.07        2500.00                 NaN   98.7787                 NaN  0.220538       0.419765       0.206859                 NaN  0.374095                 NaN            NaN            NaN            NaN
  1380.56        2500.00                 NaN   98.7946                 NaN  0.219891       0.414988       0.201431                 NaN  0.369133                 NaN            NaN            NaN            NaN
  1379.05        2500.00                 NaN   98.8099                 NaN  0.218472       0.196440       0.411039                 NaN  0.364183                 NaN            NaN            NaN            NaN
  1377.54        2500.00                 NaN   98.8216                 NaN  0.218878       0.189855       0.409054                 NaN  0.360655                 NaN            NaN            NaN            NaN
  1376.03        2500.00                 NaN   98.8394                 NaN  0.216046       0.404261       0.185639                 NaN  0.354613                 NaN            NaN            NaN            NaN
  1374.52        2500.00                 NaN   98.8534                 NaN  0.215934       0.400629       0.179566                 NaN  0.350485                 NaN            NaN            NaN            NaN
  1373.01        2500.00                 NaN   98.8672                 NaN  0.214917       0.175439       0.396228                 NaN  0.346205                 NaN            NaN            NaN            NaN
  1371.50        2500.00                 NaN   98.8807                 NaN  0.213901       0.170615       0.392947                 NaN  0.341830                 NaN            NaN            NaN            NaN
  1369.99        2500.00                 NaN   98.8944                 NaN  0.212484       0.388976       0.166797                 NaN  0.337333                 NaN            NaN            NaN            NaN
  1368.48        2500.00                 NaN   98.9070                 NaN  0.212300       0.160660       0.386464                 NaN  0.333549                 NaN            NaN            NaN            NaN
  1366.97        2500.00                 NaN   98.9207                 NaN  0.209743       0.158466       0.382305                 NaN  0.328742                 NaN            NaN            NaN            NaN
  1365.46        2500.00                 NaN   98.9327                 NaN  0.209160       0.153963       0.379129                 NaN  0.325031                 NaN            NaN            NaN            NaN
  1363.95        2500.00                 NaN   98.9455                 NaN  0.208174       0.150017       0.375311                 NaN  0.321019                 NaN            NaN            NaN            NaN
  1362.44        2500.00                 NaN   98.9578                 NaN  0.206541       0.146694       0.371974                 NaN  0.317037                 NaN            NaN            NaN            NaN
  1360.93        2500.00                 NaN   98.9696                 NaN  0.205676       0.368900       0.142511                 NaN  0.313299                 NaN            NaN            NaN            NaN
  1359.42        2500.00                 NaN   98.9825                 NaN  0.204359       0.365461       0.138641                 NaN  0.309050                 NaN            NaN            NaN            NaN
  1357.91        2500.00                 NaN   98.9932                 NaN  0.202195       0.136890       0.362309                 NaN  0.305398                 NaN            NaN            NaN            NaN
  1356.40        2500.00                 NaN   99.0050                 NaN  0.201457       0.358716       0.133108                 NaN  0.301729                 NaN            NaN            NaN            NaN
  1354.89        2500.00                 NaN   99.0153                 NaN  0.199602       0.356367       0.130571                 NaN  0.298168                 NaN            NaN            NaN            NaN
  1353.38        2500.00                 NaN   99.0252                 NaN  0.198480       0.127963       0.353429                 NaN  0.294950                 NaN            NaN            NaN            NaN
  1351.87        2500.00                 NaN   99.0374                 NaN  0.196603       0.350208       0.124905                 NaN  0.290926                 NaN            NaN            NaN            NaN
  1350.36        2500.00                 NaN   99.0471                 NaN  0.195060       0.122839       0.347264                 NaN  0.287737                 NaN            NaN            NaN            NaN
  1348.85        2500.00                 NaN   99.0582                 NaN  0.192894       0.121651       0.343262                 NaN  0.283952                 NaN            NaN            NaN            NaN
  1347.34        2500.00                 NaN   99.0680                 NaN  0.191664       0.340811       0.118788                 NaN  0.280759                 NaN            NaN            NaN            NaN
  1345.83        2500.00                 NaN   99.0777                 NaN  0.189790       0.338119       0.116894                 NaN  0.277516                 NaN            NaN            NaN            NaN
  1344.32        2500.00                 NaN   99.0889                 NaN  0.188376       0.334464       0.114252                 NaN  0.274027                 NaN            NaN            NaN            NaN
  1342.81        2500.00                 NaN   99.0976                 NaN  0.186649       0.113243       0.331543                 NaN  0.270922                 NaN            NaN            NaN            NaN
  1341.30        2500.00                 NaN   99.1059                 NaN  0.184584       0.112897       0.328699                 NaN  0.267954                 NaN            NaN            NaN            NaN
  1339.79        2500.00                 NaN   99.1155                 NaN  0.182059       0.112394       0.325343                 NaN  0.264711                 NaN            NaN            NaN            NaN
  1338.28        2500.00                 NaN   99.1249                 NaN  0.180043       0.110544       0.323009                 NaN  0.261464                 NaN            NaN            NaN            NaN
  1336.77        2500.00                 NaN   99.1334                 NaN  0.178224       0.320397       0.109414                 NaN  0.258583                 NaN            NaN            NaN            NaN
  1335.26        2500.00                 NaN   99.1427                 NaN  0.176411       0.108143       0.317218                 NaN  0.255542                 NaN            NaN            NaN            NaN
  1333.75        2500.00                 NaN   99.1504                 NaN  0.173985       0.314928       0.107960                 NaN  0.252707                 NaN            NaN            NaN            NaN
  1332.24        2500.00                 NaN   99.1594                 NaN  0.171875       0.311376       0.107555                 NaN  0.249748                 NaN            NaN            NaN            NaN
  1330.73        2500.00                 NaN   99.1675                 NaN  0.169682       0.308686       0.107117                 NaN  0.247001                 NaN            NaN            NaN            NaN
  1329.22        2500.00                 NaN   99.1760                 NaN  0.167140       0.107363       0.305610                 NaN  0.243901                 NaN            NaN            NaN            NaN
  1327.71        2500.00                 NaN   99.1840                 NaN  0.164974       0.302559       0.107232                 NaN  0.241195                 NaN            NaN            NaN            NaN
  1326.20        2500.00                 NaN   99.1915                 NaN  0.163221       0.106281       0.300287                 NaN  0.238694                 NaN            NaN            NaN            NaN
  1324.69        2500.00                 NaN   99.2005                 NaN  0.160726       0.295383       0.107667                 NaN  0.235747                 NaN            NaN            NaN            NaN
  1323.18        2500.00                 NaN   99.2072                 NaN  0.157695       0.293390       0.108596                 NaN  0.233124                 NaN            NaN            NaN            NaN
  1321.67        2500.00                 NaN   99.2137                 NaN  0.156287       0.290158       0.108615                 NaN  0.231233                 NaN            NaN            NaN            NaN
  1320.16        2500.00                 NaN   99.2223                 NaN  0.151815       0.111918       0.286388                 NaN  0.227595                 NaN            NaN            NaN            NaN
  1318.65        2500.00                 NaN   99.2299                 NaN  0.150619       0.109251       0.284989                 NaN  0.225234                 NaN            NaN            NaN            NaN
  1317.14        2500.00                 NaN   99.2359                 NaN  0.147654       0.111753       0.281595                 NaN  0.223107                 NaN            NaN            NaN            NaN
  1315.63        2500.00                 NaN   99.2423                 NaN  0.144701       0.113664       0.278712                 NaN  0.220613                 NaN            NaN            NaN            NaN
  1314.12        2500.00                 NaN   99.2500                 NaN  0.142528       0.114048       0.275231                 NaN  0.218148                 NaN            NaN            NaN            NaN
  1312.61        2500.00                 NaN   99.2563                 NaN  0.139314       0.272221       0.116431                 NaN  0.215734                 NaN            NaN            NaN            NaN
  1311.10        2500.00                 NaN   99.2633                 NaN  0.137180       0.116670       0.269436                 NaN  0.213400                 NaN            NaN            NaN            NaN
  1309.59        2500.00                 NaN   96.0954                 NaN  0.425018       0.750215       0.219125                 NaN  0.600778        1.90944                 NaN            NaN            NaN
  1308.08        2500.00                 NaN   83.6885                 NaN   1.52375        2.69021       0.628978                 NaN   2.11978        9.34877                 NaN            NaN            NaN
  1306.57        2500.00                 NaN   85.0520                 NaN   1.40404        2.57071       0.500030                 NaN   1.95149        8.52177                 NaN            NaN            NaN
  1305.06        2500.00                 NaN   86.1667                 NaN   1.30171        2.48758       0.388139                 NaN   1.81383        7.84204                 NaN            NaN            NaN
  1303.55        2500.00                 NaN   87.1193                 NaN   1.21234        2.42866       0.281662                 NaN   1.69622        7.26185                 NaN            NaN            NaN
  1302.04        2500.00                 NaN   87.9373                 NaN   1.13430        2.40439       0.166291                 NaN   1.59521        6.76254                 NaN            NaN            NaN
  1300.52        2500.00                 NaN   88.6601                 NaN   1.06399        2.41314       0.346046E-001            NaN   1.50592        6.32223                 NaN            NaN            NaN
  1299.01        2500.00                 NaN   89.2821                 NaN  0.983231        2.36806                 NaN            NaN   1.42888        5.93774                 NaN            NaN            NaN
  1297.50        2500.00                 NaN   89.8348                 NaN  0.928605        2.27493                 NaN            NaN   1.36024        5.60139                 NaN            NaN            NaN
  1295.99        2500.00                 NaN   90.3410                 NaN  0.834119        2.24570                 NaN            NaN   1.29755        5.28166                 NaN            NaN            NaN
