|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/TAY13/TAY13_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1587.55        2500.00                 NaN   99.2792       0.646088       0.747432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.03        2500.00                 NaN   99.2797       0.651260       0.690490E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.51        2500.00                 NaN   97.8221        2.02467       0.153267                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.00        2500.00                 NaN   99.9818                 NaN  0.182227E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.48        2500.00                 NaN   99.9787       0.144433E-001  0.681113E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.96        2500.00                 NaN   99.4046       0.542098       0.532673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.44        2500.00                 NaN   99.2928       0.652646       0.545794E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00                 NaN   99.3461       0.571602       0.822709E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.41        2500.00                 NaN   99.2823       0.649936       0.677959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.89        2500.00                 NaN   99.3828       0.557481       0.597435E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.37        2500.00                 NaN   99.3383       0.597714       0.640272E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        2500.00                 NaN   99.3476       0.590333       0.620613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.33        2500.00                 NaN   99.3519       0.586363       0.617196E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        2500.00                 NaN   99.3569       0.582289       0.608111E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.30        2500.00                 NaN   99.5298       0.430558       0.396663E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.78        2500.00                 NaN   99.2009       0.722437       0.766709E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.26        2500.00                 NaN   99.3675       0.574611       0.578471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00                 NaN   99.3824       0.560082       0.575514E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.22        2500.00                 NaN   99.3838       0.572048       0.441241E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.71        2500.00                 NaN   99.3880       0.544483       0.674743E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.19        2500.00                 NaN   99.3903       0.553657       0.560071E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        2500.00                 NaN   99.4011       0.545436       0.534195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.15        2500.00                 NaN   99.4015       0.547025       0.514424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        2500.00                 NaN   99.4060       0.541979       0.519841E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.11        2500.00                 NaN   99.3989       0.549819       0.513205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.60        2500.00                 NaN   99.4280       0.523407       0.485753E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.08        2500.00                 NaN   99.4206       0.530545       0.488326E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.56        2500.00                 NaN   99.4188       0.534379       0.468197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.04        2500.00                 NaN   99.4359       0.515448       0.486972E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.52        2500.00                 NaN   99.4250       0.523570       0.514136E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.00        2500.00                 NaN   99.4472       0.509384       0.433783E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.49        2500.00                 NaN   99.4432       0.462903       0.938677E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.97        2500.00                 NaN   99.4432       0.556521       0.284236E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.45        2500.00                 NaN   99.5260       0.443098       0.308555E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.93        2500.00                 NaN   99.3762       0.575619       0.482132E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        2500.00                 NaN   99.4569       0.502062       0.410307E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.90        2500.00                 NaN   99.4614       0.497880       0.407507E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        2500.00                 NaN   99.4650       0.495232       0.397727E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.86        2500.00                 NaN   99.4688       0.491666       0.395391E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.34        2500.00                 NaN   98.8686        1.04636       0.850242E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.82        2500.00                 NaN  100.0000                 NaN  0.211959E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.30        2500.00                 NaN   99.6110       0.362286       0.266862E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.79        2500.00                 NaN   99.4351       0.525956       0.389028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        2500.00                 NaN   99.4865       0.478471       0.350098E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.75        2500.00                 NaN   99.4883       0.477456       0.342657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.23        2500.00                 NaN   99.4814       0.484539       0.340127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.71        2500.00                 NaN   99.5072       0.461002       0.318177E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.19        2500.00                 NaN   99.4992       0.468592       0.321811E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.68        2500.00                 NaN   99.5014       0.468268       0.303152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.16        2500.00                 NaN   99.5057       0.463929       0.304094E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.64        2500.00                 NaN   99.5084       0.461845       0.297923E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.12        2500.00                 NaN   99.4516       0.270494       0.423344E-003            NaN  0.277475                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.60        2500.00                 NaN   99.3798       0.414800E-002            NaN            NaN  0.616051                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.09        2500.00                 NaN   99.3819                 NaN            NaN            NaN  0.618089                 NaN            NaN            NaN            NaN            NaN            NaN
  1505.57        2500.00                 NaN   99.3862       0.573033E-001            NaN            NaN  0.556515                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.05        2500.00                 NaN   99.3861       0.707993E-001            NaN            NaN  0.543051                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.53        2500.00                 NaN   99.1781                 NaN  0.275149E-001            NaN  0.794366                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.01        2500.00                 NaN   99.8029                 NaN  0.101026E-001            NaN  0.187046                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.49        2500.00                 NaN   99.1900                 NaN            NaN            NaN  0.810009                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.98        2500.00                 NaN   99.3855                 NaN            NaN            NaN  0.614524                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.46        2500.00                 NaN   99.2644                 NaN            NaN            NaN  0.735581                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.94        2500.00                 NaN   99.5945                 NaN            NaN            NaN  0.405450                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.42        2500.00                 NaN   99.2915                 NaN            NaN            NaN  0.708479                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.90        2500.00                 NaN   99.3823                 NaN            NaN            NaN  0.617667                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.39        2500.00                 NaN   99.3797                 NaN            NaN            NaN  0.620257                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.87        2500.00                 NaN   99.3774                 NaN            NaN            NaN  0.622641                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.35        2500.00                 NaN   99.3740                 NaN            NaN            NaN  0.626036                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.83        2500.00                 NaN   99.3702                 NaN            NaN            NaN  0.629833                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.31        2500.00                 NaN   99.3643                 NaN            NaN            NaN  0.635669                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.79        2500.00                 NaN   99.1754                 NaN            NaN            NaN  0.460952       0.363600                 NaN            NaN            NaN            NaN            NaN
  1481.28        2500.00                 NaN   99.0677                 NaN            NaN            NaN  0.580858       0.351488                 NaN            NaN            NaN            NaN            NaN
  1479.76        2500.00                 NaN   99.0757                 NaN            NaN            NaN  0.576143       0.348108                 NaN            NaN            NaN            NaN            NaN
  1478.24        2500.00                 NaN   99.0848                 NaN            NaN            NaN  0.570246       0.344992                 NaN            NaN            NaN            NaN            NaN
  1476.72        2500.00                 NaN   99.0922                 NaN            NaN            NaN  0.566193       0.341593                 NaN            NaN            NaN            NaN            NaN
  1475.20        2500.00                 NaN   99.1005                 NaN            NaN            NaN  0.561319       0.338213                 NaN            NaN            NaN            NaN            NaN
  1473.68        2500.00                 NaN   99.1076                 NaN            NaN            NaN  0.556745       0.335701                 NaN            NaN            NaN            NaN            NaN
  1472.17        2500.00                 NaN   99.1159                 NaN            NaN            NaN  0.552464       0.331681                 NaN            NaN            NaN            NaN            NaN
  1470.65        2500.00                 NaN   99.2910                 NaN            NaN            NaN  0.445244       0.263771                 NaN            NaN            NaN            NaN            NaN
  1469.13        2500.00                 NaN   98.9584                 NaN            NaN            NaN  0.391133       0.650482                 NaN            NaN            NaN            NaN            NaN
  1467.61        2500.00                 NaN   99.1413                 NaN            NaN            NaN  0.536444       0.322209                 NaN            NaN            NaN            NaN            NaN
  1466.09        2500.00                 NaN   99.1456                 NaN            NaN            NaN  0.534165       0.320207                 NaN            NaN            NaN            NaN            NaN
  1464.58        2500.00                 NaN   99.1517                 NaN            NaN            NaN  0.317665       0.530592                 NaN            NaN            NaN            NaN            NaN
  1463.06        2500.00                 NaN   99.1588                 NaN            NaN            NaN  0.526219       0.314979                 NaN            NaN            NaN            NaN            NaN
  1461.54        2500.00                 NaN   99.1653                 NaN            NaN            NaN  0.522493       0.312224                 NaN            NaN            NaN            NaN            NaN
  1460.02        2500.00                 NaN   99.1724                 NaN            NaN            NaN  0.309247       0.518380                 NaN            NaN            NaN            NaN            NaN
  1458.50        2500.00                 NaN   99.1784                 NaN            NaN            NaN  0.306819       0.514825                 NaN            NaN            NaN            NaN            NaN
  1456.98        2500.00                 NaN   99.1848                 NaN            NaN            NaN  0.303758       0.511452                 NaN            NaN            NaN            NaN            NaN
  1455.47        2500.00                 NaN   99.1914                 NaN            NaN            NaN  0.301954       0.506599                 NaN            NaN            NaN            NaN            NaN
  1453.95        2500.00                 NaN   99.1978                 NaN            NaN            NaN  0.503115       0.299039                 NaN            NaN            NaN            NaN            NaN
  1452.43        2500.00                 NaN   99.2033                 NaN            NaN            NaN  0.501159       0.295493                 NaN            NaN            NaN            NaN            NaN
  1450.91        2500.00                 NaN   99.2099                 NaN            NaN            NaN  0.495947       0.294153                 NaN            NaN            NaN            NaN            NaN
  1449.39        2500.00                 NaN   99.2158                 NaN            NaN            NaN  0.492969       0.291237                 NaN            NaN            NaN            NaN            NaN
  1447.88        2500.00                 NaN   99.2059                 NaN            NaN  0.127596E-001  0.269153       0.512146                 NaN            NaN            NaN            NaN            NaN
  1446.36        2500.00                 NaN   99.2082                 NaN            NaN  0.150832E-001  0.513494       0.263235                 NaN            NaN            NaN            NaN            NaN
  1444.84        2500.00                 NaN   99.2153                 NaN            NaN  0.147598E-001  0.508500       0.261400                 NaN            NaN            NaN            NaN            NaN
  1443.32        2500.00                 NaN   99.2213                 NaN            NaN  0.143541E-001  0.259808       0.504527                 NaN            NaN            NaN            NaN            NaN
  1441.80        2500.00                 NaN   99.2270                 NaN            NaN  0.140772E-001  0.500881       0.257994                 NaN            NaN            NaN            NaN            NaN
  1440.28        2500.00                 NaN   99.2980                 NaN            NaN  0.125805E-001  0.234708       0.454702                 NaN            NaN            NaN            NaN            NaN
  1438.77        2500.00                 NaN   97.8006                 NaN            NaN  0.858852E-001  0.713526       0.784898       0.615079                 NaN            NaN            NaN            NaN
  1437.25        2500.00                 NaN   97.6745                 NaN            NaN  0.948758E-001  0.684620       0.835596       0.710358                 NaN            NaN            NaN            NaN
  1435.73        2500.00                 NaN   97.7405                 NaN            NaN  0.916169E-001  0.664145       0.813429       0.690343                 NaN            NaN            NaN            NaN
  1434.21        2500.00                 NaN   97.8026                 NaN            NaN  0.887620E-001  0.791779       0.645242       0.671667                 NaN            NaN            NaN            NaN
  1432.69        2500.00                 NaN   97.8623                 NaN            NaN  0.855581E-001  0.626479       0.772269       0.653353                 NaN            NaN            NaN            NaN
  1431.17        2500.00                 NaN   97.9196                 NaN            NaN  0.827377E-001  0.609103       0.752705       0.635879                 NaN            NaN            NaN            NaN
  1429.66        2500.00                 NaN   97.9721                 NaN            NaN  0.800132E-001  0.735339       0.592369       0.620167                 NaN            NaN            NaN            NaN
  1428.14        2500.00                 NaN   98.0257                 NaN            NaN  0.774940E-001  0.716941       0.576384       0.603477                 NaN            NaN            NaN            NaN
  1426.62        2500.00                 NaN   98.0750                 NaN            NaN  0.750761E-001  0.561280       0.700219       0.588474                 NaN            NaN            NaN            NaN
  1425.10        2500.00                 NaN   98.1217                 NaN            NaN  0.727279E-001  0.546565       0.684720       0.574266                 NaN            NaN            NaN            NaN
  1423.58        2500.00                 NaN   98.1672                 NaN            NaN  0.704310E-001  0.669771       0.532261       0.560337                 NaN            NaN            NaN            NaN
  1422.07        2500.00                 NaN   98.2103                 NaN            NaN  0.682379E-001  0.518898       0.655530       0.547057                 NaN            NaN            NaN            NaN
  1420.55        2500.00                 NaN   98.2531                 NaN            NaN  0.661791E-001  0.640905       0.505840       0.533940                 NaN            NaN            NaN            NaN
  1419.03        2500.00                 NaN   98.2923                 NaN            NaN  0.641861E-001  0.627677       0.493728       0.522132                 NaN            NaN            NaN            NaN
  1417.51        2500.00                 NaN   98.3315                 NaN            NaN  0.623839E-001  0.613564       0.482811       0.509694                 NaN            NaN            NaN            NaN
  1415.99        2500.00                 NaN   98.3684                 NaN            NaN  0.603126E-001  0.469791       0.602974       0.498548                 NaN            NaN            NaN            NaN
  1414.47        2500.00                 NaN   98.4041                 NaN            NaN  0.585715E-001  0.458707       0.591067       0.487559                 NaN            NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.4386                 NaN            NaN  0.568602E-001  0.579780       0.447811       0.476956                 NaN            NaN            NaN            NaN
  1411.44        2500.00                 NaN   98.4716                 NaN            NaN  0.551517E-001  0.437493       0.568992       0.466787                 NaN            NaN            NaN            NaN
  1409.92        2500.00                 NaN   98.5035                 NaN            NaN  0.535220E-001  0.558423       0.427662       0.456921                 NaN            NaN            NaN            NaN
  1408.40        2500.00                 NaN   98.5340                 NaN            NaN  0.518965E-001  0.418109       0.548555       0.447429                 NaN            NaN            NaN            NaN
  1406.88        2500.00                 NaN   98.5639                 NaN            NaN  0.504034E-001  0.408564       0.538863       0.438254                 NaN            NaN            NaN            NaN
  1405.36        2500.00                 NaN   98.5927                 NaN            NaN  0.489911E-001  0.399504       0.529499       0.429294                 NaN            NaN            NaN            NaN
  1403.85        2500.00                 NaN   98.6208                 NaN            NaN  0.475483E-001  0.520216       0.390903       0.420569                 NaN            NaN            NaN            NaN
  1402.33        2500.00                 NaN   98.6472                 NaN            NaN  0.461713E-001  0.511804       0.382475       0.412373                 NaN            NaN            NaN            NaN
  1400.81        2500.00                 NaN   98.6736                 NaN            NaN  0.448731E-001  0.374452       0.502937       0.404100                 NaN            NaN            NaN            NaN
  1399.29        2500.00                 NaN   98.6981                 NaN            NaN  0.437040E-001  0.494556       0.367132       0.396536                 NaN            NaN            NaN            NaN
  1397.77        2500.00                 NaN   98.7230                 NaN            NaN  0.422712E-001  0.487205       0.358703       0.388816                 NaN            NaN            NaN            NaN
  1396.26        2500.00                 NaN   98.7465                 NaN            NaN  0.409635E-001  0.350497       0.480478       0.381571                 NaN            NaN            NaN            NaN
  1394.74        2500.00                 NaN   98.7690                 NaN            NaN  0.399018E-001  0.344337       0.472345       0.374381                 NaN            NaN            NaN            NaN
  1393.22        2500.00                 NaN   98.7915                 NaN            NaN  0.386954E-001  0.336942       0.465440       0.367463                 NaN            NaN            NaN            NaN
  1391.70        2500.00                 NaN   98.8130                 NaN            NaN  0.376428E-001  0.458679       0.329864       0.360807                 NaN            NaN            NaN            NaN
  1390.18        2500.00                 NaN   98.8342                 NaN            NaN  0.363750E-001  0.323182       0.452152       0.354056                 NaN            NaN            NaN            NaN
  1388.66        2500.00                 NaN   98.8541                 NaN            NaN  0.354134E-001  0.445661       0.316964       0.347818                 NaN            NaN            NaN            NaN
  1387.15        2500.00                 NaN   98.8728                 NaN            NaN  0.349018E-001  0.438734       0.311465       0.342108                 NaN            NaN            NaN            NaN
  1385.63        2500.00                 NaN   98.8942                 NaN            NaN  0.332027E-001  0.304235       0.433223       0.335180                 NaN            NaN            NaN            NaN
  1384.11        2500.00                 NaN   98.9117                 NaN            NaN  0.324323E-001  0.427558       0.298542       0.329748                 NaN            NaN            NaN            NaN
  1382.59        2500.00                 NaN   98.9282                 NaN            NaN  0.315212E-001  0.422580       0.293055       0.324633                 NaN            NaN            NaN            NaN
  1381.07        2500.00                 NaN   98.9483                 NaN            NaN  0.303652E-001  0.416482       0.286656       0.318168                 NaN            NaN            NaN            NaN
  1379.56        2500.00                 NaN   98.9646                 NaN            NaN  0.295640E-001  0.281536       0.411236       0.313084                 NaN            NaN            NaN            NaN
  1378.04        2500.00                 NaN   98.9807                 NaN            NaN  0.286748E-001  0.406295       0.276274       0.308086                 NaN            NaN            NaN            NaN
  1376.52        2500.00                 NaN   98.9972                 NaN            NaN  0.277557E-001  0.271133       0.401115       0.302785                 NaN            NaN            NaN            NaN
  1375.00        2500.00                 NaN   99.0128                 NaN            NaN  0.269599E-001  0.396245       0.266080       0.297896                 NaN            NaN            NaN            NaN
  1373.48        2500.00                 NaN   99.0277                 NaN            NaN  0.261531E-001  0.261439       0.391528       0.293173                 NaN            NaN            NaN            NaN
  1371.96        2500.00                 NaN   99.0437                 NaN            NaN  0.252741E-001  0.256147       0.386802       0.288094                 NaN            NaN            NaN            NaN
  1370.45        2500.00                 NaN   99.0576                 NaN            NaN  0.244759E-001  0.382588       0.251634       0.283727                 NaN            NaN            NaN            NaN
  1368.93        2500.00                 NaN   99.0719                 NaN            NaN  0.237237E-001  0.247055       0.378152       0.279134                 NaN            NaN            NaN            NaN
  1367.41        2500.00                 NaN   99.0858                 NaN            NaN  0.229654E-001  0.373980       0.242441       0.274767                 NaN            NaN            NaN            NaN
  1365.89        2500.00                 NaN   99.0993                 NaN            NaN  0.222536E-001  0.237945       0.369990       0.270514                 NaN            NaN            NaN            NaN
  1364.37        2500.00                 NaN   99.1126                 NaN            NaN  0.214338E-001  0.233760       0.366005       0.266239                 NaN            NaN            NaN            NaN
  1362.85        2500.00                 NaN   99.1251                 NaN            NaN  0.206729E-001  0.362752       0.229154       0.262297                 NaN            NaN            NaN            NaN
  1361.34        2500.00                 NaN   99.1380                 NaN            NaN  0.199594E-001  0.358743       0.225162       0.258137                 NaN            NaN            NaN            NaN
  1359.82        2500.00                 NaN   99.1501                 NaN            NaN  0.193372E-001  0.354876       0.221381       0.254306                 NaN            NaN            NaN            NaN
  1358.30        2500.00                 NaN   99.1620                 NaN            NaN  0.186228E-001  0.351492       0.217390       0.250484                 NaN            NaN            NaN            NaN
  1356.78        2500.00                 NaN   99.1737                 NaN            NaN  0.179857E-001  0.213633       0.347891       0.246748                 NaN            NaN            NaN            NaN
  1355.26        2500.00                 NaN   99.1850                 NaN            NaN  0.173219E-001  0.209798       0.344679       0.243171                 NaN            NaN            NaN            NaN
  1353.75        2500.00                 NaN   99.1959                 NaN            NaN  0.166499E-001  0.205944       0.341831       0.239679                 NaN            NaN            NaN            NaN
  1352.23        2500.00                 NaN   99.2073                 NaN            NaN  0.160253E-001  0.202886       0.337839       0.235919                 NaN            NaN            NaN            NaN
  1350.71        2500.00                 NaN   99.2150                 NaN            NaN  0.154245E-001  0.200003       0.335901       0.233656                 NaN            NaN            NaN            NaN
  1349.19        2500.00                 NaN   99.2306                 NaN            NaN  0.146591E-001  0.331618       0.194789       0.228364                 NaN            NaN            NaN            NaN
  1347.67        2500.00                 NaN   99.2385                 NaN            NaN  0.142252E-001  0.329224       0.192054       0.226033                 NaN            NaN            NaN            NaN
  1346.15        2500.00                 NaN   99.2482                 NaN            NaN  0.136123E-001  0.188909       0.326386       0.222858                 NaN            NaN            NaN            NaN
  1344.64        2500.00                 NaN   99.2576                 NaN            NaN  0.130441E-001  0.185731       0.323709       0.219924                 NaN            NaN            NaN            NaN
  1343.12        2500.00                 NaN   99.2674                 NaN            NaN  0.124556E-001  0.321153       0.182282       0.216659                 NaN            NaN            NaN            NaN
  1341.60        2500.00                 NaN   99.2751                 NaN            NaN  0.120383E-001  0.179897       0.318723       0.214212                 NaN            NaN            NaN            NaN
  1340.08        2500.00                 NaN   99.2878                 NaN            NaN  0.113341E-001  0.314631       0.176185       0.210047                 NaN            NaN            NaN            NaN
  1338.56        2500.00                 NaN   99.2945                 NaN            NaN  0.107961E-001  0.173607       0.313153       0.207965                 NaN            NaN            NaN            NaN
  1337.04        2500.00                 NaN   99.3036                 NaN            NaN  0.102270E-001  0.311000       0.170180       0.204985                 NaN            NaN            NaN            NaN
  1335.53        2500.00                 NaN   99.3116                 NaN            NaN  0.961395E-002  0.308974       0.167339       0.202472                 NaN            NaN            NaN            NaN
  1334.01        2500.00                 NaN   99.3207                 NaN            NaN  0.922250E-002  0.164531       0.306067       0.199447                 NaN            NaN            NaN            NaN
  1332.49        2500.00                 NaN   99.3282                 NaN            NaN  0.866649E-002  0.161924       0.304140       0.197068                 NaN            NaN            NaN            NaN
  1330.97        2500.00                 NaN   99.3365                 NaN            NaN  0.809793E-002  0.302093       0.159000       0.194356                 NaN            NaN            NaN            NaN
  1329.45        2500.00                 NaN   99.3445                 NaN            NaN  0.770911E-002  0.299417       0.156624       0.191747                 NaN            NaN            NaN            NaN
  1327.94        2500.00                 NaN   99.3518                 NaN            NaN  0.721932E-002  0.154016       0.297551       0.189410                 NaN            NaN            NaN            NaN
  1326.42        2500.00                 NaN   99.3597                 NaN            NaN  0.669731E-002  0.295243       0.151570       0.186755                 NaN            NaN            NaN            NaN
  1324.90        2500.00                 NaN   99.3669                 NaN            NaN  0.634653E-002  0.293039       0.149248       0.184508                 NaN            NaN            NaN            NaN
  1323.38        2500.00                 NaN   99.3744                 NaN            NaN  0.569785E-002  0.146112       0.291747       0.182047                 NaN            NaN            NaN            NaN
  1321.86        2500.00                 NaN   99.3811                 NaN            NaN  0.548581E-002  0.288749       0.144771       0.179874                 NaN            NaN            NaN            NaN
  1320.34        2500.00                 NaN   84.9511                 NaN  0.700465       0.189867        1.39565        1.88444        1.90116        8.97731                 NaN            NaN            NaN
  1318.83        2500.00                 NaN   69.6947                 NaN   1.77428       0.360673        2.00776        3.83648        3.69611        18.6300                 NaN            NaN            NaN
  1317.31        2500.00                 NaN   75.6310                 NaN   1.53190       0.287771        3.13644        1.42485        2.96837        15.0197                 NaN            NaN            NaN
  1315.79        2500.00                 NaN   79.7093                 NaN   1.36040       0.237452        2.65164        1.03468        2.46891        12.5376                 NaN            NaN            NaN
  1314.27        2500.00                 NaN   82.6830                 NaN   1.23055       0.200694        2.29497       0.759347        2.10519        10.7262                 NaN            NaN            NaN
  1312.75        2500.00                 NaN   84.9403                 NaN   1.12839       0.172757        2.02313       0.556247        1.82933        9.34987                 NaN            NaN            NaN
  1311.24        2500.00                 NaN   86.7158                 NaN   1.04569       0.150593        1.80805       0.401356        1.61253        8.26601                 NaN            NaN            NaN
  1309.72        2500.00                 NaN   88.1336                 NaN  0.976065       0.133189        1.63635       0.281909        1.43938        7.39952                 NaN            NaN            NaN
  1308.20        2500.00                 NaN   89.3068                 NaN  0.915666       0.118769        1.49292       0.188372        1.29636        6.68107                 NaN            NaN            NaN
  1306.68        2500.00                 NaN   90.2865                 NaN  0.862545       0.106827        1.37247       0.114422        1.17690        6.08031                 NaN            NaN            NaN
  1305.16        2500.00                 NaN   91.1153                 NaN  0.815661       0.967017E-001   1.27035       0.552807E-001   1.07596        5.57078                 NaN            NaN            NaN
  1303.64        2500.00                 NaN   91.8282                 NaN  0.772243       0.882288E-001   1.18164       0.919747E-002  0.989229        5.13121                 NaN            NaN            NaN
  1302.13        2500.00                 NaN   92.4432                 NaN  0.719650       0.819565E-001   1.09570                 NaN  0.914853        4.74463                 NaN            NaN            NaN
