|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/WD94/WD94_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1482.18        500.000                 NaN            NaN   99.5047                 NaN  0.495325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.77        500.000                 NaN            NaN   99.5224                 NaN  0.477579                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.37        500.000                 NaN            NaN   99.5162                 NaN  0.483770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.96        500.000                 NaN            NaN   99.5196                 NaN  0.480400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.55        500.000                 NaN            NaN   99.5228                 NaN  0.477237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.15        500.000                 NaN            NaN   99.5227                 NaN  0.477278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.74        500.000                 NaN            NaN   99.5261                 NaN  0.473928                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.34        500.000                 NaN            NaN   99.5282                 NaN  0.471848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.93        500.000                 NaN            NaN   99.5330                 NaN  0.467048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.53        500.000                 NaN            NaN   99.5322                 NaN  0.467848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.12        500.000                 NaN            NaN   99.5361                 NaN  0.463852                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.71        500.000                 NaN            NaN   99.5393                 NaN  0.460716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.31        500.000                 NaN            NaN   99.5165                 NaN  0.483549                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.90        500.000                 NaN            NaN   99.5682                 NaN  0.431765                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.50        500.000                 NaN            NaN   99.5470                 NaN  0.452956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.09        500.000                 NaN            NaN   99.5487                 NaN  0.451257                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.68        500.000                 NaN            NaN   99.5483                 NaN  0.451666                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.28        500.000                 NaN            NaN   99.5862                 NaN  0.413800                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.87        500.000                 NaN            NaN   99.5200                 NaN  0.480023                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.47        500.000                 NaN            NaN   99.2425                 NaN  0.757510                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.06        500.000                 NaN            NaN   99.7959                 NaN  0.204147                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.66        500.000                 NaN            NaN   99.6849       0.119923E-005  0.315051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.25        500.000                 NaN            NaN   99.6402                 NaN  0.359826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.84        500.000                 NaN            NaN   99.4352                 NaN  0.564769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.44        500.000                 NaN            NaN   99.5632                 NaN  0.436838                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.03        500.000                 NaN            NaN   99.5687                 NaN  0.431283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.63        500.000                 NaN            NaN   99.5666                 NaN  0.433429                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.22        500.000                 NaN            NaN   99.5684                 NaN  0.431621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.82        500.000                 NaN            NaN   99.5707                 NaN  0.429310                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.41        500.000                 NaN            NaN   99.4777                 NaN  0.372394       0.149916                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.00        500.000                 NaN            NaN   99.1180                 NaN  0.300604       0.581432                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.60        500.000                 NaN            NaN   99.1708                 NaN  0.281286       0.547951                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.19        500.000                 NaN            NaN   99.1736                 NaN  0.279964       0.546390                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.79        500.000                 NaN            NaN   99.1796                 NaN  0.277576       0.542794                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.38        500.000                 NaN            NaN   99.1827                 NaN  0.275594       0.541741                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.98        500.000                 NaN            NaN   99.1979                 NaN  0.271625       0.530523                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.57        500.000                 NaN            NaN   99.1995                 NaN  0.269598       0.530903                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.16        500.000                 NaN            NaN   99.2053                 NaN  0.267339       0.527326                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.76        500.000                 NaN            NaN   99.1923                 NaN  0.964751E-001  0.214426       0.496791                 NaN            NaN            NaN            NaN            NaN
  1427.35        500.000                 NaN            NaN   99.1925                 NaN  0.664314E-001  0.249487       0.491541                 NaN            NaN            NaN            NaN            NaN
  1425.95        500.000                 NaN            NaN   99.2050                 NaN  0.636754E-001  0.248628       0.482698                 NaN            NaN            NaN            NaN            NaN
  1424.54        500.000                 NaN            NaN   99.2075                 NaN  0.613674E-001  0.249722       0.481365                 NaN            NaN            NaN            NaN            NaN
  1423.14        500.000                 NaN            NaN   99.2134       0.173997E-005  0.605958E-001  0.477842       0.248136                 NaN            NaN            NaN            NaN            NaN
  1421.73        500.000                 NaN            NaN   99.2192                 NaN  0.579401E-001  0.248650       0.474204                 NaN            NaN            NaN            NaN            NaN
  1420.32        500.000                 NaN            NaN   99.2247                 NaN  0.558291E-001  0.248684       0.470779                 NaN            NaN            NaN            NaN            NaN
  1418.92        500.000                 NaN            NaN   99.2296                 NaN  0.590230E-001  0.468790       0.242628                 NaN            NaN            NaN            NaN            NaN
  1417.51        500.000                 NaN            NaN   99.2361                 NaN  0.552205E-001  0.244394       0.464265                 NaN            NaN            NaN            NaN            NaN
  1416.11        500.000                 NaN            NaN   99.2413                 NaN  0.529850E-001  0.461109       0.244595                 NaN            NaN            NaN            NaN            NaN
  1414.70        500.000                 NaN            NaN   99.2462                 NaN  0.506495E-001  0.457937       0.245202                 NaN            NaN            NaN            NaN            NaN
  1413.29        500.000                 NaN            NaN   99.2509                 NaN  0.489089E-001  0.245023       0.455217                 NaN            NaN            NaN            NaN            NaN
  1411.89        500.000                 NaN            NaN   99.2561                 NaN  0.447701E-001  0.247472       0.451697                 NaN            NaN            NaN            NaN            NaN
  1410.48        500.000                 NaN            NaN   99.2616                 NaN  0.488827E-001  0.449047       0.240435                 NaN            NaN            NaN            NaN            NaN
  1409.08        500.000                 NaN            NaN   99.2659                 NaN  0.446771E-001  0.243250       0.446132                 NaN            NaN            NaN            NaN            NaN
  1407.67        500.000                 NaN            NaN   99.2714                 NaN  0.482482E-001  0.236820       0.443540                 NaN            NaN            NaN            NaN            NaN
  1406.27        500.000                 NaN            NaN   99.2758                 NaN  0.483612E-001  0.234958       0.440903                 NaN            NaN            NaN            NaN            NaN
  1404.86        500.000                 NaN            NaN   99.2741                 NaN  0.437013E-001  0.241103       0.437950                 NaN  0.314651E-002            NaN            NaN            NaN
  1403.45        500.000                 NaN            NaN   98.2612                 NaN            NaN  0.499393       0.765954                 NaN  0.473446                 NaN            NaN            NaN
  1402.05        500.000                 NaN            NaN   98.2891                 NaN            NaN  0.753793       0.491512                 NaN  0.465581                 NaN            NaN            NaN
  1400.64        500.000                 NaN            NaN   98.3147                 NaN            NaN  0.743246       0.483573                 NaN  0.458459                 NaN            NaN            NaN
  1399.24        500.000                 NaN            NaN   98.3416                 NaN            NaN  0.731400       0.476008                 NaN  0.451038                 NaN            NaN            NaN
  1397.83        500.000                 NaN            NaN   98.3668                 NaN            NaN  0.468207       0.720896                 NaN  0.444109                 NaN            NaN            NaN
  1396.43        500.000                 NaN            NaN   98.3915                 NaN            NaN  0.461189       0.710266                 NaN  0.437057                 NaN            NaN            NaN
  1395.02        500.000                 NaN            NaN   98.4166                 NaN            NaN  0.453496       0.699781                 NaN  0.430130                 NaN            NaN            NaN
  1393.61        500.000                 NaN            NaN   98.4384                 NaN            NaN  0.690586       0.447192                 NaN  0.423826                 NaN            NaN            NaN
  1392.21        500.000                 NaN            NaN   98.4599                 NaN            NaN  0.681062       0.441383                 NaN  0.417609                 NaN            NaN            NaN
  1390.80        500.000                 NaN            NaN   98.4862                 NaN            NaN  0.670287       0.432980                 NaN  0.410505                 NaN            NaN            NaN
  1389.40        500.000                 NaN            NaN   98.5072                 NaN            NaN  0.661532       0.426781                 NaN  0.404491                 NaN            NaN            NaN
  1387.99        500.000                 NaN            NaN   98.5275                 NaN            NaN  0.653123       0.420410                 NaN  0.398923                 NaN            NaN            NaN
  1386.59        500.000                 NaN            NaN   98.5487                 NaN            NaN  0.644242       0.414185                 NaN  0.392834                 NaN            NaN            NaN
  1385.18        500.000                 NaN            NaN   98.5683       0.984548E-006            NaN  0.408453       0.635918                 NaN  0.387338                 NaN            NaN            NaN
  1383.77        500.000                 NaN            NaN   98.5889                 NaN            NaN  0.402132       0.627225                 NaN  0.381789                 NaN            NaN            NaN
  1382.37        500.000                 NaN            NaN   98.6060       0.274278E-001            NaN  0.403149       0.582805                 NaN  0.380642                 NaN            NaN            NaN
  1380.96        500.000                 NaN            NaN   98.6327       0.148742                 NaN  0.405367       0.425085                 NaN  0.388093                 NaN            NaN            NaN
  1379.56        500.000                 NaN            NaN   98.6469       0.150758                 NaN  0.421971       0.396157                 NaN  0.384251                 NaN            NaN            NaN
  1378.15        500.000                 NaN            NaN   98.8004       0.326284                 NaN  0.506414                 NaN            NaN  0.366907                 NaN            NaN            NaN
  1376.74        500.000                 NaN            NaN   98.5534                 NaN            NaN  0.326241       0.732155                 NaN  0.388247                 NaN            NaN            NaN
  1375.34        500.000                 NaN            NaN   98.7014       0.129812                 NaN  0.401402       0.401015                 NaN  0.366375                 NaN            NaN            NaN
  1373.93        500.000                 NaN            NaN   98.7189       0.155218                 NaN  0.358775       0.402484                 NaN  0.364603                 NaN            NaN            NaN
  1372.53        500.000                 NaN            NaN   98.7356       0.156385                 NaN  0.349943       0.398071                 NaN  0.359966                 NaN            NaN            NaN
  1371.12        500.000                 NaN            NaN   98.7508       0.157732                 NaN  0.393641       0.341893                 NaN  0.355896                 NaN            NaN            NaN
  1369.72        500.000                 NaN            NaN   98.7686       0.158690                 NaN  0.390070       0.331820                 NaN  0.350791                 NaN            NaN            NaN
  1368.31        500.000                 NaN            NaN   98.7846       0.159302                 NaN  0.385146       0.324665                 NaN  0.346319                 NaN            NaN            NaN
  1366.90        500.000                 NaN            NaN   98.7994       0.160937                 NaN  0.381183       0.316112                 NaN  0.342364                 NaN            NaN            NaN
  1365.50        500.000                 NaN            NaN   98.8143       0.162320                 NaN  0.377651       0.307461                 NaN  0.338288                 NaN            NaN            NaN
  1364.09        500.000                 NaN            NaN   98.8291       0.162777                 NaN  0.300215       0.373906                 NaN  0.333969                 NaN            NaN            NaN
  1362.69        500.000                 NaN            NaN   98.8430       0.163903                 NaN  0.292738       0.370198                 NaN  0.330186                 NaN            NaN            NaN
  1361.28        500.000                 NaN            NaN   98.8574       0.164940                 NaN  0.366264       0.285205                 NaN  0.326197                 NaN            NaN            NaN
  1359.88        500.000                 NaN            NaN   98.8707       0.166593                 NaN  0.362941       0.277136                 NaN  0.322627                 NaN            NaN            NaN
  1358.47        500.000                 NaN            NaN   98.8859       0.166492                 NaN  0.270517       0.358883                 NaN  0.318178                 NaN            NaN            NaN
  1357.06        500.000                 NaN            NaN   98.8975       0.167930                 NaN  0.263645       0.355932                 NaN  0.314946                 NaN            NaN            NaN
  1355.66        500.000                 NaN            NaN   98.9108       0.168804                 NaN  0.256589       0.352545                 NaN  0.311251                 NaN            NaN            NaN
  1354.25        500.000                 NaN            NaN   98.9217       0.172221                 NaN  0.247246       0.350191                 NaN  0.308659                 NaN            NaN            NaN
  1352.85        500.000                 NaN            NaN   98.9364       0.168778                 NaN  0.245514       0.345394                 NaN  0.303959                 NaN            NaN            NaN
  1351.44        500.000                 NaN            NaN   98.9492       0.170858                 NaN  0.342444       0.237161                 NaN  0.300291                 NaN            NaN            NaN
  1350.04        500.000                 NaN            NaN   98.9591       0.173007                 NaN  0.340896       0.229102                 NaN  0.297918                 NaN            NaN            NaN
  1348.63        500.000                 NaN            NaN   98.9730       0.171585                 NaN  0.335833       0.225960                 NaN  0.293576                 NaN            NaN            NaN
  1347.22        500.000                 NaN            NaN   98.9835       0.173702                 NaN  0.333884       0.218103                 NaN  0.290794                 NaN            NaN            NaN
  1345.82        500.000                 NaN            NaN   98.9938       0.174697                 NaN  0.212358       0.331151                 NaN  0.287955                 NaN            NaN            NaN
  1344.41        500.000                 NaN            NaN   99.0351       0.171752                 NaN  0.320326       0.196271                 NaN  0.276554                 NaN            NaN            NaN
  1343.01        500.000                 NaN            NaN   98.9875       0.178282                 NaN  0.211271       0.333873                 NaN  0.289063                 NaN            NaN            NaN
  1341.60        500.000                 NaN            NaN   99.0281       0.176230                 NaN  0.322414       0.195109                 NaN  0.278171                 NaN            NaN            NaN
  1340.19        500.000                 NaN            NaN   99.0383       0.176696                 NaN  0.319891       0.189932                 NaN  0.275185                 NaN            NaN            NaN
  1338.79        500.000                 NaN            NaN   99.0472       0.177378                 NaN  0.185231       0.317433                 NaN  0.272759                 NaN            NaN            NaN
  1337.38        500.000                 NaN            NaN   99.0595       0.177162                 NaN  0.314705       0.179706                 NaN  0.268900                 NaN            NaN            NaN
  1335.98        500.000                 NaN            NaN   99.0686       0.178136                 NaN  0.312193       0.174561                 NaN  0.266501                 NaN            NaN            NaN
  1334.57        500.000                 NaN            NaN   99.0754       0.180324                 NaN  0.168452       0.311063                 NaN  0.264714                 NaN            NaN            NaN
  1333.17        500.000                 NaN            NaN   99.0908       0.177080                 NaN  0.305335       0.166922                 NaN  0.259815                 NaN            NaN            NaN
  1331.76        500.000                 NaN            NaN   99.0978       0.178774                 NaN  0.304349       0.161101                 NaN  0.258018                 NaN            NaN            NaN
  1330.35        500.000                 NaN            NaN   99.1063       0.179632                 NaN  0.156111       0.302348                 NaN  0.255574                 NaN            NaN            NaN
  1328.95        500.000                 NaN            NaN   99.1169       0.178902                 NaN  0.298903       0.152657                 NaN  0.252632                 NaN            NaN            NaN
  1327.54        500.000                 NaN            NaN   99.1263       0.179814                 NaN  0.297004       0.147188                 NaN  0.249662                 NaN            NaN            NaN
  1326.14        500.000                 NaN            NaN   99.1344       0.179337                 NaN  0.294568       0.144326                 NaN  0.247321                 NaN            NaN            NaN
  1324.73        500.000                 NaN            NaN   99.1423       0.179287                 NaN  0.140809       0.292639                 NaN  0.244958                 NaN            NaN            NaN
  1323.33        500.000                 NaN            NaN   99.1509       0.179467                 NaN  0.136757       0.290479                 NaN  0.242422                 NaN            NaN            NaN
  1321.92        500.000                 NaN            NaN   99.1595       0.178986                 NaN  0.133907       0.287813                 NaN  0.239823                 NaN            NaN            NaN
  1320.51        500.000                 NaN            NaN   99.1683       0.178770                 NaN  0.285510       0.130177                 NaN  0.237237                 NaN            NaN            NaN
  1319.11        500.000                 NaN            NaN   99.1759       0.178586                 NaN  0.283396       0.127168                 NaN  0.234992                 NaN            NaN            NaN
  1317.70        500.000                 NaN            NaN   99.1845       0.178316                 NaN  0.280903       0.123842                 NaN  0.232429                 NaN            NaN            NaN
  1316.30        500.000                 NaN            NaN   99.1924       0.178123                 NaN  0.278710       0.120658                 NaN  0.230075                 NaN            NaN            NaN
  1314.89        500.000                 NaN            NaN   99.1998       0.177531                 NaN  0.118146       0.276726                 NaN  0.227812                 NaN            NaN            NaN
  1313.49        500.000                 NaN            NaN   99.2079       0.176785                 NaN  0.274378       0.115602                 NaN  0.225355                 NaN            NaN            NaN
  1312.08        500.000                 NaN            NaN   99.2154       0.176310                 NaN  0.113069       0.272149                 NaN  0.223094                 NaN            NaN            NaN
  1310.67        500.000                 NaN            NaN   99.2229       0.175722                 NaN  0.110702       0.269899                 NaN  0.220826                 NaN            NaN            NaN
  1309.27        500.000                 NaN            NaN   99.2299       0.175412                 NaN  0.108187       0.267791                 NaN  0.218697                 NaN            NaN            NaN
  1307.86        500.000                 NaN            NaN   99.2373       0.173946                 NaN  0.265595       0.106806                 NaN  0.216339                 NaN            NaN            NaN
  1306.46        500.000                 NaN            NaN   99.2440       0.173411                 NaN  0.263448       0.104767                 NaN  0.214329                 NaN            NaN            NaN
  1305.05        500.000                 NaN            NaN   99.2513       0.172352                 NaN  0.261334       0.102990                 NaN  0.212022                 NaN            NaN            NaN
  1303.65        500.000                 NaN            NaN   99.2581       0.171740                 NaN  0.259307       0.100857                 NaN  0.210026                 NaN            NaN            NaN
  1302.24        500.000                 NaN            NaN   99.2651       0.170053                 NaN  0.100216       0.256872                 NaN  0.207714                 NaN            NaN            NaN
  1300.83        500.000                 NaN            NaN   99.2714       0.169352                 NaN  0.254925       0.985205E-001            NaN  0.205763                 NaN            NaN            NaN
  1299.43        500.000                 NaN            NaN   99.2786       0.168464                 NaN  0.252778       0.965257E-001            NaN  0.203640                 NaN            NaN            NaN
  1298.02        500.000                 NaN            NaN   99.2845       0.166920                 NaN  0.250659       0.962357E-001            NaN  0.201665                 NaN            NaN            NaN
  1296.62        500.000                 NaN            NaN   99.2915       0.165747                 NaN  0.248385       0.948147E-001            NaN  0.199528                 NaN            NaN            NaN
  1295.21        500.000                 NaN            NaN   99.2971       0.164341                 NaN  0.943984E-001  0.246420                 NaN  0.197694                 NaN            NaN            NaN
  1293.80        500.000                 NaN            NaN   99.3013       0.163181                 NaN  0.943197E-001  0.244891                 NaN  0.196308                 NaN            NaN            NaN
  1292.40        500.000                 NaN            NaN   99.3108       0.160485                 NaN  0.241432       0.940139E-001            NaN  0.193249                 NaN            NaN            NaN
  1290.99        500.000                 NaN            NaN   99.3162       0.160254                 NaN  0.239782       0.919662E-001            NaN  0.191794                 NaN            NaN            NaN
  1289.59        500.000                 NaN            NaN   99.3221       0.158655                 NaN  0.238017       0.913635E-001            NaN  0.189814                 NaN            NaN            NaN
  1288.18        500.000                 NaN            NaN   99.3276       0.156759                 NaN  0.917181E-001  0.235870                 NaN  0.188036                 NaN            NaN            NaN
  1286.78        500.000                 NaN            NaN   99.3324       0.158587                 NaN  0.864279E-001  0.235540                 NaN  0.187018                 NaN            NaN            NaN
  1285.37        500.000                 NaN            NaN   99.3405       0.149703                 NaN  0.229589       0.967807E-001            NaN  0.183458                 NaN            NaN            NaN
  1283.96        500.000                 NaN            NaN   99.3448       0.151712                 NaN  0.229373       0.916004E-001            NaN  0.182494                 NaN            NaN            NaN
  1282.56        500.000                 NaN            NaN   99.3506       0.149788                 NaN  0.227094       0.918204E-001            NaN  0.180698                 NaN            NaN            NaN
  1281.15        500.000                 NaN            NaN   99.3552       0.147757                 NaN  0.929374E-001  0.224918                 NaN  0.179147                 NaN            NaN            NaN
  1279.75        500.000                 NaN            NaN   99.3611       0.145474                 NaN  0.935578E-001  0.222690                 NaN  0.177191                 NaN            NaN            NaN
  1278.34        500.000                 NaN            NaN   99.3668       0.144382                 NaN  0.924885E-001  0.220768                 NaN  0.175521                 NaN            NaN            NaN
  1276.94        500.000                 NaN            NaN   99.3719       0.141772                 NaN  0.942445E-001  0.218334                 NaN  0.173788                 NaN            NaN            NaN
  1275.53        500.000                 NaN            NaN   95.7221       0.220229                 NaN  0.777171       0.531457                 NaN  0.564429        2.18463                 NaN            NaN
  1274.12        500.000                 NaN            NaN   91.0177       0.299470                 NaN  0.922529        1.70329                 NaN   1.06771        4.98926                 NaN            NaN
