|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.5/YM20/YM20_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1592.25        2500.00                 NaN   99.1742                 NaN  0.914666E-001  0.734320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.70        2500.00                 NaN   99.1235                 NaN  0.971894E-001  0.779353                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.16        2500.00                 NaN   99.2568                 NaN  0.784181E-001  0.664759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.62        2500.00                 NaN   99.1956                 NaN  0.859838E-001  0.718438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.08        2500.00                 NaN   99.2092                 NaN  0.846178E-001  0.706144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.53        2500.00                 NaN   99.2136                 NaN  0.838386E-001  0.702523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.99        2500.00                 NaN   99.2195                 NaN  0.822897E-001  0.698209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00                 NaN   99.2269                 NaN  0.818765E-001  0.691224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        2500.00                 NaN   99.2331                 NaN  0.799339E-001  0.686948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.36        2500.00                 NaN   99.2406                 NaN  0.796252E-001  0.679744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.82        2500.00                 NaN   99.2447                 NaN  0.772908E-001  0.677968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.28        2500.00                 NaN   99.2511                 NaN  0.772074E-001  0.671719                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00                 NaN   99.2575                 NaN  0.752129E-001  0.667289                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.20        2500.00                 NaN   99.2693                 NaN  0.742835E-001  0.656433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.65        2500.00                 NaN   99.5918                 NaN  0.440273E-001  0.364176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.11        2500.00                 NaN   98.9563                 NaN  0.103194       0.940489                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        2500.00                 NaN   99.2867                 NaN  0.715857E-001  0.641675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.03        2500.00                 NaN   99.2868                 NaN  0.687976E-001  0.644446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.48        2500.00                 NaN   99.3716                 NaN  0.606034E-001  0.567758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.94        2500.00                 NaN   99.2227                 NaN  0.768833E-001  0.700416                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00                 NaN   99.3060                 NaN  0.661869E-001  0.627774                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        2500.00                 NaN   99.2777                 NaN  0.670471E-001  0.655223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.31        2500.00                 NaN   99.3484                 NaN  0.619570E-001  0.589682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.77        2500.00                 NaN   99.3203                 NaN  0.631260E-001  0.616578                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.23        2500.00                 NaN   99.3267                 NaN  0.628830E-001  0.610398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.69        2500.00                 NaN   99.3317                 NaN  0.617944E-001  0.606521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.15        2500.00                 NaN   99.7174                 NaN  0.223488E-001  0.260272                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.60        2500.00                 NaN   98.9554                 NaN  0.935776E-001  0.951039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.06        2500.00                 NaN   99.3442                 NaN  0.581527E-001  0.597623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.52        2500.00                 NaN   99.2634                 NaN  0.647824E-001  0.671798                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.98        2500.00                 NaN   99.4436                 NaN  0.488021E-001  0.507606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.43        2500.00                 NaN   99.3602                 NaN  0.561506E-001  0.583601                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        2500.00                 NaN   99.3647                 NaN  0.362888E-001  0.599001                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00                 NaN   99.3668                 NaN  0.709929E-001  0.562170                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        2500.00                 NaN   99.4805                 NaN  0.437680E-001  0.475738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.26        2500.00                 NaN   99.2680                 NaN  0.594190E-001  0.672561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.72        2500.00                 NaN   99.3806                 NaN  0.503859E-001  0.569030                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.18        2500.00                 NaN   99.3782                 NaN  0.481069E-001  0.573679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.64        2500.00                 NaN   99.3954                 NaN  0.492721E-001  0.555322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00                 NaN   99.3925                 NaN  0.508491E-001  0.556648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.55        2500.00                 NaN   99.3963                 NaN  0.422537E-001  0.561421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.01        2500.00                 NaN   99.3962                 NaN  0.450080E-001  0.558783                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.47        2500.00                 NaN   99.4080                 NaN  0.440152E-001  0.547946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00                 NaN   99.4074                 NaN  0.513136E-001  0.541324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.38        2500.00                 NaN   99.4105                 NaN  0.337010E-001  0.555819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.84        2500.00                 NaN   99.4133                 NaN  0.406000E-001  0.546144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00                 NaN   99.4166                 NaN  0.395687E-001  0.543843                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.76        2500.00                 NaN   99.4194                 NaN  0.378901E-001  0.542699                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.21        2500.00                 NaN   99.4239                 NaN  0.376489E-001  0.538492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.67        2500.00                 NaN   99.3795                 NaN  0.210271E-001  0.392655       0.206787                 NaN            NaN            NaN            NaN            NaN            NaN
  1515.13        2500.00                 NaN   99.3210                 NaN  0.164270E-001            NaN  0.662589                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.59        2500.00                 NaN   99.9834                 NaN  0.166114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.05        2500.00                 NaN   98.3486                 NaN            NaN            NaN   1.65142                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.50        2500.00                 NaN   99.2056                 NaN            NaN            NaN  0.794422                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        2500.00                 NaN   99.1996                 NaN            NaN            NaN  0.800362                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.42        2500.00                 NaN   99.1923                 NaN            NaN            NaN  0.807673                 NaN            NaN            NaN            NaN            NaN            NaN
  1505.88        2500.00                 NaN   99.1788                 NaN  0.191328E-005            NaN  0.821207                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.33        2500.00                 NaN   98.7380                 NaN            NaN            NaN  0.509833       0.752167                 NaN            NaN            NaN            NaN            NaN
  1502.79        2500.00                 NaN   98.7090                 NaN            NaN            NaN  0.472598       0.818369                 NaN            NaN            NaN            NaN            NaN
  1501.25        2500.00                 NaN   98.7207                 NaN            NaN            NaN  0.811178       0.468093                 NaN            NaN            NaN            NaN            NaN
  1499.71        2500.00                 NaN   98.7332                 NaN            NaN            NaN  0.462720       0.804065                 NaN            NaN            NaN            NaN            NaN
  1498.16        2500.00                 NaN   98.7451                 NaN            NaN            NaN  0.796733       0.458192                 NaN            NaN            NaN            NaN            NaN
  1496.62        2500.00                 NaN   98.7562                 NaN            NaN            NaN  0.790135       0.453616                 NaN            NaN            NaN            NaN            NaN
  1495.08        2500.00                 NaN   98.7677                 NaN            NaN            NaN  0.449542       0.782791                 NaN            NaN            NaN            NaN            NaN
  1493.54        2500.00                 NaN   98.7802                 NaN            NaN            NaN  0.444051       0.775734                 NaN            NaN            NaN            NaN            NaN
  1492.00        2500.00                 NaN   98.7902                 NaN            NaN            NaN  0.439714       0.770083                 NaN            NaN            NaN            NaN            NaN
  1490.45        2500.00                 NaN   98.7835                 NaN  0.633702E-001            NaN  0.802160       0.350951                 NaN            NaN            NaN            NaN            NaN
  1488.91        2500.00                 NaN   98.8389                 NaN            NaN            NaN  0.736776       0.424317                 NaN            NaN            NaN            NaN            NaN
  1487.37        2500.00                 NaN   98.8213                 NaN  0.123797E-002            NaN  0.752392       0.425090                 NaN            NaN            NaN            NaN            NaN
  1485.83        2500.00                 NaN   98.8312                 NaN            NaN            NaN  0.422521       0.746306                 NaN            NaN            NaN            NaN            NaN
  1484.28        2500.00                 NaN   99.1062                 NaN  0.432102E-001            NaN  0.589260       0.261279                 NaN            NaN            NaN            NaN            NaN
  1482.74        2500.00                 NaN   98.5891                 NaN  0.210857E-005            NaN  0.509225       0.901694                 NaN            NaN            NaN            NaN            NaN
  1481.20        2500.00                 NaN   98.8565                 NaN            NaN            NaN  0.732503       0.410992                 NaN            NaN            NaN            NaN            NaN
  1479.66        2500.00                 NaN   98.8705                 NaN  0.785093E-003            NaN  0.404850       0.723846                 NaN            NaN            NaN            NaN            NaN
  1478.11        2500.00                 NaN   98.8825                 NaN  0.199419E-001            NaN  0.724313       0.373286                 NaN            NaN            NaN            NaN            NaN
  1476.57        2500.00                 NaN   98.8888                 NaN  0.135128E-001            NaN  0.718655       0.379073                 NaN            NaN            NaN            NaN            NaN
  1475.03        2500.00                 NaN   98.8998                 NaN  0.267772E-001            NaN  0.717664       0.355805                 NaN            NaN            NaN            NaN            NaN
  1473.49        2500.00                 NaN   98.9059                 NaN  0.184356E-001            NaN  0.711753       0.363953                 NaN            NaN            NaN            NaN            NaN
  1471.95        2500.00                 NaN   98.9917                 NaN  0.161899E-001            NaN  0.336182       0.655883                 NaN            NaN            NaN            NaN            NaN
  1470.40        2500.00                 NaN   99.5332                 NaN  0.565539E-001  0.623945E-001  0.357546E-001  0.312125                 NaN            NaN            NaN            NaN            NaN
  1468.86        2500.00                 NaN   98.2388                 NaN            NaN            NaN  0.609935        1.15124                 NaN            NaN            NaN            NaN            NaN
  1467.32        2500.00                 NaN   98.9424                 NaN            NaN            NaN  0.373920       0.683649                 NaN            NaN            NaN            NaN            NaN
  1465.78        2500.00                 NaN   98.9400                 NaN  0.314083E-002            NaN  0.686923       0.369925                 NaN            NaN            NaN            NaN            NaN
  1464.23        2500.00                 NaN   98.9494                 NaN  0.837919E-002            NaN  0.358219       0.683969                 NaN            NaN            NaN            NaN            NaN
  1462.69        2500.00                 NaN   98.1062                 NaN  0.128590                 NaN  0.818090       0.576425                 NaN  0.370699                 NaN            NaN            NaN
  1461.15        2500.00                 NaN   96.6932                 NaN  0.331195                 NaN   1.03628       0.942547                 NaN  0.996779                 NaN            NaN            NaN
  1459.61        2500.00                 NaN   96.7775                 NaN  0.330536                 NaN   1.01380       0.905511                 NaN  0.972619                 NaN            NaN            NaN
  1458.06        2500.00                 NaN   96.8546                 NaN  0.322973                 NaN  0.991502       0.881622                 NaN  0.949349                 NaN            NaN            NaN
  1456.52        2500.00                 NaN   96.9365                 NaN  0.322074                 NaN  0.969772       0.846444                 NaN  0.925238                 NaN            NaN            NaN
  1454.98        2500.00                 NaN   97.0063                 NaN  0.319924                 NaN  0.951562       0.817344                 NaN  0.904916                 NaN            NaN            NaN
  1453.44        2500.00                 NaN   97.0743                 NaN  0.317970                 NaN  0.789856       0.932912                 NaN  0.884940                 NaN            NaN            NaN
  1451.90        2500.00                 NaN   97.1431                 NaN  0.315186                 NaN  0.915008       0.762505                 NaN  0.864210                 NaN            NaN            NaN
  1450.35        2500.00                 NaN   97.2058                 NaN  0.313220                 NaN  0.897876       0.737010                 NaN  0.846074                 NaN            NaN            NaN
  1448.81        2500.00                 NaN   97.2583                 NaN  0.312328                 NaN  0.884245       0.714708                 NaN  0.830440                 NaN            NaN            NaN
  1447.27        2500.00                 NaN   97.4183                 NaN  0.298980                 NaN  0.663788       0.836059                 NaN  0.782837                 NaN            NaN            NaN
  1445.73        2500.00                 NaN   97.2995                 NaN  0.317042                 NaN  0.687155       0.878095                 NaN  0.818208                 NaN            NaN            NaN
  1444.18        2500.00                 NaN   97.4361                 NaN  0.306246                 NaN  0.836283       0.643734                 NaN  0.777655                 NaN            NaN            NaN
  1442.64        2500.00                 NaN   97.4458                 NaN  0.313410                 NaN  0.838123       0.627873                 NaN  0.774757                 NaN            NaN            NaN
  1441.10        2500.00                 NaN   97.5710                 NaN  0.296247                 NaN  0.599774       0.797049                 NaN  0.735915                 NaN            NaN            NaN
  1439.56        2500.00                 NaN   97.5883                 NaN  0.301398                 NaN  0.796532       0.581590                 NaN  0.732143                 NaN            NaN            NaN
  1438.01        2500.00                 NaN   97.6311                 NaN  0.300857                 NaN  0.563429       0.785200                 NaN  0.719442                 NaN            NaN            NaN
  1436.47        2500.00                 NaN   97.6856                 NaN  0.297854                 NaN  0.770465       0.543031                 NaN  0.703022                 NaN            NaN            NaN
  1434.93        2500.00                 NaN   97.7231                 NaN  0.297816                 NaN  0.525797       0.761325                 NaN  0.691979                 NaN            NaN            NaN
  1433.39        2500.00                 NaN   97.7678                 NaN  0.296180                 NaN  0.748244       0.509011                 NaN  0.678803                 NaN            NaN            NaN
  1431.85        2500.00                 NaN   97.8082                 NaN  0.295049                 NaN  0.492153       0.737936                 NaN  0.666617                 NaN            NaN            NaN
  1430.30        2500.00                 NaN   97.8465                 NaN  0.294159                 NaN  0.728229       0.475802                 NaN  0.655290                 NaN            NaN            NaN
  1428.76        2500.00                 NaN   97.8599                 NaN  0.297575                 NaN  0.462745       0.727119                 NaN  0.652618                 NaN            NaN            NaN
  1427.22        2500.00                 NaN   97.9501                 NaN  0.287328                 NaN  0.440015       0.699544                 NaN  0.623028                 NaN            NaN            NaN
  1425.68        2500.00                 NaN   97.8867                 NaN  0.260915                 NaN  0.701524       0.508752                 NaN  0.642135                 NaN            NaN            NaN
  1424.13        2500.00                 NaN   98.0584                 NaN  0.324596                 NaN  0.694907       0.328500                 NaN  0.593578                 NaN            NaN            NaN
  1422.59        2500.00                 NaN   98.0288                 NaN  0.289726                 NaN  0.682316       0.398362                 NaN  0.600767                 NaN            NaN            NaN
  1421.05        2500.00                 NaN   98.0637                 NaN  0.286657                 NaN  0.670534       0.389538                 NaN  0.589539                 NaN            NaN            NaN
  1419.51        2500.00                 NaN   98.0904                 NaN  0.288138                 NaN  0.664580       0.375101                 NaN  0.581778                 NaN            NaN            NaN
  1417.96        2500.00                 NaN   98.1237                 NaN  0.286659                 NaN  0.656684       0.361186                 NaN  0.571768                 NaN            NaN            NaN
  1416.42        2500.00                 NaN   98.1526                 NaN  0.286174                 NaN  0.348624       0.649437                 NaN  0.563150                 NaN            NaN            NaN
  1414.88        2500.00                 NaN   98.1784                 NaN  0.286960                 NaN  0.645083       0.333721                 NaN  0.555869                 NaN            NaN            NaN
  1413.34        2500.00                 NaN   98.2133                 NaN  0.283413                 NaN  0.324655       0.633728                 NaN  0.544871                 NaN            NaN            NaN
  1411.80        2500.00                 NaN   98.2380                 NaN  0.283465                 NaN  0.627564       0.314088                 NaN  0.536931                 NaN            NaN            NaN
  1410.25        2500.00                 NaN   98.2623                 NaN  0.283477                 NaN  0.621972       0.302411                 NaN  0.529841                 NaN            NaN            NaN
  1408.71        2500.00                 NaN   98.2919                 NaN  0.282279                 NaN  0.613913       0.291230                 NaN  0.520681                 NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.3165                 NaN  0.281782                 NaN  0.280606       0.607672                 NaN  0.513391                 NaN            NaN            NaN
  1405.63        2500.00                 NaN   98.3396                 NaN  0.281406                 NaN  0.602465       0.270382                 NaN  0.506174                 NaN            NaN            NaN
  1404.08        2500.00                 NaN   98.3608                 NaN  0.280842                 NaN  0.597666       0.261035                 NaN  0.499680                 NaN            NaN            NaN
  1402.54        2500.00                 NaN   98.3898                 NaN  0.279413                 NaN  0.250424       0.589701                 NaN  0.490703                 NaN            NaN            NaN
  1401.00        2500.00                 NaN   98.4101                 NaN  0.279013                 NaN  0.585034       0.241281                 NaN  0.484559                 NaN            NaN            NaN
  1399.46        2500.00                 NaN   98.4331                 NaN  0.278284                 NaN  0.579361       0.231744                 NaN  0.477508                 NaN            NaN            NaN
  1397.91        2500.00                 NaN   98.4529                 NaN  0.277591                 NaN  0.222806       0.575351                 NaN  0.471308                 NaN            NaN            NaN
  1396.37        2500.00                 NaN   98.4757                 NaN  0.276572                 NaN  0.213955       0.569423                 NaN  0.464342                 NaN            NaN            NaN
  1394.83        2500.00                 NaN   98.4955                 NaN  0.275997                 NaN  0.565314       0.204893                 NaN  0.458282                 NaN            NaN            NaN
  1393.29        2500.00                 NaN   98.5158                 NaN  0.275196                 NaN  0.560102       0.197086                 NaN  0.451800                 NaN            NaN            NaN
  1391.75        2500.00                 NaN   98.5372                 NaN  0.274056                 NaN  0.554198       0.189151                 NaN  0.445360                 NaN            NaN            NaN
  1390.20        2500.00                 NaN   98.5541                 NaN  0.273575                 NaN  0.550249       0.182155                 NaN  0.439948                 NaN            NaN            NaN
  1388.66        2500.00                 NaN   98.5748                 NaN  0.272521                 NaN  0.545721       0.173395                 NaN  0.433579                 NaN            NaN            NaN
  1387.12        2500.00                 NaN   98.5918                 NaN  0.270902                 NaN  0.542627       0.166704                 NaN  0.427993                 NaN            NaN            NaN
  1385.58        2500.00                 NaN   98.6096                 NaN  0.270318                 NaN  0.159628       0.538019                 NaN  0.422459                 NaN            NaN            NaN
  1384.03        2500.00                 NaN   98.6074                 NaN  0.278462                 NaN  0.141166       0.548488                 NaN  0.424508                 NaN            NaN            NaN
  1382.49        2500.00                 NaN   98.6472                 NaN  0.261956                 NaN  0.158172       0.524083                 NaN  0.408601                 NaN            NaN            NaN
  1380.95        2500.00                 NaN   98.6701                 NaN  0.264442                 NaN  0.523035       0.139792                 NaN  0.402657                 NaN            NaN            NaN
  1379.41        2500.00                 NaN   98.6786                 NaN  0.266554                 NaN  0.521593       0.132282                 NaN  0.400981                 NaN            NaN            NaN
  1377.86        2500.00                 NaN   98.6940                 NaN  0.263729                 NaN  0.517373       0.129247                 NaN  0.395624                 NaN            NaN            NaN
  1376.32        2500.00                 NaN   98.7094                 NaN  0.263107                 NaN  0.121960       0.514789                 NaN  0.390758                 NaN            NaN            NaN
  1374.78        2500.00                 NaN   98.7244                 NaN  0.261743                 NaN  0.116963       0.511042                 NaN  0.385865                 NaN            NaN            NaN
  1373.24        2500.00                 NaN   98.7396                 NaN  0.260445                 NaN  0.507307       0.111633                 NaN  0.380972                 NaN            NaN            NaN
  1371.70        2500.00                 NaN   98.7544                 NaN  0.258730                 NaN  0.503913       0.106741                 NaN  0.376189                 NaN            NaN            NaN
  1370.15        2500.00                 NaN   98.7685                 NaN  0.257369                 NaN  0.101864       0.500676                 NaN  0.371585                 NaN            NaN            NaN
  1368.61        2500.00                 NaN   98.7825                 NaN  0.255585                 NaN  0.975593E-001  0.497419                 NaN  0.366933                 NaN            NaN            NaN
  1367.07        2500.00                 NaN   98.7958                 NaN  0.253795                 NaN  0.494664       0.931754E-001            NaN  0.362583                 NaN            NaN            NaN
  1365.53        2500.00                 NaN   98.8103                 NaN  0.252108                 NaN  0.490353       0.893505E-001            NaN  0.357884                 NaN            NaN            NaN
  1363.98        2500.00                 NaN   98.8197                 NaN  0.251922                 NaN  0.490183       0.833695E-001            NaN  0.354824                 NaN            NaN            NaN
  1362.44        2500.00                 NaN   98.8391                 NaN  0.246862                 NaN  0.836488E-001  0.482400                 NaN  0.347964                 NaN            NaN            NaN
  1360.90        2500.00                 NaN   98.8485                 NaN  0.246398                 NaN  0.781993E-001  0.481823                 NaN  0.345124                 NaN            NaN            NaN
  1359.36        2500.00                 NaN   98.8611                 NaN  0.244063                 NaN  0.757016E-001  0.478275                 NaN  0.340890                 NaN            NaN            NaN
  1357.81        2500.00                 NaN   98.8738                 NaN  0.242179                 NaN  0.475115       0.721843E-001            NaN  0.336702                 NaN            NaN            NaN
  1356.27        2500.00                 NaN   98.8853                 NaN  0.239717                 NaN  0.472625       0.696630E-001            NaN  0.332701                 NaN            NaN            NaN
  1354.73        2500.00                 NaN   98.8974                 NaN  0.237571                 NaN  0.468887       0.674531E-001            NaN  0.328664                 NaN            NaN            NaN
  1353.19        2500.00                 NaN   98.9087                 NaN  0.235328                 NaN  0.466239       0.649536E-001            NaN  0.324796                 NaN            NaN            NaN
  1351.65        2500.00                 NaN   98.9195                 NaN  0.232530                 NaN  0.633459E-001  0.463563                 NaN  0.321074                 NaN            NaN            NaN
  1350.10        2500.00                 NaN   98.9311                 NaN  0.229973                 NaN  0.460515       0.612891E-001            NaN  0.317080                 NaN            NaN            NaN
  1348.56        2500.00                 NaN   98.9412                 NaN  0.227340                 NaN  0.596624E-001  0.458295                 NaN  0.313537                 NaN            NaN            NaN
  1347.02        2500.00                 NaN   98.9526                 NaN  0.224906                 NaN  0.454708       0.580690E-001            NaN  0.309681                 NaN            NaN            NaN
  1345.48        2500.00                 NaN   98.9627                 NaN  0.222121                 NaN  0.451914       0.570590E-001            NaN  0.306174                 NaN            NaN            NaN
  1343.93        2500.00                 NaN   98.9727                 NaN  0.219568                 NaN  0.449740       0.553599E-001            NaN  0.302670                 NaN            NaN            NaN
  1342.39        2500.00                 NaN   98.9831                 NaN  0.215744                 NaN  0.568748E-001  0.445431                 NaN  0.298847                 NaN            NaN            NaN
  1340.85        2500.00                 NaN   98.9929                 NaN  0.213345                 NaN  0.443078       0.551178E-001            NaN  0.295580                 NaN            NaN            NaN
  1339.31        2500.00                 NaN   99.0018                 NaN  0.209996                 NaN  0.439893       0.560503E-001            NaN  0.292268                 NaN            NaN            NaN
  1337.76        2500.00                 NaN   99.0105                 NaN  0.206839                 NaN  0.556152E-001  0.437944                 NaN  0.289127                 NaN            NaN            NaN
  1336.22        2500.00                 NaN   99.0203                 NaN  0.203234                 NaN  0.434309       0.566298E-001            NaN  0.285566                 NaN            NaN            NaN
  1334.68        2500.00                 NaN   99.0291                 NaN  0.200185                 NaN  0.572475E-001  0.431056                 NaN  0.282459                 NaN            NaN            NaN
  1333.14        2500.00                 NaN   99.0360                 NaN  0.196013                 NaN  0.428744       0.595908E-001            NaN  0.279647                 NaN            NaN            NaN
  1331.60        2500.00                 NaN   99.0467                 NaN  0.193534                 NaN  0.425660       0.580091E-001            NaN  0.276085                 NaN            NaN            NaN
  1330.05        2500.00                 NaN   99.0547                 NaN  0.189877                 NaN  0.420789       0.613755E-001            NaN  0.273225                 NaN            NaN            NaN
  1328.51        2500.00                 NaN   99.0624                 NaN  0.186327                 NaN  0.420014       0.610366E-001            NaN  0.270257                 NaN            NaN            NaN
  1326.97        2500.00                 NaN   99.0712                 NaN  0.181896                 NaN  0.637352E-001  0.416185                 NaN  0.267005                 NaN            NaN            NaN
  1325.43        2500.00                 NaN   99.0780                 NaN  0.178196                 NaN  0.661310E-001  0.413264                 NaN  0.264381                 NaN            NaN            NaN
  1323.88        2500.00                 NaN   99.0845                 NaN  0.173971                 NaN  0.410801       0.689387E-001            NaN  0.261763                 NaN            NaN            NaN
  1322.34        2500.00                 NaN   99.0926                 NaN  0.170099                 NaN  0.406525       0.718750E-001            NaN  0.258888                 NaN            NaN            NaN
  1320.80        2500.00                 NaN   99.0994                 NaN  0.166416                 NaN  0.404195       0.736265E-001            NaN  0.256332                 NaN            NaN            NaN
  1319.26        2500.00                 NaN   99.1055                 NaN  0.161546                 NaN  0.400813       0.784202E-001            NaN  0.253763                 NaN            NaN            NaN
  1317.71        2500.00                 NaN   99.1142                 NaN  0.157871                 NaN  0.807945E-001  0.396397                 NaN  0.250756                 NaN            NaN            NaN
  1316.17        2500.00                 NaN   99.1205                 NaN  0.154838                 NaN  0.394798       0.812864E-001            NaN  0.248624                 NaN            NaN            NaN
  1314.63        2500.00                 NaN   99.1284                 NaN  0.150558                 NaN  0.814618E-001  0.394077                 NaN  0.245548                 NaN            NaN            NaN
  1313.09        2500.00                 NaN   99.1376                 NaN  0.155247                 NaN  0.482058E-001  0.415726                 NaN  0.243230                 NaN            NaN            NaN
  1311.55        2500.00                 NaN   99.1386                 NaN  0.139632                 NaN  0.100484       0.379910                 NaN  0.241325                 NaN            NaN            NaN
