|6.6.6
Archiving\03_Data\fracLP/QFM_m4.75/WD94/WD94_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       mang           iron           pxmn           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1947.37        500.000        95.3194       0.100736        3.90579       0.674047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        95.2922       0.864619E-001   3.92093       0.700447                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        95.1738       0.250792E-001   3.98714       0.813983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        95.1282       0.899162E-002   4.01905       0.843775                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        95.0915                 NaN   4.04809       0.860453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        95.0660                 NaN   4.07351       0.860515                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        95.0406                 NaN   4.09887       0.860577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        95.0152                 NaN   4.12420       0.860639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        94.9899                 NaN   4.14942       0.860701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        94.9646                 NaN   4.17464       0.860762                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        94.9394                 NaN   4.19976       0.860824                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        94.9143                 NaN   4.22482       0.860885                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        94.8892                 NaN   4.24986       0.860946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        94.8642                 NaN   4.27479       0.861007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        94.8392                 NaN   4.29969       0.861068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        94.8144                 NaN   4.32451       0.861128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        94.7895                 NaN   4.34930       0.861189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        94.7647                 NaN   4.37403       0.861249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        94.7400                 NaN   4.39870       0.861309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        94.7153                 NaN   4.42331       0.861369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        94.6907                 NaN   4.44784       0.861429                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        94.6661                 NaN   4.47240       0.861489                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        94.6417                 NaN   4.49679       0.861549                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        94.6172                 NaN   4.52115       0.861608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        94.5862                 NaN   4.54516       0.861667       0.697959E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.5250                 NaN  0.395179E-002            NaN  0.471065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.4147                 NaN  0.336862E-002            NaN  0.581933                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.3714                 NaN  0.224297E-003            NaN  0.628340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.5325                 NaN  0.334038E-001            NaN  0.434051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.3526                 NaN            NaN            NaN  0.647373                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4227                 NaN  0.237491E-001            NaN  0.553592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4316                 NaN            NaN            NaN  0.568382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.4312                 NaN            NaN            NaN  0.568756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.4338                 NaN            NaN            NaN  0.566195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4393                 NaN            NaN            NaN  0.560661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.3770                 NaN            NaN            NaN  0.622970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.5480                 NaN            NaN            NaN  0.452026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4010                 NaN            NaN            NaN  0.599008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.4441                 NaN            NaN            NaN  0.555903                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.2545                 NaN            NaN            NaN  0.745546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.7149                 NaN            NaN            NaN  0.285104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.3704                 NaN            NaN            NaN  0.629598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.4491                 NaN            NaN            NaN  0.550916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4486                 NaN            NaN            NaN  0.551409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.4532                 NaN            NaN            NaN  0.546786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.4393                 NaN            NaN            NaN  0.560712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4661                 NaN            NaN            NaN  0.533938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.3383                 NaN            NaN            NaN  0.661697                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.6050                 NaN            NaN            NaN  0.395006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4196                 NaN            NaN            NaN  0.580360                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4561                 NaN            NaN            NaN  0.543891                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4583                 NaN            NaN            NaN  0.541663                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.4475                 NaN            NaN            NaN  0.543188       0.935918E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.4421                 NaN            NaN            NaN  0.542288       0.156182E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.4409                 NaN            NaN            NaN  0.543453       0.156298E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.4406                 NaN            NaN            NaN  0.543829       0.155776E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.4410                 NaN            NaN            NaN  0.543469       0.155093E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.4389                 NaN            NaN            NaN  0.545572       0.155502E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.4406                 NaN            NaN            NaN  0.543963       0.154199E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.4388                 NaN            NaN            NaN  0.545791       0.154264E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.4382                 NaN            NaN            NaN  0.546399       0.153849E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4358                 NaN            NaN            NaN  0.548762       0.153951E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.4381                 NaN            NaN            NaN  0.546606       0.152524E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.4351                 NaN            NaN            NaN  0.549616       0.152857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.4335                 NaN            NaN            NaN  0.551256       0.152703E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.4336                 NaN            NaN            NaN  0.551195       0.151814E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.4312                 NaN            NaN            NaN  0.553648       0.151742E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4292                 NaN            NaN            NaN  0.555609       0.151539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.4277                 NaN            NaN            NaN  0.557150       0.151002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.4266                 NaN            NaN            NaN  0.558318       0.150960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.4250                 NaN            NaN            NaN  0.559953       0.150296E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.4226                 NaN            NaN            NaN  0.562420       0.150227E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.4202                 NaN            NaN            NaN  0.564775       0.150146E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.4181                 NaN            NaN            NaN  0.566882       0.149814E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.4175                 NaN            NaN            NaN  0.567658       0.148890E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.4129                 NaN            NaN            NaN  0.572168       0.149379E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.4111                 NaN            NaN            NaN  0.573990       0.148821E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.4104                 NaN            NaN            NaN  0.574791       0.148096E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.4060                 NaN            NaN            NaN  0.579214       0.148331E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.4040                 NaN            NaN            NaN  0.581184       0.147982E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.4016                 NaN            NaN            NaN  0.583648       0.147570E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.3978                 NaN            NaN            NaN  0.587407       0.147726E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.3962                 NaN            NaN            NaN  0.589123       0.147185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.3916                 NaN            NaN            NaN  0.593677       0.147278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.4721                 NaN            NaN            NaN  0.515209       0.126864E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.3037                 NaN            NaN            NaN  0.679680       0.166405E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.3843                 NaN            NaN            NaN  0.601076       0.146310E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.3798                 NaN            NaN            NaN  0.605529       0.146416E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.4318                 NaN            NaN            NaN  0.554895       0.133248E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.3198                 NaN            NaN            NaN  0.664334       0.158509E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.3717                 NaN            NaN            NaN  0.613756       0.145425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3680                 NaN            NaN            NaN  0.617386       0.145748E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.3904                 NaN            NaN            NaN  0.595655       0.139776E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.9465                 NaN            NaN            NaN  0.522667E-001  0.123738E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        98.7505                 NaN            NaN            NaN   1.22121       0.282844E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.3556                 NaN            NaN            NaN  0.629942       0.144505E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3512                 NaN            NaN            NaN  0.634291       0.144657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.3359                 NaN            NaN            NaN  0.649404       0.147323E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.3548                 NaN            NaN            NaN  0.630961       0.141921E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.3440                 NaN            NaN            NaN  0.641620       0.143827E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.3600                 NaN            NaN            NaN  0.625816       0.142260E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.3148                 NaN            NaN            NaN  0.670570       0.145810E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.3328                 NaN            NaN            NaN  0.652835       0.143974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3310                 NaN            NaN            NaN  0.654609       0.143565E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.3279                 NaN            NaN            NaN  0.657726       0.143503E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.3234                 NaN            NaN            NaN  0.662235       0.143631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.3179                 NaN            NaN            NaN  0.667636       0.144211E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.3222                 NaN            NaN            NaN  0.663562       0.142446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.3170                 NaN            NaN            NaN  0.668683       0.142971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.3139                 NaN            NaN            NaN  0.671777       0.143041E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.3115                 NaN            NaN            NaN  0.674167       0.142990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.3078                 NaN            NaN            NaN  0.677868       0.143407E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.3070                 NaN            NaN            NaN  0.678725       0.142947E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.3094                 NaN            NaN            NaN  0.676407       0.141935E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.2594                 NaN            NaN            NaN  0.726080       0.145037E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.3466                 NaN            NaN            NaN  0.639522       0.139150E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.2997                 NaN            NaN            NaN  0.686103       0.142431E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.3030                 NaN            NaN            NaN  0.682838       0.141590E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.2997                 NaN            NaN            NaN  0.686148       0.141902E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.2914                 NaN            NaN            NaN  0.694189       0.143639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.3049                 NaN            NaN            NaN  0.681071       0.140144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.2969                 NaN            NaN            NaN  0.688906       0.141450E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.2896                 NaN            NaN            NaN  0.696105       0.142835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.3048                 NaN            NaN            NaN  0.681268       0.139350E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.2962                 NaN            NaN            NaN  0.689721       0.141062E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.2969                 NaN            NaN            NaN  0.688979       0.140860E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.2976                 NaN            NaN            NaN  0.688376       0.140666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.2972                 NaN            NaN            NaN  0.688756       0.140473E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.2994                 NaN            NaN            NaN  0.686594       0.140188E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        98.7998                 NaN            NaN            NaN  0.724158E-001            NaN   1.12775                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        97.6236                 NaN            NaN            NaN  0.178465                 NaN   2.19791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        98.2000                 NaN            NaN            NaN  0.832369E-001            NaN   1.71673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        98.0503                 NaN            NaN            NaN  0.846061E-001            NaN   1.86505                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        98.4481                 NaN            NaN            NaN  0.678864E-001            NaN   1.48406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.8475                 NaN            NaN            NaN  0.143919       0.853797E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        96.8452                 NaN            NaN            NaN  0.254888E-001            NaN   3.12930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.1488                 NaN            NaN            NaN  0.668149E-001            NaN   1.78438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.5997                 NaN            NaN            NaN  0.562198E-001            NaN   1.34407                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.4161                 NaN            NaN            NaN  0.551786E-001            NaN   1.52872                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.4598                 NaN            NaN            NaN  0.623250E-001            NaN   1.47791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.4867                 NaN            NaN            NaN  0.898629E-001            NaN   1.42347                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.5044                 NaN            NaN            NaN  0.177818E-001            NaN   1.47786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.5339                 NaN            NaN            NaN  0.498566E-001            NaN   1.41624                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        97.7372                 NaN            NaN            NaN  0.675670E-001            NaN   2.19519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        99.4153                 NaN            NaN            NaN  0.258030E-001            NaN  0.558849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.6067                 NaN            NaN            NaN  0.420528E-001            NaN   1.35122                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.5613                 NaN            NaN            NaN  0.258637                 NaN   1.18004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.7292                 NaN            NaN            NaN            NaN            NaN   1.27081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.6772                 NaN            NaN            NaN            NaN            NaN   1.32282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.6921                 NaN            NaN            NaN            NaN            NaN   1.30786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.7154                 NaN            NaN            NaN            NaN            NaN   1.28458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.7393                 NaN            NaN            NaN  0.304957E-001            NaN   1.23022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.7528                 NaN            NaN            NaN            NaN            NaN   1.24716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.7699                 NaN            NaN            NaN            NaN            NaN   1.23014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.7915                 NaN            NaN            NaN            NaN            NaN   1.20846                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.8092                 NaN            NaN            NaN  0.680426E-003            NaN   1.19011                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.6757                 NaN            NaN            NaN  0.165978E-001            NaN   1.30769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.9973                 NaN            NaN            NaN            NaN            NaN   1.00266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.8951                 NaN            NaN            NaN  0.294336                 NaN  0.810552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.8891                 NaN            NaN            NaN            NaN            NaN   1.11094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.8947                 NaN            NaN            NaN            NaN            NaN   1.10528                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.9042                 NaN            NaN            NaN            NaN            NaN   1.09578                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.9257                 NaN            NaN            NaN  0.198037E-005            NaN   1.07426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.9338                 NaN            NaN            NaN            NaN            NaN   1.06617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.9514                 NaN            NaN            NaN            NaN            NaN   1.04862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.9680                 NaN            NaN            NaN            NaN            NaN   1.03204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.9793                 NaN            NaN            NaN            NaN            NaN   1.02066                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.9909                 NaN            NaN            NaN  0.181086E-005            NaN   1.00911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
