|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.25/LAR/LAR_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          an             Cpx(TH)        Cpx(TH)        San(TH)        ilm            q             
  1369.53        500.000                 NaN   99.2617                 NaN  0.980860E-001  0.212353       0.182260       0.245569                 NaN            NaN            NaN
  1368.54        500.000                 NaN   99.1443                 NaN  0.115307       0.246604       0.285193       0.208602                 NaN            NaN            NaN
  1367.55        500.000                 NaN   99.1523                 NaN  0.116393       0.244308       0.203303       0.283683                 NaN            NaN            NaN
  1366.56        500.000                 NaN   99.1585                 NaN  0.116580       0.242551       0.200192       0.282210                 NaN            NaN            NaN
  1365.58        500.000                 NaN   99.1653                 NaN  0.116630       0.240672       0.279744       0.197620                 NaN            NaN            NaN
  1364.59        500.000                 NaN   99.1708                 NaN  0.174326       0.247037       0.109923       0.297895                 NaN            NaN            NaN
  1363.60        500.000                 NaN   99.1828                 NaN  0.613463E-001  0.228078       0.270906       0.256886                 NaN            NaN            NaN
  1362.61        500.000                 NaN   99.1896                 NaN  0.116460       0.233572       0.187109       0.273226                 NaN            NaN            NaN
  1361.62        500.000                 NaN   99.1952                 NaN  0.118133       0.232207       0.272569       0.181868                 NaN            NaN            NaN
  1360.64        500.000                 NaN   99.2024                 NaN  0.118594       0.230281       0.270900       0.177806                 NaN            NaN            NaN
  1359.65        500.000                 NaN   99.2084                 NaN  0.119387       0.228730       0.174382       0.269080                 NaN            NaN            NaN
  1358.66        500.000                 NaN   99.2163                 NaN  0.118401       0.226016       0.172111       0.267220                 NaN            NaN            NaN
  1357.67        500.000                 NaN   99.2221                 NaN  0.119292       0.224630       0.265745       0.168266                 NaN            NaN            NaN
  1356.68        500.000                 NaN   99.2202                 NaN  0.120628       0.225296       0.167347       0.266549                 NaN            NaN            NaN
  1355.70        500.000                 NaN   99.2402                 NaN  0.118242       0.219036       0.162148       0.260399                 NaN            NaN            NaN
  1354.71        500.000                 NaN   99.2414                 NaN  0.119715       0.219060       0.159263       0.260582                 NaN            NaN            NaN
  1353.72        500.000                 NaN   99.2459                 NaN  0.120537       0.217900       0.259560       0.156114                 NaN            NaN            NaN
  1352.73        500.000                 NaN   99.2546                 NaN  0.119744       0.215190       0.256788       0.153662                 NaN            NaN            NaN
  1351.74        500.000                 NaN   99.2598                 NaN  0.120311       0.213756       0.255800       0.150294                 NaN            NaN            NaN
  1350.76        500.000                 NaN   99.2651                 NaN  0.120483       0.212256       0.254377       0.147802                 NaN            NaN            NaN
  1349.77        500.000                 NaN   99.2717                 NaN  0.120666       0.210348       0.252589       0.144665                 NaN            NaN            NaN
  1348.78        500.000                 NaN   99.2766                 NaN  0.122215       0.209380       0.251471       0.140334                 NaN            NaN            NaN
  1347.79        500.000                 NaN   99.2837                 NaN  0.120981       0.206969       0.249546       0.138824                 NaN            NaN            NaN
  1346.80        500.000                 NaN   99.2911                 NaN  0.119634       0.204449       0.246550       0.138226                 NaN            NaN            NaN
  1345.82        500.000                 NaN   99.5266                 NaN  0.822382E-001  0.137139       0.165874       0.881323E-001            NaN            NaN            NaN
  1344.83        500.000                 NaN   99.0661                 NaN  0.159296       0.269091       0.326174       0.179346                 NaN            NaN            NaN
  1343.84        500.000                 NaN   99.3008                 NaN  0.124482       0.202555       0.126444       0.245752                 NaN            NaN            NaN
  1342.85        500.000                 NaN   99.3155                 NaN  0.116635       0.196853       0.132544       0.238505                 NaN            NaN            NaN
  1341.86        500.000                 NaN   99.3164                 NaN  0.121225       0.197465       0.124586       0.240277                 NaN            NaN            NaN
  1340.88        500.000                 NaN   99.3214                 NaN  0.121195       0.195897       0.240099       0.121416                 NaN            NaN            NaN
  1339.89        500.000                 NaN   99.3271                 NaN  0.120030       0.194020       0.237638       0.121207                 NaN            NaN            NaN
  1338.90        500.000                 NaN   99.3315                 NaN  0.120581       0.192846       0.236682       0.118397                 NaN            NaN            NaN
  1337.91        500.000                 NaN   99.3369                 NaN  0.120391       0.191236       0.235025       0.116440                 NaN            NaN            NaN
  1336.92        500.000                 NaN   99.3418                 NaN  0.120318       0.189800       0.233637       0.114485                 NaN            NaN            NaN
  1335.94        500.000                 NaN   99.3467                 NaN  0.120071       0.188292       0.112695       0.232256                 NaN            NaN            NaN
  1334.95        500.000                 NaN   99.3503                 NaN  0.119328       0.187164       0.112271       0.230921                 NaN            NaN            NaN
  1333.96        500.000                 NaN   99.3578                 NaN  0.120255       0.185071       0.107499       0.229423                 NaN            NaN            NaN
  1332.97        500.000                 NaN   99.3611                 NaN  0.119298       0.183963       0.107491       0.228159                 NaN            NaN            NaN
  1331.98        500.000                 NaN   99.3659                 NaN  0.119186       0.182599       0.226824       0.105481                 NaN            NaN            NaN
  1331.00        500.000                 NaN   99.3706                 NaN  0.119476       0.181266       0.225659       0.103004                 NaN            NaN            NaN
  1330.01        500.000                 NaN   99.4561                 NaN  0.104273       0.156717       0.196283       0.866189E-001            NaN            NaN            NaN
  1329.02        500.000                 NaN   99.2969                 NaN  0.131994       0.201684       0.252543       0.116900                 NaN            NaN            NaN
  1328.03        500.000                 NaN   99.3851                 NaN  0.119363       0.177106       0.966568E-001  0.221728                 NaN            NaN            NaN
  1327.04        500.000                 NaN   99.3898                 NaN  0.116006       0.174974       0.219223       0.999559E-001            NaN            NaN            NaN
  1326.05        500.000                 NaN   99.3951                 NaN  0.117961       0.173955       0.936821E-001  0.219310                 NaN            NaN            NaN
  1325.07        500.000                 NaN   98.1409                 NaN  0.340790       0.528436       0.674993       0.314894                 NaN            NaN            NaN
  1324.08        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1323.09        500.000                 NaN   99.9938                 NaN  0.623847E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1322.10        500.000                 NaN   99.4784                 NaN  0.109352       0.151903       0.615043E-001  0.198793                 NaN            NaN            NaN
  1321.11        500.000                 NaN   99.4142                 NaN  0.114231       0.167645       0.212078       0.918217E-001            NaN            NaN            NaN
  1320.13        500.000                 NaN   99.4183                 NaN  0.114056       0.166452       0.211047       0.901409E-001            NaN            NaN            NaN
  1319.14        500.000                 NaN   99.4220                 NaN  0.113438       0.165279       0.209726       0.895482E-001            NaN            NaN            NaN
  1318.15        500.000                 NaN   99.4260                 NaN  0.112770       0.164037       0.887973E-001  0.208363                 NaN            NaN            NaN
  1317.16        500.000                 NaN   99.4303                 NaN  0.114111       0.163101       0.208006       0.845215E-001            NaN            NaN            NaN
  1316.17        500.000                 NaN   99.4343                 NaN  0.109933       0.161113       0.205156       0.895140E-001            NaN            NaN            NaN
  1315.19        500.000                 NaN   99.4379                 NaN  0.111007       0.160393       0.863604E-001  0.204297                 NaN            NaN            NaN
  1314.20        500.000                 NaN   99.4410                 NaN  0.109835       0.159207       0.864761E-001  0.203481                 NaN            NaN            NaN
  1313.21        500.000                 NaN   99.4451                 NaN  0.109322       0.157937       0.202090       0.855090E-001            NaN            NaN            NaN
  1312.22        500.000                 NaN   99.4486                 NaN  0.108702       0.156867       0.200746       0.850774E-001            NaN            NaN            NaN
  1311.23        500.000                 NaN   99.4502                 NaN  0.108698       0.156330       0.200788       0.839660E-001            NaN            NaN            NaN
  1310.25        500.000                 NaN   99.4572                 NaN  0.105442       0.153814       0.864892E-001  0.197072                 NaN            NaN            NaN
  1309.26        500.000                 NaN   99.4591                 NaN  0.106547       0.153544       0.835013E-001  0.197305                 NaN            NaN            NaN
  1308.27        500.000                 NaN   99.4636                 NaN  0.105117       0.151976       0.195227       0.841283E-001            NaN            NaN            NaN
  1307.28        500.000                 NaN   99.4653                 NaN  0.108217       0.152137       0.196142       0.781737E-001            NaN            NaN            NaN
  1306.29        500.000                 NaN   99.4717                 NaN  0.100784       0.148840       0.191511       0.871892E-001            NaN            NaN            NaN
  1305.31        500.000                 NaN   99.4736                 NaN  0.102950       0.148840       0.828933E-001  0.191754                 NaN            NaN            NaN
  1304.32        500.000                 NaN   99.4767                 NaN  0.101842       0.147741       0.830966E-001  0.190575                 NaN            NaN            NaN
  1303.33        500.000                 NaN   99.4802                 NaN  0.102287       0.146872       0.190195       0.804356E-001            NaN            NaN            NaN
  1302.34        500.000                 NaN   99.4833                 NaN  0.101423       0.146022       0.811922E-001  0.188056                 NaN            NaN            NaN
  1301.35        500.000                 NaN   99.4881                 NaN  0.975768E-001  0.143739       0.848893E-001  0.185715                 NaN            NaN            NaN
  1300.37        500.000                 NaN   99.4896                 NaN  0.980046E-001  0.143603       0.184755       0.840259E-001            NaN            NaN            NaN
  1299.38        500.000                 NaN   99.4912                 NaN  0.962062E-001  0.142823       0.855940E-001  0.184212                 NaN            NaN            NaN
  1298.39        500.000                 NaN   99.4961                 NaN  0.958231E-001  0.141356       0.837732E-001  0.182901                 NaN            NaN            NaN
  1297.40        500.000                 NaN   99.4987                 NaN  0.943711E-001  0.140464       0.180896       0.855542E-001            NaN            NaN            NaN
  1296.41        500.000                 NaN   99.5021                 NaN  0.933358E-001  0.139373       0.179598       0.855799E-001            NaN            NaN            NaN
  1295.43        500.000                 NaN   99.5049                 NaN  0.924400E-001  0.138515       0.860739E-001  0.178095                 NaN            NaN            NaN
  1294.44        500.000                 NaN   99.5079                 NaN  0.914132E-001  0.137500       0.176991       0.862128E-001            NaN            NaN            NaN
  1293.45        500.000                 NaN   99.5111                 NaN  0.902943E-001  0.136434       0.863870E-001  0.175799                 NaN            NaN            NaN
  1292.46        500.000                 NaN   99.5134                 NaN  0.889043E-001  0.135595       0.174349       0.877269E-001            NaN            NaN            NaN
  1291.47        500.000                 NaN   99.5163                 NaN  0.878058E-001  0.134615       0.173279       0.879632E-001            NaN            NaN            NaN
  1290.49        500.000                 NaN   99.5188                 NaN  0.866867E-001  0.133808       0.171811       0.888569E-001            NaN            NaN            NaN
  1289.50        500.000                 NaN   99.5220                 NaN  0.852793E-001  0.132767       0.170013       0.899048E-001            NaN            NaN            NaN
  1288.51        500.000                 NaN   99.5249                 NaN  0.840405E-001  0.131736       0.168757       0.905851E-001            NaN            NaN            NaN
  1287.52        500.000                 NaN   99.5272                 NaN  0.828258E-001  0.130975       0.167397       0.916498E-001            NaN            NaN            NaN
  1286.53        500.000                 NaN   99.5302                 NaN  0.816722E-001  0.130007       0.918633E-001  0.166297                 NaN            NaN            NaN
  1285.55        500.000                 NaN   99.5321                 NaN  0.815479E-001  0.129515       0.165388       0.914128E-001            NaN            NaN            NaN
  1284.56        500.000                 NaN   99.5334                 NaN  0.808157E-001  0.129157       0.914811E-001  0.165178                 NaN            NaN            NaN
  1283.57        500.000                 NaN   99.5407                 NaN  0.753590E-001  0.126035       0.976685E-001  0.160215                 NaN            NaN            NaN
  1282.58        500.000                 NaN   99.5401                 NaN  0.761275E-001  0.126568       0.160355       0.968021E-001            NaN            NaN            NaN
  1281.59        500.000                 NaN   99.5421                 NaN  0.753817E-001  0.125991       0.159151       0.973744E-001            NaN            NaN            NaN
  1280.60        500.000                 NaN   99.5413                 NaN  0.736434E-001  0.126364       0.101476       0.157178                 NaN            NaN            NaN
  1279.62        500.000                 NaN   99.5526                 NaN  0.716608E-001  0.122318       0.983499E-001  0.155092                 NaN            NaN            NaN
  1278.63        500.000                 NaN   99.5495                 NaN  0.704790E-001  0.123399       0.102432       0.154162                 NaN            NaN            NaN
  1277.64        500.000                 NaN   95.3514                 NaN  0.755339E-001  0.574485       0.500561       0.966467        2.53158                 NaN            NaN
  1276.65        500.000                 NaN   93.9047                 NaN  0.682120E-001  0.729999       0.611668        1.28560        3.39985                 NaN            NaN
  1275.66        500.000                 NaN   94.1428                 NaN  0.571442E-001  0.704125       0.580991        1.26101        3.25390                 NaN            NaN
  1274.68        500.000                 NaN   94.3766                 NaN  0.548743E-001  0.678669       0.559856        1.21741        3.11263                 NaN            NaN
  1273.69        500.000                 NaN   94.4841                 NaN  0.468952E-001  0.669027       0.537424        1.22232        3.04025                 NaN            NaN
  1272.70        500.000                 NaN   94.8581                 NaN  0.410798E-001  0.624660       0.508826        1.14581        2.82149                 NaN            NaN
  1271.71        500.000                 NaN   94.9442                 NaN  0.338437E-001  0.617123       0.487154        1.15292        2.76479                 NaN            NaN
  1270.72        500.000                 NaN   95.1109                 NaN  0.273555E-001  0.598966        1.13607       0.463717        2.66299                 NaN            NaN
  1269.74        500.000                 NaN   95.2638                 NaN  0.200815E-001  0.582402       0.439309        1.12590        2.56846                 NaN            NaN
  1268.75        500.000                 NaN   95.4138                 NaN  0.151099E-001  0.566025       0.417332        1.11019        2.47753                 NaN            NaN
  1267.76        500.000                 NaN   95.5510                 NaN  0.895166E-002  0.551060       0.394374        1.10092        2.39367                 NaN            NaN
  1266.77        500.000                 NaN   95.6806                 NaN  0.244494E-002  0.536922       0.370663        1.09530        2.31406                 NaN            NaN
  1265.78        500.000                 NaN   95.8068                 NaN  0.355850E-002  0.523455       0.353077        1.07532        2.23779                 NaN            NaN
  1264.80        500.000                 NaN   95.9207                 NaN            NaN  0.511233        1.06859       0.331468        2.16797                 NaN            NaN
  1263.81        500.000                 NaN   94.9532                 NaN  0.175874       0.628804       0.762052       0.648259        2.70298       0.128792                 NaN
  1262.82        500.000                 NaN   94.6406                 NaN  0.278172       0.668865       0.970614       0.377621        2.87798       0.186153                 NaN
  1261.83        500.000                 NaN   94.8820                 NaN  0.266345       0.639722       0.347237       0.947998        2.73973       0.176934                 NaN
  1260.84        500.000                 NaN   95.1116                 NaN  0.250941       0.612901       0.899494       0.345162        2.61200       0.167855                 NaN
  1259.86        500.000                 NaN   95.3223                 NaN  0.238047       0.587934       0.861966       0.336036        2.49403       0.159665                 NaN
  1258.87        500.000                 NaN   95.5144                 NaN  0.226578       0.565067       0.325900       0.829227        2.38664       0.152224                 NaN
  1257.88        500.000                 NaN   95.6918                 NaN  0.216971       0.543871       0.799939       0.313702        2.28828       0.145480                 NaN
  1256.89        500.000                 NaN   95.8563                 NaN  0.207181       0.524173       0.770342       0.306355        2.19653       0.139072                 NaN
  1255.90        500.000                 NaN   96.0121                 NaN  0.198630       0.505451       0.742958       0.297065        2.11057       0.133203                 NaN
  1254.92        500.000                 NaN   96.1536                 NaN  0.190346       0.488366       0.289757       0.717623        2.03260       0.127743                 NaN
  1253.93        500.000                 NaN   96.2750                 NaN  0.159411       0.473278       0.351407       0.657591        1.96184       0.121445                 NaN
  1252.94        500.000                 NaN   96.4180                 NaN  0.197699       0.456710       0.706359       0.212205        1.89000       0.119034                 NaN
  1251.95        500.000                 NaN   96.5345                 NaN  0.173464       0.442046       0.252558       0.658836        1.82485       0.113709                 NaN
  1250.96        500.000                 NaN   96.6459                 NaN  0.166320       0.428313       0.636169       0.250040        1.76391       0.109377                 NaN
  1249.98        500.000                 NaN   96.7500                 NaN  0.160842       0.415501       0.617864       0.242904        1.70747       0.105450                 NaN
  1248.99        500.000                 NaN   96.8489                 NaN  0.157327       0.403285       0.230902       0.603184        1.65449       0.101882                 NaN
  1248.00        500.000                 NaN   96.9426                 NaN  0.152047       0.391592       0.585776       0.225786        1.60388       0.983209E-001            NaN
  1247.01        500.000                 NaN   97.0314                 NaN  0.147773       0.380584       0.571030       0.218103        1.55613       0.949896E-001            NaN
  1246.02        500.000                 NaN   97.1216                 NaN  0.139225       0.369537       0.232633       0.537825        1.50790       0.913058E-001            NaN
  1245.04        500.000                 NaN   97.1949                 NaN  0.154107       0.359816       0.148122       0.581865        1.47119       0.900240E-001            NaN
  1244.05        500.000                 NaN   97.2692                 NaN  0.124990       0.350441       0.505348       0.237422        1.42737       0.852616E-001            NaN
  1243.06        500.000                 NaN   97.3469                 NaN  0.132738       0.340681       0.516191       0.192090        1.38819       0.832159E-001            NaN
  1242.07        500.000                 NaN   97.4135                 NaN  0.128407       0.332203       0.190791       0.501347        1.35309       0.806287E-001            NaN
  1241.08        500.000                 NaN   97.4797                 NaN  0.124244       0.323674       0.188063       0.488268        1.31806       0.780438E-001            NaN
  1240.09        500.000                 NaN   97.5443                 NaN  0.120482       0.315287       0.474283       0.185848        1.28420       0.756104E-001            NaN
  1239.11        500.000                 NaN   97.6043                 NaN  0.117300       0.307627       0.462805       0.182160        1.25252       0.732619E-001            NaN
  1238.12        500.000                 NaN   97.6642                 NaN  0.114019       0.299753       0.450080       0.179381        1.22151       0.710712E-001            NaN
  1237.13        500.000                 NaN   97.7177                 NaN  0.110359       0.292766       0.438030       0.178993        1.19324       0.689099E-001            NaN
  1236.14        500.000                 NaN   97.7738                 NaN  0.105596       0.285522       0.419875       0.184564        1.16405       0.666322E-001            NaN
  1235.15        500.000                 NaN   97.8229                 NaN  0.102960       0.278922       0.412470       0.179642        1.13828       0.647867E-001            NaN
  1234.17        500.000                 NaN   97.8733                 NaN  0.985174E-001  0.272202       0.396701       0.184416        1.11222       0.626715E-001            NaN
  1233.18        500.000                 NaN   97.9223                 NaN  0.956894E-001  0.265842       0.384794       0.183692        1.08693       0.607830E-001            NaN
  1232.19        500.000                 NaN   97.9709                 NaN  0.121979       0.259519       0.442257       0.786353E-001   1.06608       0.606217E-001            NaN
  1231.20        500.000                 NaN   98.0007                 NaN  0.302787E-001  0.255163       0.213418       0.408186        1.03828       0.540007E-001            NaN
  1230.21        500.000                 NaN   98.0608                 NaN  0.112258       0.247369       0.886449E-001  0.415726        1.01833       0.568537E-001            NaN
  1229.23        500.000                 NaN   98.0673                 NaN  0.151592E-001  0.247143       0.115039       0.505072        1.00055       0.496953E-001            NaN
  1228.24        500.000                 NaN   98.1547                 NaN  0.129009       0.234023       0.452583                 NaN  0.974567       0.551342E-001            NaN
  1227.25        500.000                 NaN   98.1742                 NaN  0.708953E-001  0.232088       0.295566       0.221258       0.955785       0.501780E-001            NaN
  1226.26        500.000                 NaN   98.2106                 NaN  0.653193E-001  0.227179       0.275295       0.236371       0.936715       0.485290E-001            NaN
  1225.27        500.000                 NaN   98.2464                 NaN  0.606609E-001  0.222283       0.259002       0.246730       0.917985       0.469223E-001            NaN
  1224.29        500.000                 NaN   98.2801                 NaN  0.555347E-001  0.217803       0.260533       0.240474       0.900258       0.453345E-001            NaN
  1223.30        500.000                 NaN   98.3253                 NaN  0.739136E-001  0.211245       0.169137       0.293857       0.881263       0.452559E-001            NaN
  1222.31        500.000                 NaN   98.3347                 NaN  0.240230E-001  0.210789       0.388744       0.133643       0.867119       0.409402E-001            NaN
  1221.32        500.000                 NaN   98.3761                 NaN  0.376678E-001  0.204543       0.312761       0.179008       0.849303       0.406442E-001            NaN
  1220.33        500.000                 NaN   98.4137                 NaN  0.467352E-001  0.199394       0.261495       0.206214       0.832331       0.401202E-001            NaN
  1219.35        500.000                 NaN   98.4258                 NaN  0.119692E-001  0.198432       0.444581       0.632271E-001  0.819263       0.367480E-001            NaN
  1218.36        500.000                 NaN   98.4627                 NaN  0.217873E-001  0.192761       0.363018       0.120023       0.803391       0.363553E-001            NaN
  1217.37        500.000                 NaN   98.5012                 NaN  0.326743E-001  0.187380       0.277163       0.178496       0.787010       0.361070E-001            NaN
  1216.38        500.000                 NaN   98.5273                 NaN  0.409145E-001  0.183733       0.260076       0.176963       0.775451       0.355433E-001            NaN
  1215.39        500.000                 NaN   98.5403                 NaN            NaN  0.182152       0.417646       0.663882E-001  0.761293       0.322341E-001            NaN
  1214.41        500.000                 NaN   98.5681                 NaN            NaN  0.179001       0.455110       0.202635E-001  0.746657       0.308545E-001            NaN
  1213.42        500.000                 NaN   98.5957                 NaN  0.199287E-005  0.174656       0.400098       0.658856E-001  0.733502       0.301694E-001            NaN
  1212.43        500.000                 NaN   98.6157                 NaN            NaN  0.171974       0.408039       0.521652E-001  0.722903       0.291802E-001            NaN
  1211.44        500.000                 NaN   98.6477                 NaN            NaN  0.167324       0.395995       0.525767E-001  0.707973       0.284757E-001            NaN
  1210.45        500.000                 NaN   98.6633                 NaN            NaN  0.165779       0.427122       0.177069E-001  0.698878       0.272268E-001            NaN
  1209.47        500.000                 NaN   98.6973                 NaN            NaN  0.160137       0.574371E-001  0.373876       0.684314       0.269547E-001            NaN
  1208.48        500.000                 NaN   98.7292                 NaN            NaN  0.154312       0.359525       0.407870E-001  0.687703       0.284244E-001            NaN
  1207.49        500.000                 NaN   95.8309                 NaN  0.316329       0.492801       0.915859                 NaN   2.32991       0.114245                 NaN
  1206.50        500.000                 NaN   99.1351                 NaN            NaN  0.700168E-001            NaN            NaN  0.672300       0.309030E-001  0.916711E-001
  1205.51        500.000                 NaN   99.9539                 NaN            NaN  0.464176E-002  0.414416E-001            NaN            NaN            NaN            NaN
  1204.53        500.000                 NaN   99.3663                 NaN            NaN  0.926301E-001  0.245223                 NaN  0.279852       0.159843E-001            NaN
  1203.54        500.000                 NaN   99.4308                 NaN  0.302270       0.946404E-001  0.130506                 NaN  0.290443E-001  0.127317E-001            NaN
  1202.55        500.000                 NaN   98.8727                 NaN            NaN  0.149664       0.453405E-001  0.361600       0.566236       0.443251E-002            NaN
  1201.56        500.000                 NaN   94.9399                 NaN            NaN  0.591121       0.866963       0.663375        2.81791       0.120768                 NaN
  1200.57        500.000                 NaN   99.3408                 NaN            NaN  0.694599E-001  0.208772E-002  0.206000       0.376591       0.502380E-002            NaN
  1199.59        500.000                 NaN   98.9749                 NaN            NaN  0.116159       0.488601E-001  0.247595       0.604822       0.769404E-002            NaN
  1198.60        500.000                 NaN   99.8168                 NaN            NaN  0.551339E-001  0.905369E-001            NaN  0.335559E-001  0.401997E-002            NaN
  1197.61        500.000                 NaN   99.8555                 NaN            NaN            NaN  0.483883E-001            NaN  0.895367E-001  0.655467E-002            NaN
  1196.62        500.000                 NaN   99.8202                 NaN            NaN  0.174521E-001  0.992100E-001  0.141585E-002  0.551226E-001  0.661002E-002            NaN
  1195.63        500.000                 NaN   98.3545                 NaN            NaN  0.163116       0.363965                 NaN   1.08362       0.348355E-001            NaN
  1194.64        500.000                 NaN   99.2749                 NaN  0.152188       0.109569       0.135345                 NaN  0.306554       0.214065E-001            NaN
  1193.66        500.000                 NaN   96.7008                 NaN  0.223781       0.293117                 NaN            NaN   1.48327       0.505839E-001   1.24845     
  1192.67        500.000                 NaN   99.9924                 NaN            NaN  0.664914E-003  0.957339E-003            NaN  0.268046E-002  0.592625E-004  0.328575E-002
  1191.68        500.000                 NaN   99.9947                 NaN            NaN  0.425914E-003  0.146420E-004  0.103661E-002  0.203457E-002  0.213759E-003  0.160107E-002
  1190.69        500.000                 NaN   99.9417                 NaN            NaN  0.498812E-002  0.589076E-005  0.827864E-002  0.195961E-001  0.230021E-003  0.251586E-001
  1189.70        500.000                 NaN   89.7919                 NaN            NaN  0.845282       0.554508        1.07917        3.76501       0.621747E-001   3.90191     
  1188.72        500.000                 NaN   86.2350                 NaN            NaN   1.11736       0.363597        1.95401        5.53857       0.628449E-001   4.72863     
  1187.73        500.000                 NaN   86.0554                 NaN            NaN   1.09682       0.236643        1.64517        5.56726       0.904101E-001   5.30825     
  1186.74        500.000                 NaN   70.5662                 NaN            NaN   2.27676        3.33907       0.457674        11.8669       0.174413        11.3190     
  1185.75        500.000                 NaN            NaN            NaN            NaN   7.56869        11.4313        1.11589        40.6917       0.589309        38.6031     
  1184.76        500.000                 NaN            NaN            NaN            NaN   7.58383       0.728344        11.8246        40.6753       0.586221        38.6017     
  1183.78        500.000                 NaN            NaN            NaN            NaN   7.57874        11.6223       0.930240        40.6802       0.586344        38.6022     
  1182.79        500.000                 NaN            NaN            NaN            NaN   7.57386        11.1712        1.37992        40.6836       0.587623        38.6038     
  1181.80        500.000                 NaN            NaN            NaN            NaN   7.57697        10.9660        1.58772        40.6791       0.586531        38.6037     
  1180.81        500.000                 NaN            NaN            NaN            NaN   7.58090        11.0386        1.51973        40.6711       0.585297        38.6043     
  1179.82        500.000                 NaN            NaN            NaN            NaN   7.59042        11.5822       0.976863        40.6631       0.584257        38.6032     
  1178.84        500.000                 NaN            NaN            NaN            NaN   7.58209        10.9036        1.65197        40.6727       0.585460        38.6042     
  1177.85        500.000                 NaN            NaN            NaN            NaN   7.58467        11.1067        1.44791        40.6713       0.585223        38.6041     
  1176.86        500.000                 NaN            NaN            NaN            NaN   7.59166        11.3743        1.18653        40.6589       0.584228        38.6043     
  1175.87        500.000                 NaN            NaN            NaN            NaN   7.58531        10.8929        1.66116        40.6708       0.585290        38.6046     
  1174.88        500.000                 NaN            NaN            NaN            NaN   7.58700        1.87969        10.6762        40.6669       0.585023        38.6051     
