|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.25/LAR/LAR_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          an             Cpx(TH)        Cpx(TH)        San(TH)        ilm            q             
  1325.07        500.000                 NaN   98.4655                 NaN  0.238019       0.519469       0.533206       0.243796                 NaN            NaN            NaN
  1324.08        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1323.09        500.000                 NaN   99.9957                 NaN  0.434178E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1322.10        500.000                 NaN   99.5708                 NaN  0.760744E-001  0.148897       0.474510E-001  0.156787                 NaN            NaN            NaN
  1321.11        500.000                 NaN   99.5185                 NaN  0.793748E-001  0.164249       0.167134       0.707822E-001            NaN            NaN            NaN
  1320.13        500.000                 NaN   99.5222                 NaN  0.791584E-001  0.162981       0.166191       0.694290E-001            NaN            NaN            NaN
  1319.14        500.000                 NaN   99.5257                 NaN  0.786153E-001  0.161735       0.165006       0.689088E-001            NaN            NaN            NaN
  1318.15        500.000                 NaN   99.5295                 NaN  0.780530E-001  0.160421       0.682707E-001  0.163796                 NaN            NaN            NaN
  1317.16        500.000                 NaN   99.5334                 NaN  0.788810E-001  0.159410       0.163398       0.649359E-001            NaN            NaN            NaN
  1316.17        500.000                 NaN   99.5370                 NaN  0.758872E-001  0.157371       0.161002       0.686992E-001            NaN            NaN            NaN
  1315.19        500.000                 NaN   99.5405                 NaN  0.765305E-001  0.156573       0.662224E-001  0.160195                 NaN            NaN            NaN
  1314.20        500.000                 NaN   99.5434                 NaN  0.756193E-001  0.155321       0.662376E-001  0.159390                 NaN            NaN            NaN
  1313.21        500.000                 NaN   99.5472                 NaN  0.751722E-001  0.153989       0.158182       0.654500E-001            NaN            NaN            NaN
  1312.22        500.000                 NaN   99.5504                 NaN  0.746433E-001  0.152852       0.157004       0.650618E-001            NaN            NaN            NaN
  1311.23        500.000                 NaN   99.5522                 NaN  0.745152E-001  0.152237       0.156875       0.641427E-001            NaN            NaN            NaN
  1310.25        500.000                 NaN   99.5582                 NaN  0.722126E-001  0.149695       0.660216E-001  0.153872                 NaN            NaN            NaN
  1309.26        500.000                 NaN   99.5602                 NaN  0.728829E-001  0.149342       0.636888E-001  0.153921                 NaN            NaN            NaN
  1308.27        500.000                 NaN   99.5642                 NaN  0.718108E-001  0.147727       0.152167       0.641086E-001            NaN            NaN            NaN
  1307.28        500.000                 NaN   99.5660                 NaN  0.738286E-001  0.147794       0.152811       0.595229E-001            NaN            NaN            NaN
  1306.29        500.000                 NaN   99.5715                 NaN  0.686660E-001  0.144503       0.149027       0.663301E-001            NaN            NaN            NaN
  1305.31        500.000                 NaN   99.5734                 NaN  0.700618E-001  0.144416       0.630065E-001  0.149089                 NaN            NaN            NaN
  1304.32        500.000                 NaN   99.5764                 NaN  0.692167E-001  0.143263       0.631058E-001  0.148046                 NaN            NaN            NaN
  1303.33        500.000                 NaN   99.5796                 NaN  0.694277E-001  0.142335       0.147657       0.610296E-001            NaN            NaN            NaN
  1302.34        500.000                 NaN   99.5823                 NaN  0.687726E-001  0.141426       0.615774E-001  0.145890                 NaN            NaN            NaN
  1301.35        500.000                 NaN   99.5866                 NaN  0.660568E-001  0.139130       0.642979E-001  0.143903                 NaN            NaN            NaN
  1300.37        500.000                 NaN   99.5882                 NaN  0.662714E-001  0.138915       0.143040       0.635914E-001            NaN            NaN            NaN
  1299.38        500.000                 NaN   99.5898                 NaN  0.649607E-001  0.138078       0.647073E-001  0.142471                 NaN            NaN            NaN
  1298.39        500.000                 NaN   99.5941                 NaN  0.646357E-001  0.136577       0.632965E-001  0.141349                 NaN            NaN            NaN
  1297.40        500.000                 NaN   99.5965                 NaN  0.635638E-001  0.135634       0.139699       0.645818E-001            NaN            NaN            NaN
  1296.41        500.000                 NaN   99.5996                 NaN  0.628017E-001  0.134501       0.138579       0.645514E-001            NaN            NaN            NaN
  1295.43        500.000                 NaN   99.6021                 NaN  0.621155E-001  0.133592       0.648660E-001  0.137307                 NaN            NaN            NaN
  1294.44        500.000                 NaN   99.6049                 NaN  0.613496E-001  0.132534       0.136342       0.649209E-001            NaN            NaN            NaN
  1293.45        500.000                 NaN   99.6077                 NaN  0.605289E-001  0.131428       0.649976E-001  0.135322                 NaN            NaN            NaN
  1292.46        500.000                 NaN   99.6099                 NaN  0.595155E-001  0.130542       0.134080       0.659452E-001            NaN            NaN            NaN
  1291.47        500.000                 NaN   99.6125                 NaN  0.587127E-001  0.129522       0.133145       0.660733E-001            NaN            NaN            NaN
  1290.49        500.000                 NaN   99.6148                 NaN  0.578904E-001  0.128670       0.131917       0.666894E-001            NaN            NaN            NaN
  1289.50        500.000                 NaN   99.6177                 NaN  0.568715E-001  0.127592       0.130427       0.674118E-001            NaN            NaN            NaN
  1288.51        500.000                 NaN   99.6203                 NaN  0.559923E-001  0.126527       0.129350       0.678773E-001            NaN            NaN            NaN
  1287.52        500.000                 NaN   99.6224                 NaN  0.551062E-001  0.125722       0.128198       0.686109E-001            NaN            NaN            NaN
  1286.53        500.000                 NaN   99.6250                 NaN  0.542794E-001  0.124719       0.687218E-001  0.127264                 NaN            NaN            NaN
  1285.55        500.000                 NaN   99.6269                 NaN  0.541208E-001  0.124175       0.126469       0.683331E-001            NaN            NaN            NaN
  1284.56        500.000                 NaN   99.6281                 NaN  0.535918E-001  0.123759       0.683398E-001  0.126221                 NaN            NaN            NaN
  1283.57        500.000                 NaN   99.6342                 NaN  0.498995E-001  0.120696       0.728837E-001  0.122296                 NaN            NaN            NaN
  1282.58        500.000                 NaN   99.6340                 NaN  0.503510E-001  0.121136       0.122308       0.721805E-001            NaN            NaN            NaN
  1281.59        500.000                 NaN   99.6359                 NaN  0.497934E-001  0.120514       0.121299       0.725423E-001            NaN            NaN            NaN
  1280.60        500.000                 NaN   99.6354                 NaN  0.486179E-001  0.120801       0.755460E-001  0.119668                 NaN            NaN            NaN
  1279.62        500.000                 NaN   99.6447                 NaN  0.472331E-001  0.116864       0.731674E-001  0.118005                 NaN            NaN            NaN
  1278.63        500.000                 NaN   99.6424                 NaN  0.463920E-001  0.117830       0.761339E-001  0.117196                 NaN            NaN            NaN
  1277.64        500.000                 NaN   95.6892                 NaN  0.497460E-001  0.550042       0.381234       0.719676        2.61011                 NaN            NaN
  1276.65        500.000                 NaN   94.3224                 NaN  0.448584E-001  0.699802       0.465854       0.957345        3.50974                 NaN            NaN
  1275.66        500.000                 NaN   94.5478                 NaN  0.374799E-001  0.675103       0.441994       0.937939        3.35967                 NaN            NaN
  1274.68        500.000                 NaN   94.7688                 NaN  0.359013E-001  0.650777       0.425503       0.904756        3.21429                 NaN            NaN
  1273.69        500.000                 NaN   94.8720                 NaN  0.306077E-001  0.641656       0.408004       0.907542        3.14016                 NaN            NaN
  1272.70        500.000                 NaN   95.2243                 NaN  0.267457E-001  0.599078       0.385848       0.849807        2.91422                 NaN            NaN
  1271.71        500.000                 NaN   95.3066                 NaN  0.219854E-001  0.591933       0.369039       0.854343        2.85612                 NaN            NaN
  1270.72        500.000                 NaN   95.4645                 NaN  0.177311E-001  0.574551       0.841085       0.350912        2.75120                 NaN            NaN
  1269.74        500.000                 NaN   95.6098                 NaN  0.129876E-001  0.558687       0.332064       0.832785        2.65372                 NaN            NaN
  1268.75        500.000                 NaN   95.7517                 NaN  0.975159E-002  0.542986       0.315131       0.820510        2.55988                 NaN            NaN
  1267.76        500.000                 NaN   95.8818                 NaN  0.576534E-002  0.528632       0.297476       0.812974        2.47331                 NaN            NaN
  1266.77        500.000                 NaN   96.0049                 NaN  0.157147E-002  0.515062       0.279277       0.808153        2.39107                 NaN            NaN
  1265.78        500.000                 NaN   96.1248                 NaN  0.228264E-002  0.502124       0.265747       0.792826        2.31223                 NaN            NaN
  1264.80        500.000                 NaN   96.2332                 NaN            NaN  0.490371       0.787261       0.249209        2.23999                 NaN            NaN
  1263.81        500.000                 NaN   95.3672                 NaN  0.112463       0.603484       0.572719       0.477511        2.79449       0.721085E-001            NaN
  1262.82        500.000                 NaN   95.0959                 NaN  0.177522       0.641675       0.728495       0.277821        2.97436       0.104181                 NaN
  1261.83        500.000                 NaN   95.3245                 NaN  0.169537       0.613085       0.255047       0.710230        2.82870       0.989180E-001            NaN
  1260.84        500.000                 NaN   95.5403                 NaN  0.159329       0.586761       0.672651       0.253095        2.69410       0.937420E-001            NaN
  1259.86        500.000                 NaN   95.7387                 NaN  0.150766       0.562263       0.643413       0.245990        2.56983       0.890724E-001            NaN
  1258.87        500.000                 NaN   95.9195                 NaN  0.143156       0.539821       0.238176       0.617849        2.45667       0.848303E-001            NaN
  1257.88        500.000                 NaN   96.0863                 NaN  0.136760       0.519017       0.594981       0.228900        2.35302       0.809842E-001            NaN
  1256.89        500.000                 NaN   96.2413                 NaN  0.130266       0.499680       0.571922       0.223165        2.25634       0.773324E-001            NaN
  1255.90        500.000                 NaN   96.3877                 NaN  0.124620       0.481309       0.550588       0.216047        2.16578       0.739874E-001            NaN
  1254.92        500.000                 NaN   96.5206                 NaN  0.119143       0.464533       0.210392       0.530893        2.08360       0.708766E-001            NaN
  1253.93        500.000                 NaN   96.6341                 NaN  0.994558E-001  0.449698       0.254766       0.485657        2.00899       0.673088E-001            NaN
  1252.94        500.000                 NaN   96.7697                 NaN  0.123210       0.433470       0.520765       0.153604        1.93335       0.658978E-001            NaN
  1251.95        500.000                 NaN   96.8780                 NaN  0.107881       0.419083       0.182532       0.484908        1.86469       0.628785E-001            NaN
  1250.96        500.000                 NaN   96.9824                 NaN  0.103212       0.405612       0.467400       0.180425        1.80051       0.604154E-001            NaN
  1249.98        500.000                 NaN   97.0800                 NaN  0.996015E-001  0.393040       0.453181       0.175006        1.74103       0.581804E-001            NaN
  1248.99        500.000                 NaN   97.1725                 NaN  0.972260E-001  0.381056       0.166117       0.441699        1.68521       0.561478E-001            NaN
  1248.00        500.000                 NaN   97.2602                 NaN  0.937684E-001  0.369592       0.428230       0.162185        1.63189       0.541239E-001            NaN
  1247.01        500.000                 NaN   97.3432                 NaN  0.909505E-001  0.358798       0.416766       0.156430        1.58159       0.522305E-001            NaN
  1246.02        500.000                 NaN   97.4269                 NaN  0.855083E-001  0.347990       0.166614       0.391901        1.53089       0.501475E-001            NaN
  1245.04        500.000                 NaN   97.4964                 NaN  0.944746E-001  0.338453       0.105934       0.423314        1.49203       0.493872E-001            NaN
  1244.05        500.000                 NaN   97.5650                 NaN  0.764787E-001  0.329264       0.367018       0.169536        1.44603       0.467212E-001            NaN
  1243.06        500.000                 NaN   97.6376                 NaN  0.810606E-001  0.319731       0.374304       0.136971        1.40479       0.455480E-001            NaN
  1242.07        500.000                 NaN   97.6996                 NaN  0.782698E-001  0.311422       0.135845       0.362959        1.36780       0.440815E-001            NaN
  1241.08        500.000                 NaN   97.7611                 NaN  0.755904E-001  0.303085       0.133712       0.352934        1.33095       0.426196E-001            NaN
  1240.09        500.000                 NaN   97.8211                 NaN  0.731670E-001  0.294898       0.342294       0.131949        1.29536       0.412435E-001            NaN
  1239.11        500.000                 NaN   97.8769                 NaN  0.711043E-001  0.287410       0.333504       0.129152        1.26203       0.399171E-001            NaN
  1238.12        500.000                 NaN   97.9323                 NaN  0.689927E-001  0.279738       0.323852       0.127009        1.22946       0.386793E-001            NaN
  1237.13        500.000                 NaN   97.9820                 NaN  0.666584E-001  0.272912       0.314687       0.126551        1.19972       0.374607E-001            NaN
  1236.14        500.000                 NaN   98.0337                 NaN  0.636700E-001  0.265861       0.301200       0.130309        1.16911       0.361815E-001            NaN
  1235.15        500.000                 NaN   98.0793                 NaN  0.619723E-001  0.259428       0.295453       0.126665        1.14201       0.351398E-001            NaN
  1234.17        500.000                 NaN   98.1257                 NaN  0.591966E-001  0.252896       0.283737       0.129851        1.11468       0.339543E-001            NaN
  1233.18        500.000                 NaN   98.1708                 NaN  0.574003E-001  0.246714       0.274835       0.129174        1.08818       0.328943E-001            NaN
  1232.19        500.000                 NaN   98.2167                 NaN  0.730354E-001  0.240577       0.315464       0.552193E-001   1.06618       0.327699E-001            NaN
  1231.20        500.000                 NaN   98.2409                 NaN  0.181027E-001  0.236288       0.151994       0.286260        1.03731       0.291594E-001            NaN
  1230.21        500.000                 NaN   98.2995                 NaN  0.670054E-001  0.228819       0.620846E-001  0.295660        1.01631       0.306660E-001            NaN
  1229.23        500.000                 NaN   98.3030                 NaN  0.903413E-002  0.228374       0.817380E-001  0.353499       0.997593       0.267768E-001            NaN
  1228.24        500.000                 NaN   98.3858                 NaN  0.767557E-001  0.216006       0.321158                 NaN  0.970613       0.296735E-001            NaN
  1227.25        500.000                 NaN   98.4023                 NaN  0.421147E-001  0.213991       0.209347       0.154360       0.950936       0.269769E-001            NaN
  1226.26        500.000                 NaN   98.4355                 NaN  0.387418E-001  0.209243       0.194730       0.164692       0.931016       0.260623E-001            NaN
  1225.27        500.000                 NaN   98.4682                 NaN  0.359232E-001  0.204517       0.182966       0.171692       0.911484       0.251726E-001            NaN
  1224.29        500.000                 NaN   98.4990                 NaN  0.328389E-001  0.200186       0.181069       0.169657       0.892989       0.242951E-001            NaN
  1223.30        500.000                 NaN   98.5404                 NaN  0.436409E-001  0.193953       0.117467       0.207014       0.873259       0.242269E-001            NaN
  1222.31        500.000                 NaN   98.5486                 NaN  0.141628E-001  0.193341       0.269515       0.940488E-001  0.858425       0.218944E-001            NaN
  1221.32        500.000                 NaN   98.5864                 NaN  0.221743E-001  0.187419       0.216487       0.125818       0.839952       0.217135E-001            NaN
  1220.33        500.000                 NaN   98.6206                 NaN  0.274728E-001  0.182514       0.180816       0.144767       0.822372       0.214113E-001            NaN
  1219.35        500.000                 NaN   98.6315                 NaN  0.702607E-002  0.181455       0.307389       0.443317E-001  0.808704       0.195922E-001            NaN
  1218.36        500.000                 NaN   98.6650                 NaN  0.127716E-001  0.176094       0.250396       0.840577E-001  0.792282       0.193631E-001            NaN
  1217.37        500.000                 NaN   98.6997                 NaN  0.191289E-001  0.171006       0.190732       0.124844       0.775383       0.192114E-001            NaN
  1216.38        500.000                 NaN   98.7239                 NaN  0.239170E-001  0.167512       0.178841       0.123628       0.763294       0.188925E-001            NaN
  1215.39        500.000                 NaN   98.7350                 NaN            NaN  0.165912       0.286977       0.463382E-001  0.748652       0.171170E-001            NaN
  1214.41        500.000                 NaN   98.7604                 NaN            NaN  0.162886       0.312663       0.141255E-001  0.733593       0.163684E-001            NaN
  1213.42        500.000                 NaN   98.7852                 NaN  0.116034E-005  0.158780       0.274145       0.458818E-001  0.720013       0.159895E-001            NaN
  1212.43        500.000                 NaN   98.8038                 NaN            NaN  0.156195       0.279329       0.362899E-001  0.708976       0.154505E-001            NaN
  1211.44        500.000                 NaN   98.8320                 NaN            NaN  0.151827       0.270832       0.365305E-001  0.693708       0.150629E-001            NaN
  1210.45        500.000                 NaN   98.8469                 NaN            NaN  0.150286       0.291973       0.122927E-001  0.684192       0.143888E-001            NaN
  1209.47        500.000                 NaN   98.8765                 NaN            NaN  0.145035       0.398078E-001  0.255126       0.669339       0.142314E-001            NaN
  1208.48        500.000                 NaN   98.8992                 NaN            NaN  0.139629       0.245635       0.282901E-001  0.672230       0.149932E-001            NaN
  1207.49        500.000                 NaN   96.3877                 NaN  0.182327       0.446347       0.644828                 NaN   2.27847       0.603201E-001            NaN
  1206.50        500.000                 NaN   99.1793                 NaN            NaN  0.630880E-001            NaN            NaN  0.652917       0.162316E-001  0.885046E-001
  1205.51        500.000                 NaN   99.9669                 NaN            NaN  0.418080E-002  0.289301E-001            NaN            NaN            NaN            NaN
  1204.53        500.000                 NaN   99.4661                 NaN            NaN  0.834601E-001  0.169887                 NaN  0.272160       0.839507E-002            NaN
  1203.54        500.000                 NaN   99.6176                 NaN  0.173829       0.852075E-001  0.883941E-001            NaN  0.282507E-001  0.668171E-002            NaN
  1202.55        500.000                 NaN   99.0370                 NaN            NaN  0.134604       0.312606E-001  0.244729       0.550063       0.232372E-002            NaN
  1201.56        500.000                 NaN   95.6124                 NaN            NaN  0.532583       0.598788       0.448055        2.74471       0.634237E-001            NaN
  1200.57        500.000                 NaN   99.4315                 NaN            NaN  0.621682E-001  0.143239E-002  0.137965       0.364341       0.262089E-002            NaN
  1199.59        500.000                 NaN   99.1085                 NaN            NaN  0.103940       0.335144E-001  0.165779       0.584293       0.401292E-002            NaN
  1198.60        500.000                 NaN   99.8542                 NaN            NaN  0.492745E-001  0.620252E-001            NaN  0.324091E-001  0.209410E-002            NaN
  1197.61        500.000                 NaN   99.8778                 NaN            NaN            NaN  0.323497E-001            NaN  0.864617E-001  0.341353E-002            NaN
  1196.62        500.000                 NaN   99.8604                 NaN            NaN  0.155922E-001  0.663205E-001  0.985496E-003  0.532670E-001  0.344208E-002            NaN
  1195.63        500.000                 NaN   98.5397                 NaN            NaN  0.145829       0.249415                 NaN   1.04692       0.181520E-001            NaN
  1194.64        500.000                 NaN   99.4188                 NaN  0.866952E-001  0.978141E-001  0.897365E-001            NaN  0.295814       0.111380E-001            NaN
  1193.66        500.000                 NaN   96.9532                 NaN  0.129057       0.261985                 NaN            NaN   1.43350       0.263505E-001   1.19594     
  1192.67        500.000                 NaN   99.9930                 NaN            NaN  0.592754E-003  0.638522E-003            NaN  0.258390E-002  0.307911E-004  0.313948E-002
  1191.68        500.000                 NaN   99.9953                 NaN            NaN  0.379694E-003  0.999581E-005  0.716863E-003  0.196136E-002  0.111062E-003  0.152983E-002
  1190.69        500.000                 NaN   99.9469                 NaN            NaN  0.444705E-002  0.401773E-005  0.555004E-002  0.188926E-001  0.119516E-003  0.240411E-001
  1189.70        500.000                 NaN   90.6672                 NaN            NaN  0.760398       0.381510       0.730252        3.66574       0.325966E-001   3.76233     
  1188.72        500.000                 NaN   87.4038                 NaN            NaN   1.00722       0.252401        1.32782        5.40684       0.330153E-001   4.56895     
  1187.73        500.000                 NaN   87.1286                 NaN            NaN  0.987309       0.164037        1.11627        5.43447       0.474288E-001   5.12185     
  1186.74        500.000                 NaN   72.3962                 NaN            NaN   2.07616        2.29461       0.324893        11.7512       0.926885E-001   11.0642     
  1185.75        500.000                 NaN            NaN            NaN            NaN   7.34732        8.37277       0.834597        42.9415       0.333387        40.1704     
  1184.76        500.000                 NaN            NaN            NaN            NaN   7.36203       0.543257        8.66930        42.9239       0.331636        40.1698     
  1183.78        500.000                 NaN            NaN            NaN            NaN   7.35707        8.51639       0.694889        42.9288       0.331701        40.1711     
  1182.79        500.000                 NaN            NaN            NaN            NaN   7.35229        8.17842        1.03174        42.9318       0.332418        40.1733     
  1181.80        500.000                 NaN            NaN            NaN            NaN   7.35520        8.02873        1.18465        42.9261       0.331791        40.1735     
