|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.25/LAR/LAR_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          Sp(TH)         San(TH)        ilm            q             
  1376.52        500.000        99.2140       0.252412       0.184065                 NaN  0.268117       0.814412E-001            NaN            NaN            NaN            NaN
  1375.53        500.000        99.8823       0.563585E-001            NaN            NaN  0.442111E-001  0.148213E-001  0.225912E-002            NaN            NaN            NaN
  1374.53        500.000        98.5719       0.309493       0.490616                 NaN  0.483036       0.144919                 NaN            NaN            NaN            NaN
  1373.53        500.000        99.2397       0.173089       0.246103                 NaN  0.259680       0.814445E-001            NaN            NaN            NaN            NaN
  1372.54        500.000        99.2465       0.169468       0.244406                 NaN  0.257659       0.819285E-001            NaN            NaN            NaN            NaN
  1371.54        500.000        99.2540       0.242714       0.165627                 NaN  0.255355       0.823173E-001            NaN            NaN            NaN            NaN
  1370.55        500.000        99.2625       0.162554       0.240355                 NaN  0.252507       0.821166E-001            NaN            NaN            NaN            NaN
  1369.55        500.000        99.2696       0.238180       0.159630                 NaN  0.250302       0.823188E-001            NaN            NaN            NaN            NaN
  1368.55        500.000        99.2773       0.155980       0.236635                 NaN  0.247717       0.823906E-001            NaN            NaN            NaN            NaN
  1367.56        500.000        99.2843       0.235092       0.152667                 NaN  0.245439       0.824690E-001            NaN            NaN            NaN            NaN
  1366.56        500.000        99.2914       0.233327       0.149605                 NaN  0.243203       0.824923E-001            NaN            NaN            NaN            NaN
  1365.57        500.000        99.2991       0.231652       0.145800                 NaN  0.240668       0.828100E-001            NaN            NaN            NaN            NaN
  1364.57        500.000        99.3052       0.142846       0.229793                 NaN  0.238940       0.832321E-001            NaN            NaN            NaN            NaN
  1363.57        500.000        99.3141       0.140524       0.227521                 NaN  0.235593       0.822821E-001            NaN            NaN            NaN            NaN
  1362.58        500.000        99.3197       0.137164       0.226331                 NaN  0.233992       0.828502E-001            NaN            NaN            NaN            NaN
  1361.58        500.000        99.3260       0.224545       0.135064                 NaN  0.231790       0.825567E-001            NaN            NaN            NaN            NaN
  1360.58        500.000        99.3326       0.131679       0.223095                 NaN  0.229773       0.828987E-001            NaN            NaN            NaN            NaN
  1359.59        500.000        99.3400       0.221221       0.128614                 NaN  0.227288       0.828423E-001            NaN            NaN            NaN            NaN
  1358.59        500.000        99.3463       0.219197       0.126523                 NaN  0.225326       0.826791E-001            NaN            NaN            NaN            NaN
  1357.60        500.000        99.3525       0.218050       0.123758                 NaN  0.223149       0.825912E-001            NaN            NaN            NaN            NaN
  1356.60        500.000        99.3588       0.216376       0.120928                 NaN  0.221114       0.827466E-001            NaN            NaN            NaN            NaN
  1355.60        500.000        99.3642       0.215015       0.118857                 NaN  0.219297       0.826288E-001            NaN            NaN            NaN            NaN
  1354.61        500.000        99.3709       0.212890       0.116719                 NaN  0.217081       0.823757E-001            NaN            NaN            NaN            NaN
  1353.61        500.000        99.1845       0.279696       0.148761                 NaN  0.280633       0.106450                 NaN            NaN            NaN            NaN
  1352.62        500.000        99.7918       0.697277E-001  0.399519E-001            NaN  0.715418E-001  0.269931E-001            NaN            NaN            NaN            NaN
  1351.62        500.000        99.1612       0.152784       0.285118                 NaN  0.289680       0.111229                 NaN            NaN            NaN            NaN
  1350.62        500.000        99.3912       0.207647       0.108045                 NaN  0.210658       0.824722E-001            NaN            NaN            NaN            NaN
  1349.63        500.000        99.4045       0.104429       0.204630                 NaN  0.205318       0.810960E-001            NaN            NaN            NaN            NaN
  1348.63        500.000        99.4056       0.204474       0.102981                 NaN  0.205370       0.815335E-001            NaN            NaN            NaN            NaN
  1347.64        500.000        99.4108       0.100654       0.203286                 NaN  0.203697       0.815527E-001            NaN            NaN            NaN            NaN
  1346.64        500.000        99.4159       0.202488       0.970879E-001            NaN  0.202340       0.822326E-001            NaN            NaN            NaN            NaN
  1345.64        500.000        99.4226       0.199526       0.981273E-001            NaN  0.199445       0.803250E-001            NaN            NaN            NaN            NaN
  1344.65        500.000        99.5849       0.145068       0.666716E-001            NaN  0.143856       0.594748E-001            NaN            NaN            NaN            NaN
  1343.65        500.000        99.2744       0.251322       0.122022                 NaN  0.250645       0.101627                 NaN            NaN            NaN            NaN
  1342.66        500.000        99.4375       0.196062       0.911391E-001            NaN  0.194691       0.806124E-001            NaN            NaN            NaN            NaN
  1341.66        500.000        99.4425       0.194547       0.903407E-001            NaN  0.192800       0.797778E-001            NaN            NaN            NaN            NaN
  1340.66        500.000        99.4475       0.193186       0.881956E-001            NaN  0.191192       0.799095E-001            NaN            NaN            NaN            NaN
  1339.67        500.000        99.4527       0.866648E-001  0.192006                 NaN  0.189305       0.793161E-001            NaN            NaN            NaN            NaN
  1338.67        500.000        99.4571       0.843191E-001  0.191045                 NaN  0.187982       0.795670E-001            NaN            NaN            NaN            NaN
  1337.67        500.000        99.3383       0.233165       0.103571                 NaN  0.228781       0.961917E-001            NaN            NaN            NaN            NaN
  1336.68        500.000        99.5895       0.144748       0.634118E-001            NaN  0.141961       0.603432E-001            NaN            NaN            NaN            NaN
  1335.68        500.000        99.4719       0.811055E-001  0.186541                 NaN  0.182582       0.778546E-001            NaN            NaN            NaN            NaN
  1334.69        500.000        99.4763       0.794738E-001  0.185047                 NaN  0.181276       0.778639E-001            NaN            NaN            NaN            NaN
  1333.69        500.000        99.3202       0.101548       0.241926                 NaN  0.235003       0.101349                 NaN            NaN            NaN            NaN
  1332.69        500.000        99.7260       0.404477E-001  0.972622E-001            NaN  0.948889E-001  0.414045E-001            NaN            NaN            NaN            NaN
  1331.70        500.000        99.3951       0.196050       0.131368                 NaN  0.205859       0.715847E-001            NaN            NaN            NaN            NaN
  1330.70        500.000        99.5076       0.195246       0.313118E-001            NaN  0.173193       0.926342E-001            NaN            NaN            NaN            NaN
  1329.71        500.000        99.4986       0.178838       0.739642E-001            NaN  0.173213       0.753587E-001            NaN            NaN            NaN            NaN
  1328.71        500.000        99.5023       0.728280E-001  0.177881                 NaN  0.171916       0.750478E-001            NaN            NaN            NaN            NaN
  1327.71        500.000        99.5048       0.177631       0.700525E-001            NaN  0.171445       0.760302E-001            NaN            NaN            NaN            NaN
  1326.72        500.000        99.5132       0.724999E-001  0.173692                 NaN  0.167709       0.728901E-001            NaN            NaN            NaN            NaN
  1325.72        500.000        99.5155       0.174078       0.693406E-001            NaN  0.167276       0.737961E-001            NaN            NaN            NaN            NaN
  1324.73        500.000        99.5194       0.172554       0.688515E-001            NaN  0.165966       0.732731E-001            NaN            NaN            NaN            NaN
  1323.73        500.000        99.5234       0.171161       0.687936E-001            NaN  0.164347       0.723248E-001            NaN            NaN            NaN            NaN
  1322.73        500.000        99.5262       0.170940       0.666659E-001            NaN  0.163620       0.726219E-001            NaN            NaN            NaN            NaN
  1321.74        500.000        99.5315       0.168066       0.684276E-001            NaN  0.161335       0.706645E-001            NaN            NaN            NaN            NaN
  1320.74        500.000        99.5298       0.174075       0.616868E-001            NaN  0.162290       0.721462E-001            NaN            NaN            NaN            NaN
  1319.74        500.000        99.5424       0.163643       0.692262E-001            NaN  0.156888       0.678177E-001            NaN            NaN            NaN            NaN
  1318.75        500.000        99.5424       0.165234       0.649864E-001            NaN  0.157544       0.698344E-001            NaN            NaN            NaN            NaN
  1317.75        500.000        99.5459       0.163981       0.649452E-001            NaN  0.156177       0.689501E-001            NaN            NaN            NaN            NaN
  1316.76        500.000        99.5500       0.645799E-001  0.162468                 NaN  0.154696       0.682515E-001            NaN            NaN            NaN            NaN
  1315.76        500.000        99.5534       0.644284E-001  0.161250                 NaN  0.153385       0.675194E-001            NaN            NaN            NaN            NaN
  1314.76        500.000        99.5558       0.160610       0.634328E-001            NaN  0.152727       0.674501E-001            NaN            NaN            NaN            NaN
  1313.77        500.000        99.5621       0.158470       0.633106E-001            NaN  0.150088       0.660370E-001            NaN            NaN            NaN            NaN
  1312.77        500.000        99.5640       0.629976E-001  0.157632                 NaN  0.149594       0.658101E-001            NaN            NaN            NaN            NaN
  1311.78        500.000        99.5670       0.157035       0.627607E-001            NaN  0.148302       0.649177E-001            NaN            NaN            NaN            NaN
  1310.78        500.000        99.5707       0.155433       0.628830E-001            NaN  0.146929       0.640894E-001            NaN            NaN            NaN            NaN
  1309.78        500.000        99.5737       0.154184       0.627938E-001            NaN  0.145820       0.634639E-001            NaN            NaN            NaN            NaN
  1308.79        500.000        99.5767       0.628367E-001  0.153121                 NaN  0.144626       0.626766E-001            NaN            NaN            NaN            NaN
  1307.79        500.000        99.5802       0.151306       0.631955E-001            NaN  0.143412       0.619018E-001            NaN            NaN            NaN            NaN
  1306.80        500.000        99.5817       0.660074E-001  0.149143                 NaN  0.142813       0.603762E-001            NaN            NaN            NaN            NaN
  1305.80        500.000        99.5874       0.149883       0.616810E-001            NaN  0.140506       0.605094E-001            NaN            NaN            NaN            NaN
  1304.80        500.000        99.5900       0.147993       0.630419E-001            NaN  0.139519       0.593983E-001            NaN            NaN            NaN            NaN
  1303.81        500.000        99.5927       0.146631       0.633573E-001            NaN  0.138605       0.587095E-001            NaN            NaN            NaN            NaN
  1302.81        500.000        99.5955       0.145561       0.634955E-001            NaN  0.137537       0.579406E-001            NaN            NaN            NaN            NaN
  1301.82        500.000        99.5982       0.634854E-001  0.144462                 NaN  0.136560       0.573377E-001            NaN            NaN            NaN            NaN
  1300.82        500.000        99.6012       0.635674E-001  0.143735                 NaN  0.135289       0.562366E-001            NaN            NaN            NaN            NaN
  1299.82        500.000        99.6049       0.651713E-001  0.140944                 NaN  0.133860       0.550938E-001            NaN            NaN            NaN            NaN
  1298.83        500.000        99.6070       0.139651       0.664985E-001            NaN  0.132991       0.538989E-001            NaN            NaN            NaN            NaN
  1297.83        500.000        99.6081       0.658588E-001  0.139459                 NaN  0.132720       0.539029E-001            NaN            NaN            NaN            NaN
  1296.83        500.000        99.6137       0.665355E-001  0.137533                 NaN  0.130218       0.520452E-001            NaN            NaN            NaN            NaN
  1295.84        500.000        99.6151       0.660579E-001  0.137054                 NaN  0.129882       0.519335E-001            NaN            NaN            NaN            NaN
  1294.84        500.000        99.6182       0.134617       0.677018E-001            NaN  0.128738       0.507556E-001            NaN            NaN            NaN            NaN
  1293.85        500.000        99.6207       0.133687       0.679871E-001            NaN  0.127710       0.499230E-001            NaN            NaN            NaN            NaN
  1292.85        500.000        99.6226       0.132640       0.683896E-001            NaN  0.127042       0.493036E-001            NaN            NaN            NaN            NaN
  1291.85        500.000        99.6265       0.698428E-001  0.130474                 NaN  0.125417       0.478112E-001            NaN            NaN            NaN            NaN
  1290.86        500.000        99.6279       0.668452E-001  0.131624                 NaN  0.125082       0.484989E-001            NaN            NaN            NaN            NaN
  1289.86        500.000        99.6312       0.127124       0.729074E-001            NaN  0.123425       0.453515E-001            NaN            NaN            NaN            NaN
  1288.87        500.000        99.6332       0.126524       0.720634E-001            NaN  0.122901       0.453233E-001            NaN            NaN            NaN            NaN
  1287.87        500.000        99.6360       0.125543       0.721679E-001            NaN  0.121737       0.445030E-001            NaN            NaN            NaN            NaN
  1286.87        500.000        99.6296       0.108321       0.109470                 NaN  0.121931       0.306730E-001            NaN            NaN            NaN            NaN
  1285.88        500.000        99.6486       0.138848       0.379207E-001            NaN  0.119119       0.554755E-001            NaN            NaN            NaN            NaN
  1284.88        500.000        99.6426       0.761139E-001  0.121284                 NaN  0.118955       0.410397E-001            NaN            NaN            NaN            NaN
  1283.89        500.000        99.6450       0.760915E-001  0.120090                 NaN  0.118158       0.406726E-001            NaN            NaN            NaN            NaN
  1282.89        500.000        99.6470       0.118443       0.778224E-001            NaN  0.117352       0.394289E-001            NaN            NaN            NaN            NaN
  1281.89        500.000        98.0000       0.219026       0.371345                 NaN  0.297221       0.227959E-001            NaN   1.08957                 NaN            NaN
  1280.90        500.000        93.8462       0.491989        1.07168                 NaN  0.752988       0.935541E-006            NaN   3.83719                 NaN            NaN
  1279.90        500.000        94.1241        1.03137       0.467614                 NaN  0.722886                 NaN            NaN   3.65399                 NaN            NaN
  1278.91        500.000        94.3903       0.991936       0.444687                 NaN  0.693663       0.127430E-003            NaN   3.47927                 NaN            NaN
  1277.91        500.000        94.6358       0.957625       0.421689                 NaN  0.666783                 NaN            NaN   3.31815                 NaN            NaN
  1276.91        500.000        94.9685       0.390775       0.908283                 NaN  0.628959       0.106875E-003            NaN   3.10335                 NaN            NaN
  1275.92        500.000        94.9718       0.387129       0.917010                 NaN  0.631378                 NaN            NaN   3.09264                 NaN            NaN
  1274.92        500.000        95.2694       0.873521       0.357635                 NaN  0.597060                 NaN            NaN   2.90238                 NaN            NaN
  1273.92        500.000        95.4537       0.852153       0.335939                 NaN  0.576777                 NaN            NaN   2.78142                 NaN            NaN
  1272.93        500.000        95.6256       0.833222       0.314309                 NaN  0.557754                 NaN            NaN   2.66907                 NaN            NaN
  1271.93        500.000        95.7842       0.292491       0.818038                 NaN  0.540201                 NaN            NaN   2.56512                 NaN            NaN
  1270.94        500.000        95.9303       0.268873       0.807576                 NaN  0.524108                 NaN            NaN   2.46917                 NaN            NaN
  1269.94        500.000        96.0758       0.798100       0.243617                 NaN  0.507781                 NaN            NaN   2.37467                 NaN            NaN
  1268.94        500.000        96.2071       0.216918       0.792848                 NaN  0.493068                 NaN            NaN   2.29006                 NaN            NaN
  1267.95        500.000        96.3504       0.184552       0.791638                 NaN  0.476596                 NaN            NaN   2.19684                 NaN            NaN
  1266.95        500.000        96.4586       0.806642       0.143851                 NaN  0.464676                 NaN            NaN   2.12622                 NaN            NaN
  1265.96        500.000        96.5667       0.905330E-001  0.834344                 NaN  0.452536                 NaN            NaN   2.05590                 NaN            NaN
  1264.96        500.000        96.6789       0.133848E-001  0.884567                 NaN  0.439345                 NaN            NaN   1.98383                 NaN            NaN
  1263.96        500.000        96.6151       0.902737                 NaN            NaN  0.447734                 NaN            NaN   2.02179       0.125891E-001            NaN
  1262.97        500.000        95.9063        1.01796                 NaN            NaN  0.535042                 NaN            NaN   2.46435       0.763301E-001            NaN
  1261.97        500.000        96.0752       0.978211                 NaN            NaN  0.513531                 NaN            NaN   2.36004       0.730533E-001            NaN
  1260.98        500.000        96.2303       0.941942                 NaN            NaN  0.494346                 NaN            NaN   2.26362       0.697430E-001            NaN
  1259.98        500.000        96.3732       0.908410                 NaN            NaN  0.476684                 NaN            NaN   2.17505       0.666870E-001            NaN
  1258.98        500.000        96.5093       0.876587                 NaN            NaN  0.459542                 NaN            NaN   2.09067       0.638540E-001            NaN
  1257.99        500.000        96.6409       0.845017                 NaN            NaN  0.443917                 NaN            NaN   2.00939       0.608203E-001            NaN
  1256.99        500.000        96.7522       0.819247                 NaN            NaN  0.429572                 NaN            NaN   1.94043       0.585359E-001            NaN
  1256.00        500.000        96.8636       0.792839                 NaN            NaN  0.416327                 NaN            NaN   1.87136       0.558938E-001            NaN
  1255.00        500.000        98.0535                 NaN            NaN            NaN  0.279500       0.106274                 NaN   1.48982       0.708730E-001            NaN
  1254.00        500.000        98.4605                 NaN            NaN            NaN  0.235701       0.208340                 NaN   1.06632       0.290912E-001            NaN
  1253.01        500.000        98.5084                 NaN            NaN            NaN  0.205338       0.128308                 NaN   1.12803       0.298796E-001            NaN
  1252.01        500.000        93.4106        2.40688                 NaN            NaN  0.840819                 NaN            NaN   3.25547       0.862511E-001            NaN
  1251.01        500.000        97.4325       0.640422                 NaN            NaN  0.331387                 NaN            NaN   1.54636       0.493563E-001            NaN
  1250.02        500.000        97.4583       0.641580                 NaN            NaN  0.334201                 NaN            NaN   1.51984       0.461124E-001            NaN
  1249.02        500.000        97.5234       0.626924                 NaN            NaN  0.327653                 NaN            NaN   1.47809       0.439783E-001            NaN
  1248.03        500.000        97.5906       0.611346                 NaN            NaN  0.320871                 NaN            NaN   1.43543       0.417983E-001            NaN
  1247.03        500.000        97.6546       0.595898                 NaN            NaN  0.312291                 NaN            NaN   1.39672       0.404538E-001            NaN
  1246.03        500.000        97.7169       0.581084                 NaN            NaN  0.303915                 NaN            NaN   1.35899       0.390846E-001            NaN
  1245.04        500.000        97.7799       0.565606                 NaN            NaN  0.296564                 NaN            NaN   1.32041       0.374960E-001            NaN
  1244.04        500.000        97.8370       0.551527                 NaN            NaN  0.288490                 NaN            NaN   1.28658       0.363944E-001            NaN
  1243.05        500.000        97.8928       0.537999                 NaN            NaN  0.281049                 NaN            NaN   1.25296       0.351749E-001            NaN
  1242.05        500.000        97.9451       0.525265                 NaN            NaN  0.273750                 NaN            NaN   1.22174       0.341207E-001            NaN
  1241.05        500.000        97.9988       0.511512                 NaN            NaN  0.266625                 NaN            NaN   1.19007       0.329746E-001            NaN
  1240.06        500.000        98.0425       0.501529                 NaN            NaN  0.260231                 NaN            NaN   1.16371       0.320798E-001            NaN
  1239.06        500.000        98.0932       0.488660                 NaN            NaN  0.254384                 NaN            NaN   1.13308       0.306776E-001            NaN
  1238.07        500.000        98.1425       0.472945                 NaN            NaN  0.243245                 NaN            NaN   1.11025       0.310876E-001            NaN
  1237.07        500.000        98.1647       0.475235                 NaN            NaN  0.246177                 NaN            NaN   1.08563       0.282685E-001            NaN
  1236.07        500.000        98.2196       0.457982                 NaN            NaN  0.238232                 NaN            NaN   1.05664       0.274975E-001            NaN
  1235.08        500.000        98.2613       0.447154                 NaN            NaN  0.232203                 NaN            NaN   1.03268       0.266465E-001            NaN
  1234.08        500.000        98.3028       0.436907                 NaN            NaN  0.225320                 NaN            NaN   1.00877       0.262234E-001            NaN
  1233.09        500.000        98.3401       0.427349                 NaN            NaN  0.219740                 NaN            NaN  0.987321       0.254797E-001            NaN
  1232.09        500.000        98.3756       0.418673                 NaN            NaN  0.215153                 NaN            NaN  0.965989       0.245595E-001            NaN
  1231.09        500.000        98.4092       0.410711                 NaN            NaN  0.211521                 NaN            NaN  0.945089       0.234894E-001            NaN
  1230.10        500.000        98.4416       0.402441                 NaN            NaN  0.207004                 NaN            NaN  0.926214       0.227322E-001            NaN
  1229.10        500.000        98.4785       0.392938                 NaN            NaN  0.200083                 NaN            NaN  0.905938       0.225068E-001            NaN
  1228.10        500.000        98.5100       0.385001                 NaN            NaN  0.195950                 NaN            NaN  0.887322       0.217302E-001            NaN
  1227.11        500.000        98.5404       0.377433                 NaN            NaN  0.192026                 NaN            NaN  0.869150       0.209444E-001            NaN
  1226.11        500.000        98.5720       0.369135                 NaN            NaN  0.187329                 NaN            NaN  0.851227       0.203528E-001            NaN
  1225.12        500.000        98.6010       0.361745                 NaN            NaN  0.184479                 NaN            NaN  0.833471       0.193495E-001            NaN
  1224.12        500.000        98.6299       0.354566                 NaN            NaN  0.179262                 NaN            NaN  0.817236       0.190422E-001            NaN
  1223.12        500.000        98.6594       0.346547                 NaN            NaN  0.175254                 NaN            NaN  0.800416       0.184144E-001            NaN
  1222.13        500.000        98.6848       0.340512                 NaN            NaN  0.171670                 NaN            NaN  0.785262       0.177868E-001            NaN
  1221.13        500.000        98.7094       0.334235                 NaN            NaN  0.168407                 NaN            NaN  0.770787       0.171759E-001            NaN
  1220.14        500.000        98.7363       0.327103                 NaN            NaN  0.163978                 NaN            NaN  0.755813       0.167849E-001            NaN
  1219.14        500.000        98.7615       0.320568                 NaN            NaN  0.160786                 NaN            NaN  0.741029       0.161496E-001            NaN
  1218.14        500.000        98.7856       0.314355                 NaN            NaN  0.157743                 NaN            NaN  0.726793       0.154997E-001            NaN
  1217.15        500.000        98.8107       0.307638                 NaN            NaN  0.153188                 NaN            NaN  0.713162       0.152693E-001            NaN
  1216.15        500.000        98.8375       0.299417                 NaN            NaN  0.149956                 NaN            NaN  0.698368       0.147108E-001            NaN
  1215.16        500.000        98.8525       0.297782                 NaN            NaN  0.147567                 NaN            NaN  0.687992       0.141631E-001            NaN
  1214.16        500.000        98.8798       0.289093                 NaN            NaN  0.143020                 NaN            NaN  0.674123       0.140077E-001            NaN
  1213.16        500.000        98.8990       0.284612                 NaN            NaN  0.141258                 NaN            NaN  0.661869       0.132229E-001            NaN
  1212.17        500.000        98.9210       0.278396                 NaN            NaN  0.137617                 NaN            NaN  0.650029       0.129520E-001            NaN
  1211.17        500.000        98.9416       0.272882                 NaN            NaN  0.134797                 NaN            NaN  0.638181       0.125095E-001            NaN
  1210.18        500.000        98.9625       0.267073                 NaN            NaN  0.131183                 NaN            NaN  0.626952       0.122674E-001            NaN
  1209.18        500.000        98.9762       0.264381                 NaN            NaN  0.131562                 NaN            NaN  0.616597       0.112356E-001            NaN
  1208.18        500.000        99.0026       0.256384                 NaN            NaN  0.125234                 NaN            NaN  0.604206       0.115452E-001            NaN
  1207.19        500.000        99.0213       0.251142                 NaN            NaN  0.122454                 NaN            NaN  0.593846       0.112568E-001            NaN
  1206.19        500.000        99.0385       0.246651                 NaN            NaN  0.119414                 NaN            NaN  0.584480       0.109965E-001            NaN
  1205.19        500.000        98.9075       0.212756                 NaN            NaN  0.189013       0.740815E-001            NaN  0.594676       0.219287E-001            NaN
  1204.20        500.000        97.7428       0.473371       0.230218E-001            NaN  0.257381                 NaN            NaN   1.48466       0.188110E-001            NaN
  1203.20        500.000        99.9317       0.501955E-001            NaN            NaN  0.176278E-001            NaN            NaN            NaN  0.510495E-003            NaN
  1202.21        500.000        99.5155       0.105075                 NaN            NaN  0.743096E-002            NaN            NaN  0.356915       0.150396E-001            NaN
  1201.21        500.000        98.6382       0.205626       0.114611                 NaN  0.173630                 NaN            NaN  0.862829       0.514806E-002            NaN
  1200.21        500.000        99.9002       0.928365E-001            NaN            NaN  0.100817E-002            NaN            NaN  0.249281E-002  0.347850E-002            NaN
  1199.22        500.000        99.1744       0.203637                 NaN            NaN  0.103593                 NaN            NaN  0.510362       0.805052E-002            NaN
  1198.22        500.000        98.9601       0.308856                 NaN            NaN  0.136014                 NaN            NaN  0.580912       0.141243E-001            NaN
  1197.23        500.000        99.3764       0.115744                 NaN            NaN  0.566582E-001            NaN            NaN  0.446463       0.468817E-002            NaN
  1196.23        500.000        99.2107       0.195028                 NaN            NaN  0.948893E-001            NaN            NaN  0.491213       0.815475E-002            NaN
  1195.23        500.000        99.2238       0.192060                 NaN            NaN  0.970497E-001            NaN            NaN  0.480195       0.690699E-002            NaN
  1194.24        500.000        97.0092       0.362742                 NaN            NaN  0.247687                 NaN            NaN   1.31623       0.160901E-001   1.04805     
  1193.24        500.000        93.4382       0.715076                 NaN            NaN  0.539535                 NaN            NaN   2.66329       0.199541E-001   2.62396     
  1192.25        500.000        91.2472       0.363366       0.490086                 NaN  0.664094                 NaN            NaN   3.60253       0.362402E-001   3.59650     
  1191.25        500.000        88.5103        1.16259       0.879912E-002            NaN  0.886539                 NaN            NaN   4.66509       0.412119E-001   4.72544     
  1190.25        500.000        75.9450        1.77448                 NaN            NaN   1.87103       0.317757                 NaN   9.81660       0.943531E-001   10.1807     
  1189.26        500.000        93.9277       0.356330       0.648488E-001            NaN  0.345934                 NaN            NaN   3.06669       0.296912E-001   2.20878     
  1188.26        500.000                 NaN   2.75009        6.05548                 NaN   7.15722                 NaN            NaN   43.4028       0.321073        40.3134     
  1187.26        500.000                 NaN   3.05674        5.73033       0.461896E-005   7.14078                 NaN            NaN   43.4349       0.324740        40.3125     
  1186.27        500.000                 NaN   3.00342        5.78483       0.446262E-005   7.14285                 NaN            NaN   43.4312       0.324363        40.3134     
  1185.27        500.000                 NaN   2.95055        5.83891       0.431161E-005   7.14497                 NaN            NaN   43.4274       0.323982        40.3142     
  1184.28        500.000                 NaN   5.94142       0.255732E-005            NaN   6.92594        1.65478                 NaN   44.0316       0.435417        41.0108     
  1183.28        500.000                 NaN   5.85412        2.04764                 NaN   7.04351       0.542161                 NaN   43.5993       0.350752        40.5625     
  1182.28        500.000                 NaN   6.59388       0.132464E-005            NaN   6.99094        1.29471                 NaN   43.8569       0.402036        40.8615     
  1181.29        500.000                 NaN   2.84684        5.94828                 NaN   7.15359                 NaN            NaN   43.4114       0.322284        40.3176     
  1180.29        500.000                 NaN   6.22482                 NaN            NaN   6.95110        1.49773                 NaN   43.9601       0.420114        40.9462     
  1179.30        500.000                 NaN   6.20720       0.102420E-004            NaN   6.95019        1.50830                 NaN   43.9621       0.420669        40.9515     
  1178.30        500.000                 NaN   6.18987       0.971782E-005            NaN   6.94930        1.51871                 NaN   43.9640       0.421216        40.9569     
  1177.30        500.000                 NaN   6.17275                 NaN            NaN   6.94842        1.52899                 NaN   43.9660       0.421755        40.9621     
  1176.31        500.000                 NaN   6.15604       0.873045E-005            NaN   6.94757        1.53902                 NaN   43.9678       0.422279        40.9673     
  1175.31        500.000                 NaN   6.13945       0.826392E-005            NaN   6.94671        1.54900                 NaN   43.9696       0.422802        40.9724     
  1174.32        500.000                 NaN   6.12324       0.781735E-005            NaN   6.94589        1.55875                 NaN   43.9714       0.423310        40.9774     
  1173.32        500.000                 NaN   6.10723       0.269546E-004            NaN   6.94508        1.56836                 NaN   43.9731       0.423812        40.9824     
