|6.6.6
Archiving\03_Data\DfracLP/QFM_m3.25/T13/T13_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       Ni             O(HP)          Sp(TH)         Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1914.79        500.000        99.5175                 NaN            NaN            NaN  0.482541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        98.6708                 NaN            NaN            NaN   1.32917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.4091                 NaN            NaN            NaN  0.590901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.3691                 NaN            NaN            NaN  0.630876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.3707                 NaN            NaN            NaN  0.629252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.3781                 NaN            NaN            NaN  0.621939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.3771                 NaN            NaN            NaN  0.622876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.3820                 NaN            NaN            NaN  0.618008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.3947                 NaN            NaN            NaN  0.605251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.3919                 NaN            NaN            NaN  0.608097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.4098                 NaN            NaN            NaN  0.590196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.3828                 NaN            NaN            NaN  0.617206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        98.8286                 NaN            NaN            NaN   1.17140                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.8319                 NaN            NaN            NaN  0.167167       0.965770E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.5536                 NaN            NaN            NaN  0.446377                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.4030                 NaN            NaN            NaN  0.589313       0.772370E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4019                 NaN            NaN            NaN  0.587801       0.103416E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.1468                 NaN            NaN            NaN  0.838828       0.144186E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.8948                 NaN            NaN            NaN  0.103053       0.217424E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.1845                 NaN            NaN            NaN  0.801397       0.140601E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4117                 NaN            NaN            NaN  0.578058       0.102208E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4142                 NaN            NaN            NaN  0.575608       0.101678E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4168                 NaN            NaN            NaN  0.573093       0.101452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4182                 NaN            NaN            NaN  0.571644       0.101117E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.4196                 NaN            NaN            NaN  0.570365       0.100705E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4214                 NaN            NaN            NaN  0.568544       0.100511E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.4221                 NaN            NaN            NaN  0.567893       0.100359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4241                 NaN            NaN            NaN  0.565931       0.999607E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.4243                 NaN            NaN            NaN  0.565688       0.999244E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4265                 NaN            NaN            NaN  0.563556       0.992158E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.4257                 NaN            NaN            NaN  0.564346       0.994158E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.4263                 NaN            NaN            NaN  0.563788       0.991861E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4269                 NaN            NaN            NaN  0.563161       0.991633E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.3021                 NaN            NaN            NaN  0.685863       0.120385E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.6751                 NaN            NaN            NaN  0.319303       0.559873E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.3095                 NaN            NaN            NaN  0.678629       0.118578E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4289                 NaN            NaN            NaN  0.561313       0.979831E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4052                 NaN            NaN            NaN  0.584606       0.101541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.5009                 NaN            NaN            NaN  0.490550       0.850336E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.3822                 NaN            NaN            NaN  0.607274       0.104961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.4247                 NaN            NaN            NaN  0.565544       0.977385E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.3860                 NaN            NaN            NaN  0.603642       0.103706E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.5867                 NaN            NaN            NaN  0.406364       0.697097E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.3083                 NaN            NaN            NaN  0.680091       0.116238E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.4206                 NaN            NaN            NaN  0.569611       0.976955E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.4286                 NaN            NaN            NaN  0.561885       0.948703E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.4220                 NaN            NaN            NaN  0.568353       0.960777E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4168                 NaN            NaN            NaN  0.573530       0.966989E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.4206                 NaN            NaN            NaN  0.569813       0.954471E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.4173                 NaN            NaN            NaN  0.573125       0.955697E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.4322                 NaN            NaN            NaN  0.558515       0.926526E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.3951                 NaN            NaN            NaN  0.595080       0.984648E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.4127                 NaN            NaN            NaN  0.577853       0.949089E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.3924                 NaN            NaN            NaN  0.597805       0.978384E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.4586                 NaN            NaN            NaN  0.532708       0.864630E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        96.3506       0.266111E-001  0.289304E-001            NaN   3.53676       0.380209E-001  0.190349E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.7894                 NaN            NaN            NaN  0.207238       0.336097E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.3887                 NaN            NaN            NaN  0.601815       0.944153E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.4727                 NaN            NaN            NaN  0.519228       0.809381E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.2929                 NaN            NaN            NaN  0.696296       0.107858E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.3805                 NaN            NaN            NaN  0.610117       0.938873E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.3760                 NaN            NaN            NaN  0.614643       0.938601E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.3903                 NaN            NaN            NaN  0.600597       0.913440E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.3500                 NaN            NaN            NaN  0.640347       0.967057E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.3654                 NaN            NaN            NaN  0.625193       0.938268E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.3601                 NaN            NaN            NaN  0.630438       0.941765E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.3589                 NaN            NaN            NaN  0.631719       0.937320E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.3541                 NaN            NaN            NaN  0.636499       0.937470E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.3505                 NaN            NaN            NaN  0.640155       0.938971E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.3473                 NaN            NaN            NaN  0.643323       0.936403E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.3850                 NaN            NaN            NaN  0.606278       0.876913E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.2970                 NaN            NaN            NaN  0.693043       0.998984E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.3346                 NaN            NaN            NaN  0.656038       0.940233E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3337                 NaN            NaN            NaN  0.656951       0.932066E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.3276                 NaN            NaN            NaN  0.663063       0.937605E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3211                 NaN            NaN            NaN  0.669531       0.940327E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3241                 NaN            NaN            NaN  0.666603       0.931938E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.3170                 NaN            NaN            NaN  0.673573       0.938194E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3146                 NaN            NaN            NaN  0.676071       0.935971E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.3126                 NaN            NaN            NaN  0.678081       0.932895E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        98.0840                 NaN            NaN            NaN   1.89032       0.257289E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.8641                 NaN            NaN            NaN  0.134079       0.182857E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.2984                 NaN            NaN            NaN  0.692161       0.940046E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.2730                 NaN            NaN            NaN  0.717349       0.963551E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.2933                 NaN            NaN            NaN  0.697363       0.933058E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.2939                 NaN            NaN            NaN  0.696746       0.931353E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.2895                 NaN            NaN            NaN  0.701173       0.933893E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.2881                 NaN            NaN            NaN  0.702622       0.932667E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.2866                 NaN            NaN            NaN  0.704133       0.930983E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.2840                 NaN            NaN            NaN  0.706679       0.934059E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.2842                 NaN            NaN            NaN  0.706558       0.928209E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.2822                 NaN            NaN            NaN  0.708486       0.930453E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        98.8332                 NaN            NaN            NaN   1.15163       0.151310E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.7325                 NaN            NaN            NaN  0.264098       0.342129E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.2805                 NaN            NaN            NaN  0.710249       0.926766E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.2785                 NaN            NaN            NaN  0.712205       0.929474E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.2813                 NaN            NaN            NaN  0.709493       0.923688E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.2812                 NaN            NaN            NaN  0.709583       0.922059E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.7247                 NaN            NaN            NaN  0.271775       0.352071E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        98.8387                 NaN            NaN            NaN   1.14643       0.149089E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.2837                 NaN            NaN            NaN  0.707091       0.918260E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.2845                 NaN            NaN            NaN  0.706348       0.917916E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.2859                 NaN            NaN            NaN  0.704939       0.915539E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.2843                 NaN            NaN            NaN  0.706515       0.922589E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.2915                 NaN            NaN            NaN  0.699392       0.909735E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.2921                 NaN            NaN            NaN  0.698798       0.909044E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.2966                 NaN            NaN            NaN  0.694380       0.904451E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.2973                 NaN            NaN            NaN  0.693674       0.905648E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        98.8219                 NaN            NaN            NaN   1.16285       0.152422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.7841                 NaN            NaN            NaN  0.213099       0.275600E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.6891                 NaN            NaN            NaN  0.306875       0.403168E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        98.9290                 NaN            NaN            NaN   1.05708       0.138775E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.3150                 NaN            NaN            NaN  0.676135       0.891173E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.3179                 NaN            NaN            NaN  0.673230       0.888806E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.3222                 NaN            NaN            NaN  0.668981       0.886362E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.3273                 NaN            NaN            NaN  0.663910       0.880905E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.3307                 NaN            NaN            NaN  0.660443       0.880781E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.3338                 NaN            NaN            NaN  0.657430       0.875234E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.3430                 NaN            NaN            NaN  0.648234       0.871924E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.3456                 NaN            NaN            NaN  0.645729       0.868338E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.6891                 NaN            NaN            NaN   1.29343       0.175029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.9834                 NaN            NaN            NaN  0.165114E-001  0.782460E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.3981                 NaN            NaN            NaN  0.593775       0.807600E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        99.3637                 NaN            NaN            NaN  0.627691       0.856562E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.3741                 NaN            NaN            NaN  0.617444       0.844547E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.9147                 NaN            NaN            NaN  0.306003       0.157996E-003            NaN  0.779154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.8004                 NaN            NaN            NaN  0.846303E-001            NaN            NaN   1.11496                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.7486                 NaN            NaN            NaN  0.817303E-001            NaN            NaN   1.16963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.7738                 NaN            NaN            NaN  0.820273E-001            NaN            NaN   1.14420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.7936                 NaN            NaN            NaN  0.802307E-001            NaN            NaN   1.12613                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.8124                 NaN            NaN            NaN  0.769319E-001            NaN            NaN   1.11064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.8334                 NaN            NaN            NaN  0.768816E-001            NaN            NaN   1.08975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.8518                 NaN            NaN            NaN  0.747598E-001            NaN            NaN   1.07349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.8710                 NaN            NaN            NaN  0.731767E-001            NaN            NaN   1.05586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.8871                 NaN            NaN            NaN  0.674582E-001            NaN            NaN   1.04547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.9041                 NaN            NaN            NaN  0.653343E-001            NaN            NaN   1.03055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.9213                 NaN            NaN            NaN  0.633304E-001            NaN            NaN   1.01541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.7792                 NaN            NaN            NaN  0.784520E-001            NaN            NaN   1.14239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
