|6.6.6
Archiving\03_Data\DfracLP/QFM_m3.25/T13/T13_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       Ni             O(HP)          Sp(TH)         Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1897.24        500.000        99.3347                 NaN            NaN            NaN  0.665323                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.3397                 NaN            NaN            NaN  0.660283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.3531                 NaN            NaN            NaN  0.646874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.3498                 NaN            NaN            NaN  0.650242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.3685                 NaN            NaN            NaN  0.631514                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.3395                 NaN            NaN            NaN  0.660479                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        98.7457                 NaN            NaN            NaN   1.25430                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.8194                 NaN            NaN            NaN  0.179150       0.141471E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.5217                 NaN            NaN            NaN  0.478281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.3569                 NaN            NaN            NaN  0.631763       0.113083E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.3544                 NaN            NaN            NaN  0.630409       0.151482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.0790                 NaN            NaN            NaN  0.899904       0.211357E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.8862                 NaN            NaN            NaN  0.110630       0.318690E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.1189                 NaN            NaN            NaN  0.860491       0.206122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.3638                 NaN            NaN            NaN  0.621176       0.149868E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.3663                 NaN            NaN            NaN  0.618821       0.149207E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.3687                 NaN            NaN            NaN  0.616384       0.148880E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.3700                 NaN            NaN            NaN  0.615169       0.148471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.3711                 NaN            NaN            NaN  0.614125       0.147974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.3728                 NaN            NaN            NaN  0.612378       0.147743E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.3731                 NaN            NaN            NaN  0.612129       0.147571E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.3750                 NaN            NaN            NaN  0.610274       0.147033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.3749                 NaN            NaN            NaN  0.610357       0.147026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.3770                 NaN            NaN            NaN  0.608387       0.146079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.3757                 NaN            NaN            NaN  0.609637       0.146423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.3761                 NaN            NaN            NaN  0.609261       0.146152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.3765                 NaN            NaN            NaN  0.608927       0.146121E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.2405                 NaN            NaN            NaN  0.741801       0.177438E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.6460                 NaN            NaN            NaN  0.345731       0.825976E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.2474                 NaN            NaN            NaN  0.735111       0.175004E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.3774                 NaN            NaN            NaN  0.608173       0.144665E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.3511                 NaN            NaN            NaN  0.633947       0.149978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.4551                 NaN            NaN            NaN  0.532358       0.125679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.3251                 NaN            NaN            NaN  0.659391       0.155161E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.3711                 NaN            NaN            NaN  0.614468       0.144536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.3285                 NaN            NaN            NaN  0.656123       0.153411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.5476                 NaN            NaN            NaN  0.442090       0.103208E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.2426                 NaN            NaN            NaN  0.740146       0.172074E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.3653                 NaN            NaN            NaN  0.620208       0.144658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.3735                 NaN            NaN            NaN  0.612455       0.140591E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.3659                 NaN            NaN            NaN  0.619808       0.142418E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.3597                 NaN            NaN            NaN  0.625958       0.143389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.3636                 NaN            NaN            NaN  0.622256       0.141589E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.3595                 NaN            NaN            NaN  0.626274       0.141876E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.3755                 NaN            NaN            NaN  0.610717       0.137609E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.3341                 NaN            NaN            NaN  0.651229       0.146291E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.3532                 NaN            NaN            NaN  0.632682       0.141083E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.3306                 NaN            NaN            NaN  0.654851       0.145458E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.4027                 NaN            NaN            NaN  0.584392       0.128694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        95.9445       0.229181E-001  0.263086E-001            NaN   3.92096       0.567853E-001  0.285419E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.7666                 NaN            NaN            NaN  0.228364       0.501757E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.3224                 NaN            NaN            NaN  0.663458       0.140951E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.4150                 NaN            NaN            NaN  0.572907       0.120886E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.2151                 NaN            NaN            NaN  0.768806       0.161179E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.3117                 NaN            NaN            NaN  0.674242       0.140359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.3061                 NaN            NaN            NaN  0.679889       0.140433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.3215                 NaN            NaN            NaN  0.664865       0.136713E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.2761                 NaN            NaN            NaN  0.709456       0.144786E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.2927                 NaN            NaN            NaN  0.693240       0.140551E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.2863                 NaN            NaN            NaN  0.699633       0.141151E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.2844                 NaN            NaN            NaN  0.701528       0.140536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.2784                 NaN            NaN            NaN  0.707544       0.140650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.2738                 NaN            NaN            NaN  0.712060       0.140922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.2696                 NaN            NaN            NaN  0.716294       0.140638E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.3112                 NaN            NaN            NaN  0.675635       0.131782E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.2120                 NaN            NaN            NaN  0.772981       0.150121E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.2534                 NaN            NaN            NaN  0.732446       0.141370E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.2518                 NaN            NaN            NaN  0.734219       0.140278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.2442                 NaN            NaN            NaN  0.741687       0.141164E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.2360                 NaN            NaN            NaN  0.749834       0.141708E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.2391                 NaN            NaN            NaN  0.746868       0.140454E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.2301                 NaN            NaN            NaN  0.755752       0.141446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.2269                 NaN            NaN            NaN  0.759007       0.141219E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.2237                 NaN            NaN            NaN  0.762203       0.140834E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        97.8340                 NaN            NaN            NaN   2.12712       0.388613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.8460                 NaN            NaN            NaN  0.151222       0.276698E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.2053                 NaN            NaN            NaN  0.780475       0.142193E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.1748                 NaN            NaN            NaN  0.810606       0.145915E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.1971                 NaN            NaN            NaN  0.788773       0.141380E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.1973                 NaN            NaN            NaN  0.788581       0.141160E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.1913                 NaN            NaN            NaN  0.794579       0.141645E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.1887                 NaN            NaN            NaN  0.797110       0.141537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.1862                 NaN            NaN            NaN  0.799699       0.141379E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.1826                 NaN            NaN            NaN  0.803216       0.141889E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.1816                 NaN            NaN            NaN  0.804250       0.141160E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.1787                 NaN            NaN            NaN  0.807165       0.141550E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        98.6637                 NaN            NaN            NaN   1.31324       0.230253E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.6930                 NaN            NaN            NaN  0.301777       0.521522E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.1740                 NaN            NaN            NaN  0.811903       0.141277E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.1707                 NaN            NaN            NaN  0.815139       0.141759E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.1728                 NaN            NaN            NaN  0.813103       0.140987E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.1719                 NaN            NaN            NaN  0.814063       0.140857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.6822                 NaN            NaN            NaN  0.312424       0.538296E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        98.6598                 NaN            NaN            NaN   1.31740       0.227859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.1719                 NaN            NaN            NaN  0.814014       0.140538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.1718                 NaN            NaN            NaN  0.814180       0.140581E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.1724                 NaN            NaN            NaN  0.813567       0.140321E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.1695                 NaN            NaN            NaN  0.816342       0.141486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.1771                 NaN            NaN            NaN  0.808953       0.139591E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.1765                 NaN            NaN            NaN  0.809566       0.139626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.1808                 NaN            NaN            NaN  0.805283       0.139018E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.1806                 NaN            NaN            NaN  0.805482       0.139289E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        98.6252                 NaN            NaN            NaN   1.35137       0.234542E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.7476                 NaN            NaN            NaN  0.248195       0.424765E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.6360                 NaN            NaN            NaN  0.357818       0.621372E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        98.7455                 NaN            NaN            NaN   1.23314       0.213925E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.1962                 NaN            NaN            NaN  0.790030       0.137560E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.1984                 NaN            NaN            NaN  0.787831       0.137312E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.2028                 NaN            NaN            NaN  0.783529       0.137014E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.2076                 NaN            NaN            NaN  0.778815       0.136292E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.2107                 NaN            NaN            NaN  0.775652       0.136343E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.2132                 NaN            NaN            NaN  0.773252       0.135605E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.2230                 NaN            NaN            NaN  0.763490       0.135183E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.2251                 NaN            NaN            NaN  0.761401       0.134726E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.4450                 NaN            NaN            NaN   1.52781       0.272006E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.9803                 NaN            NaN            NaN  0.195453E-001  0.121739E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.2845                 NaN            NaN            NaN  0.702961       0.125577E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        99.2424                 NaN            NaN            NaN  0.744236       0.133280E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.2540                 NaN            NaN            NaN  0.732822       0.131545E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.7510                 NaN            NaN            NaN  0.363463       0.246021E-003            NaN  0.885317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.6318                 NaN            NaN            NaN  0.100598                 NaN            NaN   1.26760                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.5724                 NaN            NaN            NaN  0.972433E-001            NaN            NaN   1.33038                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.6000                 NaN            NaN            NaN  0.977061E-001            NaN            NaN   1.30227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.6218                 NaN            NaN            NaN  0.956523E-001            NaN            NaN   1.28250                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.6425                 NaN            NaN            NaN  0.918171E-001            NaN            NaN   1.26565                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.6655                 NaN            NaN            NaN  0.918411E-001            NaN            NaN   1.24271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.6857                 NaN            NaN            NaN  0.894029E-001            NaN            NaN   1.22487                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.7070                 NaN            NaN            NaN  0.875809E-001            NaN            NaN   1.20543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.7249                 NaN            NaN            NaN  0.808251E-001            NaN            NaN   1.19430                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.7438                 NaN            NaN            NaN  0.783605E-001            NaN            NaN   1.17788                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.7626                 NaN            NaN            NaN  0.760407E-001            NaN            NaN   1.16136                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.5978                 NaN            NaN            NaN  0.943137E-001            NaN            NaN   1.30792                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
