|6.6.6
Archiving\03_Data\eq/QFM_m5/GRV/GRV_3.tab                                 
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       pxmn           iron           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)       
  1923.08        2500.00        97.6504       0.693451        1.65610                 NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        97.6403       0.693584        1.66613                 NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        97.6301       0.693718        1.67616                 NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        97.6200       0.693851        1.68620                 NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        97.6098       0.693985        1.69624                 NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        97.5996       0.694118        1.70628                 NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        97.5894       0.694252        1.71632                 NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        97.5792       0.694385        1.72637                 NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        97.5691       0.694519        1.73642                 NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        97.5593       0.694650        1.74609                 NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        97.5495       0.694781        1.75577                 NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        97.5396       0.694912        1.76545                 NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        97.5298       0.695043        1.77513                 NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        97.5200       0.695174        1.78481                 NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        97.5102       0.695305        1.79450                 NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        97.5004       0.695436        1.80419                 NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        97.4905       0.695567        1.81388                 NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        97.4811       0.695696        1.82320                 NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        97.4716       0.695825        1.83253                 NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        97.4622       0.695954        1.84185                 NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        97.4527       0.696082        1.85118                 NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        97.4433       0.696211        1.86051                 NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        97.4338       0.696340        1.86984                 NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        97.4244       0.696469        1.87918                 NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        97.4149       0.696597        1.88852                 NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        97.4058       0.696724        1.89748                 NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        97.3967       0.696850        1.90644                 NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        97.3876       0.696977        1.91541                 NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        97.3785       0.697103        1.92438                 NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        97.3694       0.697229        1.93335                 NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        97.3603       0.697356        1.94233                 NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        97.3512       0.697482        1.95131                 NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        97.3421       0.697608        1.96029                 NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        97.3333       0.697733        1.96892                 NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        97.3246       0.697857        1.97755                 NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        97.3158       0.697981        1.98619                 NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        97.3071       0.698105        1.99483                 NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        97.2983       0.698229        2.00347                 NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        97.2895       0.698354        2.01211                 NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        97.2808       0.698478        2.02076                 NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        97.2720       0.698602        2.02940                 NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        97.2635       0.698725        2.03778                 NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        97.2550       0.698847        2.04615                 NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        97.2381       0.698977        2.05370       0.919998E-002            NaN            NaN            NaN            NaN
  1782.05        2500.00        97.2172       0.699112        2.06109       0.225896E-001            NaN            NaN            NaN            NaN
  1778.85        2500.00        97.1975       0.699244        2.06814       0.351405E-001            NaN            NaN            NaN            NaN
  1775.64        2500.00        97.1777       0.699376        2.07518       0.476963E-001            NaN            NaN            NaN            NaN
  1772.44        2500.00        97.1580       0.699508        2.08223       0.602570E-001            NaN            NaN            NaN            NaN
  1769.23        2500.00        97.1383       0.699639        2.08928       0.728227E-001            NaN            NaN            NaN            NaN
  1766.03        2500.00        97.1189       0.699770        2.09623       0.850634E-001            NaN            NaN            NaN            NaN
  1762.82        2500.00        97.0996       0.699901        2.10318       0.973089E-001            NaN            NaN            NaN            NaN
  1759.62        2500.00        97.0803       0.700031        2.11013       0.109559                 NaN            NaN            NaN            NaN
  1756.41        2500.00        97.0609       0.700162        2.11708       0.121814                 NaN            NaN            NaN            NaN
  1753.21        2500.00        97.0420       0.700291        2.12392       0.133762                 NaN            NaN            NaN            NaN
  1750.00        2500.00        97.0231       0.700421        2.13076       0.145715                 NaN            NaN            NaN            NaN
  1746.79        2500.00        96.9518       0.700555        2.13580       0.157537       0.542967E-001            NaN            NaN            NaN
  1743.59        2500.00        96.3078       0.700741        2.12145       0.169972       0.700072                 NaN            NaN            NaN
  1740.38        2500.00        95.5724       0.700916        2.10096       0.182199        1.44356                 NaN            NaN            NaN
  1737.18        2500.00        94.8366       0.701089        2.08045       0.194432        2.18739                 NaN            NaN            NaN
  1733.97        2500.00        94.1006       0.701261        2.05994       0.206670        2.93155                 NaN            NaN            NaN
  1730.77        2500.00        93.3642       0.701430        2.03940       0.218914        3.67604                 NaN            NaN            NaN
  1727.56        2500.00        92.6275       0.701597        2.01886       0.231163        4.42085                 NaN            NaN            NaN
  1724.36        2500.00        91.8905       0.701761        1.99830       0.243417        5.16597                 NaN            NaN            NaN
  1721.15        2500.00        91.1533       0.701924        1.97772       0.255677        5.91140                 NaN            NaN            NaN
  1717.95        2500.00        90.4157       0.702084        1.95714       0.267941        6.65713                 NaN            NaN            NaN
  1714.74        2500.00        89.6370       0.702213        1.92900       0.279657        7.45214                 NaN            NaN            NaN
  1711.54        2500.00        88.8580       0.702339        1.90085       0.291376        8.24739                 NaN            NaN            NaN
  1708.33        2500.00        88.0789       0.702463        1.87268       0.303098        9.04287                 NaN            NaN            NaN
  1705.13        2500.00        87.2995       0.702584        1.84450       0.314823        9.83857                 NaN            NaN            NaN
  1701.92        2500.00        86.5200       0.702703        1.81630       0.326552        10.6345                 NaN            NaN            NaN
  1698.72        2500.00        85.7402       0.702819        1.78810       0.338283        11.4306                 NaN            NaN            NaN
  1695.51        2500.00        84.9603       0.702933        1.75988       0.350017        12.2269                 NaN            NaN            NaN
  1692.31        2500.00        84.1802       0.703044        1.73164       0.361754        13.0234                 NaN            NaN            NaN
  1689.10        2500.00        83.3843       0.703135        1.69903       0.373282        13.8403                 NaN            NaN            NaN
  1685.90        2500.00        82.0063       0.703805        1.67498       0.383996        14.5049       0.726043                 NaN            NaN
  1682.69        2500.00        79.4294       0.705730        1.67251       0.392051        14.7815        3.01879                 NaN            NaN
  1679.49        2500.00        76.8385       0.707663        1.67001       0.400149        15.0596        5.32402                 NaN            NaN
  1676.28        2500.00        74.6067       0.709332        1.66639       0.405847        15.2994        7.31226                 NaN            NaN
  1673.08        2500.00        72.3646       0.711007        1.66275       0.411571        15.5403        9.30980                 NaN            NaN
  1669.87        2500.00        70.1119       0.712688        1.65908       0.417321        15.7823        11.3167                 NaN            NaN
  1666.67        2500.00        67.8488       0.714374        1.65539       0.423096        16.0253        13.3330                 NaN            NaN
  1663.46        2500.00        66.1075       0.715681        1.64999       0.424990        16.2125        14.8894                 NaN            NaN
  1660.26        2500.00        64.3599       0.716991        1.64456       0.426889        16.4002        16.4514                 NaN            NaN
  1657.05        2500.00        62.6061       0.718305        1.63910       0.428794        16.5887        18.0191                 NaN            NaN
  1653.85        2500.00        60.8460       0.719621        1.63363       0.430706        16.7777        19.5924                 NaN            NaN
  1650.64        2500.00        59.0796       0.720940        1.62812       0.432623        16.9674        21.1713                 NaN            NaN
  1647.44        2500.00        57.3068       0.722262        1.62260       0.434546        17.1578        22.7560                 NaN            NaN
  1644.23        2500.00        55.5278       0.723587        1.61705       0.436475        17.3488        24.3463                 NaN            NaN
  1641.03        2500.00        53.7423       0.724914        1.61148       0.438410        17.5404        25.9424                 NaN            NaN
  1637.82        2500.00        52.3945       0.725928        1.60436       0.436008        17.6866        27.1527                 NaN            NaN
  1634.62        2500.00        51.0430       0.726944        1.59722       0.433598        17.8330        28.3662                 NaN            NaN
  1631.41        2500.00        49.6879       0.727961        1.59006       0.431181        17.9799        29.5830                 NaN            NaN
  1628.21        2500.00        48.3291       0.728980        1.58288       0.428756        18.1271        30.8032                 NaN            NaN
  1625.00        2500.00        46.9667       0.730000        1.57567       0.426324        18.2747        32.0266                 NaN            NaN
  1621.79        2500.00        45.6006       0.731021        1.56845       0.423884        18.4227        33.2534                 NaN            NaN
  1618.59        2500.00        44.2308       0.732044        1.56120       0.421436        18.5711        34.4835                 NaN            NaN
  1615.38        2500.00        42.8573       0.733069        1.55392       0.418981        18.7198        35.7169                 NaN            NaN
  1612.18        2500.00        41.7137       0.733937        1.54618       0.411294        18.8473        36.7476                 NaN            NaN
  1608.97        2500.00        40.5675       0.734806        1.53841       0.403588        18.9751        37.7806                 NaN            NaN
  1605.77        2500.00        39.4188       0.735676        1.53062       0.395864        19.1031        38.8160                 NaN            NaN
  1602.56        2500.00        38.2674       0.736547        1.52282       0.388120        19.2314        39.8537                 NaN            NaN
  1599.36        2500.00        37.1135       0.737419        1.51499       0.380358        19.3600        40.8937                 NaN            NaN
  1596.15        2500.00        35.9570       0.738292        1.50715       0.372576        19.4889        41.9361                 NaN            NaN
  1592.95        2500.00        34.7979       0.739166        1.49928       0.364776        19.6180        42.9809                 NaN            NaN
  1589.74        2500.00        33.6362       0.740041        1.49140       0.356956        19.7474        44.0280                 NaN            NaN
  1586.54        2500.00        32.5672       0.740857        1.48354       0.343852        19.8736        44.9909                 NaN            NaN
  1583.33        2500.00        31.4961       0.741675        1.47567       0.330718        20.0000        45.9558                 NaN            NaN
  1580.13        2500.00        30.4227       0.742493        1.46777       0.317554        20.1267        46.9228                 NaN            NaN
  1576.92        2500.00        29.3471       0.743312        1.45986       0.304361        20.2536        47.8917                 NaN            NaN
  1573.72        2500.00        28.2857       0.744125        1.45193       0.287646        20.3846        48.8460                 NaN            NaN
  1570.51        2500.00        27.0362       0.745097        1.44437       0.281050        20.5105        48.6908        1.29198                 NaN
  1567.31        2500.00        25.7059       0.746146        1.43631       0.277920        20.6407        48.0427        3.15039                 NaN
  1564.10        2500.00        24.3720       0.747198        1.42822       0.274781        20.7712        47.3927        5.01398                 NaN
  1560.90        2500.00        23.0541       0.748248        1.41959       0.269754        20.9111        46.8324        6.76480                 NaN
  1557.69        2500.00        21.7223       0.749337        1.41242       0.259517        21.0563        46.6060        7.96922       0.224916     
  1554.49        2500.00        21.7211       0.749358        1.41240       0.259527        21.0566        46.6067        7.96934       0.224919     
  1551.28        2500.00        19.0257       0.751670        1.40592       0.212680        21.3627        47.7345        2.51833        6.98845     
  1548.08        2500.00        19.0247       0.751690        1.40589       0.212688        21.3629        47.7352        2.51836        6.98855     
  1544.87        2500.00        19.0237       0.751710        1.40587       0.212696        21.3632        47.7358        2.51839        6.98864     
  1541.67        2500.00        19.0227       0.751730        1.40584       0.212704        21.3634        47.7365        2.51842        6.98873     
  1538.46        2500.00        14.7405       0.755143        1.35586       0.148051        22.0237        48.0861        5.64661        7.24403     
  1535.26        2500.00        14.7397       0.755160        1.35584       0.148056        22.0239        48.0866        5.64665        7.24411     
  1532.05        2500.00        14.7389       0.755178        1.35581       0.148061        22.0241        48.0871        5.64670        7.24419     
  1528.85        2500.00        14.7381       0.755195        1.35578       0.148067        22.0243        48.0876        5.64675        7.24426     
  1525.64        2500.00        14.7373       0.755212        1.35576       0.148072        22.0245        48.0881        5.64680        7.24434     
  1522.44        2500.00        14.7365       0.755230        1.35573       0.148077        22.0246        48.0886        5.64684        7.24442     
  1519.23        2500.00        14.7357       0.755247        1.35570       0.148082        22.0248        48.0891        5.64689        7.24450     
  1516.03        2500.00        14.7349       0.755264        1.35567       0.148087        22.0250        48.0896        5.64694        7.24458     
  1512.82        2500.00        9.13596       0.758900        1.14751       0.869659E-001   23.5944        46.6621        9.70336        8.91082     
  1509.62        2500.00        9.13549       0.758914        1.14748       0.869687E-001   23.5945        46.6624        9.70340        8.91088     
  1506.41        2500.00        9.13501       0.758928        1.14746       0.869714E-001   23.5946        46.6626        9.70344        8.91094     
  1503.21        2500.00        9.13454       0.758942        1.14743       0.869741E-001   23.5947        46.6629        9.70348        8.91100     
  1500.00        2500.00        9.13406       0.758956        1.14740       0.869768E-001   23.5948        46.6632        9.70352        8.91106     
  1496.79        2500.00        9.13358       0.758970        1.14737       0.869795E-001   23.5949        46.6635        9.70356        8.91113     
  1493.59        2500.00        9.13311       0.758984        1.14735       0.869822E-001   23.5950        46.6638        9.70360        8.91119     
  1490.38        2500.00        9.13263       0.758997        1.14732       0.869849E-001   23.5951        46.6641        9.70364        8.91125     
  1487.18        2500.00        5.82546       0.759991       0.823863       0.897324E-001   25.5850        44.7411        12.5701        9.60475     
  1483.97        2500.00        5.82519       0.760003       0.823841       0.897350E-001   25.5850        44.7413        12.5701        9.60480     
  1480.77        2500.00        5.82492       0.760015       0.823820       0.897377E-001   25.5851        44.7415        12.5701        9.60484     
  1477.56        2500.00        5.82464       0.760027       0.823798       0.897403E-001   25.5851        44.7417        12.5701        9.60489     
  1474.36        2500.00        5.82437       0.760039       0.823777       0.897430E-001   25.5852        44.7418        12.5701        9.60494     
  1471.15        2500.00        5.82410       0.760050       0.823755       0.897456E-001   25.5852        44.7420        12.5702        9.60499     
  1467.95        2500.00        5.82382       0.760062       0.823733       0.897482E-001   25.5852        44.7422        12.5702        9.60503     
  1464.74        2500.00        5.82355       0.760074       0.823712       0.897508E-001   25.5853        44.7423        12.5702        9.60508     
  1461.54        2500.00        3.71306       0.759350       0.390860       0.153678        28.0802        42.3745        14.8040        9.72439     
  1458.33        2500.00        3.71291       0.759361       0.390849       0.153682        28.0802        42.3746        14.8040        9.72443     
  1455.13        2500.00        3.71276       0.759371       0.390838       0.153686        28.0802        42.3747        14.8040        9.72446     
  1451.92        2500.00        3.71261       0.759381       0.390827       0.153691        28.0802        42.3748        14.8040        9.72450     
  1448.72        2500.00        2.90626       0.758542       0.132528       0.207182        29.5383        40.9836        15.7759        9.69759     
  1445.51        2500.00        2.72382       0.758284       0.620544E-001  0.222864        29.9346        40.6050        16.0059        9.68740     
  1442.31        2500.00        2.53709       0.758092                 NaN  0.237371        30.2804        40.2760        16.2291        9.68191     
  1439.10        2500.00        2.53700       0.758102                 NaN  0.237377        30.2804        40.2760        16.2291        9.68194     
  1435.90        2500.00        2.14515       0.758610                 NaN  0.238934        30.2529        40.4383        16.5834        9.58267     
  1432.69        2500.00        2.14508       0.758620                 NaN  0.238940        30.2529        40.4383        16.5834        9.58270     
  1429.49        2500.00        2.14500       0.758629                 NaN  0.238947        30.2529        40.4384        16.5834        9.58273     
  1426.28        2500.00        2.14493       0.758639                 NaN  0.238954        30.2529        40.4385        16.5834        9.58276     
  1423.08        2500.00        2.14485       0.758648                 NaN  0.238961        30.2529        40.4385        16.5834        9.58279     
  1419.87        2500.00        2.14478       0.758657                 NaN  0.238967        30.2528        40.4386        16.5834        9.58282     
  1416.67        2500.00        2.14470       0.758667                 NaN  0.238974        30.2528        40.4386        16.5834        9.58285     
  1413.46        2500.00        2.14463       0.758676                 NaN  0.238981        30.2528        40.4387        16.5834        9.58287     
  1410.26        2500.00       0.825739       0.760474                 NaN  0.259671        30.1073        40.9868        9.27529        17.7848     
  1407.05        2500.00       0.825716       0.760483                 NaN  0.259679        30.1072        40.9868        9.27532        17.7847     
  1403.85        2500.00       0.825693       0.760492                 NaN  0.259686        30.1072        40.9869        9.27534        17.7847     
  1400.64        2500.00       0.825670       0.760501                 NaN  0.259693        30.1071        40.9869        9.27537        17.7847     
  1397.44        2500.00       0.265605       0.761332                 NaN  0.274739        30.0200        41.2515        9.13506        18.2918     
  1394.23        2500.00       0.265599       0.761340                 NaN  0.274746        30.0199        41.2515        9.13509        18.2918     
  1391.03        2500.00       0.372516E-002  0.761747                 NaN  0.283460        29.9733        41.3832        9.06842        18.5261     
  1387.82        2500.00                 NaN  0.761774                 NaN  0.290582        29.9658        41.5225        8.85514        18.6043     
  1384.62        2500.00                 NaN  0.761784                 NaN  0.290256        29.9665        41.5691        18.5557        8.85666     
  1381.41        2500.00                 NaN  0.761792                 NaN  0.290264        29.9665        41.5691        18.5557        8.85668     
  1378.21        2500.00                 NaN  0.761800                 NaN  0.290272        29.9664        41.5692        18.5556        8.85671     
  1375.00        2500.00                 NaN  0.761809                 NaN  0.290280        29.9664        41.5692        18.5556        8.85673     
  1371.79        2500.00                 NaN  0.761817                 NaN  0.290288        29.9663        41.5692        18.5556        8.85676     
  1368.59        2500.00                 NaN  0.761825                 NaN  0.290296        29.9662        41.5693        18.5556        8.85679     
  1365.38        2500.00                 NaN  0.761833                 NaN  0.290303        29.9662        41.5693        18.5556        8.85681     
  1362.18        2500.00                 NaN  0.761841                 NaN  0.290311        29.9661        41.5694        18.5555        8.85684     
  1358.97        2500.00                 NaN  0.761910                 NaN  0.320456        29.9390        42.2559        18.6295        8.09325     
  1355.77        2500.00                 NaN  0.761918                 NaN  0.320465        29.9390        42.2559        18.6295        8.09328     
  1352.56        2500.00                 NaN  0.761926                 NaN  0.320473        29.9389        42.2560        18.6294        8.09330     
  1349.36        2500.00                 NaN  0.761934                 NaN  0.320482        29.9388        42.2560        18.6294        8.09333     
  1346.15        2500.00                 NaN  0.761942                 NaN  0.320490        29.9388        42.2561        18.6294        8.09335     
  1342.95        2500.00                 NaN  0.761950                 NaN  0.320499        29.9387        42.2561        18.6294        8.09338     
  1339.74        2500.00                 NaN  0.761958                 NaN  0.320508        29.9386        42.2561        18.6294        8.09341     
  1336.54        2500.00                 NaN  0.761966                 NaN  0.320516        29.9386        42.2562        18.6293        8.09343     
  1333.33        2500.00                 NaN  0.762035                 NaN  0.358048        29.9039        42.8128        7.48468        18.6786     
  1330.13        2500.00                 NaN  0.762043                 NaN  0.358058        29.9038        42.8128        7.48471        18.6786     
  1326.92        2500.00                 NaN  0.762051                 NaN  0.358067        29.9037        42.8129        7.48474        18.6785     
  1323.72        2500.00                 NaN  0.762058                 NaN  0.358077        29.9037        42.8129        7.48476        18.6785     
  1320.51        2500.00                 NaN  0.762066                 NaN  0.358087        29.9036        42.8130        7.48479        18.6785     
  1317.31        2500.00                 NaN  0.762074                 NaN  0.358096        29.9035        42.8130        7.48482        18.6785     
  1314.10        2500.00                 NaN  0.762081                 NaN  0.358106        29.9034        42.8131        7.48484        18.6784     
  1310.90        2500.00                 NaN  0.762089                 NaN  0.358115        29.9034        42.8132        7.48487        18.6784     
  1307.69        2500.00                 NaN  0.762156                 NaN  0.400738        29.8626        43.2762        18.7281        6.97025     
  1304.49        2500.00                 NaN  0.762164                 NaN  0.400749        29.8625        43.2763        18.7281        6.97028     
  1301.28        2500.00                 NaN  0.762171                 NaN  0.400760        29.8624        43.2763        18.7280        6.97030     
  1298.08        2500.00                 NaN  0.762179                 NaN  0.400770        29.8624        43.2764        18.7280        6.97033     
  1294.87        2500.00                 NaN  0.762186                 NaN  0.400781        29.8623        43.2764        18.7280        6.97036     
  1291.67        2500.00                 NaN  0.762194                 NaN  0.400791        29.8622        43.2765        18.7279        6.97039     
  1288.46        2500.00                 NaN  0.762201                 NaN  0.400802        29.8621        43.2766        18.7279        6.97041     
  1285.26        2500.00                 NaN  0.762208                 NaN  0.400812        29.8620        43.2766        18.7279        6.97044     
  1282.05        2500.00                 NaN  0.762276                 NaN  0.448521        29.8160        43.6681        6.53703        18.7681     
  1278.85        2500.00                 NaN  0.762284                 NaN  0.448533        29.8159        43.6682        6.53706        18.7680     
  1275.64        2500.00                 NaN  0.762291                 NaN  0.448544        29.8158        43.6683        6.53709        18.7680     
  1272.44        2500.00                 NaN  0.762298                 NaN  0.448556        29.8157        43.6683        6.53712        18.7680     
  1269.23        2500.00                 NaN  0.762305                 NaN  0.448568        29.8156        43.6684        6.53714        18.7679     
  1266.03        2500.00                 NaN  0.762312                 NaN  0.448579        29.8156        43.6685        6.53717        18.7679     
  1262.82        2500.00                 NaN  0.762319                 NaN  0.448591        29.8155        43.6685        6.53720        18.7679     
  1259.62        2500.00                 NaN  0.762327                 NaN  0.448603        29.8154        43.6686        6.53723        18.7679     
  1256.41        2500.00                 NaN  0.762396                 NaN  0.500430        29.7653        44.0057        18.8034        6.16282     
  1253.21        2500.00                 NaN  0.762403                 NaN  0.500443        29.7652        44.0058        18.8034        6.16285     
  1250.00        2500.00                 NaN  0.762410                 NaN  0.500456        29.7651        44.0058        18.8033        6.16287     
  1246.79        2500.00                 NaN  0.762417                 NaN  0.500468        29.7650        44.0059        18.8033        6.16290     
  1243.59        2500.00                 NaN  0.762424                 NaN  0.500481        29.7649        44.0060        18.8033        6.16293     
  1240.38        2500.00                 NaN  0.762431                 NaN  0.500494        29.7648        44.0061        18.8032        6.16296     
  1237.18        2500.00                 NaN  0.762438                 NaN  0.500507        29.7648        44.0061        18.8032        6.16299     
  1233.97        2500.00                 NaN  0.762445                 NaN  0.500520        29.7647        44.0062        18.8032        6.16302     
  1230.77        2500.00                 NaN  0.762512                 NaN  0.556229        29.7101        44.3018        18.8340        5.83546     
  1227.56        2500.00                 NaN  0.762519                 NaN  0.556243        29.7100        44.3018        18.8339        5.83549     
  1224.36        2500.00                 NaN  0.762525                 NaN  0.556257        29.7099        44.3019        18.8339        5.83552     
  1221.15        2500.00                 NaN  0.762532                 NaN  0.556271        29.7098        44.3020        18.8339        5.83555     
  1217.95        2500.00                 NaN  0.762539                 NaN  0.556286        29.7097        44.3021        18.8338        5.83558     
  1214.74        2500.00                 NaN  0.762546                 NaN  0.556300        29.7096        44.3021        18.8338        5.83561     
  1211.54        2500.00                 NaN  0.762552                 NaN  0.556314        29.7095        44.3022        18.8338        5.83564     
  1208.33        2500.00                 NaN  0.762559                 NaN  0.556328        29.7094        44.3023        18.8337        5.83566     
  1205.13        2500.00                 NaN  0.762628                 NaN  0.616206        29.6504        44.5598        18.8618        5.54911     
  1201.92        2500.00                 NaN  0.762634                 NaN  0.616222        29.6503        44.5599        18.8618        5.54914     
  1198.72        2500.00                 NaN  0.762641                 NaN  0.616238        29.6502        44.5600        18.8617        5.54917     
  1195.51        2500.00                 NaN  0.762647                 NaN  0.616253        29.6501        44.5600        18.8617        5.54920     
  1192.31        2500.00                 NaN  0.762654                 NaN  0.616269        29.6500        44.5601        18.8617        5.54923     
  1189.10        2500.00                 NaN  0.762660                 NaN  0.616285        29.6499        44.5602        18.8616        5.54926     
  1185.90        2500.00                 NaN  0.762667                 NaN  0.616300        29.6499        44.5603        18.8616        5.54928     
  1182.69        2500.00                 NaN  0.762673                 NaN  0.616316        29.6498        44.5604        18.8616        5.54931     
  1179.49        2500.00                 NaN  0.762740                 NaN  0.679480        29.5873        44.7937        18.8833        5.29346     
  1176.28        2500.00                 NaN  0.762746                 NaN  0.679497        29.5872        44.7938        18.8832        5.29349     
  1173.08        2500.00                 NaN  0.762753                 NaN  0.679514        29.5871        44.7939        18.8832        5.29352     
  1169.87        2500.00                 NaN  0.762759                 NaN  0.679531        29.5870        44.7940        18.8832        5.29355     
  1166.67        2500.00                 NaN  0.762765                 NaN  0.679548        29.5869        44.7941        18.8831        5.29358     
  1163.46        2500.00                 NaN  0.762771                 NaN  0.679565        29.5868        44.7942        18.8831        5.29361     
  1160.26        2500.00                 NaN  0.762778                 NaN  0.679582        29.5867        44.7943        18.8830        5.29364     
  1157.05        2500.00                 NaN  0.762784                 NaN  0.679599        29.5866        44.7944        18.8830        5.29366     
  1153.85        2500.00                 NaN  0.762851                 NaN  0.746925        29.5192        45.0055        18.9044        5.06116     
  1150.64        2500.00                 NaN  0.762857                 NaN  0.746944        29.5191        45.0056        18.9044        5.06119     
  1147.44        2500.00                 NaN  0.762863                 NaN  0.746963        29.5189        45.0057        18.9044        5.06122     
  1144.23        2500.00                 NaN  0.762869                 NaN  0.746981        29.5188        45.0058        18.9043        5.06125     
  1141.03        2500.00                 NaN  0.762875                 NaN  0.747000        29.5187        45.0059        18.9043        5.06128     
  1137.82        2500.00                 NaN  0.762881                 NaN  0.747018        29.5186        45.0059        18.9042        5.06130     
  1134.62        2500.00                 NaN  0.762887                 NaN  0.747037        29.5185        45.0060        18.9042        5.06133     
  1131.41        2500.00                 NaN  0.762893                 NaN  0.747055        29.5184        45.0061        18.9041        5.06136     
